UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL212005,18,88,1579,8408,4782,533,78,293,15787,5,361,1300,192,41,6,3,67,1979,0,9,34,38,17,0,0,5,96,5,373,1337,228,62,6,3,68,2076,0,25,11,3,0,0,0,5,41,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,36,19,3,0,0,0,5,58,17,41,202,18,6,0,0,10,285,0,6,7,5,5,0,0,4,31,37,546,3134,8658,4861,537,84,381,18240
UCL212006,3,31,359,5598,5254,775,105,114,12243,4,26,246,118,3,0,0,4,400,0,0,48,126,12,0,0,0,183,4,26,293,240,13,0,0,3,580,8,73,565,347,11,0,0,20,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,73,570,345,17,0,0,20,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,131,1218,6185,5283,779,110,136,13864
UCL212007,3,32,488,2977,3196,467,53,58,7272,0,0,127,128,7,0,0,3,272,0,11,55,187,40,6,0,5,304,0,13,184,324,52,6,0,8,581,0,0,7,7,0,0,0,0,16,0,13,14,0,0,0,0,0,30,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,10,0,0,0,0,49,3,5,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,12,5,63,698,3316,3249,468,54,68,7922
UCL212008,8,57,634,5130,3041,310,50,97,9326,10,40,286,98,5,0,0,7,442,0,4,21,27,0,0,0,0,52,10,46,300,126,5,0,0,7,496,11,236,586,98,0,0,4,38,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,236,589,98,0,0,4,38,975,7,22,43,7,0,0,0,0,75,0,3,3,4,8,0,0,0,17,31,362,1563,5365,3055,316,52,145,10889
UCL212009,9,78,1267,5837,3028,452,71,123,10876,16,142,891,141,20,0,0,25,1245,0,18,169,123,20,0,0,8,339,15,164,1064,269,35,0,0,29,1584,3,128,362,48,10,0,0,16,564,0,32,8,5,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157,371,52,6,0,0,16,622,3,11,13,0,3,0,0,0,38,0,3,5,0,7,0,0,4,19,35,420,2725,6167,3086,456,74,176,13131
UCL213001,5,34,566,2666,1254,121,39,94,4776,0,126,420,117,9,0,0,28,695,0,0,13,18,4,0,0,0,29,0,126,431,134,7,0,0,24,723,0,13,49,8,5,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,8,5,0,0,0,70,0,11,6,4,5,0,0,0,26,0,0,4,3,5,0,0,0,11,9,184,1058,2811,1267,121,44,124,5602
UCL213002,13,104,975,1993,898,91,22,55,4144,0,81,104,24,0,0,0,6,218,0,0,3,4,4,0,0,0,15,0,81,111,32,4,0,0,6,234,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,11,0,3,7,4,0,0,0,0,21,0,0,0,0,0,0,0,0,7,18,198,1092,2029,902,92,22,63,4414
UCL213003,6,37,451,2535,1130,124,26,70,4380,3,124,280,98,5,0,0,28,534,0,0,6,3,0,0,0,0,11,10,124,281,101,5,0,0,30,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,22,3,6,3,0,0,3,50,0,0,0,8,0,0,0,0,8,22,184,739,2648,1142,125,29,104,4985
UCL213004,0,30,429,2112,2061,244,31,64,4971,0,8,197,81,0,0,0,5,286,0,0,0,5,0,0,0,0,5,0,8,197,80,0,0,0,5,291,0,44,129,38,0,0,0,4,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,129,38,0,0,0,4,219,11,39,15,0,0,0,0,3,70,0,0,0,0,0,0,0,0,4,13,120,777,2230,2060,244,36,78,5553
UCL213005,3,26,434,3090,2282,233,20,55,6142,0,12,162,39,6,0,0,4,228,0,0,12,12,3,0,0,0,33,0,12,178,54,9,0,3,4,259,0,0,3,31,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,31,0,0,0,0,29,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,36,614,3172,2292,230,23,63,6438
UCL213006,5,18,91,1102,1741,269,37,24,3284,0,38,162,142,16,0,0,5,364,0,0,6,12,0,0,0,0,20,0,39,168,158,16,0,0,5,381,0,5,0,13,0,0,0,0,12,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,257,1285,1756,271,41,28,3698
UCL213007,3,52,631,3357,1682,159,24,85,5991,0,79,206,38,0,0,0,9,340,0,0,0,8,0,0,0,0,6,0,79,210,48,3,0,0,11,345,0,75,237,29,3,0,5,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,237,29,3,0,5,12,366,0,5,3,0,0,0,0,0,11,0,0,0,6,0,0,0,0,6,3,210,1085,3441,1686,159,33,106,6719
UCL213008,0,48,323,2273,2132,185,25,52,5048,0,38,286,184,40,5,0,4,566,0,0,25,4,0,0,0,0,31,0,40,311,196,44,5,0,4,595,0,28,14,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,121,651,2466,2180,189,25,60,5695
UCL213009,0,4,190,2222,1659,174,15,49,4305,0,3,230,75,0,0,0,3,314,0,0,0,3,0,0,0,0,7,0,3,230,79,6,0,0,3,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,422,2305,1660,174,15,54,4635
UCL213010,3,62,799,3356,1082,115,30,119,5565,14,252,488,78,5,0,0,36,876,0,18,8,3,0,0,0,0,25,16,271,492,83,5,0,0,40,906,0,96,143,4,0,0,0,12,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,143,4,0,0,0,12,244,6,16,0,0,0,0,0,5,33,0,4,0,4,0,0,0,0,6,27,442,1437,3439,1094,114,29,177,6756
UCL213011,11,43,721,2974,903,104,17,135,4908,0,105,159,26,0,0,0,17,316,0,5,38,0,0,0,0,0,49,0,106,203,30,0,0,0,17,366,3,64,324,17,0,0,0,10,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,3,66,324,17,0,0,0,10,424,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,7,17,222,1251,3018,909,105,18,166,5712
UCL213012,3,35,434,2308,857,108,19,54,3815,0,78,228,36,7,0,0,8,359,0,3,27,0,0,0,0,4,35,0,82,258,41,6,0,0,13,399,0,6,29,5,0,0,0,3,45,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,10,0,0,0,5,55,3,7,11,3,5,0,0,0,32,0,0,0,0,0,0,0,0,7,4,132,731,2361,865,108,22,73,4303
UCL213013,10,32,421,2468,1638,167,35,67,4838,0,38,236,69,3,0,0,4,354,0,50,26,16,0,0,0,0,95,0,86,260,86,3,0,0,3,445,0,85,205,64,0,0,0,11,371,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,222,69,0,0,0,11,396,9,20,4,0,0,0,0,0,35,0,0,3,8,0,0,0,0,17,21,225,916,2630,1652,167,35,81,5733
UCL213014,8,19,298,2036,976,101,28,50,3509,0,55,241,50,7,0,0,17,363,0,3,0,0,0,0,0,0,6,0,56,238,51,7,0,0,17,368,0,123,170,25,0,0,0,15,331,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,125,172,25,0,0,0,13,336,0,13,0,10,3,0,0,0,20,0,0,0,5,0,0,0,0,9,5,208,709,2124,987,104,34,81,4246
UCL213015,3,11,131,1537,2363,265,47,64,4423,6,4,69,172,25,0,0,0,278,0,0,10,47,9,3,0,0,69,6,4,79,223,31,4,0,3,349,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,16,215,1762,2399,270,47,70,4780
UCL213016,14,44,680,3789,2012,202,39,142,6928,8,190,631,107,10,0,0,131,1070,0,18,17,14,0,3,0,0,55,4,202,643,119,7,3,0,131,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,3,12,5,5,4,0,0,0,28,0,0,6,4,0,0,0,0,9,21,265,1333,3913,2027,207,36,276,8087
UCL213017,8,25,402,2741,2759,306,53,68,6358,0,27,266,50,0,0,0,5,351,0,21,9,9,0,0,0,0,35,0,52,278,52,0,0,0,5,389,0,14,226,70,0,5,0,3,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,12,226,70,0,0,0,3,318,0,14,167,3,0,0,0,0,189,0,0,0,0,4,0,0,3,8,7,106,1073,2875,2759,311,53,81,7264
UCL213018,4,18,203,1635,860,116,23,41,2891,0,50,271,90,7,0,0,19,440,0,0,7,12,11,0,0,0,32,0,50,281,103,14,0,0,19,469,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,14,35,5,0,0,0,0,62,0,0,0,0,0,0,0,0,0,12,88,522,1748,881,116,23,58,3437
UCL214001,4,19,367,1576,523,71,6,56,2625,3,50,179,32,10,0,0,12,291,0,3,0,7,0,0,0,0,8,3,53,181,36,10,0,0,12,293,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,4,3,3,4,0,0,0,0,17,0,0,0,4,0,0,6,0,7,9,76,559,1619,527,71,8,70,2950
UCL214002,6,5,54,622,1055,111,18,13,1873,0,7,45,23,11,0,0,0,83,0,0,0,0,0,0,0,0,0,0,7,45,23,11,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,101,649,1068,111,18,13,1961
UCL214003,6,43,462,2007,894,76,12,84,3580,0,89,401,66,4,0,0,24,582,0,0,0,0,0,0,0,0,3,0,89,401,68,6,0,0,24,583,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9,0,0,3,8,0,0,0,25,34,0,0,5,0,3,0,0,0,7,10,129,872,2075,904,74,17,134,4212
UCL214004,4,8,301,1126,481,53,8,46,2037,3,59,78,15,3,0,0,12,175,0,0,0,0,0,0,0,0,0,3,59,78,15,3,0,0,12,175,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,4,0,0,0,16,0,0,0,3,0,0,0,0,5,8,80,385,1145,490,56,8,58,2235
