UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL212007,28,28,19,0,7,0,78,6,8,10,0,3,0,25,22,14,9,6,5,0,53,4,5,11,4,0,0,25,7,15,10,0,4,0,39,22,36,14,3,4,0,78,29,49,20,7,6,0,117,31,60,27,4,14,0,138,30,78,23,8,5,0,151,31,110,21,15,12,0,184,31,112,22,6,3,0,182,62,196,32,17,8,3,315,35,120,17,11,0,0,177,52,103,19,6,0,0,183,58,243,27,13,5,0,350,91,258,53,16,4,0,421,41,85,17,6,0,0,149,24,65,10,3,0,0,96,51,85,31,6,11,0,186,664,1675,375,124,96,6,2944
UCL212008,54,23,17,7,10,0,114,14,8,5,0,4,0,40,19,14,13,9,15,0,63,27,15,9,6,7,0,66,57,56,14,23,22,4,177,86,112,38,32,20,3,292,115,147,48,29,38,0,369,133,182,45,44,25,4,433,93,179,38,29,33,3,369,84,146,44,15,14,0,303,42,104,28,12,0,5,183,51,118,37,10,8,0,217,10,44,7,0,0,0,69,9,27,9,4,0,0,46,28,58,21,8,4,0,119,27,61,23,9,0,0,122,13,24,12,0,0,0,49,9,11,0,0,0,0,27,55,72,35,16,11,0,182,938,1402,430,241,214,22,3247
UCL212009,45,22,16,7,8,0,98,8,6,9,0,0,0,31,19,12,12,0,9,0,51,18,14,8,9,3,3,58,47,30,18,12,15,0,132,62,72,40,29,17,5,223,97,113,58,34,28,4,334,109,202,55,37,28,4,441,92,200,55,32,19,0,399,122,191,48,22,12,4,404,49,113,36,4,9,0,212,78,148,35,14,10,0,283,13,49,13,4,4,0,81,9,32,7,6,0,0,58,30,67,15,0,0,0,111,26,53,22,4,4,0,113,9,17,5,0,0,0,42,14,17,4,0,3,0,37,54,63,37,5,14,0,171,914,1428,513,222,185,23,3282
UCL213001,15,6,0,0,6,0,25,9,4,0,0,0,0,19,12,3,10,3,0,0,32,7,5,11,4,8,0,34,33,34,9,8,5,0,90,39,36,14,17,11,0,119,41,66,18,18,19,0,162,41,81,17,8,7,4,168,46,71,17,13,8,0,148,33,68,14,3,3,0,123,17,27,4,3,0,0,49,21,22,12,5,4,0,67,9,8,0,0,0,0,18,5,4,0,0,0,0,4,6,4,6,3,0,0,19,3,14,0,0,0,0,21,6,0,4,0,4,0,7,0,5,0,0,0,0,7,20,21,10,0,3,0,50,358,478,159,92,77,12,1176
UCL213002,11,14,0,3,0,0,27,9,5,0,5,0,0,13,10,3,9,6,3,5,32,16,3,0,4,4,0,24,19,4,9,5,8,0,42,13,22,6,5,12,0,62,25,31,10,17,11,0,92,28,47,12,17,7,0,123,20,61,5,14,5,0,108,39,59,12,6,7,0,119,21,30,7,0,0,0,65,21,38,10,5,5,0,83,8,22,6,0,0,0,32,9,6,3,0,0,0,21,15,20,9,0,0,0,39,14,26,8,0,0,0,48,4,6,3,0,0,0,13,5,7,0,0,0,0,12,20,10,9,3,5,0,48,306,413,107,93,77,9,1007
UCL213003,7,3,0,0,3,0,24,5,0,0,0,0,0,4,10,9,6,0,4,0,33,9,8,3,0,6,0,23,23,17,13,0,14,0,66,38,33,15,6,20,4,116,42,60,23,11,10,6,148,48,91,24,16,14,0,197,37,59,19,7,6,7,133,35,76,18,6,11,0,138,14,38,15,4,0,0,66,16,38,11,4,0,0,71,0,14,4,0,0,0,25,4,9,0,0,0,0,9,9,20,3,0,0,0,35,0,18,0,3,3,0,23,4,7,0,0,0,0,14,0,0,0,0,0,0,5,14,25,8,4,5,0,67,333,528,175,67,91,12,1211
UCL213004,11,10,3,3,0,0,34,6,3,4,0,0,0,16,18,10,3,0,3,0,36,9,0,5,0,0,0,18,20,10,11,3,7,0,49,27,28,8,12,15,0,90,39,44,10,5,12,6,115,54,79,31,23,7,0,193,67,112,25,11,16,3,230,83,127,25,11,12,0,265,54,76,20,11,7,0,173,65,99,30,9,0,8,209,28,54,7,3,4,0,93,20,25,6,0,0,0,49,26,49,22,0,4,0,104,26,53,16,4,0,4,104,11,11,9,0,0,0,32,4,10,0,0,0,0,18,39,43,14,5,9,0,111,622,858,244,108,89,16,1937
UCL213005,36,16,9,4,4,0,65,15,7,9,0,6,0,27,22,6,4,0,5,0,43,14,5,11,0,6,0,38,25,9,17,6,7,0,62,40,14,16,3,12,0,85,37,21,18,11,13,0,107,53,79,35,15,25,4,206,60,82,25,12,11,0,192,68,101,33,13,20,0,238,53,87,19,11,6,0,177,59,109,24,9,6,3,216,27,55,3,3,0,0,95,18,29,10,0,0,0,54,29,58,19,3,3,0,110,26,43,15,4,0,0,92,15,13,6,0,0,0,37,9,6,5,0,0,0,24,39,45,15,8,11,0,115,636,795,299,116,129,8,1982
UCL213006,11,14,15,0,4,4,48,5,0,3,0,0,0,12,12,8,8,0,0,0,29,4,6,6,3,3,0,20,9,12,12,0,3,0,38,12,8,9,4,4,0,41,15,15,17,4,5,0,54,26,49,20,6,13,0,114,16,43,10,6,7,0,87,32,70,26,11,3,0,144,19,81,11,6,3,0,123,44,89,32,14,4,0,187,21,68,9,4,0,0,97,14,66,13,0,4,0,97,31,107,19,5,4,0,160,41,135,22,11,3,0,217,7,42,13,0,0,0,64,8,33,4,3,0,0,48,22,41,14,3,9,0,89,349,882,258,90,75,6,1663
UCL213007,17,13,10,0,6,0,47,8,5,0,0,3,0,18,18,10,6,4,8,0,42,23,14,12,5,9,0,57,39,44,18,13,10,0,123,47,83,21,27,14,8,205,60,131,18,15,19,4,251,79,102,27,12,15,0,237,35,92,16,10,3,0,157,42,77,18,6,4,0,149,23,37,6,0,5,0,78,26,52,11,3,4,0,94,9,19,7,6,0,0,29,7,6,0,0,0,0,14,11,24,9,0,3,0,50,15,24,7,0,0,0,52,7,3,0,0,0,0,15,5,10,0,0,0,0,12,23,30,12,0,5,0,69,480,782,213,114,94,10,1694
UCL213008,21,13,13,3,8,0,50,5,3,3,0,0,0,15,11,8,5,0,6,0,30,8,11,7,0,0,0,26,11,15,8,0,7,0,51,25,24,24,9,9,0,88,39,44,23,11,15,0,133,55,69,33,13,19,0,192,39,93,29,26,10,0,203,77,158,39,17,11,0,304,64,135,25,16,8,0,256,90,174,47,16,8,3,337,45,86,8,3,4,0,146,15,40,8,0,4,3,63,34,75,14,5,3,0,136,31,51,22,3,5,0,116,11,23,8,0,0,0,37,0,9,6,0,0,0,15,30,53,32,7,3,5,128,612,1081,360,129,120,15,2320
UCL213009,26,8,9,0,8,0,54,13,0,6,0,0,0,20,13,5,6,0,5,0,29,3,4,9,4,4,0,23,18,16,3,8,8,0,51,26,9,20,4,13,0,68,32,26,24,7,15,0,104,37,76,30,13,17,0,175,60,82,22,18,19,3,199,45,115,28,17,16,4,227,33,102,9,7,9,3,160,47,103,37,7,3,4,206,20,37,7,0,0,0,70,11,15,7,0,0,0,35,19,34,10,3,0,0,70,19,30,18,0,0,0,63,8,12,0,0,0,0,20,0,9,7,0,0,0,13,15,37,21,8,8,3,89,438,716,278,105,130,16,1679
UCL213010,14,5,6,0,7,0,37,5,4,6,5,3,0,18,21,13,11,8,16,0,67,26,20,9,4,4,0,58,52,41,28,19,31,3,173,56,83,23,25,26,0,216,69,71,31,28,18,4,211,61,80,20,20,14,0,196,39,50,20,11,8,0,123,31,44,16,5,0,0,103,16,13,3,5,0,0,40,22,24,14,3,0,0,66,0,5,3,0,0,0,10,0,4,4,0,0,0,5,8,9,8,0,0,0,21,3,13,8,0,0,0,21,5,0,0,0,0,0,9,0,0,0,0,0,0,3,33,22,12,4,17,0,89,460,510,218,123,139,10,1464
UCL213011,8,7,10,0,3,0,30,6,3,0,0,4,0,12,25,4,6,5,11,0,52,23,15,9,3,9,0,55,42,49,12,17,27,4,152,46,58,16,17,23,3,158,46,43,27,14,21,0,145,39,48,17,13,5,3,122,23,25,10,4,0,0,60,18,24,0,3,8,0,54,6,10,7,5,0,0,24,11,21,8,0,0,0,50,0,3,3,0,0,0,8,0,0,3,0,0,0,7,7,7,0,0,0,0,16,9,3,0,0,0,0,10,0,4,0,0,0,0,7,3,0,0,0,0,0,4,34,21,10,4,4,0,75,328,356,142,81,120,12,1036
UCL213012,9,8,3,0,4,0,26,8,3,5,0,0,0,19,18,5,6,5,5,0,29,8,11,10,5,8,0,45,33,36,10,16,13,0,107,44,42,23,16,10,0,132,39,43,22,13,19,0,140,54,56,18,11,7,0,146,21,37,12,4,7,0,81,22,31,12,0,0,0,72,8,13,6,0,0,0,27,17,27,4,0,4,0,53,4,3,5,0,0,0,10,3,3,0,0,0,0,6,6,9,3,0,4,0,25,7,7,5,0,4,0,21,0,4,3,0,0,0,7,3,0,0,0,0,0,0,19,14,5,7,3,3,58,332,360,152,80,87,8,1017
UCL213013,12,9,9,0,0,0,30,3,0,4,0,0,0,7,11,4,3,0,5,0,29,16,14,9,7,6,0,50,28,30,6,12,9,0,82,40,40,8,9,14,9,115,52,68,29,18,11,4,177,56,63,11,15,11,0,160,38,83,21,8,7,0,156,23,73,20,8,9,0,124,12,41,11,0,0,0,64,24,48,16,0,7,0,94,14,12,3,3,0,0,28,3,10,0,0,0,0,18,4,14,7,0,0,0,31,11,15,0,0,0,0,30,5,14,4,0,0,0,15,4,0,0,0,0,0,6,20,28,7,8,4,0,70,371,559,175,94,87,20,1295
UCL213014,10,11,6,3,3,0,28,0,0,0,0,0,0,9,7,3,0,0,3,0,19,0,7,8,0,9,0,22,25,22,9,11,8,3,69,44,28,11,11,12,0,106,37,55,15,24,9,0,138,46,72,18,8,11,0,153,27,73,7,7,8,0,121,33,46,4,0,5,0,92,6,28,6,4,3,0,47,20,40,10,4,0,0,81,3,11,0,0,0,0,20,0,5,0,0,0,0,10,12,20,6,0,0,0,38,5,20,3,0,0,0,26,3,3,6,0,0,0,9,8,0,0,0,0,0,4,24,22,8,0,0,0,53,312,457,131,76,69,14,1051
UCL213015,16,14,4,5,9,0,55,5,0,5,0,0,0,12,15,6,11,3,8,0,38,6,8,3,0,3,0,23,11,20,9,7,12,0,54,17,25,19,8,8,0,75,34,37,23,7,7,0,113,41,103,35,16,20,3,224,57,133,34,19,23,3,270,92,203,29,19,18,0,360,68,122,24,20,5,0,247,83,161,46,8,11,5,318,40,62,11,0,4,0,123,20,39,8,6,3,0,77,36,75,22,6,4,0,142,39,71,33,3,3,0,150,4,24,10,3,0,0,40,8,18,9,0,0,3,41,40,67,35,12,12,0,165,637,1178,377,150,158,21,2517
UCL213016,23,4,11,3,6,0,55,14,5,0,0,5,0,19,18,7,11,8,3,0,47,14,8,6,6,9,0,42,25,30,16,19,16,0,113,39,69,28,21,14,0,180,41,103,29,25,22,5,227,73,108,32,33,16,0,249,59,103,27,26,10,0,220,51,96,27,18,11,0,196,24,59,14,7,4,0,117,46,60,25,8,9,0,151,6,17,0,0,0,0,29,5,19,3,0,0,0,25,20,28,10,0,5,0,54,19,34,8,0,3,0,61,8,14,4,4,0,0,29,4,11,0,0,0,0,15,39,38,25,9,13,0,117,528,807,287,178,140,16,1949
UCL213017,20,17,14,4,0,0,55,14,0,4,0,0,0,22,18,12,7,0,0,0,42,18,9,3,0,4,0,31,30,26,7,8,11,0,78,33,39,19,9,12,0,112,41,60,33,18,22,0,162,71,102,33,15,13,0,239,62,123,31,23,17,0,263,77,136,30,13,11,4,268,63,116,26,12,7,0,219,70,125,39,9,9,0,255,26,44,12,4,0,0,83,17,41,9,0,0,0,65,30,58,24,5,6,0,117,26,48,14,0,4,0,95,13,23,3,0,0,0,47,13,14,4,6,0,0,33,33,47,15,8,6,8,115,680,1038,333,125,115,20,2297
UCL213018,12,9,3,0,3,0,34,4,0,0,0,0,0,3,13,0,0,0,5,0,18,9,0,3,0,3,0,22,14,9,10,6,5,0,44,22,12,6,3,5,0,51,24,26,9,9,3,0,76,29,37,7,7,5,0,86,22,35,12,5,0,3,84,30,45,14,6,6,0,99,7,30,6,3,0,0,53,20,33,15,4,3,0,75,9,10,4,0,0,0,20,0,5,0,0,0,0,8,17,20,9,0,0,0,41,13,11,3,0,0,0,25,0,5,5,0,0,0,10,5,5,3,0,0,0,8,12,18,3,0,0,0,35,275,304,112,54,39,3,783
UCL214001,4,4,7,0,0,0,19,4,0,0,0,0,0,13,11,9,5,0,0,0,26,7,10,8,8,3,0,39,21,19,11,7,0,3,63,26,40,6,14,11,3,99,26,34,13,16,9,0,96,26,34,16,13,9,0,102,10,29,7,4,3,0,51,18,14,3,4,6,0,42,8,7,4,0,0,0,17,7,9,15,3,0,0,27,3,0,0,0,0,0,6,3,0,0,0,0,0,6,0,5,7,0,0,0,14,3,3,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,9,7,14,5,0,4,0,31,188,243,104,66,58,11,664
