UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL212005,19170,20739,39909,7881,4673,12557,2312,4977,7290,639,821,1463,670,462,1129,11501,10939,22438,6194,8312,14505,5.8,4.2,5,60,52.7,56.2,56.5,50.5,53.4,536,631,1170,271,621,890,1497,2542,4034,1291,2151,3447,4306,2576,6887,193,290,473,204,321,528,4705,3188,7887,19165,19944,39106,3036,3419,6453,12017,12427,24443,8799,9676,18474
UCL212006,14818,15947,30766,7633,4377,12003,1869,4314,6185,543,835,1380,484,436,918,10529,9964,20487,3714,5389,9098,4.6,4.4,4.5,71,62.5,66.6,67.8,59.7,63.6,448,598,1045,248,587,833,1527,2465,3995,1455,1953,3411,4401,2237,6643,133,239,369,223,339,565,4757,2816,7579,15561,16351,31910,2023,2202,4230,10365,10868,21230,6299,6758,13061
UCL212007,8611,9303,17912,4176,2359,6535,1300,2870,4168,350,504,854,192,186,379,6013,5926,11940,2190,2964,5157,3.2,3.2,3.2,69.9,63.7,66.7,67.7,61.7,64.6,563,690,1253,257,572,831,1891,2401,4296,909,1213,2123,1957,842,2800,44,80,121,122,175,300,2114,1104,3219,8758,9118,17867,1872,1981,3847,4941,5055,9998,5020,5323,10342
UCL212008,10664,11861,22531,4724,2719,7445,1227,3187,4417,371,542,913,403,270,672,6727,6718,13442,3222,4381,7599,6,4,5,63,56.6,59.7,59.3,54.4,56.7,302,402,710,125,355,473,970,1578,2551,737,1267,1999,3281,1744,5024,104,170,271,110,173,281,3488,2088,5580,10515,11242,21761,1743,2020,3761,6854,7234,14090,4709,5358,10060
UCL212009,12795,14439,27240,5644,3149,8795,1823,4235,6058,458,643,1104,278,252,532,8207,8282,16486,3822,5321,9142,3.4,3.1,3.2,64.1,57.3,60.5,62,55.6,58.6,424,523,946,241,532,779,1345,2238,3581,954,1534,2491,3191,2010,5204,123,196,316,147,238,386,3462,2448,5910,12682,13805,26483,1955,2168,4123,8293,9040,17335,5608,6256,11867
UCL213001,5310,6099,11408,1860,1069,2936,674,1471,2149,197,215,415,163,107,276,2897,2868,5768,1986,2734,4719,5.7,3.8,4.8,54.6,47,50.6,51.5,45.2,48.2,94,153,254,60,162,218,349,632,981,373,640,1017,1377,850,2225,55,110,160,71,90,156,1500,1047,2549,5076,5647,10724,850,945,1795,3168,3570,6744,2408,2691,5100
UCL213002,4420,4660,9080,1215,743,1958,691,1271,1961,119,164,283,88,81,167,2119,2248,4371,2007,1999,4011,4.3,3.4,3.8,48,48.4,48.2,45.9,46.7,46.3,305,433,741,147,306,445,634,928,1562,361,512,878,762,382,1150,33,53,86,52,69,117,846,501,1352,3708,4208,7919,584,662,1243,2421,2781,5201,1675,1911,3587
UCL213003,4960,5301,10261,2167,1101,3262,594,1416,2014,180,253,437,116,60,177,3055,2830,5881,1638,2217,3860,3.8,2.1,3,61.6,53.3,57.3,59.3,52.2,55.6,72,105,179,47,100,147,309,539,849,283,495,779,1288,835,2128,48,67,116,53,85,143,1396,991,2386,4895,5194,10090,727,710,1433,3276,3480,6756,2044,2137,4180
UCL213004,5516,6236,11750,2385,1259,3642,686,1671,2356,192,289,486,159,128,283,3417,3348,6768,1825,2589,4419,4.6,3.8,4.2,62,53.7,57.6,59.1,51.7,55.2,107,150,260,69,189,264,401,745,1151,405,709,1116,1783,1060,2842,45,109,151,103,125,224,1928,1293,3219,5531,6049,11578,1070,1213,2277,2989,3265,6254,3191,3544,6741
UCL213005,6325,7036,13358,2534,1411,3942,862,1928,2788,212,312,529,191,152,340,3798,3799,7597,2296,2954,5255,5,3.9,4.5,60,54,56.9,57,51.9,54.3,179,230,410,115,278,391,606,1008,1611,584,909,1500,1999,1098,3095,63,106,169,100,135,238,2162,1338,3500,6379,6774,13152,1092,1230,2317,3659,3868,7531,3422,3789,7207
UCL213006,3999,4391,8387,2136,1123,3260,514,1421,1939,153,201,354,88,87,179,2889,2835,5727,989,1377,2362,3.1,3.1,3.1,72.3,64.7,68.3,70,62.6,66.2,183,224,410,130,247,374,568,882,1448,435,563,1001,1102,442,1544,26,49,79,71,82,148,1199,571,1772,4539,4737,9280,605,662,1261,2995,3087,6080,1830,1973,3804
UCL213007,6313,6964,13281,2831,1568,4398,805,1895,2695,230,292,514,152,115,265,4016,3864,7880,1937,2722,4654,3.8,3,3.4,63.6,55.4,59.3,61.2,53.8,57.3,151,191,347,69,201,276,463,883,1342,440,764,1206,1705,1033,2741,63,120,180,83,103,186,1853,1260,3108,6356,6753,13109,986,1116,2101,4167,4400,8570,2750,3019,5772
UCL213008,6040,6445,12488,3253,1759,5009,680,1867,2548,238,295,527,198,147,340,4366,4066,8431,1483,2168,3653,4.4,3.6,4,72.2,63.1,67.5,69,60.8,64.8,189,229,424,86,230,316,637,1023,1657,622,779,1404,1758,1011,2774,49,73,118,75,113,188,1884,1196,3080,6410,6614,13017,979,1096,2076,3977,4044,8020,2920,3220,6141
UCL213009,4738,5295,10033,2168,1200,3372,692,1641,2329,138,250,388,134,119,250,3127,3209,6342,1431,1874,3299,4.2,3.7,4,66.1,60.6,63.2,63.3,58.4,60.7,113,150,261,61,181,238,430,797,1229,425,676,1099,1504,880,2377,61,68,135,58,105,163,1625,1049,2675,5042,5346,10390,618,687,1306,3382,3633,7017,1927,2066,3993
UCL213010,6372,6878,13251,2022,1084,3108,637,1522,2155,210,245,453,345,223,571,3216,3066,6287,2647,3293,5942,10.8,7.2,9.1,50.5,44.6,47.4,45,41.4,43.1,61,91,148,40,113,157,272,508,777,365,585,959,2040,1136,3176,62,111,176,68,112,179,2169,1361,3530,6038,6401,12440,850,945,1792,4190,4337,8527,2347,2682,5034
UCL213011,5672,5949,11620,1528,839,2362,643,1167,1816,179,204,382,334,239,575,2688,2448,5137,2377,2866,5241,12.5,9.8,11.2,47.4,41.2,44.2,41.5,37.1,39.3,57,83,133,44,75,114,256,369,629,272,425,694,1505,890,2392,66,115,179,56,82,140,1624,1086,2710,5257,5447,10696,798,786,1581,3609,3652,7255,2079,2212,4292
UCL213012,4278,4517,8798,1543,789,2338,544,1138,1686,157,184,344,138,103,243,2388,2220,4604,1612,2024,3634,5.8,4.7,5.3,55.7,49.1,52.3,52.5,46.8,49.6,53,86,140,34,114,154,261,434,686,209,461,668,1179,691,1877,35,75,112,66,80,147,1282,849,2130,4071,4223,8291,657,707,1368,2702,2747,5444,1822,1997,3814
UCL213013,5439,6119,11554,2228,1216,3444,639,1539,2178,178,218,399,166,158,328,3216,3132,6345,1863,2630,4495,5.3,5,5.1,59.1,51.2,54.9,56,48.6,52.1,162,211,372,92,184,278,535,839,1375,461,665,1123,1453,836,2289,68,83,153,60,98,152,1586,1014,2598,5087,5630,10720,1137,1210,2343,3176,3499,6677,2682,2979,5658
UCL213014,4152,4649,8798,1954,1098,3056,496,1190,1685,127,206,331,104,51,163,2689,2545,5235,1168,1812,2982,4,2.1,3.1,64.8,54.7,59.5,62.3,53.6,57.7,55,109,164,52,120,174,303,530,834,297,436,735,996,633,1631,37,64,99,55,84,138,1087,784,1873,4110,4485,8594,621,743,1365,2699,2986,5681,1760,1966,3724
UCL213015,5514,5589,11106,2992,1507,4502,671,1509,2175,212,288,500,168,187,357,4042,3495,7537,1205,1850,3051,4.2,5.4,4.8,73.3,62.5,67.9,70.3,59.1,64.6,175,221,393,59,160,213,435,712,1141,474,739,1216,1568,896,2465,61,90,149,71,100,167,1696,1087,2789,5799,5767,11567,1158,1134,2291,3191,3163,6349,3160,3221,6380
UCL213016,7572,8739,16309,3072,1869,4943,1019,2275,3290,245,367,612,175,141,318,4511,4647,9161,2620,3570,6198,3.9,3,3.5,59.6,53.2,56.2,57.3,51.6,54.2,166,280,449,126,321,451,671,1149,1819,545,953,1492,2039,1215,3249,66,142,210,98,143,236,2200,1493,3700,7504,8351,15853,1177,1336,2509,5015,5532,10547,3223,3706,6930
UCL213017,7308,8306,15613,3249,1832,5079,927,2208,3130,251,368,625,193,179,376,4621,4588,9209,2329,3330,5662,4.2,3.9,4.1,63.3,55.2,59,60.6,53.1,56.6,271,345,610,158,307,467,829,1256,2083,605,997,1597,2014,1152,3168,63,142,196,111,161,270,2181,1451,3633,7095,7769,14867,1420,1649,3069,3966,4425,8394,4037,4514,8554
UCL213018,3484,3756,7238,1209,608,1814,382,864,1242,119,166,290,58,39,97,1769,1680,3445,1502,1817,3316,3.2,2.4,2.8,50.7,44.7,47.6,49.1,43.6,46.3,44,67,109,36,90,127,214,364,578,248,348,599,1000,481,1481,32,58,88,44,65,107,1079,596,1678,3269,3521,6788,584,574,1158,2108,2200,4306,1587,1743,3330
UCL214001,2820,3093,5910,1052,672,1724,347,709,1056,107,138,242,78,57,130,1586,1577,3160,1065,1344,2407,4.9,3.6,4.2,56.3,50.9,53.4,53.5,49.1,51.2,62,63,126,27,80,99,160,308,469,168,345,508,694,439,1131,32,52,84,19,45,68,743,535,1280,2707,2848,5551,449,511,963,1813,1862,3676,1170,1325,2500
UCL214002,2263,2348,4611,1207,554,1759,278,791,1066,87,147,233,45,51,93,1613,1539,3148,555,737,1292,2.9,3.1,3,71.2,65.5,68.3,69.2,63.5,66.3,38,56,98,29,98,120,147,329,479,210,292,495,801,451,1248,16,36,54,19,36,57,841,524,1359,2580,2584,5169,342,353,696,1616,1572,3188,1093,1179,2277
UCL214003,3928,4446,8379,1369,767,2138,448,970,1419,150,195,345,94,66,162,2065,1999,4062,1530,2083,3616,4.6,3.3,4,52.5,45,48.5,50.1,43.5,46.6,89,112,207,56,120,181,245,449,694,283,458,743,1023,621,1644,44,80,123,48,66,115,1119,765,1883,3587,4048,7638,537,612,1145,2316,2610,4928,1622,1811,3433
UCL214004,2259,2267,4522,799,412,1207,262,520,783,76,82,163,50,46,96,1192,1062,2253,899,1044,1949,4.5,4.3,4.4,52.7,47,49.8,50.3,44.9,47.6,22,27,50,8,44,55,105,189,295,107,219,327,543,287,830,19,27,48,21,31,50,585,347,927,2106,2120,4224,366,356,722,1317,1380,2691,1028,986,2017
UCL214005,420,421,839,158,100,259,46,101,144,27,20,45,5,10,13,228,223,458,160,179,340,1.3,3.5,2.4,54.8,53.4,54.1,54,51.5,52.8,0,0,3,6,11,14,13,45,57,23,45,68,144,67,214,5,6,11,8,9,14,157,81,243,424,426,847,35,40,76,309,319,627,131,125,256
UCL214006,2706,3145,5860,668,447,1112,371,658,1035,136,146,279,62,42,111,1239,1295,2533,1265,1592,2856,5.3,3.3,4.3,45.7,41.2,43.3,43.3,39.8,41.4,73,85,159,43,102,137,268,375,640,287,388,667,741,349,1087,26,60,90,56,71,126,825,482,1309,2365,2642,5010,557,647,1200,1289,1390,2675,1505,1757,3261
UCL214007,1941,1986,3924,1126,701,1828,228,534,761,79,115,193,52,68,121,1482,1417,2905,347,492,840,3.4,4.9,4.1,76.5,71.4,73.9,73.9,67.9,70.9,80,104,187,26,72,98,248,392,642,200,275,471,539,272,819,10,26,42,28,37,63,581,338,917,1939,1960,3899,386,417,804,739,755,1499,1377,1420,2800
UCL214008,3759,4236,7992,1503,832,2335,504,1086,1587,142,182,323,82,63,142,2236,2156,4393,1325,1830,3148,3.6,3,3.3,59.5,51,55,57.3,49.4,53.1,102,108,206,62,118,181,277,526,808,206,425,632,1079,576,1657,35,75,112,37,66,97,1153,715,1864,3616,3921,7538,619,730,1349,2436,2637,5076,1563,1784,3347
UCL214009,3438,3820,7258,1362,696,2052,476,1083,1565,151,200,354,93,61,151,2070,2042,4117,1170,1575,2745,4.4,2.9,3.6,60.3,53.5,56.7,57.7,52,54.7,98,142,233,61,132,192,309,552,861,282,483,765,1010,517,1527,19,57,77,45,81,132,1078,656,1736,3524,3853,7379,381,390,771,2502,2692,5194,1210,1346,2563
UCL214010,2420,2691,5113,703,418,1124,365,639,1002,95,144,239,41,27,73,1205,1233,2435,1105,1336,2443,3.4,2.5,3,49.8,45.7,47.7,48.1,44.6,46.2,111,140,250,75,147,219,323,513,835,238,315,553,625,272,899,15,33,49,36,44,76,675,341,1024,2272,2524,4798,439,459,899,1348,1478,2825,1248,1366,2614
UCL214011,3378,3710,7087,1544,846,2388,377,908,1290,120,176,296,104,89,195,2155,2013,4167,1048,1487,2538,4.9,4.3,4.6,63.7,54.3,58.8,60.6,51.9,56.1,78,111,195,47,105,152,226,443,669,262,422,684,1021,534,1554,34,53,89,56,81,141,1107,670,1777,3449,3614,7063,522,599,1120,2047,2088,4132,1698,1902,3602
UCL214012,2368,2634,5003,904,485,1384,252,617,869,95,104,202,65,45,111,1309,1254,2563,915,1191,2104,5,3.7,4.4,55.1,47.7,51.2,52.4,45.9,49,30,42,74,22,59,78,118,254,369,146,250,401,649,367,1020,15,51,65,24,49,71,690,467,1160,2333,2496,4826,337,349,682,1614,1752,3373,912,955,1865
UCL214013,2030,2282,4313,799,507,1308,278,546,829,71,96,168,56,44,92,1205,1193,2398,723,980,1705,4.5,3.4,3.9,59.6,52.3,55.7,56.9,50.5,53.5,96,139,231,66,129,192,292,396,692,175,240,413,386,221,603,21,27,49,28,46,74,429,293,723,1982,2207,4190,335,343,673,1222,1397,2618,981,1052,2032
UCL214014,2718,2887,5602,594,340,932,320,584,905,99,110,212,67,47,123,1088,1082,2168,1357,1526,2881,6.3,4.7,5.5,40,37.5,38.7,37.5,35.8,36.6,35,58,94,36,64,98,144,250,393,181,253,437,744,360,1100,35,52,90,54,44,97,828,458,1284,2416,2520,4938,400,404,810,1618,1680,3298,1055,1136,2188
UCL214015,2099,2476,4575,828,428,1256,294,620,908,62,108,173,28,38,69,1211,1197,2406,775,1156,1936,2.4,3.3,2.9,57.6,48.4,52.6,56.2,46.7,51.1,46,54,95,25,77,104,156,328,486,147,256,400,601,327,925,23,49,73,18,59,82,642,438,1082,2132,2372,4506,343,382,722,1360,1501,2863,980,1159,2142
UCL214016,3124,3494,6620,837,516,1349,331,719,1053,100,110,213,115,68,181,1382,1414,2792,1546,1872,3417,8.2,4.9,6.5,44.3,40.4,42.2,40.6,38.4,39.4,28,43,70,22,66,86,170,279,446,143,273,413,830,490,1325,39,64,99,39,46,89,909,600,1507,3031,3312,6344,377,430,808,2112,2214,4323,1161,1394,2553
UCL214017,2174,2487,4657,598,354,960,319,571,891,80,110,195,27,37,62,1026,1074,2104,999,1270,2269,2.5,3.5,3,47.3,43.3,45.2,46.1,41.8,43.8,204,178,384,75,161,227,477,640,1119,245,335,585,370,150,521,14,18,30,36,57,90,416,226,648,1893,2181,4072,376,421,799,1139,1320,2462,1052,1180,2231
UCL214018,3893,4206,8096,1036,627,1663,452,819,1268,146,172,323,84,71,161,1722,1693,3414,1868,2197,4074,5.1,4.3,4.7,44.2,40.2,42.2,42,38.5,40.2,152,182,329,92,139,230,362,573,933,367,517,882,1046,474,1519,22,54,75,65,98,161,1133,626,1759,3258,3433,6693,731,825,1553,1960,2035,3991,1921,2122,4046
UCL214019,2500,2607,5101,847,467,1314,279,603,886,88,107,192,83,73,156,1293,1250,2544,967,1151,2118,6.5,5.6,6.1,51.8,48,49.8,48.4,45.3,46.8,36,43,80,16,63,79,144,218,362,136,249,390,610,345,956,24,51,80,25,37,63,660,439,1096,2296,2420,4718,343,339,681,1558,1676,3234,981,986,1961
UCL214020,2323,2439,4765,811,478,1290,304,532,835,86,101,185,59,54,110,1255,1163,2420,845,1056,1898,4.5,4.6,4.6,54,47.7,50.8,51.6,45.5,48.4,36,43,77,18,56,68,136,228,368,131,225,356,556,335,899,27,34,57,25,31,54,607,402,1006,2187,2264,4455,290,295,587,1523,1572,3098,852,867,1712
UCL214021,2100,2330,4436,994,487,1485,218,643,856,73,104,179,53,47,99,1331,1281,2619,675,930,1604,3.8,3.7,3.7,63.4,55,59,61,53,56.8,39,58,96,26,63,91,110,245,356,142,284,429,724,351,1077,21,43,65,30,35,66,779,432,1204,2213,2374,4579,296,320,621,1523,1553,3083,852,1001,1850
UCL214022,3380,3828,7209,939,495,1433,478,902,1379,113,146,261,98,67,162,1630,1607,3244,1528,1939,3464,6.1,4.1,5.1,48.2,42,44.9,45.3,40.3,42.6,57,58,112,40,83,125,188,375,564,194,351,547,964,544,1505,29,68,91,34,58,95,1023,671,1696,3215,3534,6747,490,516,1003,2089,2310,4397,1460,1588,3052
UCL215001,613,637,1246,199,118,316,120,189,316,29,15,45,9,0,19,361,332,695,209,261,465,3.1,1.2,2.2,58.8,52.3,55.4,57,51.6,54.2,52,83,134,27,52,79,167,182,350,57,85,137,119,39,155,5,0,4,8,7,11,125,46,172,544,584,1123,84,82,167,361,375,736,250,270,520
UCL215002,1015,1114,2126,348,190,541,126,235,364,38,47,84,23,16,40,532,495,1026,430,559,993,4.1,4,4.1,52.6,44.5,48.3,50.4,42.7,46.4,18,25,45,20,35,55,73,132,208,78,140,214,282,132,410,7,17,23,18,16,35,297,169,470,984,1061,2045,129,133,267,674,723,1397,388,422,805
UCL215003,1313,1427,2735,424,256,675,243,383,629,60,77,140,30,19,44,764,738,1499,477,621,1097,3.9,2.4,3.2,58.2,51.5,54.7,55.9,50.2,53,123,143,266,46,88,134,306,380,682,151,173,325,268,93,370,0,14,23,16,20,41,290,132,423,1226,1251,2477,222,264,481,738,776,1514,628,683,1319
UCL215004,632,661,1292,169,99,275,123,177,296,45,34,84,10,15,26,345,324,672,210,266,479,2.9,4,3.4,55.2,49.2,52.1,53.6,47.3,50.3,22,34,61,12,30,46,58,94,155,57,68,132,159,61,224,3,9,13,8,6,15,168,82,248,520,547,1067,126,111,231,344,356,701,274,279,553
UCL215005,477,469,946,141,61,201,46,86,139,19,18,36,8,12,17,214,181,395,214,261,474,3.7,6.2,4.8,45.4,38,41.8,43.7,35.7,39.7,11,9,24,4,8,18,19,42,67,17,49,70,115,60,173,3,6,6,4,12,13,125,77,200,463,461,924,41,51,91,313,302,613,175,170,349
UCL215006,1000,1122,2126,457,259,718,119,264,382,36,52,87,31,23,53,636,599,1243,323,459,780,4.7,3.8,4.3,63.7,53.7,58.4,60.7,51.6,55.9,21,39,62,15,61,77,90,156,244,76,136,211,306,166,469,13,11,24,9,16,31,326,201,532,1003,1100,2106,165,194,361,614,655,1265,503,573,1080
UCL215007,963,1065,2032,370,213,578,166,283,447,40,61,101,18,14,29,585,573,1157,319,437,753,2.9,2.6,2.8,60.9,53.7,57.1,59.1,52.3,55.5,54,57,112,29,66,98,202,285,482,99,158,262,239,95,334,3,12,14,13,19,30,257,124,376,1008,1100,2109,124,122,245,670,750,1419,411,414,824
