UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL213011,3609,3652,7255,653,718,1365,41,41,84,1157,1180,2336,32,38,78,16,16,32,18,16,31,10,16,29,12,7,21,0,0,0,0,0,0,1288,1316,2606,87,124,210,53,55,109,2079,2212,4292,851,864,1717,6539,6728,13268
UCL213012,2702,2747,5444,874,908,1775,48,53,105,648,732,1381,50,68,112,57,81,130,23,28,52,8,13,19,11,15,26,6,4,3,0,0,0,846,991,1833,68,75,145,39,31,70,1822,1997,3814,363,346,712,4883,5091,9975
UCL213013,3176,3499,6677,969,1100,2066,145,157,305,1057,1198,2255,147,150,296,56,55,105,25,23,54,21,15,43,28,21,43,29,24,53,0,0,0,1507,1643,3144,152,189,343,49,55,104,2682,2979,5658,466,460,923,6321,6942,13264
UCL213014,2699,2986,5681,767,832,1598,102,115,219,524,625,1146,30,31,63,25,20,49,17,18,31,5,10,15,11,11,29,0,0,0,0,0,0,715,831,1544,259,272,535,24,28,52,1760,1966,3724,360,382,741,4815,5335,10154
UCL213015,3191,3163,6349,671,659,1328,65,72,133,2076,2114,4187,47,52,99,20,15,33,16,20,39,5,10,14,17,11,25,0,9,11,0,0,5,2263,2288,4548,164,225,392,57,49,110,3160,3221,6380,339,306,644,6684,6684,13377
UCL213016,5015,5532,10547,1432,1581,3013,150,182,332,1256,1432,2683,93,115,213,23,27,52,29,42,73,6,13,24,16,18,39,4,12,17,0,0,0,1582,1849,3435,151,191,341,60,85,140,3223,3706,6930,569,633,1206,8810,9867,18677
UCL213017,3966,4425,8394,1221,1367,2591,70,61,125,2351,2632,4980,66,86,151,15,30,46,28,22,54,7,17,24,8,9,18,4,10,12,0,0,0,2546,2857,5401,207,230,439,61,60,116,4037,4514,8554,455,534,991,8462,9471,17937
UCL213018,2108,2200,4306,559,618,1179,179,214,399,739,786,1524,27,31,68,7,11,16,4,8,12,6,3,10,3,8,10,4,8,10,0,0,0,976,1064,2049,35,36,77,9,18,33,1587,1743,3330,269,281,547,3959,4225,8188
UCL214001,1813,1862,3676,541,606,1147,19,31,52,427,493,923,13,25,35,12,20,30,8,9,18,3,0,4,6,7,18,0,0,0,0,0,0,488,589,1078,119,114,231,20,21,42,1170,1325,2500,221,234,459,3203,3427,6627
UCL214002,1616,1572,3188,232,228,466,13,17,27,786,855,1637,13,14,25,3,8,5,4,3,13,5,7,12,5,4,3,3,3,8,0,0,0,825,902,1729,14,20,40,21,33,47,1093,1179,2277,111,112,218,2823,2860,5686
UCL214003,2316,2610,4928,674,727,1402,65,73,137,656,777,1434,46,51,90,17,15,36,19,19,32,9,10,24,14,17,34,8,0,9,0,0,0,836,965,1802,91,90,188,21,22,45,1622,1811,3433,443,483,924,4381,4901,9285
UCL214004,1317,1380,2691,399,400,796,107,130,233,353,316,673,21,20,43,3,0,3,11,10,21,3,3,3,0,0,4,3,0,4,0,0,0,501,481,983,109,96,197,27,14,34,1028,986,2017,219,196,415,2561,2560,5119
UCL214005,309,319,627,26,37,62,44,38,79,47,37,88,5,4,12,0,0,0,0,0,0,0,6,6,3,0,5,0,0,0,0,0,0,99,86,181,3,3,4,5,0,5,131,125,256,33,35,67,482,477,955
UCL214006,1289,1390,2675,460,556,1018,21,27,48,875,987,1865,25,32,56,4,4,8,11,10,22,0,0,11,0,3,7,6,0,8,0,0,0,952,1084,2034,71,85,161,25,30,51,1505,1757,3261,268,315,583,3057,3462,6522
UCL214007,739,755,1499,75,85,159,33,39,70,1129,1149,2284,16,7,24,3,5,17,3,9,15,5,0,3,4,3,5,0,0,0,0,0,0,1192,1218,2408,100,106,204,16,13,31,1377,1420,2800,121,99,220,2243,2277,4522
UCL214008,2436,2637,5076,717,850,1565,32,38,72,593,665,1257,50,54,100,44,46,83,22,15,32,10,8,21,7,9,14,0,4,5,0,0,0,753,842,1589,55,82,138,32,19,49,1563,1784,3347,279,334,617,4274,4761,9034
UCL214009,2502,2692,5194,411,475,889,29,31,58,675,722,1397,10,19,25,0,4,7,7,9,18,0,3,3,3,0,3,0,4,0,0,0,0,729,795,1522,45,50,96,26,26,54,1210,1346,2563,241,258,495,3948,4299,8251
UCL214010,1348,1478,2825,368,405,771,28,27,54,776,847,1619,13,21,39,0,5,4,9,7,17,3,4,9,4,0,6,4,3,5,0,0,0,834,916,1752,28,37,66,13,12,21,1248,1366,2614,156,161,318,2751,3011,5759
UCL214011,2047,2088,4132,474,527,1004,23,28,57,1046,1180,2231,27,27,58,14,10,26,12,9,21,4,3,13,6,4,16,8,9,8,0,0,0,1141,1279,2417,50,69,120,35,24,57,1698,1902,3602,236,268,507,3985,4252,8240
UCL214012,1614,1752,3373,439,479,919,29,28,57,345,348,693,28,19,47,3,0,4,11,7,17,3,3,7,9,5,12,0,0,0,0,0,0,424,418,842,34,36,71,13,18,30,912,955,1865,217,242,463,2742,2954,5696
UCL214013,1222,1397,2618,324,352,673,31,28,55,513,563,1075,9,17,21,7,11,15,3,3,3,0,3,3,4,0,7,0,6,8,0,0,0,561,630,1190,87,65,156,17,6,15,981,1052,2032,111,133,245,2317,2580,4896
UCL214014,1618,1680,3298,371,433,807,65,55,115,517,527,1042,20,25,47,3,6,10,5,5,17,5,9,14,6,9,14,8,8,16,0,0,0,633,640,1274,26,43,72,22,21,39,1055,1136,2188,377,378,756,3047,3192,6245
UCL214015,1360,1501,2863,409,490,902,14,21,31,470,561,1031,15,17,26,0,3,7,4,10,14,10,11,21,8,6,14,3,0,4,0,0,0,527,625,1150,30,42,67,13,3,20,980,1159,2142,162,154,319,2501,2818,5319
