UCL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL212005,97,137,144,127,499,616,252,610,34,2513,177,362,389,495,936,938,251,428,24,4001,93,161,184,153,692,908,240,322,27,2773,200,510,494,388,511,305,75,140,27,2660,103,326,354,228,670,442,102,118,14,2363,133,726,311,164,334,210,55,87,30,2047,61,110,92,55,317,335,135,228,39,1369,139,699,356,259,717,538,176,192,84,3170,24,29,29,14,42,78,15,21,148,412,1030,3046,2349,1891,4722,4369,1313,2154,435,21306
UCL212006,70,74,119,123,494,628,228,523,14,2272,203,298,372,317,852,853,240,381,17,3534,139,212,198,151,740,1017,288,430,47,3218,256,479,398,317,416,344,87,116,32,2446,130,334,397,256,868,646,161,180,25,2995,134,595,281,154,264,210,54,79,14,1786,72,120,110,88,313,336,135,207,18,1394,94,428,203,111,267,262,79,105,26,1583,13,26,16,16,60,84,11,34,73,329,1120,2572,2089,1527,4288,4374,1282,2065,255,19571
UCL212007,81,114,133,104,336,495,193,491,8,1956,200,410,456,347,628,729,241,432,29,3472,71,124,111,95,284,502,99,216,18,1506,169,383,203,116,133,212,68,67,12,1365,51,216,217,140,277,213,48,66,12,1239,78,316,120,70,130,126,32,56,8,933,15,40,28,16,34,52,11,37,6,239,62,267,79,35,69,88,26,50,6,687,15,15,12,11,26,27,8,24,28,167,741,1885,1360,929,1917,2443,735,1442,117,11561
UCL212008,56,56,95,55,225,301,142,275,3,1210,144,183,297,298,626,602,174,277,7,2616,88,103,132,89,522,569,170,274,21,1965,150,344,280,193,287,173,53,72,14,1568,105,222,303,227,538,304,68,80,17,1858,86,487,190,89,166,100,34,55,9,1222,39,56,51,28,154,181,142,155,9,817,56,360,151,94,219,174,88,120,26,1279,10,21,14,11,53,39,0,31,69,237,738,1829,1499,1092,2791,2443,868,1345,172,12775
UCL212009,67,81,102,100,322,424,195,383,7,1686,175,329,409,421,718,637,200,331,19,3238,104,149,169,137,510,678,137,265,15,2175,188,492,415,257,361,248,69,100,25,2152,78,277,277,201,437,266,72,68,11,1678,103,605,267,116,280,168,42,74,19,1668,36,84,50,47,171,214,91,162,7,851,119,636,250,138,399,426,120,110,38,2238,11,31,16,17,49,46,12,22,74,269,875,2679,1954,1420,3245,3112,928,1511,223,15954
UCL213001,20,30,41,20,115,125,54,135,3,551,37,78,99,113,182,201,68,96,7,887,34,52,65,58,182,228,52,82,17,762,63,173,161,119,115,77,27,33,14,781,31,101,92,74,159,99,20,23,5,616,33,192,94,46,94,69,18,19,15,581,17,17,31,20,78,61,37,69,13,343,36,187,155,103,208,101,26,36,16,863,17,9,3,9,26,7,0,5,35,116,284,834,752,558,1161,968,296,507,131,5496
UCL213002,24,41,55,56,92,119,41,103,6,528,68,215,222,182,180,212,64,138,11,1284,19,67,70,49,74,150,34,62,3,522,40,121,113,73,62,74,11,23,4,522,22,73,74,48,99,53,24,16,3,416,12,130,44,13,28,32,10,16,4,290,6,19,26,17,22,30,10,29,5,158,35,141,61,40,44,60,12,18,6,411,4,13,5,3,3,17,0,0,7,69,224,819,669,479,613,747,201,403,56,4207
UCL213003,17,37,43,32,104,106,68,137,9,549,39,68,77,77,112,141,42,90,3,649,35,80,48,32,165,231,81,113,13,795,64,149,155,123,133,72,21,34,15,771,24,76,81,58,117,93,19,31,0,504,35,218,84,49,66,46,10,18,10,525,18,28,22,9,101,98,60,122,13,478,82,256,120,68,355,283,75,63,15,1317,7,8,5,6,20,25,8,7,37,117,323,921,635,452,1187,1082,377,616,110,5707
UCL213004,36,41,41,26,117,173,44,152,8,644,60,127,132,111,209,195,69,111,7,1017,43,98,83,62,250,337,79,170,19,1132,75,200,178,108,142,94,16,20,23,865,39,102,113,87,227,128,31,32,6,769,41,190,95,50,100,60,19,30,11,594,13,36,39,30,80,111,42,150,9,511,44,195,110,89,141,125,38,69,20,842,9,17,6,3,19,17,10,5,31,118,358,1000,791,564,1299,1245,356,745,129,6482
UCL213005,29,39,49,43,155,204,84,143,6,747,90,145,178,166,286,256,78,107,10,1321,53,88,89,80,280,394,94,131,18,1228,90,240,194,141,151,130,35,52,14,1042,38,106,145,97,230,147,29,46,5,841,56,271,128,49,98,73,20,19,12,712,24,51,28,27,78,105,47,88,9,452,50,255,108,45,110,130,19,60,8,786,8,17,11,10,27,21,3,6,21,124,435,1210,926,651,1409,1464,407,660,96,7255
UCL213006,28,39,39,46,122,201,87,238,5,802,70,149,157,140,253,293,99,179,12,1345,30,64,56,46,176,262,86,143,14,876,78,189,96,60,73,93,24,43,6,655,30,116,115,92,173,142,31,43,7,747,19,185,53,21,51,55,17,22,0,429,7,23,23,16,35,63,16,53,3,250,25,138,33,27,53,66,12,21,6,375,6,6,4,5,11,16,3,8,8,64,285,912,570,456,942,1186,376,755,68,5546
UCL213007,39,59,67,73,199,259,83,222,11,1006,70,120,152,190,312,338,92,152,15,1436,41,78,41,72,293,341,92,117,15,1095,78,194,202,128,189,137,34,48,14,1023,42,107,127,113,224,161,35,28,7,847,45,235,120,71,150,86,25,25,6,760,22,41,34,25,102,109,30,111,15,485,44,247,105,74,139,148,23,41,12,832,9,14,9,8,14,12,9,11,40,125,383,1096,852,744,1631,1580,430,756,130,7613
UCL213008,31,27,43,42,187,194,65,191,6,781,74,119,155,138,359,376,98,153,6,1476,48,70,86,56,320,415,104,178,21,1294,93,216,205,119,189,201,38,59,6,1137,31,127,135,94,297,218,48,54,3,1007,54,232,116,56,114,75,19,15,5,704,40,32,47,39,155,198,56,164,15,751,51,222,95,44,149,130,36,78,11,811,7,10,11,10,27,27,3,22,31,138,429,1053,898,594,1793,1837,478,907,98,8091
UCL213009,25,48,32,49,106,161,48,131,0,606,67,112,135,134,255,235,63,93,8,1101,33,72,77,60,249,346,76,112,8,1029,72,204,183,118,128,113,24,42,10,881,40,98,119,94,211,129,32,36,9,760,39,235,99,49,83,60,18,29,0,613,12,39,41,18,75,94,43,74,5,391,19,173,94,44,106,93,23,30,16,602,9,9,7,11,19,26,0,4,18,104,318,985,775,566,1236,1265,322,547,70,6094
UCL213010,20,25,30,27,85,119,29,96,4,441,31,82,87,76,153,140,43,58,3,680,54,63,74,51,259,329,68,120,25,1032,72,202,197,125,147,76,32,43,19,905,34,97,115,79,242,124,27,26,0,742,27,192,93,66,95,52,8,13,19,564,21,42,33,30,84,96,43,74,12,422,45,202,99,59,163,119,34,53,21,793,9,12,7,5,17,25,3,12,54,142,306,913,727,514,1245,1082,284,491,149,5720
UCL213011,16,19,19,18,73,78,28,67,6,330,24,53,57,68,148,94,22,45,4,510,39,61,56,32,173,182,55,71,25,689,48,145,171,92,107,56,16,27,21,679,26,78,84,61,210,98,20,28,8,615,26,163,88,52,100,45,14,22,5,512,20,44,27,20,76,87,41,76,11,393,37,193,124,59,116,87,28,43,24,715,10,20,6,7,16,14,6,9,34,113,249,762,634,409,1017,745,223,385,136,4566
UCL213012,14,31,40,25,64,90,28,101,6,392,42,87,84,80,128,138,43,72,3,678,29,52,38,45,162,215,33,54,3,626,68,159,132,74,86,66,16,17,9,634,23,69,62,47,97,79,17,17,0,412,18,156,61,29,55,31,8,15,0,380,36,35,32,19,77,165,51,106,9,514,31,196,69,59,109,96,7,38,11,616,9,9,6,6,18,21,3,11,24,102,268,786,514,372,792,904,210,433,74,4361
UCL213013,20,38,53,28,129,174,71,199,3,718,67,129,147,123,252,321,108,179,9,1341,32,65,59,43,221,245,54,109,11,847,74,197,189,109,120,124,33,60,15,924,18,94,88,69,164,134,22,30,5,616,31,195,99,40,86,56,18,18,7,547,19,24,18,14,48,71,28,51,4,280,27,181,96,52,114,98,27,43,17,639,4,11,12,4,20,23,4,3,36,109,296,940,759,482,1148,1247,359,687,104,6021
UCL213014,20,39,42,33,118,163,81,191,6,685,49,79,83,86,194,229,49,96,3,871,14,46,51,27,152,236,53,96,11,686,57,131,124,83,121,87,15,37,3,653,12,67,87,61,160,125,22,28,6,570,39,136,82,32,73,68,20,28,8,491,10,22,19,14,51,63,16,56,6,251,32,166,89,74,184,144,27,33,16,767,6,9,6,0,20,18,0,8,29,98,237,697,576,411,1074,1125,280,576,96,5076
UCL213015,28,22,37,38,160,197,56,145,11,695,43,76,96,111,215,200,64,105,15,925,43,67,89,62,369,442,107,164,31,1377,73,152,180,124,182,131,36,37,28,933,40,96,143,74,302,208,50,56,9,977,43,201,100,49,120,74,16,21,12,632,23,43,39,35,183,190,68,146,15,742,42,172,81,52,154,132,46,53,10,747,3,8,7,9,36,34,4,14,37,156,345,842,772,565,1710,1609,441,738,158,7176
UCL213016,33,47,69,45,179,214,94,236,7,931,90,135,200,235,364,360,113,188,5,1685,49,91,89,64,325,371,92,130,9,1227,107,244,240,209,218,165,47,56,16,1300,38,133,149,136,243,152,37,49,8,953,71,292,136,72,145,94,16,46,9,880,21,57,39,32,180,127,26,112,8,605,62,334,131,89,237,154,30,58,23,1123,5,11,8,8,32,21,0,10,49,145,475,1341,1066,885,1932,1669,453,884,133,8842
UCL213017,35,48,56,50,187,238,91,286,7,996,106,200,214,221,391,401,109,272,12,1935,45,90,75,73,272,391,100,191,11,1249,112,273,207,146,161,141,34,62,11,1152,45,176,166,95,290,190,37,49,3,1057,46,227,104,44,111,87,29,50,8,703,29,45,48,26,91,95,45,113,5,488,63,286,124,114,227,161,54,76,26,1128,12,13,3,0,20,19,0,16,41,128,498,1349,1009,772,1748,1725,501,1101,120,8831
UCL213018,30,15,29,22,60,88,45,118,0,412,22,60,59,64,90,113,28,72,0,516,21,49,38,27,127,198,58,62,6,588,53,117,92,70,68,29,10,20,7,473,27,48,53,50,94,62,9,11,7,354,28,114,46,26,54,33,4,11,8,323,4,15,16,8,22,34,24,41,9,170,33,127,55,25,77,82,12,38,12,460,7,4,5,0,5,7,0,10,13,58,223,560,393,297,590,659,196,371,62,3352
UCL214001,7,19,10,16,53,91,21,70,3,293,20,36,39,41,91,96,29,41,4,395,25,26,40,33,74,99,23,51,6,368,55,77,69,75,107,105,19,46,13,565,6,44,42,31,76,48,9,12,0,274,13,93,36,18,48,28,4,11,5,263,11,11,8,9,40,48,16,34,5,191,31,116,63,71,111,132,34,25,11,594,0,16,5,8,13,19,0,4,17,78,181,435,320,297,612,665,165,289,62,3027
UCL214002,20,14,12,20,55,70,30,79,0,299,42,64,71,48,84,95,21,43,7,472,16,41,34,32,135,178,51,95,7,590,48,95,72,46,67,73,15,16,0,435,25,55,73,50,100,63,24,20,5,406,22,111,44,21,31,26,8,15,0,275,18,16,14,8,33,62,24,65,9,237,10,73,38,13,54,60,9,34,0,295,0,0,0,4,12,13,0,5,13,53,192,464,356,248,576,650,179,368,36,3060
UCL214003,18,37,27,18,73,96,25,94,6,392,44,66,65,73,125,135,42,83,6,641,15,54,34,44,115,183,37,96,20,595,55,144,118,64,78,52,17,21,18,568,21,63,42,40,117,77,16,34,9,425,18,108,68,31,48,34,3,18,6,338,18,14,18,10,72,68,17,68,9,294,28,137,75,39,75,89,30,67,12,556,10,8,5,3,14,9,0,8,30,96,231,633,460,323,723,737,193,484,112,3899
UCL214004,9,16,12,14,40,73,24,83,5,274,14,23,23,22,44,50,16,25,0,207,14,27,21,16,53,86,28,40,0,289,23,59,56,33,39,21,6,8,6,259,9,35,36,28,50,45,4,3,0,221,13,65,30,22,34,31,4,3,3,190,8,10,12,12,38,30,17,40,6,169,24,78,82,47,88,77,51,34,8,487,0,10,3,4,10,8,3,4,13,47,116,310,278,195,398,409,154,251,46,2150
UCL214005,4,3,4,0,8,18,4,13,0,56,4,7,7,4,10,8,4,5,0,54,3,6,7,6,12,30,5,16,0,88,3,14,6,9,9,9,0,0,3,43,0,0,0,7,12,7,4,0,0,39,3,13,4,3,5,6,0,4,0,43,0,3,4,0,7,12,6,7,0,36,12,10,10,0,15,18,4,3,3,79,0,4,0,0,0,0,0,0,3,10,27,61,51,38,78,106,23,49,16,442
UCL214006,20,30,31,25,70,68,33,52,3,331,17,54,72,46,78,67,21,52,3,404,28,41,40,27,78,102,25,37,19,398,55,68,49,37,51,30,12,14,10,323,12,66,51,29,53,26,6,11,0,251,34,86,57,20,37,33,5,5,4,284,3,12,3,5,11,22,0,12,10,85,43,100,43,23,37,32,5,6,7,302,7,5,4,11,9,4,4,9,3,52,222,470,350,217,424,376,108,195,61,2426
UCL214007,7,11,13,8,64,73,25,34,3,246,28,30,38,46,148,166,31,57,8,543,13,27,27,21,106,144,35,43,6,425,35,60,52,30,76,58,10,22,4,338,22,30,60,28,163,89,20,25,3,436,21,54,48,8,45,33,5,11,0,222,8,18,16,18,60,64,23,45,6,262,15,46,41,9,54,43,13,15,6,241,8,3,4,6,13,19,0,4,5,64,151,278,308,171,729,684,161,250,42,2782
UCL214008,14,32,37,36,63,126,58,127,5,489,50,72,85,82,141,188,40,97,8,755,28,51,41,36,166,193,53,75,10,655,58,127,143,73,85,66,15,18,5,595,17,72,75,54,104,98,21,29,3,471,40,130,58,43,80,66,14,18,3,455,10,18,19,16,36,53,12,74,6,229,30,150,74,38,79,83,16,25,9,514,3,7,3,0,12,6,0,4,21,70,253,667,542,379,762,881,225,461,71,4249
UCL214009,21,38,41,40,97,120,42,98,4,492,51,91,109,58,106,155,38,63,4,684,29,81,70,44,148,226,59,89,8,761,88,153,96,47,67,41,13,17,8,529,20,86,90,57,88,71,20,25,3,450,25,75,53,30,36,33,13,12,8,280,11,23,24,10,50,65,20,42,4,246,51,146,66,40,55,75,17,16,6,475,9,0,4,0,8,5,0,5,11,54,297,693,540,326,669,793,223,377,57,3969
UCL214010,26,36,29,28,59,78,26,75,11,366,47,106,88,60,84,122,37,78,3,631,21,36,38,19,51,103,20,40,3,330,29,87,58,25,23,30,3,9,4,276,18,51,49,26,61,41,10,8,0,267,23,68,31,18,19,30,3,13,8,209,6,9,9,10,16,6,4,10,0,62,16,64,33,14,18,18,7,14,3,187,4,3,8,4,3,3,0,0,10,41,192,471,326,207,335,435,108,249,48,2363
UCL214011,17,8,29,21,82,105,30,80,6,374,29,50,70,67,103,134,59,92,9,605,31,45,32,44,172,238,56,97,7,731,55,98,94,49,85,86,18,24,3,517,18,76,78,48,148,108,17,36,3,524,15,120,55,31,41,31,9,15,8,324,10,19,24,19,62,87,38,86,8,346,30,120,54,28,71,81,18,43,16,466,0,7,5,5,11,16,5,8,21,88,214,554,430,303,773,883,250,486,80,3972
UCL214012,7,13,12,13,38,57,25,58,5,226,22,34,46,44,77,83,23,50,3,387,9,26,24,21,104,103,36,47,6,386,25,67,70,52,46,33,9,21,8,321,13,37,43,31,61,30,4,11,0,241,6,76,32,21,42,21,9,6,5,224,17,10,8,11,37,50,14,33,0,177,28,86,43,35,79,73,37,41,15,437,3,8,0,4,6,6,0,0,28,58,137,345,288,230,484,468,167,268,65,2453
UCL214013,23,24,20,28,54,92,31,101,5,379,22,75,51,66,75,123,40,81,4,542,17,31,12,22,67,83,23,29,3,288,27,50,35,25,45,33,14,16,0,250,12,39,32,22,57,43,16,21,0,235,14,70,27,18,21,26,10,21,0,212,3,11,7,0,3,20,8,25,0,78,16,76,35,35,57,41,9,11,3,279,7,3,0,3,10,5,0,0,11,41,147,372,226,223,389,460,150,306,30,2307
UCL214014,8,25,26,21,45,66,12,54,5,262,17,25,43,35,53,51,14,43,6,285,18,27,22,19,62,83,15,27,0,273,38,81,69,39,47,31,6,15,11,334,7,39,45,24,40,29,4,3,3,196,22,85,44,23,18,15,9,7,3,222,8,14,13,5,9,28,6,16,0,100,32,110,38,27,43,27,9,26,7,318,5,7,0,0,8,0,0,8,14,50,158,417,295,197,326,340,75,188,51,2050
UCL214015,7,18,16,12,34,55,22,66,7,236,16,46,48,58,75,88,28,50,4,410,5,29,20,25,83,120,34,54,8,384,23,88,62,42,43,33,9,3,10,301,9,44,46,34,63,42,14,11,0,257,20,78,37,25,43,23,4,8,0,240,11,5,17,7,29,31,19,41,3,170,20,93,35,15,41,46,29,17,7,295,4,4,4,0,3,7,0,6,12,38,124,407,285,213,409,438,153,258,47,2342
UCL214016,7,27,14,26,40,38,17,72,5,249,18,39,37,42,73,68,15,32,7,330,15,47,28,34,93,96,27,38,15,399,38,85,73,62,76,55,12,15,8,422,10,38,46,27,79,37,9,10,3,243,12,86,54,27,39,33,12,8,3,279,6,18,15,11,52,40,10,29,0,183,33,109,52,51,105,73,8,16,8,452,3,9,7,4,7,3,0,5,20,55,148,455,320,276,575,442,111,224,64,2606
UCL214017,16,36,36,22,61,76,32,76,0,360,35,109,99,63,93,100,33,81,13,624,12,31,29,23,39,61,12,27,3,243,28,72,35,19,17,25,4,9,4,216,15,55,54,20,48,32,8,12,0,245,16,49,23,13,11,20,0,13,3,147,0,6,0,3,7,5,0,3,0,31,19,48,16,11,9,9,4,9,7,126,5,10,7,0,6,4,0,9,14,50,146,419,299,174,290,333,93,237,48,2038
UCL214018,30,33,31,28,73,120,35,89,3,444,36,92,69,79,122,116,32,83,5,635,29,43,50,44,110,132,34,40,7,488,60,110,78,46,66,48,16,15,9,430,32,85,65,37,92,71,18,25,8,434,21,79,54,22,40,31,5,12,5,263,7,17,18,14,26,39,28,33,4,179,24,92,45,25,28,45,13,21,8,305,4,6,7,3,10,13,0,4,24,73,249,562,414,294,568,605,173,319,67,3254
UCL214019,9,14,15,10,59,63,34,51,0,253,16,10,21,40,63,70,18,43,0,271,20,29,22,18,100,101,26,37,3,364,43,71,66,52,52,45,16,25,7,374,9,39,36,28,84,46,3,17,4,269,15,74,45,22,37,28,8,7,7,239,13,9,11,13,33,36,7,29,3,158,15,113,53,56,74,63,17,20,8,423,0,3,0,4,8,8,5,0,22,42,140,360,280,243,504,453,128,226,51,2389
UCL214020,12,24,19,10,41,52,23,62,0,247,10,28,31,46,59,67,10,33,0,291,19,27,19,15,68,80,14,40,3,284,34,66,62,61,71,49,15,34,6,393,13,37,39,26,45,40,4,5,0,212,20,58,13,16,50,27,6,14,5,200,11,11,9,16,16,40,8,66,3,179,22,105,42,41,95,96,29,18,9,460,5,0,3,0,8,3,0,3,12,38,137,362,239,235,454,456,104,272,47,2305
UCL214021,12,13,13,19,42,60,24,78,3,262,20,34,50,39,63,57,19,44,0,331,23,29,23,28,132,204,59,65,6,573,44,67,60,44,45,37,14,19,4,339,12,48,64,41,75,64,15,21,4,336,12,89,39,13,28,32,5,14,0,236,6,12,14,3,33,40,15,42,6,175,11,56,32,15,49,47,11,11,7,240,5,4,0,4,10,10,0,3,18,42,141,347,294,213,477,554,165,289,39,2519
UCL214022,7,39,23,28,42,80,29,40,5,293,19,44,47,69,98,67,23,51,3,420,34,46,45,38,134,147,24,44,14,522,44,120,106,69,65,35,10,18,4,471,10,50,35,52,63,46,11,7,0,272,33,165,68,39,59,38,8,9,4,420,7,26,18,18,38,36,7,20,0,177,37,125,71,38,50,70,13,18,17,437,9,5,7,4,5,8,3,0,17,67,206,612,431,341,560,537,125,220,57,3077
