UCL_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL212005,5,64,49,133,13,5,5,0,0,270,0,0,3,8,3,5,5,0,0,23,3,50,59,302,79,52,35,7,0,587,0,0,0,3,0,3,5,0,6,9,3,13,27,39,28,11,8,0,0,119,0,0,0,7,10,21,31,20,5,97,0,0,0,8,9,0,0,0,0,22,0,11,14,35,16,7,3,4,3,93,5,19,14,84,39,21,6,0,0,188,0,0,9,107,3,6,4,0,0,126,0,8,8,54,25,11,5,0,0,110,0,0,4,42,63,50,30,9,0,199,0,12,5,24,3,11,5,3,0,62,0,6,0,37,18,0,5,0,0,65,0,0,0,0,3,0,3,4,0,15,0,0,5,9,10,3,0,0,0,34,29,167,215,515,159,143,98,58,27,1405,198,471,412,989,380,402,326,279,162,3624,3195,6761,5941,13028,5847,5642,4933,3148,1352,49862
UCL212006,0,0,4,21,9,11,4,0,0,43,0,0,0,4,13,8,4,0,0,34,0,21,33,127,63,40,35,10,0,327,0,0,0,6,4,9,13,9,4,55,0,0,8,9,8,0,5,0,0,25,0,0,5,32,32,42,56,52,10,230,0,0,9,15,4,10,5,0,3,51,0,12,28,30,39,22,16,5,0,148,0,11,14,36,31,20,4,7,0,127,0,0,0,11,0,4,0,0,0,25,0,3,7,35,15,12,0,0,0,76,0,0,0,5,3,8,0,0,3,19,8,15,4,30,18,15,13,5,0,106,0,3,6,39,15,11,0,0,0,75,0,0,0,11,3,5,3,6,0,33,0,0,0,6,3,4,0,0,0,24,0,30,24,171,105,103,100,90,25,642,55,192,143,418,190,155,116,87,42,1387,2298,4945,4601,10564,5187,4733,3411,1625,644,38010
UCL212007,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,0,13,0,0,6,12,5,8,0,0,0,33,0,0,0,7,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,32,20,23,36,17,3,130,0,5,0,0,4,5,0,0,0,13,0,8,17,65,40,25,17,4,0,176,0,0,0,0,4,0,0,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,5,16,14,51,20,13,19,5,0,139,0,0,3,6,3,0,0,0,0,9,0,0,0,7,6,7,3,3,0,30,0,0,0,3,3,4,0,0,0,13,3,19,6,108,48,37,45,21,4,294,47,108,80,223,121,89,131,72,80,953,1585,3497,2247,6023,3264,2501,2385,1085,414,22998
UCL212008,0,5,0,19,5,0,4,0,0,31,0,0,0,3,3,0,0,0,0,11,6,13,16,97,26,35,15,3,0,211,0,0,0,3,0,4,11,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,5,7,9,44,54,45,13,184,0,0,0,8,5,0,0,0,0,11,3,4,10,19,24,8,7,4,0,80,0,5,3,44,19,3,3,0,6,90,0,0,0,0,0,0,0,0,0,3,0,3,12,21,7,0,3,0,0,44,0,0,0,4,0,0,0,3,0,6,0,3,7,16,5,4,8,0,0,52,0,0,0,24,3,9,4,0,0,43,0,0,3,0,5,9,0,0,0,20,0,0,4,10,11,0,0,0,0,29,3,23,40,94,53,54,51,37,23,380,66,173,156,398,164,211,181,192,118,1657,1627,3473,3114,7300,3183,3437,2998,1775,725,27628
UCL212009,0,0,0,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,21,16,115,31,22,8,3,0,222,0,0,0,6,0,0,0,3,0,12,0,0,0,5,0,0,0,0,0,5,0,0,0,17,8,23,37,11,13,116,0,0,0,4,0,3,0,0,0,12,0,20,11,39,20,15,0,4,3,118,0,6,12,77,15,5,11,5,0,115,0,0,3,46,4,0,0,0,0,57,5,9,8,38,9,12,0,0,0,80,0,0,0,3,0,3,0,0,0,6,0,5,8,22,11,11,11,0,0,65,5,18,9,68,0,0,0,0,0,113,0,0,0,0,0,0,3,0,0,8,0,0,0,11,3,0,0,0,0,15,0,3,30,161,43,32,27,15,14,326,86,221,186,461,200,187,204,180,110,1845,1700,3956,3661,8160,4076,4252,3790,2258,1045,32894
UCL213001,0,3,3,9,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,4,5,12,11,63,25,15,12,5,0,138,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,10,17,6,48,0,0,3,0,4,0,0,0,0,9,0,3,0,23,7,0,7,0,0,44,0,0,0,15,0,5,0,0,0,21,0,0,0,15,0,0,0,0,0,12,3,0,3,29,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,4,0,0,25,0,0,5,23,14,12,3,0,0,53,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,6,0,9,0,38,14,15,20,21,9,129,43,116,92,210,109,136,127,128,100,1054,780,1544,1444,2989,1499,1704,1869,1367,543,13734
UCL213002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,0,0,9,5,0,0,0,0,23,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,5,8,9,12,15,5,10,54,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,3,4,4,0,36,0,0,0,8,0,3,5,0,0,17,0,0,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,10,6,9,14,6,0,55,0,0,0,33,14,5,0,0,0,50,0,0,0,0,0,8,3,3,3,15,0,0,0,0,0,0,0,0,0,3,0,5,13,49,30,27,24,15,4,163,12,54,54,92,98,71,97,98,115,696,438,1057,797,2276,1421,1475,1630,1005,465,10577
UCL213003,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,6,12,29,17,4,6,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,30,0,0,0,4,8,8,5,13,4,32,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,12,4,0,8,0,0,29,0,0,10,127,0,0,0,0,0,134,0,0,0,8,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,6,0,0,20,0,0,0,9,5,0,0,0,0,8,0,0,0,0,0,0,0,0,5,6,0,0,0,0,4,0,0,0,0,0,0,11,9,41,24,19,14,6,9,117,32,67,44,143,67,70,98,81,38,644,671,1418,1343,2991,1425,1499,1488,1033,492,12348
UCL213004,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,3,0,11,26,19,15,3,0,0,75,0,0,0,0,5,0,9,6,4,18,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,17,29,20,7,88,0,0,0,7,0,3,0,0,0,7,3,13,10,29,15,5,10,3,0,79,0,0,4,9,16,7,9,4,0,43,0,0,0,10,0,0,0,0,0,12,0,0,0,6,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,6,3,8,5,3,0,29,0,0,0,10,0,0,0,0,0,15,0,0,0,6,0,0,6,4,0,15,0,0,0,6,3,0,0,0,0,11,0,0,5,48,22,41,50,28,10,216,49,83,52,179,69,78,88,76,32,705,1043,1965,1528,3725,1613,1723,1738,1060,372,14764
UCL213005,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,7,5,34,8,11,5,0,0,82,0,0,0,4,0,3,5,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,28,42,24,8,117,0,0,0,6,0,0,0,0,0,13,0,0,10,16,12,24,13,11,0,80,0,0,0,7,0,6,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,4,11,16,5,6,7,6,0,59,0,0,0,3,6,0,0,0,0,8,0,0,0,4,0,7,8,5,0,22,0,0,0,7,0,0,4,0,0,17,0,10,6,39,23,36,39,22,12,182,20,61,39,106,55,55,85,80,36,543,878,1963,1580,3620,1866,2185,2383,1296,424,16199
UCL213006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,11,5,0,0,0,0,20,0,0,0,9,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,11,13,13,3,65,0,0,5,0,3,3,0,0,0,18,0,0,4,9,12,3,0,0,0,42,0,0,0,0,0,6,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,11,0,0,0,4,3,0,0,0,0,7,0,3,4,13,6,4,3,0,3,35,0,0,0,9,0,0,0,0,0,8,0,3,0,9,3,5,0,0,0,18,0,0,0,0,0,3,0,0,0,6,3,5,3,28,26,20,25,16,6,136,9,30,22,59,33,28,26,19,9,238,758,1857,1252,2616,1607,1212,900,578,223,10999
UCL213007,0,0,0,7,4,0,0,0,0,10,0,0,0,4,0,0,0,3,0,9,3,11,18,51,20,9,10,4,0,119,0,0,0,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,0,33,0,0,0,3,0,0,0,0,0,3,0,6,0,17,4,0,3,0,0,37,0,0,0,15,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,10,0,6,16,20,4,0,0,0,0,50,0,5,5,3,3,0,0,0,0,19,0,3,3,9,5,3,0,0,0,24,0,0,0,11,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,16,0,10,3,41,16,17,13,12,8,116,38,91,127,219,91,105,100,98,51,914,987,2020,1859,4030,1780,2018,1797,1213,576,16289
UCL213008,0,8,10,16,0,0,0,0,0,30,0,0,0,3,3,0,0,0,0,6,5,21,55,105,80,35,7,5,0,308,0,0,0,7,3,0,3,0,0,16,0,3,0,3,3,4,0,0,0,12,0,5,4,14,12,30,32,27,9,125,0,0,5,8,3,11,0,0,0,33,0,3,0,19,6,3,4,0,0,32,0,0,0,12,6,0,0,0,0,24,0,0,0,7,0,0,0,0,0,4,0,3,9,24,9,5,3,0,0,53,0,0,0,0,4,0,0,0,0,4,0,0,4,10,9,8,8,0,0,29,0,4,3,17,8,8,0,0,0,45,0,0,0,3,4,0,5,5,0,17,0,0,0,11,3,0,0,0,0,13,0,12,7,84,28,34,49,23,8,243,21,56,41,107,54,40,65,46,20,442,1115,2167,1791,4609,2085,1576,1464,701,262,15772
UCL213009,0,0,0,11,0,0,0,0,0,9,0,0,0,0,4,3,0,0,0,3,4,6,12,37,11,17,11,5,0,96,0,0,0,8,0,7,8,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,15,8,7,59,0,0,0,7,0,3,0,0,0,10,0,6,7,11,5,11,7,3,0,49,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,5,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,12,5,3,3,0,0,24,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,11,10,0,0,26,0,0,0,7,0,0,0,0,0,9,0,4,7,39,17,30,21,14,13,150,18,56,21,76,53,34,54,47,22,379,777,1508,1381,3105,1567,1495,1316,864,301,12319
