UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL214014,157,73,77,86,84,107,129,81,42,832,924,511,515,586,658,967,1343,767,261,6527
UCL214015,98,42,36,53,39,38,53,48,27,441,1037,554,545,659,571,703,797,528,218,5618
UCL214016,139,69,58,54,74,57,70,73,41,632,1150,741,783,627,886,1033,1229,937,383,7769
UCL214017,47,23,21,40,37,70,112,72,22,446,604,342,267,399,524,844,1236,754,296,5265
UCL214018,92,41,36,69,95,145,165,139,81,868,950,530,586,721,1037,1665,2169,1082,306,9048
UCL214019,128,78,93,81,82,93,72,31,25,680,913,727,732,604,723,863,805,442,208,6016
UCL214020,113,48,71,56,66,75,83,76,70,655,868,572,694,536,630,810,805,490,225,5627
UCL214021,89,56,39,48,49,35,48,39,33,428,1064,726,621,645,764,556,566,336,213,5497
UCL214022,122,64,70,74,68,89,112,81,40,714,1219,794,830,827,940,1186,1386,886,369,8430
UCL215001,15,12,7,18,24,23,31,5,6,130,147,107,91,101,193,326,283,111,34,1395
UCL215002,34,20,22,15,23,40,19,23,4,192,350,220,206,242,294,371,436,269,96,2480
UCL215003,44,11,20,24,32,43,46,14,10,245,454,222,254,331,361,544,613,306,102,3191
UCL215004,35,8,16,15,24,24,29,14,12,183,201,104,159,153,206,243,257,124,47,1491
UCL215005,24,9,6,12,11,11,21,15,5,108,186,89,103,93,134,141,215,116,50,1129
UCL215006,35,16,29,23,22,28,23,11,8,188,483,219,333,362,283,371,293,188,73,2613
UCL215007,45,13,18,26,27,22,17,18,4,192,496,192,154,324,328,348,363,240,79,2528
UCL215008,35,25,15,16,15,13,9,0,0,117,501,217,230,274,290,227,155,42,11,1950
UCL215009,10,14,11,14,7,10,16,7,6,93,133,73,63,98,105,164,188,101,14,938
UCL215010,30,20,11,21,25,28,21,9,3,175,485,313,148,316,346,320,224,98,32,2274
UCL215011,25,9,11,14,16,11,13,5,7,115,167,102,93,103,143,165,208,127,51,1166
UCL215012,33,26,17,34,23,36,30,25,10,230,532,252,233,391,459,466,552,305,110,3291
UCL215013,80,40,46,54,43,29,8,0,0,301,1187,427,855,766,466,281,143,25,6,4160
UCL215014,21,11,9,9,11,13,4,4,0,84,256,139,183,136,174,168,110,53,13,1231
UCL215015,28,35,32,16,30,31,31,34,28,266,353,232,229,289,330,355,364,252,80,2481
UCL215016,73,38,57,46,41,42,20,9,14,334,803,426,602,516,517,516,418,202,68,4076
UCL215017,60,21,34,15,30,23,15,14,10,215,620,323,314,340,314,327,223,174,75,2707
UCL215018,38,30,21,20,28,31,31,20,14,232,424,272,269,271,321,410,458,334,127,2884
UCL215019,50,33,43,45,44,43,36,15,4,307,430,229,238,311,344,349,274,99,18,2301
UCL215020,5,11,11,3,12,18,21,17,9,102,157,113,102,87,115,234,241,187,96,1336
UCL215021,18,15,9,12,23,19,7,9,3,113,178,126,103,108,190,206,187,90,18,1208
UCL215022,126,116,67,72,47,45,33,23,10,534,889,622,616,543,507,604,566,288,45,4679
UCL215023,14,17,13,7,14,11,13,17,10,112,228,153,150,115,194,215,202,171,76,1503
UCL215024,36,10,10,24,15,24,31,24,12,186,264,122,138,167,199,241,364,248,121,1870
UCL215025,25,8,9,9,11,14,18,9,5,99,154,81,87,97,110,218,224,78,19,1056
UCL215026,14,9,14,17,8,13,14,12,0,111,152,82,104,107,143,196,194,105,23,1108
UCL215027,14,19,12,13,23,12,19,14,6,135,176,90,107,115,134,179,170,146,76,1186
UCL215028,52,31,16,37,38,43,43,22,11,293,424,228,241,285,348,417,433,281,133,2794
UCL215029,41,24,29,31,35,64,77,27,14,342,425,222,320,361,547,725,660,321,150,3732
UCL215030,13,11,6,18,9,11,17,12,8,112,162,117,121,113,159,218,209,145,72,1315
UCL215031,30,13,8,14,22,19,12,11,11,144,206,111,114,116,158,208,211,154,87,1375
UCL215032,57,33,23,38,32,48,44,27,18,323,439,268,285,318,307,432,540,343,195,3116
UCL215033,51,19,20,25,15,20,9,0,0,161,819,267,317,562,417,233,174,38,3,2826
UCL215034,25,12,16,12,14,15,33,21,21,167,137,93,75,95,122,190,268,213,115,1308
UCL215035,28,12,15,12,12,19,25,14,0,143,368,177,209,202,193,180,177,106,23,1644
UCL215036,34,16,7,15,21,26,17,7,0,148,264,152,118,139,175,170,120,68,17,1226
UCL215037,17,9,13,20,11,9,16,15,7,122,184,93,158,145,179,226,238,113,21,1357
UCL215038,43,20,18,23,35,28,20,21,8,223,214,119,146,169,194,301,350,248,107,1844
UCL215039,27,15,27,18,14,23,37,16,7,179,252,150,172,150,153,192,260,151,59,1529
UCL215040,23,22,14,19,17,22,35,4,16,175,216,126,121,129,139,197,234,97,62,1328
UCL215041,74,34,28,39,41,43,50,31,27,366,608,327,326,355,418,528,543,386,208,3696
UCL215042,19,14,10,10,29,13,10,0,0,110,224,156,130,161,209,192,121,40,4,1247
UCL215043,71,15,36,36,25,18,24,10,16,258,817,375,571,440,350,301,242,139,94,3336
UCL215044,17,25,11,8,10,17,7,9,5,111,355,179,204,187,204,229,199,103,34,1705
UCL215045,56,35,25,28,35,48,37,33,13,309,668,383,448,363,443,516,545,316,177,3869
UCL215046,23,11,12,16,15,19,18,6,0,132,346,175,223,218,190,233,212,82,19,1691
UCL215047,44,23,26,29,17,13,22,8,3,187,483,243,427,262,242,208,177,87,34,2153
UCL215048,64,12,34,26,19,23,10,8,0,200,472,195,355,252,174,217,154,84,21,1923
UCL215049,8,13,18,11,14,22,33,19,12,144,117,103,155,106,117,214,258,121,56,1248
UCL215050,47,21,12,24,41,30,42,10,3,231,617,268,153,382,465,426,417,175,22,2926
UCL215051,100,40,38,52,32,39,44,18,11,379,871,457,524,528,438,596,619,370,144,4548
UCL215052,11,5,8,3,5,20,21,10,0,83,128,86,84,100,170,270,326,164,59,1381
UCL215053,65,32,35,52,34,44,34,28,3,330,736,276,456,495,439,558,537,355,143,3999
UCL215054,44,21,25,19,32,32,22,22,9,228,377,189,259,189,238,301,253,165,100,2077
UCL215055,21,16,9,12,16,23,23,9,9,136,186,83,88,136,173,342,403,171,26,1605
UCL215056,54,26,31,30,24,21,12,9,0,207,290,152,239,208,200,240,166,58,25,1584
UCL215057,36,7,15,18,15,15,21,8,4,135,353,154,147,198,223,248,225,134,68,1752
UCL215058,15,5,13,14,13,16,21,4,3,100,185,93,104,92,134,174,182,123,51,1147
UCL215059,22,13,10,16,22,32,30,16,5,165,343,180,199,264,271,348,392,181,69,2249
UCL215060,21,19,18,18,21,33,18,17,13,175,450,256,284,302,317,416,373,290,163,2846
UCL215061,34,15,16,24,20,33,36,31,29,240,318,155,206,224,192,308,344,203,88,2036
UCL215062,25,12,9,11,4,17,19,10,4,108,240,184,143,155,149,220,223,143,72,1529
UCL215063,24,5,6,14,3,3,13,5,7,85,205,108,125,111,97,134,167,96,40,1081
UCL215064,28,15,17,20,14,22,14,14,17,159,292,205,276,184,212,242,204,214,123,1949
UCL215065,93,41,60,45,69,57,50,26,16,446,585,364,406,346,443,521,561,390,195,3807
UCL215066,45,18,34,25,39,36,41,27,9,276,318,148,183,168,223,324,336,227,94,2024
UCL215067,23,6,19,8,11,25,10,9,7,118,129,78,125,90,105,138,170,102,75,1022
UCL215068,20,7,11,13,19,26,41,40,15,195,309,197,190,202,337,595,904,586,199,3505
UCL215069,40,19,20,17,23,31,56,39,23,274,581,240,240,386,358,470,623,353,160,3424
UCL215070,63,42,52,32,45,32,40,22,3,336,571,345,395,346,353,384,345,216,122,3070
UCL215071,70,38,17,26,52,29,16,5,6,251,717,444,329,435,556,532,362,171,28,3574
UCL215072,82,59,75,70,37,37,36,19,23,436,430,230,447,411,249,274,235,97,62,2441
UCL215073,33,22,17,24,40,37,34,33,19,258,388,261,217,230,335,443,434,338,162,2802
UCL215074,67,33,53,40,30,36,32,14,5,321,1044,534,758,629,668,571,471,218,44,4934
UCL215075,42,18,19,18,9,22,12,15,5,165,221,124,170,135,134,190,166,98,19,1249
UCL215076,30,25,13,10,20,24,14,20,3,158,389,212,237,236,272,335,370,199,74,2324
UCL215077,31,12,18,21,34,36,24,20,17,211,251,109,133,194,190,305,292,134,57,1664
UCL215078,27,19,15,23,19,12,4,0,0,124,445,223,283,260,246,236,136,69,14,1918
UCL215079,39,18,18,19,31,22,24,26,25,225,294,192,217,167,263,298,323,259,110,2126
UCL215080,32,31,19,15,21,19,17,9,0,160,448,232,316,243,216,250,308,130,33,2185
UCL215081,67,46,51,44,59,60,39,42,15,416,747,400,556,420,516,582,518,388,129,4259
UCL215082,35,19,14,26,28,16,14,7,0,153,543,246,248,351,316,277,199,52,13,2244
UCL215083,30,25,12,14,15,17,33,17,7,172,313,189,215,194,229,318,274,198,96,2020
UCL215084,29,22,13,10,17,12,14,11,5,127,265,149,166,107,155,156,172,97,69,1331
UCL215085,26,4,7,20,13,26,8,4,0,114,277,124,131,190,145,145,125,41,15,1196
UCL215086,50,30,28,30,32,20,30,35,36,292,777,400,442,477,455,392,485,287,122,3839
UCL215087,33,12,26,17,19,28,22,5,0,159,354,175,201,215,245,263,188,53,10,1705
UCL215088,40,38,20,17,63,39,35,16,6,276,271,176,130,184,343,337,275,135,58,1913
UCL215089,42,15,33,16,27,17,35,43,31,267,343,205,235,190,244,334,345,224,109,2227
UCL215090,45,24,21,26,21,19,18,9,0,187,365,178,314,254,207,270,259,131,63,2032
UCL215091,18,10,9,10,12,24,16,6,0,101,252,247,108,145,227,311,189,50,13,1542
UCL215092,59,30,17,37,44,33,25,25,14,286,948,386,358,603,698,555,608,372,140,4663
UCL215093,74,30,31,40,43,33,12,9,0,274,906,503,697,521,496,478,400,150,48,4198
UCL215094,20,14,13,10,18,10,5,0,0,90,216,129,80,120,174,158,108,40,0,1027
UCL215095,19,10,17,12,9,14,18,8,0,105,207,131,159,113,143,166,136,44,16,1107
UCL215096,38,13,24,28,23,27,22,11,3,194,489,256,312,299,330,272,280,152,38,2417
UCL215097,68,41,35,38,55,27,39,21,9,327,620,384,360,384,437,366,385,238,109,3283
UCL215098,16,5,13,4,3,8,10,5,4,74,262,129,202,152,118,198,200,95,33,1387
UCL215099,34,19,17,24,11,15,17,12,9,169,239,177,145,155,178,247,284,205,110,1739
UCL215100,18,4,11,17,10,21,18,16,5,113,184,94,95,113,133,222,214,168,61,1279
UCL221001,8,10,5,7,4,4,12,4,0,59,147,85,95,93,108,84,68,25,5,718
UCL221002,6,0,3,8,6,10,6,0,0,35,131,76,73,100,111,143,139,57,17,852
UCL221003,13,9,13,8,6,5,3,4,0,68,120,63,91,74,65,91,44,28,3,572
UCL221004,16,12,5,6,15,13,4,3,4,72,269,178,59,158,197,141,89,41,7,1139
UCL221005,8,4,0,3,14,9,9,9,4,64,119,49,77,66,88,83,105,61,29,674
UCL221006,7,7,0,4,0,9,7,0,0,31,129,47,67,90,69,81,105,31,6,628
UCL221007,17,4,9,12,5,9,3,0,0,53,95,45,68,58,57,113,65,30,4,534
UCL221008,19,14,5,11,14,24,24,20,26,161,123,59,44,71,77,111,141,97,83,808
UCL221009,14,14,12,13,4,4,5,3,0,60,123,78,79,83,60,91,78,21,7,626
UCL221010,13,0,9,7,3,6,4,0,5,53,111,56,74,69,69,99,62,26,6,574
UCL221011,13,5,0,11,4,7,4,0,0,42,124,82,44,82,105,91,63,22,3,619
UCL221012,6,7,0,3,10,11,9,3,0,54,103,62,37,60,84,93,44,13,3,504
UCL221013,14,3,0,20,11,18,4,3,0,72,118,61,69,86,92,114,47,22,7,617
UCL221014,9,0,0,13,7,14,15,8,0,66,117,72,72,101,119,170,195,86,25,960
UCL221015,16,6,3,9,11,7,6,0,0,50,67,40,38,40,70,99,104,34,8,503
UCL221016,36,13,10,15,7,7,0,3,0,82,309,119,106,166,117,81,56,12,4,957
UCL221017,18,3,11,10,8,3,7,6,0,64,175,88,94,93,117,143,148,59,11,920
UCL221018,13,12,9,8,16,25,13,20,15,134,110,84,77,64,127,173,194,105,61,993
UCL221019,9,5,10,6,9,13,11,3,5,74,118,69,83,82,122,156,147,73,31,886
UCL221020,13,3,3,9,10,10,13,4,4,75,100,62,56,74,98,157,160,95,75,867
UCL221021,11,10,9,12,9,9,10,4,0,74,128,68,108,110,79,111,82,20,9,721
UCL221022,5,0,0,4,4,0,15,5,6,38,85,32,51,52,72,62,102,41,10,511
UCL221023,11,9,5,8,3,3,7,7,0,52,86,48,35,39,85,131,138,97,24,680
UCL221024,7,3,0,7,11,8,12,8,3,60,98,71,59,56,132,199,237,105,28,994
UCL221025,3,6,3,5,9,6,17,8,8,60,92,42,67,65,84,107,128,82,50,713
UCL221026,13,4,3,3,14,10,10,0,0,71,79,49,63,65,94,127,127,64,48,725
UCL221027,12,9,10,14,17,8,10,20,0,98,118,50,75,62,89,127,101,99,30,753
UCL221028,9,7,3,4,6,26,24,18,5,106,68,47,20,47,73,162,217,147,29,811
UCL221029,13,3,4,5,7,0,5,3,0,42,148,84,98,69,102,111,50,37,8,703
UCL221030,8,3,0,0,8,12,12,0,0,46,22,19,19,32,85,164,128,48,4,510
UCL221031,23,3,0,15,5,5,4,0,0,49,143,65,63,99,76,76,54,23,5,607
UCL221032,12,11,8,13,12,15,3,4,0,64,111,49,47,74,78,74,76,48,8,570
UCL221033,7,11,0,9,4,8,10,5,3,51,43,36,51,39,45,92,98,56,46,509
UCL221034,6,8,0,8,14,5,4,0,0,42,231,122,60,159,159,95,71,15,3,914
UCL221035,11,9,3,5,8,14,15,12,20,94,99,65,61,60,106,109,131,86,68,779
UCL221036,20,0,3,3,8,12,3,3,0,54,170,90,81,92,104,129,84,27,7,773
UCL221037,7,5,0,8,0,8,0,3,5,38,88,66,59,61,77,101,127,68,30,683
UCL221038,16,9,17,11,19,12,12,5,0,112,187,99,106,120,156,110,83,31,0,901
UCL221039,22,12,10,13,15,20,7,8,4,100,125,89,85,72,91,122,106,64,11,762
UCL221040,3,5,0,8,14,9,8,6,0,57,85,72,53,47,97,107,121,75,4,661
UCL221041,17,3,4,3,4,3,6,0,0,39,146,62,90,82,90,93,65,12,3,641
UCL221042,11,9,11,3,12,11,11,0,0,60,90,44,78,68,65,80,76,39,10,554
UCL221043,0,5,5,3,11,21,27,16,0,87,44,39,26,31,130,275,325,125,17,1020
UCL221044,3,5,9,7,17,29,28,11,3,112,123,57,65,90,118,237,265,127,44,1118
UCL221045,3,10,6,5,4,12,6,0,0,57,135,69,78,97,107,122,97,33,8,736
UCL221046,24,5,13,22,9,5,4,0,0,82,448,128,346,254,107,101,91,30,5,1508
UCL221047,10,4,4,9,3,10,9,3,8,50,130,87,56,85,110,83,67,17,8,646
UCL221048,9,5,0,8,0,3,3,4,0,36,95,59,63,55,64,58,72,44,15,516
UCL221049,9,4,5,8,0,4,3,0,0,27,172,68,57,120,101,84,60,20,7,691
UCL221050,7,5,10,5,10,7,15,11,3,74,117,65,75,60,107,121,149,61,24,775
UCL221051,12,10,8,4,8,8,7,3,4,58,133,87,61,69,92,117,124,68,21,780
UCL221052,3,3,4,7,8,10,6,0,0,45,106,49,72,51,66,98,57,11,4,526
UCL221053,4,3,0,3,0,11,9,8,5,45,82,44,41,46,84,137,201,95,22,748
UCL221054,9,4,0,3,4,13,13,0,0,53,111,51,52,69,77,109,128,49,11,656
UCL221055,13,3,0,7,9,10,0,6,0,43,200,61,49,117,104,75,35,20,5,660
UCL221056,15,7,12,10,13,16,6,4,0,91,99,48,69,57,68,82,65,42,19,532
UCL221057,22,12,5,20,3,7,7,0,0,75,188,82,81,124,106,111,66,32,8,789
UCL221058,13,7,0,8,11,3,5,3,0,36,128,43,38,76,71,53,58,22,4,503
UCL221059,5,10,0,0,10,12,10,3,0,57,137,61,81,105,113,110,99,53,15,771
UCL221060,0,0,6,0,0,10,13,4,0,39,24,20,21,21,44,102,206,116,27,589
UCL221061,13,3,3,12,3,14,28,5,0,79,65,48,34,60,65,169,209,70,7,729
UCL221062,17,6,3,11,10,23,27,9,0,112,123,64,64,73,121,162,203,112,50,972
UCL221063,5,8,12,0,7,6,9,8,5,58,82,55,58,46,62,97,83,45,31,562
UCL221064,12,4,3,9,11,5,4,0,0,53,161,87,112,111,94,74,46,17,0,695
UCL221065,0,0,4,4,0,0,4,5,3,26,69,27,32,33,61,95,99,64,41,515
UCL221066,18,13,8,4,11,15,7,4,0,80,161,99,86,94,90,90,82,30,0,731
UCL221067,11,5,3,0,10,5,11,0,0,48,131,61,73,70,70,73,68,12,5,572
UCL221068,9,7,10,8,5,7,9,0,0,50,128,48,67,86,60,73,58,15,4,533
UCL221069,17,13,0,21,13,10,9,7,0,95,180,99,100,119,139,187,108,47,6,981
UCL221070,9,4,10,7,8,6,10,11,23,98,164,87,105,97,108,144,143,96,79,1016
UCL221071,10,16,5,14,3,4,13,12,11,81,126,98,71,75,97,124,108,91,41,830
UCL221072,27,3,11,9,3,9,11,0,0,67,116,41,83,63,38,87,73,15,0,513
UCL221073,3,3,0,0,0,4,0,4,0,22,102,81,45,62,79,73,51,11,0,507
UCL221074,14,3,5,4,6,11,15,14,23,94,103,41,49,67,98,164,166,100,38,827
UCL221075,6,3,0,3,5,13,18,3,0,53,102,44,48,71,100,166,184,83,21,826
UCL221076,10,4,10,5,4,24,16,13,3,92,89,33,67,77,117,206,211,83,18,904
UCL221077,9,13,5,6,5,17,7,7,4,78,89,47,44,64,82,139,130,81,48,717
UCL221078,14,0,11,9,3,5,6,0,0,34,87,59,75,75,84,87,54,21,3,541
UCL221079,11,9,3,7,12,14,7,8,0,81,80,43,43,36,87,133,130,81,22,650
UCL221080,0,4,0,0,6,4,5,4,0,32,71,35,41,66,80,107,100,53,9,570
UCL221081,3,3,0,7,10,9,6,12,19,69,75,37,53,30,79,91,86,67,33,562
UCL221082,8,29,18,21,21,12,4,0,0,115,142,141,152,162,160,117,50,16,0,939
UCL221083,12,6,3,9,5,9,9,4,10,73,197,77,71,123,124,176,157,109,79,1113
UCL221084,10,8,11,3,6,10,15,4,4,58,166,80,138,92,78,110,96,42,17,826
UCL222001,0,0,4,0,11,0,0,4,0,20,46,38,13,14,56,59,39,16,3,284
UCL222002,0,0,6,0,3,6,0,0,0,17,74,38,19,58,67,67,55,31,13,414
UCL222003,5,0,8,0,0,5,3,0,0,36,92,21,61,38,34,43,36,17,3,348
UCL222004,4,0,0,5,0,0,0,0,0,12,10,3,11,6,0,3,3,0,0,30
UCL222005,0,0,0,0,0,5,9,0,0,17,34,15,22,28,28,39,45,11,9,217
UCL222006,5,6,0,0,5,6,6,0,0,26,72,31,23,52,46,81,73,26,5,393
UCL222007,0,0,0,4,4,4,0,0,0,12,26,17,13,20,36,48,34,9,0,198
UCL222008,9,0,0,4,13,10,3,0,0,36,68,27,32,57,87,64,45,15,0,381
UCL222009,7,9,3,4,3,4,6,3,0,35,49,29,46,32,32,56,57,34,7,341
UCL222010,11,3,10,5,8,3,0,0,0,45,49,51,42,47,61,48,41,22,0,354
UCL222011,5,6,4,0,4,0,0,0,0,24,74,54,23,52,62,45,35,11,0,347
UCL222012,0,4,0,3,5,6,8,4,0,31,64,37,20,37,67,90,68,25,0,405
UCL222013,4,3,0,3,8,0,4,0,0,27,24,19,23,21,29,48,48,29,6,243
UCL222014,5,9,5,0,4,6,4,0,0,24,85,37,42,67,69,54,35,8,0,403
UCL222015,0,5,3,6,5,0,0,3,0,21,83,48,42,48,66,43,37,12,0,386
UCL222016,0,0,0,0,0,3,8,0,0,15,25,18,25,29,25,52,46,18,0,244
UCL222017,7,0,3,3,4,0,0,0,0,27,25,10,12,13,18,46,40,31,4,192
UCL222018,3,3,3,4,0,0,0,0,0,16,8,18,24,19,27,8,9,0,0,127
UCL222019,9,0,0,0,0,4,5,0,0,26,61,46,36,42,51,69,47,27,5,386
UCL222020,11,6,6,3,0,0,0,3,0,17,55,23,17,29,35,44,32,14,3,260
UCL222021,3,11,6,8,7,8,4,4,0,45,53,22,34,43,37,56,38,20,4,307
UCL222022,0,3,0,4,0,4,3,0,0,21,36,20,21,22,41,47,50,31,7,273
UCL222023,13,0,5,3,7,3,5,0,0,42,118,30,61,68,74,66,34,16,3,483
UCL222024,6,30,16,9,15,0,5,0,0,75,31,91,82,45,39,25,11,6,0,321
UCL222025,0,9,0,0,6,0,5,5,0,24,30,17,13,22,31,20,42,25,4,207
UCL222026,3,0,0,4,0,0,0,0,0,11,74,26,30,46,40,54,49,16,0,330
UCL222027,6,0,6,5,0,7,4,3,0,19,69,18,43,50,37,46,62,22,0,355
UCL222028,8,5,6,4,4,8,0,0,0,35,75,36,41,49,35,43,35,9,3,326
UCL222029,4,0,0,3,0,0,0,3,0,12,40,11,19,17,16,33,37,22,6,208
UCL222030,13,0,3,13,0,4,3,0,0,32,62,17,12,37,27,34,25,16,6,240
UCL222031,5,5,0,6,4,3,9,0,0,29,51,19,28,30,43,50,52,22,8,303
UCL222032,7,5,11,5,3,4,7,0,0,46,52,22,65,54,36,50,59,20,10,363
UCL222033,6,0,7,11,10,15,5,0,0,56,67,18,47,49,57,60,35,11,0,354
UCL222034,7,7,4,4,7,7,14,0,0,41,52,42,34,44,51,44,54,14,7,332
UCL222035,4,0,0,0,0,4,7,8,11,38,33,13,23,26,30,77,64,23,22,326
UCL222036,0,10,3,5,3,4,3,0,0,35,36,23,31,23,27,38,29,23,10,240
UCL222037,0,0,3,0,0,0,0,0,0,14,48,25,34,21,45,38,17,13,4,255
UCL222038,10,0,0,3,5,0,0,0,0,16,55,28,15,27,35,28,24,6,3,222
UCL222039,9,4,0,3,6,3,0,4,0,27,64,36,26,34,51,58,29,12,0,310
UCL222040,4,6,3,0,3,10,6,5,0,41,62,31,22,43,74,98,78,32,15,453
UCL222041,0,0,0,0,3,0,6,4,0,16,42,23,27,28,43,43,39,19,4,272
UCL222042,4,6,4,0,3,3,0,0,3,19,41,23,18,16,29,50,38,33,5,250
UCL222043,8,0,5,4,0,7,5,0,0,28,78,31,53,31,58,57,72,29,6,423
UCL222044,9,3,7,9,0,3,7,0,0,39,39,21,31,29,35,70,58,21,10,321
UCL222045,11,13,6,4,10,5,3,0,0,43,62,35,26,29,50,44,37,13,4,292
