UCL_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
UCL212005,0,3,0,23,8,0,0,0,0,41,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,0,0,0,0,21,16,71,111,266,76,65,53,30,16,695,94,226,183,505,176,197,169,151,97,1789,1532,3251,2905,6763,2963,2930,2640,1693,838,25520,3,56,145,308,138,70,22,5,0,744,2914,5548,4520,7851,4224,4267,3694,2261,943,36217,0,4,0,19,4,3,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,18,0,0,0,11,0,0,0,0,0,11,3,6,3,4,4,5,6,3,0,32,0,0,0,6,0,0,0,0,0,6,0,5,6,130,32,33,20,5,0,230,0,0,0,5,0,6,10,8,0,35,0,12,8,14,3,0,0,0,0,47,0,20,27,79,66,132,162,135,40,650,0,3,5,38,16,4,3,0,0,76,0,0,0,16,3,3,4,0,0,25
UCL212006,0,0,6,34,7,0,0,0,0,54,0,0,0,9,4,0,0,8,0,18,0,0,0,6,0,6,0,0,0,11,0,12,12,93,46,46,55,48,16,326,28,94,61,207,103,76,58,52,22,709,1130,2403,2200,5417,2696,2499,1829,900,404,19482,0,0,0,0,0,0,0,0,0,0,2227,4498,4093,8333,3998,3477,2244,929,373,30175,0,0,11,7,14,0,0,0,0,41,0,0,0,6,3,4,8,0,0,21,0,0,0,10,4,0,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,5,6,25,10,8,4,0,0,57,0,0,0,4,7,9,3,0,0,28,0,4,10,49,25,25,11,7,5,125,0,0,0,13,4,29,16,12,3,79,0,5,0,4,3,4,11,3,6,34,0,27,47,199,190,304,303,186,73,1325,0,5,5,13,15,14,11,5,0,65,0,0,0,0,9,3,0,0,0,20
UCL212007,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,9,0,3,5,71,29,17,17,8,3,152,21,45,41,115,49,46,63,35,45,470,792,1637,1105,3193,1675,1294,1220,568,254,11729,0,0,0,0,0,0,0,0,0,0,1514,3211,1992,4865,2613,2040,1786,801,259,19083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,3,48,20,5,3,0,0,92,0,0,0,7,6,0,0,0,0,17,0,5,4,15,7,3,3,0,0,36,0,0,0,0,0,5,0,8,0,13,0,0,0,5,0,0,4,0,0,8,4,57,58,194,165,126,133,75,35,845,0,0,0,7,0,0,0,0,0,11,0,3,0,29,9,0,0,0,0,45
UCL212008,0,0,0,11,6,0,4,0,0,20,0,3,0,0,0,0,0,0,0,8,0,0,0,9,3,0,0,0,0,15,0,14,24,60,20,25,30,19,18,197,34,92,86,210,63,102,96,93,74,847,810,1678,1527,3825,1633,1855,1607,953,459,14356,0,0,0,0,0,0,0,0,0,0,1532,3142,2748,5919,2636,2708,2168,1158,419,22423,0,0,0,9,6,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,4,0,0,3,12,8,7,4,0,0,38,0,0,0,0,5,0,5,0,0,9,0,4,9,54,14,13,3,0,4,107,0,0,0,4,5,3,4,4,4,18,0,0,0,5,0,4,3,0,0,11,0,23,9,75,53,165,175,123,65,684,0,0,0,8,5,0,0,0,0,8,0,0,0,0,4,5,0,4,0,13
UCL212009,0,8,7,33,4,0,0,0,0,57,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,0,0,0,0,11,0,5,15,56,29,19,10,11,4,152,30,97,77,224,102,102,115,103,72,920,786,1890,1829,4173,2160,2311,2024,1271,674,17118,0,0,5,0,0,0,0,0,0,11,1587,3550,3224,6407,3479,3664,3199,1847,835,27789,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,0,5,0,6,0,0,0,0,0,12,0,0,6,13,0,9,3,0,0,35,0,0,0,0,0,0,0,0,0,4,4,20,30,141,24,14,11,0,0,234,0,0,0,0,0,0,0,5,0,9,0,0,4,7,4,4,3,0,3,24,0,18,21,64,57,116,129,101,34,542,0,0,5,12,0,0,0,0,0,21,0,6,0,3,3,3,0,0,0,22
UCL213001,0,0,0,14,8,4,3,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,7,0,17,9,10,8,8,3,52,20,57,45,108,59,75,65,69,60,558,374,760,700,1575,811,936,1001,742,324,7238,0,0,0,0,0,0,0,0,0,0,733,1368,1284,2321,1223,1346,1448,977,367,11068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,20,8,4,0,0,0,26,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,4,5,0,12,0,0,10,36,37,70,100,101,29,382,0,0,3,3,0,4,0,0,0,12,0,3,5,3,5,0,0,0,0,15
UCL213002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,16,13,11,12,7,6,66,4,29,17,47,49,40,60,56,76,377,197,504,351,1022,732,776,897,579,307,5361,0,0,0,0,0,0,0,0,0,3,417,967,696,1815,1086,1185,1268,740,303,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,13,5,0,0,3,0,29,0,0,0,0,0,0,0,0,0,4,0,0,3,13,3,0,0,0,0,20,0,0,0,6,0,0,0,3,0,9,0,0,0,0,3,0,0,3,0,4,4,12,11,45,56,74,98,81,25,395,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16
UCL213003,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,3,10,4,0,6,51,15,34,18,72,32,41,54,41,22,323,326,679,648,1454,727,788,802,554,319,6310,0,4,3,16,0,0,0,0,0,25,635,1285,1218,2282,1222,1315,1246,849,397,10452,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,14,88,16,6,3,0,0,161,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,3,11,15,38,44,36,11,162,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7
UCL213004,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,0,23,9,21,27,15,5,104,27,39,27,95,35,40,43,40,19,363,557,948,762,1975,874,949,911,547,225,7743,0,0,0,0,0,0,0,0,0,0,978,1832,1376,3129,1286,1338,1219,691,256,12108,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,12,0,0,0,0,4,0,0,0,0,5,0,0,0,23,4,3,3,0,0,34,0,0,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,0,3,0,11,30,52,84,114,155,109,34,588,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,4,0,0,9
UCL213005,0,0,0,3,0,0,0,0,0,6,0,0,0,4,3,5,3,3,0,12,0,0,0,5,0,0,0,0,0,9,0,4,3,22,14,16,15,11,5,95,8,33,18,48,22,29,43,44,20,278,420,937,755,1879,974,1252,1228,691,255,8392,0,0,0,0,0,0,0,0,0,0,845,1824,1459,3048,1499,1679,1713,848,268,13177,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,13,10,7,5,0,0,38,0,0,0,6,0,0,0,4,0,5,0,0,3,19,3,0,0,0,0,37,0,0,0,0,0,3,10,10,3,27,0,0,0,0,0,6,3,6,0,13,0,21,23,104,112,188,250,173,55,919,0,0,0,0,6,5,0,0,0,9,0,0,0,3,3,4,0,0,0,13
UCL213006,0,0,0,4,0,0,0,0,0,9,0,0,0,0,4,0,0,0,4,10,0,0,0,0,0,0,0,0,0,4,0,3,4,15,11,7,14,6,4,65,3,6,12,34,16,14,15,10,3,122,382,870,593,1405,833,620,486,313,140,5645,0,0,0,0,0,0,0,0,0,0,736,1778,1165,2223,1315,948,639,406,165,9371,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,10,0,0,0,3,3,0,0,0,0,8,0,0,0,10,5,6,0,3,0,29,0,0,0,0,0,7,10,0,0,20,0,0,0,0,0,0,4,0,0,3,0,12,17,61,79,92,78,66,16,413,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,13
UCL213007,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,7,0,18,5,11,8,9,6,60,15,39,66,103,55,54,43,52,26,454,510,949,896,2075,935,1066,959,679,359,8424,0,0,0,0,0,0,0,0,0,0,934,1859,1644,3333,1556,1766,1563,1005,485,14148,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,19,10,40,40,29,10,160,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
