UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL221075,0,0,0,0,0,4,0,8,9,22,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,17,12,7,3,51,12,8,48,71,100,166,184,83,21,707
UCL221076,0,0,0,0,0,0,10,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,19,19,17,3,83,14,11,67,77,117,206,211,83,18,800
UCL221077,0,0,0,0,0,8,11,13,7,34,0,0,0,0,0,0,0,0,0,0,5,3,5,3,8,20,14,12,22,89,9,23,44,64,77,139,130,83,48,612
UCL221078,0,0,0,0,3,3,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,9,3,3,0,16,4,34,75,75,84,87,54,21,3,442
UCL221079,0,0,5,0,7,5,16,14,13,55,0,0,0,0,0,0,0,0,0,0,10,0,0,9,13,10,9,14,0,67,7,20,43,36,87,133,130,81,22,553
UCL221080,0,0,0,0,0,7,9,8,4,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,6,6,13,3,30,9,7,41,66,80,107,100,53,9,477
UCL221081,0,0,0,0,0,3,9,12,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,6,12,22,57,9,19,53,30,79,91,86,67,33,467
UCL221082,0,0,0,0,0,4,5,7,0,19,0,0,0,0,0,0,0,0,0,3,7,20,19,21,21,15,4,0,0,103,26,91,152,162,160,117,50,16,0,771
UCL221083,0,0,0,0,5,4,5,13,15,44,0,0,0,0,0,0,0,0,0,0,4,0,3,5,8,4,7,15,8,56,17,22,71,123,124,176,157,109,79,880
UCL221084,0,0,0,3,0,3,12,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,12,14,5,3,40,7,46,138,92,78,110,96,42,17,625
UCL222001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,12,13,14,56,59,39,16,3,221
UCL222002,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,5,0,0,0,17,5,13,19,58,67,67,55,31,13,321
UCL222003,0,0,0,0,0,0,8,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,25,5,15,61,38,34,43,36,17,3,252
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,3,11,6,0,3,3,0,0,22
UCL222005,0,0,0,0,0,5,7,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,9,0,6,22,28,28,39,45,11,9,177
UCL222006,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,3,0,0,18,8,11,23,52,46,81,73,26,5,315
UCL222007,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,10,5,6,13,20,36,48,34,9,0,172
UCL222008,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,5,0,0,16,6,8,32,57,87,64,45,15,0,309
UCL222009,0,0,0,0,0,0,4,7,4,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,6,9,4,37,7,7,46,32,32,56,57,34,7,279
UCL222010,0,0,0,0,3,3,9,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,4,0,10,3,4,0,0,24,15,25,42,47,61,48,41,22,0,291
UCL222011,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,5,22,23,52,62,45,35,11,0,258
UCL222012,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,8,5,0,27,3,15,20,37,67,90,68,25,0,331
UCL222013,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,4,0,0,25,4,9,23,21,29,48,48,29,6,210
UCL222014,0,0,0,3,0,0,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,21,11,18,42,67,69,54,35,8,0,297
UCL222015,0,0,6,0,3,3,5,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,0,14,14,18,42,48,66,43,37,12,0,288
UCL222016,0,0,0,0,0,5,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,11,3,12,25,29,27,52,46,18,0,210
UCL222017,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,6,5,25,0,7,12,13,18,46,40,31,4,175
UCL222018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,14,11,8,24,19,27,8,9,0,0,109
UCL222019,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,14,9,22,36,42,51,69,47,27,5,306
UCL222020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,17,9,3,17,29,35,44,32,14,3,201
UCL222021,0,0,0,0,0,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,5,0,27,6,9,34,43,37,56,38,20,4,248
UCL222022,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,21,3,5,21,22,41,47,50,31,7,224
UCL222023,0,0,0,0,0,3,5,9,4,15,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,0,0,0,22,12,7,61,68,77,66,34,16,3,351
UCL222024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,16,9,11,0,5,0,0,63,13,63,82,45,39,25,11,6,0,286
UCL222025,0,0,0,0,0,0,6,5,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,5,7,0,23,6,7,13,22,31,20,42,25,4,167
UCL222026,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,12,10,30,46,40,54,49,16,0,254
UCL222027,0,0,6,0,0,5,11,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,3,7,3,0,30,0,6,43,50,37,46,62,22,0,271
UCL222028,0,0,0,0,4,3,7,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,0,0,23,6,26,41,49,35,43,35,9,3,246
UCL222029,0,0,0,3,0,5,0,7,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,0,4,19,17,16,33,37,22,6,162
UCL222030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,4,0,0,20,3,3,12,37,27,34,25,16,6,178
UCL222031,0,0,0,0,0,6,8,3,3,19,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,7,8,3,0,28,3,10,28,30,43,50,52,22,8,245
UCL222032,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,5,8,4,3,4,7,0,0,35,5,14,65,54,36,50,59,20,10,305
UCL222033,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,12,9,0,0,45,0,16,47,49,57,60,35,11,0,281
