UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL212005,15,0,66,60,113,25,292,0,0,0,8,12,0,20,26,12,106,104,550,31,838,31,6,32,25,121,0,212,17,5,70,81,867,22,1062,0,0,18,25,110,7,170,26,7,59,70,244,20,422,13,3,43,56,115,6,239,7,0,31,56,171,14,290,0,4,18,13,17,3,68,7,4,29,37,20,3,89,3,0,9,13,44,3,71,33,24,141,63,90,7,358,3,4,13,28,99,9,152,33,8,70,77,135,6,326,65,71,189,41,75,4,447,179,57,234,104,158,21,756,0,0,14,5,29,0,50,4,4,27,36,260,4,338,8,0,29,34,168,54,297,473,216,1207,950,3399,247,6485,18,7,59,39,47,22,188,0,0,0,0,0,0,0,12,6,62,52,96,6,242,8,5,15,28,29,0,78,7,4,22,40,75,9,154,0,3,16,9,27,5,53,20,10,79,100,258,26,486,6,3,50,56
UCL212006,0,0,4,4,16,0,31,0,0,5,0,15,0,27,23,6,89,89,389,10,608,4,0,17,24,53,0,105,12,9,75,135,1321,21,1570,8,0,39,32,145,4,237,7,12,90,76,181,12,373,9,3,36,37,90,3,173,24,9,110,156,407,21,737,7,3,35,34,34,0,116,19,4,73,44,37,6,185,0,0,19,12,50,5,88,62,18,183,84,61,9,411,4,3,27,27,92,0,154,50,29,111,177,204,12,586,77,59,150,46,57,5,389,43,21,98,67,76,9,310,8,3,32,20,35,0,91,7,6,24,28,205,7,279,10,0,35,32,192,22,290,373,185,1264,1131,3651,162,6760,0,0,10,13,9,0,29,0,0,0,0,3,3,8,9,0,52,52,67,7,190,0,0,23,16,12,3,57,3,0,32,53,93,4,185,9,0,22,26,41,3,94,19,16,104,119,196,13,460,4,0,43,43
UCL212007,0,0,17,9,20,0,50,0,0,5,4,10,0,19,34,11,90,31,121,6,291,8,3,19,16,29,3,73,3,9,132,109,737,6,999,20,0,40,23,55,11,143,21,9,79,46,83,8,244,4,0,39,21,65,5,140,11,4,43,33,44,0,136,0,4,22,7,18,0,57,26,7,100,40,16,0,192,3,0,21,13,21,4,62,95,22,254,64,38,11,485,5,6,27,20,33,0,98,38,23,131,95,79,10,376,90,47,204,30,20,6,396,78,30,155,36,31,9,328,16,6,38,16,33,5,113,4,8,21,19,65,5,119,10,4,62,19,58,18,171,465,182,1513,650,1569,106,4485,0,5,9,0,5,0,22,0,0,0,0,0,0,0,9,3,38,17,16,0,89,5,0,9,3,3,0,22,9,4,52,36,36,6,137,6,7,21,19,27,0,75,17,10,141,84,97,14,363,6,6,51,28
UCL212008,0,0,8,9,49,0,72,0,0,14,8,78,0,111,30,0,50,47,348,9,490,17,4,89,70,324,8,517,7,9,35,42,629,19,738,0,0,6,4,64,4,79,6,4,39,37,125,9,228,3,0,18,20,87,9,136,6,0,11,17,78,10,126,0,0,23,4,28,0,62,0,5,16,32,7,0,63,0,0,6,5,37,0,51,21,7,87,38,59,12,212,0,0,11,10,49,6,72,20,14,97,87,110,8,339,47,18,76,16,29,0,191,78,15,158,42,77,8,388,0,0,6,6,10,0,30,7,0,7,13,137,3,164,4,3,11,6,108,10,152,256,87,773,526,2454,116,4217,0,3,0,4,12,0,21,0,0,3,3,8,0,14,7,0,19,16,32,3,69,9,5,29,17,43,0,108,0,0,15,31,53,3,103,0,0,3,9,13,0,31,11,5,52,57,148,8,270,11,3,19,28
UCL212009,5,4,19,21,76,6,134,3,0,5,7,24,0,29,12,11,122,54,363,27,589,9,5,24,21,83,0,144,10,3,36,40,743,11,849,10,0,17,20,74,0,127,13,5,46,65,212,14,359,3,0,36,51,135,8,231,3,3,14,36,103,3,166,5,4,9,11,18,0,51,8,6,30,32,21,0,101,0,0,16,12,33,0,61,32,15,165,33,45,0,297,10,4,16,19,49,0,100,18,22,77,102,110,11,331,87,46,180,42,56,5,416,107,55,187,87,162,8,600,8,0,14,12,21,0,49,6,0,19,13,139,5,183,4,0,20,15,113,22,174,338,175,1053,684,2582,149,4992,0,0,20,7,28,4,63,0,0,0,0,0,0,5,4,5,82,30,76,4,198,5,3,13,8,21,0,52,0,0,16,17,38,0,70,5,0,11,6,16,0,38,3,10,63,94,211,31,409,4,4,68,61
UCL213001,0,0,18,5,26,0,59,0,0,0,0,9,0,13,4,0,18,19,130,11,181,3,0,13,6,20,0,41,4,0,9,15,263,10,296,0,0,6,4,39,3,52,4,0,11,15,87,8,134,3,0,7,9,33,10,62,5,0,0,10,54,6,75,0,0,0,0,13,0,21,0,0,0,11,3,0,24,0,0,0,5,12,0,18,8,0,31,5,15,0,65,0,0,9,5,24,0,38,3,3,26,32,35,8,111,9,6,32,17,22,0,87,29,11,52,27,46,4,167,0,0,5,5,9,0,19,0,0,11,4,80,0,102,3,0,3,15,53,9,77,78,26,261,227,976,71,1638,4,0,13,5,12,0,35,0,0,0,0,0,0,0,0,0,14,21,38,7,79,0,6,7,0,4,0,8,0,0,3,8,25,0,39,0,0,0,11,13,0,22,0,3,21,22,83,4,139,0,0,0,13
UCL213002,3,5,5,3,4,0,20,0,0,0,0,3,0,4,9,5,35,30,86,6,169,0,0,3,3,4,0,17,0,0,18,21,154,3,204,3,0,4,9,9,5,26,0,0,19,15,40,0,80,0,0,19,6,28,0,53,7,0,4,8,25,4,40,3,0,11,4,0,0,26,4,0,15,5,6,0,24,5,0,3,0,8,0,16,29,12,76,30,8,0,153,5,0,8,0,12,0,34,25,12,35,24,47,3,150,56,31,52,6,9,0,147,31,15,53,20,24,3,143,10,7,22,4,7,3,48,9,0,11,4,32,0,60,13,3,13,6,14,6,56,203,95,406,209,520,33,1468,0,3,3,3,0,0,11,0,0,0,0,0,0,4,6,8,24,16,27,0,82,0,0,3,0,0,0,7,0,4,3,3,8,0,24,0,0,8,6,5,0,13,4,3,40,23,26,8,100,3,0,12,17
UCL213003,3,4,10,10,64,7,98,0,0,0,0,15,0,15,9,4,50,52,240,16,367,0,0,0,4,34,0,36,0,0,7,12,244,8,279,0,0,3,3,21,0,28,4,0,3,9,61,6,94,0,0,6,7,30,3,49,0,0,3,6,58,4,71,0,0,3,3,13,0,19,0,0,7,9,5,0,27,0,0,5,3,8,0,12,4,0,20,13,4,0,41,3,0,5,7,33,0,54,4,0,21,22,30,0,80,8,12,29,5,7,0,66,17,4,23,20,29,4,97,0,0,3,0,5,0,12,0,0,5,6,84,0,93,0,0,0,0,34,13,50,57,31,212,196,1030,61,1592,0,0,9,16,13,0,43,0,0,0,0,0,0,0,6,4,39,24,87,9,173,0,0,0,0,3,0,6,0,0,4,6,10,3,21,0,0,4,4,12,0,19,0,0,18,18,76,5,119,0,0,10,13
UCL213004,0,0,14,8,53,0,76,0,0,0,0,18,0,19,3,3,20,33,188,6,251,4,0,12,0,22,0,41,0,3,19,34,480,8,542,0,0,3,7,40,0,55,4,0,18,25,85,3,141,3,0,0,9,23,0,43,3,4,10,9,77,4,105,0,0,7,10,22,0,38,0,0,5,15,12,0,38,0,0,0,3,17,0,22,5,6,43,28,21,0,111,0,0,5,12,41,0,51,3,9,35,40,34,0,122,23,16,52,14,19,0,133,17,8,39,20,32,3,120,4,0,5,6,7,0,25,5,0,0,12,111,0,130,4,0,14,0,66,17,101,78,45,300,284,1386,58,2150,0,0,9,8,23,4,44,0,0,0,0,0,0,3,0,5,9,27,38,4,78,0,0,0,0,6,0,7,0,0,6,24,32,0,60,0,0,4,7,18,3,28,0,0,25,34,94,3,165,0,0,3,10
UCL213005,3,0,12,4,13,0,29,0,0,0,0,5,0,9,6,0,25,23,143,0,194,0,0,7,3,21,0,36,4,0,22,48,491,8,577,0,0,7,12,69,0,93,6,0,25,24,92,5,150,0,0,11,23,55,5,92,0,0,13,20,69,6,109,5,0,9,0,11,0,28,11,5,26,16,11,0,67,0,0,7,9,15,0,28,19,4,58,29,32,0,154,0,4,4,11,45,0,59,10,6,39,58,95,3,214,25,17,65,13,19,0,145,18,15,58,43,53,0,191,0,0,4,7,15,0,30,0,0,10,17,101,9,137,9,0,11,13,54,10,96,122,65,416,367,1415,48,2436,0,0,0,6,7,0,12,0,0,0,0,0,0,0,0,0,8,19,27,3,67,0,0,0,0,6,0,7,0,0,11,6,31,4,53,0,0,3,0,14,0,21,0,0,41,44,100,9,193,4,4,19,18
