UCL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL212005,113,48,39,0,201,42,8,10,0,66,19,11,27,0,56,23,5,76,0,107,120,39,134,11,304,99,53,204,4,364,624,129,253,13,1016,413,163,322,30,920,419,246,305,25,996,487,378,234,28,1127,216,404,162,7,792,354,380,140,15,894,617,814,173,30,1640,402,646,68,5,1124,224,494,31,6,749,132,269,14,0,418,251,607,33,8,901,163,363,173,5,706,109,56,58,4,235,4836,5126,2448,198,12613
UCL212006,69,16,21,0,103,18,0,5,0,28,13,5,18,0,32,20,6,30,0,53,69,16,58,5,145,61,21,106,4,195,300,29,128,11,468,275,69,187,12,541,278,120,215,13,630,314,228,176,19,740,188,282,161,13,648,239,287,130,9,666,537,853,191,21,1604,420,774,115,5,1315,299,591,68,8,975,158,428,31,0,618,301,963,33,3,1300,93,333,132,5,565,33,37,22,3,95,3688,5066,1832,134,10716
UCL212007,35,14,7,0,58,29,0,4,0,29,11,4,6,0,24,0,0,11,0,11,50,4,30,3,86,43,6,35,0,84,169,11,40,7,224,135,21,68,6,230,220,46,57,0,323,231,68,62,0,364,115,86,60,0,266,137,114,52,4,303,254,370,75,8,708,217,430,27,5,674,186,435,23,3,650,123,295,5,4,430,334,912,21,4,1280,75,219,59,0,354,39,25,8,0,66,2401,3067,644,45,6168
UCL212008,50,12,13,0,82,15,5,10,0,28,28,4,12,0,42,10,0,35,3,49,80,8,56,3,142,43,15,121,0,182,342,20,112,0,479,248,58,183,13,503,215,79,161,13,464,267,142,139,13,564,158,160,117,4,439,189,181,87,6,464,350,476,123,12,954,268,405,58,11,734,214,321,28,6,568,99,183,7,0,295,218,534,26,4,778,127,241,100,5,468,40,16,23,0,81,2957,2865,1405,96,7320
UCL212009,57,7,19,0,79,19,0,8,0,28,9,3,13,3,36,9,4,31,0,47,100,7,73,3,179,57,9,128,3,199,409,32,153,7,600,319,50,201,27,593,346,127,186,29,684,390,221,186,17,808,199,209,128,13,549,220,231,97,13,565,511,605,113,16,1239,323,484,53,9,868,193,375,37,3,614,97,251,7,0,351,199,474,22,0,700,129,233,89,0,452,72,17,18,3,116,3659,3334,1562,151,8701
UCL213001,23,3,15,0,36,11,0,3,0,16,6,3,13,0,23,18,0,20,0,37,43,11,17,0,71,40,11,60,0,106,266,15,95,4,379,165,36,100,9,310,170,67,84,10,334,182,124,72,9,385,85,105,55,5,245,90,103,33,10,230,169,203,47,3,422,105,159,20,3,294,55,104,9,0,167,29,51,9,0,81,49,95,11,0,153,69,83,45,0,200,46,11,16,0,72,1606,1187,722,60,3571
UCL213002,24,0,3,0,24,9,5,3,0,16,7,0,6,0,17,7,0,13,0,16,31,0,25,0,62,27,5,38,4,74,153,14,54,4,222,114,16,71,3,200,137,27,51,5,228,141,65,64,0,264,74,64,43,4,189,75,56,24,8,169,154,137,32,0,330,92,130,15,0,241,61,95,8,0,164,45,52,4,0,97,69,111,9,0,186,51,72,51,0,168,20,6,6,0,43,1286,864,526,32,2701
UCL213003,24,4,3,0,37,10,0,0,0,13,0,4,4,0,10,10,0,16,0,25,44,0,11,0,61,31,9,43,0,91,172,17,51,7,254,131,18,65,7,222,110,53,87,9,254,164,89,45,6,304,74,94,42,10,219,108,95,25,6,229,187,226,46,15,468,80,160,23,3,272,48,114,6,0,171,22,56,0,0,84,37,110,7,0,158,47,93,33,0,172,31,8,8,6,52,1332,1161,542,63,3101
UCL213004,37,4,12,5,53,14,0,3,3,19,12,3,5,0,23,3,4,20,0,20,42,6,31,0,85,43,6,65,0,110,243,15,57,0,320,162,42,94,5,306,142,71,94,4,311,174,113,69,5,359,97,121,44,3,275,115,151,39,8,307,227,316,45,4,587,127,245,20,4,393,78,162,7,0,259,43,90,3,0,134,76,159,10,0,241,80,99,48,0,230,45,18,10,0,77,1750,1624,676,44,4101
UCL213005,48,4,6,0,61,21,0,0,4,28,14,0,8,0,25,10,3,8,0,27,57,0,19,0,80,65,8,46,0,122,322,29,65,0,417,221,21,102,3,350,221,60,92,11,378,229,92,84,9,423,125,121,61,3,302,112,119,43,3,267,230,320,70,3,623,161,268,39,0,467,114,210,10,4,339,59,127,7,0,193,86,227,10,5,329,77,129,44,3,257,38,12,14,5,69,2219,1745,733,52,4751
UCL213006,15,5,5,0,26,14,0,0,0,14,3,0,5,0,8,5,0,8,0,11,25,0,12,0,34,8,11,27,0,44,69,9,13,0,95,58,7,40,0,108,97,20,31,0,151,83,29,33,7,156,65,40,36,0,144,66,81,28,0,174,109,203,43,3,362,91,204,18,0,312,85,213,13,0,307,49,169,8,0,228,122,509,16,3,653,35,108,36,0,174,16,10,3,0,28,1002,1627,368,24,3023
UCL213007,24,4,8,0,35,9,0,0,0,17,10,0,13,0,19,4,5,19,0,27,51,9,45,0,112,40,6,88,0,136,219,12,65,0,297,144,34,101,4,288,182,73,87,8,348,190,125,81,14,408,89,111,50,5,251,118,143,28,4,294,246,288,62,8,606,157,240,24,4,422,93,185,10,0,290,57,96,4,0,155,119,176,8,0,299,51,131,43,0,230,42,12,10,0,66,1842,1644,752,62,4300
UCL213008,22,4,4,0,36,5,0,3,0,12,3,0,7,0,13,5,0,13,0,25,32,9,28,0,69,23,9,46,0,74,163,10,55,4,230,119,26,61,9,211,122,59,93,3,273,144,83,63,5,296,83,126,68,0,277,88,136,41,4,265,222,383,80,4,688,168,338,38,3,555,116,268,21,3,406,57,176,6,0,242,124,354,17,0,493,59,132,42,9,234,28,13,7,3,45,1568,2124,693,47,4428
UCL213009,30,3,6,0,41,8,0,3,0,14,11,0,9,0,26,7,0,8,0,12,41,8,20,3,72,25,3,37,0,63,176,8,38,0,225,121,21,70,3,223,133,35,68,5,248,145,84,59,5,292,68,106,54,5,241,77,119,40,3,237,194,271,57,10,529,127,229,22,5,383,70,188,14,8,274,55,117,6,0,174,62,187,12,4,258,44,106,37,0,186,24,7,5,0,34,1420,1498,563,46,3533
UCL213010,27,6,11,4,48,14,0,5,0,19,12,5,11,0,32,13,4,25,0,39,56,6,80,8,152,44,9,97,4,151,272,34,127,4,440,174,50,145,13,377,161,77,99,10,346,177,114,80,6,378,68,103,59,9,238,77,99,34,0,216,179,200,53,3,439,98,137,14,0,254,72,108,9,0,195,25,54,4,0,89,56,126,10,5,195,50,119,56,5,227,45,13,32,6,85,1623,1270,966,66,3931
UCL213011,27,14,11,0,59,4,0,8,0,14,3,8,16,0,27,10,0,36,0,47,59,10,60,3,132,32,17,103,0,147,258,45,106,11,418,156,55,126,17,355,142,81,108,13,340,135,106,78,8,329,64,76,45,0,185,91,82,29,3,205,127,135,45,6,302,64,127,12,0,205,48,82,6,3,142,19,47,3,0,66,39,75,10,0,121,67,85,50,8,210,51,18,34,0,106,1399,1051,899,69,3413
UCL213012,24,3,7,0,37,23,0,3,0,23,14,0,4,0,18,8,0,15,0,28,49,8,29,0,84,40,6,55,0,104,177,20,63,4,268,137,16,87,9,250,113,57,58,3,237,122,75,37,5,237,75,69,28,5,174,63,82,25,0,166,152,149,33,0,336,89,113,23,0,228,72,78,12,0,160,27,42,7,0,76,47,79,4,0,136,59,97,38,0,193,31,7,10,0,52,1323,901,534,35,2794
UCL213013,33,4,11,0,42,14,0,0,0,12,8,0,13,0,23,8,0,15,4,26,43,6,48,0,96,29,9,61,0,94,183,12,82,9,276,130,40,79,3,255,151,56,84,6,298,164,82,73,3,323,93,86,51,6,230,104,96,35,9,241,184,219,60,5,463,117,152,16,9,293,83,162,8,0,258,42,98,9,0,143,106,194,13,0,318,66,112,49,3,232,31,12,9,3,54,1582,1332,715,60,3687
UCL213014,19,5,7,0,31,9,0,0,0,13,0,0,4,0,9,3,0,19,0,24,29,0,25,0,56,23,8,37,0,70,147,10,51,6,211,100,27,69,7,212,101,39,62,3,211,117,84,50,0,260,78,79,38,9,204,86,83,26,0,196,180,211,35,3,432,101,157,17,6,280,60,86,12,0,160,33,59,3,0,96,56,126,5,0,188,42,66,21,0,138,25,6,6,0,36,1218,1052,493,50,2812
UCL213015,32,5,16,0,56,5,0,4,0,9,9,0,13,0,14,3,4,14,0,21,29,9,25,0,62,21,17,58,0,100,104,25,63,0,199,71,53,86,0,204,91,79,79,8,251,91,135,82,5,311,57,167,46,5,273,91,174,47,0,305,214,393,61,13,679,149,288,31,4,468,77,225,16,0,320,43,123,3,0,173,66,239,13,0,326,50,156,39,0,255,22,24,12,0,59,1224,2105,716,42,4082
UCL213016,35,4,14,0,54,10,0,0,0,14,12,6,7,3,23,6,0,28,0,36,68,4,36,0,109,44,8,86,5,145,305,19,117,4,443,203,29,126,11,372,211,71,140,8,437,219,128,109,7,461,118,150,57,4,325,146,137,63,5,352,282,345,93,5,729,170,270,23,5,464,117,191,11,0,321,52,106,4,0,161,87,225,19,0,330,90,136,78,0,296,51,16,11,0,85,2222,1853,1017,59,5157
UCL213017,44,6,6,0,57,17,4,3,0,29,9,0,10,0,27,7,0,17,0,26,60,3,46,0,105,33,15,61,0,110,273,28,74,0,366,185,42,92,7,330,219,69,102,5,384,202,109,90,8,403,101,121,55,9,288,137,156,41,6,340,295,360,95,3,755,198,263,26,0,490,144,266,17,6,430,55,130,9,4,196,159,352,14,8,529,64,162,69,5,288,33,10,8,0,48,2224,2090,834,62,5206
UCL213018,37,8,0,0,44,10,0,0,0,9,4,7,0,0,16,10,0,5,0,12,53,3,24,0,75,25,8,33,0,68,220,9,36,3,266,157,16,46,0,219,123,37,43,0,199,142,44,37,0,228,58,61,33,0,144,57,51,9,0,121,122,113,22,0,261,73,98,6,0,180,51,64,7,5,124,21,48,0,0,65,41,92,4,0,142,55,74,27,0,159,40,3,7,3,55,1296,727,343,20,2384
UCL214001,14,0,5,0,15,7,0,3,0,5,0,0,8,0,6,8,0,6,0,15,24,3,14,0,44,15,3,41,4,60,113,12,37,7,168,86,10,44,6,155,82,26,42,8,159,81,58,34,4,184,39,51,28,3,126,64,56,24,0,147,105,99,25,8,240,55,80,14,0,146,35,52,3,0,85,15,31,0,0,53,21,45,3,0,64,46,53,21,5,126,15,6,5,0,28,832,588,371,40,1831
UCL214002,9,0,3,0,15,3,0,3,0,8,4,0,0,0,4,0,0,4,0,3,19,0,9,0,32,14,4,17,0,34,59,6,19,0,86,46,12,16,0,81,55,24,34,0,108,37,46,20,0,106,35,53,18,0,106,21,58,11,0,92,59,162,18,0,243,65,165,10,0,234,46,117,3,0,168,20,73,3,0,95,37,126,4,0,167,22,72,9,0,102,9,5,0,0,19,560,939,197,5,1708
UCL214003,20,0,0,0,20,11,0,0,0,17,4,0,3,0,11,8,0,10,0,18,38,0,25,0,71,23,6,33,5,67,210,11,51,0,279,141,19,69,0,229,123,29,68,7,227,145,55,39,8,244,59,71,32,0,163,69,40,24,0,133,125,129,35,0,295,110,72,12,0,203,55,74,8,0,143,30,40,4,0,83,51,69,11,0,133,59,67,40,0,166,37,11,11,0,57,1312,702,490,38,2539
UCL214004,16,5,0,0,19,7,0,0,0,6,9,0,9,0,17,7,0,7,0,12,24,0,13,0,36,17,7,20,0,45,134,15,31,0,173,61,20,34,0,119,44,20,27,4,96,53,31,21,4,107,34,35,12,0,80,41,38,9,0,93,86,55,19,5,160,36,61,6,0,110,19,39,3,0,61,10,33,0,0,44,8,36,0,0,49,32,48,26,0,104,28,5,6,0,40,661,431,255,19,1367
UCL214005,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,11,0,0,0,0,0,29,0,5,0,34,14,4,3,0,20,19,3,5,0,27,16,6,3,0,26,11,9,0,0,20,6,11,4,0,21,12,11,0,0,29,4,20,0,0,28,5,9,0,0,15,4,8,0,0,13,4,11,0,0,15,4,5,3,0,17,0,4,0,0,5,142,107,42,7,297
UCL214006,27,0,3,0,29,16,0,0,0,18,12,0,3,0,19,12,0,10,0,20,45,0,9,0,53,25,6,32,0,58,152,9,38,0,199,114,9,54,6,179,132,31,27,0,188,112,47,28,0,189,44,41,20,0,107,77,59,13,0,147,72,66,21,0,152,47,55,3,0,106,26,40,5,0,70,16,28,5,0,48,45,54,0,0,106,42,41,13,0,100,17,3,5,0,29,1031,489,282,15,1816
UCL214007,12,0,3,0,17,4,0,4,0,6,0,0,0,0,0,0,0,3,0,8,4,0,11,3,13,4,0,19,0,23,33,12,12,0,58,20,14,12,0,50,23,22,23,5,70,34,56,23,5,115,18,51,20,0,85,36,43,15,0,104,100,140,32,0,275,81,110,12,4,204,76,70,9,4,155,33,48,0,0,84,40,65,0,0,107,8,23,9,0,42,3,7,0,5,20,535,676,207,22,1444
UCL214008,16,0,9,0,25,22,0,0,0,20,9,0,5,0,11,7,3,15,0,22,27,5,14,0,43,20,7,32,0,58,167,20,47,0,232,95,18,51,7,177,98,39,64,6,216,139,75,54,7,277,73,71,42,0,184,82,97,18,7,195,144,162,26,5,334,78,127,14,0,217,44,68,0,0,117,24,42,0,0,66,42,72,0,0,119,46,68,25,0,142,21,10,5,0,40,1151,882,423,38,2497
UCL214009,14,4,4,0,23,7,0,0,0,7,5,3,3,0,10,9,4,5,0,22,32,3,13,0,51,24,0,36,7,69,134,8,41,3,184,85,14,55,6,158,93,23,51,0,160,107,63,52,3,218,66,58,22,0,146,59,72,17,3,154,140,163,52,0,361,76,133,21,0,227,51,123,10,0,177,23,62,0,0,87,59,114,3,0,182,24,63,38,3,128,18,11,0,0,31,1031,911,423,25,2393
UCL214010,22,0,0,0,19,0,0,0,0,7,14,0,3,0,17,11,0,0,0,6,41,6,8,0,51,31,0,10,0,44,120,3,24,0,147,92,7,18,4,119,120,29,26,7,177,119,21,20,0,161,34,16,10,0,60,48,32,8,0,87,108,85,5,0,198,51,80,7,0,136,40,68,5,0,112,17,43,6,0,62,73,97,4,0,171,33,51,11,0,88,21,4,3,0,23,989,526,163,22,1695
UCL214011,20,0,9,0,30,4,0,0,0,9,4,0,5,0,11,3,0,4,0,13,22,3,20,0,45,14,9,30,0,58,132,6,32,0,174,84,14,56,5,162,88,40,44,0,166,65,54,47,4,179,57,59,30,3,146,41,88,36,0,169,120,156,31,6,312,87,132,21,0,241,52,131,13,0,196,30,73,5,0,115,34,136,11,0,188,29,79,28,3,133,23,10,5,0,45,921,1003,422,28,2377
UCL214012,16,0,3,0,20,11,0,0,0,8,3,0,3,0,6,3,0,12,0,20,26,5,24,0,54,10,0,35,0,47,143,10,26,0,182,77,15,36,4,133,65,32,39,3,143,72,44,27,0,146,35,50,18,3,106,36,38,14,4,96,91,99,18,0,202,48,85,6,0,133,27,43,0,0,77,15,25,0,0,45,17,52,3,0,69,27,46,27,0,104,20,3,5,0,34,738,558,304,19,1625
UCL214013,12,0,0,0,15,6,0,0,0,5,0,0,5,0,3,0,0,3,0,3,11,0,10,0,18,4,0,15,0,26,74,3,15,0,93,46,15,24,0,78,55,25,28,0,107,53,27,20,0,99,29,28,22,0,83,31,36,21,5,95,49,77,26,4,153,49,72,10,0,128,40,71,3,0,121,18,50,0,0,71,65,83,4,0,153,19,43,14,0,77,8,5,5,0,23,575,530,235,14,1359
UCL214014,17,4,6,0,28,7,0,0,0,8,4,0,0,0,8,6,0,7,0,12,34,0,19,0,56,20,5,37,3,62,205,20,40,0,266,96,13,42,5,146,106,28,45,0,180,94,45,20,0,169,39,38,14,0,92,41,37,18,5,99,73,67,10,3,156,27,53,0,0,89,22,27,5,0,57,6,24,3,0,32,18,17,8,0,42,32,60,18,0,112,25,8,6,0,39,894,450,295,14,1649
UCL214015,18,0,0,0,20,11,0,0,0,16,3,0,9,0,7,0,0,3,0,6,21,0,9,0,30,9,0,30,0,44,99,5,32,0,135,85,17,35,7,134,73,19,31,4,123,56,32,18,0,118,26,48,25,0,100,38,48,14,0,102,86,108,15,0,220,38,70,15,0,115,29,56,6,0,86,21,36,4,0,56,16,53,3,0,68,23,43,21,3,96,13,3,4,0,23,675,545,271,16,1506
UCL214016,11,7,4,0,23,3,0,0,0,16,3,0,5,0,8,3,0,22,0,21,38,0,36,5,80,27,0,46,0,84,250,19,60,0,329,114,18,64,11,207,77,53,52,9,192,99,68,48,3,212,53,52,21,0,126,61,54,13,0,133,62,89,22,0,171,41,61,7,0,109,21,36,3,0,59,11,19,0,0,29,15,35,6,0,58,31,47,23,0,101,43,4,13,6,66,971,561,451,39,2020
UCL214017,19,0,0,0,21,7,0,0,0,7,0,0,3,0,3,0,0,0,0,0,28,0,0,0,29,21,5,8,0,34,58,7,8,0,71,86,3,12,0,102,97,11,16,0,123,114,10,11,0,135,51,22,11,0,85,70,22,12,0,107,100,49,10,0,164,61,55,6,0,121,49,55,5,0,108,30,40,4,0,73,105,109,10,0,219,28,51,18,0,95,16,3,0,0,21,950,436,129,10,1526
