UCL_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL212005,30,38,11,7,7,4,3,9,4,116,36,53,30,6,10,8,12,19,4,180,257,166,872,33,66,66,165,205,28,1861,128,31,438,15,17,16,38,90,16,785,64,39,46,17,16,14,32,69,6,297,44,355,11,93,6,11,11,25,0,551,47,228,4,30,8,6,13,10,4,351,276,234,64,53,90,95,73,84,9,976,47,146,31,166,27,18,21,57,6,519,23,37,21,5,5,5,9,15,3,119,44,4,139,21,13,19,46,62,5,340,0,0,0,0,0,0,0,4,0,8,18,11,19,8,5,4,24,14,3,107,34,21,46,15,5,17,39,56,43,273,1037,1354,1740,460,293,283,481,716,129,6485,27,62,24,14,9,10,0,12,5,158,4,15,0,7,6,3,0,12,0,52,11,14,19,3,11,5,9,25,0,105,0,13,17,3,9,3,0,6,0,47,14,16,14,7,14,5,0,20,5,91
UCL212006,44,61,18,7,11,7,5,6,0,161,61,149,47,8,18,19,17,7,0,328,282,277,946,45,96,49,207,142,25,2067,114,23,692,14,30,14,63,94,24,1064,22,13,86,6,8,3,21,35,3,198,24,107,22,62,12,8,14,13,6,271,32,191,19,13,5,0,11,6,5,278,281,207,65,61,159,96,88,46,13,1020,55,108,31,177,39,25,26,31,3,504,32,65,28,12,21,28,24,32,7,252,37,11,93,25,15,19,38,27,0,263,0,0,0,0,0,3,0,0,0,6,18,16,23,18,9,5,25,11,6,132,25,15,43,17,10,11,30,22,40,214,1022,1242,2122,470,440,294,568,462,133,6760,24,54,21,20,35,15,0,3,3,169,10,32,7,9,19,8,3,3,0,87,13,36,8,8,21,5,11,8,5,118,5,31,13,6,9,11,0,0,0,77,15,5,16,9,19,6,4,3,0,76
UCL212007,33,60,15,14,12,3,4,9,3,150,47,57,13,3,13,7,0,7,0,141,146,200,322,39,31,19,40,46,14,862,174,57,426,17,13,17,9,52,12,776,44,23,58,5,10,5,11,18,6,177,35,211,15,65,4,7,9,3,0,352,63,193,18,31,3,0,4,11,0,331,299,250,51,40,59,89,13,23,13,832,61,146,20,87,22,21,4,20,5,365,31,83,30,19,7,15,6,7,0,203,17,3,60,8,5,6,0,13,0,111,0,0,0,0,0,0,0,0,0,0,19,17,8,18,11,3,5,6,3,85,19,6,18,10,5,4,3,14,16,92,976,1318,1061,356,188,187,107,227,68,4485,24,60,6,19,22,4,0,8,0,143,9,12,6,0,5,0,0,0,0,32,9,23,4,10,9,3,0,3,0,61,15,49,7,3,13,8,0,5,0,101,14,18,8,3,12,0,0,6,0,64
UCL212008,11,34,5,9,3,0,0,0,0,68,18,55,24,8,17,5,0,6,0,132,160,221,792,37,45,31,180,122,20,1607,74,5,275,16,5,19,68,114,10,586,23,18,15,5,6,0,11,20,0,100,22,207,16,35,8,0,4,0,3,301,16,91,16,10,3,5,6,3,0,155,140,132,38,15,76,46,26,24,13,516,17,60,23,110,27,17,14,16,9,288,16,33,3,12,14,4,0,10,0,90,27,6,71,11,15,10,14,24,3,180,0,0,0,0,0,0,0,0,0,0,3,12,20,5,7,0,15,13,3,75,12,6,39,10,5,7,16,24,19,134,534,883,1340,275,228,147,357,381,71,4217,5,26,21,5,15,8,4,0,0,91,0,5,11,0,3,0,0,0,0,24,6,11,13,0,15,11,3,7,0,73,5,7,8,4,10,3,0,0,0,34,0,10,9,6,13,6,3,10,0,50
UCL212009,44,58,11,7,13,4,0,17,0,141,19,44,30,0,5,4,6,19,0,133,129,110,519,28,36,35,121,140,18,1132,129,37,442,20,11,21,47,77,11,804,51,19,44,11,13,10,23,30,5,212,17,277,19,66,12,3,4,12,0,413,49,194,17,40,7,6,3,12,4,336,203,216,52,44,85,71,31,52,9,763,37,111,17,135,13,26,6,39,4,382,5,37,20,5,12,12,10,16,6,123,34,7,118,13,10,22,17,62,8,288,0,0,0,0,0,0,0,4,0,7,9,13,16,12,3,7,13,12,0,91,23,8,27,13,5,12,19,42,23,166,749,1139,1327,403,231,232,304,524,86,4992,19,36,23,10,14,6,4,14,0,125,6,6,7,0,6,0,0,3,0,20,8,13,5,3,6,3,3,14,0,66,6,9,9,0,5,0,0,5,0,31,14,26,20,9,11,4,0,21,0,106
UCL213001,9,13,3,0,0,0,0,5,0,33,9,8,4,4,3,8,4,0,0,36,59,38,215,10,22,17,58,65,10,483,40,5,135,10,0,15,18,28,0,242,24,14,17,6,6,5,10,17,0,105,8,76,5,18,8,0,8,3,0,119,11,38,0,10,5,3,0,4,0,64,52,38,18,9,32,28,11,15,3,203,12,34,0,43,3,5,5,15,3,115,0,14,3,7,3,4,4,9,0,43,10,4,30,10,6,6,7,22,0,94,0,0,0,0,0,0,0,3,0,3,5,4,8,0,0,3,0,0,0,25,7,0,18,0,0,4,9,17,13,68,242,282,473,117,86,99,123,193,34,1638,7,16,5,0,9,0,0,0,0,34,3,3,0,0,4,0,0,3,0,15,8,0,0,4,10,0,0,0,0,24,0,4,4,9,4,0,0,0,0,16,4,11,0,6,5,5,0,5,0,35
UCL213002,7,29,10,0,3,0,0,4,0,52,8,23,0,0,6,0,0,3,0,47,39,39,127,22,16,9,27,27,6,305,27,29,90,5,3,3,6,10,0,165,7,25,18,3,4,0,3,3,0,60,7,55,3,13,3,0,0,3,0,82,11,77,7,5,0,3,0,3,0,108,50,41,8,7,19,10,6,5,0,155,26,95,8,41,15,0,7,14,4,211,11,68,26,14,4,9,6,10,0,143,6,0,33,0,0,3,0,4,0,47,0,0,0,0,0,0,0,0,0,0,14,14,4,0,0,0,4,6,0,37,11,4,7,5,0,4,8,9,5,46,219,490,338,116,78,48,62,94,24,1468,3,20,6,3,6,4,0,3,0,44,4,0,0,0,0,0,0,0,0,7,6,3,3,0,5,0,0,6,0,22,10,20,6,0,0,0,0,0,0,45,3,12,4,8,3,0,0,3,0,34
UCL213003,11,10,0,0,0,0,0,0,0,30,0,8,10,0,0,0,0,9,0,37,48,14,212,10,15,18,80,66,11,458,49,5,137,0,5,9,9,33,3,257,16,11,11,4,0,3,24,20,4,97,8,39,3,9,5,0,0,8,0,62,10,35,5,5,0,0,4,4,0,70,47,40,17,8,24,14,10,41,0,202,11,13,3,51,8,0,7,17,0,112,4,9,6,0,0,0,0,7,0,38,8,0,46,4,6,6,17,30,3,122,0,0,0,0,0,0,0,3,0,3,10,0,0,0,3,0,4,6,0,30,6,0,14,0,5,5,12,25,14,79,225,196,467,92,63,50,177,276,36,1592,5,6,4,6,5,5,0,4,0,27,0,0,0,0,0,0,0,7,0,6,0,4,0,0,0,0,4,10,0,23,0,6,3,0,0,0,0,0,0,12,7,5,3,0,0,6,0,8,0,40
UCL213004,9,14,0,0,3,3,0,4,0,39,14,18,15,0,8,3,0,7,0,75,81,55,339,7,11,22,102,66,6,691,41,12,249,0,7,4,33,59,7,409,19,8,37,4,0,4,14,14,6,104,14,36,7,29,3,3,0,6,0,94,18,64,5,12,5,0,4,7,0,109,62,56,20,10,36,27,21,19,0,247,13,26,14,48,5,7,7,13,0,141,9,15,4,6,0,3,6,10,0,60,9,0,39,3,0,10,19,4,5,83,0,0,0,0,0,0,0,0,0,0,10,6,5,4,9,0,0,0,3,41,11,0,14,0,7,6,13,13,10,71,303,313,745,117,91,92,216,227,43,2150,4,16,10,5,8,7,0,0,0,51,0,0,4,0,0,0,0,0,0,10,3,8,5,0,5,0,8,7,0,27,0,4,9,0,6,7,0,5,0,26,3,3,3,0,3,7,0,11,0,35
UCL213005,9,31,10,7,0,6,0,3,0,67,13,38,16,0,4,3,7,11,0,84,68,66,286,29,25,22,77,68,12,648,40,16,287,7,0,3,27,58,4,445,0,12,42,4,0,4,5,17,0,87,10,59,8,32,9,4,8,3,0,136,6,67,7,12,3,5,4,3,0,111,101,71,25,24,28,21,20,24,4,328,25,39,18,64,15,6,4,9,0,189,14,20,18,7,10,5,6,12,0,83,16,0,72,6,5,7,17,12,0,146,0,0,0,0,0,0,0,0,0,5,8,12,10,5,4,0,4,3,4,49,4,3,24,5,3,5,0,9,9,61,321,421,810,204,115,99,189,242,41,2436,10,24,9,5,11,3,3,0,4,67,0,3,0,4,3,0,0,3,0,21,0,8,0,0,0,3,0,8,0,31,0,6,9,0,6,0,0,0,0,24,0,3,5,5,0,5,0,5,0,28
UCL213006,6,21,3,0,0,0,0,0,0,46,20,36,7,4,0,0,0,3,0,78,104,106,240,20,19,15,36,37,0,590,43,14,213,5,6,5,14,26,8,333,15,8,15,0,5,0,7,6,0,54,3,51,6,21,0,0,4,3,0,86,17,70,3,8,5,4,7,6,0,109,153,83,23,15,38,24,15,11,0,371,14,45,6,45,12,7,5,6,4,142,5,19,7,12,3,7,7,3,0,60,11,0,15,0,0,0,4,7,0,44,0,0,0,0,0,0,0,0,0,0,8,15,4,8,4,0,8,0,0,48,6,3,16,3,0,3,13,8,8,54,410,472,575,139,103,66,112,122,25,2028,9,25,8,10,12,5,0,0,0,68,9,3,0,0,7,0,0,0,0,24,5,7,13,4,5,4,0,0,0,37,4,11,11,5,8,6,0,0,0,39,3,9,9,0,3,0,0,0,0,30
UCL213007,8,27,3,4,0,0,0,0,0,46,18,11,11,5,3,8,4,0,0,58,90,46,322,12,16,24,78,58,9,662,56,0,195,9,6,9,29,33,3,342,61,48,34,12,7,10,13,27,0,213,11,76,4,33,0,3,0,0,0,138,15,68,4,8,3,5,5,0,0,114,107,77,24,21,27,36,16,28,3,344,13,45,11,76,10,5,7,10,7,180,4,12,6,4,0,3,0,3,0,46,16,0,70,5,8,9,16,8,4,134,0,0,0,0,0,0,0,0,0,0,5,5,8,0,5,0,3,3,0,31,18,9,17,0,0,8,18,15,15,87,423,435,706,202,86,116,196,191,46,2394,10,23,10,0,3,0,0,4,0,44,3,4,0,3,5,0,0,0,0,14,7,6,3,3,4,0,8,0,0,33,0,0,5,0,6,4,0,0,0,16,7,20,6,10,11,0,0,9,0,68
UCL213008,13,31,6,3,0,0,3,3,0,67,31,91,17,8,13,12,11,9,0,177,109,94,435,30,25,13,100,77,12,896,36,13,256,9,11,9,35,53,4,416,14,7,17,4,6,0,14,8,0,71,9,51,11,25,3,8,10,4,4,124,8,50,0,19,3,0,11,3,0,105,94,88,22,29,61,23,36,26,3,386,23,31,6,93,12,12,15,15,0,204,9,27,9,7,0,9,8,6,0,78,14,0,32,13,7,6,32,8,0,107,0,0,0,0,0,0,0,0,0,0,4,7,13,3,5,0,14,8,4,49,3,7,17,3,4,0,16,7,10,76,360,507,844,253,152,93,292,211,49,2765,12,34,11,10,8,14,0,0,0,85,5,20,3,3,4,0,0,4,0,40,6,21,8,8,4,3,9,5,0,65,3,9,3,0,3,0,0,0,0,29,6,7,6,5,4,7,0,3,0,37
UCL213009,10,17,5,5,0,0,0,0,0,39,15,35,15,4,9,6,3,7,4,102,71,52,251,21,17,12,57,49,12,542,35,8,241,3,10,8,28,29,9,374,14,8,26,0,4,0,7,8,0,64,6,37,7,25,8,5,0,10,0,107,8,48,0,13,0,0,3,0,0,81,79,64,17,23,36,23,28,17,4,281,17,24,11,54,17,10,8,10,0,161,7,9,4,0,3,8,4,14,0,56,8,0,51,8,5,6,14,15,0,108,0,0,0,0,0,0,0,0,0,4,0,6,8,8,0,0,6,3,3,34,8,7,20,0,5,4,6,6,17,69,284,325,661,175,104,89,174,173,45,2021,6,14,13,8,9,3,0,4,0,62,4,5,0,0,4,0,0,0,0,16,0,3,0,0,5,0,5,3,0,18,0,4,5,0,3,0,0,0,0,25,0,0,9,6,9,3,0,8,0,27
UCL213010,0,6,0,0,0,0,0,0,0,14,9,11,16,3,10,3,0,3,0,55,58,45,402,25,17,9,84,68,6,720,26,3,164,0,4,6,28,42,4,273,9,0,22,5,0,3,11,13,0,64,8,44,3,20,0,3,6,4,0,82,5,38,3,5,0,0,0,3,0,57,42,27,13,12,22,16,19,12,4,161,8,22,6,61,6,13,7,17,3,143,0,5,15,3,0,0,6,4,0,42,4,3,24,0,7,11,9,18,3,80,0,0,0,0,0,0,0,0,0,3,10,0,9,0,0,0,0,6,0,32,3,9,30,4,0,8,12,18,12,95,179,216,694,140,85,68,176,212,43,1816,0,9,0,0,4,5,0,3,0,22,0,0,3,0,0,0,0,0,0,7,3,0,9,0,13,0,3,3,0,28,3,0,4,3,0,4,0,3,0,16,6,5,4,0,3,0,0,6,0,22
UCL213011,5,6,3,0,6,0,5,0,0,21,6,18,15,5,9,0,5,3,0,71,27,32,222,15,22,11,68,37,8,448,18,8,90,0,8,0,34,31,7,198,3,6,12,0,0,3,9,8,0,37,3,24,5,22,0,0,0,3,0,60,3,22,5,12,9,0,0,0,0,49,20,26,15,3,23,25,12,18,3,147,9,29,11,49,13,12,13,11,4,138,0,3,3,3,3,3,0,6,0,28,9,0,48,5,0,5,9,8,0,86,0,0,0,0,0,0,0,0,0,0,4,0,15,0,5,0,0,9,0,37,6,3,22,3,7,4,17,18,17,88,114,171,455,119,96,66,169,159,44,1398,0,10,8,3,0,6,0,3,0,23,0,6,0,3,3,0,0,0,0,17,0,0,4,5,3,4,0,3,0,27,0,0,0,0,0,0,0,5,0,9,0,0,4,3,4,0,0,0,0,21
UCL213012,0,5,0,5,0,0,0,0,0,15,4,9,6,0,0,0,0,5,0,22,42,46,241,8,8,6,81,45,14,482,16,3,94,3,6,0,32,30,3,188,13,3,13,4,3,0,12,12,3,67,4,38,0,19,0,0,6,0,0,75,3,48,0,10,0,0,3,0,0,70,36,26,8,9,15,7,9,12,0,127,4,21,0,27,7,0,6,9,0,73,0,4,3,0,8,4,7,4,0,23,3,0,21,0,0,5,12,9,5,56,0,0,0,0,0,0,0,0,0,3,6,4,10,4,0,0,0,5,0,28,10,5,6,4,4,4,12,9,11,64,144,215,404,100,44,37,175,136,39,1291,0,9,3,5,0,0,0,0,0,17,4,5,0,0,4,0,0,0,0,7,4,6,3,0,3,0,4,0,0,20,0,4,0,0,0,0,0,0,0,11,0,5,7,3,0,4,0,0,0,20
UCL213013,6,36,6,4,0,0,0,0,0,54,19,19,15,5,3,7,0,0,3,65,66,137,288,27,23,14,46,59,13,663,43,7,149,5,3,4,22,33,7,266,24,11,11,4,0,0,7,10,0,74,8,85,6,25,3,3,0,6,0,137,25,84,3,13,3,0,3,4,0,127,81,68,16,20,28,23,10,5,3,264,20,59,8,51,8,4,7,7,0,163,12,18,10,5,0,9,6,0,0,47,22,7,48,8,4,4,3,16,0,108,5,0,0,0,0,0,0,0,0,3,14,11,7,0,3,0,3,4,0,41,14,3,9,0,4,3,8,8,9,60,337,534,566,168,85,79,111,154,43,2078,5,13,0,4,7,3,0,0,0,38,0,3,4,0,10,0,0,0,0,14,4,12,7,4,0,3,0,5,0,42,0,4,3,4,0,5,0,0,0,13,6,8,5,0,0,5,0,3,0,32
UCL213014,7,10,0,0,0,0,0,3,0,21,5,11,8,3,4,0,4,6,0,38,59,31,232,10,17,15,32,42,3,445,57,3,106,4,3,0,19,16,3,207,49,28,16,0,10,10,8,17,9,136,7,50,0,23,4,0,0,3,0,91,19,61,3,3,0,0,0,0,0,91,64,58,7,13,19,12,0,22,0,202,13,28,4,33,0,7,3,5,0,100,0,9,3,0,0,0,0,0,0,20,4,0,32,3,0,6,9,13,5,70,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,5,4,5,0,23,11,0,7,3,3,3,7,13,12,65,296,282,419,93,59,72,90,163,37,1509,6,11,3,0,0,0,0,6,0,19,0,0,0,3,0,0,0,3,0,12,0,4,7,3,4,0,0,7,0,22,0,3,0,0,0,0,0,0,0,8,0,3,4,5,12,0,0,0,0,26
UCL213015,4,18,10,0,6,0,0,0,0,40,22,41,17,9,12,9,9,12,3,126,69,71,426,29,27,25,101,62,11,819,44,0,251,0,4,7,26,38,3,376,5,0,30,0,0,0,14,15,0,60,8,37,7,18,4,3,0,5,0,88,6,33,4,9,5,3,7,6,0,66,89,54,20,20,43,35,35,20,3,319,22,30,17,60,22,3,19,9,0,181,5,19,13,3,3,0,7,5,0,57,9,6,45,8,9,15,21,9,6,124,0,0,0,0,0,0,0,0,0,4,3,9,10,4,0,0,15,6,4,50,9,3,29,0,6,0,23,7,24,95,296,321,866,158,127,102,289,197,56,2411,4,15,3,18,15,0,0,9,0,69,3,15,5,10,8,4,0,0,0,43,3,8,5,4,6,3,5,0,0,36,5,5,0,0,5,0,0,0,0,24,3,0,12,3,5,0,3,4,0,28
UCL213016,13,22,5,5,0,3,0,3,0,62,10,22,20,3,5,7,3,11,0,81,86,66,333,16,24,23,88,54,11,697,72,11,234,15,0,9,38,54,8,435,23,17,24,5,7,6,22,23,0,121,8,139,11,55,8,3,4,6,4,240,14,99,13,18,3,3,10,7,0,172,111,79,28,27,43,31,12,28,4,357,22,42,10,84,8,10,12,23,3,213,10,20,8,4,6,4,6,9,0,52,19,3,73,13,4,15,19,41,0,177,0,0,0,0,0,0,0,0,0,0,6,5,4,6,7,0,9,4,0,36,17,3,15,4,8,0,16,23,25,108,404,530,773,245,115,119,229,282,50,2751,7,27,12,6,6,0,0,0,0,51,3,8,0,0,3,3,0,0,0,16,4,5,7,0,7,0,3,5,4,36,0,4,6,0,6,3,0,0,0,16,7,9,5,3,4,4,0,7,0,48
UCL213017,8,34,7,6,3,3,4,6,0,71,14,43,18,3,7,6,6,7,3,110,131,96,360,15,21,36,95,84,11,846,83,20,273,0,6,11,31,57,12,492,22,23,37,5,7,10,19,29,0,146,5,118,7,36,0,4,0,3,0,176,20,125,9,13,8,4,3,6,0,183,119,135,22,22,48,31,18,22,3,428,29,67,16,85,12,7,5,18,0,253,8,27,16,6,3,5,7,6,0,80,16,3,46,9,0,9,15,26,0,121,0,0,0,0,0,0,0,0,0,0,7,11,5,8,4,0,8,0,0,54,6,6,18,9,0,4,10,11,19,86,478,697,834,225,122,128,221,281,52,3047,14,14,3,8,12,0,0,0,0,52,3,3,0,4,12,0,0,3,0,27,5,8,0,5,0,0,6,8,0,32,0,9,8,4,0,0,0,3,0,33,17,10,12,10,12,10,0,8,0,76
UCL213018,0,3,6,0,4,0,0,0,0,15,0,3,9,0,0,0,0,0,0,17,52,26,151,4,13,16,26,38,6,329,40,3,130,6,0,0,12,21,4,223,7,11,16,4,0,6,5,16,0,59,6,25,0,9,0,0,0,0,0,47,13,34,0,3,0,0,0,0,0,53,42,37,6,4,8,9,4,9,3,122,12,16,6,19,0,3,0,5,0,58,4,4,7,0,0,0,0,5,0,14,10,0,40,3,0,3,0,4,0,72,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,11,16,4,3,0,0,5,8,12,0,51,191,176,368,55,29,45,70,116,18,1065,0,3,7,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0,17,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,10
UCL214001,6,7,3,0,0,0,0,0,0,15,4,0,0,0,0,5,3,5,0,23,30,22,87,17,5,5,32,52,3,255,22,0,36,16,8,0,3,15,3,97,11,3,15,0,0,3,8,10,5,48,3,30,0,12,0,0,0,0,0,55,8,17,5,6,0,0,0,0,0,36,38,7,8,3,10,8,6,12,4,92,5,21,5,56,6,0,5,9,4,114,0,6,0,0,0,0,0,0,0,12,6,0,17,4,0,0,3,18,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,19,0,9,0,0,0,0,7,10,6,34,118,120,179,124,31,29,72,138,22,843,0,9,7,0,0,3,0,0,0,20,0,0,0,4,0,0,0,4,0,11,7,0,9,0,0,0,0,10,0,21,0,3,0,4,0,0,0,0,0,6,0,3,6,4,9,0,0,0,0,27
UCL214002,0,8,0,3,5,0,0,5,0,15,6,12,10,0,0,3,4,0,0,28,28,38,209,9,12,8,42,32,13,385,20,0,115,3,3,0,18,24,5,190,4,4,13,4,3,0,3,8,0,48,12,16,3,8,0,0,0,0,0,35,7,30,8,5,0,0,4,0,0,48,30,23,5,9,18,15,7,5,4,108,9,9,4,32,7,4,4,5,0,68,5,10,4,3,0,3,0,5,0,27,8,0,20,9,4,0,7,9,0,50,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,0,0,16,3,0,13,3,0,0,3,3,5,42,137,136,397,87,49,36,96,100,21,1072,0,8,0,0,3,4,0,0,0,15,0,3,0,0,0,0,0,0,0,10,0,6,8,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,9,0,0,5,0,4,0,0,0,0,12
UCL214003,0,4,4,0,0,0,0,0,0,11,3,4,3,0,5,0,0,0,0,20,51,53,179,8,19,8,40,44,8,402,39,6,108,4,4,5,15,24,7,202,10,6,16,0,3,3,6,9,6,63,4,33,0,9,0,0,0,0,0,56,6,34,0,10,4,0,0,3,0,60,33,12,9,10,13,21,4,10,0,127,5,11,4,32,3,4,3,10,0,81,0,7,0,0,0,7,0,5,0,28,6,0,26,3,0,4,11,14,3,59,0,0,0,0,0,0,0,0,0,5,3,11,3,0,3,0,5,4,0,31,3,0,19,0,5,0,8,21,7,77,176,200,375,96,64,51,93,140,32,1227,0,13,0,3,3,5,0,0,0,25,5,6,0,0,0,0,0,0,0,8,5,9,5,0,5,0,4,6,0,35,0,3,0,0,0,0,0,0,0,4,3,11,8,0,6,3,0,4,0,40
