UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
UCL212005,0,0,0,3,40,37,100,168,41,42,49,60,22,15,16,587,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,4,0,3,0,4,0,6,0,0,0,0,22,0,0,0,0,3,11,29,16,0,3,4,20,0,3,0,93,0,0,0,0,10,8,40,60,5,15,15,9,4,11,4,188,0,0,0,3,0,13,13,23,4,3,13,36,0,0,4,126,0,0,0,4,3,23,38,10,7,5,13,6,8,0,0,110,42,132,244,76,46,39,85,65,0,11,20,12,0,0,30,793,0,0,0,5,3,8,14,9,5,0,0,10,3,0,3,62,0,0,0,0,7,3,17,13,0,0,3,6,5,5,3,65,12,31,89,66,70,225,517,282,80,54,113,193,62,12,44,1849,124,605,632,302,298,750,2351,1890,507,537,638,741,268,101,288,10023
UCL212006,0,0,6,8,56,35,70,70,16,14,16,19,6,0,3,327,3,8,6,10,11,4,7,3,0,0,0,0,0,0,0,55,0,0,0,5,4,11,16,3,0,0,3,0,3,0,0,51,0,0,0,20,3,17,51,22,3,5,0,12,0,0,0,148,0,0,5,10,13,13,29,31,6,5,0,6,0,0,0,127,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,25,0,0,0,0,9,8,19,18,4,5,4,5,4,0,0,76,20,175,437,278,237,103,199,116,17,15,12,13,10,0,37,1661,0,0,3,8,15,12,25,28,0,3,0,0,7,0,3,106,0,0,0,0,11,11,14,17,3,0,4,0,0,0,0,75,31,124,137,141,117,88,143,107,17,10,15,11,4,4,28,976,112,535,845,689,806,546,1293,875,156,139,104,137,65,17,125,6442
UCL212007,0,0,0,3,0,6,6,3,0,0,0,0,4,0,0,33,0,3,3,3,3,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,13,0,0,0,10,26,29,66,27,5,3,7,4,4,0,0,176,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,3,0,4,0,0,0,0,18,27,78,175,117,94,59,246,156,21,13,16,20,3,0,13,1042,0,0,0,12,12,15,30,34,0,9,6,3,3,0,4,139,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,9,10,31,41,33,37,36,80,78,9,14,13,21,9,0,7,421,71,254,315,272,281,248,668,468,74,72,55,93,38,14,39,2962
UCL212008,0,0,0,3,36,26,30,37,14,16,18,34,4,0,0,211,4,0,0,0,14,3,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,11,0,0,0,4,3,5,36,5,9,3,0,0,0,4,6,80,0,6,3,0,3,10,14,23,6,3,11,3,0,0,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,13,6,0,3,0,0,0,0,44,63,174,250,113,95,27,76,46,3,3,11,3,0,9,43,912,0,0,6,7,0,0,21,0,0,4,7,3,4,0,0,52,0,0,0,3,0,9,9,6,0,0,0,4,0,0,4,43,17,48,52,51,37,28,121,49,13,8,9,19,3,0,19,478,136,476,443,297,330,198,613,371,99,89,129,169,43,27,129,3555
UCL212009,0,0,0,4,17,17,35,43,16,17,22,30,7,0,3,222,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,12,0,0,0,4,7,14,34,19,9,5,3,23,0,10,0,118,0,4,0,0,6,3,23,40,11,4,4,14,4,0,0,115,0,0,0,0,0,0,6,18,0,12,9,4,0,0,0,57,0,0,0,0,0,3,20,19,13,8,12,5,0,0,0,80,18,96,223,80,66,46,79,37,4,6,5,13,0,0,26,709,0,0,6,7,10,6,11,14,5,0,0,3,0,3,0,65,0,0,0,0,3,0,5,9,5,16,16,60,6,0,5,113,8,5,28,26,25,36,72,53,8,15,28,65,29,4,15,407,40,205,317,201,239,256,589,415,122,143,214,315,80,27,95,3251
UCL213001,0,0,0,0,17,21,16,34,11,13,7,10,4,4,0,138,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,4,3,4,16,6,0,0,3,3,0,4,5,44,0,0,5,0,0,0,3,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,12,0,0,0,0,0,0,4,11,8,6,6,7,0,0,0,40,29,65,136,61,34,17,54,11,0,0,0,3,0,0,17,438,3,0,3,3,0,5,7,5,0,0,0,0,0,0,0,25,0,0,0,0,0,13,15,7,3,0,0,8,0,0,6,53,11,25,28,7,16,7,12,29,3,0,9,11,7,0,4,184,61,202,238,137,124,116,208,219,49,54,52,63,33,10,64,1606
UCL213002,0,0,0,0,4,3,8,4,0,0,0,0,0,0,0,23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,0,0,0,0,0,0,0,0,36,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,6,14,62,106,69,65,32,54,22,0,3,3,5,0,6,44,481,0,0,5,20,3,9,13,3,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,9,7,20,17,23,7,40,11,0,5,3,0,0,0,60,206,39,120,188,147,149,129,196,88,14,16,19,13,14,0,270,1411
UCL213003,0,0,3,0,9,0,19,12,0,0,8,11,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,9,0,9,10,0,5,0,0,29,0,0,0,0,0,0,5,9,14,14,37,42,15,0,0,134,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,14,18,40,73,23,12,8,13,6,0,0,0,0,0,0,6,207,0,0,0,4,0,0,3,5,0,0,3,0,0,0,0,20,0,0,0,0,3,3,3,4,0,0,0,0,0,0,0,8,0,11,12,7,9,18,43,17,4,0,3,13,0,23,7,173,32,107,109,59,72,62,204,140,45,85,130,114,33,28,33,1253
UCL213004,0,0,0,0,17,14,14,16,4,3,0,7,0,0,4,75,0,0,3,0,9,0,4,0,0,0,0,0,0,0,0,18,0,0,0,3,0,6,8,0,0,0,0,0,0,0,0,7,0,0,0,5,10,9,25,8,0,8,9,3,6,0,0,79,0,0,5,0,8,6,11,5,0,3,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,24,84,210,121,80,28,91,38,0,0,0,3,3,4,24,709,0,0,4,6,4,5,3,3,0,4,0,0,0,0,0,29,0,0,0,0,0,4,3,5,0,0,0,3,0,0,0,15,9,28,48,43,51,23,35,23,0,0,0,8,0,0,3,278,61,242,335,228,256,144,308,170,31,32,23,42,18,0,56,1951
UCL213005,0,0,0,4,12,13,12,16,9,4,7,5,4,0,0,82,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,13,0,3,0,11,17,3,24,18,0,0,0,4,0,0,0,80,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,4,0,0,0,0,27,34,141,288,152,116,57,142,68,15,16,18,4,0,5,21,1084,4,0,4,5,8,8,17,9,0,0,0,0,0,0,4,59,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,10,38,55,32,25,20,47,27,11,7,4,7,0,0,0,284,72,336,484,276,271,171,392,230,63,44,43,37,13,10,48,2480
UCL213006,0,0,0,0,4,5,4,6,0,0,0,0,0,0,0,20,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,12,5,3,0,0,0,0,0,0,18,0,0,0,0,3,3,22,5,0,0,0,0,0,0,4,42,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,11,6,41,117,93,63,33,97,34,4,0,3,9,0,0,22,520,0,0,0,6,3,4,9,4,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,3,27,28,34,29,12,35,12,4,0,0,0,8,6,7,194,25,122,200,191,171,113,295,114,35,18,20,14,9,5,50,1392
UCL213007,0,0,0,0,4,6,34,21,10,12,20,8,3,0,3,119,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,12,4,0,0,0,3,37,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,17,19,0,4,4,0,0,0,0,50,9,29,69,26,12,7,21,11,4,0,8,0,0,0,9,204,0,0,0,5,0,0,0,10,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,8,11,12,11,16,6,66,31,8,6,17,14,5,0,4,208,33,108,109,68,63,57,283,212,42,56,78,55,39,0,32,1228
UCL213008,0,0,0,8,13,15,180,34,18,7,17,7,4,0,3,308,0,0,0,0,10,0,0,0,0,0,0,4,0,0,4,16,0,0,3,0,0,5,18,5,0,0,0,0,0,0,0,33,0,0,0,0,0,8,10,3,3,0,0,0,0,3,0,32,0,3,0,0,0,0,11,10,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,5,19,10,6,0,6,6,0,0,0,53,23,106,243,94,62,48,87,68,4,11,5,0,0,0,17,766,0,0,3,3,3,3,4,14,0,0,0,0,0,0,0,29,0,0,0,0,14,9,13,7,0,0,0,0,0,0,8,45,4,27,41,35,36,36,60,35,30,11,0,0,0,0,5,330,35,273,370,181,200,198,623,403,116,71,69,59,20,8,51,2671
UCL213009,0,0,0,3,11,13,26,10,3,5,3,10,13,0,0,96,3,0,3,0,4,3,4,0,0,0,0,0,0,0,0,24,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,10,0,0,0,5,7,5,26,6,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,3,5,0,0,0,0,0,0,0,13,16,76,161,86,58,20,46,24,3,0,0,3,6,0,30,525,0,0,0,0,5,5,10,3,0,0,0,0,0,0,0,24,0,0,0,7,3,0,0,0,0,0,0,4,0,0,0,6,8,20,25,24,12,12,30,28,3,8,0,3,5,3,4,197,52,218,271,174,170,112,265,160,31,22,29,36,28,5,54,1614
