UCL_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL212005,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,12,34,0,5,0,0,0,48,0,0,0,3,0,6,28,16,9,67,0,27,38,70,35,31,30,11,0,246,0,0,0,5,0,4,8,9,8,34,0,25,22,59,0,6,0,0,0,118,0,0,4,7,4,0,0,0,0,15,3,13,24,164,50,44,32,7,0,341,0,0,0,3,0,3,5,0,6,7,3,4,10,15,15,0,3,0,0,56,0,0,0,9,4,13,15,11,3,47,0,0,0,7,4,0,0,0,0,17,0,4,7,19,13,3,6,0,0,51,0,11,6,42,20,10,6,0,0,95,0,0,4,81,3,4,4,0,0,89,0,3,0,43,21,11,3,0,0,83,0,0,0,15,33,23,15,6,0,88,0,8,5,8,5,6,0,3,0,36
UCL212006,0,0,0,7,3,18,40,15,6,91,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,13,0,0,0,0,0,9,0,0,0,3,3,5,21,14,8,60,0,12,28,111,56,57,28,14,0,308,0,0,0,4,0,0,4,0,0,9,0,0,4,8,0,7,0,0,0,19,0,0,0,6,4,4,3,0,0,18,0,10,15,82,46,33,24,6,0,212,0,0,0,3,6,5,7,3,0,31,0,0,4,3,3,3,0,0,0,13,0,0,0,12,13,22,27,30,5,111,0,0,8,8,0,8,4,0,3,35,0,11,9,20,18,6,8,0,0,71,0,5,7,21,18,6,3,3,0,65,0,0,0,8,0,4,0,0,0,18,0,0,8,31,10,11,0,0,0,61,0,0,0,3,3,3,0,0,0,11,8,6,0,21,10,7,10,0,0,57
UCL212007,0,0,0,0,3,8,12,3,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,5,3,15,10,3,64,0,13,12,60,37,15,11,6,0,152,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,5,3,0,0,0,26,0,0,0,4,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,12,17,7,0,74,0,0,0,0,3,5,0,0,0,5,0,5,9,33,20,12,7,0,0,90,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,7,11,32,8,9,3,0,0,67
UCL212008,0,0,0,0,0,0,6,9,9,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,19,0,0,0,6,3,4,47,30,11,102,0,10,12,46,29,25,17,6,0,150,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,5,6,63,16,27,13,0,0,138,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,22,27,28,13,103,0,0,0,7,5,0,0,0,0,8,0,0,5,3,14,4,0,0,0,31,0,4,6,14,10,3,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,4,19,7,0,3,0,0,38,0,0,0,3,0,0,0,0,0,4,0,0,4,8,0,0,8,0,0,21
UCL212009,0,0,0,0,4,0,4,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,18,0,0,0,4,4,4,13,20,7,47,0,4,13,49,39,37,25,9,4,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,10,13,81,27,19,8,3,0,162,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,12,20,13,4,68,0,0,0,0,0,0,0,0,0,7,0,6,0,24,10,9,5,4,0,53,0,0,0,32,5,4,5,5,0,55,0,0,0,25,4,0,0,0,0,27,0,0,7,26,9,12,0,0,0,54,0,0,0,3,0,0,0,0,0,5,0,3,0,14,7,4,0,0,0,31
UCL213001,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,4,12,10,3,29,0,0,0,11,11,23,15,7,3,65,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,9,3,45,18,15,12,5,0,105,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,4,33,0,0,0,0,0,0,0,0,0,7,0,0,0,13,5,0,5,0,0,20,0,0,0,9,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,12,0,0,5,20,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,3,0,0,17
UCL213002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,19,0,4,0,16,15,17,14,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,8,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,6,0,0,25
UCL213003,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,3,10,3,18,0,0,6,22,11,12,9,5,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,4,0,6,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,5,6,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,0,6,60,0,0,0,0,0,68,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,4,0,0,12
UCL213004,0,0,0,0,0,0,4,7,0,7,0,0,0,4,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,24,22,11,69,0,8,13,23,25,23,15,3,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,23,16,7,3,0,0,59,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,13,14,7,51,0,0,0,3,0,3,0,0,0,5,0,3,6,13,5,0,3,3,0,37,0,5,0,3,7,0,5,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,4,3,0,0,16
UCL213005,0,0,0,0,0,7,7,8,0,24,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,9,15,3,39,0,4,7,32,21,14,21,3,3,98,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,20,6,11,5,0,0,53,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,26,9,0,61,0,0,0,3,0,0,0,0,0,5,0,0,0,10,4,14,10,6,0,43,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,0,3,0,0,31
UCL213006,0,0,0,0,0,3,12,4,0,23,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,4,5,4,0,18,3,3,7,28,24,11,5,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,4,0,34,0,0,5,0,3,0,0,0,0,16,0,0,6,3,6,0,0,0,0,18,0,0,0,4,0,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,5,6,0,0,15
UCL213007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,3,0,0,23,0,5,0,10,0,0,0,0,0,15,0,0,0,0,0,0,9,10,3,21,0,0,7,12,4,6,5,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,10,3,6,5,39,12,3,10,4,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,21,0,0,0,3,0,0,0,0,0,6,0,3,4,6,5,3,0,0,0,20,0,0,0,11,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,3,6,10,4,0,0,0,0,29,0,3,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,11
