UCL_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
UCL212005,0,21,22,116,45,40,13,0,0,253,0,4,4,5,6,5,8,4,0,26,0,0,0,8,3,27,79,97,51,257,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,19,17,196,35,12,7,0,0,298,0,0,0,0,0,0,4,4,0,9,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,7,36,6,0,0,0,0,48,0,0,0,0,4,8,21,16,4,54,0,31,42,47,36,33,21,19,3,230,0,0,0,5,0,8,9,8,5,33,4,35,24,74,13,3,3,0,0,151,0,0,0,0,0,0,5,0,0,7,0,31,28,140,28,9,4,0,0,247,0,0,0,0,0,0,0,0,0,4,0,5,14,23,10,9,6,0,0,68,0,0,0,3,4,6,15,12,0,55
UCL212006,0,0,0,4,0,0,5,0,0,6,0,0,4,27,11,17,8,9,0,79,0,0,0,12,13,24,45,23,12,119,0,0,0,0,4,0,0,0,0,8,0,0,3,0,0,0,0,0,0,6,0,0,4,12,0,3,0,0,0,24,0,0,0,11,0,8,5,4,0,37,0,0,0,3,5,16,42,27,3,96,0,0,0,5,0,4,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,0,15,0,0,0,0,0,19,0,0,0,4,10,8,20,10,3,54,4,22,37,116,61,52,27,15,0,335,0,0,0,0,9,4,0,0,0,16,0,0,3,14,5,9,0,0,0,27,0,0,0,0,4,6,0,0,0,12,0,16,13,45,18,8,10,8,0,119,0,0,0,0,0,3,5,0,0,18,0,0,4,0,8,0,0,0,0,17,0,0,7,19,17,26,30,17,3,116
UCL212007,0,0,0,0,0,0,0,0,0,0,0,3,3,16,6,7,6,0,0,35,0,0,0,6,0,3,18,6,6,41,0,0,0,3,0,0,0,0,0,5,3,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,16,0,0,0,0,0,3,4,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,20,14,3,52,0,9,17,75,40,17,21,0,0,178,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,5,3,0,0,0,0,0,12,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,11,20,7,0,65
UCL212008,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,4,6,0,32,0,0,0,0,4,8,32,16,13,78,0,0,0,7,4,0,0,0,0,16,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,4,5,0,0,0,22,0,0,0,0,0,0,16,4,0,27,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,4,5,5,33,29,7,85,0,9,11,52,14,31,23,9,0,138,0,0,0,0,0,0,5,0,0,5,0,0,0,14,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,3,8,11,38,7,3,0,0,0,72,0,0,0,3,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,5,4,3,26,29,13,0,83
UCL212009,0,0,0,0,0,0,0,0,0,5,0,0,0,12,9,6,8,8,0,41,0,0,0,5,0,3,9,3,0,19,0,0,0,4,0,0,0,0,0,4,0,0,4,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,5,7,4,6,4,0,0,26,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,18,0,0,0,6,5,5,15,12,8,49,0,5,20,48,30,25,26,5,5,167,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,11,3,35,3,0,0,0,0,60,0,0,0,3,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,6,0,0,0,10,5,6,17,8,3,46
UCL213001,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,14,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,3,0,0,0,27,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,13,15,7,32,0,0,0,15,4,10,16,4,0,54,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,3,19,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,7,3,18
UCL213002,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,21,0,0,0,3,0,0,0,0,3,15,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,0,20,0,3,3,31,18,17,11,3,0,86,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,4,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,0,3,31
UCL213003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,4,0,0,4,6,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,4,10,4,19,0,0,6,15,10,10,0,8,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,5,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,35,0,0,0,4,3,4,0,5,0,19
UCL213004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,14,0,0,0,5,0,9,9,7,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,15,25,0,55,0,3,8,30,17,12,11,4,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,16,0,0,0,0,5,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,13,6,0,35
UCL213005,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,3,0,3,27,0,0,0,6,3,4,18,5,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,6,8,9,0,24,0,3,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,14,8,51,0,9,0,24,27,17,19,6,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,13,0,3,0,0,0,29,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,18,12,6,61
UCL213006,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,16,0,0,0,0,0,4,9,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,9,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,10,0,5,8,24,24,8,3,9,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,6,9,0,33
UCL213007,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,9,0,0,0,4,0,3,3,7,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,0,0,0,23,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,3,5,4,12,0,0,4,14,9,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,12,15,10,6,0,0,0,37,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,17
UCL213008,0,0,0,0,0,0,0,0,0,3,0,4,0,5,3,5,7,0,0,24,0,0,4,3,4,3,4,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,10,0,0,0,0,0,3,7,3,0,17,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,8,28,12,0,44,0,3,3,37,15,15,7,4,0,91,0,0,0,8,0,5,0,0,0,7,0,4,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,26,43,36,15,3,0,0,136,0,0,0,0,0,0,3,0,0,8,0,4,0,3,0,4,0,0,0,10,0,0,4,8,10,17,18,11,4,69
