UCL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL215014,534,511,1046,13,17,31,0,0,0,40,50,90,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,90,0,3,3,0,0,0,51,73,124,21,19,37,605,598,1204
UCL215015,909,947,1856,75,79,153,10,11,25,77,80,160,8,6,13,0,0,3,3,0,4,4,0,4,0,3,6,0,0,5,0,0,0,104,112,215,0,7,8,0,5,8,181,199,381,105,124,229,1201,1269,2472
UCL215016,1690,1709,3402,90,78,170,6,3,10,116,98,213,0,3,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,110,233,0,3,4,10,4,13,225,194,418,100,112,211,2012,2017,4031
UCL215017,1051,1069,2123,41,36,81,0,0,0,127,137,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,137,271,6,0,3,3,4,4,175,180,361,88,104,189,1317,1356,2675
UCL215018,1136,1256,2397,48,46,99,0,0,4,81,74,155,4,4,7,4,0,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,92,81,179,0,0,3,0,0,0,147,133,282,91,95,185,1381,1481,2859
UCL215019,816,842,1656,51,62,108,0,5,10,95,100,197,0,0,0,0,3,5,0,3,5,6,0,3,0,0,0,3,0,3,0,0,0,108,110,213,0,5,6,5,0,4,162,175,340,128,164,294,1105,1182,2289
UCL215020,499,576,1075,31,36,71,4,6,6,28,33,64,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,76,9,4,4,3,0,4,76,84,164,41,44,84,612,705,1322
UCL215021,491,529,1014,9,11,29,4,4,12,19,28,47,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,59,0,0,0,0,0,0,38,47,89,50,48,92,573,624,1199
UCL215022,1814,1885,3705,70,70,139,0,3,7,138,159,297,13,7,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,171,333,3,4,8,4,4,11,235,250,487,200,230,429,2259,2367,4619
UCL215023,606,646,1253,37,39,78,0,0,4,31,41,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,76,0,0,0,0,5,7,75,88,160,46,40,84,721,776,1495
UCL215024,714,795,1509,41,58,105,0,7,7,37,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,85,0,0,0,4,0,3,86,104,189,76,74,152,881,970,1855
UCL215025,403,379,776,18,22,45,0,0,0,72,71,135,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,71,143,0,0,0,0,0,0,93,98,190,38,35,72,537,505,1044
UCL215026,421,401,823,18,20,37,0,0,0,57,74,127,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,58,76,136,0,0,0,0,0,0,80,95,178,55,51,108,556,551,1106
UCL215027,414,441,853,35,42,78,9,14,23,29,27,52,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,87,6,6,13,0,0,0,86,97,186,68,56,131,574,599,1164
UCL215028,1049,1137,2185,37,28,67,3,0,3,113,89,203,0,3,3,0,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,118,100,214,4,3,9,5,0,5,163,133,293,137,160,293,1346,1423,2770
UCL215029,1356,1594,2953,81,102,176,7,8,17,117,122,235,3,3,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,141,266,5,8,12,9,4,5,221,250,471,125,155,284,1701,2002,3702
UCL215030,538,570,1105,19,28,44,0,0,0,20,24,49,4,4,4,3,4,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,34,63,0,0,6,0,0,0,53,60,113,40,39,82,628,667,1297
UCL215031,552,566,1115,24,32,56,0,0,0,33,32,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,66,0,0,3,0,0,0,60,63,124,61,62,117,665,689,1356
UCL215032,1205,1326,2530,63,57,124,8,6,17,60,76,132,0,4,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,70,85,158,0,3,6,0,0,5,136,152,290,144,135,280,1481,1617,3097
UCL215033,1224,1257,2488,24,28,55,0,0,0,81,94,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,95,175,7,6,7,0,0,0,114,130,246,23,21,44,1367,1409,2775
UCL215034,466,533,1001,40,46,84,0,0,0,26,43,76,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,47,80,5,4,9,0,0,0,73,98,170,60,69,132,601,704,1301
UCL215035,684,671,1357,15,21,31,0,3,6,61,56,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,126,0,0,0,6,0,6,85,81,168,59,51,107,824,803,1630
UCL215036,519,503,1020,16,26,37,0,0,0,24,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,42,0,0,0,0,0,0,36,48,80,54,58,112,603,610,1211
UCL215037,533,535,1068,24,23,44,0,0,0,60,67,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,71,130,0,0,0,0,0,0,88,94,181,57,42,94,668,670,1341
UCL215038,704,712,1415,25,31,48,4,7,9,67,68,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,75,145,0,0,0,0,0,0,94,106,201,105,106,214,904,930,1833
UCL215039,588,583,1166,46,29,76,0,0,0,33,38,68,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,75,0,0,4,14,13,29,92,89,183,89,78,164,776,751,1524
UCL215040,505,517,1018,42,40,76,0,0,0,24,26,51,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,54,0,0,3,0,0,0,75,66,140,84,82,164,661,660,1321
UCL215041,1409,1535,2943,91,108,200,9,4,13,75,84,155,11,3,13,3,4,8,4,0,4,0,0,4,0,3,6,0,0,5,0,0,0,104,102,203,0,0,0,6,5,9,194,216,416,145,154,301,1758,1905,3656
UCL215042,554,509,1065,11,12,17,0,0,0,33,29,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,69,0,0,0,0,0,0,47,40,85,41,40,81,643,586,1227
UCL215043,1317,1424,2742,39,42,82,0,0,0,152,147,307,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,161,154,312,0,5,4,3,0,5,203,201,403,61,74,136,1577,1700,3284
