UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL215010,232,132,49,15,1173
UCL215011,91,91,50,16,507
UCL215012,326,367,159,50,1877
UCL215013,149,59,9,0,1872
UCL215014,83,37,29,6,542
UCL215015,251,229,145,40,1460
UCL215016,257,187,74,27,1777
UCL215017,201,100,85,32,1250
UCL215018,216,221,126,50,1299
UCL215019,252,186,52,15,1314
UCL215020,119,117,74,29,573
UCL215021,116,97,42,9,593
UCL215022,350,274,134,22,2118
UCL215023,107,80,68,27,612
UCL215024,115,161,88,34,758
UCL215025,135,127,45,13,557
UCL215026,111,92,52,9,550
UCL215027,112,76,58,31,564
UCL215028,266,259,144,73,1480
UCL215029,520,435,175,80,2213
UCL215030,101,91,48,28,561
UCL215031,117,96,57,26,591
UCL215032,228,280,149,63,1443
UCL215033,142,88,17,0,1295
UCL215034,117,149,101,47,656
UCL215035,103,89,50,8,766
UCL215036,108,81,37,7,621
UCL215037,128,119,59,12,661
UCL215038,171,164,118,46,885
UCL215039,98,129,68,37,679
UCL215040,100,106,27,28,559
UCL215041,292,254,132,63,1551
UCL215042,133,83,21,4,660
UCL215043,148,109,58,37,1379
UCL215044,141,116,44,13,842
UCL215045,291,266,149,55,1748
UCL215046,141,114,35,8,833
UCL215047,97,77,31,13,943
UCL215048,124,64,33,10,841
UCL215049,161,185,74,40,799
UCL215050,347,309,110,17,1677
UCL215051,329,294,146,44,2025
UCL215052,199,231,104,24,856
UCL215053,343,310,172,64,2049
UCL215054,141,97,60,26,823
UCL215055,244,262,97,17,947
UCL215056,129,83,31,7,768
UCL215057,161,142,62,23,899
UCL215058,103,88,44,14,499
UCL215059,253,254,113,32,1317
UCL215060,221,183,114,67,1301
UCL215061,159,165,88,47,952
UCL215062,121,107,52,23,683
UCL215063,90,100,51,16,551
UCL215064,134,81,66,46,839
UCL215065,293,259,153,50,1725
UCL215066,183,166,107,33,884
UCL215067,67,70,42,34,476
UCL215068,394,532,305,81,1878
UCL215069,335,423,202,91,1934
UCL215070,198,172,83,26,1317
UCL215071,376,223,108,9,1902
UCL215072,92,88,38,25,845
UCL215073,224,153,129,71,1167
UCL215074,345,239,103,12,2393
UCL215075,107,77,41,11,594
UCL215076,215,200,97,26,1148
UCL215077,189,169,78,31,920
UCL215078,144,71,36,0,903
UCL215079,148,166,103,47,916
UCL215080,154,165,52,4,1024
UCL215081,327,237,168,56,2007
UCL215082,160,114,31,5,1111
UCL215083,179,122,71,34,891
UCL215084,76,81,36,25,561
UCL215085,89,65,13,12,558
UCL215086,219,257,138,64,1785
UCL215087,167,108,35,0,879
UCL215088,239,176,89,23,1088
UCL215089,184,168,107,56,1014
UCL215090,160,143,58,40,1041
UCL215091,230,120,34,12,856
UCL215092,381,377,222,56,2520
UCL215093,269,202,64,12,1959
UCL215094,90,50,16,4,465
UCL215095,100,62,14,3,511
UCL215096,162,141,69,21,1179
UCL215097,208,211,114,37,1546
UCL215098,110,109,31,12,645
UCL215099,130,140,75,40,758
UCL215100,127,128,83,21,629
UCL221001,35,24,8,4,317
UCL221002,90,81,27,8,439
UCL221003,56,30,20,0,277
UCL221004,99,52,18,3,560
UCL221005,52,43,21,7,307
UCL221006,59,65,8,0,325
UCL221007,75,39,14,6,296
UCL221008,76,79,39,37,394
UCL221009,58,45,10,7,305
UCL221010,63,37,7,10,283
UCL221011,68,41,13,0,329
UCL221012,60,26,7,0,238
UCL221013,63,34,18,4,308
UCL221014,133,135,46,15,592
UCL221015,87,72,18,4,303
UCL221016,50,34,8,4,429
UCL221017,76,79,29,0,402
UCL221018,102,95,48,35,476
UCL221019,102,83,32,8,450
UCL221020,88,66,38,20,372
UCL221021,63,46,11,5,370
UCL221022,41,66,19,9,281
UCL221023,64,61,46,7,288
UCL221024,140,127,58,16,558
UCL221025,59,61,35,18,319
UCL221026,77,61,30,27,355
UCL221027,59,42,46,6,341
UCL221028,133,162,111,19,575
UCL221029,69,22,19,5,345
UCL221030,78,60,24,0,246
UCL221031,53,22,13,6,316
UCL221032,47,37,30,0,282
UCL221033,42,35,13,8,198
UCL221034,45,30,5,0,360
UCL221035,60,50,30,26,320
UCL221036,91,51,17,0,424
UCL221037,43,48,25,9,285
UCL221038,73,54,19,0,484
UCL221039,71,44,26,6,378
UCL221040,67,93,50,4,366
UCL221041,55,29,5,0,314
UCL221042,49,32,14,4,241
UCL221043,146,164,66,10,520
UCL221044,161,169,78,23,658
UCL221045,88,66,21,5,425
UCL221046,54,43,11,0,647
UCL221047,60,54,11,8,353
UCL221048,37,33,26,8,260
UCL221049,62,35,10,3,361
UCL221050,64,73,28,9,356
UCL221051,65,58,23,8,322
UCL221052,65,26,0,0,237
UCL221053,86,125,51,3,398
UCL221054,76,86,24,3,357
UCL221055,47,21,14,4,319
UCL221056,45,23,11,3,210
UCL221057,61,38,13,8,362
UCL221058,43,40,11,4,274
UCL221059,66,52,28,3,401
UCL221060,72,141,77,15,373
UCL221061,110,141,42,3,437
UCL221062,92,73,47,24,406
UCL221063,46,42,10,8,229
UCL221064,44,21,4,0,343
UCL221065,74,71,40,10,315
UCL221066,62,50,12,0,348
UCL221067,29,23,5,0,216
UCL221068,45,33,9,0,256
UCL221069,124,70,23,6,548
UCL221070,95,69,49,40,497
UCL221071,63,57,26,16,367
UCL221072,52,37,0,0,254
UCL221073,41,29,4,0,254
UCL221074,121,125,70,28,542
UCL221075,126,126,52,12,500
UCL221076,141,127,51,10,543
UCL221077,94,82,41,28,387
UCL221078,41,32,14,0,262
UCL221079,76,53,30,9,279
UCL221080,65,44,25,4,277
UCL221081,51,26,24,22,253
UCL221082,77,29,8,0,544
UCL221083,143,117,57,23,643
UCL221084,74,53,25,14,410
UCL222001,40,23,11,3,157
UCL222002,59,37,19,4,250
UCL222003,29,18,4,0,163
UCL222004,3,3,0,0,21
UCL222005,10,23,4,0,97
UCL222006,57,36,14,0,224
UCL222007,32,20,5,3,123
UCL222008,43,24,11,0,219
UCL222009,39,28,18,5,172
UCL222010,35,21,7,0,176
UCL222011,23,21,0,0,165
UCL222012,55,38,14,0,221
UCL222013,31,26,17,4,148
UCL222014,31,17,0,0,195
UCL222015,30,13,5,0,179
UCL222016,27,10,5,0,97
UCL222017,20,13,12,3,88
UCL222018,13,7,0,0,84
UCL222019,45,29,10,0,188
UCL222020,30,25,12,0,137
UCL222021,30,29,14,6,167
UCL222022,37,30,13,4,148
UCL222023,39,23,8,0,238
UCL222024,16,6,0,0,217
UCL222025,8,31,14,4,118
UCL222026,37,30,5,0,181
UCL222027,29,36,7,0,168
UCL222028,29,26,9,6,165
UCL222029,15,17,5,0,70
UCL222030,27,13,14,6,135
UCL222031,12,18,4,0,101
UCL222032,37,39,6,7,215
UCL222033,44,23,9,0,218
UCL222034,29,33,7,0,165
UCL222035,44,34,9,12,137
UCL222036,19,19,9,0,110
UCL222037,18,6,6,0,106
UCL222038,22,11,9,0,109
UCL222039,36,17,12,0,170
UCL222040,60,48,17,6,246
UCL222041,21,22,4,0,127
UCL222042,23,15,8,4,81
UCL222043,41,37,13,3,191
UCL222044,37,23,10,3,129
UCL222045,31,20,5,0,153
UCL222046,30,25,19,11,162
UCL222047,22,19,5,0,90
UCL222048,24,13,10,5,85
UCL222049,34,60,22,3,179
UCL222050,63,58,20,0,285
UCL222051,56,68,27,6,274
UCL222052,24,33,9,3,198
UCL222053,39,32,9,5,199
UCL222054,28,18,9,4,135
UCL222055,38,37,20,19,193
UCL222056,17,7,3,0,244
UCL222057,38,21,7,0,177
UCL222058,0,3,0,0,92
UCL222059,22,12,4,0,98
UCL222060,19,14,6,0,88
UCL222061,22,11,0,0,112
UCL222062,56,21,22,28,249
UCL222063,71,57,30,6,266
UCL222064,25,17,3,0,132
UCL222065,21,13,0,3,86
UCL222066,27,16,6,5,109
UCL222067,24,19,11,6,133
UCL222068,34,12,8,0,116
UCL222069,49,37,13,8,183
UCL222070,30,29,15,0,120
UCL222071,24,26,13,5,186
UCL222072,40,51,20,5,197
UCL222073,20,17,6,0,126
UCL222074,17,14,5,0,95
UCL222075,29,27,11,8,232
UCL222076,35,30,13,7,202
UCL222077,40,48,20,21,220
UCL222078,21,16,7,0,110
UCL222079,60,45,11,0,249
UCL222080,43,30,23,10,187
UCL222081,38,38,13,6,149
UCL222082,30,22,10,0,146
UCL222083,13,7,6,0,91
UCL222084,49,37,17,9,216
UCL222085,65,23,8,0,188
UCL222086,36,42,9,0,220
UCL222087,34,39,14,7,200
UCL222088,44,33,14,6,133
UCL222089,21,17,11,0,101
UCL222090,32,16,7,0,130
UCL222091,40,17,10,3,176
UCL222092,24,18,0,0,165
UCL222093,43,37,24,6,196
UCL222094,29,21,13,0,141
UCL222095,16,15,5,0,89
UCL222096,33,32,3,0,211
UCL222097,30,9,5,3,159
UCL222098,49,27,17,4,205
UCL222099,12,5,0,0,90
UCL222100,27,28,15,4,125
UCL222101,25,17,6,0,143
UCL222102,51,30,11,4,211
UCL222103,16,21,9,0,116
UCL222104,18,22,7,0,111
UCL222105,23,12,4,0,95
UCL231001,46120,34103,12488,2418,217392
UCL279997,15,4,0,0,40
UCL299994,779,411,85,18,5907
