UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL212005,..,28,911,1565,1491,1512,1363,870,227,7969,..,198,716,326,253,190,103,39,8,1831,..,5,43,61,148,87,37,29,12,422,4785,..,..,..,..,..,..,..,..,4785,..,998,..,..,..,..,..,..,..,998,..,1009,462,185,115,44,6,0,0,1828,..,142,141,50,50,51,44,17,13,506,..,77,128,49,39,20,13,0,0,325,..,141,261,149,116,79,84,19,4,864,..,82,300,274,408,475,381,269,115,2309,57,69,101,56,52,26,25,21,7,413,4840,2752,3058,2712,2678,2488,2061,1263,381,22238,..,94,1225,1664,1491,1456,1315,683,97,8021,..,286,740,310,255,186,82,21,5,1886,..,69,398,532,530,261,116,63,56,2027,4421,..,..,..,..,..,..,..,..,4421,..,1050,..,..,..,..,..,..,..,1050,..,665,268,71,48,40,12,0,0,1103,..,118,58,24,52,97,120,60,22,548,..,73,82,33,22,6,0,5,0,216
UCL212006,..,13,739,1422,1511,1457,1076,471,111,6801,..,104,747,412,294,175,67,22,4,1820,..,5,21,74,136,84,28,21,7,370,3571,..,..,..,..,..,..,..,..,3571,..,975,..,..,..,..,..,..,..,975,..,988,562,165,91,31,3,0,0,1840,..,63,74,23,35,41,35,20,12,305,..,43,41,32,22,21,7,0,0,162,..,39,117,36,42,56,50,14,4,356,..,36,199,184,235,271,205,117,56,1309,34,39,45,37,25,20,16,3,0,216,3606,2310,2543,2379,2390,2150,1481,668,201,17726,..,26,955,1537,1533,1437,971,334,55,6848,..,166,779,393,272,171,59,14,0,1861,..,31,187,339,439,243,119,61,36,1457,3376,..,..,..,..,..,..,..,..,3376,..,1059,..,..,..,..,..,..,..,1059,..,600,394,76,47,31,8,0,0,1156,..,58,48,10,27,80,86,57,27,395,..,64,31,12,8,7,0,0,0,125
UCL212007,..,5,277,1048,1012,754,765,345,76,4281,..,39,299,311,229,121,50,11,3,1066,..,0,3,39,56,22,6,0,6,131,2494,..,..,..,..,..,..,..,..,2494,..,550,..,..,..,..,..,..,..,550,..,325,142,35,15,6,0,0,0,530,..,20,22,10,0,10,13,5,4,86,..,26,30,10,10,10,4,0,0,80,..,85,143,52,27,13,9,4,0,331,..,21,71,104,109,130,124,52,24,638,26,30,25,20,20,30,15,12,3,188,2517,1087,1027,1621,1487,1102,992,435,111,10378,..,4,368,1172,1043,763,699,252,45,4346,..,51,350,344,216,99,33,6,0,1104,..,0,23,155,192,90,28,20,11,517,2307,..,..,..,..,..,..,..,..,2307,..,584,..,..,..,..,..,..,..,584,..,188,96,25,13,13,4,0,0,327,..,19,24,6,4,18,20,12,10,114,..,20,41,9,4,0,0,0,0,79
UCL212008,..,9,451,843,795,833,823,466,101,4325,..,122,553,249,176,141,60,21,4,1326,..,5,28,59,79,49,22,3,3,248,2449,..,..,..,..,..,..,..,..,2449,..,575,..,..,..,..,..,..,..,575,..,551,231,83,69,25,3,0,0,954,..,53,44,21,20,26,15,3,4,187,..,39,30,14,12,12,5,0,0,113,..,70,115,37,38,38,31,16,3,351,..,50,224,204,208,276,246,149,62,1416,39,34,28,27,20,23,12,8,3,199,2490,1497,1700,1542,1415,1417,1224,673,181,12143,..,21,594,931,820,892,776,351,33,4428,..,194,563,253,159,127,55,12,0,1365,..,47,240,281,293,151,58,43,31,1153,2318,..,..,..,..,..,..,..,..,2318,..,536,..,..,..,..,..,..,..,536,..,345,114,43,25,21,9,0,0,561,..,49,40,4,20,40,28,23,12,229,..,31,28,11,4,6,3,0,0,75
UCL212009,..,8,487,881,1035,1132,1093,625,172,5432,..,114,518,302,224,159,95,29,8,1439,..,0,23,59,77,62,26,14,6,266,2727,..,..,..,..,..,..,..,..,2727,..,589,..,..,..,..,..,..,..,589,..,634,321,93,83,35,9,0,0,1172,..,70,52,32,29,30,19,6,15,257,..,45,99,26,14,3,3,3,0,194,..,127,226,69,46,33,46,13,3,564,..,66,195,216,245,307,274,194,88,1579,60,29,53,30,31,22,23,13,0,257,2782,1687,1970,1711,1775,1791,1584,887,292,14478,..,20,615,976,1099,1158,1024,500,82,5475,..,161,532,293,219,167,63,13,6,1458,..,27,201,343,358,185,90,51,43,1297,2486,..,..,..,..,..,..,..,..,2486,..,690,..,..,..,..,..,..,..,690,..,453,176,46,57,24,0,0,0,759,..,66,34,9,23,47,53,29,17,280,..,48,44,13,9,0,0,0,0,113
UCL213001,..,3,169,261,312,374,497,376,101,2094,..,71,227,102,89,65,52,15,3,622,..,0,12,21,44,25,13,7,9,121,1092,..,..,..,..,..,..,..,..,1092,..,217,..,..,..,..,..,..,..,217,..,247,118,55,46,25,0,0,0,492,..,29,21,14,17,12,11,0,0,118,..,30,17,17,3,5,4,0,0,80,..,48,68,29,21,24,16,12,0,212,..,22,83,69,96,145,168,107,54,736,16,17,18,9,5,8,12,6,3,100,1105,691,736,570,635,691,775,525,169,5887,..,12,229,296,337,421,495,298,48,2138,..,111,222,107,84,76,38,9,0,645,..,34,93,153,162,74,36,33,17,605,1049,..,..,..,..,..,..,..,..,1049,..,207,..,..,..,..,..,..,..,207,..,161,85,27,23,10,0,0,0,306,..,19,9,6,17,33,25,22,3,125,..,31,14,6,7,3,0,0,0,60
UCL213002,..,6,72,222,247,311,366,239,57,1527,..,18,108,128,131,98,71,26,10,582,..,4,7,26,36,27,14,3,3,123,737,..,..,..,..,..,..,..,..,737,..,168,..,..,..,..,..,..,..,168,..,130,70,27,24,7,4,0,0,268,..,20,8,7,9,10,15,4,3,66,..,4,14,4,10,6,3,0,0,45,..,18,39,14,21,19,23,9,0,149,..,14,29,45,73,143,154,93,44,593,10,6,16,12,5,15,11,4,0,74,746,381,361,489,562,634,669,375,115,4332,..,4,103,229,284,322,352,193,28,1523,..,23,139,169,123,70,70,14,4,613,..,9,32,86,146,57,29,18,16,396,652,..,..,..,..,..,..,..,..,652,..,174,..,..,..,..,..,..,..,174,..,76,37,19,17,14,7,0,0,154,..,9,4,4,6,19,23,14,7,82,..,12,13,11,4,4,4,4,0,49
UCL213003,..,4,158,332,324,349,388,270,75,1883,..,66,197,95,88,65,32,9,0,557,..,0,5,27,26,23,8,4,3,91,1015,..,..,..,..,..,..,..,..,1015,..,215,..,..,..,..,..,..,..,215,..,244,111,44,34,9,5,0,0,452,..,34,16,10,5,14,12,6,7,105,..,21,52,15,12,6,0,0,0,109,..,47,129,41,35,32,19,4,0,313,..,36,98,86,113,153,136,97,26,744,11,0,18,16,9,10,6,7,0,79,1030,670,786,661,652,663,601,399,112,5570,..,3,224,352,331,358,404,203,31,1902,..,92,204,88,92,61,30,0,0,569,..,19,90,96,131,54,24,22,12,442,937,..,..,..,..,..,..,..,..,937,..,245,..,..,..,..,..,..,..,245,..,156,61,14,17,8,0,0,0,251,..,19,26,10,11,22,22,16,8,128,..,15,20,7,0,5,0,0,0,46
UCL213004,..,7,334,450,422,456,528,326,67,2591,..,73,281,130,94,68,44,17,0,709,..,0,14,27,31,14,14,8,0,116,1416,..,..,..,..,..,..,..,..,1416,..,273,..,..,..,..,..,..,..,273,..,288,115,47,33,10,6,0,0,494,..,26,27,7,11,23,11,5,4,112,..,19,11,8,8,6,3,0,0,58,..,24,23,12,9,25,27,5,0,132,..,13,57,64,89,113,124,84,38,582,24,13,26,7,10,10,6,8,0,106,1433,743,900,755,700,728,762,457,111,6592,..,15,432,457,468,504,482,239,21,2621,..,91,309,125,102,60,41,9,0,723,..,27,95,150,147,83,18,30,16,564,1404,..,..,..,..,..,..,..,..,1404,..,298,..,..,..,..,..,..,..,298,..,192,83,16,20,21,0,0,0,340,..,29,11,0,14,29,32,14,8,135,..,23,13,3,3,3,0,0,0,45
UCL213005,..,3,220,491,498,612,767,436,95,3118,..,49,260,166,134,95,51,18,6,776,..,0,10,42,42,30,9,11,3,147,1433,..,..,..,..,..,..,..,..,1433,..,330,..,..,..,..,..,..,..,330,..,308,184,58,41,9,7,0,0,598,..,28,17,16,22,12,28,3,6,126,..,21,16,4,6,8,8,0,0,65,..,23,43,7,20,23,27,10,0,150,..,12,60,64,78,113,157,89,33,590,18,21,22,16,13,4,13,6,0,110,1447,794,821,851,855,893,1068,565,138,7439,..,13,296,542,518,687,722,324,54,3146,..,68,284,167,125,101,31,21,0,790,..,12,69,163,164,104,36,19,18,588,1294,..,..,..,..,..,..,..,..,1294,..,365,..,..,..,..,..,..,..,365,..,195,81,25,28,17,0,0,0,347,..,13,17,5,5,31,39,21,15,146,..,23,19,3,6,0,7,0,0,53
