UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL215071,33,45,79,145,127,271,23,31,55,10,10,20,176,172,343,67,79,149,65,52,113,21,27,48,146,157,309,0,3,3,0,0,6,17,4,22,11,19,30,0,0,0,31,30,62,22,39,62,0,11,11,3,3,6,11,28,34,0,0,0,38,81,125,75,114,182,0,5,9,7,16,22,0,0,0,8,15,21,63,64,125,499,567,1058
UCL215072,27,25,49,34,49,91,30,41,72,0,4,5,67,98,161,50,40,92,3,17,25,3,0,10,62,62,126,0,3,3,4,6,10,5,0,6,4,4,8,0,0,4,13,15,27,0,3,4,4,5,13,0,4,4,3,5,9,0,0,0,11,15,22,25,30,55,0,4,3,5,4,9,0,0,0,3,8,16,183,167,349,371,385,759
UCL215073,21,16,43,59,54,114,22,38,63,0,0,5,88,97,182,55,66,121,12,8,19,4,6,8,69,80,147,0,0,0,0,4,11,19,4,26,9,11,20,0,0,0,31,28,55,5,6,15,0,3,5,3,0,3,4,3,11,0,0,0,12,18,27,41,42,85,0,0,0,5,3,9,0,0,0,5,4,7,107,93,202,330,330,660
UCL215074,78,63,141,174,170,347,37,43,84,3,14,19,221,225,448,96,99,192,52,55,109,24,27,49,171,181,350,9,8,14,4,11,10,26,8,37,21,20,43,0,0,0,55,50,101,23,28,52,6,16,20,4,7,12,13,39,52,0,0,0,49,89,139,107,139,244,0,9,9,9,12,18,0,0,0,10,16,33,88,71,163,676,696,1371
UCL215075,12,11,23,42,32,74,0,0,0,4,0,4,41,39,79,20,24,47,10,9,11,0,4,3,31,34,65,0,0,0,0,3,3,8,6,8,4,8,12,0,0,0,14,18,29,5,0,9,0,0,5,0,3,3,4,10,9,0,0,0,5,17,23,16,32,55,0,0,4,0,0,3,0,0,0,3,0,5,66,59,121,169,174,351
UCL215076,29,13,38,69,62,124,24,28,56,9,4,6,94,93,192,40,63,109,9,18,29,7,13,23,62,86,154,0,3,3,0,3,3,6,9,21,13,16,32,0,0,0,25,32,54,3,6,11,3,8,9,0,3,3,4,19,20,0,0,0,10,30,40,39,61,97,0,0,0,0,4,11,0,0,0,0,7,15,48,58,106,273,322,599
UCL215077,11,18,25,30,35,65,4,0,0,24,11,36,54,50,105,17,22,41,0,0,0,20,18,44,36,45,80,0,3,6,3,0,6,12,0,11,13,7,18,0,0,0,24,16,43,3,6,7,0,4,4,0,0,0,3,9,11,0,0,0,3,19,23,27,31,60,0,0,6,3,4,4,0,0,0,6,5,13,80,78,157,220,223,446
UCL215078,27,23,54,89,66,158,11,12,22,9,9,19,111,93,199,50,45,96,11,14,20,11,10,22,72,69,140,3,6,6,3,8,9,12,5,23,6,12,21,0,0,0,29,28,56,7,6,18,0,5,10,0,0,6,0,15,15,0,0,0,9,33,42,39,62,98,0,0,0,4,10,15,0,0,0,11,12,20,41,25,62,293,279,569
UCL215079,20,15,29,27,24,54,27,35,62,7,5,5,62,66,125,38,41,81,0,0,3,10,4,12,49,51,91,0,3,8,0,4,4,11,8,14,3,5,15,0,0,0,14,22,33,6,3,10,0,0,0,5,5,5,0,11,8,0,0,0,10,12,26,23,37,60,0,0,0,0,5,5,0,0,0,0,4,11,78,96,179,228,271,499
UCL215080,30,26,52,55,55,103,38,32,69,10,5,25,105,93,196,38,36,77,26,21,42,5,11,13,66,61,135,6,9,8,0,7,7,3,9,14,5,13,23,0,0,0,14,37,52,3,12,14,5,9,9,0,3,3,4,15,24,0,0,0,12,38,50,28,76,103,5,3,5,4,8,15,0,0,0,8,9,19,46,44,90,285,308,593
UCL215081,54,29,79,104,73,174,70,101,173,3,4,9,185,172,354,35,26,60,85,65,148,12,8,21,132,105,230,0,4,5,0,4,8,18,7,27,11,30,41,0,0,0,34,51,79,4,19,22,0,12,15,0,7,7,18,26,46,0,0,0,29,64,89,61,112,171,10,5,11,5,5,12,0,0,0,9,11,25,158,171,323,596,593,1190
UCL215082,30,28,57,113,103,211,12,11,20,6,0,10,127,119,238,60,39,104,17,28,39,19,15,36,97,81,178,4,3,10,0,0,0,15,3,21,4,4,10,0,0,0,25,19,40,5,19,25,0,3,3,0,5,6,8,15,19,0,0,0,13,38,58,37,58,100,3,0,4,5,3,3,0,0,0,6,3,10,58,51,108,351,336,695
UCL215083,17,20,35,43,31,76,29,32,60,0,0,0,74,66,135,41,34,77,17,25,44,0,0,0,64,58,119,0,0,0,0,5,5,13,6,19,0,12,12,0,0,0,14,28,40,3,8,7,0,8,4,0,0,4,4,3,8,0,0,0,6,17,25,22,42,62,0,0,4,5,7,11,0,0,0,5,5,12,57,71,133,226,272,502
UCL215084,9,13,25,36,41,85,12,15,30,0,0,0,54,61,112,34,22,57,20,11,34,0,3,5,55,34,88,5,0,4,0,0,0,10,8,16,6,14,21,0,0,0,18,24,47,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,3,5,11,22,29,55,0,0,0,0,6,6,0,0,0,0,6,6,48,45,92,183,198,380
UCL215085,18,10,29,69,49,116,3,3,6,0,7,5,75,56,134,37,29,66,6,9,15,6,0,9,54,39,89,5,0,3,0,0,0,4,0,7,0,4,0,0,0,0,9,6,15,3,10,15,0,3,5,0,3,3,0,0,0,0,0,0,5,21,24,15,28,41,0,0,0,0,10,10,0,0,0,0,10,10,52,25,77,219,167,380
UCL215086,51,39,97,150,144,291,31,28,61,4,7,12,187,178,364,103,121,220,14,16,33,12,9,23,128,143,273,3,8,18,4,11,13,12,9,16,13,23,33,0,0,0,34,48,85,10,29,46,7,7,16,6,10,11,5,23,28,0,0,0,36,69,105,66,119,187,5,4,10,4,5,15,0,0,0,9,10,24,81,119,197,529,613,1143
UCL215087,23,17,43,72,65,138,13,11,19,4,3,10,92,79,171,49,39,86,7,8,19,0,3,0,54,47,107,0,3,3,0,4,9,14,4,15,0,7,10,0,0,3,16,22,40,6,9,17,0,4,3,0,0,0,3,7,13,0,0,0,15,21,33,30,42,74,0,3,4,0,6,5,0,0,0,0,5,10,67,69,140,275,263,542
UCL215088,13,4,20,50,43,88,0,3,9,13,12,25,66,54,119,35,47,81,4,0,4,17,13,37,57,60,120,4,0,3,0,0,0,3,0,3,7,14,23,0,0,0,17,16,34,3,8,11,0,3,3,0,0,0,3,5,19,0,0,0,14,19,31,31,35,69,0,0,0,6,6,9,0,0,0,6,6,12,124,134,261,296,303,598
UCL215089,18,12,28,57,48,99,22,22,42,0,0,0,79,61,139,67,52,115,0,0,0,4,8,10,69,61,131,0,0,3,0,0,3,5,3,8,3,8,10,0,0,0,16,10,28,0,5,3,3,5,7,0,3,3,3,12,12,0,0,0,7,23,34,23,36,58,5,3,5,5,12,17,0,0,0,7,10,23,101,119,218,298,302,601
UCL215090,25,18,42,57,53,112,0,0,4,5,0,12,72,57,127,33,30,64,0,4,8,5,0,5,44,37,83,0,0,9,0,7,3,7,5,13,6,17,26,0,0,0,21,25,49,3,3,5,4,10,15,0,4,4,7,15,14,0,0,0,8,28,40,29,59,89,0,4,4,4,10,12,0,0,0,4,17,17,96,108,195,266,292,557
UCL215091,7,11,25,55,46,96,0,9,8,12,20,26,63,69,130,15,14,37,10,15,26,40,44,84,71,76,144,0,3,3,0,0,4,14,6,20,3,5,5,0,0,0,23,13,39,24,30,51,0,7,13,5,5,8,3,3,5,0,0,0,33,41,71,55,58,114,0,0,0,7,10,10,0,0,0,7,7,11,17,16,33,219,246,463
UCL215092,78,54,131,141,143,286,70,63,135,20,16,36,231,224,456,44,57,103,53,51,106,64,59,121,161,173,331,3,3,10,4,7,12,18,4,24,3,24,32,0,0,0,29,43,75,13,39,55,8,10,21,0,0,4,18,56,74,0,0,0,45,110,158,80,158,235,3,4,7,7,12,25,0,0,0,17,18,34,81,85,161,631,711,1340
UCL215093,76,56,133,181,176,358,3,4,12,3,11,12,194,189,387,113,111,218,6,15,20,14,15,25,130,137,270,0,15,16,4,12,19,29,16,41,20,23,43,0,0,0,57,58,114,15,17,37,3,10,17,4,0,8,3,28,29,0,0,0,29,61,91,85,123,206,0,8,9,8,11,23,0,0,0,10,19,28,53,44,99,546,569,1117
UCL215094,12,9,23,34,37,71,15,14,22,18,10,26,64,54,123,16,9,24,16,10,24,13,9,23,40,31,76,0,0,4,0,0,0,3,4,3,4,10,12,0,0,0,8,16,21,0,9,8,0,6,7,0,0,0,4,8,10,0,0,0,8,23,26,15,37,47,4,0,3,0,0,5,0,0,0,3,3,4,24,32,64,155,172,327
UCL215095,15,11,22,44,32,79,0,4,4,10,0,12,49,39,95,18,34,45,0,6,5,3,0,3,17,37,58,0,0,0,0,0,0,9,0,9,4,6,15,0,0,0,10,12,24,4,4,6,0,0,4,0,3,3,0,3,3,0,0,0,4,13,18,19,26,42,0,3,3,0,4,9,0,0,0,0,5,14,40,34,71,143,151,296
UCL215096,38,28,71,79,73,156,33,19,53,8,4,11,115,91,211,41,42,85,15,29,43,12,12,28,68,83,150,0,5,6,0,0,0,24,4,22,10,16,23,0,0,0,35,26,57,11,14,25,0,8,8,3,0,3,3,13,22,0,0,0,21,35,57,63,59,118,0,3,4,9,8,10,0,0,0,6,11,17,43,40,86,333,323,657
UCL215097,22,31,58,103,96,199,30,22,48,12,25,32,143,141,282,82,77,151,15,11,27,23,10,35,115,99,214,0,0,6,0,3,8,12,4,17,8,18,18,0,0,0,23,28,46,8,9,20,0,12,7,0,5,9,3,13,16,3,0,3,19,38,58,39,72,110,0,3,3,5,19,26,0,0,0,5,17,25,115,131,242,454,485,936
UCL215098,19,13,32,58,52,109,0,0,0,0,5,5,63,57,118,34,24,54,11,6,19,5,10,13,47,31,81,0,0,0,0,0,0,7,7,13,8,8,9,0,0,0,16,14,31,0,3,9,0,0,4,0,3,3,0,13,19,0,0,0,3,26,34,20,36,63,4,0,0,0,0,3,0,0,0,5,5,4,28,19,47,177,169,342
UCL215099,7,5,20,37,37,75,12,15,33,4,0,4,48,59,106,34,42,77,5,0,3,5,0,5,40,41,86,4,0,7,6,3,9,11,3,9,3,12,13,0,0,0,14,22,37,5,4,10,0,3,3,0,0,0,0,4,4,0,0,0,5,12,15,18,27,49,0,0,3,0,4,5,0,0,0,3,9,8,73,88,160,197,230,427
UCL215100,8,7,18,28,30,58,8,17,26,0,0,0,34,39,79,30,30,57,4,4,9,0,0,0,33,38,70,0,0,3,0,0,4,8,0,6,3,0,5,0,0,0,12,7,18,0,5,5,0,3,4,0,0,4,0,11,13,0,0,0,9,13,19,13,22,40,0,0,0,0,8,6,0,0,0,0,8,8,50,54,105,148,174,324
UCL221001,5,14,18,28,23,56,7,5,11,0,0,0,33,31,65,27,12,40,0,8,12,0,0,0,27,27,53,0,0,0,0,3,3,9,3,6,3,3,12,0,0,0,12,11,25,0,4,4,0,0,0,0,0,0,0,9,9,0,0,0,0,10,10,12,23,34,0,4,4,0,3,3,0,0,0,0,0,3,27,15,42,105,110,214
UCL221002,6,6,19,34,22,59,0,0,3,0,0,0,37,23,61,11,14,27,0,6,11,3,5,9,21,21,45,0,4,4,0,0,0,0,0,0,5,3,12,0,0,0,8,11,19,6,0,3,0,0,6,0,0,0,0,5,7,0,0,0,7,9,15,15,20,32,0,4,4,4,3,3,0,0,0,4,4,11,11,15,30,91,98,189
UCL221003,5,9,12,19,15,36,3,5,3,0,0,0,17,18,39,12,9,24,3,0,3,3,4,11,17,17,32,0,0,0,0,0,0,0,0,4,3,4,9,0,0,0,4,4,15,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,3,8,7,12,19,0,0,0,0,0,0,0,0,0,0,0,0,29,24,58,88,81,161
UCL221004,11,9,27,23,25,49,26,19,40,30,22,52,75,75,148,11,10,22,18,20,38,30,29,63,68,59,126,0,6,8,0,0,0,4,5,9,3,10,9,0,0,0,14,13,28,13,20,33,0,0,0,0,4,4,4,8,9,0,0,0,21,31,47,30,39,76,0,0,0,9,0,9,0,0,0,9,0,9,17,18,31,208,202,413
UCL221005,6,7,16,20,23,45,0,0,0,0,0,0,28,23,46,9,31,33,0,0,0,0,0,0,11,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,3,8,0,0,0,0,0,0,0,7,7,0,0,0,0,10,14,4,13,18,0,0,0,0,0,3,0,0,0,0,4,4,25,24,52,77,102,173
UCL221006,10,12,23,29,15,46,0,0,0,0,0,0,29,15,46,5,0,6,20,14,36,5,0,0,24,18,43,4,0,4,0,0,0,4,0,4,4,5,11,0,0,0,10,3,15,0,4,4,0,6,6,0,0,0,0,0,4,0,0,0,0,9,15,15,14,27,0,0,0,3,3,5,0,0,0,3,3,5,19,13,26,99,77,173
UCL221007,8,3,9,22,21,42,0,0,0,4,0,0,29,21,45,11,21,33,0,0,0,0,0,0,11,22,34,0,0,0,0,0,3,5,5,3,0,4,7,0,0,0,5,10,11,0,3,3,0,3,5,0,0,0,0,5,5,0,0,0,0,17,18,6,27,31,0,0,0,0,0,0,0,0,0,3,0,3,19,25,46,73,98,166
UCL221008,4,11,13,22,31,56,0,0,0,3,0,3,22,32,59,16,17,33,0,0,0,0,0,0,16,17,33,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,4,11,0,0,0,0,0,3,0,4,4,0,7,7,0,0,0,6,7,8,3,10,19,0,0,0,0,3,3,0,0,0,0,3,3,68,80,148,120,152,273
UCL221009,3,8,7,25,29,46,3,0,3,0,0,0,29,26,58,20,20,38,0,3,8,0,0,0,29,22,46,0,0,0,0,0,4,0,0,6,4,3,9,0,0,0,3,10,14,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,7,14,23,0,0,0,0,0,0,0,0,0,0,0,0,30,25,56,95,95,187
UCL221010,7,3,13,25,16,46,0,0,3,0,0,0,31,21,45,14,7,21,4,5,8,0,0,0,16,11,25,0,0,0,0,0,0,3,0,4,4,4,6,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,8,9,7,13,17,0,6,6,0,0,0,0,0,0,0,6,0,20,24,45,77,76,150
UCL221011,8,11,17,34,27,58,4,3,10,0,0,0,37,26,60,16,16,36,20,14,30,0,0,0,34,27,65,0,0,0,0,3,5,4,6,9,0,8,9,0,0,0,11,11,22,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,4,4,11,15,14,31,0,0,0,0,4,4,0,0,0,0,4,4,13,9,22,110,85,196
UCL221012,8,0,8,21,16,43,0,6,3,0,0,4,24,28,46,19,14,31,3,3,10,0,0,5,24,21,45,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,8,0,5,5,0,5,5,0,0,0,0,6,6,0,0,0,0,6,6,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,25,23,48,81,88,169
UCL221013,9,13,15,26,14,38,0,0,0,0,4,0,25,19,43,17,20,34,0,0,0,6,0,0,19,17,33,0,3,3,0,0,0,3,0,3,4,0,5,0,0,0,11,0,12,0,4,0,0,4,4,0,0,0,3,0,4,0,0,0,3,8,13,15,11,24,0,0,0,3,0,6,0,0,0,3,0,6,25,14,44,89,75,163
UCL221014,7,10,17,21,14,33,5,3,8,0,4,3,28,22,51,12,18,37,0,3,11,6,0,3,22,28,49,0,0,0,0,6,6,3,3,4,6,6,8,0,0,0,10,16,22,3,6,10,0,3,3,0,0,0,5,6,8,0,0,0,7,20,22,18,33,46,0,0,0,0,0,3,0,0,0,0,0,3,22,17,38,98,109,207
UCL221015,0,3,8,11,13,21,0,0,6,0,3,6,14,13,27,6,10,19,0,4,4,0,0,0,12,16,26,0,0,0,0,0,0,4,3,3,3,3,3,0,0,0,3,7,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,6,8,17,0,0,0,0,0,0,0,0,0,0,0,0,15,17,35,50,63,110
UCL221016,24,18,45,27,46,76,26,15,41,4,9,14,63,65,126,20,32,56,12,22,34,4,10,13,38,61,102,0,0,0,0,4,4,3,4,10,0,3,3,0,0,0,10,15,14,0,9,12,6,0,6,0,0,0,4,5,7,0,0,0,3,15,18,11,25,35,3,3,7,0,4,5,0,0,0,8,4,7,11,22,35,157,199,354
UCL221017,11,8,12,41,41,83,7,4,6,7,6,4,48,45,92,15,17,33,3,0,5,11,0,11,31,17,45,0,0,0,0,0,0,7,0,7,0,3,6,0,0,0,7,9,19,0,3,3,0,0,4,0,5,5,0,8,10,0,0,0,4,17,16,13,22,36,6,0,3,0,0,0,0,0,0,6,3,3,27,25,54,126,117,242
UCL221018,3,8,9,20,18,35,5,3,10,0,0,0,28,15,48,19,22,45,0,0,0,0,0,0,25,22,47,0,0,0,0,3,6,0,0,0,0,4,4,0,0,0,0,12,13,0,4,7,3,0,0,0,0,0,0,7,7,0,0,0,6,9,17,5,20,26,0,0,0,0,0,0,0,0,0,0,0,0,66,49,121,127,117,244
UCL221019,12,4,21,27,19,49,5,0,5,0,0,3,32,23,52,16,15,26,0,0,0,0,4,8,15,18,36,0,0,0,6,3,6,0,0,5,0,7,6,0,0,0,4,12,19,0,0,0,0,4,5,0,0,0,0,9,7,0,0,0,5,13,19,5,21,33,0,0,0,0,4,4,0,0,0,0,4,4,28,22,47,103,99,196
UCL221020,4,3,8,14,21,35,7,9,17,0,0,3,21,31,57,16,5,21,0,0,5,0,0,0,16,6,21,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,7,12,0,0,0,3,4,6,0,0,0,0,5,4,0,0,0,0,3,7,6,14,20,0,0,0,0,0,0,0,0,0,5,0,4,32,32,64,89,89,168
UCL221021,10,10,18,23,21,46,3,6,8,0,0,0,28,34,55,16,14,29,0,0,0,0,4,5,17,13,33,0,0,0,0,5,5,3,5,3,3,4,9,0,0,0,4,9,17,0,0,4,0,0,3,0,0,0,0,8,8,0,0,0,4,8,12,10,16,31,0,0,0,3,0,3,0,0,0,3,0,3,19,26,45,82,105,188
UCL221022,8,4,9,17,14,27,0,0,0,0,0,0,20,14,32,0,4,5,10,6,19,8,12,20,22,20,40,0,0,0,0,0,4,0,0,5,4,0,3,0,0,0,3,6,8,0,0,0,0,0,3,0,0,0,0,5,10,0,0,0,0,8,14,6,16,17,0,0,0,0,0,0,0,0,0,0,0,0,12,18,36,65,74,138
UCL221023,0,9,9,19,11,35,0,0,0,3,3,9,25,14,35,7,10,17,5,5,5,4,0,4,17,11,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,12,0,0,0,0,0,3,0,0,0,0,0,3,23,16,41,71,60,133
UCL221024,7,3,6,21,15,37,4,5,6,3,3,4,28,22,48,4,9,12,12,7,18,0,0,0,23,18,38,0,0,0,0,4,4,9,0,8,0,6,9,0,0,0,8,15,23,0,0,0,0,0,4,0,3,3,3,3,7,0,0,0,5,9,16,16,27,38,0,0,0,5,4,9,0,0,0,5,4,9,18,16,40,91,85,177
UCL221025,3,7,11,12,16,22,7,7,13,0,0,0,17,19,38,6,6,16,0,0,0,0,0,0,6,7,12,0,0,0,0,0,0,6,0,6,3,3,4,0,0,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,13,0,0,0,0,0,0,0,0,0,0,0,3,32,38,68,67,83,149
UCL221026,8,8,11,14,11,23,0,4,6,0,0,0,15,13,31,13,11,26,0,0,0,0,0,0,13,11,26,0,0,4,0,0,3,0,0,0,0,3,5,0,0,0,6,10,12,0,3,3,4,0,6,0,0,0,3,3,4,0,0,0,5,10,17,8,22,31,0,0,0,3,5,3,0,0,0,3,5,3,25,22,47,81,83,155
UCL221027,5,9,14,12,9,23,19,14,32,0,0,0,38,24,55,10,8,20,0,0,0,0,0,0,13,12,20,0,0,0,0,0,0,0,0,4,6,5,9,0,0,0,8,11,17,0,0,4,0,7,5,0,3,3,0,0,0,0,0,0,4,5,12,12,18,26,0,0,0,0,0,0,0,0,0,0,0,0,46,42,86,106,98,203
UCL221028,5,5,10,7,8,16,0,0,0,8,8,14,16,14,29,3,13,15,0,4,4,9,3,15,19,17,33,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,9,0,3,12,0,0,0,0,0,0,0,0,3,0,0,0,7,4,10,12,13,17,0,0,0,0,3,3,0,0,0,0,3,6,43,39,80,89,89,174
UCL221029,4,11,18,29,24,52,6,0,6,0,3,3,33,29,59,16,24,37,13,3,20,0,3,11,37,31,65,0,0,0,0,0,0,3,4,10,0,9,8,0,0,0,9,9,13,0,0,3,4,0,4,0,0,0,0,3,3,0,0,0,4,4,7,16,14,28,0,0,0,0,0,0,0,0,0,0,3,3,14,7,22,97,96,197
UCL221030,0,0,0,9,5,12,0,0,0,0,0,0,9,5,12,3,5,12,0,0,0,0,0,0,4,5,14,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,15,17,35,36,36,70
UCL221031,3,16,19,17,26,41,4,7,10,0,5,6,21,42,61,14,12,33,5,3,8,0,0,3,19,19,39,0,0,3,0,0,3,6,0,3,4,4,8,0,0,0,6,8,15,4,0,6,0,0,0,0,0,0,0,0,7,0,0,0,6,3,13,17,16,26,0,0,0,0,7,3,0,0,0,0,7,3,16,12,31,84,108,192
UCL221032,5,5,11,29,19,48,5,4,4,0,0,0,33,23,55,11,17,22,0,6,10,0,0,0,16,19,36,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,4,8,9,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,3,3,10,11,14,21,0,0,0,0,0,0,0,0,0,0,0,0,22,24,39,83,81,161
UCL221033,0,4,9,3,3,10,6,0,4,0,0,0,6,5,18,7,11,15,0,0,0,0,0,0,7,11,15,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,10,5,0,16,16,0,0,0,5,0,5,0,0,0,5,0,5,13,14,28,38,48,85
UCL221034,7,16,21,46,34,83,15,19,33,18,8,23,80,55,129,15,24,37,13,13,28,19,11,36,49,49,94,3,3,5,0,0,0,6,4,6,0,4,12,0,0,0,8,11,20,13,10,21,0,3,3,0,0,5,0,0,4,0,0,0,12,17,36,20,32,51,4,0,4,3,3,4,0,0,0,6,6,10,5,10,13,164,158,320
UCL221035,4,7,14,18,17,28,7,8,16,0,0,0,27,24,42,13,21,33,4,5,9,0,0,0,13,23,38,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,6,6,11,0,3,0,0,5,3,0,0,0,0,4,4,0,0,0,0,10,12,11,15,22,0,0,0,0,4,5,0,0,0,0,4,5,42,38,78,92,107,203
UCL221036,11,11,19,30,23,55,0,3,5,0,5,5,36,31,62,19,14,29,3,5,8,12,8,21,38,25,61,0,0,0,0,0,0,5,3,6,6,0,10,0,0,0,12,7,20,7,12,20,0,4,4,0,0,0,0,7,7,0,0,0,6,18,23,18,28,42,0,0,0,0,0,0,0,0,0,0,0,0,19,27,45,119,121,233
UCL221037,0,8,8,13,21,32,0,0,0,0,0,0,13,21,32,14,20,32,0,0,0,0,0,0,14,20,32,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,12,9,12,20,0,3,3,0,0,0,0,0,0,0,3,0,11,18,27,55,74,127
UCL221038,11,6,23,35,37,74,0,0,5,0,3,3,38,40,84,19,23,40,6,9,12,0,3,4,25,33,59,0,4,7,0,4,5,7,0,7,0,6,9,0,0,0,11,13,28,4,3,3,0,0,3,0,0,0,0,9,3,0,0,0,4,12,11,13,22,36,0,0,0,0,4,5,0,0,0,0,9,3,44,34,87,142,146,295
UCL221039,4,9,12,21,15,29,12,7,16,0,0,0,29,20,47,16,13,26,3,9,14,4,0,4,19,26,41,0,3,0,0,0,0,0,6,4,3,9,12,0,0,0,10,10,15,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,11,13,7,25,29,0,0,0,0,7,3,0,0,0,0,5,7,44,48,87,101,121,225
UCL221040,4,3,8,9,10,26,10,6,18,0,0,0,22,14,39,12,14,22,15,14,34,0,0,0,29,30,55,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,6,8,12,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,5,6,12,8,15,21,0,0,0,0,0,0,0,0,0,0,0,0,8,10,19,70,70,139
UCL221041,9,0,10,29,28,54,7,7,11,0,0,0,31,36,67,16,16,35,4,7,12,0,0,3,23,29,46,0,0,0,0,0,0,3,7,8,4,4,6,0,0,0,15,11,21,0,4,0,0,0,4,0,0,0,0,6,6,0,0,0,0,10,13,12,20,35,0,0,0,0,0,0,0,0,0,0,0,5,12,22,35,93,100,198
