UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL213017,221,205,427,495,441,935,142,145,289,130,135,265,765,722,1488,266,302,564,157,195,353,155,166,315,574,657,1240,26,33,61,16,42,52,74,43,120,59,132,188,0,0,4,170,247,421,71,162,236,32,75,101,12,30,44,53,164,210,0,0,6,169,428,598,344,675,1022,30,27,59,35,57,91,0,0,0,61,89,147,448,492,935,2419,2841,5262
UCL213018,90,63,149,164,168,334,136,141,278,6,8,14,313,312,624,125,132,260,75,72,145,21,36,51,221,236,456,7,8,14,4,12,17,41,23,67,24,44,75,0,3,6,84,94,178,19,30,43,9,5,10,0,6,7,11,33,47,0,0,0,38,73,109,121,168,283,3,3,6,8,18,25,0,0,0,10,21,36,271,296,571,1021,1099,2121
UCL214001,85,57,144,191,173,367,46,46,90,3,0,3,247,219,463,105,73,182,63,114,174,8,0,9,181,189,365,9,9,18,7,15,16,22,13,33,25,31,51,0,0,0,53,68,122,5,16,26,12,23,38,0,9,14,11,31,41,0,0,0,35,84,114,88,146,238,14,0,14,14,21,33,0,0,0,19,22,47,218,226,440,834,860,1694
UCL214002,107,108,219,249,210,462,88,95,180,37,36,78,376,344,720,161,129,289,68,68,143,47,42,86,277,240,510,5,8,17,4,3,7,25,11,44,27,43,67,0,0,0,67,68,130,21,34,57,7,13,20,6,10,17,16,38,49,0,0,0,46,95,139,109,160,273,4,5,10,13,21,38,0,0,0,15,26,41,116,105,223,1001,988,1992
UCL214003,61,70,135,137,143,284,102,108,208,16,27,43,255,287,532,134,123,263,94,73,166,29,23,54,262,222,489,14,13,26,19,16,30,24,14,42,33,66,101,4,0,3,88,110,202,9,33,41,9,18,18,0,11,13,14,48,63,0,0,0,32,107,136,123,214,336,13,6,18,8,20,31,0,5,0,23,27,54,415,433,848,1135,1265,2400
UCL214004,55,50,105,83,64,142,80,90,170,33,30,68,192,186,382,76,89,160,39,34,70,22,30,52,138,154,290,8,7,12,7,11,22,15,16,33,22,25,43,0,0,0,48,61,114,8,10,20,7,10,18,5,3,3,6,28,35,0,0,0,26,54,77,76,115,189,12,5,15,16,15,30,0,0,0,29,17,43,195,201,393,690,719,1409
UCL214005,6,13,14,37,27,61,4,4,11,0,0,0,44,29,75,20,29,51,0,7,3,0,0,0,18,35,55,0,0,0,0,0,7,10,0,14,3,11,15,0,0,0,16,13,29,0,0,3,0,0,3,0,0,5,0,3,5,0,0,0,3,12,13,20,25,50,0,0,0,0,0,0,0,0,0,0,0,0,34,22,53,127,125,246
UCL214006,51,48,102,167,153,322,26,20,41,36,38,76,228,208,438,98,82,177,0,3,7,51,66,121,152,151,302,10,13,21,4,12,16,12,12,20,12,34,40,0,0,0,37,63,97,15,25,41,7,17,23,6,9,10,4,37,42,0,0,0,36,83,117,73,144,215,6,3,7,11,18,29,0,0,3,11,21,36,237,293,535,761,872,1635
UCL214007,65,64,131,183,171,349,27,27,48,13,12,22,215,205,420,87,76,167,15,24,34,7,3,16,103,109,210,12,10,23,7,12,23,9,9,16,22,34,57,0,0,0,51,67,122,23,32,55,15,19,35,11,8,19,5,33,36,0,0,0,61,94,152,112,156,271,15,10,26,14,20,38,0,0,0,28,35,63,113,101,211,642,672,1312
UCL214008,93,105,204,198,202,397,81,85,161,51,57,116,331,341,675,112,108,218,96,110,205,83,70,153,287,288,579,7,20,28,10,11,17,45,21,66,27,53,77,0,0,0,90,106,189,13,21,30,12,22,34,0,16,16,23,45,68,0,0,0,49,102,152,137,200,341,8,4,15,14,16,30,0,4,4,23,25,45,251,291,535,1124,1257,2380
