UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL212005,121,247,152,100,108,35,13,770,22,29,10,5,12,0,6,86,7,13,14,8,6,3,0,53,209,435,288,216,258,78,27,1511,10,17,17,9,13,6,0,63,27,28,20,6,9,3,0,89,33,35,29,23,18,10,3,150,242,465,324,232,278,89,31,1667,314,346,182,113,122,21,9,1114,5,6,18,0,3,0,0,39,561,823,520,353,408,113,38,2817
UCL212006,66,139,102,66,83,28,16,497,13,12,11,9,4,3,0,59,6,0,8,0,0,0,0,22,140,286,222,145,230,90,54,1170,3,9,3,3,3,4,0,25,11,18,4,5,0,0,0,32,12,21,13,5,4,4,0,63,160,303,228,151,232,99,56,1227,100,140,76,45,63,13,10,440,4,5,0,0,0,0,0,5,255,451,305,193,301,110,63,1681
UCL212007,30,63,48,31,35,14,8,230,3,6,4,0,0,0,0,20,0,0,0,0,0,0,0,5,48,121,122,77,114,35,18,525,0,3,3,4,0,4,0,16,0,5,0,0,0,0,0,6,0,10,3,4,0,4,0,23,53,126,122,80,117,33,22,552,22,25,25,11,18,5,0,113,0,0,0,3,0,0,0,4,73,157,149,94,133,44,15,666
UCL212008,99,129,86,55,67,17,5,461,13,11,11,0,4,0,0,34,0,9,5,0,5,0,0,22,134,236,197,110,144,47,18,892,6,7,10,4,8,3,0,46,7,13,5,4,4,0,0,36,16,20,15,9,14,3,0,83,150,260,215,120,160,46,19,970,150,135,48,47,43,15,3,438,3,7,3,0,0,0,0,17,309,401,266,167,207,59,22,1425
UCL212009,88,175,136,87,106,21,10,610,25,13,4,0,0,0,0,48,4,0,5,4,0,0,0,16,138,278,225,152,194,47,7,1041,3,11,0,0,8,0,0,26,4,11,9,3,7,0,0,28,7,16,14,5,7,0,0,57,146,296,240,155,203,47,13,1099,106,126,73,36,42,14,4,398,7,3,0,0,0,0,0,7,256,431,306,195,245,61,13,1504
UCL213001,45,65,35,39,40,8,4,228,9,3,3,4,5,0,0,30,5,4,0,0,0,0,0,5,72,109,68,74,89,18,9,428,4,6,4,3,0,0,0,17,5,4,0,0,4,0,0,18,7,13,3,5,4,0,0,35,76,119,74,81,90,20,9,458,88,102,44,39,32,6,0,317,0,7,3,5,0,0,0,13,169,224,125,119,121,22,4,788
UCL213002,14,63,45,27,31,3,4,186,7,4,4,3,0,0,0,21,0,0,0,0,0,0,0,0,20,85,78,53,63,12,5,325,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,25,86,78,53,67,13,5,327,43,27,14,14,19,0,0,113,0,0,0,0,5,0,0,4,64,115,94,70,85,16,6,451
UCL213003,35,55,35,34,40,7,3,209,3,5,5,5,4,0,0,22,0,0,4,5,3,0,0,12,52,95,65,61,83,17,3,369,0,0,3,0,0,0,0,4,7,6,3,0,0,0,0,7,7,4,4,0,0,0,0,15,57,101,68,61,83,17,3,380,53,65,32,16,14,0,0,187,0,3,0,0,0,0,0,3,108,165,106,78,94,16,3,571
UCL213004,41,68,45,46,40,16,5,262,4,6,5,0,0,0,0,23,0,8,6,0,3,4,0,17,57,133,83,73,77,25,9,454,0,7,0,0,9,0,0,13,0,6,6,4,0,0,0,22,4,11,6,3,7,0,4,38,64,149,91,76,81,27,10,500,76,49,40,32,22,9,3,231,3,0,0,6,3,0,0,13,139,197,128,110,107,37,12,738
UCL213005,26,100,55,42,39,17,11,290,5,3,8,3,9,0,0,31,0,4,0,0,0,0,0,11,42,143,97,80,96,34,19,506,0,3,0,0,0,0,0,4,6,12,3,0,0,0,0,18,3,10,6,0,4,0,0,26,47,152,96,85,99,34,19,532,60,64,37,28,34,7,0,232,0,0,3,5,0,0,0,4,110,213,138,114,129,38,18,763
UCL213006,23,43,32,27,36,9,3,174,4,10,0,4,7,0,0,18,0,0,0,0,0,0,0,0,31,84,63,67,75,27,11,359,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,9,4,0,0,0,0,3,0,17,33,87,66,64,77,31,12,375,20,4,6,0,9,0,0,43,0,5,0,0,0,0,0,6,50,95,76,71,81,33,16,428
UCL213007,50,58,62,42,39,19,0,278,11,13,4,3,3,0,0,32,0,3,3,0,0,0,0,13,82,112,106,83,82,21,4,487,0,3,3,0,0,0,0,12,0,12,0,3,4,0,0,19,4,12,5,3,3,0,0,28,86,125,108,85,88,21,4,523,110,96,46,25,25,0,0,295,0,3,4,0,0,0,0,4,194,221,153,110,107,30,5,823
UCL213008,26,71,54,31,35,11,10,233,7,11,7,3,5,0,0,37,0,4,0,0,0,0,0,5,63,129,108,70,104,28,17,516,3,0,0,0,0,0,0,9,5,3,0,0,0,0,0,16,7,4,4,5,0,0,0,20,71,135,108,70,105,28,13,534,48,42,26,18,17,9,4,161,5,4,0,0,0,0,0,7,123,179,132,88,123,39,14,705
UCL213009,31,53,30,22,40,8,5,185,8,7,4,4,3,0,0,28,4,6,0,0,0,0,0,9,52,107,64,45,89,27,10,395,0,3,0,4,3,0,0,8,3,9,0,0,0,0,0,12,3,6,0,0,3,0,0,22,58,115,68,49,88,29,11,419,32,36,17,18,19,4,6,131,0,0,0,0,0,0,0,4,86,151,85,68,106,39,15,548
UCL213010,35,80,58,32,36,11,0,253,9,7,4,0,0,6,0,22,0,4,0,0,4,0,0,7,61,128,97,54,79,22,6,447,0,7,8,4,3,0,0,23,13,15,3,6,7,0,0,46,15,22,17,9,8,0,0,69,72,150,114,61,85,25,6,517,155,145,66,48,41,11,3,473,5,11,4,0,0,0,0,14,234,305,181,110,128,41,11,1009
UCL213011,29,61,43,29,31,5,3,203,11,5,5,6,3,0,0,36,0,3,0,0,0,0,0,3,53,93,76,48,63,15,4,361,10,16,11,5,8,0,0,50,9,11,4,7,3,3,0,38,19,30,12,7,9,3,3,90,74,119,92,58,78,24,5,449,150,148,72,51,47,10,4,489,6,7,5,4,0,0,0,24,236,277,168,117,124,31,9,965
UCL213012,24,35,28,37,33,4,0,151,4,8,3,0,0,0,0,16,0,0,0,0,0,0,0,5,30,58,53,57,66,8,0,278,0,6,0,0,3,0,0,8,6,6,6,0,3,0,0,19,6,14,13,0,9,0,0,34,34,69,64,60,73,9,0,310,58,82,25,23,21,4,0,207,0,4,4,0,0,0,0,13,96,154,94,83,91,10,0,531
UCL213013,41,76,47,37,40,7,0,243,9,0,5,6,4,0,0,31,0,0,7,0,0,0,0,6,64,120,92,69,80,21,11,446,0,3,4,4,9,0,0,29,3,13,0,4,3,0,0,27,4,20,4,8,12,0,0,51,75,137,96,76,96,23,11,499,66,78,39,28,28,5,5,258,0,0,0,0,0,0,0,7,140,210,134,103,123,29,9,762
UCL213014,33,55,33,28,17,10,3,180,8,6,6,0,4,0,0,25,0,0,0,0,0,0,0,5,53,104,70,49,53,23,7,355,0,0,4,0,4,0,0,9,0,4,0,0,0,0,0,4,0,6,4,0,6,0,0,14,51,106,76,49,60,28,5,372,63,63,41,33,23,4,0,228,0,0,0,0,0,0,0,3,118,166,116,83,82,27,5,597
UCL213015,23,54,33,20,28,6,5,172,9,5,5,4,0,0,0,27,3,3,0,0,0,0,0,8,55,102,81,62,71,21,15,413,0,8,3,0,0,0,0,12,9,17,0,0,0,0,0,35,9,23,5,4,3,0,0,45,70,128,84,58,74,18,15,454,107,99,49,25,30,5,7,322,6,3,0,0,0,0,0,12,176,228,142,89,100,25,23,791
UCL213016,49,83,79,51,54,12,4,336,10,12,9,4,6,0,0,37,3,3,6,0,0,0,0,17,91,169,142,98,126,32,10,677,4,9,11,7,0,0,0,27,7,9,0,6,3,0,0,25,7,16,18,13,7,0,0,52,96,183,157,110,131,32,10,728,96,88,55,33,40,7,0,314,0,0,0,0,0,0,0,5,190,274,212,144,176,39,13,1043
UCL213017,46,79,48,36,47,12,0,274,9,11,7,3,6,0,0,32,6,7,3,4,0,0,0,16,69,132,108,101,130,33,12,581,0,0,0,0,0,0,0,7,6,9,0,0,0,0,0,22,8,9,4,6,0,0,0,26,76,137,106,102,130,38,12,606,82,76,42,26,35,9,10,279,0,0,0,0,0,0,0,3,164,216,150,131,164,51,21,896
UCL213018,25,45,28,19,17,8,0,134,9,0,0,0,0,0,0,18,0,0,0,0,4,0,0,4,43,77,39,29,42,8,3,237,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,15,0,3,3,7,0,0,0,16,44,79,46,33,43,8,3,255,29,40,16,5,3,0,0,101,0,0,4,0,0,0,0,4,76,119,66,42,50,8,3,360
UCL214001,17,33,21,18,15,0,0,108,4,0,0,0,0,0,0,8,0,6,0,0,3,0,0,7,30,47,37,38,37,8,4,212,5,3,4,0,0,0,0,12,0,3,0,0,0,0,0,7,3,8,4,0,5,0,0,17,37,58,41,35,43,10,4,229,48,48,23,19,8,0,0,149,0,0,0,0,0,0,0,0,85,108,68,55,49,14,4,380
UCL214002,14,29,15,9,15,4,0,96,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,23,47,31,17,34,14,0,168,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,7,23,49,31,17,35,14,0,174,16,9,13,8,3,4,0,47,0,0,0,0,0,0,0,0,36,59,44,24,42,12,0,222
UCL214003,24,45,26,20,19,5,4,133,5,4,3,5,5,0,0,18,0,3,5,0,3,0,0,14,38,79,49,34,49,15,7,271,0,0,0,0,0,0,0,4,5,3,3,0,0,0,0,14,5,3,3,3,0,0,0,21,44,81,54,40,53,15,7,286,37,50,36,21,14,0,0,158,0,0,0,0,0,0,0,3,86,127,88,62,66,16,8,448
UCL214004,16,30,10,15,11,0,0,84,3,3,0,0,0,0,0,6,0,5,0,0,0,0,0,4,23,52,30,20,25,6,0,154,0,5,0,0,0,0,0,0,3,3,3,0,0,0,0,5,3,7,0,0,0,0,0,11,30,55,28,23,25,6,0,170,27,25,16,9,8,6,0,97,0,3,0,0,0,0,0,3,51,89,45,32,37,11,0,266
UCL214005,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,16,3,0,3,3,4,0,0,9,0,0,0,0,0,0,0,0,3,7,10,7,6,0,0,28
UCL214006,14,28,14,15,19,3,0,90,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,5,14,49,33,29,32,8,0,169,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,14,49,40,28,32,8,0,175,17,19,25,10,14,3,0,94,0,0,0,0,0,0,0,0,37,69,64,38,48,13,0,269
UCL214007,11,15,7,8,5,4,0,51,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,19,41,17,29,24,11,0,140,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,9,6,6,0,0,0,0,0,9,24,46,20,29,19,11,0,153,15,15,8,6,7,0,0,53,0,0,0,0,0,0,0,0,37,57,30,33,31,11,5,204
UCL214008,23,40,34,18,27,5,0,159,9,8,0,3,0,0,0,25,0,0,0,0,0,0,0,0,36,73,65,45,62,11,3,288,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,14,0,9,6,5,0,0,0,20,36,78,65,48,64,14,3,305,34,35,16,10,12,0,0,116,6,4,4,0,0,0,0,11,71,111,85,60,77,15,3,433
UCL214009,16,29,28,21,22,10,0,123,0,0,5,5,4,0,0,16,0,0,0,0,0,0,0,0,24,46,46,40,52,25,6,233,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,14,0,3,0,0,4,0,0,19,24,51,49,45,55,25,6,248,26,37,14,6,9,3,0,100,0,0,0,0,0,0,0,0,53,88,63,55,64,30,9,348
UCL214010,12,23,21,17,12,0,0,79,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,31,31,26,19,9,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,19,38,31,26,19,9,0,131,7,13,0,4,0,0,0,25,0,0,0,0,0,0,0,0,22,49,28,26,23,8,5,160
UCL214011,15,35,34,13,20,6,10,126,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,6,32,62,61,38,60,15,11,289,0,4,0,0,0,0,0,3,3,5,0,0,3,0,0,16,3,8,5,0,5,0,0,22,32,71,68,42,70,16,11,307,32,35,19,7,14,5,5,124,0,0,0,0,0,0,0,3,70,110,83,53,79,27,13,434
UCL214012,14,31,18,20,26,4,0,111,3,0,4,0,3,0,0,12,0,0,4,0,0,0,0,6,19,56,43,32,44,8,0,208,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,12,4,4,5,0,0,0,0,12,23,56,47,32,44,8,0,214,32,23,9,14,17,0,0,95,0,0,0,0,0,0,0,0,54,78,52,47,66,9,0,309
UCL214013,9,23,6,9,7,3,0,63,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,10,41,28,18,26,10,6,142,0,0,6,0,3,0,0,8,0,0,0,0,3,0,0,4,0,0,6,5,8,0,0,14,10,41,32,28,28,10,6,154,8,14,16,3,7,4,0,59,0,0,0,0,0,0,0,0,18,55,44,36,39,17,6,211
UCL214014,12,31,22,10,16,0,0,82,4,6,7,9,5,0,0,31,0,0,0,0,0,0,0,0,24,54,35,14,32,9,0,167,0,3,4,3,6,0,0,15,4,0,0,0,0,0,0,12,3,6,9,5,4,0,0,27,29,61,47,18,35,9,0,199,29,34,16,11,4,0,0,101,3,0,0,0,0,0,0,3,64,97,63,33,46,9,0,301
UCL214015,13,34,17,14,22,3,0,100,0,3,0,0,0,0,0,5,0,3,3,0,0,0,0,8,21,58,35,27,40,13,0,199,0,3,0,0,0,0,0,5,5,3,5,0,4,0,0,18,5,6,3,0,4,0,0,19,20,64,41,30,44,13,0,217,16,22,3,6,13,0,0,62,0,0,0,0,0,0,0,4,34,88,48,38,58,13,0,285
UCL214016,32,45,24,20,23,0,0,147,0,6,4,0,0,0,0,16,0,4,0,0,0,0,0,7,38,70,44,30,39,7,3,227,0,0,7,0,3,0,0,15,3,4,3,4,0,0,0,13,5,3,7,3,6,0,0,27,38,76,53,38,46,10,3,255,60,66,34,37,15,8,0,213,0,3,4,0,0,0,0,11,96,147,88,72,59,12,3,485
UCL214017,6,8,7,7,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,12,21,15,22,5,9,81,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,9,9,12,23,15,22,5,7,90,3,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,10,15,22,12,25,5,7,103
UCL214018,5,19,13,9,15,5,0,72,3,4,0,0,0,0,0,3,0,0,3,0,0,0,0,4,20,30,20,17,26,8,4,127,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,5,21,36,20,17,31,8,4,134,25,34,13,12,8,0,0,91,0,0,0,0,0,0,0,0,45,68,33,31,37,11,4,228
UCL214019,16,30,25,19,11,10,0,113,6,3,5,0,3,0,0,19,0,0,0,6,4,0,0,7,30,60,57,31,35,18,5,224,0,4,0,0,0,0,0,4,4,3,0,0,0,0,0,13,4,7,0,5,3,0,0,18,33,64,55,33,37,18,5,242,40,41,19,14,14,3,0,132,0,0,0,0,0,0,0,0,71,107,71,54,55,16,3,382
UCL214020,9,25,18,14,15,0,4,86,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,19,38,31,22,32,8,4,146,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,7,19,36,32,22,32,8,4,149,36,47,14,12,6,5,0,114,0,5,0,4,0,0,0,9,58,86,39,37,38,4,0,269
UCL214021,0,16,24,16,20,6,4,87,3,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,10,34,37,25,56,11,11,184,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,4,8,34,44,24,52,11,11,190,12,34,13,13,17,3,0,88,0,0,0,0,0,0,0,0,28,66,55,35,71,17,8,276
UCL214022,15,37,31,22,12,3,0,130,4,4,0,4,0,0,0,15,0,0,0,0,0,0,0,10,25,57,49,46,37,12,5,231,0,4,7,3,6,0,0,22,0,7,6,3,0,0,0,10,0,7,13,5,6,0,0,36,25,67,62,54,43,16,5,268,49,64,26,17,25,4,5,185,0,4,5,0,0,0,0,9,74,134,86,71,68,21,6,466
UCL215001,0,3,8,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,6,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,6,4,3,31,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,15,4,11,0,3,38
UCL215002,7,9,10,6,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,14,13,11,3,0,64,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,12,15,14,13,15,6,0,65,5,5,6,5,6,0,0,24,0,0,0,0,0,0,0,0,20,18,25,12,17,4,0,92
