UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL212005,4530,4367,1363,324,1982,1940,488,921,4670,482,3665,19916,1574,36217,67,76,17,8,47,25,9,8,47,7,57,481,29,732,183,80,74,36,111,103,34,58,101,27,94,317,23,793,71,32,26,13,33,29,12,14,34,9,43,142,5,317,288,56,55,66,201,146,41,46,125,37,146,468,50,1141,99,81,17,5,119,49,6,7,87,9,121,787,54,1190,36,73,4,0,54,10,6,0,28,4,48,1233,43,1492,9,8,6,0,10,3,0,3,4,0,8,375,8,422,72,61,8,3,136,38,22,8,61,8,136,2613,73,3122,12,12,5,5,11,7,0,5,14,0,10,100,0,153,19,10,7,0,20,9,0,0,17,4,34,521,14,625,854,481,227,128,744,423,129,143,526,104,715,7038,301,9984,142,78,26,18,73,70,23,35,74,25,49,286,3052,3657,5528,4922,1624,473,2798,2433,638,1092,5273,601,4427,27233,4928,49862,1558,2124,409,9
UCL212006,2591,3779,851,142,1312,1072,268,525,3809,237,2859,17537,1132,30175,62,93,22,5,41,30,6,14,86,11,71,445,32,777,373,172,124,37,181,148,39,95,203,36,205,727,50,1661,120,44,40,19,58,58,16,30,50,13,63,255,14,557,169,73,56,29,117,92,21,37,112,28,121,387,19,857,24,9,5,5,12,18,6,4,19,0,22,141,0,212,48,49,11,0,49,20,15,3,35,0,50,485,20,692,12,8,6,0,8,8,0,0,17,0,21,181,0,238,34,34,10,3,85,21,5,7,14,0,51,694,17,908,25,31,4,0,15,3,3,6,36,0,35,173,10,282,14,18,0,0,14,5,0,3,24,6,14,160,9,236,877,529,288,101,586,405,114,203,589,105,652,3642,179,6428,38,12,10,6,17,27,0,9,17,7,19,90,1219,1406,3498,4326,1148,249,1920,1503,387,737,4409,349,3528,21272,2531,38010,1198,2316,414,6
UCL212007,1275,1693,539,116,428,561,117,182,1472,142,1361,12770,741,19083,17,38,6,0,8,7,0,0,26,7,12,239,7,351,112,77,53,13,41,57,11,19,83,15,112,610,35,1042,45,17,12,8,17,21,6,9,19,10,32,283,10,425,50,11,19,4,36,29,3,8,25,12,31,147,10,286,8,3,5,0,4,0,0,0,0,0,7,30,0,41,8,4,0,0,6,0,0,0,4,0,5,106,5,131,5,11,0,0,0,5,0,0,7,0,3,69,4,97,4,8,0,0,3,9,0,0,6,0,6,22,0,50,9,23,8,5,4,4,0,0,24,3,13,232,11,312,15,15,6,0,10,7,0,0,9,0,21,154,3,215,268,208,120,32,132,142,24,38,198,41,241,1890,92,2955,26,13,5,10,7,8,6,5,17,7,20,35,883,964,1572,1912,665,161,567,709,148,227,1689,186,1618,14695,1710,22998,547,1055,236,5
UCL212008,2467,2672,707,121,1184,1054,253,563,2779,258,2182,12565,975,22423,31,37,10,4,28,18,3,6,26,5,29,195,6,337,237,91,75,22,98,124,29,67,109,13,130,347,41,912,111,31,39,16,62,58,15,23,44,3,34,156,20,421,89,22,21,19,70,50,5,25,31,17,44,147,20,363,0,8,4,6,5,6,6,6,7,0,8,82,0,99,23,18,3,0,24,6,3,4,15,0,34,309,10,426,0,0,0,0,8,0,0,0,0,0,0,144,0,160,13,11,4,0,27,9,0,0,9,0,16,418,9,497,10,17,3,0,4,4,0,3,20,0,14,78,0,133,5,9,3,0,9,3,5,0,11,3,19,156,0,202,531,242,160,63,329,276,60,133,274,56,337,2022,116,3550,51,29,20,11,33,37,7,16,34,13,30,65,1462,1665,3045,2939,885,193,1545,1375,320,707,3086,322,2552,14653,2549,27628,823,1435,238,0
UCL212009,2880,3067,983,225,1443,1447,319,603,3233,355,2486,15652,1234,27789,32,46,12,0,17,26,5,15,37,7,43,231,28,414,157,71,60,13,84,74,11,32,90,30,84,311,21,709,51,21,17,3,25,22,3,0,22,6,23,155,15,290,14,3,6,0,14,10,0,5,15,4,10,65,5,125,5,3,0,0,8,0,4,6,6,0,7,56,0,81,10,15,6,0,19,10,3,4,12,5,22,504,23,591,4,4,0,0,5,0,0,0,3,0,3,332,5,353,3,11,4,0,23,7,0,0,4,0,9,313,5,365,9,4,8,0,3,3,0,5,9,0,16,100,3,133,15,16,0,0,11,4,0,0,11,0,16,128,5,175,304,193,109,26,202,161,24,62,207,49,221,2198,101,3240,68,26,17,11,44,46,12,10,40,16,23,151,1537,1859,3253,3286,1118,262,1684,1653,346,677,3480,418,2730,17995,2877,32894,864,1638,311,4
UCL213001,1451,1205,437,65,632,708,128,386,1469,179,1116,5886,469,11068,26,15,12,3,13,9,0,8,13,5,15,68,9,143,106,46,40,6,49,50,12,30,53,19,46,159,19,438,44,13,12,0,23,27,7,9,17,7,22,81,5,185,36,4,11,3,21,17,0,5,11,3,11,42,10,121,0,0,0,0,4,3,0,0,0,0,4,20,0,30,10,6,0,0,14,8,4,0,11,0,10,288,13,336,3,0,0,0,0,0,0,0,0,0,3,58,0,69,3,0,0,0,4,0,0,0,0,0,6,121,5,142,5,5,6,0,4,4,0,0,10,0,3,32,0,60,10,9,4,0,4,5,0,0,3,0,3,43,5,75,241,101,86,16,141,126,22,57,125,33,125,912,62,1601,51,24,6,7,28,25,0,12,28,10,21,115,825,1062,1742,1334,531,85,792,861,158,450,1620,224,1254,6918,1352,13734,352,587,110,0
UCL213002,1127,791,408,62,358,458,99,186,1078,113,907,4381,601,8470,23,19,4,0,0,10,0,0,25,0,18,80,33,175,81,33,43,9,17,38,10,16,54,13,60,207,26,481,17,8,3,3,14,11,0,8,19,0,22,87,17,163,13,7,9,4,0,12,0,3,4,0,7,47,20,95,5,4,0,0,0,0,0,0,5,0,0,22,36,73,8,5,0,0,3,0,0,3,0,0,7,56,68,139,0,0,0,0,0,0,0,0,0,0,0,20,15,45,0,3,3,0,4,0,0,0,4,0,3,38,20,71,15,3,5,0,3,3,0,0,12,0,13,61,10,111,8,5,5,0,3,0,0,3,4,0,3,27,8,49,170,86,75,22,51,82,13,35,127,20,134,637,254,1407,24,8,5,0,8,11,3,9,23,3,17,71,571,693,1322,882,493,79,413,545,118,232,1233,140,1057,5086,1418,10577,298,390,105,0
UCL213003,1295,1060,359,118,638,538,141,268,1162,158,907,5784,486,10452,21,13,6,0,12,4,0,0,17,0,3,100,16,160,44,11,16,3,24,28,8,15,19,8,23,84,9,207,20,5,9,7,13,18,0,9,3,0,8,34,6,88,19,8,8,4,13,11,0,0,7,0,9,20,9,73,0,0,0,0,0,0,0,0,4,0,0,45,4,57,3,5,0,0,6,0,0,0,0,0,3,115,9,140,0,0,0,0,4,5,0,0,3,0,3,317,0,331,0,3,0,0,9,0,0,0,4,0,3,123,5,147,0,3,5,0,3,0,0,0,9,0,0,9,0,22,4,0,0,0,3,3,0,0,0,0,7,15,0,25,115,50,44,19,87,69,13,27,65,10,64,871,48,1251,43,17,7,8,25,21,0,8,20,4,16,65,483,649,1450,1123,407,148,744,623,158,300,1248,177,989,6715,1017,12348,385,523,78,0
UCL213004,1346,1376,417,133,624,585,150,300,1651,157,1221,6746,540,12108,14,22,5,4,17,14,3,3,24,10,14,133,12,224,179,63,54,24,73,82,24,38,100,18,83,284,22,709,67,31,34,11,38,46,0,27,29,10,52,93,7,269,39,4,10,3,33,17,0,9,24,9,28,78,0,184,5,5,0,0,0,0,0,0,0,0,4,19,3,29,7,3,3,0,12,4,0,0,3,0,12,96,0,128,0,0,0,0,0,0,0,0,5,0,0,50,0,64,5,6,5,5,24,8,0,0,6,4,3,92,4,129,17,14,0,0,9,4,0,4,13,0,16,37,0,83,12,17,0,0,14,6,3,0,15,0,4,83,0,130,341,164,111,48,211,183,40,85,215,53,225,970,57,1949,32,17,11,6,20,25,6,15,22,12,13,46,581,711,1728,1558,532,186,853,792,193,393,1890,215,1456,7763,1174,14764,446,725,131,7
UCL213005,1588,1469,526,102,636,655,125,294,1609,134,1243,7240,562,13177,28,29,12,0,11,5,0,0,20,5,16,132,7,220,240,111,77,19,111,126,19,39,105,23,101,475,34,1084,48,15,28,7,32,44,3,13,24,8,24,122,9,279,41,21,13,8,37,21,8,6,20,9,24,121,8,256,6,4,0,0,5,3,3,0,4,0,0,29,0,45,5,14,0,0,5,5,0,0,17,0,14,115,3,165,4,0,0,0,3,0,0,0,0,0,4,55,0,67,6,7,0,0,15,0,0,0,5,0,6,75,0,104,10,14,4,0,8,7,0,0,11,0,10,70,3,121,12,13,4,3,12,12,0,4,16,0,17,74,3,131,397,223,143,43,243,225,38,69,214,47,222,1267,72,2480,36,14,11,4,13,16,3,9,21,7,13,72,386,547,2024,1709,675,153,892,901,168,371,1837,187,1476,8576,1026,16199,524,766,173,3
UCL213006,640,865,271,83,273,273,76,148,777,71,743,6034,407,9371,17,21,6,0,6,3,0,0,21,3,16,100,4,171,90,48,22,22,35,49,13,23,54,12,71,248,13,520,21,6,11,4,8,16,5,7,15,3,22,80,3,157,28,11,13,4,12,18,0,13,16,0,12,82,4,158,0,3,0,0,0,0,0,0,0,0,0,24,0,33,0,0,0,0,0,0,0,0,0,0,0,66,0,77,4,8,0,0,0,0,0,0,0,0,3,33,4,50,3,5,0,0,7,3,0,0,0,0,4,70,0,91,12,13,3,0,11,0,0,0,6,0,14,47,0,84,4,8,4,0,3,0,0,0,7,0,9,33,0,52,176,113,65,32,89,96,30,42,129,20,156,784,31,1388,5,5,0,0,3,0,0,6,0,0,5,11,211,240,822,984,331,124,365,374,104,192,911,91,907,6831,645,10999,268,534,117,0
UCL213007,1757,1495,558,83,789,755,171,346,1645,221,1151,7949,564,14148,8,14,3,0,9,4,3,4,21,0,6,50,6,93,60,23,19,5,24,18,3,14,16,8,28,72,5,204,15,3,9,7,15,14,3,10,9,4,15,40,3,98,20,8,7,4,24,20,8,0,10,3,10,46,0,107,3,7,0,0,0,5,0,0,0,0,5,32,0,40,6,17,4,0,12,7,0,0,6,0,15,202,6,265,0,3,0,0,3,0,0,0,0,0,3,36,0,50,5,8,0,0,10,4,0,0,3,0,8,220,3,251,5,3,0,0,0,0,0,0,4,0,8,33,0,56,0,3,0,0,3,0,0,0,3,0,6,62,0,76,127,91,45,11,97,71,18,38,77,15,103,796,28,1227,55,26,11,0,22,28,5,11,18,3,20,84,713,920,1935,1610,615,96,913,857,192,391,1733,236,1273,8834,1302,16289,580,792,175,3
UCL213008,1038,1493,352,80,572,448,120,189,1560,122,1201,7497,505,12662,14,24,12,0,16,10,0,8,14,0,14,121,8,199,196,73,40,28,89,79,18,33,91,18,112,316,17,766,56,21,16,3,28,28,3,9,19,7,37,103,9,253,44,14,14,3,36,21,5,3,21,8,23,139,10,259,0,3,0,0,0,3,0,0,0,0,4,40,0,50,17,31,8,0,42,6,5,0,14,0,37,349,3,476,0,3,0,0,0,0,0,0,0,0,4,58,0,68,9,5,0,0,15,3,0,0,4,0,11,380,3,427,4,13,0,0,9,0,0,0,11,0,10,49,0,86,7,3,6,0,0,4,0,0,4,0,4,55,0,76,350,195,96,37,237,161,33,53,171,35,250,1619,53,2665,21,7,0,0,10,11,3,5,7,3,3,24,382,448,1402,1688,447,117,816,617,156,252,1742,157,1465,9139,940,15772,454,908,123,0
UCL213009,885,1092,348,74,517,415,97,183,1334,98,1017,5953,397,10329,16,10,5,0,13,6,0,3,19,0,12,72,0,140,107,57,36,19,54,65,9,22,52,23,99,205,16,525,44,9,23,8,21,26,5,13,21,9,29,80,3,189,47,12,13,7,32,21,9,5,15,11,33,81,3,197,4,0,0,0,3,0,0,0,0,0,0,21,0,31,5,6,0,0,7,7,0,0,6,0,5,127,5,156,0,0,0,0,0,0,0,0,3,0,6,54,0,64,5,4,3,0,11,7,0,0,5,0,3,123,0,149,0,8,0,4,0,0,0,0,3,0,8,46,0,62,7,4,7,0,7,4,0,0,4,5,13,64,4,95,244,108,84,40,151,138,19,49,135,41,210,869,33,1611,14,9,6,5,14,14,0,5,11,4,10,34,304,379,1144,1204,433,114,679,564,118,240,1479,146,1234,6856,739,12319,346,631,110,7
UCL213010,1658,1666,446,116,910,743,186,483,1948,204,1385,6170,562,12340,33,27,10,5,26,16,6,12,28,3,23,96,3,195,209,88,65,21,112,94,35,65,93,25,106,189,26,656,108,31,39,22,53,61,20,26,45,16,64,116,11,367,110,31,18,12,89,71,14,19,65,13,67,118,7,374,3,0,0,0,0,6,0,0,0,0,0,28,3,38,16,26,7,0,32,3,0,3,15,0,14,179,9,254,7,6,0,0,3,3,0,0,3,0,8,54,0,71,5,4,0,0,0,6,0,0,6,0,4,41,0,50,7,10,4,0,11,3,0,0,8,0,7,38,4,76,10,0,0,0,5,0,0,0,3,0,5,27,5,49,513,210,152,61,340,253,74,132,268,55,299,883,75,2128,74,42,15,10,38,41,12,22,49,11,27,90,1007,1284,2241,1921,618,186,1289,1041,267,634,2267,266,1712,7145,1648,15758,456,706,108,3
UCL213011,1323,1389,330,82,706,596,154,412,1773,159,1142,4983,508,10135,27,23,5,0,16,20,3,9,30,0,18,62,8,158,169,63,44,13,79,87,24,63,66,23,65,101,30,440,77,21,15,8,36,37,6,16,22,12,25,68,18,231,161,44,48,19,115,70,23,28,48,13,59,157,46,538,3,0,0,0,4,3,0,0,4,0,8,59,8,81,23,17,3,8,31,10,10,0,21,4,29,290,22,404,3,3,0,0,3,0,0,0,3,0,8,37,0,55,12,8,0,0,20,13,4,0,8,4,12,187,3,232,10,3,6,0,11,6,0,0,9,3,10,26,4,59,0,5,0,0,0,0,0,4,12,0,3,35,0,60,484,190,119,46,322,246,68,128,230,58,231,1028,128,2258,91,53,18,0,42,42,18,24,52,10,44,124,1346,1672,1891,1635,467,132,1069,878,243,568,2055,228,1412,6131,1982,14068,367,567,74,0
UCL213012,1318,900,357,97,570,457,124,253,1123,134,893,4584,383,8729,28,19,6,0,17,8,4,11,15,0,12,78,7,149,89,26,33,5,43,44,8,36,39,11,34,105,12,315,25,8,3,3,15,12,3,5,5,0,10,45,3,100,13,3,3,0,15,7,3,0,6,0,7,33,5,78,0,3,0,0,0,0,0,0,0,0,0,23,0,22,11,8,4,0,11,0,0,0,4,0,4,99,4,129,0,0,0,0,0,0,0,0,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,0,0,71,0,81,7,7,0,0,4,3,0,0,3,0,4,28,0,47,6,3,4,0,5,0,0,0,4,4,3,36,0,59,180,82,51,13,111,83,19,52,77,14,82,537,33,1008,38,23,15,3,25,16,4,11,23,3,15,65,550,717,1537,1008,422,118,707,556,141,314,1227,150,992,5186,964,10450,410,418,116,0
UCL213013,1327,1351,406,96,640,572,129,366,1569,161,1139,6255,510,11466,24,31,8,0,15,13,5,5,20,0,11,95,3,176,126,58,35,11,47,54,3,37,70,22,71,195,20,488,37,3,10,8,21,23,10,13,23,5,20,80,6,182,39,7,11,9,31,21,3,8,11,3,15,64,8,153,0,0,0,0,3,0,0,0,5,0,8,26,0,37,17,14,7,0,26,6,0,0,21,4,23,176,8,263,0,0,3,0,0,0,0,0,0,0,10,50,0,68,3,11,0,0,6,0,0,0,4,0,11,209,4,245,3,5,6,0,3,3,0,3,12,0,8,55,0,86,13,10,7,0,0,4,0,4,6,0,8,75,3,109,261,143,79,23,154,128,23,67,170,42,176,1036,63,1810,49,16,11,25,17,23,3,14,47,8,30,47,654,824,1637,1512,501,144,813,717,159,445,1785,216,1350,7341,1227,14100,399,645,120,0
UCL213014,1031,1078,291,82,442,441,117,204,876,102,654,4940,393,8678,8,5,5,0,5,0,0,0,10,0,0,43,3,64,27,12,6,0,10,10,0,5,13,0,18,45,4,113,14,0,0,0,0,0,0,0,3,0,3,15,4,45,48,13,10,11,28,17,4,6,12,6,17,24,12,121,0,4,0,0,0,3,0,0,0,0,3,26,3,30,3,13,4,0,13,4,0,0,8,0,14,456,16,508,0,3,0,0,0,0,0,0,0,0,0,97,5,107,4,12,0,0,17,6,0,0,0,0,9,298,11,347,0,5,0,0,3,0,0,0,0,0,7,14,0,33,3,3,0,0,10,0,0,0,0,0,3,62,3,81,108,73,33,8,80,46,8,19,54,9,78,1084,50,1461,46,14,9,3,14,15,10,10,12,6,13,62,601,735,1177,1167,331,96,540,498,132,231,940,113,748,6087,1048,10869,320,564,85,0
UCL213015,763,1336,237,16,447,288,89,182,1224,75,1008,6902,531,11245,28,28,5,0,29,13,9,8,31,8,20,230,18,346,66,35,26,5,48,38,6,18,49,4,40,197,14,394,14,7,7,0,12,13,0,7,15,0,19,37,0,98,58,29,18,5,47,27,10,13,31,4,53,143,16,314,15,12,5,0,17,9,0,0,12,5,26,132,11,201,0,20,5,0,12,4,0,0,9,0,17,222,7,286,8,0,0,0,3,3,0,0,0,0,0,41,0,50,17,20,3,0,41,11,4,0,12,0,29,783,27,917,8,4,5,0,0,3,0,0,13,0,11,51,3,73,7,8,4,0,12,7,0,0,9,0,19,148,3,202,223,165,70,7,219,123,31,39,168,27,234,1979,96,2882,15,0,5,0,6,0,0,0,7,3,4,28,556,611,999,1498,313,23,680,412,121,226,1396,102,1250,8904,1188,14741,414,762,122,0
UCL213016,2052,2132,645,167,895,902,214,444,2160,231,1619,8803,695,16617,15,16,5,0,12,11,0,3,18,3,12,76,12,151,113,66,23,15,41,49,5,28,53,6,58,177,13,431,48,18,15,3,21,34,5,15,22,9,23,79,4,195,97,35,33,12,54,63,10,18,36,13,55,87,13,321,0,0,0,0,3,0,0,0,3,0,0,13,0,22,9,13,0,0,16,3,0,0,11,0,7,229,11,294,0,4,0,0,0,0,0,0,0,0,0,52,4,63,7,8,6,0,8,0,3,0,0,0,4,256,3,293,10,15,8,0,3,4,3,0,8,0,8,37,0,85,11,11,0,0,3,3,0,0,7,0,9,45,0,80,302,183,91,34,166,171,28,72,163,36,182,1052,57,1936,72,29,17,14,27,35,11,23,39,12,36,123,872,1166,2425,2347,757,212,1092,1104,252,538,2356,280,1836,9982,1620,19712,596,1086,189,4
UCL213017,1766,1662,582,150,767,753,178,389,2027,182,1606,8703,560,15499,35,27,19,0,11,21,0,7,28,3,23,142,5,265,183,75,62,21,96,80,17,50,83,27,127,318,30,779,77,30,22,10,26,45,8,19,41,11,39,101,10,289,42,10,13,5,17,20,0,7,28,6,28,109,3,226,3,3,6,0,3,4,3,0,0,0,4,51,9,67,13,5,4,0,9,3,0,0,14,3,12,186,13,255,3,3,0,3,4,0,0,0,4,0,8,172,3,195,12,13,6,0,15,9,3,0,4,0,19,254,4,323,11,19,3,0,7,8,0,6,15,3,19,80,0,128,10,8,8,0,16,8,0,0,8,0,15,141,4,184,382,193,137,42,200,195,38,82,227,53,288,1550,86,2709,42,23,9,3,27,22,3,10,20,3,21,71,757,932,2188,1875,726,198,993,973,221,490,2281,239,1911,10326,1406,19134,600,904,207,7
UCL213018,1108,727,355,94,464,462,126,323,826,113,651,3945,299,7275,17,9,4,0,3,3,4,3,6,0,14,35,5,72,78,24,22,7,25,30,11,21,22,10,28,100,9,260,16,4,6,0,15,11,5,10,9,0,10,27,6,79,25,6,4,4,19,15,0,0,4,3,6,21,7,82,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,8,0,0,3,3,0,0,0,0,0,90,6,108,0,0,0,0,4,0,0,0,0,0,0,18,0,22,0,5,0,0,3,0,0,0,0,0,0,53,0,62,4,4,0,0,0,0,0,0,0,0,6,9,0,22,0,0,0,0,3,0,0,0,0,0,0,10,0,20,144,49,43,11,83,66,23,44,47,21,60,372,28,730,43,12,14,18,21,29,0,20,24,11,20,64,411,573,1295,791,408,120,566,556,150,382,897,142,739,4381,738,8580,217,290,69,0
