UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL222056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
UCL222058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222059,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,3,0,12
UCL222060,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,7
UCL222061,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,3,0,8
UCL222062,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,0,9,0,0,10
UCL222063,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,10,8,0,19
UCL222064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
UCL222065,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,9,0,12
UCL222066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
UCL222067,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,10
UCL222068,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,3,0,8
UCL222069,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,6,0,15
UCL222070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222071,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,0,0,10
UCL222072,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,0,7
UCL222073,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,13,0,0,13
UCL222074,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,10,0,0,10
UCL222075,0,0,0,0,0,0,0,0,4,3,9,0,12,0,0,0,14,14,3,25
UCL222076,0,0,0,0,0,0,0,0,0,4,5,0,9,0,0,0,9,14,0,23
UCL222077,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,11,0,17
UCL222078,0,0,0,0,0,0,0,0,0,0,8,5,7,0,0,3,11,11,0,17
UCL222079,0,0,0,0,0,0,0,0,0,8,6,0,17,0,0,0,17,0,0,18
UCL222080,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,3,8,0,16
UCL222081,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,5,0,11
UCL222082,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,3
UCL222083,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,10,0,13
UCL222084,0,0,0,0,0,0,0,0,0,3,9,0,10,0,0,0,11,14,0,29
UCL222085,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,5
UCL222086,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,0,13,5,0,14
UCL222087,0,0,0,0,0,0,0,0,0,8,10,4,19,0,0,0,20,5,0,28
UCL222088,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,10,0,13
UCL222089,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,7,7,0,19
UCL222090,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,5,0,3
UCL222091,0,0,0,0,0,0,0,0,0,10,9,3,17,0,0,0,19,4,0,22
UCL222092,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,6
UCL222093,0,0,0,0,0,0,0,0,0,10,7,0,12,0,0,0,15,10,0,24
UCL222094,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,16,8,0,20
UCL222095,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,6
UCL222096,0,0,0,0,0,0,0,0,0,4,0,5,11,0,0,0,11,5,0,14
UCL222097,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,12,4,0,13
UCL222098,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,3,0,0,8
UCL222099,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,9,0,9
UCL222100,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,8,0,16
UCL222101,0,0,0,0,0,0,0,0,0,4,6,0,9,0,0,0,9,0,0,11
UCL222102,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,7,4,0,11
UCL222103,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,6,0,0,6
UCL222104,0,0,0,0,0,0,0,0,0,7,9,0,11,0,0,0,8,4,0,16
UCL222105,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,11
UCL231001,31,81,0,0,3,84,98,93,272,3318,2761,523,6603,163,151,315,6919,4364,182,11459
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
