UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL215060,0,3,14,4,10,12,0,0,0,49,5,3,10,7,10,3,10,0,0,48,80,92,242,237,242,266,80,9,3,1255
UCL215061,0,0,4,4,4,3,0,0,0,22,4,0,5,4,3,10,3,0,0,33,50,54,171,163,150,183,53,6,5,835
UCL215062,0,3,0,6,3,0,3,0,3,31,0,4,6,10,6,0,0,0,0,38,46,69,121,115,117,111,49,0,6,631
UCL215063,0,4,6,6,9,3,5,0,0,21,0,0,6,0,0,3,0,0,0,17,21,42,96,85,76,97,41,4,0,465
UCL215064,4,7,5,7,4,8,0,3,0,35,0,4,14,7,7,9,5,0,0,39,36,81,226,120,167,154,40,25,6,852
UCL215065,6,7,14,9,5,8,5,0,0,67,5,8,14,8,19,13,4,0,0,64,77,123,288,236,294,296,88,4,0,1409
UCL215066,5,0,3,7,5,4,4,0,0,25,3,0,5,5,5,3,0,0,0,22,34,39,108,109,121,143,45,3,4,611
UCL215067,5,0,5,3,0,0,0,0,0,14,0,0,4,3,8,3,0,0,0,19,22,28,99,65,68,81,40,9,0,409
UCL215068,4,0,5,3,11,10,4,0,0,40,4,3,6,4,10,13,9,0,0,35,61,62,144,152,254,305,128,14,0,1122
UCL215069,0,0,0,11,4,8,4,0,0,34,6,0,3,3,10,6,6,3,0,40,81,46,198,330,294,299,138,24,0,1411
UCL215070,0,9,10,10,7,8,0,0,0,45,9,6,18,11,16,8,0,0,0,69,72,120,259,244,226,197,49,3,0,1161
UCL215071,3,4,11,15,17,15,6,0,0,71,0,9,17,15,26,9,0,0,0,75,103,151,278,392,473,392,79,9,0,1877
UCL215072,3,0,0,9,0,0,0,0,0,20,3,11,39,31,17,11,5,0,0,114,28,68,266,245,144,112,41,9,0,908
UCL215073,0,11,12,5,13,8,0,5,0,55,8,4,5,6,11,9,6,0,0,52,73,94,164,165,226,256,71,15,0,1059
UCL215074,7,11,37,26,19,21,5,0,0,137,6,4,28,17,20,26,0,4,0,109,144,178,625,529,549,370,93,11,0,2504
UCL215075,0,5,8,10,3,3,0,0,0,27,0,0,4,10,4,4,0,0,0,21,22,51,117,88,87,111,33,3,0,504
UCL215076,0,3,8,4,7,3,5,0,0,43,0,8,5,0,10,8,0,0,0,29,67,73,195,193,218,207,71,11,0,1026
UCL215077,0,0,3,0,0,5,6,0,0,19,0,0,0,0,4,7,4,0,0,16,31,27,101,152,134,169,60,3,0,678
UCL215078,4,7,11,19,15,7,0,0,0,64,3,3,11,14,9,13,0,0,0,48,42,92,244,223,207,171,37,3,0,1020
UCL215079,0,4,7,4,9,6,3,0,0,29,0,0,8,0,7,9,0,0,0,27,50,75,166,115,173,167,52,17,4,826
UCL215080,5,7,24,5,5,4,0,0,0,49,0,7,12,14,0,7,0,0,0,46,51,95,255,186,163,156,46,5,0,966
UCL215081,0,10,14,12,22,14,3,0,0,81,0,8,13,10,10,13,10,0,0,54,111,133,444,317,395,346,105,18,0,1873
UCL215082,4,4,7,14,3,4,0,0,0,43,4,6,13,14,11,5,3,0,0,55,82,83,204,283,261,172,46,0,0,1128
UCL215083,0,5,10,7,9,16,5,0,0,45,4,3,6,3,7,6,9,0,0,43,51,73,162,148,173,190,58,7,0,862
UCL215084,0,7,7,6,4,3,4,0,0,27,3,3,8,6,4,11,0,0,0,37,37,54,132,90,100,93,39,3,0,533
UCL215085,0,0,3,4,3,0,0,0,0,18,0,0,3,8,3,3,0,0,0,24,34,37,107,159,114,110,27,6,0,578
UCL215086,0,10,13,13,15,12,6,0,0,63,5,4,24,22,12,3,0,0,0,69,107,143,359,390,362,229,69,7,0,1672
UCL215087,4,3,11,5,17,6,3,0,0,46,3,4,13,7,6,5,4,0,0,38,41,62,150,165,194,162,36,5,0,825
UCL215088,0,0,3,4,4,8,0,0,0,27,0,0,7,12,16,6,4,3,0,52,27,41,83,126,217,193,49,6,0,742
UCL215089,0,11,0,8,8,14,4,0,0,34,5,4,3,0,7,9,0,0,0,32,49,75,166,139,161,226,56,9,5,886
