UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL215032,105,22,195,438,699,363,238,703,242,2681
UCL215033,0,0,3,421,631,291,187,422,44,2004
UCL215034,66,10,115,167,309,170,108,310,106,1171
UCL215035,14,7,23,256,409,173,124,217,100,1278
UCL215036,6,0,17,222,262,124,95,181,83,965
UCL215037,8,6,21,189,306,161,105,316,91,1170
UCL215038,53,12,107,254,361,191,169,468,191,1633
UCL215039,35,5,59,224,291,167,147,307,139,1276
UCL215040,34,14,62,165,244,124,111,329,143,1115
UCL215041,109,27,208,506,797,390,336,800,260,3087
UCL215042,0,0,4,205,303,142,121,177,70,1018
UCL215043,55,20,94,479,704,283,226,717,113,2517
UCL215044,14,0,34,256,388,225,157,228,84,1344
UCL215045,101,22,177,596,783,478,372,772,205,3201
UCL215046,5,0,19,279,388,192,160,249,85,1345
UCL215047,19,4,34,325,449,223,186,369,113,1669
UCL215048,7,0,21,308,403,154,140,337,109,1443
UCL215049,29,16,56,193,306,152,102,264,121,1134
UCL215050,3,3,22,435,724,449,298,274,130,2308
UCL215051,72,15,144,651,967,497,395,939,225,3673
UCL215052,32,0,59,208,395,225,141,223,57,1257
UCL215053,92,10,143,610,968,432,310,727,214,3259
UCL215054,74,15,100,237,385,220,164,505,183,1702
UCL215055,3,3,26,219,438,258,144,250,99,1416
UCL215056,20,0,25,214,311,167,130,313,154,1294
UCL215057,41,5,68,246,400,230,164,259,95,1395
UCL215058,28,6,51,198,206,154,105,216,83,960
UCL215059,32,8,69,344,645,320,206,267,118,1901
UCL215060,96,17,163,451,646,297,235,634,131,2396
UCL215061,44,26,88,303,440,217,172,436,145,1721
UCL215062,52,6,72,237,335,144,130,350,91,1292
UCL215063,20,7,40,179,242,141,114,160,46,876
UCL215064,67,17,123,299,365,201,173,503,115,1653
UCL215065,109,19,195,533,814,384,316,837,339,3219
UCL215066,55,16,94,247,369,243,209,416,216,1706
UCL215067,51,8,75,146,206,107,104,240,91,894
UCL215068,109,15,199,500,891,525,354,785,143,3201
UCL215069,75,26,160,499,825,510,305,486,218,2840
UCL215070,80,11,122,402,546,271,257,745,272,2502
UCL215071,18,0,28,606,856,478,299,495,120,2854
UCL215072,32,22,62,339,318,109,92,792,358,2013
UCL215073,93,21,162,382,569,281,276,719,195,2418
UCL215074,15,0,44,819,1152,540,444,772,164,3891
UCL215075,8,3,19,182,259,141,113,235,111,1033
UCL215076,41,8,74,347,568,294,189,435,97,1935
UCL215077,23,11,57,245,412,210,141,262,148,1414
UCL215078,7,0,14,333,431,191,141,309,68,1469
UCL215079,53,29,110,291,421,225,202,532,164,1835
UCL215080,14,3,33,300,460,247,211,432,89,1733
UCL215081,64,16,129,568,922,456,359,925,280,3507
UCL215082,9,3,13,321,478,281,240,283,105,1704
UCL215083,49,20,96,303,394,224,192,470,123,1713
UCL215084,46,7,69,182,277,134,82,306,86,1066
UCL215085,9,0,15,188,257,134,93,176,71,918
UCL215086,41,38,122,574,844,411,354,700,184,3063
UCL215087,8,0,10,252,371,194,160,258,114,1349
UCL215088,31,9,58,287,471,253,159,260,221,1643
UCL215089,38,41,109,273,487,248,203,475,196,1881
UCL215090,13,31,63,291,493,214,175,312,181,1673
UCL215091,7,0,13,254,414,216,135,232,42,1291
UCL215092,84,12,140,670,1230,588,382,691,144,3713
UCL215093,18,0,48,607,993,448,348,785,112,3294
UCL215094,0,0,0,152,226,121,96,153,65,810
UCL215095,8,0,16,158,243,108,102,228,65,905
UCL215096,16,4,38,365,577,256,199,437,101,1932
UCL215097,76,8,109,478,708,366,293,607,209,2656
UCL215098,11,3,33,213,347,149,130,249,41,1127
UCL215099,47,23,110,215,355,180,170,406,161,1494
UCL215100,39,6,61,203,262,165,121,260,90,1097
UCL221001,0,0,5,122,176,79,59,106,30,567
UCL221002,10,0,17,136,216,110,76,151,34,723
UCL221003,0,0,3,86,121,60,61,71,51,458
UCL221004,3,4,7,180,245,134,115,176,31,866
UCL221005,16,5,29,96,144,64,56,145,52,561
UCL221006,3,0,6,116,162,83,55,65,29,503
UCL221007,3,0,4,62,126,69,57,79,42,439
UCL221008,38,34,83,87,166,70,71,147,143,682
UCL221009,0,0,7,97,153,49,72,86,49,499
UCL221010,0,5,6,78,139,75,64,65,40,458
UCL221011,3,0,3,113,141,81,63,81,16,495
UCL221012,3,0,3,71,127,63,27,69,45,399
UCL221013,6,0,7,107,150,59,52,92,41,500
UCL221014,6,6,25,169,259,133,101,139,46,848
UCL221015,0,0,8,87,131,78,50,54,31,434
UCL221016,3,0,4,116,204,99,71,128,28,651
UCL221017,6,0,11,124,223,115,87,160,43,745
UCL221018,20,16,61,141,205,126,98,194,119,881
UCL221019,15,5,31,115,222,119,107,161,39,765
UCL221020,51,7,75,120,166,102,78,236,60,767
UCL221021,0,0,9,136,166,72,54,117,52,593
UCL221022,3,4,10,76,130,69,50,71,29,428
UCL221023,15,4,24,84,119,83,69,198,41,594
UCL221024,14,7,28,136,256,155,107,206,34,893
UCL221025,25,8,50,86,143,85,53,185,71,624
UCL221026,27,11,48,90,172,68,56,185,67,642
UCL221027,10,5,30,119,134,65,92,135,83,630
UCL221028,8,8,29,143,222,124,80,111,79,745
UCL221029,0,0,8,112,170,79,77,85,28,558
UCL221030,0,0,4,67,137,59,53,139,34,487
UCL221031,5,0,5,95,144,71,53,80,24,458
UCL221032,7,0,8,71,141,78,55,85,30,461
UCL221033,29,0,46,75,100,58,47,145,29,461
UCL221034,4,0,3,132,170,85,79,201,17,681
UCL221035,36,16,68,99,145,74,71,212,74,685
UCL221036,4,0,7,113,193,105,78,91,33,607
UCL221037,17,0,30,102,156,87,73,140,37,594
UCL221038,0,0,0,145,187,103,103,104,71,714
UCL221039,0,3,11,105,170,93,63,121,94,636
UCL221040,0,0,4,101,155,86,63,137,31,579
UCL221041,3,0,3,103,158,79,61,82,23,500
UCL221042,4,0,10,76,105,69,44,121,53,464
UCL221043,15,0,17,119,229,146,115,282,87,972
UCL221044,14,4,44,164,273,184,128,154,94,1003
UCL221045,7,0,8,113,199,104,60,96,29,602
UCL221046,3,0,5,242,349,144,104,178,42,1059
UCL221047,0,4,8,115,178,69,57,79,24,520
UCL221048,6,3,15,96,115,70,43,73,25,418
UCL221049,4,0,7,104,159,99,67,69,11,516
UCL221050,13,9,24,115,169,85,70,166,52,661
UCL221051,7,4,21,127,152,88,76,162,47,642
UCL221052,0,0,4,88,128,52,43,78,25,411
UCL221053,7,0,22,89,175,105,105,149,36,663
UCL221054,0,0,11,94,161,101,71,83,35,543
UCL221055,3,0,5,110,125,72,59,73,21,463
UCL221056,15,0,19,53,85,52,43,132,68,433
UCL221057,0,0,8,114,160,85,78,115,50,604
UCL221058,0,0,4,84,110,72,37,49,22,375
UCL221059,3,0,15,125,200,102,69,97,39,633
UCL221060,10,3,27,80,161,100,83,117,27,567
UCL221061,4,0,7,103,212,111,73,113,48,667
UCL221062,28,8,50,126,152,102,108,250,103,845
UCL221063,17,4,31,77,110,52,45,146,44,483
UCL221064,0,0,0,101,152,76,56,116,31,533
UCL221065,31,0,41,79,144,73,40,83,24,442
UCL221066,0,0,0,109,151,78,75,118,41,565
UCL221067,0,0,5,98,95,38,44,135,30,441
UCL221068,0,0,4,69,105,67,50,93,24,409
UCL221069,0,0,6,160,289,95,75,125,60,797
UCL221070,43,26,79,144,209,108,96,221,79,856
UCL221071,14,12,41,146,186,78,87,129,66,703
UCL221072,0,0,0,68,105,65,55,69,31,398
UCL221073,0,0,0,82,116,78,58,62,6,404
UCL221074,3,23,38,115,233,121,79,108,73,727
UCL221075,7,3,21,96,239,132,90,119,44,725
UCL221076,9,8,18,99,265,128,107,142,76,810
UCL221077,40,4,48,98,154,82,60,159,75,628
UCL221078,3,0,3,90,123,60,39,120,20,458
UCL221079,7,3,22,78,131,63,70,161,65,571
UCL221080,5,0,9,108,135,63,54,118,21,504
UCL221081,10,19,33,65,130,59,58,118,57,486
UCL221082,0,0,0,173,178,62,42,226,114,797
UCL221083,59,0,79,138,312,143,90,182,44,914
UCL221084,0,0,17,120,199,105,59,134,42,656
UCL222001,0,0,3,52,72,42,36,33,8,235
UCL222002,8,0,13,70,101,56,49,48,17,337
UCL222003,0,0,3,45,71,38,30,40,24,256
UCL222004,0,0,0,3,3,0,0,11,5,22
UCL222005,0,0,9,36,48,21,22,43,15,186
UCL222006,5,0,5,59,104,55,35,59,16,327
UCL222007,3,0,0,34,58,28,24,22,13,180
UCL222008,0,0,0,54,107,51,33,46,23,318
UCL222009,4,0,7,51,82,38,39,62,25,293
UCL222010,0,0,0,56,91,34,31,72,21,309
UCL222011,0,0,0,70,99,34,18,40,14,279
UCL222012,0,0,0,57,111,46,40,62,27,344
UCL222013,0,0,6,39,62,24,29,43,24,225
UCL222014,0,0,0,59,98,36,41,57,20,314
UCL222015,0,0,0,71,69,56,38,60,16,308
UCL222016,0,0,0,27,69,28,19,66,13,220
UCL222017,5,3,4,26,29,26,22,43,23,171
UCL222018,0,0,0,38,30,8,7,15,16,115
UCL222019,5,0,5,61,87,39,35,79,14,322
UCL222020,0,0,3,51,58,25,25,33,19,208
UCL222021,0,0,4,39,73,41,31,39,28,256
UCL222022,0,0,7,33,79,26,31,48,24,239
UCL222023,4,0,3,69,102,60,45,68,24,361
UCL222024,0,0,0,52,73,19,11,75,70,290
UCL222025,4,0,4,25,47,36,13,31,26,170
UCL222026,0,0,0,55,89,46,24,42,4,256
UCL222027,0,0,0,40,93,39,36,53,27,284
UCL222028,0,0,3,47,67,48,24,42,33,251
UCL222029,7,0,6,22,42,22,28,41,12,169
UCL222030,7,0,6,31,51,36,20,23,17,179
UCL222031,5,0,8,41,57,34,32,61,30,247
UCL222032,0,0,10,56,95,61,28,33,36,308
UCL222033,0,0,0,37,88,39,25,36,50,284
UCL222034,0,0,7,65,69,31,34,61,30,287
UCL222035,3,11,22,38,66,33,59,66,34,287
UCL222036,5,0,10,38,39,22,17,47,35,203
UCL222037,0,0,4,32,69,27,22,32,20,206
UCL222038,0,0,3,32,44,24,17,39,5,173
UCL222039,0,0,0,43,68,44,24,41,24,250
UCL222040,4,0,15,70,104,78,45,63,21,387
UCL222041,4,0,4,44,67,43,24,38,6,228
UCL222042,7,0,5,37,55,33,13,55,24,210
UCL222043,7,5,6,54,90,41,46,89,21,344
UCL222044,0,6,10,45,53,34,36,74,33,278
UCL222045,4,0,4,47,51,46,25,36,25,233
UCL222046,9,6,23,55,85,31,41,84,41,335
UCL222047,0,0,5,31,48,26,32,42,8,180
UCL222048,10,0,12,27,50,33,16,45,5,173
UCL222049,0,0,5,51,78,47,24,34,12,245
UCL222050,3,0,9,64,144,69,58,61,35,430
UCL222051,5,0,12,67,132,61,51,64,38,409
UCL222052,5,0,8,56,102,66,33,62,13,335
UCL222053,8,0,13,58,104,46,45,113,31,394
UCL222054,5,0,6,38,57,41,38,45,3,218
UCL222055,27,4,39,51,78,54,42,122,33,377
UCL222056,0,0,0,44,35,8,0,93,131,313
UCL222057,0,0,0,41,71,38,41,39,27,251
UCL222058,0,0,3,20,24,5,5,42,28,119
UCL222059,0,0,0,35,48,22,17,36,8,171
UCL222060,4,0,9,31,39,30,29,43,17,181
UCL222061,0,0,3,39,58,18,13,49,13,181
UCL222062,30,0,37,79,119,44,31,89,19,379
UCL222063,6,0,14,69,117,72,55,63,22,402
UCL222064,5,0,7,41,46,30,33,46,17,215
UCL222065,4,0,4,27,43,36,18,36,17,168
UCL222066,5,0,13,40,48,35,23,62,24,238
UCL222067,0,0,14,27,58,40,21,36,37,216
UCL222068,0,0,0,30,54,32,15,24,10,171
UCL222069,22,0,29,61,106,43,73,105,28,412
UCL222070,6,0,7,38,48,33,24,38,6,182
UCL222071,0,0,4,67,101,35,38,48,30,315
UCL222072,0,0,5,40,77,51,33,71,47,312
UCL222073,4,0,6,48,55,17,24,28,13,189
UCL222074,4,0,4,35,51,15,6,48,21,179
UCL222075,4,0,7,64,100,52,55,78,31,380
UCL222076,10,3,21,65,72,44,39,123,50,397
UCL222077,9,18,36,71,107,51,58,92,48,423
UCL222078,3,0,7,35,56,28,28,61,20,231
UCL222079,0,0,7,73,141,55,46,41,12,376
UCL222080,9,0,17,44,71,38,42,87,22,311
UCL222081,0,0,6,38,71,42,28,28,20,228
UCL222082,0,0,0,44,59,29,10,28,25,192
UCL222083,6,0,6,46,45,15,23,40,7,181
UCL222084,22,6,26,68,78,51,46,116,52,411
UCL222085,0,0,7,46,91,32,37,46,11,266
UCL222086,0,0,3,63,91,47,38,54,30,318
UCL222087,5,0,17,57,106,68,43,100,26,401
UCL222088,4,0,13,39,56,45,33,63,25,251
UCL222089,0,0,9,38,53,25,17,33,13,174
UCL222090,0,0,4,28,52,30,16,32,34,194
UCL222091,0,0,4,61,98,45,36,59,10,313
UCL222092,0,0,0,55,86,42,22,43,13,260
UCL222093,8,4,9,52,94,50,30,90,46,366
UCL222094,0,0,5,43,77,37,34,72,32,286
UCL222095,0,0,0,28,55,17,19,23,14,155
UCL222096,0,0,3,65,109,59,34,37,23,327
UCL222097,0,3,7,53,77,34,24,48,25,265
UCL222098,0,0,8,45,109,53,29,27,19,285
UCL222099,0,0,0,22,34,14,25,40,23,172
UCL222100,0,0,5,26,57,17,34,61,30,222
UCL222101,0,0,3,31,59,26,32,30,25,213
UCL222102,0,0,0,35,116,45,46,73,28,343
UCL222103,0,0,0,35,57,22,17,37,11,172
UCL222104,5,7,11,25,77,17,23,74,27,246
UCL222105,0,6,5,35,44,27,16,58,16,201
UCL231001,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
UCL279997,0,0,0,0,3,0,0,8,27,38
UCL299994,12,17,29,1148,1118,391,326,1694,3270,7946
