UCL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL212005,203,690,1951,1709,1697,1304,286,34,0,7881,400,252,413,358,308,313,212,52,0,2312,47,33,57,71,67,95,32,3,3,399,23,27,65,52,37,30,10,0,3,244,663,999,2490,2195,2106,1742,539,84,14,10832,36,87,116,90,67,35,3,0,0,432,83,34,29,29,21,28,6,0,0,236,119,128,145,113,84,59,11,0,0,670,782,1126,2640,2314,2191,1802,545,84,14,11501,630,248,387,406,489,732,1596,1252,446,6194,113,133,296,228,204,177,148,119,55,1477,1528,1505,3317,2948,2890,2717,2295,1459,515,19170,89,422,1196,1004,1077,737,142,0,0,4673,504,451,986,1023,902,841,258,14,0,4977,70,58,178,98,87,96,32,0,0,628,12,28,45,47,25,26,6,0,5,192,675,960,2404,2169,2092,1701,440,21,5,10469,18,36,40,31,39,17,0,0,0,184,80,36,62,39,28,28,9,0,0,279,100,78,101,74,66,44,6,0,0,462
UCL212006,171,544,1837,1808,1807,1232,212,20,0,7633,335,283,295,248,227,301,161,20,0,1869,39,46,68,62,61,87,22,0,0,388,0,16,53,45,24,13,0,0,0,153,548,883,2252,2159,2126,1627,397,46,0,10043,12,58,61,55,58,37,5,0,0,290,81,32,19,12,9,26,10,0,0,187,100,92,79,67,66,62,14,0,0,484,649,976,2331,2225,2191,1692,410,47,0,10529,512,156,197,154,211,476,1118,652,222,3714,50,49,128,108,94,68,53,28,18,584,1209,1186,2662,2485,2493,2238,1583,723,242,14818,50,320,1138,983,1072,702,100,4,0,4377,407,440,731,913,891,723,193,15,0,4314,65,75,227,137,90,100,37,0,0,729,5,14,23,25,16,13,6,0,0,102,529,848,2118,2063,2075,1539,330,22,3,9527,19,29,35,18,35,26,0,0,0,157,96,33,39,42,35,32,7,0,0,278,114,58,76,64,63,55,8,0,0,436
UCL212007,54,214,766,1306,1142,589,102,6,0,4176,219,161,139,205,184,213,158,16,0,1300,41,26,44,59,40,48,23,0,0,291,0,8,8,20,12,12,0,0,0,59,310,412,958,1584,1383,861,286,31,0,5822,7,16,13,16,24,20,6,0,0,104,51,14,7,0,4,11,3,0,0,87,59,28,21,18,30,30,9,0,0,192,366,439,982,1603,1408,892,297,32,0,6013,250,48,70,64,109,263,805,455,131,2190,22,21,38,72,75,53,64,33,32,399,640,507,1089,1737,1588,1206,1162,513,165,8611,14,127,516,667,708,296,39,0,0,2359,280,228,375,804,617,444,114,3,0,2870,46,29,120,128,53,50,18,0,0,447,3,7,13,18,13,3,0,0,0,58,347,390,1026,1618,1390,794,170,6,0,5737,0,4,10,11,17,11,0,0,0,62,37,13,6,33,16,21,3,0,0,126,42,15,21,43,34,30,4,0,0,186
UCL212008,99,368,1225,1132,1024,745,128,3,0,4724,274,152,209,163,138,151,110,27,0,1227,36,13,38,47,40,78,22,0,0,278,6,9,19,20,20,4,10,0,0,92,408,548,1484,1362,1224,982,269,37,0,6324,25,44,74,47,41,39,0,0,0,273,49,18,24,7,11,9,5,0,4,131,77,59,97,59,48,50,12,4,4,403,489,604,1582,1420,1276,1035,283,39,4,6727,301,111,136,131,170,448,1034,677,207,3222,41,39,114,89,93,105,81,107,57,718,830,759,1831,1644,1543,1586,1391,820,269,10664,47,248,770,597,604,397,58,3,0,2719,378,263,609,702,576,520,134,6,0,3187,36,32,154,80,62,76,26,0,0,455,5,13,18,19,17,8,3,0,0,83,468,550,1547,1397,1250,1001,215,13,0,6453,9,20,32,23,17,18,6,0,0,113,44,19,29,17,17,17,5,0,0,154,56,35,65,40,35,33,5,0,0,270
UCL212009,182,456,1376,1241,1232,977,172,18,0,5644,348,172,294,210,234,307,216,41,0,1823,40,35,49,52,54,69,33,6,0,341,8,13,37,27,20,9,9,4,0,119,576,676,1761,1527,1538,1365,427,63,0,7925,6,31,33,34,27,24,4,0,0,160,32,19,15,17,14,23,0,0,0,116,43,52,47,51,42,44,4,0,0,278,619,718,1808,1575,1577,1406,432,62,0,8207,285,80,183,157,237,443,1252,847,324,3822,67,56,111,141,102,91,78,69,52,770,972,861,2109,1880,1916,1939,1763,987,375,12795,95,304,784,584,782,544,53,3,0,3149,442,329,704,891,821,812,208,21,0,4235,49,42,159,95,70,101,26,0,0,536,11,9,29,14,15,15,10,5,0,106,598,682,1671,1578,1689,1471,307,28,0,8025,3,13,17,14,17,20,0,0,0,86,48,18,19,25,24,28,3,0,0,170,51,29,37,44,38,46,5,0,0,252
UCL213001,52,173,482,362,391,321,83,3,0,1860,110,64,97,91,89,112,82,22,4,674,20,9,20,11,20,41,16,0,0,129,11,3,16,5,17,7,10,0,0,70,192,252,614,471,515,475,189,30,3,2735,19,19,33,17,15,13,0,0,0,112,9,6,5,3,10,10,5,0,0,54,29,29,38,21,22,20,4,0,0,163,221,282,656,491,535,495,188,30,3,2897,138,60,83,85,102,225,620,522,164,1986,24,24,47,52,49,54,58,72,43,423,376,366,785,627,683,773,862,620,212,5310,27,113,242,210,245,190,41,0,0,1069,135,126,269,274,291,279,95,9,0,1471,17,7,38,23,15,38,11,0,0,157,6,7,14,8,12,11,3,0,0,57,177,259,567,516,569,516,148,11,0,2756,3,13,5,3,11,3,0,0,0,38,13,4,13,8,14,15,6,0,0,73,11,13,21,9,27,19,6,0,0,107
UCL213002,27,62,197,276,340,244,59,9,0,1215,70,49,89,128,113,141,85,14,0,691,8,4,6,20,12,25,15,0,0,87,5,3,8,10,10,4,0,0,0,35,105,118,294,430,476,422,160,25,5,2032,3,3,3,14,9,9,4,0,0,50,13,0,16,7,7,5,8,0,0,44,17,9,15,17,11,10,8,0,0,88,122,123,317,451,486,437,166,25,5,2119,110,61,257,195,156,245,526,358,104,2007,16,10,15,25,48,22,45,50,59,292,251,194,588,668,691,700,738,426,165,4420,12,26,125,157,225,171,32,0,0,743,92,48,158,272,304,281,117,8,0,1271,13,3,21,33,17,30,6,0,0,137,0,0,4,0,7,4,0,0,0,25,119,78,303,467,557,480,155,10,0,2173,0,0,4,12,5,6,0,0,0,28,9,5,4,6,7,10,5,0,0,46,9,8,15,17,15,17,5,0,0,81
UCL213003,76,223,560,459,422,342,72,9,5,2167,107,51,101,71,79,90,75,9,0,594,18,4,14,19,22,30,11,0,0,123,3,0,13,11,14,9,7,0,0,58,206,281,698,567,537,466,169,23,5,2941,10,10,23,12,14,3,3,0,0,75,10,6,0,10,7,5,0,0,0,46,17,13,26,20,25,9,5,0,0,116,224,290,723,587,560,475,170,23,5,3055,109,43,68,77,105,203,472,414,152,1638,9,12,47,30,33,30,38,40,15,265,346,348,839,696,702,705,681,478,173,4960,30,133,271,212,244,187,24,0,0,1101,169,104,250,255,284,259,86,4,0,1416,16,17,47,45,23,34,20,0,0,205,4,8,10,8,4,6,5,4,0,50,225,260,581,523,554,484,136,8,3,2764,0,0,6,3,6,4,0,0,0,26,7,3,4,8,3,7,0,0,0,31,10,5,16,6,9,9,0,0,0,60
UCL213004,63,177,676,556,453,379,74,10,0,2385,107,81,89,88,97,108,89,25,0,686,9,13,21,16,24,32,3,3,0,125,3,6,10,4,14,15,5,6,0,68,180,278,798,670,594,533,171,30,0,3261,4,24,27,13,15,18,0,0,0,104,21,9,0,6,4,3,6,0,0,50,29,32,31,19,22,21,9,0,0,159,208,312,832,686,611,552,181,33,0,3417,172,46,73,71,90,185,615,447,138,1825,14,12,40,44,43,30,39,34,9,270,399,365,948,799,741,771,832,509,143,5516,35,105,379,235,301,182,32,0,0,1259,141,159,352,329,333,290,68,7,0,1671,8,21,79,44,25,46,11,4,0,238,3,5,19,9,12,0,0,0,0,57,185,292,824,619,669,514,107,5,0,3224,7,6,11,6,13,7,0,0,0,47,20,11,12,15,9,13,0,0,0,83,25,20,20,17,21,22,0,0,0,128
UCL213005,52,169,567,633,583,439,90,0,0,2534,150,105,103,111,109,147,119,11,0,862,18,12,29,28,26,39,10,0,0,161,3,8,13,20,8,6,3,0,0,50,225,287,709,785,732,624,218,20,0,3607,8,10,32,23,16,14,4,0,0,113,33,4,11,7,6,10,5,4,0,78,35,20,40,25,27,26,11,4,0,191,264,309,753,810,756,656,231,21,0,3798,181,48,67,60,102,261,890,549,140,2296,12,12,28,25,31,18,35,37,27,229,458,364,849,897,890,934,1154,610,174,6325,13,104,287,332,372,262,35,0,0,1411,177,144,297,394,370,437,113,9,0,1928,25,22,84,43,35,57,11,0,0,272,0,3,10,11,10,3,0,0,0,40,209,268,678,780,786,757,156,6,0,3650,6,3,11,6,11,11,0,0,0,45,37,8,10,16,9,14,3,0,0,103,42,14,24,17,13,22,3,4,0,152
UCL213006,56,107,323,623,625,343,49,9,0,2136,117,76,58,61,60,91,39,13,0,514,18,10,13,27,27,22,6,0,0,117,5,7,3,13,4,9,0,0,0,32,193,198,397,724,709,461,96,20,0,2803,6,4,10,5,16,11,5,0,0,50,16,5,0,0,0,3,5,0,0,40,24,10,9,5,17,18,0,0,0,88,214,207,407,729,728,479,103,15,0,2889,173,34,27,22,33,104,302,232,60,989,13,8,12,21,17,5,9,15,19,121,397,257,447,767,774,592,416,272,80,3999,7,65,210,322,317,169,22,0,0,1123,196,97,145,390,342,195,48,0,0,1421,14,18,31,53,21,25,3,0,0,168,3,5,4,10,5,3,0,0,0,34,224,186,390,775,695,400,79,3,0,2753,0,3,4,3,4,0,0,0,0,23,23,4,0,5,17,10,0,0,0,66,24,9,10,8,25,10,0,0,0,87
UCL213007,84,244,721,606,576,492,98,11,0,2831,149,78,123,92,91,130,106,35,0,805,10,14,19,19,19,30,24,3,0,154,5,7,22,11,12,12,7,4,0,74,249,348,881,732,697,665,233,56,6,3863,8,18,21,11,15,12,0,0,0,84,16,12,11,5,3,7,3,0,0,65,26,35,31,18,18,17,3,0,0,152,271,378,914,752,716,679,235,57,6,4016,197,54,82,98,87,230,559,440,192,1937,34,32,76,41,36,42,47,36,21,358,498,467,1067,888,842,950,843,532,221,6313,28,185,418,284,336,258,43,6,0,1568,174,140,360,387,344,359,111,16,0,1895,20,12,68,35,29,52,14,3,0,232,6,5,12,9,9,5,6,5,0,53,228,345,862,712,725,674,166,27,0,3745,5,3,8,12,6,8,0,0,0,42,13,10,11,20,4,10,0,0,0,75,20,22,25,26,11,13,3,0,0,115
UCL213008,62,219,864,830,757,450,79,0,0,3253,162,96,114,84,75,95,52,5,0,680,16,17,25,28,38,33,13,0,0,170,5,7,21,15,10,9,5,0,0,65,243,335,1022,957,884,583,143,5,3,4169,7,19,25,25,17,18,0,0,0,110,47,10,10,7,7,7,4,0,0,84,57,27,33,29,20,27,0,0,0,198,300,361,1056,984,902,613,147,5,3,4366,186,57,60,45,77,171,511,285,83,1483,11,15,34,27,40,20,24,18,6,193,499,434,1156,1057,1013,800,678,314,93,6040,29,133,482,458,427,212,27,0,0,1759,202,171,368,456,389,220,59,3,0,1867,16,23,83,54,37,35,6,0,0,261,6,7,14,7,4,3,0,0,0,31,249,328,947,975,854,471,94,5,0,3916,4,12,21,10,7,8,0,0,0,63,27,19,16,15,8,3,3,0,0,83,33,30,34,22,13,10,3,0,0,147
UCL213009,61,151,504,554,511,329,52,7,0,2168,113,107,100,88,95,123,55,13,0,692,4,21,14,18,15,23,8,0,0,108,0,0,9,4,15,4,0,0,0,31,181,276,634,665,638,478,116,16,0,3003,4,18,14,13,15,12,0,0,0,69,31,5,10,4,0,7,0,0,0,58,37,21,20,15,17,16,5,0,0,134,216,299,653,676,654,492,120,16,0,3127,148,49,53,33,51,167,458,355,104,1431,7,7,22,13,32,17,23,27,24,173,374,352,734,728,739,688,603,402,128,4738,13,93,287,268,313,213,9,0,0,1200,183,137,301,350,335,260,70,4,0,1641,15,18,60,52,26,33,5,0,0,210,5,3,12,7,5,3,0,3,0,40,208,250,660,681,681,510,90,9,0,3093,6,9,7,9,3,7,0,0,0,41,34,7,10,11,13,7,0,0,0,82,31,18,22,9,19,13,0,0,0,119
UCL213010,56,183,558,373,396,384,63,0,0,2022,93,70,110,89,89,122,69,11,0,637,7,3,22,27,22,32,15,0,0,124,10,5,25,19,15,7,0,4,0,87,166,261,714,504,514,548,144,11,3,2868,20,39,59,29,45,52,7,0,0,253,20,12,22,10,7,10,9,0,0,97,41,50,81,39,53,63,16,0,0,345,209,312,794,544,567,608,160,11,3,3216,183,83,142,142,204,391,807,518,194,2647,32,39,83,68,80,74,78,43,19,508,424,434,1012,754,848,1074,1040,576,216,6372,22,127,265,212,262,168,30,5,0,1084,127,139,284,284,306,288,85,11,0,1522,15,17,54,29,29,32,8,0,0,177,6,7,23,3,9,10,6,0,0,61,175,287,620,526,601,496,129,12,4,2845,10,14,20,19,24,22,3,0,0,107,19,10,25,18,20,16,0,0,0,116,29,20,51,35,44,36,3,0,0,223
UCL213011,24,122,383,304,362,282,57,0,0,1528,91,82,126,102,82,98,53,7,0,643,3,7,17,15,20,19,13,3,0,95,4,14,20,16,13,13,4,5,0,86,123,230,551,435,471,412,125,12,0,2358,18,42,55,45,55,29,9,0,0,260,21,10,20,11,8,13,3,0,0,76,43,53,79,50,64,43,12,0,0,334,162,274,622,486,540,454,137,12,0,2688,165,81,116,172,235,385,655,428,147,2377,36,54,110,95,99,69,69,38,31,606,359,412,851,749,875,905,858,475,176,5672,17,84,186,166,216,149,18,0,0,839,115,138,224,202,215,222,48,5,0,1167,16,13,45,17,24,22,10,0,0,154,3,8,13,5,5,6,7,0,0,48,147,248,470,386,470,404,86,3,0,2213,7,21,31,19,15,23,5,0,0,109,23,15,21,18,20,23,7,0,0,128,31,32,50,37,41,39,6,0,0,239
UCL213012,55,138,276,316,383,316,64,5,0,1543,95,42,71,63,72,109,69,11,0,544,8,0,11,13,24,39,5,7,0,108,0,5,12,7,5,8,0,0,0,48,160,195,369,406,484,465,144,22,4,2249,8,20,19,11,17,20,3,0,0,98,12,0,9,6,0,3,7,0,0,40,28,22,33,16,15,19,5,0,0,138,184,215,399,425,503,486,149,22,4,2388,111,35,40,60,124,257,548,324,109,1612,20,19,34,33,45,40,53,27,11,287,315,272,479,514,667,788,754,366,125,4278,21,70,155,143,220,146,29,0,0,789,121,71,167,219,236,229,79,6,0,1138,16,11,38,23,29,40,3,0,0,163,0,8,4,9,0,3,0,3,0,25,160,157,367,393,488,424,121,10,3,2116,4,3,14,7,6,0,0,0,0,44,3,7,12,14,11,9,3,0,0,59,14,10,26,20,21,12,3,0,0,103
UCL213013,61,161,564,512,450,391,86,8,0,2228,106,99,109,82,68,89,61,18,5,639,14,4,28,10,27,31,6,6,0,121,4,13,19,6,3,8,3,0,0,60,181,276,714,615,546,521,153,30,5,3047,15,22,22,15,18,17,6,0,0,104,16,10,10,9,5,4,3,0,0,65,25,28,35,28,30,23,10,0,0,166,206,306,748,638,574,545,160,35,5,3216,173,59,77,79,124,232,576,406,140,1863,20,30,65,49,60,35,51,24,23,364,405,390,892,768,758,810,786,461,170,5439,25,111,285,256,313,195,27,4,0,1216,150,114,311,314,302,267,80,7,0,1539,19,10,45,26,28,33,11,4,0,172,8,9,9,4,11,5,0,0,0,48,195,237,647,607,652,503,121,9,4,2974,6,13,21,11,13,5,0,0,0,72,19,7,11,19,22,7,3,0,0,85,25,19,40,27,34,12,3,0,0,158
UCL213014,64,196,517,429,346,328,74,4,0,1954,89,54,78,73,48,81,64,15,0,496,8,0,17,9,4,16,7,0,0,75,0,4,18,5,4,9,3,0,0,51,157,259,633,520,404,438,144,18,3,2580,6,10,17,12,15,14,0,0,0,70,11,6,6,7,3,8,0,0,0,33,18,12,18,20,17,16,0,0,0,104,177,275,656,536,425,456,144,18,3,2689,92,41,52,53,78,129,334,275,135,1168,27,16,57,31,36,41,32,33,17,288,291,328,768,617,533,627,509,330,150,4152,24,138,293,222,219,181,27,0,0,1098,106,103,253,253,189,204,76,10,0,1190,14,13,75,16,13,21,8,0,0,159,7,0,8,10,9,4,0,0,0,42,150,259,624,509,420,411,109,14,0,2491,0,0,3,7,8,3,4,0,0,27,4,8,4,3,0,5,0,0,0,26,4,11,15,12,8,3,4,0,0,51
UCL213015,74,209,814,820,598,404,70,0,0,2992,123,96,114,119,93,82,42,9,0,671,8,13,28,18,19,24,9,0,0,123,3,10,29,32,11,9,4,0,0,91,199,331,980,985,720,512,126,6,0,3875,4,26,32,22,17,12,3,0,0,117,27,7,6,3,3,4,0,0,0,52,36,32,42,24,18,11,3,0,0,168,240,368,1025,1006,741,529,134,6,0,4042,197,69,95,89,95,188,300,145,31,1205,29,27,57,50,38,28,18,16,0,269,460,464,1174,1145,875,747,451,171,31,5514,7,114,420,406,352,183,26,0,0,1507,161,144,379,348,265,178,40,0,0,1509,18,17,72,57,21,29,8,0,0,224,3,12,25,9,6,3,0,0,0,65,192,282,895,819,644,397,74,0,0,3306,9,6,23,17,13,7,0,0,0,80,18,12,35,23,6,14,0,0,0,110,28,17,58,41,24,26,0,0,0,187
UCL213016,83,236,682,701,684,552,115,9,3,3072,205,91,151,136,143,154,121,19,0,1019,29,10,23,18,22,32,19,4,0,160,9,13,18,17,8,15,3,0,0,84,330,348,874,878,855,751,263,35,5,4335,8,9,24,17,17,24,4,0,0,107,26,18,11,4,9,11,3,0,0,74,37,28,34,22,24,31,3,0,0,175,361,368,912,897,877,786,263,37,5,4511,219,65,112,104,166,306,771,652,236,2620,26,31,63,51,46,52,70,53,43,437,608,461,1084,1057,1088,1142,1106,745,281,7572,34,164,435,380,488,313,53,0,0,1869,252,192,385,436,441,443,126,8,0,2275,39,18,95,41,32,59,24,3,0,314,9,9,5,4,10,10,3,0,0,46,332,380,923,867,975,821,203,11,0,4510,3,8,7,10,16,8,0,0,0,48,28,6,21,11,13,13,0,0,0,90,33,17,25,23,29,14,0,0,0,141
UCL213017,64,266,858,737,703,509,103,5,0,3249,143,106,142,125,110,156,113,27,7,927,18,15,35,20,31,35,15,4,0,176,0,7,20,25,6,10,6,0,0,74,230,395,1057,910,851,709,237,38,4,4427,17,21,31,12,25,21,0,0,0,120,29,5,10,9,8,16,0,0,0,75,45,24,43,17,24,36,0,0,0,193,278,424,1096,923,874,744,239,43,4,4621,220,65,100,96,123,256,725,563,179,2329,12,27,58,66,47,38,43,31,23,358,510,519,1260,1084,1045,1037,1016,636,206,7308,18,174,484,387,426,286,44,4,0,1832,230,200,419,433,439,369,107,12,0,2208,34,34,101,45,32,59,14,0,0,324,4,7,11,13,10,6,3,0,0,50,281,416,1018,880,902,721,174,14,0,4408,9,9,11,9,19,14,0,0,0,68,33,14,29,12,11,12,0,0,0,116,36,24,42,24,24,21,0,0,0,179
UCL213018,43,93,239,239,307,233,45,7,0,1209,79,34,42,43,38,75,59,18,0,382,8,4,8,8,12,25,12,0,0,81,6,4,3,12,7,8,0,0,0,32,139,136,295,301,360,336,118,24,0,1709,0,0,8,7,4,11,0,0,0,45,0,0,0,0,3,6,4,0,0,10,8,0,10,11,10,16,4,0,0,58,141,134,304,310,369,352,123,24,0,1769,68,24,27,34,61,166,557,437,132,1502,14,6,28,13,15,31,31,50,21,213,223,166,363,362,444,549,708,513,150,3484,8,50,122,117,178,120,18,0,0,608,72,59,138,172,183,185,53,3,0,864,14,3,33,23,22,26,14,0,0,141,0,4,8,6,3,4,0,0,0,25,96,116,294,321,381,331,89,5,0,1636,0,0,5,3,0,0,0,0,0,13,5,3,7,3,3,5,0,0,0,27,8,4,11,6,6,7,0,0,0,39
UCL214001,38,93,290,185,198,198,46,5,0,1052,52,37,72,48,38,50,34,7,0,347,9,0,17,10,18,17,5,0,0,75,7,5,4,6,0,3,3,0,0,30,99,147,380,249,261,276,87,11,0,1509,3,19,11,7,13,7,0,0,0,63,4,0,3,0,0,0,0,0,0,15,7,24,8,8,15,6,0,0,0,78,104,163,394,255,278,287,88,13,0,1586,74,20,43,57,63,143,346,215,97,1065,6,9,35,17,22,24,22,23,8,167,186,199,468,332,367,448,456,252,102,2820,15,76,171,109,163,106,28,0,0,672,71,63,123,128,127,143,40,0,0,709,9,10,26,17,10,20,13,0,0,103,5,4,7,4,7,6,0,0,0,33,96,147,328,254,315,278,83,7,0,1518,3,7,12,4,5,3,0,0,0,35,4,3,4,3,3,5,0,0,0,26,7,9,12,7,11,7,0,0,0,57
UCL214002,30,84,313,324,298,131,28,0,0,1207,62,39,25,42,42,37,18,4,0,278,7,4,14,9,15,12,0,0,0,66,0,0,5,4,6,0,0,0,0,23,100,128,357,387,360,181,51,9,0,1565,6,4,3,0,6,4,0,0,0,24,13,0,0,0,4,3,0,0,0,23,22,8,3,0,7,5,0,0,0,45,118,134,362,387,369,185,53,9,0,1613,96,7,14,26,22,66,184,110,34,555,4,5,9,26,16,4,6,12,5,94,216,154,391,438,403,255,244,123,39,2263,8,32,129,159,165,55,13,0,0,554,84,45,155,240,160,88,19,0,0,791,8,7,50,33,14,12,3,0,0,134,0,0,9,0,4,0,0,0,0,11,101,92,343,432,343,150,33,0,0,1494,0,0,0,4,0,6,0,0,0,16,6,0,5,6,5,3,0,0,0,30,11,3,4,9,9,7,0,0,0,51
UCL214003,39,104,316,256,279,284,86,7,0,1369,73,44,58,47,49,91,70,9,0,448,8,8,11,16,11,25,7,5,0,91,8,11,9,5,15,13,7,5,0,63,124,164,396,330,355,414,171,17,0,1970,5,8,17,4,10,12,8,0,0,59,7,0,5,4,5,5,8,0,0,38,11,11,17,9,23,21,11,0,0,94,133,176,417,333,370,427,180,22,0,2065,101,39,56,53,77,180,464,404,153,1530,32,22,46,39,36,51,46,39,30,334,264,239,515,425,485,665,686,471,184,3928,19,73,156,130,200,160,31,0,0,767,71,72,147,178,173,238,75,10,0,970,15,3,45,23,19,22,13,0,0,143,3,3,15,9,10,8,0,0,0,51,113,161,359,330,406,431,123,14,0,1933,0,0,8,5,3,0,0,0,0,20,7,8,6,4,8,10,3,0,0,41,14,5,13,7,10,12,3,0,0,66
