UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL214020,4,10,8,3,12,18,3,4,0,50,8,8,9,3,11,11,5,12,11,75,137,362,239,235,454,456,104,272,47,2305
UCL214021,9,17,17,8,25,28,11,11,0,118,8,12,10,8,28,40,9,10,22,136,141,347,294,213,477,554,165,289,39,2519
UCL214022,18,34,27,13,37,25,0,12,0,157,12,27,10,7,14,17,3,4,25,119,206,612,431,341,560,537,125,220,57,3077
UCL215001,0,3,5,0,5,0,0,0,0,15,0,0,10,0,0,11,0,0,0,25,43,147,96,71,79,126,33,79,0,679
UCL215002,6,9,3,3,0,7,4,4,0,41,3,6,3,5,8,3,0,10,6,45,64,166,111,87,197,185,35,124,18,985
UCL215003,0,4,3,5,12,7,3,3,0,34,0,16,7,5,8,6,0,3,12,55,114,295,211,129,220,231,81,152,21,1449
UCL215004,0,0,0,0,0,0,0,3,0,10,0,0,3,0,4,4,0,0,3,21,68,150,81,65,106,78,27,57,12,651
UCL215005,0,0,0,0,0,4,0,3,0,13,0,0,4,0,0,8,3,0,13,24,22,49,55,38,54,67,16,58,12,376
UCL215006,5,4,7,3,12,7,0,3,0,32,0,4,4,7,8,15,4,0,4,45,77,150,139,91,246,261,75,134,11,1187
UCL215007,3,9,4,3,3,6,0,0,0,23,0,11,4,3,3,4,4,5,4,36,77,207,146,92,171,221,64,127,24,1129
UCL215008,0,5,6,0,5,8,0,10,0,33,0,3,3,0,8,4,0,0,11,28,49,143,108,69,213,219,61,153,12,1035
UCL215009,0,5,0,0,0,3,0,0,0,10,3,7,0,0,3,0,0,0,0,14,16,57,59,25,51,63,21,40,8,335
UCL215010,0,9,8,4,7,4,0,10,0,48,0,7,10,4,4,12,6,6,3,43,62,212,168,88,178,237,69,186,20,1222
UCL215011,0,0,0,0,5,0,0,0,0,13,0,7,4,0,8,0,0,4,7,27,33,83,40,29,69,97,27,43,13,437
UCL215012,0,6,4,3,4,9,0,11,0,30,0,10,3,0,9,7,0,3,5,41,114,248,216,140,256,260,67,169,21,1506
