UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL221061,38,7,0,0,0,0,0,50
UCL221062,49,8,4,0,0,0,5,62
UCL221063,35,5,6,0,0,0,0,41
UCL221064,90,8,3,0,0,0,0,98
UCL221065,43,0,0,0,0,0,0,43
UCL221066,75,9,8,0,0,0,0,98
UCL221067,48,10,3,0,0,0,0,68
UCL221068,49,0,4,0,0,0,0,57
UCL221069,86,4,3,0,0,0,0,94
UCL221070,74,4,3,0,0,0,0,82
UCL221071,57,8,4,0,0,0,0,73
UCL221072,40,7,4,0,0,0,4,57
UCL221073,65,6,3,0,0,0,0,80
UCL221074,53,4,3,5,0,0,0,61
UCL221075,56,0,0,0,0,0,0,63
UCL221076,46,4,5,0,0,0,4,54
UCL221077,32,9,6,0,0,0,0,46
UCL221078,51,14,4,0,0,0,0,68
UCL221079,35,4,0,0,0,0,0,38
UCL221080,42,3,0,0,0,0,0,50
UCL221081,38,0,3,0,0,0,0,42
UCL221082,89,11,5,0,0,0,0,105
UCL221083,92,3,3,0,0,0,0,108
UCL221084,90,13,7,0,0,0,0,110
UCL222001,40,0,3,0,0,0,0,37
UCL222002,49,3,0,0,0,0,0,51
UCL222003,45,0,0,0,0,0,0,47
UCL222004,0,0,0,0,0,0,0,0
UCL222005,24,6,0,0,0,0,0,25
UCL222006,36,9,6,0,0,0,0,48
UCL222007,17,4,0,0,0,0,0,20
UCL222008,25,4,0,0,0,0,0,28
UCL222009,22,5,0,0,0,0,0,30
UCL222010,39,6,0,0,0,0,0,56
UCL222011,50,3,5,0,0,0,0,50
UCL222012,40,0,5,0,0,0,0,43
UCL222013,14,0,7,0,0,0,0,16
UCL222014,54,6,0,0,0,0,0,64
UCL222015,46,0,4,0,0,0,0,56
UCL222016,17,3,0,0,0,0,0,21
UCL222017,8,0,0,0,0,0,0,9
UCL222018,8,0,0,0,0,0,0,9
UCL222019,39,5,0,0,0,0,0,47
UCL222020,21,0,0,0,0,0,0,25
UCL222021,19,4,0,0,0,0,0,29
UCL222022,19,0,0,0,0,0,0,31
UCL222023,64,0,0,0,0,0,0,69
UCL222024,8,0,0,0,0,0,0,3
UCL222025,16,0,0,0,0,0,0,19
UCL222026,40,4,0,0,0,0,0,45
UCL222027,31,3,0,0,0,0,0,37
UCL222028,33,7,4,0,0,0,0,43
UCL222029,13,0,0,0,0,0,0,14
UCL222030,17,0,0,0,0,0,0,21
UCL222031,25,0,0,0,0,0,0,27
UCL222032,22,0,0,0,0,0,0,22
UCL222033,27,5,0,0,0,0,0,31
UCL222034,27,6,0,0,0,0,0,33
UCL222035,15,6,0,0,0,0,0,19
UCL222036,19,6,3,0,0,0,0,19
UCL222037,24,0,0,0,0,0,0,28
UCL222038,33,0,0,0,0,0,0,38
UCL222039,40,0,0,0,0,0,0,43
UCL222040,42,4,0,0,0,0,0,46
UCL222041,23,6,3,0,0,0,0,28
UCL222042,14,0,0,0,0,0,0,19
UCL222043,32,5,4,4,0,0,0,41
UCL222044,16,4,0,0,0,0,0,23
UCL222045,34,3,0,0,0,0,0,34
UCL222046,21,3,0,0,0,0,0,23
UCL222047,10,0,0,0,0,0,0,13
UCL222048,13,0,0,0,0,0,0,14
UCL222049,18,0,0,0,0,0,0,22
UCL222050,38,3,0,0,0,0,0,46
UCL222051,26,3,0,0,0,0,0,29
UCL222052,39,6,5,0,0,0,0,55
UCL222053,31,3,0,0,0,0,0,44
UCL222054,31,4,0,0,0,0,0,32
UCL222055,17,8,0,0,0,0,0,27
UCL222056,4,0,0,0,0,0,0,4
UCL222057,38,3,0,0,0,0,0,41
UCL222058,4,0,0,0,0,0,0,4
UCL222059,18,3,0,0,0,0,0,21
UCL222060,16,0,4,0,0,0,0,19
UCL222061,24,4,0,0,0,0,0,28
UCL222062,24,3,0,0,0,0,0,22
UCL222063,34,7,0,0,0,0,0,38
UCL222064,31,3,4,0,0,0,0,35
UCL222065,18,3,0,0,0,0,0,19
UCL222066,13,0,0,0,0,0,0,26
UCL222067,12,0,0,0,0,0,0,19
UCL222068,23,4,0,0,0,0,0,29
UCL222069,31,0,0,0,0,0,0,39
UCL222070,11,0,0,0,0,0,0,20
UCL222071,44,4,0,0,0,0,0,47
UCL222072,20,0,3,0,0,0,0,21
UCL222073,22,0,0,0,0,0,0,25
UCL222074,13,0,0,0,0,0,0,20
UCL222075,37,5,0,3,0,0,3,47
UCL222076,33,3,0,0,0,0,0,39
UCL222077,31,0,3,0,0,0,0,34
UCL222078,20,4,4,0,0,0,0,18
UCL222079,52,4,5,0,0,0,0,60
UCL222080,22,0,4,0,0,0,0,21
UCL222081,20,0,0,0,0,0,0,20
UCL222082,19,0,0,0,0,0,0,21
UCL222083,26,0,0,0,0,0,0,30
UCL222084,22,5,6,0,0,0,0,24
UCL222085,26,0,0,0,0,0,0,33
UCL222086,40,4,3,0,0,0,0,51
UCL222087,28,0,4,0,0,0,0,33
UCL222088,5,3,0,0,0,0,0,14
UCL222089,16,0,0,0,0,0,0,17
UCL222090,25,0,0,0,0,0,0,27
UCL222091,44,4,0,0,0,0,0,56
UCL222092,49,5,7,0,0,0,0,59
UCL222093,21,0,0,0,0,0,0,22
UCL222094,23,0,4,0,0,0,0,27
UCL222095,17,3,0,0,0,0,0,21
UCL222096,54,3,6,0,0,0,0,58
UCL222097,40,3,5,0,0,0,0,42
UCL222098,43,7,0,0,0,0,0,48
UCL222099,22,0,3,0,0,0,0,27
UCL222100,16,0,0,0,0,0,0,16
UCL222101,24,0,4,0,0,0,0,28
UCL222102,36,3,3,0,0,0,0,47
UCL222103,32,0,0,0,0,0,0,32
UCL222104,21,0,0,0,0,0,0,25
UCL222105,10,6,4,0,0,0,0,19
UCL231001,43739,3361,1886,405,69,21,315,49784
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
