UCL_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
UCL212005,0,35,65,177,84,51,17,0,0,426,1516,2869,2278,3751,2044,2010,1693,1019,336,17519,0,3,0,11,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,3,5,6,0,0,3,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,41,9,13,9,3,0,80,0,0,0,4,0,5,3,8,0,17,0,5,6,8,3,0,0,0,0,26,0,5,18,40,35,67,75,71,12,339,0,0,3,17,3,5,0,0,0,33,0,0,0,4,3,3,0,0,0,12,0,0,0,3,5,4,13,17,0,44,0,5,4,4,0,6,15,14,6,53,0,0,0,12,0,0,5,0,0,16,5,54,88,597,109,52,34,3,4,944,0,0,4,18,3,0,0,0,0,24,0,11,22,14,4,3,0,0,0,58
UCL212006,0,0,0,0,0,0,0,0,0,0,1143,2315,2128,4106,1931,1619,1044,419,131,14833,0,0,10,4,6,0,0,0,0,24,0,0,0,6,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,5,0,0,18,0,0,0,0,4,3,4,0,0,11,0,4,5,19,9,9,3,4,3,56,0,0,0,9,0,12,3,7,0,39,0,5,0,0,0,0,6,3,0,17,0,13,22,108,96,157,137,83,27,635,0,0,0,4,7,4,0,4,0,25,0,0,0,0,3,0,0,0,0,7,0,0,0,8,10,13,29,10,10,74,0,0,0,0,4,0,8,5,6,22,0,0,0,6,0,0,4,0,0,11,0,18,19,191,42,28,16,11,3,321,0,0,0,6,8,4,0,0,3,18,0,0,0,10,0,0,0,0,0,10
UCL212007,0,0,0,0,0,0,0,0,0,0,760,1714,1012,2313,1265,983,856,376,92,9373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,3,12,11,5,0,0,0,38,0,0,0,5,4,0,0,0,0,7,0,0,0,5,0,0,4,0,0,13,0,0,0,0,0,3,0,7,0,6,0,0,0,5,0,0,4,0,0,4,0,23,28,90,97,57,77,30,13,418,0,0,0,6,0,0,0,0,0,6,0,0,0,16,4,0,0,0,0,24,0,3,0,10,14,3,11,7,6,49,0,0,0,0,0,3,6,0,0,9,0,0,3,0,0,0,0,0,0,10,0,0,0,7,5,4,3,3,0,18,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
UCL212008,0,0,0,0,0,0,0,0,0,0,770,1635,1415,2826,1259,1243,1004,523,150,10809,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,5,4,0,0,24,0,0,0,0,5,0,0,0,0,5,0,6,5,23,5,8,3,0,4,46,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,8,0,6,5,42,30,73,76,49,21,306,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,7,23,14,4,52,0,0,0,0,0,0,7,10,0,15,0,0,0,3,0,0,0,0,0,5,10,7,11,107,20,3,9,4,0,166,0,4,0,3,0,0,5,4,0,17,0,0,0,3,0,0,0,0,0,3
UCL212009,0,0,0,0,0,0,0,0,0,5,838,1843,1590,3100,1645,1681,1480,804,298,13273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,16,0,0,0,0,0,0,0,0,0,4,0,13,15,80,0,4,3,0,0,116,0,0,0,0,0,0,0,5,0,6,0,0,3,3,4,0,0,0,0,10,0,7,9,32,31,56,61,46,15,257,0,0,0,0,4,0,0,0,0,10,0,4,0,5,0,0,0,0,0,13,0,0,0,3,4,3,6,0,5,20,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,0,0,0,0,4,0,7,12,65,9,3,5,0,0,106,0,4,0,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
UCL213001,0,0,0,0,0,0,0,0,0,0,377,696,655,1096,562,619,669,446,144,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,0,0,7,22,23,28,36,53,16,181,0,0,0,0,0,0,0,0,0,8,0,4,5,0,0,0,0,0,0,6,0,0,0,0,0,4,13,8,4,24,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,6,0,4,0,31,6,0,0,0,0,46,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4
UCL213002,0,0,0,0,0,0,0,0,0,0,228,503,383,963,500,564,555,298,105,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,5,0,5,0,25,27,47,48,43,9,211,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,4,9,4,3,25,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,24,3,0,4,0,0,31,0,0,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6
UCL213003,0,3,0,17,0,0,0,0,0,16,325,675,621,1145,579,618,575,384,137,5061,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,52,11,0,3,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,7,5,19,24,15,0,83,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL213004,0,0,0,0,0,0,0,0,0,0,458,951,687,1461,586,611,569,321,105,5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,13,0,0,0,0,0,0,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12,28,42,45,80,59,11,287,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,13,5,37,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,5,0,0,5,25,0,0,6,3,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL213005,0,0,0,0,0,0,0,0,0,0,442,959,762,1484,697,708,816,386,106,6359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,15,0,0,0,0,0,3,5,5,0,14,0,0,0,0,0,3,3,0,0,6,0,5,14,40,63,76,122,90,22,433,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,3,18,12,3,44,0,0,0,0,6,0,9,4,0,15,0,0,0,0,0,0,0,0,0,5,0,4,3,24,5,0,0,3,0,42,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL213006,0,0,0,0,0,0,0,0,0,0,360,934,617,1030,640,458,287,177,56,4558,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,10,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,4,0,0,3,0,4,6,29,34,44,46,36,6,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,4,6,8,3,28,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,8,0,0,0,18,0,4,3,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
UCL213007,0,0,0,0,0,0,0,0,0,0,450,988,862,1618,738,828,718,444,184,6825,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,8,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,9,17,20,13,0,81,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,11,51,8,7,3,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
