UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL212005,15787,41590,1979,3270,96,198,2076,3472,41,54,13,16,0,0,0,0,4,7,58,81,24,33,44,69,5,7,205,299,285,410,31,75,18240,45624,1375,..,19618,45624
UCL212006,12243,33775,400,606,183,360,580,966,1024,1632,0,0,0,0,0,0,5,14,1033,1650,0,0,0,0,0,0,0,3,0,3,4,12,13864,36401,649,..,14507,36401
UCL212007,7272,19959,272,469,304,653,581,1122,16,20,30,46,8,4,0,0,0,0,49,73,8,9,0,9,0,0,0,0,6,19,12,23,7922,21195,2135,..,10055,21195
UCL212008,9326,23123,442,650,52,100,496,754,974,1337,0,0,0,0,0,0,3,5,975,1338,5,8,59,89,15,21,3,9,75,125,17,35,10889,25374,936,..,11828,25374
UCL212009,10876,26779,1245,1899,339,633,1584,2539,564,801,54,73,0,0,0,0,0,4,622,874,5,12,22,36,0,0,4,13,38,61,19,41,13131,30295,1167,..,14305,30295
UCL213001,4776,11270,695,1008,29,61,723,1066,73,113,0,0,0,0,0,0,0,0,70,113,3,4,14,17,0,0,10,23,26,45,11,23,5602,12520,571,..,6176,12520
UCL213002,4144,8849,218,291,15,22,234,314,4,3,0,0,0,0,0,0,3,4,11,11,7,4,0,0,0,0,14,34,21,39,7,10,4414,9230,426,..,4837,9230
UCL213003,4380,10559,534,707,11,14,549,721,0,0,0,0,0,0,0,0,4,8,0,12,5,7,23,25,12,19,13,19,50,75,8,14,4985,11383,449,..,5439,11383
UCL213004,4971,12942,286,436,5,8,291,444,219,320,0,0,0,0,0,0,0,0,219,320,0,0,73,91,0,0,0,0,70,90,4,8,5553,13802,366,..,5917,13802
UCL213005,6142,14997,228,322,33,62,259,380,32,45,0,0,0,0,0,0,5,3,29,48,0,0,0,0,0,0,4,0,4,0,0,0,6438,15427,534,..,6971,15427
UCL213006,3284,9736,364,627,20,36,381,661,12,29,13,30,0,0,0,0,0,9,33,62,0,0,0,0,0,0,0,0,0,0,0,7,3698,10470,200,..,3896,10470
UCL213007,5991,14132,340,451,6,11,345,466,366,490,0,0,0,0,0,0,0,0,366,490,5,9,6,8,0,0,3,11,11,25,6,14,6719,15120,625,..,7347,15120
UCL213008,5048,13906,566,1068,31,54,595,1126,48,52,0,0,0,0,0,0,0,0,48,52,0,3,0,0,0,0,0,0,0,3,10,19,5695,15103,269,..,5969,15103
UCL213009,4305,11186,314,454,7,18,320,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4635,11663,224,..,4855,11663
UCL213010,5565,12712,876,1145,25,35,906,1186,246,306,0,0,0,0,0,0,0,0,244,305,29,37,6,4,0,0,0,0,33,46,6,7,6756,14264,719,..,7469,14264
UCL213011,4908,11285,316,399,49,95,366,503,424,614,0,0,0,0,0,0,6,0,424,614,0,0,0,0,0,0,6,11,3,8,7,3,5712,12416,636,..,6345,12416
UCL213012,3815,8717,359,509,35,53,399,564,45,68,6,7,0,0,0,0,0,12,55,78,16,19,6,13,0,0,13,15,32,44,7,9,4303,9422,565,..,4863,9422
UCL213013,4838,11625,354,522,95,122,445,638,371,497,25,49,0,0,0,0,0,0,396,547,18,16,18,27,0,0,5,8,35,54,17,28,5733,12891,635,..,6367,12891
UCL213014,3509,8731,363,579,6,14,368,590,331,532,7,10,0,0,0,0,3,4,336,542,6,9,8,18,0,9,8,15,20,44,9,22,4246,9929,409,..,4654,9929
UCL213015,4423,13339,278,568,69,155,349,722,6,6,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,4,14,4780,14083,256,..,5037,14083
UCL213016,6928,16481,1070,1485,55,89,1123,1574,0,0,0,0,0,0,0,0,5,3,5,3,11,20,6,4,0,0,13,27,28,48,9,18,8087,18131,614,..,8707,18131
UCL213017,6358,16412,351,498,35,48,389,550,313,462,0,0,0,0,0,0,5,12,318,474,12,12,173,254,0,0,8,12,189,284,8,17,7264,17726,471,..,7733,17726
UCL213018,2891,6871,440,645,32,59,469,707,8,16,0,0,0,0,0,0,0,0,13,18,29,42,33,42,0,3,6,15,62,102,0,5,3437,7695,708,..,4147,7695
UCL214001,2625,5921,291,394,8,18,293,410,4,27,6,7,0,0,0,0,0,0,11,35,5,8,11,16,0,0,3,17,17,40,7,17,2950,6423,308,..,3257,6423
UCL214002,1873,5675,83,160,0,0,83,160,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,5836,72,..,2028,5836
UCL214003,3580,7810,582,809,3,8,583,814,4,5,0,0,0,0,0,0,0,0,9,3,22,26,0,4,0,0,7,28,34,51,7,17,4212,8697,467,..,4678,8697
UCL214004,2037,4576,175,262,0,0,175,262,3,3,0,0,0,0,0,0,0,0,3,3,3,13,12,22,0,0,0,5,16,34,5,14,2235,4897,280,..,2516,4897
UCL214005,353,865,42,63,0,0,42,63,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,405,941,40,..,445,941
UCL214006,2377,5246,249,370,77,154,331,521,77,109,24,29,6,5,0,0,0,0,111,150,0,8,0,7,0,0,0,3,7,19,9,29,2836,5959,3315,..,6152,5959
UCL214007,1704,4515,143,306,10,12,151,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1862,4842,92,..,1949,4842
UCL214008,3698,8284,258,351,6,12,265,355,90,108,0,0,0,0,0,0,4,0,90,111,8,11,4,10,0,0,3,10,16,36,10,15,4072,8806,480,..,4554,8806
UCL214009,3003,7452,265,394,14,40,285,435,13,17,0,0,0,0,0,0,0,0,11,17,0,0,35,52,0,0,3,6,42,60,4,14,3348,7979,288,..,3632,7979
UCL214010,2256,5121,169,236,64,112,227,351,6,13,3,4,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,2493,5486,1785,..,4276,5486
UCL214011,2780,7424,387,584,22,46,408,627,23,38,0,0,0,0,0,0,0,4,23,35,14,31,0,0,0,0,0,5,14,34,6,10,3231,8133,196,..,3426,8133
UCL214012,2165,5097,321,423,0,0,317,424,12,25,0,0,0,0,0,0,0,0,12,23,10,7,6,3,0,0,0,0,18,16,3,4,2519,5563,231,..,2752,5563
UCL214013,1761,4260,239,363,15,28,257,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,53,34,53,0,0,2052,4700,247,..,2304,4700
UCL214014,2254,4955,268,395,44,74,311,465,33,53,4,3,0,0,0,0,3,4,43,61,24,37,48,82,0,0,6,7,85,125,24,43,2719,5652,838,..,3552,5652
UCL214015,2197,5064,61,77,9,30,71,99,30,35,0,0,0,0,0,0,3,4,32,43,8,9,11,12,0,0,0,3,22,25,0,0,2317,5236,211,..,2532,5236
UCL214016,3025,6512,330,444,15,26,343,471,59,73,0,0,0,0,0,0,0,0,61,79,29,39,0,0,0,0,23,52,52,87,13,20,3496,7164,355,..,3848,7164
UCL214017,1967,4292,163,253,35,63,198,317,33,45,0,0,0,0,0,0,0,4,39,49,0,0,7,12,0,0,5,11,10,25,4,4,2214,4686,1589,..,3809,4686
UCL214018,3650,7640,177,255,102,206,281,454,13,28,3,8,0,0,0,0,0,0,15,37,10,17,0,3,3,3,0,0,17,29,11,22,3973,8183,3004,..,6979,8183
UCL214019,2205,5022,237,311,4,5,239,314,0,0,0,0,0,0,0,0,3,0,3,0,9,12,0,0,0,0,10,14,12,20,6,13,2465,5385,222,..,2688,5385
UCL214020,2141,4755,91,121,0,3,89,118,136,188,0,0,0,0,0,0,0,0,139,188,11,17,0,0,0,0,5,13,18,33,3,9,2384,5105,294,..,2681,5105
UCL214021,1658,4507,205,375,39,88,243,466,29,52,0,0,0,0,0,0,3,12,33,61,0,0,0,0,0,0,0,0,0,0,0,9,1936,5038,108,..,2045,5038
UCL214022,3321,7304,218,282,0,0,218,282,19,22,0,0,0,0,0,0,4,4,22,23,0,0,102,139,0,0,0,6,108,144,12,20,3675,7775,409,..,4088,7775
UCL215001,555,1215,0,0,5,10,5,11,8,7,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,4,6,4,6,0,0,571,1242,1032,..,1605,1242
UCL215002,962,2095,81,104,0,0,81,104,0,0,0,0,0,0,0,0,0,8,0,8,7,11,41,52,0,0,7,9,58,74,4,4,1106,2286,122,..,1229,2286
UCL215003,1152,2597,38,64,36,88,81,154,6,14,0,0,0,0,0,0,0,0,6,14,7,11,0,5,0,0,0,0,8,23,6,7,1244,2785,1559,..,2804,2785
UCL215004,486,1014,51,82,26,55,74,131,25,43,0,3,0,0,0,0,0,0,30,44,9,11,3,12,0,0,4,5,11,27,8,7,609,1223,827,..,1434,1223
UCL215005,439,961,11,22,3,7,19,28,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,3,8,3,12,467,1006,46,..,519,1006
UCL215006,974,2342,60,95,3,0,66,96,0,0,0,0,0,0,0,0,3,0,3,0,8,8,0,0,0,0,3,14,11,15,0,0,1055,2458,103,..,1154,2458
UCL215007,900,2251,21,35,9,20,33,53,0,0,4,5,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,5,4,937,2319,420,..,1358,2319
UCL215008,640,1880,3,11,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,1892,26,..,669,1892
UCL215009,374,834,3,9,0,0,3,9,5,4,0,0,0,0,0,0,0,0,5,4,9,11,0,0,0,0,0,0,9,14,0,0,389,856,55,..,439,856
UCL215010,653,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,657,2077,40,..,693,2077
UCL215011,501,998,14,15,0,0,14,15,3,3,0,0,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,4,3,5,0,0,521,1019,75,..,600,1019
UCL215012,1292,2820,63,90,0,0,63,90,10,19,0,0,0,0,0,0,0,3,15,15,0,5,0,0,0,0,9,19,12,28,15,23,1392,2990,155,..,1544,2990
UCL215013,1244,3976,0,0,9,20,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,3994,48,..,1299,3994
UCL215014,434,1173,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,433,1172,18,..,452,1172
UCL215015,858,1946,108,175,9,15,116,186,20,31,0,0,0,0,0,0,6,5,24,39,0,3,0,5,0,0,0,8,4,7,3,9,1007,2198,481,..,1489,2198
UCL215016,1510,3763,71,92,0,4,71,98,0,6,0,0,0,0,0,0,4,14,4,13,0,0,0,0,0,0,0,7,3,4,3,3,1589,3888,98,..,1692,3888
UCL215017,859,2460,17,28,0,0,17,29,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,7,883,2505,53,..,933,2505
UCL215018,1158,2523,80,109,10,12,91,118,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,4,0,0,1252,2649,199,..,1451,2649
UCL215019,721,1727,4,14,81,211,87,222,5,10,0,0,0,0,3,3,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,818,1966,898,..,1717,1966
UCL215020,566,1115,0,0,0,0,0,0,36,49,0,0,0,0,0,0,0,0,36,49,0,0,0,0,0,0,3,9,7,8,0,9,612,1183,119,..,726,1183
UCL215021,470,1047,12,25,0,0,12,25,11,13,0,0,0,0,0,0,0,0,11,13,5,3,8,6,0,0,9,14,15,29,0,5,513,1114,37,..,556,1114
UCL215022,1767,4119,0,0,17,45,17,45,48,67,0,0,0,0,0,0,0,0,48,67,0,0,0,0,0,0,0,9,0,9,0,0,1828,4237,155,..,1984,4237
UCL215023,560,1279,53,73,0,0,53,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,3,11,0,6,623,1371,78,..,695,1371
UCL215024,767,1566,46,70,0,0,46,70,4,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,3,4,0,3,823,1649,102,..,925,1649
UCL215025,435,962,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,440,969,155,..,596,969
UCL215026,480,987,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,484,995,409,..,891,995
UCL215027,478,972,9,12,0,0,9,12,8,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,5,490,994,75,..,564,994
UCL215028,1026,2267,8,21,3,0,11,24,89,103,0,0,0,0,0,0,0,3,89,102,11,18,0,6,0,0,14,22,26,43,0,0,1152,2437,100,..,1251,2437
UCL215029,1544,3080,96,149,35,50,134,196,0,5,0,0,0,0,0,0,0,7,3,13,3,3,0,0,0,0,6,10,10,14,3,15,1693,3317,781,..,2473,3317
UCL215030,570,1164,0,0,0,6,0,6,22,26,0,0,0,0,0,0,0,0,22,26,0,0,0,5,0,0,3,7,0,12,4,9,604,1209,108,..,709,1209
UCL215031,537,1140,8,14,0,0,8,14,24,29,0,0,0,0,0,0,0,0,24,29,4,10,0,0,0,0,4,3,7,18,0,0,571,1195,91,..,663,1195
UCL215032,1256,2650,84,113,0,0,84,113,12,16,0,0,0,0,0,0,0,0,12,16,0,3,0,0,0,0,0,0,0,3,0,0,1353,2781,150,..,1507,2781
UCL215033,886,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,2782,37,..,923,2782
UCL215034,494,962,30,45,0,0,30,45,61,69,0,0,0,0,0,0,0,0,61,69,8,7,5,10,0,0,0,0,10,13,0,3,597,1093,59,..,657,1093
UCL215035,517,1484,6,3,0,0,6,3,35,48,0,0,0,0,0,0,0,4,36,48,0,0,0,0,0,0,0,0,0,0,0,0,557,1540,33,..,592,1540
UCL215036,382,1087,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,3,15,20,0,0,0,0,0,0,0,0,0,0,0,0,397,1110,16,..,416,1110
UCL215037,570,1227,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,9,39,40,16,17,0,0,0,0,49,57,0,0,628,1294,119,..,743,1294
UCL215038,774,1512,30,36,0,4,27,42,6,9,0,0,0,0,0,0,0,0,6,9,24,28,0,0,0,3,0,6,25,34,0,3,836,1600,140,..,977,1600
UCL215039,563,1265,3,6,0,0,3,6,41,54,0,0,0,0,0,0,0,0,41,54,0,0,0,0,0,0,0,9,4,9,0,0,614,1339,58,..,666,1339
UCL215040,518,1082,25,30,0,0,25,30,3,6,0,0,0,0,0,0,0,0,3,6,0,4,4,5,0,0,0,0,9,5,0,0,553,1126,52,..,608,1126
UCL215041,1394,3132,129,163,0,6,133,170,0,4,0,0,0,0,0,0,0,0,0,4,15,19,0,0,0,0,5,16,23,31,5,7,1557,3350,181,..,1738,3350
UCL215042,444,1159,9,12,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,450,1175,44,..,497,1175
UCL215043,1025,2942,4,10,5,8,10,26,121,194,0,0,0,0,0,0,0,0,125,196,0,0,0,0,0,0,4,6,4,6,0,0,1157,3164,69,..,1228,3164
UCL215044,609,1558,35,51,0,0,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,652,1613,48,..,705,1613
UCL215045,1411,3337,145,199,7,6,150,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,3,7,13,16,0,4,1575,3562,162,..,1736,3562
UCL215046,639,1591,8,9,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,649,1609,36,..,685,1609
UCL215047,712,1952,10,17,0,0,10,17,31,55,0,0,0,0,0,0,0,0,31,55,0,0,0,0,0,0,0,0,0,0,0,0,757,2028,50,..,810,2028
UCL215048,607,1610,51,96,0,0,51,94,30,47,0,0,0,0,0,0,0,0,30,47,4,7,0,0,0,0,0,0,4,7,3,14,698,1770,49,..,743,1770
UCL215049,399,878,6,9,38,73,35,82,12,14,3,10,3,9,0,0,0,0,27,33,0,0,4,8,0,0,4,13,7,18,5,4,476,1014,1089,..,1566,1014
UCL215050,986,2698,8,14,0,7,5,20,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,11,0,0,0,0,12,20,0,4,1008,2743,122,..,1129,2743
UCL215051,1702,3934,0,0,0,0,0,0,135,167,0,0,0,0,0,6,0,3,134,181,0,0,0,0,0,0,11,19,11,19,0,11,1848,4143,187,..,2035,4143
UCL215052,662,1276,12,14,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,1291,151,..,831,1291
UCL215053,1451,3335,117,182,4,4,120,187,6,15,0,0,0,0,0,0,0,0,6,15,5,6,12,14,0,4,0,0,24,26,0,6,1603,3569,193,..,1798,3569
UCL215054,704,1644,58,80,4,0,62,85,22,33,0,0,0,0,0,0,0,0,26,33,15,30,0,0,0,3,0,0,19,34,3,0,805,1794,90,..,894,1794
UCL215055,664,1417,9,11,5,11,13,19,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,4,5,4,6,686,1452,305,..,990,1452
UCL215056,630,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1401,58,..,691,1401
UCL215057,640,1533,42,47,0,0,42,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,1586,50,..,729,1586
UCL215058,484,1020,9,11,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,495,1036,70,..,571,1036
UCL215059,911,1957,8,17,0,0,9,18,4,13,0,0,0,0,0,0,0,7,3,14,0,0,0,3,0,0,6,14,9,17,3,6,944,2018,336,..,1279,2018
UCL215060,1077,2432,102,154,0,0,102,154,6,4,0,0,0,0,0,0,0,0,6,4,9,11,0,0,0,0,3,7,10,18,0,12,1191,2617,164,..,1355,2617
UCL215061,759,1666,70,106,0,0,69,106,0,0,0,0,0,0,0,0,0,0,0,0,8,10,24,37,0,0,3,18,36,62,4,6,869,1842,146,..,1014,1842
UCL215062,589,1335,37,51,0,0,37,51,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,20,3,5,0,6,21,28,0,3,652,1409,66,..,719,1409
UCL215063,376,975,11,16,0,0,11,16,12,17,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,399,1010,34,..,429,1010
UCL215064,722,1673,50,68,3,5,58,71,8,11,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,3,788,1763,108,..,893,1763
UCL215065,1377,3084,185,248,0,0,185,248,11,15,0,0,0,0,0,0,0,0,6,18,12,17,0,0,0,0,7,7,15,28,5,5,1589,3374,179,..,1768,3374
UCL215066,818,1672,37,45,0,0,37,45,22,25,0,0,0,0,0,0,0,0,22,25,3,3,0,0,0,0,5,5,3,3,0,0,881,1754,137,..,1020,1754
UCL215067,411,848,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,6,0,0,431,873,83,..,518,873
UCL215068,1399,2838,153,229,31,61,185,286,12,26,5,0,0,0,0,0,0,0,20,27,5,4,22,35,0,0,0,5,31,34,0,3,1632,3192,476,..,2109,3192
UCL215069,1201,2810,102,170,26,44,125,210,4,12,0,0,0,0,0,0,0,0,4,12,5,6,5,4,0,0,0,0,8,8,4,6,1344,3043,712,..,2055,3043
UCL215070,1034,2482,113,175,3,7,115,180,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,12,0,0,0,0,11,24,0,4,1162,2693,93,..,1253,2693
UCL215071,1155,3254,72,125,8,15,81,146,3,3,0,0,0,0,0,0,4,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,1248,3407,71,..,1313,3407
UCL215072,591,1848,14,27,4,12,20,40,45,84,0,0,0,0,0,0,0,0,45,84,27,57,5,13,0,0,6,17,35,86,4,23,699,2084,62,..,762,2084
UCL215073,1096,2395,68,93,0,0,68,93,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,30,0,0,0,0,28,38,4,3,1185,2534,115,..,1302,2534
UCL215074,1670,4603,43,71,0,0,43,71,10,20,0,0,0,0,0,0,3,9,13,27,0,0,0,0,0,0,0,0,0,0,5,9,1729,4716,94,..,1821,4716
UCL215075,486,1102,13,22,0,0,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,7,0,0,502,1128,42,..,548,1128
UCL215076,876,2004,67,79,0,0,63,83,0,3,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,8,26,13,37,0,4,951,2120,120,..,1075,2120
UCL215077,547,1245,0,7,40,77,41,82,71,111,0,0,3,12,0,0,0,0,75,125,0,0,0,0,0,0,0,0,0,0,5,8,670,1459,291,..,959,1459
UCL215078,647,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,1843,23,..,669,1843
UCL215079,914,1848,47,62,0,0,47,62,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,16,6,17,0,0,969,1935,151,..,1126,1935
UCL215080,837,2039,0,0,0,0,0,0,29,39,0,0,0,0,0,0,0,0,29,39,10,6,0,0,0,0,5,10,10,16,0,0,871,2093,72,..,947,2093
UCL215081,1532,3661,113,163,0,0,113,163,0,3,0,0,4,3,0,0,0,0,6,10,0,0,3,3,0,0,21,33,20,34,3,0,1673,3868,167,..,1835,3868
UCL215082,692,2119,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,2120,11,..,708,2120
UCL215083,763,1722,64,95,0,0,64,95,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,6,14,7,7,0,5,843,1843,108,..,951,1843
UCL215084,442,1071,54,71,0,0,54,71,0,0,0,0,0,0,0,0,0,0,0,0,7,15,17,31,0,3,5,11,26,48,0,0,522,1196,37,..,558,1196
