UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL222048,5,31,36,12,5,88,0,87
UCL222049,0,53,44,17,4,122,0,122
UCL222050,4,71,90,37,9,205,3,205
UCL222051,3,89,75,17,11,204,5,208
UCL222052,0,42,70,24,20,155,6,161
UCL222053,10,57,79,29,15,186,5,189
UCL222054,0,30,44,25,3,99,0,105
UCL222055,5,81,61,16,16,175,3,182
UCL222056,11,23,3,0,0,41,3,41
UCL222057,3,34,42,27,12,116,3,120
UCL222058,7,20,5,0,0,29,0,36
UCL222059,0,25,38,9,6,79,0,82
UCL222060,4,39,39,11,5,93,6,96
UCL222061,0,13,26,10,17,70,0,72
UCL222062,6,60,71,22,16,174,6,181
UCL222063,5,58,79,30,13,185,0,188
UCL222064,0,16,28,25,13,80,0,80
UCL222065,4,23,36,12,9,84,0,84
UCL222066,6,36,44,13,8,111,0,112
UCL222067,4,37,32,10,14,89,3,96
UCL222068,0,22,22,12,17,68,0,68
UCL222069,8,83,63,28,16,195,9,201
UCL222070,4,35,41,12,3,100,0,100
UCL222071,0,49,44,41,16,146,5,147
UCL222072,5,59,64,13,0,148,6,147
UCL222073,4,34,24,13,5,85,4,86
UCL222074,0,15,23,10,12,65,7,75
UCL222075,0,30,67,39,30,162,4,167
UCL222076,17,73,53,35,7,187,10,194
UCL222077,10,75,77,43,21,222,0,222
UCL222078,6,57,34,16,9,128,7,129
UCL222079,4,49,76,27,16,168,5,173
UCL222080,6,54,57,17,14,146,6,146
UCL222081,0,45,48,13,5,112,0,112
UCL222082,0,37,30,16,4,90,0,94
UCL222083,0,19,32,14,18,75,0,81
UCL222084,13,84,64,32,10,196,6,205
UCL222085,4,56,47,15,6,130,0,132
UCL222086,0,26,47,37,22,124,4,129
UCL222087,6,81,79,29,8,213,5,214
UCL222088,9,42,47,18,10,128,3,133
UCL222089,3,18,33,19,12,91,0,88
UCL222090,3,19,24,20,7,78,5,78
UCL222091,5,54,58,27,17,154,0,156
UCL222092,0,12,54,31,12,112,0,110
UCL222093,11,96,66,14,10,190,11,197
UCL222094,3,51,50,29,9,139,3,139
UCL222095,0,22,28,19,8,73,3,73
UCL222096,0,29,65,32,18,143,6,148
UCL222097,9,17,39,18,22,101,5,106
UCL222098,4,31,57,18,10,123,3,124
UCL222099,0,21,34,12,13,80,0,80
UCL222100,3,53,39,8,9,112,8,117
UCL222101,0,36,43,6,12,97,0,99
UCL222102,5,69,58,16,12,165,0,170
UCL222103,0,10,38,17,7,70,0,70
UCL222104,0,31,50,22,8,113,4,118
UCL222105,0,27,25,25,15,90,0,92
UCL231001,1726,26602,56675,32354,29281,146641,2573,149218
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
