UCL_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
UCL212005,0,31,..,882,148,1031,11,1041,..,316,61,381,3,384,..,12,0,12,0,12,..,3,0,4,0,4,..,6,0,7,0,7,..,59,14,73,0,73,..,216,19,234,4,238,..,25,22,46,0,46,..,8,0,8,0,8,..,14,0,14,0,14,..,0,0,0,0,0,..,94,3,97,0,97,..,7,0,4,0,4,..,105,6,110,0,110,..,32,0,37,0,37,..,129,4,132,0,137,..,133,52,191,0,190,..,403,67,467,4,475,..,30,7,29,0,29,..,75,3,81,0,80,..,62,18,79,0,82,..,135,53,183,0,183,..,33,15,43,4,47,..,901,329,1235,24,1259,..,4131,1141,5267,63,5332,..,108,33,135,1639,1774,18409,4234,1170,5410,1699,25520,35658,..,..,..,..,35658,..,47,0,50,0,50,..,993,355,1350,18,1369,..,65,0,65,5,72,..,70,33,107,3,108,..,338,210,546,12,554
UCL212006,0,15,..,352,36,386,0,392,..,152,14,167,0,165,..,26,0,26,0,26,..,6,0,6,0,6,..,14,0,19,0,19,..,17,0,20,0,20,..,20,0,18,0,23,..,3,4,9,0,9,..,29,4,37,0,37,..,23,0,23,0,26,..,15,0,23,4,23,..,14,0,14,0,14,..,21,0,25,0,26,..,58,0,59,0,59,..,20,0,20,0,20,..,91,7,92,0,92,..,22,0,22,0,22,..,187,5,193,0,193,..,70,7,75,0,72,..,9,0,9,0,9,..,42,3,53,0,53,..,22,4,25,0,25,..,52,6,63,0,58,..,276,31,303,4,311,..,1761,188,1949,20,1971,..,53,0,53,668,716,16795,1812,188,1999,689,19482,32991,..,..,..,..,32991,..,53,0,53,0,53,..,132,9,139,6,145,..,5,0,4,0,4,..,53,18,71,0,71,..,152,40,195,0,195
UCL212007,0,0,..,8,0,8,0,8,..,40,4,47,0,47,..,20,3,17,0,24,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,9,0,9,..,8,0,15,0,15,..,40,3,38,0,39,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,8,0,8,..,3,0,3,0,3,..,15,0,13,0,17,..,5,0,5,0,5,..,0,0,0,0,0,..,28,0,29,0,31,..,39,3,38,0,41,..,0,0,0,0,0,..,11,0,8,0,8,..,0,0,0,0,0,..,8,0,9,0,9,..,104,8,115,3,115,..,536,39,568,15,585,..,24,3,29,462,495,10657,555,44,598,474,11729,20948,..,..,..,..,20948,..,40,0,40,0,46,..,15,0,13,0,13,..,0,0,0,0,0,..,13,0,13,0,13,..,17,17,32,0,32
UCL212008,0,10,..,157,11,170,0,178,..,87,15,99,0,99,..,4,9,13,0,13,..,3,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,71,7,75,0,75,..,3,0,3,0,3,..,8,3,14,0,14,..,3,0,11,0,11,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,50,0,50,0,50,..,9,0,14,0,12,..,46,0,46,0,46,..,14,0,17,0,17,..,126,0,127,0,129,..,25,3,28,0,28,..,20,0,20,0,20,..,27,3,30,0,30,..,3,4,3,0,3,..,22,4,29,0,29,..,155,12,166,13,179,..,955,117,1068,12,1080,..,44,3,43,802,845,12430,997,117,1110,816,14356,23977,..,..,..,..,23977,..,31,0,34,0,34,..,33,0,33,0,33,..,3,0,3,0,3,..,45,15,60,0,56,..,115,22,142,0,139
UCL212009,0,6,..,116,3,120,3,124,..,15,0,15,3,18,..,17,0,17,0,16,..,5,0,4,0,4,..,11,3,16,0,16,..,0,0,0,0,0,..,20,0,20,0,20,..,3,0,3,0,3,..,9,0,9,0,9,..,5,0,5,0,5,..,7,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,55,0,53,0,54,..,13,0,16,0,16,..,35,0,35,0,34,..,23,4,22,0,22,..,120,7,127,0,129,..,21,0,26,0,25,..,11,0,13,0,13,..,37,11,45,0,45,..,4,0,3,0,10,..,32,26,54,0,56,..,144,12,148,3,156,..,774,138,912,30,934,..,63,3,63,883,953,15229,837,140,979,911,17118,29167,..,..,..,..,29167,..,58,0,57,0,57,..,59,0,58,0,58,..,15,0,18,0,18,..,27,4,26,0,26,..,150,156,301,8,312
UCL213001,0,9,..,52,0,55,0,55,..,32,3,33,0,33,..,4,0,5,0,5,..,0,0,0,0,0,..,7,0,10,0,10,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,3,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,32,7,32,0,32,..,3,0,0,0,0,..,32,0,37,0,37,..,4,4,8,0,14,..,74,5,83,0,83,..,8,0,8,0,8,..,13,0,15,0,13,..,7,9,20,0,20,..,0,0,0,0,0,..,18,11,32,0,32,..,37,14,44,4,49,..,342,75,418,5,426,..,23,11,28,511,542,6276,362,81,448,518,7238,11926,..,..,..,..,11926,..,17,0,19,0,19,..,16,0,16,0,16,..,8,4,10,0,9,..,9,3,14,0,14,..,41,18,60,0,60
UCL213002,0,0,..,13,0,11,0,11,..,9,0,11,0,11,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,9,0,9,..,7,0,3,0,3,..,6,0,6,0,6,..,19,3,20,0,20,..,12,0,13,0,14,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,44,7,45,0,45,..,183,18,204,3,205,..,13,0,15,411,423,4733,199,18,220,411,5361,8891,..,..,..,..,8891,..,3,0,3,0,3,..,4,0,10,0,10,..,0,0,0,0,0,..,11,0,11,0,11,..,15,6,16,0,16
UCL213003,0,0,..,31,3,35,0,35,..,23,0,19,0,21,..,3,0,3,0,3,..,0,0,0,0,0,..,7,3,10,0,10,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,11,3,17,0,17,..,12,9,17,0,17,..,42,5,46,0,46,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,10,0,15,..,0,0,0,0,0,..,7,4,4,0,4,..,62,15,69,3,73,..,289,125,411,7,418,..,12,0,13,282,299,5590,303,119,431,290,6310,10835,..,..,..,..,10835,..,5,0,5,0,5,..,28,8,31,0,35,..,0,0,0,0,0,..,9,0,12,0,12,..,129,159,283,0,286
UCL213004,0,0,..,44,5,52,0,52,..,18,0,18,0,18,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,10,0,10,..,0,0,5,0,5,..,10,4,10,0,10,..,3,0,0,0,0,..,10,0,6,0,6,..,16,0,16,0,16,..,3,0,4,0,4,..,9,0,9,0,9,..,3,0,3,0,3,..,35,0,40,0,40,..,14,0,18,0,18,..,7,0,7,0,7,..,9,0,6,0,6,..,4,0,4,0,4,..,6,0,9,0,9,..,90,9,97,0,101,..,355,45,395,4,396,..,12,0,15,325,337,6999,366,47,412,331,7743,13362,..,..,..,..,13362,..,34,3,36,0,36,..,7,5,16,3,13,..,8,0,8,0,8,..,11,6,11,0,11,..,42,17,52,0,52
UCL213005,0,0,..,22,0,22,0,22,..,38,8,43,0,40,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,10,4,15,0,15,..,0,0,0,0,0,..,11,0,11,0,11,..,8,0,5,0,5,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,15,0,15,..,3,0,3,0,3,..,17,0,17,0,17,..,10,0,10,0,10,..,43,0,46,0,46,..,13,8,20,0,20,..,3,0,3,0,3,..,13,0,13,0,13,..,6,0,6,0,6,..,7,0,7,0,7,..,76,12,91,5,92,..,390,45,432,6,436,..,23,0,21,248,269,7681,409,47,460,251,8392,14897,..,..,..,..,14897,..,17,0,17,0,17,..,8,7,16,0,16,..,0,0,0,0,3,..,11,0,16,0,16,..,35,3,34,0,37
UCL213006,0,0,..,34,3,37,5,41,..,38,0,45,0,45,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,12,0,12,0,12,..,21,0,23,0,20,..,6,0,6,0,6,..,12,0,12,0,12,..,8,0,7,0,7,..,5,6,8,0,8,..,37,8,42,0,46,..,277,22,295,0,303,..,24,0,24,160,187,5161,299,22,319,168,5645,10129,..,..,..,..,10129,..,17,0,17,0,17,..,15,0,14,0,14,..,3,0,3,0,3,..,11,0,11,0,11,..,22,3,27,0,27
UCL213007,0,3,..,86,6,92,3,92,..,36,0,37,0,37,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,37,4,38,0,38,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,6,0,6,0,6,..,27,0,27,0,27,..,13,0,13,0,13,..,54,0,54,0,54,..,15,0,15,0,15,..,8,0,7,0,7,..,5,0,5,0,5,..,4,0,10,0,10,..,12,0,13,0,13,..,58,32,90,0,93,..,404,54,463,12,470,..,29,4,31,406,443,7510,436,61,498,413,8424,14537,..,..,..,..,14537,..,17,0,17,0,17,..,12,0,14,0,14,..,0,0,0,0,0,..,10,5,15,0,17,..,41,6,51,0,52
UCL213008,0,0,..,172,18,184,7,187,..,28,3,29,0,29,..,10,0,14,0,14,..,0,0,6,0,6,..,3,0,9,0,9,..,24,0,28,0,28,..,3,0,4,0,4,..,6,0,6,0,6,..,9,0,9,0,9,..,12,0,8,0,8,..,11,0,9,0,9,..,4,0,8,0,8,..,26,3,28,0,30,..,47,5,50,0,50,..,4,0,4,0,9,..,91,0,88,0,88,..,13,0,15,0,15,..,151,6,154,0,161,..,15,6,21,0,21,..,9,5,12,0,12,..,23,9,31,0,31,..,10,0,10,0,10,..,20,8,31,0,34,..,106,15,128,6,133,..,791,92,879,13,895,..,26,0,29,211,241,6921,816,91,908,225,8058,13550,..,..,..,..,13550,..,9,0,9,0,9,..,28,6,32,0,32,..,0,0,0,0,0,..,21,0,20,5,26,..,43,5,47,0,46
UCL213009,0,0,..,60,5,62,0,62,..,53,5,56,0,54,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,8,0,8,0,8,..,11,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,5,15,0,15,..,0,0,0,0,0,..,25,0,25,0,25,..,6,0,6,0,6,..,46,5,49,0,49,..,7,0,7,0,7,..,3,0,3,0,3,..,10,0,10,0,10,..,6,0,6,0,6,..,8,0,8,0,8,..,69,0,76,0,80,..,404,37,439,3,444,..,13,0,13,230,242,5676,417,37,449,232,6359,11048,..,..,..,..,11048,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,13,0,13,0,13,..,58,16,77,0,79
UCL213010,0,0,..,5,0,9,0,9,..,24,8,29,0,29,..,0,0,0,0,0,..,10,5,8,0,8,..,0,4,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,3,10,0,10,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,8,0,8,..,12,0,16,0,16,..,30,0,30,0,31,..,0,0,0,0,0,..,35,6,41,0,41,..,3,0,3,0,3,..,72,6,75,3,77,..,8,0,12,0,12,..,0,0,0,0,0,..,11,4,14,0,14,..,0,0,0,0,0,..,6,10,8,0,8,..,133,31,161,6,161,..,412,97,510,11,515,..,27,4,29,568,598,6990,442,94,536,577,8109,13611,..,..,..,..,13611,..,0,0,0,0,0,..,27,4,30,0,32,..,3,0,3,0,3,..,12,6,18,0,18,..,32,20,55,0,55
UCL213011,0,4,..,52,8,61,0,61,..,135,38,171,0,174,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,39,0,37,0,37,..,0,0,0,0,0,..,14,0,16,0,16,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,6,5,5,0,5,..,35,3,32,0,32,..,4,0,4,0,4,..,41,0,43,0,43,..,14,0,14,0,14,..,93,4,97,0,97,..,18,3,18,0,17,..,5,0,5,0,5,..,10,6,11,0,11,..,0,0,3,0,3,..,5,9,18,0,20,..,139,49,189,3,197,..,644,160,799,11,810,..,26,15,42,723,764,5542,667,175,842,732,7119,11002,..,..,..,..,11002,..,7,0,7,0,7,..,57,4,65,4,69,..,18,0,18,0,18,..,7,10,16,0,16,..,42,14,60,0,56
UCL213012,0,0,..,26,0,29,0,29,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,11,0,13,0,13,..,7,0,7,0,7,..,35,0,39,0,39,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,12,0,13,0,13,..,36,5,39,0,39,..,201,5,208,0,210,..,12,0,12,316,327,4793,215,5,221,316,5329,9411,..,..,..,..,9411,..,10,0,10,0,10,..,11,3,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,17,4,18,0,18
UCL213013,0,0,..,74,11,86,0,88,..,23,4,26,0,26,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,22,..,0,0,0,0,0,..,17,0,17,0,18,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,5,0,5,..,16,0,22,0,22,..,6,0,6,0,6,..,25,0,28,0,28,..,6,0,6,0,6,..,54,5,59,0,59,..,10,4,13,0,12,..,10,3,12,0,12,..,10,0,10,0,10,..,0,0,0,0,0,..,28,8,36,3,39,..,64,11,75,3,76,..,431,62,496,9,507,..,27,0,33,395,427,6418,462,62,525,407,7350,12313,..,..,..,..,12313,..,38,0,38,0,38,..,16,3,20,0,22,..,3,0,3,0,3,..,10,0,12,0,12,..,56,27,77,0,77
UCL213014,0,6,..,118,11,128,0,130,..,48,28,79,0,78,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,19,0,19,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,25,0,25,..,15,4,22,0,22,..,30,0,30,0,30,..,61,27,87,0,86,..,123,32,155,0,163,..,7,0,11,0,11,..,5,0,5,0,5,..,9,0,10,0,10,..,0,0,0,0,0,..,40,45,83,0,83,..,71,13,80,5,86,..,526,163,691,9,700,..,19,7,28,363,385,4621,551,173,721,367,5706,8756,..,..,..,..,8756,..,19,0,20,0,20,..,14,6,15,0,16,..,12,0,12,0,16,..,12,6,12,0,12,..,60,54,112,0,112
UCL213015,0,6,..,440,47,486,7,498,..,77,8,84,0,88,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,37,3,35,0,37,..,18,0,21,0,21,..,3,0,3,0,3,..,12,0,17,0,17,..,3,0,3,0,3,..,3,0,3,0,3,..,49,6,55,0,55,..,3,0,3,0,3,..,10,0,17,0,17,..,10,0,9,0,9,..,20,0,20,0,20,..,8,0,8,0,8,..,59,0,63,0,63,..,16,5,15,0,15,..,19,4,26,0,26,..,5,0,8,0,8,..,47,8,59,0,59,..,16,0,21,0,21,..,193,48,242,9,253,..,1186,162,1355,18,1368,..,20,4,19,296,317,5635,1205,167,1367,321,7324,11326,..,..,..,..,11326,..,26,0,26,0,33,..,144,22,167,3,168,..,8,0,8,0,8,..,20,0,23,0,23,..,35,5,46,0,45
UCL213016,0,7,..,105,12,108,0,111,..,141,29,172,0,177,..,6,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,5,0,5,..,36,0,36,0,36,..,0,4,3,0,3,..,31,0,31,0,31,..,15,4,14,0,14,..,79,5,84,0,84,..,13,4,10,0,10,..,17,0,16,0,16,..,16,5,20,0,20,..,0,0,0,0,0,..,12,3,16,0,16,..,71,6,79,5,87,..,577,78,657,7,665,..,26,3,32,534,561,9180,605,81,681,538,10411,17435,..,..,..,..,17435,..,13,0,13,0,13,..,10,0,13,0,13,..,4,0,4,0,4,..,14,5,19,0,19,..,48,10,56,0,56
UCL213017,0,3,..,126,9,131,0,131,..,29,5,30,0,30,..,7,0,5,0,5,..,6,0,6,0,6,..,4,0,6,0,6,..,0,0,0,0,0,..,20,0,20,0,20,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,10,0,9,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,26,0,26,0,26,..,11,0,11,0,11,..,10,0,10,0,10,..,12,0,12,0,12,..,58,0,58,0,58,..,11,3,19,0,19,..,14,0,13,0,13,..,27,3,32,0,28,..,4,0,4,0,4,..,21,10,30,0,30,..,120,9,135,0,137,..,628,80,711,5,712,..,19,0,19,441,464,8866,649,80,730,446,10044,16904,..,..,..,..,16904,..,21,0,21,0,21,..,16,3,17,0,17,..,7,0,7,0,7,..,17,6,22,0,22,..,118,46,168,0,168
UCL213018,0,0,..,29,0,29,0,29,..,10,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,4,0,4,0,4,..,12,0,12,0,12,..,0,0,0,0,0,..,38,0,38,0,38,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,21,4,26,0,25,..,133,12,149,0,148,..,13,0,12,260,273,3995,150,10,164,262,4419,7775,..,..,..,..,7775,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,16,4,24,0,24,..,7,3,10,0,10
UCL214001,0,3,..,58,6,60,0,60,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,19,0,19,0,19,..,0,0,0,0,0,..,19,0,19,0,19,..,3,0,3,0,3,..,9,0,10,0,10,..,0,3,6,0,6,..,35,3,37,0,37,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,7,0,8,0,8,..,27,0,24,0,24,..,201,37,244,0,244,..,8,0,13,182,193,3188,207,41,254,182,3622,6135,..,..,..,..,6135,..,5,0,5,0,5,..,14,0,14,0,14,..,3,0,3,0,3,..,10,4,9,0,9,..,30,39,68,0,68
UCL214002,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,4,0,4,..,0,0,0,0,0,..,0,0,5,0,5,..,32,5,33,0,33,..,90,14,100,4,101,..,7,0,8,89,103,2888,96,12,107,95,3093,5759,..,..,..,..,5759,..,4,0,4,0,4,..,3,0,3,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3
