UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL212005,136,11,265,0,0,18,15,39,0,82,4,9,17,9,17,0,56,0,0,21,38,22,12,97,0,0,19,16,33,4,64,36,21,122,66,77,6,326,7,8,32,50,75,11,188,25,37,112,113,83,5,377,146,204,444,172,220,14,1199,232,184,835,596,724,81,2659,7,0,8,8,14,0,39,5,15,26,77,153,10,279,11,8,31,40,61,40,189,547,503,1994,1528,2193,263,7021,32,12,129,101,165,45,477,0,0,0,8,12,0,21,46,19,171,157,648,41,1080,37,13,45,51,145,4,294,22,7,97,122,939,28,1216,0,0,31,38,135,10,222,44,10,136,172,502,47,907,18,8,99,112,253,21,509,9,0,48,80,208,14,368,9,7,35,28,39,4,121,11,4,48,72,42,16,185,3,3,26,27,71,3,141,62,43,260,130,165,12,687,8,10,48,75,173,29,338,56,44,178,191,213,12,703,208
UCL212006,101,17,210,0,8,40,77,111,4,249,4,8,25,16,15,0,63,16,11,71,73,63,4,236,6,0,17,24,33,5,79,42,30,146,79,103,8,413,9,9,33,45,72,0,166,44,42,179,166,153,16,600,172,156,517,188,229,20,1280,136,166,562,331,442,41,1685,6,6,34,20,28,6,89,8,3,31,69,126,6,247,8,4,28,29,46,32,139,502,470,1949,1426,1937,195,6480,0,0,9,20,30,4,56,0,0,5,0,20,4,27,34,8,138,143,453,21,797,8,5,44,41,69,4,157,20,11,105,181,1418,27,1758,18,3,60,56,185,12,332,22,23,190,194,375,25,837,8,5,78,83,197,19,386,31,20,151,240,518,27,986,7,5,61,54,47,0,179,34,19,146,114,97,7,425,3,0,33,35,91,9,172,100,50,331,164,161,13,825,17,13,58,65,162,4,322,93,72,289,346,353,28,1179,254
UCL212007,64,5,162,3,0,18,14,15,4,55,5,6,26,8,7,0,50,20,11,76,36,18,5,160,0,0,20,17,29,4,74,64,31,180,54,60,7,392,4,5,38,27,19,0,94,61,39,143,82,41,5,365,185,120,379,90,73,4,846,161,159,501,179,150,17,1168,15,12,43,19,13,0,104,8,9,40,53,62,4,174,4,8,44,27,17,21,117,574,429,1827,793,763,103,4476,0,6,27,11,24,0,67,0,0,5,6,10,0,16,39,16,126,55,138,6,376,14,3,30,19,30,3,101,13,14,182,147,772,9,1137,21,6,64,37,79,8,213,34,11,219,132,182,20,602,12,6,91,55,130,11,301,16,3,59,47,60,4,195,7,8,51,12,24,3,107,41,20,176,70,37,6,348,3,3,40,24,50,10,134,163,58,434,120,99,20,877,11,10,76,43,55,0,192,97,66,272,183,119,14,741,271
UCL212008,100,8,167,0,0,7,6,25,0,44,6,0,10,8,10,0,27,3,6,9,28,37,7,77,0,0,6,7,30,3,48,7,12,46,34,45,10,149,0,3,9,20,44,3,80,23,35,115,157,186,8,527,105,83,296,83,103,13,679,161,123,565,322,409,40,1623,0,0,12,7,25,0,52,3,4,17,49,99,4,185,0,0,13,17,30,16,73,346,285,1249,900,1461,129,4363,0,3,13,14,60,3,100,0,0,17,12,90,5,121,36,5,69,63,375,8,560,30,13,122,88,367,7,620,7,9,49,73,680,23,844,0,0,8,17,78,4,112,18,6,92,94,271,12,496,11,3,35,51,192,9,303,6,3,16,22,108,12,169,5,5,31,8,38,0,91,3,11,23,54,44,5,145,0,3,14,13,68,3,96,27,18,128,68,108,17,364,0,3,20,29,89,5,156,41,47,218,244,303,21,866,150
UCL212009,189,6,338,0,0,7,14,17,0,42,0,4,16,11,9,0,33,3,0,29,15,30,5,87,0,0,6,25,26,4,61,15,13,91,41,50,6,222,3,6,17,24,63,6,120,32,29,115,98,91,5,370,134,120,393,89,164,14,910,193,187,682,402,532,52,2050,0,6,19,20,35,0,76,0,0,19,47,144,6,224,5,9,19,20,37,23,116,422,398,1677,1031,1765,170,5465,8,3,40,32,105,13,197,3,0,7,3,24,0,35,16,9,205,85,434,35,786,10,16,40,27,103,0,195,10,5,55,61,780,13,919,13,0,30,28,91,6,164,17,13,107,161,416,45,764,9,6,106,112,316,16,567,3,3,25,43,125,9,205,5,8,22,15,28,0,85,8,5,63,51,50,4,184,3,0,25,31,61,9,124,51,31,258,79,92,11,517,12,9,39,39,114,5,216,46,53,187,199,203,15,699,221
UCL213001,48,0,74,0,0,0,5,12,0,15,0,0,0,0,5,0,5,0,0,3,6,4,0,14,0,0,4,3,16,0,28,6,8,19,19,24,0,74,0,0,3,4,29,0,42,6,13,39,29,36,6,126,44,38,102,54,61,10,307,56,44,166,151,222,16,650,0,0,4,4,8,0,17,0,6,6,19,36,0,69,0,3,4,9,13,12,46,124,116,424,376,687,64,1789,8,0,23,9,43,0,91,0,0,4,0,13,0,20,4,3,37,37,167,13,263,3,6,18,6,25,0,50,4,0,15,21,290,12,335,0,0,8,10,48,3,74,4,5,35,43,173,9,269,3,0,12,32,81,6,133,5,0,4,11,62,7,91,0,0,5,3,17,0,26,0,0,7,18,4,0,36,0,0,7,12,20,3,43,12,6,49,26,38,7,135,0,0,13,9,51,6,80,13,14,65,64,66,10,235,53
UCL213002,24,0,57,0,5,3,4,7,0,23,3,5,16,6,5,0,30,0,3,4,3,11,0,23,0,0,7,7,4,0,18,29,14,49,16,10,0,113,0,3,11,5,6,0,26,33,24,49,20,28,0,159,103,49,114,28,25,0,323,94,63,175,96,92,10,523,11,9,33,12,3,0,64,7,4,15,14,22,3,62,6,3,14,0,6,7,41,313,202,584,267,301,43,1700,3,6,12,9,4,0,35,0,0,0,0,6,0,8,10,3,57,49,114,8,250,5,0,11,3,6,0,27,5,0,23,24,166,4,224,3,0,6,8,14,0,39,7,6,55,33,68,8,182,5,0,29,24,47,0,110,5,8,4,11,28,4,64,9,9,27,6,6,0,57,4,4,16,6,11,0,46,6,5,15,5,14,0,32,53,28,121,49,18,0,259,4,4,23,7,20,0,67,62,33,87,51,71,5,310,160
UCL213003,46,4,71,0,0,3,0,3,0,11,0,5,9,4,3,0,21,0,0,0,5,4,0,17,0,0,0,5,10,4,22,3,0,19,9,22,3,61,0,0,3,6,55,3,66,7,4,28,23,29,0,97,18,27,116,32,59,0,258,32,25,119,120,221,21,536,0,0,3,6,10,0,17,0,0,5,16,44,0,68,0,0,0,7,15,13,34,79,70,383,321,726,69,1664,6,4,14,27,79,8,143,0,0,0,0,15,0,12,16,10,85,77,326,23,539,0,0,0,4,35,0,42,3,3,10,19,259,9,297,0,0,4,11,32,0,46,8,0,22,29,140,15,208,3,0,22,18,79,11,123,0,0,3,8,64,4,77,0,5,9,7,14,0,43,0,0,10,15,16,4,44,0,0,0,5,17,6,36,11,0,41,20,29,0,109,3,0,12,15,87,0,123,18,6,48,40,61,4,182,31
UCL213004,57,3,78,0,0,0,3,18,0,25,0,0,0,3,3,0,12,0,0,12,14,19,0,46,0,0,3,10,13,0,26,6,6,37,21,40,0,110,0,0,10,14,34,0,59,5,3,40,28,47,0,132,54,51,176,64,93,12,445,44,50,172,160,263,23,709,0,4,11,9,7,0,33,0,0,10,17,63,5,93,0,6,11,13,18,11,60,129,136,542,477,888,64,2226,4,0,15,15,79,7,116,0,0,3,3,18,0,27,8,8,27,53,221,15,324,4,0,10,5,30,0,52,0,4,23,51,521,9,601,0,0,9,17,57,3,83,4,7,43,61,183,11,303,3,3,8,19,82,4,126,0,4,8,20,96,4,131,0,0,8,11,22,0,47,0,0,17,28,27,0,83,0,0,3,10,30,0,44,15,11,80,49,62,0,216,5,0,13,20,73,0,117,14,12,71,69,79,8,255,79
UCL213005,63,3,113,0,0,3,9,19,3,39,0,0,8,0,4,0,12,4,6,32,24,27,3,94,0,0,5,4,20,0,28,19,5,33,32,39,4,132,0,0,9,15,36,4,68,18,12,45,63,52,3,186,63,64,163,64,65,3,419,59,74,268,191,314,22,924,3,0,15,6,6,0,32,0,0,13,37,59,0,114,0,0,16,13,15,11,59,179,183,694,567,899,69,2586,4,0,16,8,16,0,39,0,0,0,0,9,0,11,3,3,32,36,176,3,256,4,0,6,7,28,0,46,4,0,36,60,523,10,631,0,0,8,16,84,0,114,6,0,62,68,192,15,344,4,0,29,43,115,13,206,3,0,15,33,92,10,145,5,4,12,3,16,0,35,17,10,54,36,39,3,164,0,0,15,9,33,3,60,42,8,99,64,69,7,286,0,4,15,24,85,3,129,20,23,89,120,140,7,396,94
UCL213006,20,0,50,0,4,12,26,16,0,61,0,0,8,3,4,0,19,3,6,31,26,20,0,77,0,0,6,7,14,0,29,15,11,65,30,26,0,143,0,0,12,12,11,6,47,23,24,73,41,30,0,190,67,70,201,51,53,5,441,61,64,192,86,91,13,504,5,6,7,7,5,0,24,0,3,9,26,36,0,78,3,0,6,8,14,7,39,191,196,709,408,416,51,1956,0,0,7,3,3,0,22,0,0,3,0,4,0,12,11,5,54,31,96,0,203,3,4,16,6,27,4,64,5,9,49,60,422,8,550,6,3,25,19,26,0,82,6,3,42,38,76,8,179,0,6,32,16,27,3,88,16,11,34,70,106,7,239,3,3,14,16,12,0,58,14,12,59,40,32,0,150,0,0,16,10,25,0,57,36,17,142,68,55,0,319,0,0,19,21,45,4,97,42,35,125,111,79,6,395,99
UCL213007,67,3,99,0,0,0,5,15,0,20,0,4,3,0,9,0,24,3,5,15,21,19,0,60,0,4,0,4,14,0,24,15,4,43,17,31,0,109,0,0,3,15,33,0,61,18,7,55,35,35,0,159,32,63,184,57,72,10,424,77,66,291,246,301,26,1004,0,0,3,8,5,0,21,5,3,14,25,63,9,118,0,0,4,12,22,6,45,171,165,701,546,885,72,2549,17,3,31,54,105,12,219,0,0,5,3,39,0,42,6,0,19,16,123,3,165,10,3,29,20,58,3,128,8,0,20,40,426,5,492,6,3,34,25,83,4,153,17,7,36,56,218,14,342,0,0,21,33,118,7,181,0,0,10,16,95,3,130,0,4,14,3,19,0,52,4,5,26,36,34,4,104,0,4,7,8,23,0,45,38,12,76,30,49,0,206,0,0,6,31,69,9,114,41,20,90,92,118,7,362,53
UCL213008,52,4,89,0,0,15,10,25,3,54,7,0,9,5,4,0,20,6,9,39,20,29,6,111,3,0,9,4,12,3,28,10,7,84,29,43,3,176,5,3,21,22,42,5,93,17,12,67,67,68,3,236,63,55,204,81,87,5,497,49,84,241,167,244,15,801,0,3,0,5,12,0,30,3,4,12,19,57,6,102,4,0,13,7,14,16,54,196,182,829,575,870,82,2732,4,0,8,10,17,0,42,0,0,0,5,9,0,12,10,3,85,65,231,3,405,5,3,20,16,39,3,85,8,5,59,62,498,9,636,7,0,25,30,68,4,130,11,3,74,87,170,14,359,7,3,28,36,75,3,153,12,0,45,67,167,13,314,9,9,23,9,8,0,59,17,13,71,42,38,8,190,0,0,15,8,22,8,60,39,17,169,63,71,10,369,8,3,32,35,79,4,160,26,22,128,149,180,7,508,103
UCL213009,41,8,81,0,0,3,4,12,0,27,3,9,0,0,3,0,16,4,0,23,19,27,0,78,0,0,5,9,19,0,32,7,4,50,19,29,7,118,0,4,11,13,18,0,56,5,11,39,35,41,0,142,36,44,127,58,81,4,352,50,59,268,165,230,15,788,0,0,9,10,7,0,21,3,4,17,33,69,0,133,0,0,8,13,10,12,41,119,142,638,475,751,67,2193,0,0,5,5,17,0,29,0,0,0,4,10,0,10,0,3,26,39,153,6,228,11,3,8,7,28,0,58,4,0,25,54,414,8,506,0,0,16,27,56,4,103,5,0,56,70,173,11,313,0,4,23,30,75,8,138,5,0,19,22,96,0,145,3,8,6,3,3,0,30,10,0,45,27,35,0,122,0,0,5,7,29,0,41,25,4,112,39,62,10,253,0,10,24,26,63,0,121,11,12,71,77,117,7,293,49
UCL213010,55,6,80,0,0,0,3,8,0,12,0,0,0,4,6,0,11,0,0,13,8,21,0,48,0,0,3,5,20,0,32,0,3,21,11,24,0,62,0,0,3,9,34,6,59,11,10,45,46,73,4,186,28,35,80,45,80,6,273,25,29,135,150,291,27,662,0,0,5,7,4,0,12,0,0,5,18,42,0,68,0,0,8,3,17,12,47,68,82,355,383,848,91,1827,0,0,11,0,39,5,67,0,0,4,0,35,0,40,0,0,18,24,185,3,226,3,0,18,33,160,5,215,3,4,7,21,341,11,387,0,0,4,4,42,3,55,9,0,28,43,167,9,254,0,0,15,25,86,9,131,0,0,3,8,77,4,96,0,0,5,3,10,0,29,3,4,19,10,25,0,64,0,0,8,10,36,0,51,6,3,39,25,58,3,130,0,0,3,19,73,7,106,13,14,60,65,128,9,293,31
UCL213011,53,8,86,0,0,0,5,21,0,29,0,0,6,5,11,0,18,0,0,7,5,13,0,17,0,0,0,5,7,0,14,4,3,8,9,8,0,35,0,0,0,10,23,5,42,7,5,23,35,63,11,143,17,16,59,23,50,8,179,23,17,110,99,175,14,442,0,0,3,3,3,4,16,0,0,4,10,30,3,43,3,0,9,11,18,4,45,62,53,266,258,583,56,1279,0,0,5,3,29,3,37,0,0,0,4,21,0,24,3,0,18,14,148,6,189,4,0,19,15,78,3,119,0,0,13,17,181,10,214,0,0,4,8,25,4,41,6,3,26,25,122,15,200,7,0,16,27,94,9,149,0,0,12,12,79,7,103,3,0,11,5,33,4,54,0,0,5,7,13,0,29,0,0,0,8,23,0,29,5,7,35,21,22,0,93,0,0,9,13,44,8,88,12,17,34,55,104,6,232,32
UCL213012,45,3,71,0,0,0,5,12,0,19,0,0,0,3,4,0,10,0,0,5,7,10,0,20,0,0,0,4,8,4,15,0,4,10,6,10,4,37,0,0,3,6,17,0,35,7,10,19,32,45,3,114,28,24,109,33,53,4,248,25,39,121,124,169,14,490,0,0,6,4,14,0,23,0,0,4,11,31,4,57,0,0,0,4,8,6,21,74,84,317,286,534,54,1342,0,0,10,12,64,8,99,0,0,0,3,5,0,6,12,4,24,25,250,11,326,0,0,3,0,34,0,43,0,0,6,11,186,7,201,0,0,7,11,22,0,43,6,5,11,23,79,3,125,0,4,8,22,69,3,115,0,0,5,16,97,12,129,0,0,0,5,5,0,18,0,0,6,10,12,0,23,0,0,0,4,23,7,33,6,3,25,6,22,3,66,0,0,9,8,35,6,64,12,14,42,51,76,3,199,28
UCL213013,42,5,71,0,0,3,0,8,0,18,0,3,3,0,4,0,7,0,0,5,3,8,0,18,0,0,10,9,15,0,30,5,12,40,15,22,4,103,0,0,7,7,13,0,37,12,19,77,57,57,5,226,49,51,155,45,62,3,372,82,49,240,150,206,16,741,0,0,8,7,4,0,25,0,3,5,26,42,6,86,0,0,9,16,15,4,42,168,148,624,419,637,60,2057,7,4,21,14,62,9,117,9,0,21,22,62,0,119,3,0,9,26,112,10,162,3,0,17,5,41,3,72,0,3,20,36,293,3,356,0,0,0,3,29,0,39,5,0,37,38,143,14,234,3,3,20,24,93,9,151,3,0,11,12,50,0,82,0,3,5,0,7,6,24,0,0,15,7,9,0,34,0,0,10,12,22,0,50,16,19,68,42,62,4,211,0,9,13,18,46,8,78,51,32,218,179,160,10,653,82
UCL213014,49,3,94,0,0,0,6,11,0,22,0,0,5,0,4,0,10,0,0,9,6,13,6,30,0,0,3,4,10,0,15,0,5,22,13,15,0,57,0,0,0,12,22,0,39,9,3,25,28,32,4,95,15,42,140,30,65,0,292,52,41,158,111,164,13,541,0,0,0,0,4,0,15,3,0,3,13,46,0,66,0,0,4,10,19,9,39,99,94,435,294,588,49,1567,5,5,40,52,92,16,206,0,0,0,0,5,0,9,3,0,31,33,120,14,200,0,0,0,0,26,0,32,5,4,16,16,243,3,288,0,0,9,17,59,0,88,0,3,27,25,131,4,185,4,4,26,25,75,6,150,0,0,4,12,67,0,93,4,0,7,5,13,0,24,0,0,13,21,17,5,57,0,0,6,4,15,0,28,4,5,59,31,25,4,130,0,0,3,12,33,0,52,11,3,47,68,55,8,182,28
UCL213015,48,11,111,7,0,10,17,38,7,82,3,0,8,0,0,0,15,7,0,10,19,16,0,55,0,0,7,7,15,0,29,10,3,38,29,26,0,105,0,0,13,9,17,0,45,13,15,42,45,45,7,170,37,42,126,82,85,4,368,54,52,172,149,198,21,646,0,0,9,8,8,0,30,4,0,13,22,51,9,88,8,5,12,13,22,7,68,170,123,554,528,734,91,2200,0,0,0,0,16,0,23,0,0,4,0,10,0,14,19,6,54,76,216,6,375,5,0,12,4,33,0,54,16,8,40,67,512,18,673,6,0,13,27,75,5,129,19,5,45,49,150,8,280,7,0,31,52,76,18,183,26,0,46,77,141,8,302,11,0,12,7,7,0,40,12,0,35,30,27,0,114,0,0,8,17,25,0,48,36,7,81,47,55,5,236,3,0,22,14,48,0,96,27,25,75,100,122,10,361,56
UCL213016,87,10,153,0,0,13,16,18,0,43,0,0,3,6,0,0,15,0,3,8,14,21,0,48,0,0,4,5,19,0,39,9,12,38,24,32,3,116,0,0,9,19,40,12,85,14,26,52,61,53,5,210,56,65,199,61,105,9,489,109,118,389,288,336,30,1271,0,0,0,5,6,4,13,5,0,13,29,65,0,118,3,4,6,11,26,14,63,229,241,845,656,1045,102,3117,7,0,18,15,61,8,107,0,0,0,3,9,0,8,20,9,69,72,299,22,488,0,0,4,4,24,0,34,11,0,26,42,422,18,523,0,0,14,18,36,0,69,8,11,56,54,270,17,414,14,0,41,52,153,13,275,0,0,21,29,105,10,176,0,0,12,4,17,0,38,3,4,26,37,25,6,89,0,0,11,17,32,8,63,19,16,89,40,63,3,242,0,0,19,29,92,13,155,25,32,99,120,131,10,414,73
UCL213017,66,3,106,0,0,0,9,25,0,37,0,3,8,8,8,0,24,3,0,13,16,32,8,66,0,0,7,5,19,6,41,11,12,65,44,29,9,171,0,0,5,29,38,3,77,23,19,67,76,40,9,235,108,88,260,82,123,11,665,104,89,345,214,251,29,1029,0,0,18,11,17,0,53,5,9,21,34,66,6,132,0,0,12,8,21,17,57,278,228,958,659,959,117,3197,14,5,100,30,69,15,221,0,0,9,8,26,0,46,12,3,64,56,222,10,365,5,6,28,18,54,0,111,3,5,42,77,600,18,745,3,3,15,15,71,5,111,13,4,62,64,205,8,354,3,3,29,41,110,6,197,3,0,11,27,101,7,154,9,3,15,19,23,0,75,16,0,29,38,40,5,133,0,0,14,15,37,8,73,40,21,168,83,58,8,382,3,5,21,31,71,6,130,39,34,121,130,105,12,440,162
UCL213018,67,5,119,0,0,0,3,8,0,14,0,0,4,0,6,0,4,0,0,4,6,6,0,25,0,0,0,3,5,0,13,0,5,14,10,17,3,40,0,0,3,6,13,3,25,3,4,15,7,13,0,42,11,27,78,23,35,8,181,23,24,103,71,107,4,326,0,0,0,0,0,0,9,0,0,3,17,19,0,38,0,0,0,4,8,0,24,50,66,270,219,382,48,1047,3,0,12,11,34,3,63,0,0,0,0,5,0,5,12,5,43,34,126,12,228,0,0,0,4,10,0,16,3,4,6,19,241,3,282,0,0,3,8,17,0,33,3,4,21,23,94,10,151,5,0,18,49,114,9,190,0,0,4,9,38,0,60,0,0,3,0,3,0,10,0,0,12,11,13,0,37,0,0,0,3,15,3,20,4,5,34,18,20,3,81,0,0,9,14,24,7,51,3,4,22,23,33,3,94,25
UCL214001,29,0,60,0,0,0,0,4,0,9,0,0,0,0,0,0,8,0,0,3,4,5,0,9,0,0,3,0,6,3,18,0,0,8,3,4,0,22,0,0,0,0,13,0,19,6,4,22,28,48,3,116,17,13,53,16,15,0,121,22,28,70,109,117,15,360,0,0,11,3,5,0,19,0,0,0,11,23,0,34,4,0,0,5,10,7,28,52,56,228,219,354,59,972,0,0,17,5,37,4,64,0,0,5,3,17,0,27,31,0,50,27,97,21,234,0,0,0,0,10,0,10,0,0,3,0,86,7,102,0,0,6,3,24,3,32,4,0,7,10,59,3,82,9,3,14,18,46,5,90,0,0,0,6,24,0,29,0,0,0,0,4,0,7,0,0,3,6,6,0,13,0,0,4,3,13,3,27,4,6,14,10,16,0,49,3,0,0,4,22,4,32,6,6,41,65,130,10,263,21
UCL214002,22,3,36,0,0,4,0,9,0,19,3,0,4,0,0,0,6,0,6,15,5,23,5,45,0,0,0,4,3,0,10,3,3,24,13,14,0,55,0,0,0,6,14,0,21,5,0,23,24,29,0,83,22,36,75,34,34,0,203,15,37,89,75,118,5,335,0,0,7,3,0,0,13,0,5,5,7,24,0,41,0,0,6,0,12,3,29,49,86,280,233,394,28,1065,0,0,0,6,18,3,31,0,0,0,0,9,0,8,0,4,11,16,105,7,150,0,5,3,0,27,3,40,5,0,15,32,250,7,302,0,3,13,11,28,4,62,0,0,20,37,73,0,133,0,0,12,4,35,0,58,0,0,8,13,56,5,90,3,0,4,0,6,0,17,0,6,18,13,27,5,63,0,0,4,7,11,0,25,6,3,42,22,25,4,99,0,0,3,8,31,0,44,6,6,28,63,72,3,178,41
UCL214003,45,5,72,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,4,0,10,8,0,20,0,0,3,3,11,0,18,0,0,21,9,13,4,53,4,0,0,5,12,0,27,12,8,23,30,31,5,102,26,29,89,35,39,0,223,20,34,110,127,163,17,474,0,0,3,6,9,0,26,3,0,6,6,25,0,41,0,0,5,8,9,7,27,84,80,310,288,488,60,1309,0,0,19,17,20,3,58,0,0,0,0,7,0,11,5,0,19,29,118,13,182,0,0,3,9,24,0,39,25,0,43,29,280,19,392,0,0,4,12,17,0,35,8,4,22,16,94,11,148,0,0,4,19,72,7,110,0,0,7,10,35,0,47,4,0,0,5,7,0,14,0,4,4,10,7,3,21,0,0,0,6,18,0,34,6,5,39,20,23,0,91,4,0,8,9,35,4,57,18,11,34,69,70,6,207,36
UCL214004,20,8,39,0,0,0,4,3,0,3,0,0,0,0,0,0,5,0,0,4,3,3,0,9,0,0,0,0,7,0,7,0,3,12,5,14,0,34,5,0,8,6,8,0,21,0,0,3,9,10,0,27,5,17,44,18,17,0,106,9,6,39,53,50,12,170,0,0,4,0,0,0,8,0,0,5,14,12,0,27,0,0,0,7,7,7,18,19,34,138,153,229,37,609,0,0,16,15,45,6,99,0,0,0,0,5,0,7,4,0,19,23,107,8,158,0,0,0,5,9,0,20,3,0,3,9,110,4,126,0,0,0,3,21,0,21,0,0,9,17,43,7,80,0,0,8,13,33,8,64,0,0,4,5,19,0,34,0,0,0,0,0,0,4,0,0,4,0,3,0,8,0,0,5,0,5,0,12,4,3,22,8,18,0,59,4,0,6,8,13,0,34,5,0,11,21,16,0,52,5
