UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL221046,30,1560,959,360,2205,0.8,2076,3
UCL221047,39,2167,870,96,2442,0.9,2352,3.1
UCL221048,42,1300,696,250,1682,0.8,1323,2.4
UCL221049,39,2003,970,398,2476,0.8,2399,3.1
UCL221050,51,1083,509,231,1362,0.8,956,2.1
UCL221051,49,650,592,178,1401,0.7,942,2.2
UCL221052,41,1810,781,300,2144,0.8,1625,2.6
UCL221053,61,1300,519,340,1244,0.7,1111,2.2
UCL221054,51,1300,612,300,1687,0.7,1034,2.1
UCL221055,36,2000,1164,390,2874,0.8,2739,3.2
UCL221056,44,570,478,200,1213,0.8,986,2.3
UCL221057,38,1517,795,320,1965,0.8,1805,3
UCL221058,40,1600,907,310,2180,0.8,1946,2.6
UCL221059,45,1625,814,385,1861,0.8,1522,2.4
UCL221060,68,969,544,280,1170,0.7,921,1.8
UCL221061,61,1539,697,303,1488,0.6,1198,2
UCL221062,58,901,478,190,1098,0.7,773,1.9
UCL221063,52,605,502,140,1218,0.7,843,2
UCL221064,34,1831,846,365,2135,0.9,1927,2.9
UCL221065,60,1954,900,460,2353,0.7,2013,2.2
UCL221066,36,1361,695,310,1837,0.8,1596,2.7
UCL221067,38,1083,652,218,1602,0.8,1307,2.5
UCL221068,37,1430,630,340,1426,0.7,1029,2.4
UCL221069,44,1365,753,316,1704,0.7,1375,2.3
UCL221070,49,1083,605,240,1409,0.7,1092,2.2
UCL221071,50,1148,659,260,1453,0.7,1160,2.2
UCL221072,37,1300,784,270,1852,0.7,1569,2.4
UCL221073,39,1733,789,300,2588,0.8,2465,3.1
UCL221074,58,1517,723,400,1838,0.7,1395,2.1
UCL221075,59,1645,679,328,1625,0.6,1206,2.1
UCL221076,58,1083,530,280,1168,0.6,922,1.8
UCL221077,58,1076,540,250,1331,0.7,921,1.9
UCL221078,41,1707,821,336,2010,0.8,1533,2.4
UCL221079,57,654,477,164,1281,0.8,870,2
UCL221080,54,1850,661,360,1642,0.8,1309,2.1
UCL221081,55,650,599,150,1375,0.7,967,2
UCL221082,36,2300,1036,351,2469,0.8,1782,2.3
UCL221083,52,1502,754,307,1898,0.8,1446,2.3
UCL221084,37,1300,750,260,1949,0.7,1603,2.5
UCL222001,51,1517,963,323,2482,0.7,2437,2.9
UCL222002,48,2184,952,435,2312,0.7,2015,2.5
UCL222003,34,1527,789,280,2062,0.8,1702,2.8
UCL222004,30,0,880,0,0,0,0,0
UCL222005,50,1083,626,220,1859,0.7,1156,2.1
UCL222006,50,1500,767,308,1906,0.7,1413,2.5
UCL222007,52,1083,704,200,1713,0.7,1583,2.2
UCL222008,47,1300,762,310,1833,0.8,1416,2.1
UCL222009,50,1083,609,215,1366,0.7,1242,2.2
UCL222010,44,1800,749,289,2192,0.7,1850,2.8
UCL222011,40,1608,829,300,2457,0.8,2125,3
UCL222012,52,1517,708,360,1656,0.7,1449,2.4
UCL222013,55,1390,619,350,1531,0.6,1240,2
UCL222014,40,1733,917,271,2269,0.8,1966,2.7
UCL222015,38,1408,721,322,1906,0.8,1739,2.8
UCL222016,53,620,518,203,1328,0.7,1052,2.1
UCL222017,60,823,456,185,1083,0.6,725,1.7
UCL222018,37,1452,1031,269,3187,1,2291,2.3
UCL222019,46,1800,591,270,1733,0.8,1805,2.8
UCL222020,48,1083,675,220,1458,0.7,1224,2.3
UCL222021,45,1544,705,315,1521,0.8,1224,2.3
UCL222022,53,1062,625,240,1674,0.7,1239,2.2
UCL222023,37,1300,790,285,2092,0.8,1933,2.8
UCL222024,28,670,916,539,1833,1.2,1312,2.3
UCL222025,51,1192,626,250,1562,0.7,955,2.1
UCL222026,41,1509,877,315,2150,0.7,1899,2.7
UCL222027,43,1127,623,225,1531,0.8,1312,2.4
UCL222028,37,1185,697,260,2013,0.8,1557,2.6
UCL222029,54,672,497,100,1142,0.7,773,1.9
UCL222030,43,1470,593,270,1478,0.8,1050,2.3
UCL222031,48,823,550,180,1302,0.8,941,2.2
UCL222032,43,1300,793,250,1600,0.7,1204,1.9
UCL222033,44,1387,920,273,1910,0.9,1611,2.3
UCL222034,45,1250,536,258,1362,0.8,1104,2.2
UCL222035,59,433,428,135,949,0.7,706,1.9
UCL222036,47,856,590,180,1265,0.8,1024,2.4
UCL222037,43,1064,769,220,1895,0.8,1625,2.6
UCL222038,40,1712,825,350,2225,0.8,2194,3
UCL222039,44,1517,922,300,2312,0.8,2083,2.7
UCL222040,53,1650,690,315,1759,0.7,1341,2.3
UCL222041,46,1300,752,200,2069,0.8,1531,2.4
UCL222042,55,650,529,160,1145,0.7,850,2.1
UCL222043,47,1184,601,300,1422,0.7,1117,2.2
UCL222044,55,650,480,129,1199,0.7,758,1.8
UCL222045,44,1900,775,420,2166,0.8,2062,2.9
UCL222046,52,840,510,200,1330,0.7,976,2.1
UCL222047,57,737,463,120,929,0.7,782,2
UCL222048,58,546,527,120,1375,0.7,979,2
UCL222049,59,2000,706,282,1600,0.7,1292,2.1
UCL222050,56,1511,725,250,1704,0.7,1397,2.1
UCL222051,59,1300,588,300,1375,0.7,1017,2
UCL222052,41,1387,633,300,1843,0.8,1525,2.6
UCL222053,48,867,510,188,1262,0.8,966,2.2
UCL222054,49,1452,749,335,1916,0.7,1517,2.5
UCL222055,60,542,446,163,1048,0.7,793,2
UCL222056,27,1000,868,241,1916,0.9,1774,2
UCL222057,42,1500,774,270,2229,0.8,1613,2.4
UCL222058,30,834,963,470,2437,1.1,2107,2.3
UCL222059,47,1083,666,190,1452,0.8,1350,2.4
UCL222060,50,693,615,110,1699,0.7,1021,2
UCL222061,42,1517,847,355,2285,0.8,2125,2.8
UCL222062,55,780,743,150,1770,0.7,1222,1.9
UCL222063,58,1517,663,300,1671,0.7,1261,2.2
UCL222064,37,1647,674,301,2035,0.8,1392,3
UCL222065,51,1175,675,235,1666,0.7,1274,2.3
UCL222066,53,800,546,263,1333,0.8,1016,2.1
UCL222067,54,1127,669,231,1531,0.7,1100,1.9
UCL222068,43,1612,861,265,2437,0.8,2225,2.8
UCL222069,54,787,493,180,1218,0.7,855,2.1
UCL222070,56,1473,810,265,1770,0.6,1365,2
UCL222071,39,1530,709,350,1768,0.8,1416,2.4
UCL222072,59,1138,503,255,1212,0.7,1023,1.9
UCL222073,39,1517,850,240,2531,0.7,1775,2.4
UCL222074,47,1235,596,300,1800,0.9,1125,2.4
UCL222075,42,1414,681,290,1672,0.8,1476,2.7
UCL222076,47,743,550,150,1187,0.8,946,2.2
UCL222077,57,510,562,100,1312,0.7,887,2
UCL222078,46,867,511,210,1270,0.7,822,2.1
UCL222079,47,2000,905,481,2352,0.8,2033,2.6
UCL222080,56,563,465,178,991,0.7,833,2.1
UCL222081,59,1582,738,275,1488,0.7,1336,2
UCL222082,46,1225,886,320,1718,0.7,1437,2.1
UCL222083,40,1517,868,250,1737,0.7,1656,2.7
UCL222084,54,867,472,200,1216,0.7,764,1.9
UCL222085,51,1600,635,330,1625,0.6,1181,2.1
UCL222086,44,2167,790,416,2272,0.8,2023,2.8
UCL222087,50,802,566,190,1295,0.7,1024,2.1
UCL222088,61,753,457,160,1292,0.7,733,1.8
UCL222089,50,1376,661,250,1611,0.7,1416,2.3
UCL222090,43,1192,807,285,2203,0.8,1910,2.6
UCL222091,42,1200,745,250,1771,0.8,1465,2.5
UCL222092,38,1344,900,300,2312,0.8,2018,2.9
UCL222093,55,882,479,203,1091,0.7,825,1.9
UCL222094,52,873,537,150,1266,0.8,966,2.2
UCL222095,43,1324,756,290,2091,0.7,1521,2.3
UCL222096,40,1700,900,395,2202,0.8,2016,2.7
UCL222097,36,1602,769,335,2134,0.9,2033,3
UCL222098,45,1498,797,250,1968,0.9,1680,2.7
UCL222099,37,1273,766,285,1728,0.8,1571,2.6
UCL222100,59,557,458,180,961,0.6,809,1.8
UCL222101,38,1495,818,280,1946,0.7,1578,2.5
UCL222102,45,1400,641,330,1525,0.7,1196,2.3
UCL222103,45,2400,971,352,3175,0.8,3050,3.1
UCL222104,43,820,591,175,1265,0.8,1097,2.4
UCL222105,50,1083,618,250,1812,0.7,1357,2.2
UCL231001,47,1603,752,250,1978,0.8,1659,2.6
UCL279997,50,0,2200,0,0,0,0,0
UCL299994,37,0,464,0,0,0,0,0
