UCL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
UCL213001,129,261,230,182,623,650,210,381,70,2735,9,16,9,8,15,3,4,5,4,73,0,0,0,0,0,0,0,0,0,3,8,25,35,28,50,21,8,3,0,179,0,4,5,0,3,5,0,0,0,16,3,14,12,10,10,12,4,0,0,61,0,7,3,8,16,11,0,0,0,46,21,116,72,31,53,29,7,0,10,338,22,98,32,14,23,11,3,13,0,216,0,3,9,3,3,3,0,4,0,32,0,4,0,0,0,4,0,5,0,10,4,5,4,7,6,4,0,0,0,31,3,3,10,9,15,3,0,3,0,38,3,23,19,12,13,10,3,3,0,100,5,24,33,13,23,0,3,4,0,102,11,14,12,20,50,32,12,8,3,150,16,47,67,67,69,34,25,34,4,371,37,119,158,145,137,121,17,37,14,782,0,14,0,0,4,0,0,0,0,26,3,27,18,15,17,8,4,6,0,96
UCL213002,87,275,232,191,317,488,123,287,35,2032,0,7,0,0,3,0,5,0,0,16,0,0,0,0,0,0,0,0,0,4,9,26,18,7,29,32,5,0,0,137,0,0,0,3,0,5,0,0,0,5,0,10,4,0,0,5,0,0,0,37,0,4,4,0,0,0,0,0,0,14,21,90,41,9,20,13,4,9,4,219,13,58,28,13,12,7,0,11,0,142,0,7,10,0,0,11,0,0,0,29,0,10,6,13,3,7,0,4,0,40,4,7,4,3,10,3,0,0,0,27,0,6,4,3,0,0,0,3,0,25,3,25,26,15,22,16,4,3,0,127,0,15,8,7,5,0,0,0,0,43,10,13,32,27,38,33,6,15,0,179,18,89,58,41,44,31,24,34,3,338,29,117,144,111,72,61,16,20,3,571,8,14,20,14,11,5,0,6,0,76,9,15,18,10,9,5,5,7,0,71
UCL213003,123,318,164,119,668,748,290,463,58,2941,8,21,7,0,17,26,0,8,0,88,0,0,0,0,0,0,0,0,0,0,24,38,32,22,126,80,13,11,0,349,3,0,0,0,0,5,0,0,0,14,0,14,4,9,9,0,0,0,0,38,7,0,7,4,3,8,6,4,0,31,22,137,64,38,46,26,10,9,7,360,28,113,37,13,15,8,3,5,4,235,4,3,0,3,3,4,4,3,0,24,0,4,10,10,6,0,0,3,0,32,3,5,8,3,4,6,0,0,0,28,5,0,4,0,8,7,4,0,0,27,5,11,15,12,22,15,3,11,0,96,7,24,34,9,17,9,0,4,0,107,11,20,23,15,32,26,0,11,0,128,17,49,61,52,43,35,12,39,0,309,48,115,152,130,121,72,17,34,10,694,4,12,5,0,9,3,0,0,0,31,4,30,11,10,16,5,4,4,4,86
UCL213004,125,290,196,196,667,876,240,595,68,3261,3,20,16,13,12,10,0,0,0,73,0,0,0,0,0,0,0,0,0,3,3,28,23,9,38,20,3,8,3,135,0,0,0,0,8,0,3,0,0,15,3,27,16,7,22,22,5,9,0,109,0,3,8,9,6,17,3,5,0,49,36,117,86,38,57,34,9,8,3,394,18,114,39,7,10,9,0,10,4,212,0,17,12,6,8,10,3,3,0,64,0,4,3,5,6,7,0,0,0,22,7,5,8,4,22,14,4,3,0,71,5,3,0,5,19,7,0,4,0,43,10,16,17,16,33,27,9,10,0,136,6,35,21,5,19,9,0,5,0,97,14,14,18,16,34,31,15,10,3,156,31,84,76,70,94,42,32,57,4,486,65,157,209,137,168,81,24,15,10,858,5,14,12,0,6,4,0,0,0,46,18,34,26,17,31,15,0,7,3,148
UCL213005,161,420,247,186,720,1008,302,505,50,3607,0,0,4,0,8,4,0,0,0,23,0,0,0,0,0,0,0,0,0,4,5,24,11,13,26,20,0,7,0,113,0,0,0,0,6,4,0,3,0,14,6,15,5,11,12,26,5,5,0,93,5,7,6,4,16,5,0,0,0,41,43,163,113,54,65,42,6,7,4,494,38,133,40,14,33,13,4,7,0,277,6,9,17,3,12,16,0,0,0,69,3,9,0,4,0,0,0,0,0,21,11,0,19,13,31,32,6,5,0,120,3,0,6,5,18,5,6,4,0,48,9,31,29,23,27,32,5,5,0,170,4,52,24,8,12,9,0,7,0,121,21,18,29,26,63,40,15,12,0,221,27,77,81,62,98,52,24,39,4,464,69,176,254,195,210,117,29,38,4,1071,6,12,8,0,5,0,0,10,0,41,15,39,29,17,19,10,6,6,6,143
UCL213006,117,256,136,123,503,801,271,564,32,2803,0,4,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,29,4,11,15,17,6,10,0,94,0,0,0,6,5,3,0,0,0,23,0,28,15,7,18,27,4,7,0,111,0,3,0,6,10,4,0,0,0,32,14,116,45,25,22,20,5,9,0,259,17,93,17,8,10,13,0,0,3,157,9,12,11,10,19,21,6,7,6,105,0,5,5,3,6,3,0,5,0,26,3,15,23,9,29,26,5,5,0,113,0,9,4,6,6,9,4,5,0,38,6,37,32,14,41,24,4,16,4,181,6,31,10,12,15,6,3,3,4,79,12,21,26,34,48,53,18,27,0,242,20,89,78,54,86,61,34,61,6,492,48,111,124,102,87,75,15,23,0,590,7,14,9,0,7,5,0,0,0,37,13,29,24,12,10,4,0,14,0,104
UCL213007,154,371,215,212,875,1075,294,588,74,3863,9,19,11,11,11,5,3,7,5,78,0,0,0,0,0,0,0,0,0,0,0,32,5,5,17,11,4,0,0,79,4,3,5,7,6,20,0,0,0,50,0,16,16,7,15,12,3,0,0,76,3,3,4,11,25,10,0,0,0,66,36,142,105,65,83,36,17,4,5,496,26,111,45,18,18,15,7,25,0,262,4,9,7,8,7,10,4,4,0,48,0,0,0,3,11,3,4,4,0,32,6,12,11,8,28,24,7,4,0,93,0,5,5,0,10,6,0,0,0,30,3,19,21,24,50,27,4,6,0,157,10,40,16,4,30,9,4,5,0,124,22,16,18,21,65,45,5,14,0,201,19,71,90,61,106,52,35,43,0,488,69,164,229,236,219,197,39,48,8,1205,9,19,8,11,3,0,0,0,0,50,14,36,24,18,30,24,0,0,6,153
UCL213008,170,313,202,162,921,1280,350,700,65,4169,0,8,0,0,9,4,0,3,0,17,0,0,0,0,0,3,0,0,0,6,11,25,23,10,35,30,4,12,0,147,0,0,10,4,11,10,0,0,0,31,4,15,12,4,26,28,8,4,0,102,0,12,7,8,17,11,0,4,0,68,43,123,102,52,100,42,4,18,3,493,22,136,50,18,28,5,0,11,4,279,8,7,12,13,36,23,11,6,0,119,0,3,5,0,9,3,0,3,0,27,3,6,20,22,49,29,4,9,0,151,0,7,0,5,25,10,0,0,0,54,8,31,23,32,55,47,9,12,0,215,7,40,25,7,47,18,0,5,0,151,25,32,39,16,87,79,18,22,0,313,26,83,97,38,144,75,25,58,0,555,60,153,204,185,180,104,23,28,9,940,11,9,4,0,5,6,0,0,0,33,19,34,31,11,19,13,6,4,0,136
UCL213009,108,300,204,187,662,868,233,406,31,3003,0,9,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,21,21,8,15,21,0,5,4,103,0,4,0,0,10,0,0,6,0,23,0,19,14,5,12,13,0,0,0,76,4,8,13,6,11,9,0,3,0,47,36,143,84,35,58,41,7,7,7,418,12,117,29,10,15,14,3,6,0,205,0,8,6,5,8,8,4,4,0,34,0,3,9,0,4,5,4,0,0,22,11,4,13,11,34,28,4,4,0,106,0,4,3,3,17,13,3,4,0,36,4,23,26,8,40,24,0,9,5,144,3,26,19,9,9,7,0,0,0,85,17,9,20,13,51,44,12,11,0,183,20,74,67,54,83,40,16,34,0,395,68,148,195,176,160,113,25,39,6,930,8,19,0,4,4,0,0,0,0,31,8,41,48,10,24,10,0,5,4,152
UCL213010,124,278,207,154,675,767,207,374,87,2868,0,14,16,10,9,9,0,0,0,51,0,0,0,0,0,0,0,0,0,9,3,14,6,4,23,11,6,4,0,60,0,4,3,0,19,10,0,0,0,44,0,7,13,6,18,12,0,7,0,64,0,4,3,5,6,8,0,0,0,26,22,115,74,54,54,35,4,4,11,373,28,104,37,14,18,17,0,6,4,223,8,4,6,0,8,7,0,3,0,40,0,4,3,0,10,0,0,0,0,21,5,7,16,8,32,18,0,0,0,81,0,0,6,3,22,6,0,0,0,47,7,20,15,11,19,11,3,0,0,86,8,43,13,5,25,5,0,0,3,104,19,39,39,22,68,32,13,14,0,245,9,58,59,48,77,30,20,15,3,326,50,148,176,155,138,72,22,37,9,810,4,10,0,0,0,0,0,0,0,25,5,28,26,12,17,11,0,4,0,108
UCL213011,95,280,202,160,549,521,171,289,86,2358,3,8,10,8,5,5,0,0,0,34,0,0,0,0,0,0,0,0,0,5,3,7,0,4,10,9,3,0,0,48,0,5,0,0,10,7,0,0,0,31,0,3,6,0,3,5,0,0,0,23,0,4,4,6,5,6,0,4,0,27,23,90,63,36,65,22,4,5,4,311,22,82,55,15,16,4,0,8,0,213,0,11,11,7,11,8,0,3,0,43,5,7,0,4,17,7,0,0,0,46,0,11,0,0,6,7,0,3,0,40,0,4,6,3,12,4,0,0,0,30,3,11,6,3,18,9,0,0,0,53,5,37,21,9,9,7,0,0,0,104,14,26,33,32,65,22,13,17,5,207,11,41,50,31,53,17,7,18,4,227,37,99,135,88,112,66,16,21,9,585,3,9,4,0,0,0,0,0,0,29,7,12,12,8,13,7,0,0,0,65
UCL213012,108,259,145,139,438,655,135,315,48,2249,6,15,7,5,5,4,3,6,0,53,0,0,0,0,0,0,0,0,0,0,3,20,13,7,20,21,3,9,0,96,0,0,0,0,7,0,0,0,0,16,0,11,0,0,4,5,0,0,0,22,0,8,5,7,9,0,3,3,0,30,8,92,42,20,32,15,3,4,0,223,30,98,35,11,18,7,4,15,3,226,3,8,9,7,13,3,3,4,0,47,0,5,0,0,4,0,0,0,0,14,5,0,3,6,14,5,0,4,0,28,4,0,0,0,6,6,0,3,0,26,8,8,9,4,11,5,3,5,0,51,4,30,13,5,6,8,3,0,0,77,8,22,31,14,34,22,5,3,0,148,16,50,38,37,45,39,18,43,0,284,49,107,124,99,105,76,15,19,4,601,5,14,10,0,5,0,0,0,0,41,5,18,15,15,10,9,0,3,0,84
UCL213013,121,295,204,134,634,830,246,507,60,3047,0,15,11,3,10,9,5,5,0,55,0,0,0,0,3,6,5,0,0,21,5,12,14,4,13,7,0,4,0,58,0,0,0,3,9,3,0,6,0,23,0,10,13,5,19,14,0,5,0,64,0,3,0,0,8,0,0,0,0,13,26,139,72,34,57,40,9,12,0,380,19,90,40,10,12,6,3,11,5,204,0,4,5,0,4,7,5,3,4,27,0,5,0,3,3,4,3,0,0,18,4,9,5,0,13,3,0,0,0,36,0,0,3,5,21,3,0,3,0,39,0,25,26,12,26,27,8,12,0,126,3,36,8,7,17,8,0,4,0,76,16,31,24,10,76,69,19,29,3,279,22,85,75,49,80,48,23,46,3,433,66,118,208,172,114,126,25,39,7,879,9,10,4,3,4,5,0,0,0,35,3,29,32,9,23,9,0,4,0,116
UCL213014,75,216,161,118,553,750,204,455,51,2580,4,15,15,17,35,18,4,7,0,117,0,0,0,0,0,0,0,0,0,0,0,25,11,16,30,26,5,0,0,114,0,0,0,0,4,6,0,0,0,8,0,11,8,6,5,14,0,0,0,54,0,3,10,0,8,12,3,0,0,33,19,72,48,39,43,37,11,9,0,278,34,106,50,15,30,5,8,12,0,256,0,4,15,3,9,23,0,0,0,51,3,7,0,5,8,3,0,0,0,14,0,9,7,6,18,7,0,0,0,51,0,4,0,4,10,3,0,0,0,24,0,14,8,12,21,21,3,5,0,85,0,20,14,4,16,5,0,0,0,75,8,13,16,7,51,28,11,9,0,137,13,54,71,45,66,48,10,30,0,346,47,86,112,101,140,124,20,37,3,663,3,7,6,3,6,0,0,0,0,23,15,14,15,7,17,3,4,4,0,84
UCL213015,123,282,201,185,942,1151,324,575,91,3875,0,0,4,4,7,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,6,21,21,14,61,47,15,11,0,195,0,3,4,0,4,6,0,0,0,24,10,13,23,13,30,26,3,11,0,124,0,6,9,4,18,17,0,0,0,63,34,100,67,49,70,37,11,5,0,372,25,141,55,17,24,16,3,4,11,288,6,15,26,6,35,29,6,10,6,139,0,4,0,6,6,3,0,0,0,17,4,0,8,7,38,24,4,5,0,92,0,3,4,4,16,4,0,0,0,43,6,13,20,12,31,26,9,16,3,130,10,22,13,10,22,13,0,8,0,90,16,16,23,13,74,55,14,13,0,224,20,49,84,62,109,25,33,32,8,425,52,98,161,136,170,99,19,33,5,760,9,16,11,0,7,3,0,7,4,45,24,28,21,13,18,10,3,7,5,124
UCL213016,160,462,289,271,1033,1074,307,658,84,4335,3,12,8,0,10,4,4,5,0,49,0,0,0,0,0,0,0,0,0,0,13,28,33,19,50,35,5,10,5,188,0,0,0,0,0,0,0,0,0,7,3,22,16,9,16,10,0,6,0,82,0,6,4,5,6,5,3,0,0,42,49,194,112,59,92,53,7,17,5,580,40,178,52,31,49,33,3,18,6,403,3,11,12,5,14,12,8,4,0,72,0,4,6,0,7,3,0,4,0,27,3,10,8,12,18,16,5,4,0,80,0,8,10,7,15,7,0,4,0,52,5,24,19,21,35,25,13,5,0,147,13,49,25,10,49,12,5,0,0,170,16,14,32,32,72,50,15,11,0,243,29,77,81,68,147,65,22,59,0,558,104,178,305,308,263,226,55,59,12,1507,4,10,0,0,10,0,4,0,0,31,19,30,25,18,34,18,0,7,0,154
UCL213017,176,410,277,238,937,1137,370,807,74,4427,4,13,22,17,47,18,3,6,0,135,0,0,0,0,0,0,0,0,0,10,10,35,24,10,34,22,10,17,0,155,0,3,0,0,4,0,3,0,0,14,3,36,23,12,35,31,4,5,0,149,6,13,6,0,6,13,3,0,0,48,35,164,79,40,72,46,18,18,6,470,28,126,40,22,16,18,0,13,0,269,13,4,12,11,7,6,3,0,0,57,6,6,11,3,12,7,0,4,0,39,6,14,9,0,25,20,7,3,0,95,0,4,0,4,17,19,3,10,0,59,7,31,35,23,53,36,10,21,0,211,18,43,23,18,19,15,0,0,4,142,10,20,42,22,73,59,11,19,0,270,42,122,119,83,127,95,29,103,3,725,102,210,233,230,190,148,27,57,3,1190,5,31,8,10,17,5,0,0,0,71,17,45,37,36,34,15,9,13,0,202
UCL213018,81,198,107,73,321,459,145,282,32,1709,3,12,3,6,8,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,13,9,9,20,17,9,6,0,87,0,0,0,0,0,6,0,0,0,3,3,7,5,5,8,13,4,5,0,53,0,3,0,3,0,0,0,0,0,12,18,59,39,24,31,13,4,5,10,197,50,104,44,9,31,14,6,10,8,267,0,4,3,6,5,3,0,3,0,25,0,0,3,0,0,0,0,0,0,10,0,0,0,9,21,14,0,3,0,44,0,5,6,3,9,0,0,0,0,25,0,13,14,5,9,14,4,4,0,63,5,20,6,7,14,4,0,0,0,56,5,5,6,5,10,11,0,0,0,50,11,32,26,36,41,30,11,23,0,211,23,54,99,96,56,46,12,15,0,411,0,3,0,0,0,4,0,0,0,17,3,11,9,7,13,4,0,4,0,54
UCL214001,75,133,107,105,323,418,106,214,30,1509,0,4,4,5,3,7,3,0,4,34,0,0,0,0,0,4,0,0,0,3,5,20,7,10,33,70,12,7,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,3,0,5,3,0,0,0,14,6,45,21,18,22,6,5,0,4,137,10,59,20,11,13,7,0,12,3,141,0,4,0,0,0,5,0,0,0,16,5,0,0,0,0,0,0,0,0,10,3,3,10,0,6,0,0,6,0,22,0,5,0,0,12,5,0,0,0,22,0,9,7,0,7,6,3,0,0,32,0,15,6,3,8,0,4,0,0,45,14,16,10,9,49,37,5,10,0,150,8,20,27,15,32,22,4,18,0,150,35,68,79,91,73,69,16,20,12,463,0,6,6,3,0,0,0,0,0,15,0,8,15,4,7,5,0,0,0,48
UCL214002,66,125,82,68,296,462,134,314,23,1565,0,3,0,5,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,23,8,5,10,11,0,7,0,57,0,0,0,0,0,3,0,0,0,7,0,7,8,6,10,10,0,5,0,41,3,7,0,0,8,3,0,0,0,20,18,64,40,18,39,11,9,0,0,192,6,54,12,4,5,3,0,0,0,96,3,0,4,0,3,7,0,0,0,31,0,3,3,3,0,0,0,0,0,12,7,0,10,12,16,17,0,0,0,57,5,3,3,5,11,0,0,0,0,22,3,6,12,5,14,13,3,7,0,64,3,12,9,8,9,0,0,0,0,39,14,11,9,11,30,23,8,6,0,115,18,37,49,29,46,18,5,15,0,217,42,74,77,69,65,42,7,10,4,388,0,5,4,0,5,6,0,0,0,17,5,17,10,6,10,5,0,0,0,52
UCL214003,91,221,125,102,386,484,128,371,63,1970,3,11,9,3,3,5,0,0,0,38,0,0,0,0,4,0,0,0,0,6,4,13,9,4,25,27,4,4,3,93,0,0,0,0,0,0,0,0,0,9,0,13,9,6,15,14,4,17,0,74,0,7,3,0,3,3,0,0,0,15,13,67,45,25,32,15,0,14,3,212,18,69,22,7,14,9,0,9,3,155,0,3,3,0,6,4,3,0,0,25,0,0,0,0,0,0,0,0,0,5,7,0,0,0,14,4,3,4,0,34,3,5,0,0,6,0,0,0,0,16,4,10,7,3,15,11,0,3,0,65,8,26,12,7,9,9,0,3,0,73,14,19,19,21,25,37,5,7,0,145,17,36,32,34,59,32,16,25,0,253,47,96,126,100,83,68,16,25,9,568,3,10,3,0,3,5,3,0,4,32,0,14,6,9,12,5,4,0,0,54
UCL214004,53,98,93,72,204,276,114,205,28,1138,3,7,11,14,13,3,4,3,4,60,0,0,0,0,0,0,0,0,0,0,7,10,15,3,20,15,14,3,3,91,0,0,0,0,0,3,0,0,0,5,0,3,0,0,3,4,0,4,0,27,0,4,0,3,0,0,0,0,0,11,9,43,26,22,21,11,0,7,0,139,10,44,19,10,7,3,0,0,0,96,0,6,3,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,3,5,3,3,3,5,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,11,6,14,8,0,4,0,40,3,15,17,0,8,4,3,0,0,49,0,6,3,3,13,10,0,0,0,35,11,13,14,16,27,18,10,11,0,119,8,31,53,36,35,33,6,5,3,209,0,5,6,0,0,0,0,0,0,8,10,11,0,5,3,4,0,0,0,36
UCL214005,12,17,20,9,34,77,11,37,9,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,9,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,5,0,12,6,3,6,6,0,3,0,31,4,6,5,0,5,0,0,4,0,20,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,5,0,0,0,0,16,3,3,0,4,4,0,0,4,0,22,0,7,8,16,9,5,3,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
UCL214006,99,158,131,87,204,256,68,133,38,1172,0,3,3,4,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,7,3,3,11,3,0,0,4,37,0,3,0,0,3,8,0,0,0,18,4,7,0,5,0,6,0,0,0,30,0,4,6,0,4,0,4,0,0,17,19,53,29,9,27,10,5,7,0,160,30,50,18,14,21,9,8,9,4,166,0,3,7,0,0,0,0,0,0,17,0,4,6,0,0,0,0,0,0,15,0,3,0,4,8,4,0,5,0,27,0,8,12,5,14,7,0,0,0,39,0,10,11,7,10,12,0,4,0,67,7,21,0,4,0,4,0,0,0,38,8,3,5,0,14,0,0,0,0,39,7,23,24,21,19,7,9,15,0,122,19,54,62,40,58,23,9,6,0,273,14,30,9,6,13,8,0,8,0,80,0,14,6,0,3,9,4,0,0,41
UCL214007,52,87,86,52,385,449,117,176,24,1433,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,0,24,15,4,3,0,60,0,0,3,0,3,3,0,0,0,11,0,5,9,0,5,22,0,0,0,44,3,0,4,3,13,3,0,0,0,29,11,31,42,6,21,17,5,0,0,141,5,23,8,5,8,7,4,0,0,63,12,10,13,10,24,16,3,3,0,92,4,3,0,0,4,0,0,0,0,10,6,3,0,0,21,19,0,3,0,53,4,0,0,3,6,5,0,0,0,24,3,13,10,7,27,13,3,3,0,75,0,11,9,0,14,9,5,3,0,46,8,5,12,5,37,27,5,9,0,105,11,24,20,15,51,23,15,18,0,181,19,46,45,53,66,37,3,20,0,284,0,4,3,4,3,4,0,0,0,19,3,13,17,0,8,4,0,0,0,47
UCL214008,105,203,160,143,419,577,158,346,45,2152,6,17,16,4,11,14,0,7,0,80,0,0,0,0,0,0,0,0,0,0,0,21,4,4,6,3,0,3,0,45,0,0,0,3,0,0,0,0,0,3,0,10,4,12,10,14,0,7,0,49,0,0,3,4,6,8,3,0,0,23,27,81,46,34,41,26,13,5,3,273,19,74,23,9,16,8,3,12,0,176,6,5,10,0,5,4,0,0,0,28,0,10,5,4,9,3,0,0,0,29,3,0,0,6,15,4,0,0,0,29,5,4,8,0,6,3,0,0,0,25,0,9,8,20,18,14,0,7,0,83,6,24,13,0,6,0,0,3,0,50,14,12,22,17,30,29,10,7,0,142,12,36,53,26,50,31,16,33,0,256,50,104,147,102,98,122,13,25,9,670,0,9,0,0,0,6,0,3,0,12,9,20,10,10,7,8,3,6,0,70
UCL214009,124,222,149,104,363,548,154,288,31,1982,4,5,9,8,0,10,0,0,0,31,0,0,0,0,0,0,0,0,0,0,15,43,20,15,29,28,0,8,0,161,4,0,4,3,0,0,4,0,0,20,0,9,14,9,9,10,6,3,0,62,0,5,8,3,8,7,0,3,0,28,14,66,47,25,24,17,3,4,4,202,41,85,28,12,25,8,0,5,0,213,0,6,11,0,5,6,0,4,0,30,0,0,3,0,4,0,0,3,0,17,0,5,5,0,6,10,3,0,0,30,0,5,9,0,5,5,0,0,0,22,3,16,16,9,24,22,12,8,0,116,8,24,16,4,11,5,0,0,0,63,12,8,4,12,19,16,0,7,0,85,19,46,63,18,48,33,12,25,0,264,23,93,99,76,50,37,12,14,5,418,10,26,5,9,5,16,0,0,0,68,9,22,24,10,13,9,0,4,5,95
