UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL213018,0,0,0,0,..,5,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,43,4,50,0,50,..,257,22,282,3,284,..,27,0,24,488,518,7775,287,28,309,491,8580
UCL214001,0,3,0,3,..,5,0,5,0,5,..,6,0,7,0,7,..,11,4,15,0,15,..,73,9,82,5,83,..,407,74,490,7,491,..,17,0,17,373,397,6135,430,80,509,375,7015
UCL214002,0,0,0,0,..,7,0,9,0,9,..,0,0,0,0,0,..,3,0,6,0,6,..,51,12,59,0,62,..,184,24,209,3,214,..,10,0,13,191,203,5759,196,25,221,200,6178
UCL214003,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,5,..,50,4,54,0,54,..,380,39,424,14,436,..,27,0,27,773,797,8500,406,39,446,792,9742
UCL214004,0,13,0,13,..,16,11,22,0,22,..,5,0,0,0,0,..,0,0,0,0,0,..,27,5,33,0,33,..,518,192,706,17,720,..,19,3,20,321,344,4329,538,191,726,336,5389
UCL214005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,4,17,0,17,..,0,0,0,51,53,925,21,4,23,51,1004
UCL214006,0,4,0,4,..,12,0,12,0,12,..,4,0,4,0,4,..,17,0,24,0,24,..,68,9,71,0,71,..,469,58,526,4,528,..,25,0,30,412,438,5828,503,58,555,417,6797
UCL214007,0,13,0,13,..,17,3,21,0,21,..,12,0,15,0,15,..,13,3,17,0,24,..,112,12,122,6,126,..,1090,95,1185,22,1203,..,11,3,13,191,201,3604,1096,95,1192,211,5011
UCL214008,0,0,0,0,..,14,7,21,0,21,..,0,0,0,0,0,..,11,0,8,0,8,..,55,13,69,3,75,..,313,37,355,10,362,..,16,0,23,501,524,8693,335,37,373,512,9577
UCL214009,0,0,0,0,..,20,0,19,0,19,..,0,0,0,0,0,..,5,0,3,0,3,..,83,7,94,6,101,..,341,38,381,8,389,..,40,4,42,389,436,7875,388,41,427,400,8698
UCL214010,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,47,9,53,0,51,..,220,23,245,0,251,..,16,0,19,238,260,5538,243,22,267,242,6046
UCL214011,0,10,0,10,..,10,0,14,0,14,..,17,0,20,0,20,..,12,0,12,0,12,..,107,20,128,7,127,..,581,74,652,12,663,..,16,0,19,444,462,7663,600,76,669,453,8786
UCL214012,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,54,8,64,4,60,..,258,38,298,6,309,..,30,0,32,357,391,5317,292,42,331,364,6010
UCL214013,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,4,0,4,..,42,6,52,0,48,..,253,67,321,9,325,..,12,0,12,208,217,4606,265,67,335,213,5151
UCL214014,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,12,8,14,0,14,..,61,0,67,3,67,..,295,28,324,3,330,..,18,0,18,626,638,5553,311,28,340,628,6527
UCL214015,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,7,3,0,3,..,46,5,53,0,51,..,248,45,298,0,297,..,15,3,20,272,289,5029,262,52,314,274,5618
UCL214016,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,4,6,8,0,8,..,43,9,45,0,45,..,238,22,259,3,269,..,27,0,32,418,451,7054,271,24,288,424,7769
UCL214017,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,38,0,37,..,176,10,185,0,189,..,3,0,3,314,314,4760,180,10,192,314,5265
UCL214018,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,11,0,11,0,11,..,128,8,134,0,135,..,543,75,620,10,633,..,25,0,25,644,672,7744,568,75,646,651,9048
UCL214019,0,0,0,0,..,6,7,16,0,16,..,0,0,0,0,0,..,7,8,13,0,13,..,35,5,39,0,39,..,339,67,404,3,406,..,15,3,21,513,530,5076,356,72,426,514,6016
UCL214020,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,94,12,109,0,109,..,351,75,425,0,430,..,12,4,17,483,500,4695,369,78,445,488,5627
UCL214021,0,0,0,0,..,9,0,9,0,9,..,4,0,3,0,3,..,7,5,12,0,12,..,39,7,42,0,43,..,286,40,323,5,328,..,15,0,15,204,214,4952,302,40,335,210,5497
UCL214022,0,3,0,3,..,20,5,24,0,24,..,0,0,5,0,5,..,10,5,10,0,10,..,69,16,84,0,84,..,381,70,447,6,451,..,24,0,21,495,524,7458,401,70,475,500,8430
UCL215001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,31,3,39,4,34,..,3,0,3,91,94,1260,33,3,35,99,1395
UCL215002,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,7,6,11,0,11,..,74,8,90,0,90,..,0,0,0,117,119,2276,74,11,87,117,2480
UCL215003,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,29,4,29,0,29,..,98,8,105,5,108,..,0,0,0,183,184,2899,100,8,110,181,3191
UCL215004,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,16,0,16,..,137,19,147,0,147,..,8,0,8,163,167,1174,136,19,155,163,1491
UCL215005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,13,0,13,0,13,..,0,0,5,81,85,1034,21,0,18,81,1129
UCL215006,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,5,28,0,28,..,93,12,105,0,105,..,0,0,0,101,106,2399,95,12,108,101,2613
UCL215007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,57,0,60,0,61,..,0,0,0,149,148,2321,60,0,65,147,2528
UCL215008,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,3,18,0,18,..,49,9,60,0,60,..,6,0,6,38,45,1846,56,9,64,38,1950
UCL215009,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,7,0,7,..,0,0,0,73,76,853,6,3,11,73,938
UCL215010,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,20,3,21,0,24,..,96,5,103,0,108,..,0,0,0,117,117,2054,96,5,103,121,2274
UCL215011,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,8,3,11,0,11,..,37,4,41,0,35,..,0,0,0,101,98,1025,39,4,41,103,1166
UCL215012,0,0,0,0,..,3,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,36,8,36,0,40,..,153,13,167,0,163,..,6,0,6,120,125,2996,162,13,169,121,3291
UCL215013,3,18,0,19,..,8,0,8,0,8,..,41,4,48,0,48,..,9,5,16,0,16,..,175,26,196,7,204,..,968,99,1068,16,1079,..,11,6,21,150,168,2916,980,99,1083,162,4160
UCL215014,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,34,0,32,0,32,..,0,0,0,33,34,1158,32,0,33,33,1231
UCL215015,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,41,12,52,0,57,..,154,21,179,3,179,..,7,0,7,206,216,2088,161,21,189,208,2481
UCL215016,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,24,6,30,0,30,..,121,10,130,0,130,..,14,0,14,188,206,3741,144,10,147,188,4076
UCL215017,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,13,..,40,3,43,0,47,..,8,0,8,158,160,2498,45,3,53,158,2707
UCL215018,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,3,3,0,3,..,60,7,70,0,70,..,4,0,4,162,162,2648,65,7,76,162,2884
UCL215019,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,19,..,99,6,102,4,111,..,7,0,7,270,273,1918,104,6,111,273,2301
UCL215020,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,8,..,59,0,62,0,61,..,5,0,5,73,79,1197,64,0,64,69,1336
UCL215021,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,14,0,14,..,20,0,24,0,24,..,0,0,0,70,70,1113,24,0,24,70,1208
UCL215022,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,59,4,61,5,65,..,202,21,225,4,223,..,17,0,17,392,411,4037,219,21,241,395,4679
UCL215023,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,19,0,22,0,22,..,0,0,0,72,72,1408,19,0,22,72,1503
UCL215024,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,8,..,57,9,62,4,63,..,0,0,0,148,149,1656,60,9,61,154,1870
UCL215025,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,5,11,0,11,..,36,5,51,0,51,..,5,0,5,64,67,938,38,5,50,65,1056
UCL215026,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,60,6,69,0,69,..,9,0,9,88,96,945,65,6,73,88,1108
UCL215027,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,4,0,4,..,50,3,52,0,53,..,3,0,3,121,130,1004,54,3,56,122,1186
UCL215028,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,13,0,13,..,82,13,95,0,95,..,7,0,9,280,288,2410,94,13,101,280,2794
UCL215029,0,0,0,0,..,7,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,56,5,56,0,56,..,277,24,302,0,302,..,15,0,15,253,263,3166,290,24,314,253,3732
UCL215030,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,22,0,26,0,26,..,0,0,0,79,77,1212,26,0,24,79,1315
UCL215031,0,0,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,13,0,13,..,63,3,68,0,75,..,10,0,10,108,117,1185,71,3,81,108,1375
UCL215032,0,5,0,5,..,6,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,13,0,17,0,17,..,93,7,101,0,101,..,11,0,11,242,255,2760,103,7,110,242,3116
UCL215033,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,14,0,9,..,51,7,60,0,60,..,228,21,247,0,249,..,7,0,4,44,51,2527,236,25,253,48,2826
UCL215034,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,8,0,4,..,17,0,17,0,13,..,57,9,60,3,62,..,0,3,4,107,115,1127,53,8,63,108,1308
UCL215035,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,28,3,31,0,31,..,3,0,0,100,104,1511,27,9,37,100,1644
UCL215036,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,37,0,33,0,33,..,0,0,0,106,107,1083,35,0,37,106,1226
