UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL214008,44,125,29,61,0,314,52,60,220,157,208,23,713,0,0,8,4,9,0,18,6,0,10,22,89,0,126,5,0,12,10,43,8,73,163,145,599,411,1348,83,2752
UCL214009,41,125,52,33,6,304,35,28,115,106,123,14,417,13,14,25,6,25,0,76,0,6,11,30,97,3,146,3,0,13,8,58,7,90,173,128,645,506,1194,84,2715
UCL214010,44,128,27,25,9,288,54,43,133,53,64,9,358,3,0,16,9,11,3,38,0,0,3,15,29,0,57,3,3,18,5,18,6,52,165,136,521,283,573,62,1749
UCL214011,51,118,52,62,4,340,30,33,112,95,120,7,405,5,0,0,6,12,0,24,3,0,12,16,88,0,115,4,0,16,15,51,9,96,155,129,524,487,1262,75,2632
UCL214012,30,78,26,28,0,175,17,17,85,74,137,13,339,0,0,3,0,9,0,18,4,3,10,14,65,0,91,3,0,6,3,19,14,53,63,65,290,265,786,69,1533
UCL214013,42,70,15,23,0,207,43,25,90,32,53,5,244,3,5,21,10,4,0,36,0,5,13,8,32,0,59,0,0,11,0,13,5,35,180,144,492,246,485,55,1606
UCL214014,26,54,27,24,3,153,23,15,67,74,106,13,290,0,0,3,0,4,0,9,0,3,5,10,27,0,46,0,0,4,0,24,10,45,62,53,215,228,657,78,1291
UCL214015,24,94,29,30,5,201,24,30,101,65,89,6,310,3,4,8,0,0,0,15,7,0,4,16,56,3,89,3,0,3,6,26,4,42,71,72,338,243,710,50,1489
UCL214016,22,81,20,38,0,176,21,18,102,74,150,10,380,0,0,7,0,4,0,14,0,0,0,8,52,4,63,0,0,6,6,34,19,58,51,58,302,230,851,77,1568
UCL214017,26,101,18,16,9,220,38,23,137,52,39,13,296,3,4,20,6,7,0,43,7,0,9,7,9,0,42,4,5,15,11,23,8,62,215,115,629,245,345,50,1603
UCL214018,27,88,37,39,0,255,56,37,120,103,113,11,439,5,3,15,12,14,4,53,3,5,17,21,65,0,106,8,0,9,15,26,10,69,218,118,537,450,918,73,2307
UCL214019,15,54,20,24,0,125,22,21,59,58,90,11,261,0,0,3,8,12,0,19,0,6,8,10,49,0,71,0,0,0,0,19,13,36,60,61,254,271,710,65,1420
UCL214020,12,54,14,22,5,115,23,18,86,82,146,10,358,0,0,8,12,11,0,28,0,0,3,8,23,0,30,7,0,5,3,10,10,35,63,52,269,238,664,65,1348
UCL214021,29,74,27,37,4,195,13,21,85,75,86,8,294,0,4,3,3,8,0,25,3,0,7,20,57,6,91,0,0,6,10,51,14,78,81,66,285,302,883,53,1661
UCL214022,28,54,27,39,0,164,29,19,130,92,179,21,471,0,0,11,4,15,0,34,0,6,11,16,77,3,115,6,0,4,10,28,10,62,81,75,353,289,985,87,1875
UCL215001,14,32,8,5,0,70,13,6,34,12,0,0,76,0,0,12,3,0,0,19,5,3,5,0,3,0,14,10,0,4,0,0,3,21,77,54,224,72,101,12,546
