UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL212005,3,31,0,9,0,0,47,5,38,0,8,0,0,53,41,253,28,82,12,4,421,238,161,63,118,18,7,610,280,119,32,130,26,3,591,796,82,27,228,38,5,1182,1130,39,42,243,67,17,1524,733,15,4,141,40,10,940,148,0,0,33,15,0,196,10,0,0,5,6,0,21,7,0,0,5,0,0,12,6,0,0,0,5,0,8,3,0,0,3,0,0,5,3,0,0,3,0,0,7,69,61,8,53,19,23,233,3460,803,215,1057,243,75,5856
UCL212006,3,3,0,3,0,0,13,0,4,0,4,0,0,10,9,50,9,10,0,0,77,10,20,17,23,0,0,69,7,13,0,29,0,0,51,67,6,0,44,3,0,120,510,5,4,164,4,0,687,1192,8,5,127,6,0,1346,261,0,0,25,0,0,291,38,0,0,7,0,0,48,14,0,0,0,0,0,13,3,0,0,3,0,0,8,7,0,0,0,0,0,7,16,0,0,0,0,0,16,41,11,5,25,4,8,90,2176,123,44,460,22,14,2838
UCL212007,6,0,0,4,3,0,6,0,0,0,0,0,0,3,4,3,0,15,0,0,26,12,0,0,13,0,0,29,4,0,0,17,4,0,26,16,0,0,27,0,0,37,47,0,0,31,0,0,80,194,0,0,66,0,0,260,480,0,0,77,4,0,565,338,0,0,37,0,0,375,92,0,0,5,0,0,105,42,0,0,5,0,0,51,9,0,0,0,0,0,9,5,0,0,0,0,0,10,19,0,0,20,6,3,52,1281,3,4,322,25,3,1637
UCL212008,8,27,5,4,0,0,41,0,24,11,4,3,6,40,35,115,10,17,3,0,185,109,64,15,53,13,0,266,168,36,5,73,11,4,286,357,27,6,102,13,5,498,534,6,5,114,17,3,679,473,6,4,52,6,0,542,117,0,5,9,5,0,129,4,0,0,0,0,0,7,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,0,0,0,0,0,8,28,27,3,19,9,9,97,1842,333,67,452,68,19,2779
UCL212009,3,31,4,10,4,0,52,3,30,3,3,5,0,45,45,215,22,45,5,8,335,76,97,30,62,15,3,275,151,48,5,85,4,0,296,382,70,13,108,8,0,573,693,17,17,195,18,3,956,722,0,15,113,12,0,876,178,0,3,33,4,0,219,35,0,0,7,5,0,44,11,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,35,43,11,32,17,6,146,2328,567,128,701,92,24,3838
UCL213001,0,5,0,4,0,0,9,0,6,4,0,3,0,18,3,84,7,12,3,3,122,26,42,16,32,7,0,127,39,16,13,45,0,0,121,216,32,28,76,3,0,363,336,15,22,98,10,0,470,231,5,0,49,4,0,289,29,0,6,0,0,0,37,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,6,16,4,10,63,908,235,102,340,29,20,1631
UCL213002,0,4,0,3,0,0,17,0,8,0,0,0,0,14,6,67,0,15,0,0,94,6,12,10,25,5,0,53,14,3,9,19,4,0,42,49,7,3,34,7,0,94,187,8,3,68,0,0,269,160,3,6,51,4,0,226,47,0,0,23,0,0,71,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,10,0,0,33,485,138,35,245,17,3,921
UCL213003,0,9,6,4,0,0,17,0,3,0,3,0,0,7,10,82,5,30,9,4,136,28,38,7,21,17,0,118,47,22,6,40,11,0,123,149,34,12,55,12,6,272,258,3,8,61,4,0,333,167,5,3,30,3,0,201,20,4,0,6,0,0,24,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,9,6,3,56,696,224,43,268,62,17,1310
UCL213004,0,7,0,0,0,0,7,0,0,0,0,0,0,6,6,30,0,8,3,3,46,17,17,6,6,9,0,58,22,3,0,25,0,0,53,93,4,0,37,3,0,139,286,3,0,59,4,0,357,416,5,0,42,0,5,458,37,0,0,4,0,0,38,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,16,3,0,8,3,0,39,891,72,7,192,31,11,1202
UCL213005,3,0,0,5,0,0,7,0,3,0,0,0,0,4,0,9,0,10,0,0,15,9,3,0,12,0,0,25,13,0,0,16,0,0,31,37,0,0,29,0,0,62,223,0,3,60,4,0,293,669,0,0,64,4,0,736,68,0,0,6,0,0,78,12,0,0,3,0,0,11,4,0,0,0,0,0,4,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,11,3,0,30,1055,15,8,206,16,6,1309
UCL213006,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,8,4,3,0,0,15,0,4,8,0,0,0,16,0,4,0,7,0,0,10,4,6,5,9,0,0,22,38,3,0,34,0,0,70,130,0,3,39,0,0,172,125,0,0,23,0,0,147,82,0,0,3,0,0,89,16,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,11,0,0,7,0,0,27,412,31,18,131,4,0,601
UCL213007,0,24,0,3,0,0,30,5,27,0,0,0,0,26,24,118,4,26,5,0,174,149,44,10,60,6,0,269,177,29,3,44,8,0,258,292,14,0,51,0,3,363,326,5,10,52,6,6,401,195,9,5,31,10,0,240,31,0,0,6,0,0,41,5,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,35,23,3,13,8,6,88,1239,287,36,289,36,14,1904
UCL213008,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,8,4,5,0,0,17,19,6,24,15,21,3,86,11,0,3,8,0,0,24,34,3,10,29,9,0,80,209,0,4,65,0,0,279,460,0,5,54,3,0,520,212,0,0,12,0,0,226,6,0,0,0,0,0,6,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,13,3,0,33,969,28,43,198,37,11,1283
UCL213009,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,5,0,0,15,0,4,0,6,0,0,18,3,0,0,15,0,0,22,14,6,4,16,0,0,37,104,8,3,60,0,0,173,418,0,0,65,3,0,487,73,0,0,5,0,0,79,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,6,3,18,625,27,14,186,12,8,863
UCL213010,6,29,0,5,0,0,36,3,38,3,6,4,0,53,76,188,13,40,9,7,331,237,80,15,76,3,0,414,152,26,10,83,7,4,282,279,48,20,64,14,0,426,285,14,10,56,3,6,363,66,6,5,23,6,0,104,9,5,0,3,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,4,15,4,0,83,1132,447,84,368,56,22,2102
UCL213011,4,13,6,0,3,0,29,7,19,0,0,3,0,27,43,131,11,25,0,5,217,270,42,23,67,10,4,414,265,24,11,59,7,3,370,327,20,15,79,6,3,453,212,0,9,34,6,3,261,48,4,0,14,3,0,72,5,0,0,9,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,4,23,20,5,15,5,6,80,1218,275,87,294,41,23,1946
UCL213012,0,12,0,0,5,0,17,0,12,3,0,0,0,18,15,79,4,16,4,3,115,65,47,3,53,4,5,169,78,29,0,38,10,0,153,120,12,3,60,4,0,205,161,6,0,58,0,0,222,124,4,0,21,0,0,149,15,0,0,3,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,15,6,0,44,582,214,18,262,39,10,1129
UCL213013,3,13,0,3,0,0,16,0,5,0,5,0,0,17,8,80,3,10,3,0,115,77,34,7,34,9,0,150,118,15,11,41,4,0,193,257,33,9,42,50,0,383,377,8,3,45,48,0,479,342,3,0,32,11,4,379,69,0,0,5,0,0,80,11,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,0,11,7,5,61,1285,211,38,225,135,15,1896
UCL213014,0,5,4,3,0,0,15,0,13,5,6,0,0,27,34,80,4,24,0,4,151,123,52,7,34,13,0,230,81,19,4,42,4,0,158,197,15,4,62,4,3,288,190,3,3,69,14,0,279,89,3,0,32,3,0,134,20,0,0,5,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,8,20,9,4,66,758,210,45,299,47,9,1366
UCL213015,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,0,8,0,3,0,5,0,0,7,0,0,0,15,0,0,17,13,3,0,17,3,0,30,218,5,4,55,6,0,278,521,0,0,38,6,0,569,41,0,0,4,7,0,51,11,0,0,0,0,0,14,6,0,0,0,0,0,6,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,19,0,0,9,0,0,25,834,11,8,142,19,4,1019
UCL213016,0,21,0,0,0,0,22,0,17,0,0,0,0,22,15,144,9,20,7,4,192,114,65,24,46,14,0,261,122,29,6,69,9,0,228,307,39,8,97,6,0,460,380,10,10,89,9,0,493,328,4,0,48,0,0,384,50,0,0,8,0,0,59,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,34,4,20,7,9,100,1360,362,69,407,47,12,2255
UCL213017,4,10,0,0,0,0,14,5,5,0,4,0,0,10,13,78,0,14,12,0,122,19,33,5,24,5,0,82,28,14,0,33,4,0,76,95,13,9,51,4,0,168,362,18,0,83,3,0,469,486,0,0,63,3,0,554,82,0,0,5,0,0,91,16,0,0,0,0,0,15,4,0,0,0,0,0,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,16,5,0,57,1119,198,16,291,33,12,1666
UCL213018,0,4,0,0,0,0,9,0,6,0,0,0,0,8,15,39,0,8,8,0,70,24,17,3,18,0,0,65,24,10,0,23,0,0,56,105,6,5,26,0,0,138,152,0,0,44,3,0,197,160,0,0,33,0,0,193,22,0,0,4,0,0,27,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,0,4,0,0,28,507,94,13,164,20,5,801
UCL214001,0,0,0,0,0,0,8,0,8,0,5,0,0,8,3,43,0,21,3,0,79,58,17,0,27,3,0,102,38,9,3,41,6,0,97,160,13,0,30,5,0,209,154,3,0,22,6,0,181,69,4,0,11,8,0,84,14,0,0,0,5,0,20,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,4,4,0,21,503,97,8,158,38,3,815
UCL214002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,9,40,0,0,12,0,0,53,79,0,0,15,4,0,96,33,0,0,0,0,0,35,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,10,169,0,0,44,3,0,221
UCL214003,0,0,0,4,0,0,8,0,10,0,5,0,0,17,5,79,6,5,0,0,97,78,45,10,24,6,0,161,75,14,3,27,0,0,116,161,23,0,32,3,3,227,227,10,0,44,0,0,281,126,0,0,19,4,0,148,28,0,0,3,0,0,35,4,0,0,6,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,21,3,9,7,3,58,714,214,26,178,23,15,1168
UCL214004,0,7,3,0,0,0,7,0,4,0,0,0,0,5,13,50,6,12,3,0,78,37,35,14,17,7,0,107,35,8,6,16,0,0,59,109,3,0,31,0,0,148,101,3,0,31,7,0,139,65,0,0,11,3,0,82,5,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,6,4,9,32,365,115,28,125,30,9,673
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,7,9,0,0,3,0,0,5,0,0,0,4,0,0,11,16,0,0,8,0,0,19,8,0,0,3,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,26,0,0,62
UCL214006,4,0,0,0,0,0,4,0,3,0,0,0,0,3,0,22,0,8,0,0,27,6,6,7,3,3,0,29,15,0,0,13,0,0,29,56,0,0,19,5,0,77,154,0,9,49,9,0,212,211,0,0,25,3,0,240,60,0,0,8,0,0,67,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,9,3,3,28,515,30,21,144,14,3,729
UCL214007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,0,4,0,0,9,41,0,0,15,0,0,60,205,0,0,14,0,0,220,63,0,0,10,0,0,67,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,10,326,0,0,55,0,0,386
UCL214008,0,9,0,3,4,0,18,0,6,4,0,0,0,6,28,72,5,19,5,4,136,77,31,5,46,8,0,166,54,5,0,48,10,3,126,137,12,8,54,8,3,221,140,5,9,41,5,5,195,70,0,0,14,4,0,83,8,0,0,9,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,10,4,8,0,0,28,519,151,33,242,46,16,1005
UCL214009,0,7,5,0,0,0,5,0,5,0,0,0,0,8,4,34,9,0,4,0,58,8,14,3,13,0,0,38,0,4,0,5,0,0,22,9,8,0,15,0,0,25,57,7,0,26,4,0,93,164,0,0,42,0,0,208,36,0,0,7,0,0,47,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,5,0,3,27,299,87,28,122,11,7,547
