UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL213001,48,67,117,827,981,1810,0,0,0,76,78,162,66,67,135,916,1227,2141,3,3,4,20,14,29,25,40,62,5,7,17,7,18,24,0,3,7,14,8,24,65,93,161,131,165,292,18,27,39,22,29,45,211,306,522,127,140,270,3,3,9,2545,3201,5744,36,38,72,34,28,62,3,0,7,0,0,0,19,21,41,7,36,43,28,59,91,3178,3172,6346,19,27,46,8,17,24,3208,3213,6417,596,630,1225,6496,7238,13734
UCL213002,48,75,118,306,453,762,0,0,0,27,42,65,38,44,83,362,393,755,13,19,30,19,16,33,5,11,13,0,0,0,6,13,17,0,0,0,0,12,12,27,32,62,50,72,115,16,20,35,0,4,0,156,258,417,75,102,179,5,6,11,1114,1490,2604,10,15,26,9,10,16,4,22,26,4,4,9,10,10,18,23,41,65,38,51,88,2991,3171,6157,33,27,59,11,35,48,3037,3233,6269,951,474,1426,5214,5361,10577
UCL213003,49,50,95,450,564,1020,0,0,0,43,59,102,0,0,0,1473,1609,3078,0,3,3,20,16,31,17,12,26,8,5,9,9,25,30,5,0,11,10,10,22,58,60,120,170,221,392,8,17,28,4,0,4,263,417,681,67,98,164,3,5,4,2606,3127,5734,23,18,45,44,22,71,0,0,4,0,0,0,12,6,21,8,15,24,23,22,41,2847,2664,5506,9,3,18,3,8,8,2861,2674,5530,441,390,831,6042,6310,12348
UCL213004,33,59,94,620,823,1438,0,0,0,119,131,251,5,0,6,1174,1349,2528,6,22,27,35,28,64,28,32,58,23,15,39,24,23,48,0,0,0,75,65,141,58,85,140,241,304,545,10,12,22,22,24,50,149,252,402,204,247,447,3,4,9,2793,3423,6215,26,26,57,16,18,32,3,6,10,0,3,0,12,21,32,18,22,38,37,41,76,3601,3634,7231,27,27,52,8,14,20,3631,3674,7308,479,496,973,7018,7743,14764
UCL213005,35,87,112,739,949,1684,0,0,0,154,193,351,0,0,0,1650,1895,3544,9,10,20,77,76,156,18,22,42,3,3,6,32,40,72,0,0,0,13,18,35,54,65,119,140,176,319,12,21,38,7,0,5,295,437,730,158,200,368,6,5,7,3377,4115,7492,27,25,45,33,24,56,3,0,6,3,0,3,4,5,13,18,20,41,26,26,48,3905,3699,7606,29,20,51,13,26,38,3948,3743,7685,368,377,746,7811,8392,16199
UCL213006,13,33,49,454,563,1016,0,0,0,27,37,64,0,0,0,1419,1445,2856,18,27,45,34,37,80,21,21,34,0,0,5,18,24,41,0,0,0,3,10,17,42,34,75,83,87,164,0,8,7,11,8,14,153,220,376,97,103,201,0,0,0,2381,2623,5000,15,28,41,21,19,42,3,5,5,0,0,0,23,19,39,0,11,12,19,29,53,2615,2645,5259,23,11,34,12,12,20,2647,2674,5323,250,240,484,5358,5645,10999
UCL213007,36,50,88,557,779,1337,0,0,0,66,61,125,0,0,0,1095,1247,2335,100,131,226,28,19,48,4,10,18,6,7,12,525,619,1143,4,4,5,13,14,34,102,104,207,90,116,209,16,28,43,11,10,24,770,1009,1774,136,174,311,6,5,7,3517,4342,7861,77,77,151,42,29,73,0,6,5,0,0,0,22,20,37,14,17,31,32,34,64,3579,3334,6915,10,14,26,5,16,22,3594,3370,6967,559,526,1079,7867,8424,16289
UCL213008,64,90,146,555,761,1317,0,0,0,147,175,317,0,0,0,1807,1932,3737,9,5,13,99,109,207,22,29,55,21,19,43,46,79,119,0,0,0,19,26,40,44,51,100,142,167,314,8,14,13,10,7,16,195,262,462,165,201,369,11,9,14,3291,3841,7130,98,90,191,90,73,167,3,7,10,0,3,3,128,105,237,15,24,37,141,132,276,3632,3441,7080,19,6,28,0,16,15,3654,3469,7118,379,361,738,7718,8058,15772
UCL213009,22,49,68,519,665,1182,0,0,0,95,122,222,0,0,0,1222,1430,2651,9,11,14,47,61,107,16,14,38,0,0,3,24,40,68,0,0,0,12,8,22,58,68,121,101,137,240,24,30,57,5,5,10,268,367,633,139,150,291,10,6,10,2540,3130,5669,47,42,89,22,26,53,0,0,3,0,0,0,19,20,45,9,14,24,29,35,68,2926,2657,5586,20,14,35,4,27,32,2952,2690,5650,336,385,723,5963,6359,12319
UCL213010,35,55,87,740,947,1693,0,0,0,73,72,141,33,45,73,1298,1494,2797,5,10,12,89,90,174,78,103,181,29,29,58,17,21,33,0,0,3,12,17,31,81,104,184,175,238,411,26,41,67,5,24,32,105,186,295,152,154,307,8,4,7,2920,3579,6493,14,8,15,27,24,55,8,8,13,3,0,3,5,0,5,28,45,74,38,47,85,3828,3634,7468,26,25,49,3,23,27,3864,3683,7549,746,707,1458,7647,8109,15758
UCL213011,63,61,123,537,727,1265,0,0,0,48,62,110,0,0,0,1244,1429,2669,0,3,3,81,78,157,17,24,41,3,12,19,10,26,36,0,5,7,12,22,31,55,64,121,159,189,345,20,32,56,10,13,26,90,104,199,155,177,332,0,0,3,2462,2965,5430,41,39,77,163,140,308,8,4,13,0,0,0,21,15,28,31,35,71,54,49,96,3257,3004,6260,25,25,49,12,12,19,3293,3034,6329,872,822,1696,6950,7119,14068
UCL213012,30,35,62,437,533,970,0,0,0,86,87,176,0,0,0,621,731,1348,4,8,16,15,19,37,19,44,60,5,5,18,82,122,206,0,5,9,14,10,19,57,73,132,184,193,375,14,17,31,5,9,14,256,365,620,106,124,231,0,3,3,1913,2355,4270,25,29,50,10,6,15,4,5,7,0,0,0,8,7,12,8,12,23,13,23,36,2635,2440,5077,19,12,24,6,9,18,2658,2456,5118,466,415,882,5120,5329,10450
UCL213013,46,73,117,839,1092,1936,0,0,0,108,128,236,19,24,45,1123,1442,2568,4,5,14,26,33,58,7,13,17,19,16,41,11,16,30,0,0,0,17,23,45,14,29,46,135,135,271,9,5,14,10,13,22,176,284,459,136,181,321,5,7,9,2663,3459,6122,84,63,146,41,38,77,0,0,9,0,0,0,22,24,49,13,36,49,38,58,94,3296,3110,6409,35,15,47,14,13,22,3345,3135,6481,529,513,1045,6752,7350,14100
UCL213014,54,70,121,405,573,972,0,0,0,31,38,66,91,89,183,1103,1325,2432,39,54,90,0,9,7,4,14,24,0,3,3,9,11,21,0,0,3,11,13,25,26,38,64,116,150,270,3,8,15,0,4,6,247,398,647,99,141,237,0,0,0,2196,2860,5055,49,42,95,182,138,322,0,0,3,4,0,5,88,85,169,10,10,21,101,99,195,2160,2055,4212,3,6,12,8,4,9,2166,2064,4232,412,441,850,5157,5706,10869
UCL213015,55,84,139,456,564,1023,5,9,10,55,51,108,0,0,0,1702,1841,3544,5,15,17,161,159,321,6,13,22,12,14,28,14,25,38,0,3,3,20,19,34,51,43,91,75,76,154,3,8,17,14,7,20,94,130,229,175,206,380,0,3,0,2860,3174,6030,191,180,368,253,222,470,0,0,3,0,0,0,338,291,631,51,74,126,393,362,760,3177,2828,6005,26,21,43,10,17,16,3208,2859,6071,465,443,910,7419,7324,14741
UCL213016,66,95,164,985,1303,2292,0,0,0,77,93,167,51,38,91,2232,2665,4901,10,17,27,36,34,75,35,44,78,8,9,14,42,50,92,0,0,4,53,68,116,56,78,135,215,231,451,18,26,39,15,19,38,299,480,777,165,212,372,0,3,6,4292,5380,9671,92,88,177,36,27,65,3,4,13,0,0,0,26,32,57,15,31,50,42,61,105,4063,4036,8103,18,23,42,14,13,18,4092,4077,8165,681,677,1357,9307,10411,19712
UCL213017,89,128,220,843,1088,1932,0,0,0,98,108,202,61,69,126,1614,1844,3452,22,34,56,49,56,106,34,41,80,19,18,42,18,28,46,6,4,16,103,121,221,61,67,128,218,267,486,28,39,61,15,31,46,281,404,692,255,308,555,7,8,12,3727,4532,8257,75,65,137,69,57,130,4,3,5,0,0,0,39,42,76,15,40,61,51,81,136,4452,4497,8946,27,25,55,8,26,40,4488,4553,9040,585,622,1204,9088,10044,19134
UCL213018,28,27,49,589,672,1262,0,0,0,12,29,46,0,0,0,1143,1278,2426,4,9,11,18,18,36,0,7,7,0,0,0,8,12,17,0,0,0,9,9,22,31,45,78,120,133,256,3,8,9,0,0,0,168,258,433,40,36,75,0,0,0,2156,2512,4665,22,22,44,16,9,26,0,5,6,0,0,0,6,7,13,7,3,7,11,12,25,1613,1506,3121,11,5,10,14,3,16,1631,1517,3154,306,312,622,4159,4419,8580
UCL214001,12,28,36,259,345,605,0,0,0,23,21,51,0,0,0,552,694,1243,14,20,37,8,8,17,18,24,44,4,0,4,28,32,56,0,0,0,3,4,5,12,16,26,70,97,168,12,20,32,9,7,11,187,232,422,47,51,98,0,0,0,1254,1582,2834,52,29,81,36,31,67,0,0,5,0,0,0,12,16,31,7,15,24,25,30,51,1734,1630,3365,8,0,6,9,4,13,1750,1644,3393,274,286,557,3395,3622,7015
UCL214002,12,14,24,208,260,468,0,0,0,56,54,102,0,0,0,673,717,1390,0,5,11,24,25,48,3,7,9,0,0,0,25,25,52,0,0,0,8,6,14,27,33,62,101,130,234,0,0,0,3,5,12,72,114,187,77,76,153,0,0,0,1285,1455,2749,3,3,3,8,9,19,0,0,3,0,0,0,6,3,7,5,10,12,7,11,22,1570,1418,2990,0,8,10,3,0,3,1572,1427,3001,189,175,362,3085,3093,6178
UCL214003,21,34,49,461,640,1102,0,0,0,42,54,102,0,0,0,846,1006,1854,0,0,3,19,18,38,11,15,21,9,12,15,26,25,52,3,3,13,13,9,22,35,37,76,147,203,347,13,36,51,9,10,11,216,310,530,63,85,147,0,3,3,1915,2470,4387,46,31,79,26,29,50,0,0,5,0,0,4,17,19,38,10,13,25,30,34,59,2056,2021,4076,11,12,21,4,14,16,2070,2041,4119,485,506,989,4597,5145,9742
UCL214004,72,62,135,321,358,678,0,0,0,10,7,18,0,0,0,748,804,1546,0,0,0,6,0,3,4,11,15,0,0,0,3,4,11,0,0,0,0,9,15,11,26,33,65,54,123,3,5,15,0,0,0,133,173,306,17,31,49,0,0,0,1330,1490,2815,7,6,14,94,57,148,0,0,0,0,0,0,50,45,99,10,8,9,62,48,110,931,832,1754,7,0,7,4,5,3,938,832,1768,203,198,399,2698,2694,5389
UCL214005,0,4,3,67,81,146,0,0,0,7,4,11,0,0,0,130,128,258,0,0,0,0,0,0,3,5,8,0,0,0,0,7,7,0,0,0,0,0,0,0,4,4,18,15,41,0,3,3,0,0,0,12,20,32,9,3,8,0,0,0,249,265,517,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,193,393,0,0,0,0,7,7,201,199,397,36,31,69,495,504,1004
UCL214006,30,44,69,378,527,906,0,0,0,58,85,136,0,0,0,515,572,1086,0,0,5,56,45,100,4,9,12,5,3,6,6,13,25,4,0,3,10,6,12,11,13,24,66,71,139,3,3,5,3,7,9,114,165,279,64,70,126,5,5,6,1285,1593,2880,30,25,55,10,10,19,0,0,4,0,0,0,26,21,45,5,8,8,27,28,55,1536,1601,3135,12,8,19,3,15,24,1552,1622,3177,253,290,543,3192,3610,6797
UCL214007,34,51,84,135,152,286,8,4,13,28,29,55,0,0,0,625,673,1303,5,5,6,65,66,127,19,11,33,8,3,10,3,7,12,13,8,24,12,25,35,34,27,63,14,21,35,0,6,6,6,5,7,22,36,57,62,74,134,0,0,0,1047,1143,2195,118,124,237,50,53,102,0,0,0,0,0,0,127,125,254,6,14,20,137,137,269,935,892,1826,9,3,16,4,9,10,952,902,1856,149,122,272,2486,2526,5011
UCL214008,22,24,45,356,503,861,0,0,0,43,59,97,54,50,99,693,872,1565,4,3,10,6,9,9,13,31,43,0,0,0,212,276,492,4,0,4,10,14,24,40,45,84,198,199,400,7,8,14,0,10,11,337,446,784,82,107,190,3,5,8,2055,2642,4701,30,15,54,14,15,25,0,0,3,0,0,0,5,3,9,7,6,15,12,12,20,2055,1922,3977,14,8,19,0,13,8,2071,1937,4012,358,362,722,4559,5019,9577
UCL214009,23,56,77,324,453,781,0,0,0,43,38,86,0,0,0,527,606,1138,3,6,6,20,26,42,15,17,31,0,3,3,12,15,32,0,0,0,11,10,19,23,31,55,60,70,127,10,8,15,8,14,19,114,157,271,133,165,304,0,4,6,1309,1631,2940,9,12,17,5,8,15,0,9,3,6,0,6,4,0,3,19,26,49,27,32,57,2471,2459,4922,17,12,31,10,20,30,2495,2486,4983,306,299,605,4172,4528,8698
UCL214010,17,24,41,318,367,683,0,0,0,35,35,75,0,0,0,499,599,1094,5,5,9,17,17,31,9,6,11,0,0,0,8,5,10,0,0,0,0,8,10,9,17,30,43,60,103,9,11,14,4,7,14,120,196,314,40,65,108,0,3,5,1108,1394,2501,5,0,10,11,11,20,0,5,8,0,0,0,7,0,9,4,3,9,11,5,15,1532,1519,3051,13,13,25,10,14,16,1550,1542,3093,187,173,358,2891,3154,6046
UCL214011,27,43,72,375,543,922,0,0,0,19,49,67,0,0,0,1229,1286,2510,3,5,9,35,49,83,4,5,5,18,13,35,17,17,33,0,0,0,13,8,21,9,13,20,56,86,145,10,3,11,0,0,0,100,108,208,55,70,124,3,0,6,1945,2260,4201,39,38,71,29,28,58,0,4,4,0,0,3,30,29,62,16,27,36,47,58,102,1866,1780,3646,15,22,34,6,3,10,1886,1804,3691,278,302,584,4253,4533,8786
UCL214012,12,22,29,317,382,704,0,0,0,19,22,41,0,0,0,589,750,1340,0,0,0,11,10,23,7,15,21,9,9,10,0,13,14,0,0,6,8,7,18,55,45,96,93,94,187,7,23,32,0,3,4,188,234,423,110,103,205,0,0,4,1416,1710,3133,16,9,27,23,19,40,0,0,0,0,0,0,5,10,16,0,3,10,8,14,20,1199,1093,2286,3,5,11,4,5,7,1207,1094,2309,221,232,448,2905,3102,6010
UCL214013,28,22,53,180,254,438,0,0,0,36,45,85,51,56,111,483,580,1065,4,3,6,17,13,24,0,0,0,3,0,10,5,6,12,0,0,0,6,8,10,3,3,4,42,54,102,0,0,0,0,0,4,80,135,216,33,41,74,4,5,6,959,1207,2160,7,16,21,0,0,5,3,3,8,0,0,0,4,3,8,5,11,17,8,15,21,1287,1259,2545,14,11,23,0,10,11,1300,1283,2580,142,163,302,2442,2706,5151
UCL214014,15,33,50,376,429,808,0,0,0,47,59,109,0,0,0,505,576,1083,3,5,6,28,30,60,18,34,53,0,0,0,5,8,16,0,0,4,6,11,17,48,48,97,73,75,148,4,3,4,5,0,8,96,154,245,47,40,88,0,0,0,1275,1479,2754,10,12,21,8,5,12,5,0,7,0,3,8,12,12,23,0,3,7,17,17,37,1479,1376,2855,10,8,22,7,3,6,1494,1384,2882,392,379,778,3219,3311,6527
