UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL213018,412,516,588,473,354,323,170,460,58,3352
UCL214001,293,395,368,565,274,263,191,594,78,3027
UCL214002,299,472,590,435,406,275,237,295,53,3060
UCL214003,392,641,595,568,425,338,294,556,96,3899
UCL214004,274,207,289,259,221,190,169,487,47,2150
UCL214005,56,54,88,43,39,43,36,79,10,442
UCL214006,331,404,398,323,251,284,85,302,52,2426
UCL214007,246,543,425,338,436,222,262,241,64,2782
UCL214008,489,755,655,595,471,455,229,514,70,4249
UCL214009,492,684,761,529,450,280,246,475,54,3969
UCL214010,366,631,330,276,267,209,62,187,41,2363
UCL214011,374,605,731,517,524,324,346,466,88,3972
UCL214012,226,387,386,321,241,224,177,437,58,2453
UCL214013,379,542,288,250,235,212,78,279,41,2307
UCL214014,262,285,273,334,196,222,100,318,50,2050
UCL214015,236,410,384,301,257,240,170,295,38,2342
UCL214016,249,330,399,422,243,279,183,452,55,2606
UCL214017,360,624,243,216,245,147,31,126,50,2038
UCL214018,444,635,488,430,434,263,179,305,73,3254
UCL214019,253,271,364,374,269,239,158,423,42,2389
UCL214020,247,291,284,393,212,200,179,460,38,2305
UCL214021,262,331,573,339,336,236,175,240,42,2519
UCL214022,293,420,522,471,272,420,177,437,67,3077
UCL215001,135,217,75,73,70,56,8,42,3,679
UCL215002,135,137,167,138,123,78,75,113,18,985
UCL215003,269,433,188,174,141,102,27,85,32,1449
UCL215004,110,72,102,75,60,70,31,108,15,651
UCL215005,57,43,43,59,32,29,39,62,13,376
UCL215006,139,200,186,164,164,101,84,144,18,1187
UCL215007,212,295,183,108,125,89,23,83,16,1129
UCL215008,130,201,170,140,144,82,72,73,15,1035
UCL215009,39,39,48,45,34,34,39,51,4,335
UCL215010,214,241,231,99,171,120,36,92,21,1222
UCL215011,43,57,66,68,39,45,32,74,13,437
UCL215012,237,421,182,219,112,113,53,157,14,1506
UCL215013,237,319,355,251,315,177,233,204,47,2136
UCL215014,48,61,133,82,97,54,75,78,13,636
UCL215015,235,245,167,143,87,106,36,114,20,1150
UCL215016,176,250,340,229,211,156,214,263,50,1891
UCL215017,133,178,285,157,167,88,98,130,38,1272
UCL215018,134,206,180,148,115,105,96,180,20,1187
UCL215019,143,227,193,148,109,88,32,112,15,1069
UCL215020,51,63,50,88,35,44,46,79,10,465
UCL215021,50,81,83,73,54,61,58,59,6,534
UCL215022,159,245,252,256,209,188,137,233,22,1711
UCL215023,61,63,74,73,48,65,84,146,8,627
UCL215024,76,100,96,72,74,53,59,94,11,645
UCL215025,44,61,74,51,47,38,36,44,15,412
UCL215026,37,57,72,45,50,41,32,67,13,416
UCL215027,63,76,55,56,52,31,34,79,10,462
UCL215028,127,173,205,125,110,88,67,133,14,1037
UCL215029,298,356,241,233,151,109,48,175,25,1626
UCL215030,46,69,55,71,43,41,63,59,8,459
UCL215031,76,79,63,64,39,42,44,101,10,523
UCL215032,137,196,191,132,123,110,77,183,37,1187
UCL215033,222,289,231,150,232,165,103,81,20,1494
UCL215034,50,73,52,65,42,50,22,64,5,415
UCL215035,88,123,174,68,107,52,56,79,22,765
UCL215036,62,107,122,76,53,42,44,54,15,574
UCL215037,49,70,111,73,71,54,62,69,9,562
UCL215038,85,82,96,51,56,55,56,91,18,589
UCL215039,57,49,73,58,58,55,61,92,13,518
UCL215040,49,42,64,64,47,49,73,76,14,475
UCL215041,170,224,219,171,134,139,100,181,35,1359
UCL215042,76,103,153,89,57,34,43,51,14,621
UCL215043,150,155,335,203,217,136,186,220,32,1637
UCL215044,92,143,126,135,71,87,52,102,10,817
UCL215045,178,203,270,231,165,162,127,230,30,1591
UCL215046,92,152,148,102,109,59,58,76,24,817
UCL215047,91,107,234,127,125,81,136,129,30,1058
UCL215048,73,84,172,105,92,76,78,122,25,825
UCL215049,136,99,92,60,57,49,9,50,11,561
UCL215050,286,469,167,138,139,95,33,77,16,1422
UCL215051,165,287,346,269,193,138,182,247,27,1859
UCL215052,82,130,86,63,61,41,17,45,9,537
UCL215053,260,289,342,248,166,193,109,191,32,1819
UCL215054,61,84,109,123,93,85,73,132,21,776
UCL215055,115,111,90,96,81,46,21,56,12,628
UCL215056,46,55,142,109,45,41,72,99,10,621
UCL215057,73,171,117,87,81,57,40,89,16,730
UCL215058,44,47,63,67,39,40,33,90,11,428
UCL215059,157,201,165,146,93,78,37,105,12,989
UCL215060,124,169,190,188,129,124,110,185,20,1255
UCL215061,115,109,130,116,92,48,58,143,24,835
UCL215062,85,98,92,87,64,58,42,96,18,631
UCL215063,71,74,67,59,54,41,41,64,3,465
UCL215064,117,130,94,97,71,53,77,195,22,852
UCL215065,164,214,204,190,153,114,105,231,39,1409
UCL215066,50,83,65,99,67,69,50,113,16,611
UCL215067,82,67,53,50,30,23,51,50,12,409
UCL215068,143,199,167,174,133,115,60,109,28,1122
UCL215069,262,378,177,171,133,97,45,122,27,1411
UCL215070,107,123,182,145,109,142,122,195,38,1161
UCL215071,254,416,330,217,276,128,104,121,37,1877
UCL215072,118,60,71,43,52,41,92,370,56,908
UCL215073,126,141,153,149,93,82,119,169,18,1059
UCL215074,262,418,522,266,368,199,187,235,44,2504
UCL215075,38,63,92,88,54,54,39,65,10,504
UCL215076,143,159,140,120,118,62,83,183,18,1026
UCL215077,111,143,104,80,87,48,29,49,15,678
UCL215078,118,135,246,117,142,75,61,98,17,1020
UCL215079,107,103,100,134,86,76,50,159,16,826
UCL215080,96,133,180,180,98,74,70,117,24,966
UCL215081,244,325,265,229,215,148,135,276,34,1873
UCL215082,112,202,231,163,128,70,102,105,16,1128
UCL215083,85,97,116,144,99,67,100,134,20,862
UCL215084,47,55,88,66,56,67,58,92,13,533
UCL215085,62,59,129,68,77,50,56,65,15,578
UCL215086,183,300,255,215,216,141,134,211,24,1672
UCL215087,107,100,188,98,117,59,81,76,10,825
UCL215088,99,165,105,125,66,37,42,82,23,742
UCL215089,110,127,134,161,84,77,60,103,18,886
UCL215090,94,146,185,114,81,65,77,122,12,892
UCL215091,183,188,134,65,143,70,23,53,15,868
UCL215092,328,677,242,245,228,134,50,129,31,2066
UCL215093,190,222,558,288,224,155,183,260,31,2123
UCL215094,64,67,73,64,60,54,25,44,8,453
UCL215095,33,60,97,82,42,31,49,76,13,476
UCL215096,164,197,246,136,156,120,70,102,24,1226
UCL215097,156,140,317,186,181,125,104,171,40,1426
UCL215098,65,96,103,101,56,61,52,70,7,620
UCL215099,57,79,96,84,55,48,42,95,13,570
UCL215100,48,77,91,70,48,49,31,47,3,464
UCL221001,36,44,70,49,42,43,36,69,10,396
UCL221002,53,61,71,48,45,18,23,55,3,391
UCL221003,24,26,48,38,38,31,39,27,5,280
UCL221004,106,137,93,44,84,61,33,46,14,606
UCL221005,74,62,39,30,27,17,23,26,5,304
UCL221006,53,68,55,32,33,23,21,27,3,308
UCL221007,17,42,36,25,27,20,21,25,8,218
UCL221008,54,42,28,30,18,21,24,39,3,267
UCL221009,25,48,62,41,31,18,18,25,6,277
UCL221010,34,31,46,50,24,21,24,30,6,267
UCL221011,37,73,62,31,57,36,16,36,4,353
UCL221012,37,56,45,28,23,30,10,18,4,254
UCL221013,33,33,68,29,43,25,32,47,5,310
UCL221014,63,90,58,59,61,33,10,30,6,407
UCL221015,48,60,38,23,32,17,0,18,3,242
UCL221016,50,76,90,69,73,47,26,37,4,475
UCL221017,45,34,74,61,39,43,38,50,7,395
UCL221018,61,51,55,39,37,29,31,63,4,372
UCL221019,37,72,47,42,28,21,18,39,7,315
UCL221020,33,48,50,49,32,18,29,48,0,298
UCL221021,30,52,60,57,28,47,25,61,4,356
UCL221022,49,48,42,29,26,15,11,28,0,252
UCL221023,22,13,24,29,12,19,22,31,4,175
UCL221024,41,82,51,57,44,36,19,44,0,381
UCL221025,35,40,26,36,27,12,26,42,20,257
UCL221026,31,22,46,44,20,29,16,39,7,257
UCL221027,39,31,38,31,24,20,31,32,4,243
UCL221028,83,98,30,23,22,29,7,18,6,316
UCL221029,33,49,69,48,36,28,45,47,8,364
UCL221030,22,28,15,19,14,24,12,19,6,151
UCL221031,47,52,62,31,34,18,24,17,7,296
UCL221032,25,51,34,33,24,17,20,29,3,238
UCL221033,33,32,19,25,14,12,23,34,3,197
UCL221034,43,55,76,55,82,47,56,32,12,465
UCL221035,18,19,33,33,27,20,27,52,3,229
UCL221036,57,88,64,37,44,36,20,46,7,384
UCL221037,65,48,27,36,33,28,26,34,3,300
UCL221038,43,57,109,60,59,29,27,43,5,430
UCL221039,61,56,51,57,37,25,24,40,4,358
UCL221040,41,44,52,44,27,26,11,33,12,291
UCL221041,26,44,75,47,34,23,36,35,7,323
UCL221042,29,35,45,21,21,18,25,60,9,255
UCL221043,35,25,42,43,23,22,15,23,0,231
UCL221044,81,66,66,50,42,26,12,82,3,424
UCL221045,49,120,46,39,31,24,18,31,4,367
UCL221046,78,111,130,115,104,79,55,100,6,780
UCL221047,44,60,88,46,48,28,20,33,4,367
UCL221048,33,31,43,25,24,16,18,43,3,241
UCL221049,60,93,74,45,45,35,10,25,0,389
UCL221050,35,44,46,48,29,22,22,33,9,297
UCL221051,41,47,29,37,35,21,38,47,4,290
UCL221052,36,28,54,28,36,28,29,29,10,274
UCL221053,22,44,38,34,23,19,13,34,6,233
UCL221054,40,60,42,33,22,27,20,35,5,278
UCL221055,62,87,52,29,50,30,9,24,4,351
UCL221056,17,13,21,18,8,19,19,40,3,153
UCL221057,38,31,80,43,39,33,33,47,15,365
UCL221058,30,56,47,33,21,12,6,31,6,248
UCL221059,71,60,61,50,48,41,21,54,0,405
UCL221060,16,33,24,32,25,12,5,11,3,161
UCL221061,59,44,54,30,33,41,3,24,3,287
UCL221062,41,33,33,38,31,25,28,66,10,301
UCL221063,38,32,28,17,25,18,21,35,4,209
UCL221064,47,37,103,57,39,23,25,34,3,372
UCL221065,50,66,41,8,21,12,4,6,3,206
UCL221066,26,37,72,40,38,28,26,36,3,320
UCL221067,21,10,35,33,18,29,27,72,3,255
UCL221068,27,36,36,35,20,22,11,31,11,220
UCL221069,46,106,89,64,41,34,11,50,8,447
UCL221070,39,48,66,47,44,28,45,64,13,389
UCL221071,39,38,61,31,31,35,44,70,8,354
UCL221072,14,32,56,22,27,26,21,27,0,224
UCL221073,22,59,62,45,37,22,20,22,0,277
UCL221074,59,105,38,34,37,18,13,28,8,337
UCL221075,63,74,54,39,36,32,5,24,6,341
UCL221076,46,85,61,46,28,26,8,21,3,317
UCL221077,36,36,34,34,26,19,20,34,7,246
UCL221078,36,31,59,33,38,25,33,38,9,293
UCL221079,27,26,20,28,30,21,20,30,5,198
UCL221080,32,46,46,20,43,16,29,20,3,253
UCL221081,40,34,26,19,27,13,15,30,0,199
UCL221082,74,118,56,55,78,38,36,41,16,510
UCL221083,80,166,55,45,48,31,18,36,3,482
UCL221084,37,61,73,65,49,23,35,44,6,399
UCL222001,25,36,27,13,14,15,4,8,8,153
UCL222002,39,60,35,17,25,13,3,11,4,218
UCL222003,16,29,28,28,14,16,17,16,5,163
UCL222004,4,0,3,0,0,0,4,0,0,19
UCL222005,7,12,16,13,9,5,13,21,0,103
UCL222006,17,43,37,22,19,16,8,12,0,173
UCL222007,12,22,19,7,14,5,6,0,4,93
UCL222008,26,49,31,22,21,7,12,17,0,186
UCL222009,20,22,19,15,18,16,15,17,0,147
UCL222010,28,26,43,7,38,18,27,16,3,192
UCL222011,23,44,33,17,24,26,8,23,6,200
UCL222012,35,26,28,18,31,9,10,23,4,190
UCL222013,12,17,24,18,7,9,9,14,0,102
UCL222014,11,35,55,21,17,18,27,22,6,211
UCL222015,18,28,31,25,24,17,23,24,3,189
UCL222016,18,9,13,14,7,13,21,22,0,111
UCL222017,12,8,14,7,6,3,0,13,3,59
UCL222018,20,15,7,20,10,4,3,11,0,91
UCL222019,17,22,45,28,21,16,24,16,3,193
UCL222020,19,24,16,9,14,9,10,9,4,112
UCL222021,20,18,34,12,22,11,10,13,0,138
UCL222022,13,21,20,10,8,6,7,15,6,108
UCL222023,15,37,37,34,31,21,20,29,5,231
UCL222024,58,11,30,29,9,12,10,44,11,202
UCL222025,17,16,5,12,4,9,3,18,0,85
UCL222026,19,43,17,30,22,21,6,15,3,170
UCL222027,21,20,31,19,18,6,16,24,0,164
UCL222028,24,23,39,19,16,8,17,15,3,149
UCL222029,15,10,10,8,3,3,9,19,0,73
UCL222030,13,27,12,8,8,12,0,12,0,91
UCL222031,18,9,17,9,11,8,9,25,0,117
UCL222032,38,32,23,31,11,6,11,20,0,170
UCL222033,30,31,34,23,10,12,8,23,8,174
UCL222034,10,14,33,21,11,3,9,23,6,133
UCL222035,12,9,7,16,10,7,6,12,0,86
UCL222036,10,14,8,13,10,7,11,20,3,95
UCL222037,10,21,21,14,22,14,15,10,5,128
UCL222038,15,24,21,14,17,3,0,10,0,116
UCL222039,29,26,24,20,21,9,9,16,0,159
UCL222040,39,40,20,24,24,19,3,20,4,187
UCL222041,14,31,29,13,10,10,15,17,3,144
UCL222042,5,6,16,6,12,11,14,22,8,97
UCL222043,15,32,22,12,25,13,15,17,0,158
UCL222044,15,11,19,13,10,14,13,18,3,118
UCL222045,15,17,21,15,16,12,7,14,3,123
UCL222046,7,9,19,27,14,16,16,28,9,135
UCL222047,7,11,9,7,5,8,3,8,0,67
UCL222048,11,20,10,16,3,4,13,15,3,87
UCL222049,27,21,13,9,16,10,0,22,0,125
UCL222050,42,61,21,31,13,11,17,11,3,221
UCL222051,23,31,31,28,17,14,4,27,0,175
UCL222052,23,23,29,20,20,13,20,31,0,179
UCL222053,15,12,25,21,14,16,19,41,4,166
UCL222054,26,26,21,18,12,9,3,10,0,125
UCL222055,20,21,12,23,5,13,15,21,3,127
UCL222056,23,15,18,57,8,4,11,21,10,166
UCL222057,10,37,17,13,23,12,20,13,7,158
UCL222058,12,10,16,24,0,7,11,9,5,90
UCL222059,13,12,15,15,3,5,5,20,0,88
UCL222060,17,14,8,9,11,5,14,26,0,92
UCL222061,13,13,32,9,17,4,18,12,6,124
UCL222062,30,59,26,34,16,15,14,23,4,206
UCL222063,38,43,30,27,18,12,5,21,3,190
UCL222064,11,17,27,13,17,15,12,11,0,120
UCL222065,22,18,18,4,6,4,4,12,3,102
UCL222066,13,9,17,9,7,9,13,25,0,110
UCL222067,29,11,16,17,13,7,14,11,4,115
UCL222068,8,28,26,18,10,3,3,11,0,111
UCL222069,33,14,19,21,20,22,14,26,0,155
UCL222070,12,21,21,7,8,10,4,17,4,103
UCL222071,30,14,28,15,23,18,16,42,0,183
UCL222072,16,18,13,15,12,12,16,4,0,105
UCL222073,30,21,20,17,10,13,7,13,3,129
UCL222074,7,10,26,13,5,6,11,28,0,101
UCL222075,26,24,46,28,28,17,24,24,0,213
UCL222076,26,12,20,24,9,8,12,53,3,169
UCL222077,31,32,7,22,16,7,20,19,3,164
UCL222078,6,5,18,13,7,0,16,12,0,84
UCL222079,50,78,14,40,17,20,7,17,5,246
UCL222080,22,26,11,7,10,10,11,15,0,117
UCL222081,14,21,19,16,9,5,0,8,9,101
UCL222082,28,22,17,10,14,11,9,11,3,120
UCL222083,14,16,23,14,24,17,10,12,0,119
UCL222084,15,15,25,22,11,14,23,17,4,141
UCL222085,23,44,25,22,16,6,4,12,0,157
UCL222086,21,42,37,22,26,8,7,15,5,188
UCL222087,23,15,31,20,23,10,15,55,5,196
UCL222088,12,10,19,11,13,3,8,14,0,90
UCL222089,6,18,13,16,9,3,13,6,4,93
UCL222090,16,16,23,12,16,13,8,11,6,110
UCL222091,26,39,21,22,16,19,25,26,7,197
UCL222092,22,26,37,15,17,14,12,24,7,171
UCL222093,17,20,22,27,7,10,12,26,0,138
UCL222094,7,4,18,25,4,15,27,19,0,124
UCL222095,11,13,20,12,18,6,15,10,0,98
UCL222096,29,39,39,33,23,12,13,31,3,220
UCL222097,23,19,38,15,18,15,18,22,0,172
UCL222098,27,57,24,19,12,9,3,19,3,172
UCL222099,3,8,17,8,11,10,15,10,0,87
UCL222100,4,6,10,7,11,8,7,18,0,64
UCL222101,12,19,24,13,14,9,6,14,0,109
UCL222102,18,18,43,32,14,12,8,32,3,186
UCL222103,23,37,24,9,15,9,0,6,0,115
UCL222104,12,9,18,19,15,9,16,27,5,128
UCL222105,12,8,21,9,10,14,11,24,4,108
UCL231001,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
UCL279997,0,4,0,0,0,0,0,4,0,15
UCL299994,174,334,250,227,143,129,177,308,49,1797
