UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL212009,3659,7313,61,341,303,1404,83,392,1797,6964,2252,9104,158,664,258,869,664,2117,1086,3651,3334,12753,13,71,107,370,56,190,636,1621,808,2252,62,198,119,245,569,1259,756,1701,1562,3953,151,308,8701,24328
UCL213001,1606,3205,28,124,91,434,44,197,659,2592,820,3350,46,196,74,248,245,793,365,1228,1187,4585,10,43,46,176,21,77,299,855,374,1157,21,69,59,127,267,587,346,784,722,1938,60,114,3571,9837
UCL213002,1286,2554,7,31,99,443,19,73,514,1937,635,2485,23,84,77,235,136,414,228,733,864,3216,7,20,39,114,12,35,214,507,263,678,17,43,66,133,177,379,256,552,526,1230,32,63,2701,7065
UCL213003,1332,2661,31,163,120,558,26,115,623,2486,794,3318,66,275,78,248,220,719,363,1242,1161,4562,8,42,31,108,21,61,216,616,278,836,21,84,37,85,198,448,259,616,542,1449,63,132,3101,8804
UCL213004,1750,3477,43,238,141,700,54,237,953,3757,1184,4932,52,246,96,327,289,937,440,1509,1624,6444,17,70,44,164,21,65,289,801,371,1101,22,67,61,135,226,475,306,680,676,1775,44,103,4101,11799
UCL213005,2219,4431,29,169,179,836,36,175,940,3664,1183,4834,74,333,130,427,361,1133,563,1895,1745,6738,15,64,58,208,16,53,279,769,367,1093,33,98,69,162,266,581,365,832,733,1926,52,110,4751,13202
UCL213006,1002,2011,20,98,177,828,23,130,957,3827,1175,4887,99,418,144,517,210,677,454,1609,1627,6499,12,33,40,142,9,33,136,374,192,581,22,57,50,113,105,230,172,398,368,977,24,46,3023,9536
UCL213007,1842,3689,19,118,174,785,50,226,950,3705,1190,4830,67,264,116,385,274,835,455,1481,1644,6307,9,35,56,200,28,113,329,905,428,1247,18,52,63,127,250,531,325,707,752,1956,62,125,4300,12074
UCL213008,1568,3146,35,199,188,869,52,268,1213,4702,1499,6037,118,480,141,491,365,1207,627,2176,2124,8214,12,45,47,160,21,72,274,737,354,1014,36,111,60,145,243,543,335,795,693,1809,47,106,4428,13281
UCL213009,1420,2852,30,137,125,556,40,159,812,3179,1003,4035,92,396,114,422,288,936,503,1753,1498,5788,8,25,48,158,13,54,205,533,273,774,36,108,58,119,195,424,288,654,563,1425,46,95,3533,10162
UCL213010,1623,3252,28,153,101,447,53,238,618,2413,800,3251,66,295,74,240,331,1029,471,1557,1270,4815,8,43,49,168,46,165,420,1146,523,1518,36,105,71,160,345,740,446,1006,966,2519,66,144,3931,10731
UCL213011,1399,2792,25,144,88,429,33,155,560,2215,706,2938,37,162,50,175,256,800,345,1147,1051,4080,21,110,49,188,34,146,360,1016,462,1458,24,90,55,123,347,742,431,952,899,2408,69,150,3413,9435
UCL213012,1323,2644,20,107,71,328,33,148,476,1858,600,2435,36,155,68,204,201,611,303,964,901,3407,4,35,41,129,23,79,216,576,286,823,10,22,52,100,186,404,250,532,534,1355,35,72,2794,7471
UCL213013,1582,3145,20,116,122,560,34,146,800,3109,973,3929,56,234,108,335,198,624,362,1197,1332,5125,14,47,56,184,39,146,276,737,376,1116,28,87,65,148,236,503,339,736,715,1855,60,131,3687,10255
UCL213014,1218,2428,17,116,79,377,21,107,657,2559,775,3160,35,138,68,225,180,565,281,926,1052,4083,9,38,46,172,12,56,220,613,288,882,9,33,36,89,160,350,209,466,493,1341,50,110,2812,7962
UCL213015,1224,2459,35,201,172,820,69,311,1299,5060,1571,6395,87,396,108,380,338,1141,534,1908,2105,8308,4,21,47,172,33,136,289,829,375,1168,29,98,60,138,248,556,335,789,716,1953,42,91,4082,12811
UCL213016,2222,4445,33,163,199,921,44,187,1027,4042,1295,5315,90,377,148,485,320,1003,559,1863,1853,7181,17,81,81,281,51,181,398,1051,551,1600,20,62,96,203,355,771,474,1039,1017,2636,59,127,5157,14387
UCL213017,2224,4460,40,228,205,970,42,192,1189,4649,1482,6032,104,463,161,533,349,1103,610,2094,2090,8128,19,79,68,241,26,100,309,862,425,1278,30,102,98,201,279,601,407,909,834,2184,62,131,5206,14910
UCL213018,1296,2569,18,99,76,358,24,100,399,1578,513,2129,43,191,41,127,137,420,214,735,727,2864,4,15,20,79,10,41,155,417,197,553,7,24,19,38,124,251,150,316,343,868,20,34,2384,6336
UCL214001,832,1641,8,30,51,235,19,109,318,1251,394,1622,14,71,40,135,137,412,189,618,588,2245,8,25,26,82,15,47,144,426,192,582,12,29,28,48,142,317,181,393,371,973,40,86,1831,4949
UCL214002,560,1119,26,138,109,511,24,100,553,2233,713,2983,44,190,46,148,138,449,222,780,939,3767,4,18,19,55,10,28,78,217,103,311,14,57,13,32,62,138,96,226,197,540,5,12,1708,5437
UCL214003,1312,2613,12,44,67,326,11,55,365,1425,450,1854,38,157,51,167,162,501,248,824,702,2679,6,37,33,112,20,69,176,474,235,697,13,37,36,71,208,446,251,557,490,1254,38,73,2539,6610
UCL214004,661,1320,10,49,38,208,16,69,233,941,296,1275,26,94,32,99,79,238,128,434,431,1707,7,32,20,63,7,25,112,292,140,406,6,30,11,30,94,199,117,255,255,662,19,37,1367,3728
UCL214005,142,283,0,0,7,41,3,9,55,218,70,274,3,21,5,23,24,83,34,125,107,401,0,0,4,12,6,6,8,26,16,42,3,8,0,4,21,39,23,46,42,90,7,11,297,786
UCL214006,1031,2052,7,38,49,217,8,41,298,1183,367,1478,17,75,30,108,74,225,128,401,489,1880,3,13,22,73,12,29,116,289,146,403,9,17,29,56,103,221,135,293,282,694,15,27,1816,4661
UCL214007,535,1081,7,38,33,162,17,71,477,1801,540,2069,18,73,34,103,93,308,142,488,676,2555,6,15,14,46,6,16,85,237,107,319,9,30,16,33,76,167,98,227,207,539,22,47,1444,4223
UCL214008,1151,2285,12,64,80,385,18,86,507,2011,625,2542,29,131,69,209,166,517,264,854,882,3398,8,31,32,119,16,48,160,428,213,627,12,47,36,85,150,328,206,464,423,1086,38,82,2497,6851
UCL214009,1031,2067,12,55,63,295,36,171,489,1946,602,2471,47,192,58,190,214,673,309,1059,911,3529,7,28,30,92,19,47,133,344,188,515,18,64,37,74,184,395,237,539,423,1050,25,49,2393,6697
UCL214010,989,1974,6,19,66,293,9,36,309,1263,385,1610,15,59,47,167,71,217,138,438,526,2054,0,14,17,54,3,12,68,168,87,252,3,4,5,20,64,145,78,171,163,422,22,39,1695,4486
UCL214011,921,1853,25,138,97,430,19,101,554,2188,694,2858,54,236,72,245,187,589,312,1073,1003,3928,9,18,35,107,16,62,154,410,202,606,14,54,51,122,145,318,217,497,422,1100,28,63,2377,6945
UCL214012,738,1466,10,57,53,252,18,82,288,1138,365,1539,18,85,34,107,139,443,187,636,558,2165,5,15,20,83,12,32,115,315,153,440,8,34,27,61,118,259,155,353,304,794,19,45,1625,4472
UCL214013,575,1154,10,54,42,177,11,52,323,1219,381,1494,29,105,31,101,94,289,151,496,530,1994,0,13,20,70,4,16,71,196,101,292,20,46,23,45,92,209,133,298,235,594,14,38,1359,3774
UCL214014,894,1781,10,40,37,176,15,78,233,931,295,1222,23,95,23,79,109,336,156,510,450,1733,0,12,19,72,14,56,116,333,158,470,3,8,24,43,115,256,138,310,295,776,14,32,1649,4320
UCL214015,675,1331,12,66,63,281,8,35,311,1265,390,1642,30,121,38,139,91,272,155,526,545,2172,3,13,24,73,8,28,114,300,154,418,15,45,24,67,77,166,116,272,271,685,16,37,1506,4222
UCL214016,971,1948,10,47,61,281,16,56,282,1090,361,1479,28,130,42,128,129,405,202,661,561,2142,8,35,27,102,18,78,191,530,244,751,9,41,26,54,171,352,206,448,451,1198,39,81,2020,5365
UCL214017,950,1884,8,24,35,151,9,29,235,905,280,1112,26,98,49,151,90,276,160,520,436,1637,0,10,6,28,4,10,36,84,45,129,3,5,24,46,58,120,85,175,129,310,10,15,1526,3842
UCL214018,1669,3322,6,46,48,226,9,48,315,1240,381,1562,22,96,48,158,178,538,248,788,630,2354,3,19,16,52,7,31,92,251,125,353,11,25,24,53,153,319,183,390,310,739,45,87,2655,6501
UCL214019,620,1232,10,54,33,149,14,71,231,875,290,1155,30,136,28,92,112,340,172,566,463,1723,6,15,21,84,16,63,149,407,193,574,8,28,34,72,186,407,223,508,423,1086,34,68,1532,4103
UCL214020,712,1412,6,35,40,217,9,51,247,981,313,1282,19,79,23,71,106,323,145,468,455,1747,0,0,12,33,9,41,111,304,126,375,13,45,18,36,79,174,114,264,243,641,34,73,1442,3879
UCL214021,481,951,16,106,64,310,16,75,353,1395,454,1887,51,219,45,163,112,373,209,746,661,2637,3,27,27,93,18,54,85,211,133,390,22,59,34,74,115,246,168,380,303,773,20,43,1459,4403
UCL214022,1034,2064,14,49,63,301,23,109,338,1299,436,1763,29,118,42,131,169,552,237,802,674,2558,9,46,23,87,24,88,187,491,242,709,19,54,33,83,200,425,254,562,495,1273,26,52,2224,5956
UCL215001,228,452,0,4,9,37,0,4,62,218,72,262,10,35,24,73,17,64,52,165,121,435,0,0,0,12,0,0,15,35,18,46,4,7,9,13,15,26,25,48,42,93,8,8,402,992
UCL215002,327,654,5,21,19,87,4,12,123,483,158,605,8,38,15,61,37,125,64,222,217,825,0,0,15,39,3,15,31,85,46,137,3,11,9,17,46,95,60,121,105,261,6,9,662,1758
UCL215003,494,980,3,10,25,100,5,33,170,674,210,817,13,46,36,109,43,120,83,277,291,1098,0,0,5,18,0,0,24,61,27,75,0,10,15,23,29,57,41,93,77,172,8,8,857,2252
UCL215004,178,349,4,14,17,66,3,12,50,198,68,288,0,4,10,24,24,68,32,98,101,382,0,0,3,12,0,0,26,62,30,77,3,4,9,19,15,29,30,59,57,130,5,11,342,873
UCL215005,151,295,0,7,11,46,0,10,46,201,60,258,3,11,9,15,19,56,22,87,87,345,0,0,5,19,3,10,19,55,29,90,0,0,0,4,26,51,33,59,60,144,5,10,295,792
UCL215006,312,608,6,27,19,86,8,41,166,665,199,820,10,49,15,47,45,160,75,260,274,1080,0,0,11,27,3,9,59,149,71,190,3,8,11,16,52,119,69,145,137,335,12,19,731,2044
UCL215007,352,698,4,24,23,111,11,52,167,675,209,861,11,33,25,82,38,127,76,249,283,1106,0,0,3,10,4,9,29,83,34,104,4,7,10,26,31,63,49,96,80,204,7,20,721,2020
UCL215008,223,440,5,32,36,158,11,52,172,711,226,953,12,43,22,69,39,129,72,240,291,1192,0,0,6,16,3,14,23,59,29,80,3,13,9,10,11,26,21,52,47,132,0,0,570,1764
UCL215009,157,304,0,0,6,26,3,15,33,140,44,186,4,13,8,22,18,64,31,106,71,291,0,0,3,11,0,5,18,49,19,66,0,0,0,3,11,34,16,34,38,101,4,7,273,698
UCL215010,186,369,6,29,53,246,8,28,176,711,246,1013,34,127,41,146,55,211,128,489,374,1496,0,0,5,10,0,0,8,23,10,30,3,6,6,15,18,37,26,57,40,89,6,11,601,1971
UCL215011,158,313,0,0,7,33,5,17,42,145,47,196,3,8,3,14,23,73,30,91,76,289,0,0,0,0,0,3,25,71,30,78,0,6,4,4,27,55,37,67,61,148,7,10,302,766
UCL215012,454,905,5,22,32,160,3,19,167,666,208,864,12,40,32,91,38,115,79,248,286,1113,3,10,8,17,3,16,60,163,75,202,5,8,15,26,62,122,74,153,150,354,8,14,900,2382
UCL215013,292,583,16,90,51,264,16,89,488,1854,578,2305,29,135,26,95,72,226,128,461,713,2764,0,5,14,49,5,8,61,183,81,254,4,14,6,15,38,89,52,120,130,368,7,17,1140,3736
UCL215014,120,240,3,19,17,61,3,16,95,374,116,472,7,17,13,47,44,144,60,210,177,683,0,0,0,4,3,9,16,50,23,59,0,0,8,12,24,47,29,59,50,122,6,3,355,1052
UCL215015,367,724,8,36,21,100,3,15,119,464,155,620,5,23,18,64,33,91,58,177,213,802,0,0,5,16,3,6,35,83,42,103,3,16,6,14,31,60,42,87,87,194,7,8,668,1732
UCL215016,416,837,10,71,47,206,13,60,248,981,315,1315,16,76,25,89,84,280,126,443,441,1758,0,4,13,39,9,30,87,246,111,323,11,45,15,32,103,221,132,297,237,625,22,40,1122,3256
UCL215017,282,558,11,78,37,185,11,43,193,800,255,1103,26,102,15,62,49,174,93,334,344,1437,0,13,9,23,0,3,28,95,40,133,7,15,4,17,33,66,45,89,80,222,8,16,713,2236
UCL215018,376,743,0,6,23,114,14,50,125,499,162,673,7,29,19,61,56,185,84,276,248,949,0,8,9,22,5,16,39,123,54,166,5,11,10,29,58,109,65,151,121,314,17,30,761,2031
UCL215019,249,499,5,18,20,79,10,34,148,584,179,713,4,39,24,76,33,108,68,227,246,933,0,7,10,25,0,0,34,82,44,116,4,14,5,10,21,53,38,74,75,191,9,19,583,1636
UCL215020,185,378,0,0,14,50,0,11,41,156,53,216,4,10,4,21,22,58,25,85,77,303,0,7,0,20,8,24,18,56,30,94,0,3,3,3,12,32,15,41,51,133,11,17,323,841
UCL215021,150,295,3,20,14,52,9,31,54,225,77,326,0,10,12,48,29,81,47,142,121,472,0,3,0,0,0,4,11,33,13,38,3,6,4,7,24,48,33,64,46,105,9,11,320,880
UCL215022,504,1019,9,43,31,155,12,50,227,888,285,1139,17,75,17,53,85,272,120,401,405,1538,0,13,28,91,11,38,133,371,172,510,8,21,18,45,111,256,143,326,315,838,24,47,1248,3441
UCL215023,200,406,0,17,19,87,3,27,54,231,83,360,7,25,11,29,33,93,45,144,126,506,4,19,3,20,0,11,27,77,44,126,0,0,5,11,22,52,31,67,71,194,8,17,406,1121
UCL215024,267,524,0,6,22,92,0,3,83,328,105,428,4,20,9,26,37,98,47,145,150,579,0,0,7,22,4,6,27,58,34,94,0,0,3,3,29,63,32,66,66,158,4,10,479,1264
UCL215025,178,362,4,16,14,55,0,0,42,160,54,232,0,0,0,0,25,71,25,71,79,307,0,4,6,18,0,7,15,47,23,78,0,8,0,3,24,51,24,59,49,137,0,0,309,804
UCL215026,155,309,0,0,6,19,0,3,47,188,52,202,0,6,8,17,17,67,25,90,79,296,0,0,3,10,4,11,26,62,30,81,4,13,4,11,21,36,26,64,51,145,6,19,293,766
UCL215027,148,296,0,0,8,37,4,19,52,206,64,261,0,3,8,20,16,46,23,69,87,331,0,4,0,8,3,9,11,38,20,69,0,8,9,16,7,19,16,38,37,105,5,8,273,735
UCL215028,358,711,4,26,27,106,5,9,131,502,157,639,8,46,17,47,51,155,71,251,232,891,0,7,8,31,3,8,44,103,52,151,6,13,16,28,47,109,64,145,121,294,4,9,718,1908
UCL215029,548,1095,4,24,22,97,4,14,134,496,160,633,6,28,23,73,47,148,79,252,239,890,0,0,12,34,7,28,74,177,94,240,0,8,18,38,70,136,89,177,180,418,11,16,980,2412
UCL215030,190,380,0,9,9,50,8,21,46,169,62,247,4,25,3,17,22,75,35,122,98,368,0,9,6,9,0,3,29,70,30,96,4,4,5,13,16,37,25,55,60,150,3,14,351,909
UCL215031,173,344,5,12,12,46,4,13,51,225,70,297,3,14,17,50,22,72,47,138,111,440,0,6,5,8,0,10,18,55,25,78,0,3,0,0,22,43,18,50,49,121,8,17,339,918
UCL215032,403,801,4,29,14,78,10,50,129,490,156,638,8,37,16,62,50,156,80,250,230,894,0,7,9,45,4,17,62,166,80,234,5,26,16,28,70,151,93,202,173,427,14,31,825,2157
UCL215033,231,459,0,14,58,249,5,30,326,1292,391,1587,18,80,37,142,45,143,104,366,494,1951,0,0,11,32,5,7,38,110,46,149,0,0,5,15,19,44,23,56,76,205,0,4,803,2624
UCL215034,183,360,0,12,4,28,6,12,28,129,39,169,3,12,6,25,20,64,34,104,69,274,0,0,0,0,4,5,19,49,18,57,0,7,0,4,21,53,28,60,46,117,0,6,302,755
UCL215035,177,358,9,37,19,87,6,15,132,547,154,681,19,78,8,22,32,104,58,205,219,889,0,0,0,6,0,9,19,43,15,53,3,10,4,6,22,50,27,63,44,122,4,8,438,1367
UCL215036,118,236,0,19,8,50,5,27,82,317,98,412,10,41,8,38,35,116,54,193,158,610,0,6,9,26,3,4,21,57,26,90,3,13,4,9,12,29,20,52,49,146,5,9,328,997
UCL215037,188,376,0,0,3,15,4,19,69,252,76,283,0,15,6,21,21,69,33,109,105,393,0,7,0,8,0,4,33,88,34,99,0,0,6,9,30,65,34,74,71,175,6,12,372,955
UCL215038,254,511,3,14,6,29,3,17,64,241,74,294,6,20,9,20,37,111,48,154,121,448,0,0,3,9,5,12,31,74,33,88,0,4,4,10,36,80,39,89,79,177,14,26,462,1158
UCL215039,162,328,3,13,18,83,10,26,64,245,89,370,11,39,3,23,29,77,41,143,126,510,0,7,6,16,3,7,36,95,42,115,5,13,4,16,14,30,29,57,68,179,15,24,372,1044
UCL215040,153,301,0,4,5,23,0,14,58,217,65,257,4,15,0,0,17,59,19,75,86,339,0,4,7,32,0,5,32,88,44,135,0,5,6,10,25,50,32,70,76,200,8,20,323,858
UCL215041,437,868,12,68,24,122,15,74,160,645,212,912,9,35,14,44,61,194,86,277,298,1187,4,18,11,57,7,27,63,191,90,298,5,7,9,11,61,124,70,148,160,447,25,53,914,2548
UCL215042,147,303,0,10,7,54,10,33,73,304,96,404,4,26,16,47,34,112,53,186,147,594,0,4,3,7,6,12,14,32,22,62,0,4,3,15,14,29,23,52,43,109,0,4,344,1008
UCL215043,297,586,12,67,38,170,16,74,286,1099,342,1410,20,93,9,25,64,203,90,323,434,1735,5,10,7,43,9,36,67,193,98,273,9,17,10,31,40,98,61,141,156,421,17,27,896,2770
UCL215044,203,406,0,11,22,102,5,26,117,462,151,605,13,52,17,53,24,74,52,175,197,786,0,0,3,17,6,13,45,118,55,151,0,3,0,0,25,49,25,51,75,203,10,12,491,1409
UCL215045,449,879,3,28,37,169,12,64,194,780,249,1047,14,54,25,94,74,229,116,379,363,1422,6,21,9,25,10,16,86,229,103,290,13,27,11,29,72,160,93,214,195,501,17,37,1019,2846
UCL215046,193,383,6,18,21,88,8,42,123,475,152,614,7,32,8,37,39,122,51,184,209,800,0,0,8,16,5,6,36,96,41,118,7,14,6,13,32,70,44,99,86,221,10,11,489,1412
UCL215047,243,488,8,47,22,122,9,37,181,695,221,904,5,41,11,36,41,124,62,202,285,1104,0,0,3,20,6,25,24,65,38,107,3,15,7,12,31,71,43,98,77,205,4,11,612,1811
UCL215048,175,365,7,46,15,82,6,38,131,502,162,670,6,16,5,17,30,97,41,133,202,801,0,9,4,13,6,18,55,175,69,215,0,9,15,27,33,72,49,108,114,323,9,20,501,1510
UCL215049,156,310,0,0,11,50,0,0,40,147,52,195,3,14,12,40,19,62,36,116,85,312,0,5,4,8,0,0,10,22,13,32,0,3,5,17,17,30,21,50,35,85,3,11,289,720
UCL215050,360,719,7,36,43,211,0,13,214,872,273,1134,18,74,45,160,55,173,119,406,391,1534,3,9,8,41,0,5,23,57,38,109,8,13,3,14,23,51,33,76,67,181,3,11,825,2449
UCL215051,554,1100,12,61,34,173,16,72,235,968,300,1268,18,69,35,102,69,209,118,389,417,1660,0,16,19,52,3,11,106,277,128,353,11,22,13,23,75,161,101,210,223,562,17,33,1217,3359
UCL215052,229,451,0,0,12,47,5,15,44,180,58,237,0,15,6,18,29,88,40,121,98,357,0,4,0,3,0,4,16,35,23,50,5,6,6,13,23,47,31,65,50,114,9,18,386,947
UCL215053,503,1006,9,38,32,162,4,18,244,976,292,1194,6,11,17,55,47,148,71,207,359,1397,3,12,12,33,7,14,65,165,86,232,4,6,10,16,70,148,82,171,173,407,13,22,1042,2837
UCL215054,223,442,3,18,6,47,5,36,96,389,116,495,3,9,12,33,41,111,47,155,170,648,3,12,7,35,8,17,56,149,71,221,0,4,5,16,39,79,46,103,111,316,8,16,512,1425
UCL215055,345,684,4,10,13,43,0,9,57,234,76,296,0,6,7,32,23,67,37,104,106,400,0,0,0,0,6,21,19,51,25,74,0,4,3,8,10,29,18,43,44,119,7,9,500,1212
UCL215056,119,244,3,10,15,85,6,24,76,309,102,422,3,14,11,24,30,91,40,134,145,558,0,5,6,24,7,18,36,87,45,141,3,8,11,28,54,112,69,144,119,284,7,16,389,1100
UCL215057,203,402,0,7,27,124,4,24,97,410,132,562,8,19,15,48,30,100,50,160,179,724,0,5,7,29,0,0,32,74,38,107,0,13,14,21,16,36,30,69,71,176,5,10,454,1308
UCL215058,155,312,0,3,10,59,4,7,46,178,57,247,0,11,3,18,10,41,22,67,80,310,3,12,4,10,4,5,22,74,32,99,0,6,11,22,11,35,25,66,59,166,3,9,299,801
UCL215059,329,647,5,8,27,142,5,20,116,458,156,626,3,19,17,52,15,48,38,128,191,755,0,3,7,27,0,0,21,49,33,84,0,3,5,14,29,58,40,76,70,156,7,18,597,1573
UCL215060,388,779,4,13,20,101,5,23,139,569,171,698,15,74,21,74,48,142,82,286,256,989,0,7,13,40,3,14,62,154,79,212,0,3,10,15,37,83,50,103,130,317,11,22,782,2107
