UCL_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
UCL212005,26,28,36,23,28,22,3,3,158,35,63,82,22,15,8,0,0,232,172,535,452,427,428,337,183,57,2596,115,245,156,177,153,99,60,15,1027,25,61,84,86,66,45,17,3,398,29,165,168,126,85,55,30,6,662,20,111,75,61,97,100,46,12,530,60,305,262,228,190,125,39,6,1226,60,173,143,127,92,61,18,6,688,19,44,35,22,13,9,6,0,157,38,149,107,68,43,35,20,0,458,0,4,4,6,0,0,0,0,18,4,23,31,30,29,12,8,7,147,299,364,302,280,241,218,225,104,2036,914,2282,1949,1681,1479,1143,663,223,10326,28,56,54,29,28,4,5,0,215,6,31,18,5,4,4,0,0,74,5,50,30,26,25,14,3,3,159,4,19,15,9,9,6,4,0,60,16,45,24,21,15,9,3,0,126,170,555,419,359,303,224,99,29,2154,96,320,287,245,218,213,81,20,1472,105,416
UCL212006,17,36,46,37,38,26,4,3,204,26,96,119,83,41,19,0,0,387,89,450,502,560,568,387,191,53,2800,113,423,260,208,125,100,25,5,1263,19,59,63,39,28,12,6,4,235,11,83,68,59,67,35,11,3,344,7,88,81,44,55,60,24,9,373,84,206,297,278,230,167,35,4,1303,65,154,111,133,95,62,20,8,648,61,102,74,42,20,17,7,3,317,27,79,90,69,44,19,12,5,341,3,0,4,4,0,0,0,0,16,6,28,51,37,23,12,4,0,167,123,175,156,138,129,88,76,34,907,659,1989,1922,1721,1464,998,425,128,9305,30,41,65,47,27,20,5,0,236,0,31,40,25,14,16,0,0,125,11,25,43,34,29,17,3,6,172,13,26,17,12,11,0,0,0,84,8,29,33,16,6,6,3,0,102,120,378,309,271,266,134,60,18,1556,58,361,331,272,215,156,45,8,1458,100,400
UCL212007,14,29,45,46,39,36,17,4,233,5,11,62,50,22,15,3,0,174,43,144,262,235,204,225,97,29,1233,35,201,249,202,145,78,21,10,945,11,35,51,50,41,27,12,0,217,22,82,137,76,48,38,6,3,408,5,66,93,77,73,105,57,3,489,21,126,263,260,179,165,61,10,1096,25,71,111,107,75,64,19,4,469,19,53,75,52,24,15,0,0,240,11,17,42,40,18,15,6,0,148,0,0,0,0,0,4,0,0,3,3,10,29,29,14,10,6,4,115,51,57,101,90,71,80,52,55,557,268,906,1526,1311,955,874,371,117,6323,29,31,48,41,21,11,10,0,190,0,0,16,13,6,5,0,0,42,0,14,21,14,13,8,0,3,84,4,28,46,24,14,4,5,0,128,4,18,28,14,3,9,0,0,79,56,250,359,240,194,131,62,19,1301,23,154,262,201,195,228,77,14,1150,27,177
UCL212008,7,21,13,15,19,19,14,0,110,16,45,52,23,22,0,0,0,157,115,429,374,390,454,331,166,40,2301,59,208,135,116,113,94,38,7,782,9,28,28,40,18,9,6,0,149,17,80,91,65,47,33,12,4,355,9,46,46,31,24,46,25,5,225,21,138,159,132,91,73,40,8,655,38,93,78,61,52,24,18,3,377,16,44,28,9,11,13,5,0,130,14,61,58,36,36,22,16,0,245,4,0,0,0,0,0,0,0,3,7,19,16,28,26,15,0,0,113,99,136,134,139,146,106,145,74,983,435,1350,1221,1088,1052,797,489,151,6580,16,44,27,13,14,9,0,0,117,0,13,14,3,9,4,0,0,42,14,25,19,22,18,7,8,4,106,0,12,11,9,3,5,0,0,51,6,15,13,10,12,3,0,0,62,118,398,251,172,193,159,75,17,1381,36,197,199,157,148,124,53,9,932,49,264
UCL212009,7,41,36,40,23,33,4,9,198,15,53,45,27,18,10,3,0,171,101,280,295,273,269,218,116,33,1590,83,252,213,156,145,99,43,19,1000,16,55,57,50,64,31,22,0,299,23,113,90,95,98,66,24,8,527,16,84,68,77,96,122,40,8,512,43,176,185,199,173,126,49,4,950,34,104,100,100,89,67,27,0,515,13,56,38,38,15,20,8,0,181,28,87,86,74,48,28,16,3,374,0,5,5,0,3,0,0,0,15,5,25,24,25,16,10,7,6,121,138,154,194,137,119,117,122,80,1056,529,1479,1430,1285,1165,954,483,167,7495,15,37,44,37,24,16,7,0,177,0,11,4,8,11,8,0,0,39,4,18,28,18,13,6,7,0,102,0,13,12,5,0,0,0,0,30,23,42,41,20,8,10,5,0,142,100,405,336,273,353,204,114,52,1834,57,227,246,225,222,217,87,25,1303,83,248
UCL213001,0,12,3,3,3,12,0,0,43,5,17,14,14,6,10,0,0,61,47,121,92,111,137,147,90,32,780,26,73,61,54,36,58,38,5,358,7,22,26,24,30,20,20,0,143,4,35,28,26,34,17,7,0,152,3,13,15,13,17,32,27,4,131,11,55,55,47,48,39,23,5,288,5,25,34,34,34,25,14,0,167,4,15,11,10,9,4,5,0,63,11,28,24,19,19,21,9,6,134,4,0,0,3,0,0,0,0,5,5,7,10,11,11,6,6,6,54,60,70,62,68,72,70,81,51,533,195,502,434,436,454,467,324,112,2927,0,13,13,4,6,0,0,0,42,5,3,0,6,3,3,0,0,20,4,6,4,11,6,7,0,5,40,0,0,0,6,0,0,0,0,21,8,12,16,16,5,4,0,0,58,29,121,94,92,127,106,67,20,665,14,72,55,74,72,83,49,9,438,28,113
UCL213002,0,6,18,19,13,13,21,0,91,0,9,18,16,11,7,9,0,65,14,51,67,74,112,131,59,13,527,13,42,33,41,43,25,13,7,222,4,9,22,24,15,7,9,0,91,5,12,26,26,27,15,16,3,128,0,16,24,35,34,51,43,7,215,12,21,41,39,47,47,25,0,234,6,25,66,64,64,71,29,4,331,4,30,49,53,40,35,8,6,227,3,18,10,10,9,14,4,0,73,0,0,0,0,0,0,0,0,3,0,12,13,17,12,6,3,0,60,46,50,64,67,43,67,61,70,465,111,299,451,489,478,493,299,114,2742,0,4,16,10,14,16,7,0,71,0,0,6,5,4,0,0,0,23,0,9,7,13,5,4,3,0,36,0,8,13,14,12,9,0,0,55,0,11,10,17,10,3,0,0,63,10,51,75,98,123,93,44,12,513,3,38,76,90,81,135,89,6,522,7,38
UCL213003,0,11,8,4,6,9,3,0,43,7,13,12,8,4,4,0,0,44,36,131,123,99,98,108,47,19,658,38,84,65,31,54,26,23,6,322,4,31,30,20,17,19,9,0,128,0,16,17,22,16,11,0,0,84,0,13,16,9,23,43,19,9,138,14,57,53,54,44,27,9,8,264,10,20,18,36,30,17,10,0,147,3,16,11,3,4,4,0,3,49,12,44,39,22,18,14,7,0,161,0,4,3,0,0,3,0,0,9,5,13,3,13,7,6,3,0,45,30,71,53,58,42,49,60,31,401,161,528,450,382,370,342,185,69,2491,0,14,10,4,8,0,0,0,31,0,7,3,0,5,0,0,0,12,5,10,7,5,3,0,0,0,35,0,6,0,5,6,0,0,0,15,9,7,13,10,4,4,0,0,47,20,105,78,64,74,65,49,18,471,22,73,56,53,57,81,35,6,383,35,96
UCL213004,4,9,11,13,6,10,5,0,48,7,30,37,15,3,11,0,0,98,56,199,164,161,162,173,98,25,1045,40,160,103,70,52,43,25,11,505,3,26,32,22,21,14,9,0,144,4,33,24,19,11,15,6,4,118,7,22,18,22,37,43,22,0,167,11,67,73,54,45,47,25,3,334,13,47,39,23,32,24,12,5,196,7,22,15,11,3,12,6,0,81,12,31,20,25,9,14,3,0,117,0,0,0,0,0,0,0,0,3,4,13,7,14,7,3,9,4,60,37,61,58,53,51,67,49,21,396,205,719,609,508,448,483,264,67,3304,0,17,14,19,7,4,0,0,66,0,3,3,3,0,4,3,0,25,7,8,9,3,9,6,3,5,52,8,7,10,5,0,0,0,0,33,8,10,6,15,6,4,0,0,49,34,147,105,91,97,85,41,9,614,26,138,105,94,87,80,34,4,571,21,140
UCL213005,4,10,21,20,14,29,8,5,114,6,27,24,22,14,14,3,0,119,42,118,149,177,224,255,125,31,1129,33,168,118,94,74,76,43,6,613,11,17,24,12,22,23,15,0,122,9,39,35,26,39,21,12,8,181,4,25,27,31,21,65,38,14,229,7,72,98,86,83,96,34,10,490,15,39,56,49,43,51,15,3,275,19,21,35,13,15,10,3,0,111,15,54,46,31,21,20,7,0,193,3,0,0,0,3,0,0,0,12,0,8,15,19,19,6,10,0,80,37,46,38,38,38,61,50,25,337,206,641,690,630,626,745,367,92,3995,4,12,23,21,12,15,0,0,98,0,0,5,7,7,7,5,0,30,3,7,8,10,15,3,3,4,54,5,9,7,8,7,0,0,0,29,3,10,13,5,4,0,0,0,37,44,174,145,130,153,119,60,17,841,20,109,120,95,107,123,58,9,639,26,110
UCL213006,4,6,20,11,11,15,11,3,69,0,17,31,21,9,4,0,0,82,30,87,173,174,143,107,59,11,774,22,81,107,80,54,28,12,5,388,6,7,16,24,6,3,4,3,76,7,18,22,23,14,14,4,0,106,3,20,29,22,34,23,15,0,156,8,35,126,119,95,47,24,6,458,10,38,41,37,29,14,8,0,178,18,18,23,18,3,6,0,0,88,0,8,17,17,7,3,0,0,62,0,0,0,0,0,0,0,0,4,4,11,10,14,11,9,6,0,59,23,19,38,34,16,14,30,22,196,136,370,647,604,448,281,171,52,2703,6,12,30,19,19,8,3,0,85,4,0,6,11,3,0,0,0,27,0,4,16,17,7,5,0,0,44,4,8,13,14,8,3,0,0,51,3,3,8,9,9,0,0,0,32,17,76,139,120,63,37,30,10,489,10,74,139,106,85,62,23,6,510,11,68
UCL213007,0,12,18,15,4,9,0,0,60,5,33,17,6,9,3,0,0,70,66,215,143,142,135,99,55,7,860,44,103,73,50,77,58,23,5,428,17,53,69,41,45,44,20,10,288,10,35,31,35,39,23,6,0,180,4,33,21,16,28,34,18,9,175,21,70,88,105,74,43,8,4,420,15,55,49,45,28,20,7,0,216,6,28,10,3,4,0,0,6,54,12,43,47,32,18,14,0,3,168,0,3,0,0,0,0,0,0,0,0,9,10,10,12,9,0,0,46,82,85,58,57,56,73,62,33,517,284,768,635,554,544,412,214,71,3495,9,12,10,10,5,0,0,6,59,0,5,10,7,4,0,0,0,23,3,18,11,3,4,4,0,4,43,0,10,3,4,3,0,0,0,20,15,24,17,18,3,4,0,0,81,64,192,156,118,147,112,48,19,856,25,111,73,67,67,88,47,20,506,53,153
UCL213008,8,14,25,15,14,6,6,0,101,10,56,70,31,20,6,0,0,203,46,223,207,260,210,179,69,17,1219,46,182,109,68,45,30,27,5,505,4,18,16,24,12,9,9,0,91,6,36,34,24,30,13,5,0,138,8,24,31,21,20,31,15,3,149,28,109,112,101,69,51,10,0,478,14,79,51,51,34,17,7,0,249,14,30,28,15,4,7,0,0,95,13,33,40,17,10,0,0,0,121,0,0,0,0,0,0,0,0,0,3,14,22,16,9,9,0,0,68,39,58,46,53,33,40,29,9,309,232,877,791,702,518,386,179,42,3722,10,21,42,18,8,5,0,0,105,0,17,18,10,3,3,0,0,52,11,21,22,14,12,5,4,7,86,3,13,13,3,0,0,0,0,28,3,4,13,15,3,0,4,0,44,58,210,132,120,75,87,21,7,697,31,136,140,101,53,55,19,3,531,36,201
UCL213009,3,10,7,16,9,8,5,0,62,16,24,32,27,10,6,0,0,117,28,120,139,162,146,141,93,18,850,44,130,108,66,59,27,27,4,451,6,17,18,18,10,11,6,3,90,5,30,16,22,38,15,0,0,129,5,20,20,16,21,27,18,9,128,18,57,88,76,65,42,15,5,361,16,46,48,40,24,20,3,3,202,15,15,23,7,8,6,4,0,76,5,33,38,17,12,18,0,3,132,0,0,0,0,0,0,0,0,7,0,3,17,7,7,5,3,0,41,23,40,33,51,32,34,48,32,286,181,558,586,530,434,344,228,71,2929,0,22,22,12,15,0,0,0,77,0,5,5,7,4,0,0,0,23,0,7,6,5,7,7,7,0,35,4,7,7,7,4,5,3,0,32,0,12,5,3,10,4,3,0,40,34,165,109,115,101,66,31,0,620,24,97,92,85,58,63,33,11,451,23,110
UCL213010,0,9,3,4,4,6,3,0,31,6,23,25,13,11,5,0,0,88,67,210,124,162,288,249,124,46,1262,41,114,68,56,55,53,24,12,421,4,25,25,18,15,8,3,3,98,8,22,19,28,24,16,5,3,119,0,11,13,17,17,42,15,0,123,12,49,44,40,38,44,20,7,244,16,57,35,29,33,32,14,4,222,20,19,16,8,7,10,0,0,77,10,26,26,37,17,15,8,0,134,0,0,0,0,0,0,0,0,6,5,6,14,10,8,11,9,0,61,90,120,90,97,106,98,79,36,718,283,686,491,508,625,596,301,113,3601,4,3,9,4,9,6,0,0,35,3,0,0,5,3,0,0,0,17,5,14,9,12,11,6,3,0,57,0,7,0,5,3,0,5,0,23,3,10,10,6,3,0,0,0,31,30,111,61,62,77,83,30,6,459,27,58,58,64,60,48,32,6,354,36,120
UCL213011,0,5,4,10,6,9,5,0,30,6,43,19,13,7,0,0,0,93,42,125,82,148,168,188,95,22,867,22,63,57,50,75,43,25,4,328,4,15,14,11,6,4,0,0,54,4,15,11,20,16,21,8,0,94,4,5,12,10,15,17,12,4,78,15,52,53,40,35,31,11,5,240,19,37,40,46,44,24,5,0,216,7,21,11,3,5,6,0,0,49,21,31,31,18,13,5,3,0,127,0,0,0,0,0,0,0,0,4,0,14,17,9,13,8,4,5,63,106,138,117,139,118,100,76,62,859,247,560,460,508,516,458,246,99,3094,5,9,7,6,4,3,0,0,31,0,13,3,4,7,0,0,0,23,4,13,8,13,6,3,0,5,54,0,0,4,3,3,0,0,0,13,10,11,10,0,0,0,0,0,29,33,59,48,52,53,47,18,6,328,23,43,42,44,45,38,14,3,254,21,88
UCL213012,0,3,3,4,8,0,3,0,21,7,8,6,0,4,8,4,0,32,46,80,114,158,143,130,44,4,720,14,52,40,42,66,44,26,8,290,4,7,16,32,18,17,10,0,106,4,21,16,20,19,19,4,0,107,0,11,14,21,19,35,8,3,117,7,37,27,38,31,36,12,3,179,3,24,16,21,21,16,3,0,105,0,5,8,6,0,11,4,0,41,5,10,20,15,13,12,8,0,87,0,0,0,0,0,0,0,0,3,0,8,4,11,3,3,8,5,37,51,46,61,59,59,70,53,24,423,146,322,353,427,403,403,175,50,2278,0,7,7,0,4,3,0,0,23,0,0,3,4,0,0,0,0,12,5,3,4,8,8,4,3,0,34,0,3,4,0,0,0,0,0,9,0,5,8,3,11,0,3,0,32,21,95,71,69,94,85,30,13,477,17,54,56,44,52,48,25,3,306,16,60
UCL213013,7,21,10,14,6,8,4,3,71,3,22,37,14,4,12,0,0,88,68,182,167,160,191,140,93,23,1020,32,86,66,51,54,48,28,8,359,0,26,19,14,21,18,11,0,105,8,49,33,26,27,20,7,0,166,3,29,38,22,23,45,21,7,191,12,77,73,57,59,36,9,7,334,12,46,34,41,40,27,15,0,218,9,17,9,13,4,9,0,0,65,12,32,29,33,18,23,3,0,156,0,0,0,0,0,0,0,0,3,5,13,10,5,11,8,9,0,61,61,85,68,74,52,70,45,38,484,233,686,591,536,512,446,242,85,3327,5,16,13,10,12,5,0,0,53,5,6,10,4,3,4,0,0,30,7,12,18,12,7,0,4,4,61,0,6,3,0,3,0,0,0,13,3,13,15,10,8,3,0,0,51,37,168,131,119,119,96,48,13,727,11,101,83,82,79,83,45,13,484,27,124
UCL213014,0,4,6,6,0,5,0,0,24,3,14,16,0,6,0,0,0,37,44,143,109,79,90,73,21,9,566,31,80,46,35,33,28,8,7,256,12,46,36,18,26,15,12,4,169,3,32,18,23,19,16,8,0,109,0,26,24,13,28,21,11,0,120,18,46,66,51,35,23,14,0,239,5,28,17,26,18,11,4,0,122,0,7,8,4,0,0,0,0,25,9,27,20,11,20,8,6,0,93,0,0,0,0,0,0,0,0,5,0,3,10,13,3,0,4,0,34,55,70,47,52,52,53,50,28,407,185,522,432,330,320,247,132,52,2215,0,15,0,3,0,0,0,0,22,0,5,8,3,0,0,0,0,21,0,8,6,0,0,0,4,0,29,0,6,5,0,0,0,0,0,12,3,9,10,0,3,4,3,0,38,37,131,73,57,80,50,28,9,467,17,100,78,41,52,48,31,10,380,32,94
UCL213015,3,7,6,10,13,5,4,0,51,17,31,71,20,4,0,3,0,151,49,242,227,201,164,85,28,7,1004,49,131,106,75,42,21,11,0,431,5,28,15,16,8,4,0,0,70,7,27,23,12,16,3,4,0,99,0,21,24,14,10,7,9,0,90,17,93,118,78,60,27,6,0,398,20,61,59,39,25,19,0,0,222,17,38,13,15,4,4,0,0,78,18,40,40,23,11,3,0,0,142,0,0,3,0,7,0,0,0,9,4,13,26,10,12,9,0,0,79,69,76,85,55,44,24,21,0,375,273,811,811,567,420,225,87,11,3207,13,26,19,19,8,3,0,0,83,0,32,22,5,4,0,0,0,73,0,14,12,18,7,0,0,3,58,0,14,11,0,6,0,0,0,35,5,14,13,6,0,0,0,0,38,40,139,125,83,68,29,7,4,499,22,146,104,63,35,31,12,3,402,28,203
UCL213016,7,9,20,20,15,14,9,0,89,9,28,27,14,14,10,3,0,105,52,169,174,179,178,180,120,36,1087,35,122,105,100,90,80,30,8,567,15,28,27,41,28,30,16,4,177,12,96,58,36,48,34,8,4,295,9,40,46,37,45,59,27,12,267,18,64,105,95,89,62,29,11,469,27,50,51,68,37,42,9,3,283,7,29,15,9,6,10,0,0,79,23,69,52,46,28,15,16,5,241,0,0,0,0,0,0,0,0,4,0,23,10,13,10,12,6,0,79,65,85,78,78,86,108,100,58,648,275,791,753,724,680,650,367,146,4388,11,18,24,9,10,5,5,0,88,0,0,9,4,3,4,0,0,22,5,10,7,9,18,9,3,5,69,3,6,4,4,4,0,0,0,16,4,14,16,17,6,5,0,0,71,99,279,204,185,194,148,76,33,1208,32,106,132,93,107,105,85,13,675,41,145
UCL213017,7,23,21,15,9,18,13,3,100,6,33,40,22,23,13,0,0,145,68,214,204,197,221,186,113,36,1248,59,191,95,105,80,45,26,14,609,13,40,30,36,37,25,5,3,186,10,52,46,40,38,32,10,6,229,10,38,58,35,53,73,38,3,305,27,119,108,101,97,75,37,0,568,13,68,72,57,43,43,22,5,327,14,34,23,8,10,12,0,0,99,9,42,35,31,16,16,9,4,162,0,0,0,0,0,0,0,0,3,8,12,13,9,11,15,3,0,78,56,91,90,71,57,63,60,26,509,292,953,837,737,697,595,341,110,4570,0,16,24,15,12,11,4,0,78,0,7,11,10,9,3,0,0,39,5,12,7,11,4,5,3,0,53,5,10,8,4,10,4,0,0,43,16,19,27,24,10,7,3,0,103,63,240,180,122,153,148,56,10,988,33,145,130,134,132,131,75,13,799,51,213
UCL213018,0,6,4,5,5,8,0,0,24,3,6,4,6,4,0,0,0,26,25,60,69,94,96,130,74,14,565,24,67,51,46,45,52,28,7,317,5,10,16,22,14,13,15,0,100,3,11,12,13,12,7,4,0,59,3,13,14,9,21,26,9,6,91,5,19,30,30,41,55,24,11,210,10,18,4,6,15,10,5,0,77,0,0,4,6,4,0,5,0,20,8,15,22,15,17,15,0,0,94,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,22,27,36,24,33,48,56,75,30,327,105,259,264,290,330,382,244,71,1941,0,3,5,8,7,3,0,0,28,0,5,0,0,3,4,0,0,13,0,0,4,4,5,6,0,0,23,0,0,0,3,4,8,0,0,16,0,3,0,5,0,8,0,0,24,10,63,44,55,55,66,42,12,343,17,45,49,31,36,43,35,3,249,16,43
UCL214001,0,5,0,4,8,7,0,0,22,0,9,11,3,0,5,0,0,27,15,85,57,45,70,59,24,8,362,13,44,21,14,25,23,10,3,146,3,9,8,13,15,10,8,9,74,0,14,12,7,19,17,0,3,81,0,10,10,7,8,17,8,0,65,10,22,24,25,21,12,3,0,121,7,32,23,35,34,14,5,5,150,3,8,3,4,0,5,3,0,26,7,14,19,16,10,7,10,0,77,0,0,0,0,0,0,0,0,0,0,0,7,6,5,5,3,0,31,24,45,28,41,35,32,30,15,238,82,302,208,218,244,217,111,34,1407,0,12,7,5,8,0,0,0,26,0,3,9,0,3,4,0,0,16,6,3,5,5,5,0,0,0,27,0,3,0,4,6,0,0,0,5,3,8,9,11,3,3,0,0,37,14,62,37,61,68,46,27,10,328,13,31,26,14,30,36,28,9,188,13,51
UCL214002,0,3,4,7,3,5,0,0,24,3,16,13,4,7,0,0,0,38,19,93,105,109,78,50,27,9,484,11,70,66,36,10,11,0,0,215,9,9,19,6,7,6,0,0,55,0,7,18,4,11,8,0,0,47,0,12,13,14,12,0,7,0,66,8,21,34,44,8,14,5,0,132,8,27,18,11,9,8,3,0,89,5,3,7,0,4,6,0,0,26,0,13,11,12,6,7,3,0,52,0,0,0,0,0,0,0,0,3,0,4,9,3,0,4,0,0,25,22,24,32,25,9,19,20,14,168,90,299,358,284,163,125,76,24,1422,0,3,10,4,0,6,0,0,23,0,0,6,3,5,0,0,0,11,4,10,0,3,0,0,0,0,27,0,3,4,0,0,0,0,0,11,0,9,5,4,0,0,0,0,16,11,81,79,51,35,26,10,5,299,10,54,69,43,21,17,3,0,220,10,58
UCL214003,0,7,0,0,8,6,9,0,35,3,11,5,6,0,5,0,0,36,27,105,95,96,110,120,74,17,647,21,58,44,34,56,47,24,5,290,8,11,10,20,23,15,12,11,105,3,9,11,10,14,17,4,4,72,0,15,16,13,13,27,28,3,118,11,30,33,27,40,42,22,3,198,14,18,16,14,34,20,10,0,122,5,10,3,7,12,8,0,0,48,8,19,13,19,12,16,9,0,93,5,0,0,0,0,0,0,0,6,0,4,5,6,9,10,3,0,45,65,62,54,52,75,58,63,36,456,172,360,307,306,399,391,254,81,2265,0,8,9,6,9,5,4,0,38,0,6,6,0,9,0,0,0,20,7,7,11,4,3,0,11,0,45,0,3,0,3,0,4,3,0,11,9,13,7,14,4,0,0,0,57,22,87,74,52,90,77,45,12,459,10,56,44,52,60,78,34,8,349,20,52
UCL214004,0,0,0,3,0,0,0,0,11,0,4,10,0,0,0,0,0,16,14,56,35,50,63,53,32,12,308,5,20,24,14,20,31,11,0,125,5,20,26,9,7,4,0,3,75,3,11,9,0,7,3,5,0,40,0,0,0,4,0,11,3,0,29,4,22,19,21,15,15,13,0,101,6,0,8,4,6,0,6,0,36,0,3,3,4,0,0,0,0,10,3,24,15,8,13,0,0,0,63,0,0,0,0,0,0,0,0,0,0,5,4,0,0,7,0,0,19,24,25,28,30,28,31,36,24,224,71,189,181,150,159,162,103,41,1056,0,0,6,5,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,4,6,8,0,0,5,0,21,8,31,26,21,34,31,15,4,165,6,25,29,25,19,28,10,6,137,7,47
