UCL_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
UCL212005,3,4,0,3,3,0,0,0,20,3,0,0,0,0,0,0,0,8,17,21,33,88,100,201,155,131,750,25,23,37,94,109,201,155,131,775,2749,3012,2673,2595,2426,1946,1187,326,16916,267,280,238,201,176,143,117,57,1478,3034,3317,2948,2890,2717,2295,1459,515,19170,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,5,22,25,19,14,7,89,0,7,5,24,29,19,14,7,99,2685,3309,2920,2772,2718,2472,1511,739,19142,221,283,238,166,185,152,160,88,1505,2905,3598,3166,2963,2930,2640,1693,838,20739,7,4,0,3,3,0,0,0,17,3,0,0,3,4,0,0,0,11,16,28,38,108,121,220,170,142,844,28,30,41,112,132,220,170,142,877,5437,6315,5598,5367,5147,4425,2703,1060,36053,480,568,473,366,364,296,283,152,2982,5941,6919,6112,5847,5642,4933,3148,1352,39909
UCL212006,5,5,0,0,0,0,0,0,11,0,4,11,3,7,0,0,0,26,0,46,61,95,130,172,90,69,669,7,49,70,103,140,172,90,69,703,2296,2484,2307,2298,2029,1359,603,161,13528,95,125,112,90,71,51,27,14,586,2396,2662,2485,2493,2238,1583,723,242,14818,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,10,19,30,27,6,8,104,0,8,10,19,31,27,6,8,116,2125,2637,2558,2578,2403,1754,835,369,15253,75,114,93,101,70,48,62,26,578,2200,2759,2656,2696,2499,1829,900,404,15947,5,9,0,6,0,0,0,0,12,0,4,11,3,8,0,0,0,25,4,56,69,113,160,203,94,75,781,9,63,80,123,165,203,94,75,821,4420,5120,4862,4875,4427,3108,1442,530,28779,173,240,203,186,137,98,88,43,1166,4601,5422,5140,5187,4733,3411,1625,644,30766
UCL212007,6,0,3,0,0,0,0,0,8,0,3,6,3,0,0,0,0,15,0,13,35,46,42,93,65,31,324,7,13,45,50,40,93,65,31,343,1097,1032,1617,1472,1115,997,405,89,7829,48,41,72,67,52,69,49,46,440,1147,1089,1737,1588,1206,1162,513,165,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,9,10,0,0,50,0,4,14,10,9,10,0,0,55,1047,1174,1876,1597,1240,1144,508,173,8770,55,54,71,62,51,62,53,79,484,1105,1233,1961,1675,1294,1220,568,254,9303,4,0,0,0,0,0,0,0,8,0,3,6,4,0,0,0,0,13,0,18,49,52,47,106,66,32,373,10,18,61,59,44,106,66,32,394,2141,2211,3496,3073,2347,2145,915,262,16595,99,93,143,133,101,132,102,121,921,2247,2322,3697,3264,2501,2385,1085,414,17912
UCL212008,0,0,6,0,0,0,0,0,4,4,4,5,0,0,0,0,0,11,3,22,42,51,89,154,106,58,524,5,24,51,51,90,154,106,58,539,1493,1692,1504,1394,1389,1157,614,144,9390,86,112,93,97,105,80,103,58,737,1587,1831,1644,1543,1586,1391,820,269,10664,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,3,14,23,16,6,4,69,0,4,5,17,27,16,6,4,69,1434,1906,1698,1552,1725,1502,842,350,11008,93,112,102,65,105,92,107,106,782,1527,2022,1801,1633,1855,1607,953,459,11861,0,0,6,4,0,0,0,0,4,4,5,5,0,0,0,0,0,13,3,28,44,64,116,165,111,63,591,5,32,54,70,113,165,111,63,612,2929,3599,3197,2951,3117,2657,1451,498,20402,176,226,194,165,206,171,210,164,1519,3114,3855,3448,3183,3437,2998,1775,725,22531
UCL212009,0,6,0,0,0,0,0,0,4,3,3,0,6,0,0,0,0,20,4,31,37,45,92,158,114,91,572,13,39,37,54,90,158,114,91,598,1694,1948,1698,1754,1773,1528,798,237,11430,129,118,147,106,82,76,72,49,771,1835,2109,1880,1916,1939,1763,987,375,12795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,19,11,4,3,56,0,3,7,9,22,11,4,3,58,1738,2035,1904,2054,2207,1916,1150,555,13556,88,109,113,95,91,101,113,116,828,1829,2148,2027,2160,2311,2024,1271,674,14439,0,4,0,0,3,0,0,0,6,3,3,0,6,0,0,0,0,20,5,38,45,58,104,162,120,93,634,15,45,52,64,111,162,120,93,657,3438,3984,3594,3808,3973,3443,1944,787,24983,212,229,265,199,169,177,185,163,1597,3661,4254,3901,4076,4252,3790,2258,1045,27240
UCL213001,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,6,16,28,31,109,91,62,355,0,6,18,31,34,109,91,62,357,684,727,560,601,682,699,459,108,4521,54,47,48,48,53,55,73,48,424,746,785,627,683,773,862,620,212,5310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,5,8,7,0,39,0,4,8,9,5,8,7,0,42,659,777,682,756,870,923,662,228,5560,44,57,47,49,55,71,73,96,501,700,838,737,811,936,1001,742,324,6099,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,12,21,37,39,116,100,62,394,0,12,23,43,40,116,100,62,398,1342,1506,1247,1360,1549,1626,1120,338,10082,98,106,95,96,118,127,145,144,925,1444,1623,1361,1499,1704,1869,1367,543,11408
UCL213002,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,24,26,61,49,34,203,0,5,5,23,26,61,49,34,205,375,363,489,545,615,613,324,75,3403,69,225,176,122,65,62,48,54,817,445,588,668,691,700,738,426,165,4420,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,7,14,0,0,35,5,0,0,6,7,14,0,0,33,329,389,586,684,733,829,504,166,4211,17,18,24,41,37,55,76,141,402,351,404,611,732,776,897,579,307,4660,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,8,7,6,3,30,32,77,53,38,238,9,6,5,29,33,77,53,38,240,702,753,1076,1228,1352,1441,824,241,7617,92,236,198,162,97,110,123,197,1222,797,992,1284,1421,1475,1630,1005,465,9080
UCL213003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,24,27,57,57,47,220,0,7,10,24,27,57,57,47,225,672,778,649,644,646,588,397,107,4473,25,51,33,35,27,35,30,17,258,695,839,696,702,705,681,478,173,4960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,3,0,5,29,0,4,0,3,9,3,0,5,29,621,749,643,697,753,748,508,289,5000,29,39,32,27,31,49,46,26,281,648,783,673,727,788,802,554,319,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,27,34,63,51,51,249,0,9,14,27,34,63,51,51,249,1286,1529,1286,1335,1402,1333,905,394,9471,58,89,61,63,61,89,78,48,541,1343,1621,1364,1425,1499,1488,1033,492,10261
UCL213004,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,10,0,14,23,31,38,81,76,45,310,3,18,25,28,45,81,76,45,321,727,887,732,669,692,717,413,98,4932,36,48,43,45,36,35,21,5,261,762,948,799,741,771,832,509,143,5516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,14,6,3,3,43,0,5,0,4,14,6,3,3,43,729,1052,815,843,898,853,513,206,5898,37,55,47,30,36,45,26,17,299,762,1108,863,874,949,911,547,225,6236,0,0,0,0,0,0,0,0,3,0,5,4,0,3,0,0,0,12,0,17,25,34,54,93,80,50,352,0,23,31,33,57,93,80,50,368,1450,1934,1550,1508,1592,1563,932,300,10828,72,102,87,73,69,86,54,27,560,1528,2055,1665,1613,1723,1738,1060,372,11750
UCL213005,0,0,0,4,0,0,0,0,3,0,4,0,6,0,0,0,0,11,4,17,17,45,72,147,91,47,427,4,15,24,48,68,147,91,47,440,796,798,848,817,840,974,489,95,5654,27,33,25,27,22,33,27,31,227,819,849,897,890,934,1154,610,174,6325,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,9,11,15,22,6,3,60,3,4,9,12,18,22,6,3,67,730,854,966,951,1215,1175,623,194,6706,24,18,27,20,22,38,58,59,263,755,877,1003,974,1252,1228,691,255,7036,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,0,0,8,3,18,25,50,81,164,95,49,489,7,23,27,56,87,164,95,49,510,1522,1645,1818,1765,2052,2148,1114,283,12360,49,57,54,40,44,70,88,88,495,1580,1723,1898,1866,2185,2383,1296,424,13358
UCL213006,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,15,0,9,20,41,39,42,42,12,200,3,12,26,45,39,42,42,12,215,634,418,724,716,541,368,217,46,3658,23,9,22,17,14,8,17,19,125,655,447,767,774,592,416,272,80,3999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,4,3,0,24,0,3,5,6,8,4,3,0,24,574,472,891,810,599,467,289,101,4204,19,10,26,19,12,16,19,39,161,593,480,922,833,620,486,313,140,4391,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,15,0,10,24,49,44,44,42,12,228,3,17,35,46,46,44,42,12,239,1214,889,1611,1520,1137,836,507,146,7863,39,24,45,37,25,20,36,56,286,1252,923,1694,1607,1212,900,578,223,8387
UCL213007,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,10,0,7,18,18,47,86,59,66,302,0,13,19,20,48,86,59,66,311,896,987,822,783,863,711,443,139,5646,66,65,46,34,44,42,30,16,358,964,1067,888,842,950,843,532,221,6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,19,8,0,9,50,0,8,0,8,21,8,0,9,55,821,1058,901,890,1011,902,629,317,6528,73,63,49,36,39,45,51,35,386,896,1126,946,935,1066,959,679,359,6964,0,0,0,0,0,0,0,0,6,0,3,3,3,4,0,0,0,19,0,15,18,24,64,96,60,74,348,3,19,21,25,67,96,60,74,367,1715,2046,1726,1679,1871,1612,1068,455,12170,138,128,91,79,82,84,84,51,744,1859,2194,1835,1780,2018,1797,1213,576,13281
UCL213008,0,0,0,3,0,0,0,0,3,3,3,3,0,0,0,0,0,16,7,20,21,40,54,101,40,20,309,8,32,28,46,51,101,40,20,329,901,1096,1000,935,730,552,255,67,5534,22,37,23,29,19,24,19,10,183,929,1156,1057,1013,800,678,314,93,6040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,20,14,4,7,57,0,0,9,15,20,14,4,7,58,838,1178,1141,1026,734,741,364,158,6185,21,34,30,29,16,41,24,16,197,854,1218,1180,1070,770,793,383,169,6445,0,0,4,3,0,0,0,0,3,3,3,4,0,0,0,0,0,14,7,20,29,53,71,116,45,23,370,8,32,37,62,76,116,45,23,382,1738,2271,2143,1969,1471,1295,617,223,11714,45,71,57,58,35,60,34,23,388,1791,2373,2242,2085,1576,1464,701,262,12488
UCL213009,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,7,0,7,21,34,45,77,58,32,267,3,15,19,33,45,77,58,32,276,712,702,693,672,626,502,306,65,4281,12,26,14,34,17,19,38,29,180,727,734,728,739,688,603,402,128,4738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,7,7,3,0,34,0,5,8,7,7,7,3,0,36,641,792,801,800,786,671,417,125,5030,20,20,20,19,17,33,47,50,224,657,816,823,828,812,713,467,177,5295,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,13,24,42,53,86,59,32,306,3,14,25,42,53,86,59,32,314,1353,1497,1492,1479,1404,1175,722,189,9314,26,42,34,50,38,50,89,84,411,1381,1554,1552,1567,1495,1316,864,301,10033
UCL213010,5,3,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,3,5,4,13,39,66,117,74,40,374,7,10,14,39,78,117,74,40,388,781,929,670,729,932,857,456,149,5504,67,80,68,77,65,65,42,22,484,859,1012,754,848,1074,1040,576,216,6372,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,3,7,9,6,5,8,39,0,0,3,15,9,6,5,8,40,743,920,784,906,1023,1034,616,288,6309,56,68,74,72,70,72,69,40,528,806,992,863,989,1100,1112,685,340,6878,5,3,0,0,3,0,0,0,7,0,0,0,5,3,0,0,0,5,5,9,17,57,78,126,84,54,417,9,11,20,55,84,126,84,54,427,1525,1847,1449,1633,1954,1888,1072,437,11816,130,147,140,149,135,140,103,60,1006,1657,2005,1614,1838,2170,2157,1258,554,13251
UCL213011,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,8,22,36,44,87,66,23,278,3,11,20,42,46,87,66,23,289,676,736,633,737,799,710,378,124,4796,94,110,94,106,66,68,27,30,588,770,851,749,875,905,858,475,176,5672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,12,11,5,6,49,3,0,3,9,12,11,5,6,53,718,783,619,766,903,778,491,246,5301,97,105,107,74,74,44,52,41,601,817,891,726,849,992,830,551,291,5949,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,6,4,9,24,43,58,92,70,28,327,4,7,26,47,61,92,70,28,335,1395,1519,1251,1503,1698,1483,875,371,10091,186,214,201,180,141,107,76,77,1188,1587,1741,1476,1728,1898,1691,1021,467,11620
UCL213012,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,10,21,40,77,41,31,230,0,6,13,21,40,77,41,31,232,544,439,468,611,706,620,302,77,3767,43,34,34,38,39,50,20,15,276,584,479,514,667,788,754,366,125,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,3,0,34,0,0,0,3,16,6,3,0,37,483,499,546,644,774,700,373,181,4200,28,34,53,30,31,35,36,32,282,509,538,599,676,823,748,411,213,4517,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,12,26,51,89,45,31,263,0,11,14,26,53,89,45,31,272,1025,939,1017,1254,1480,1321,671,262,7975,62,71,92,69,75,84,62,39,556,1093,1015,1119,1345,1608,1497,779,334,8798
UCL213013,14,122,74,46,9,0,0,0,274,0,3,6,8,11,0,0,0,30,0,9,31,50,103,126,77,39,427,14,130,115,108,127,126,77,39,733,730,689,609,592,641,610,361,97,4331,53,68,54,62,44,48,30,27,375,799,892,768,758,810,786,461,170,5439,12,26,16,12,0,0,0,0,60,0,7,0,6,3,0,0,0,14,0,0,10,17,27,12,9,4,75,9,38,26,26,34,12,9,4,156,675,812,790,861,848,839,534,233,5585,47,39,57,52,29,46,48,52,372,729,892,870,941,907,893,588,293,6119,22,153,89,63,17,0,0,0,334,0,9,13,13,18,0,0,0,48,0,10,40,65,131,136,77,46,507,22,166,142,134,161,136,77,46,891,1405,1507,1397,1457,1485,1451,896,336,9918,97,108,108,109,66,94,79,84,742,1525,1783,1639,1701,1721,1678,1047,460,11554
UCL213014,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,7,12,24,32,36,36,33,192,5,10,14,27,36,36,36,33,198,567,693,572,476,551,440,263,95,3649,43,60,38,37,43,34,30,19,294,616,768,617,533,627,509,330,150,4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,18,0,0,3,0,0,6,0,3,18,550,798,636,533,602,532,428,239,4313,47,58,43,26,38,43,39,28,318,594,857,679,560,644,581,472,265,4649,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,7,16,27,35,41,36,41,210,5,10,18,27,43,41,36,41,222,1119,1490,1207,1002,1151,975,693,335,7965,89,117,76,62,80,74,72,46,614,1214,1619,1297,1092,1270,1086,803,417,8798
UCL213015,3,14,5,7,4,0,0,0,36,0,0,5,5,0,0,0,0,14,0,13,26,32,37,40,17,10,172,9,31,36,40,42,40,17,10,225,856,1092,1051,802,673,392,131,19,5019,60,48,57,40,28,19,11,0,268,918,1174,1145,875,747,451,171,31,5514,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,13,3,5,0,6,24,0,0,6,11,8,5,0,6,31,779,1248,1084,859,705,437,163,41,5318,46,72,42,33,29,10,14,0,247,826,1320,1127,905,741,454,173,47,5589,3,15,7,3,4,0,0,0,38,0,0,6,5,5,0,0,0,19,0,13,29,43,43,44,16,13,198,7,32,44,45,47,44,16,13,253,1638,2347,2133,1657,1378,835,293,57,10341,102,123,98,75,56,28,27,0,514,1752,2501,2278,1780,1486,902,343,75,11106
UCL213016,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,11,10,12,29,46,121,118,75,432,11,18,16,34,49,121,118,75,442,1000,1001,991,1007,1032,919,577,171,6690,56,69,56,48,57,68,53,40,441,1066,1084,1057,1088,1142,1106,745,281,7572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,7,8,4,3,51,0,4,5,18,10,8,4,3,53,1015,1119,1101,1187,1242,1206,859,439,8166,64,68,49,65,63,61,90,62,522,1081,1185,1152,1270,1314,1276,953,510,8739,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,6,11,10,16,48,59,128,125,78,480,11,16,19,48,66,128,125,78,493,2012,2119,2089,2196,2272,2125,1435,611,14851,124,133,101,109,119,128,138,102,959,2144,2268,2206,2357,2454,2383,1698,793,16309
UCL213017,4,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,8,0,30,19,40,54,116,77,55,399,3,30,19,43,57,116,77,55,410,979,1159,1001,959,940,857,521,128,6541,44,71,67,49,36,42,37,17,364,1023,1260,1084,1045,1037,1016,636,206,7308,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,15,6,12,7,7,53,0,7,4,15,6,12,7,7,52,1034,1277,1105,1143,1160,1118,706,322,7851,43,88,49,45,41,49,55,31,400,1076,1371,1157,1198,1207,1168,763,356,8306,0,0,0,5,0,0,0,0,7,0,0,3,4,0,0,0,0,8,0,38,25,53,63,126,87,61,451,3,37,25,52,66,126,87,61,458,2006,2439,2103,2095,2098,1975,1223,455,14390,91,154,111,94,81,89,95,46,763,2097,2630,2241,2247,2245,2183,1403,563,15613
UCL213018,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,5,11,9,29,98,67,50,265,0,10,9,9,28,98,67,50,269,368,327,335,418,484,577,391,86,3001,17,26,16,12,33,31,52,20,218,389,363,362,444,549,708,513,150,3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,7,8,3,32,0,0,5,3,10,7,8,3,35,321,367,385,461,573,736,432,190,3473,18,22,28,19,13,58,53,39,253,338,393,417,478,595,810,491,234,3756,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,3,5,8,11,34,105,68,55,293,3,10,13,11,37,105,68,55,304,688,698,720,880,1061,1319,827,278,6467,40,50,43,33,47,97,101,61,470,728,752,779,919,1141,1520,1003,390,7238
UCL214001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,25,43,22,23,139,0,3,4,13,25,43,22,23,143,365,431,301,327,407,391,208,74,2509,24,34,18,28,25,21,26,3,175,389,468,332,367,448,456,252,102,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,0,0,3,20,0,6,0,4,4,0,0,3,20,366,432,330,393,471,452,305,149,2902,24,27,19,21,16,23,20,16,174,393,463,356,417,492,474,330,172,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18,30,43,22,26,156,0,8,6,18,30,43,22,26,160,738,861,638,720,871,840,512,227,5406,45,58,43,46,44,40,43,20,348,782,928,687,783,943,929,579,282,5910
UCL214002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,25,19,26,19,4,110,0,0,15,25,19,26,19,4,111,358,375,396,365,229,209,98,20,2054,16,9,27,15,3,5,11,11,103,372,391,438,403,255,244,123,39,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,11,0,0,3,0,7,0,0,0,11,290,385,487,401,245,251,132,71,2266,7,14,19,9,5,9,7,4,72,300,400,507,412,257,260,138,79,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,18,25,20,26,19,4,121,0,8,17,25,20,26,19,4,126,650,763,879,765,478,461,230,99,4322,18,22,50,25,14,14,15,15,172,671,787,949,810,513,505,264,114,4611
UCL214003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,9,10,37,85,66,56,278,0,10,9,10,37,85,66,56,279,451,460,383,437,576,561,371,100,3330,50,48,34,43,48,42,37,27,326,500,515,425,485,665,686,471,184,3928,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,5,12,9,3,4,36,0,5,3,5,10,9,3,4,41,394,475,427,524,698,742,508,264,4030,34,48,46,38,41,46,64,51,374,431,517,471,576,754,802,577,318,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,18,17,52,93,68,62,318,0,11,18,17,50,93,68,62,320,842,933,805,963,1274,1306,876,365,7363,92,94,83,77,91,85,103,77,699,937,1031,900,1054,1417,1491,1045,505,8379
UCL214004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,13,42,26,11,116,0,4,4,12,13,42,26,11,116,260,301,273,264,305,294,230,78,2004,18,22,29,15,14,20,16,14,142,279,321,299,288,337,357,280,107,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,12,0,0,0,0,3,5,0,3,12,226,281,262,291,303,376,243,125,2109,17,22,17,12,9,32,21,12,140,241,298,284,309,313,411,271,133,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,13,45,31,17,129,0,4,4,14,13,45,31,17,124,487,579,535,556,610,672,479,196,4109,35,41,45,31,24,48,36,23,282,521,622,588,599,648,763,548,237,4522
