UCL_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
UCL212005,0,0,0,5,0,0,0,0,0,5,0,4,5,93,22,21,3,3,0,149,0,0,0,3,0,5,7,5,0,15,0,6,5,10,0,0,0,0,0,21,0,11,8,33,24,66,81,62,21,314,0,0,4,25,10,0,6,0,0,42,0,0,0,3,0,5,0,0,0,9,0,0,3,13,4,6,16,6,3,43,0,0,5,7,5,0,11,19,12,63,4,0,3,12,0,0,0,0,0,17,5,47,50,558,73,51,32,10,0,818,0,0,3,15,16,6,0,0,0,44,0,21,18,16,0,0,0,0,0,54,0,17,21,128,43,19,8,4,0,232,0,7,0,3,3,0,6,3,0,27,0,4,0,9,0,27,82,86,46,260,0,0,0,5,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,22,25,199,46,20,4,0,0,313
UCL212006,0,0,0,3,6,0,5,0,0,15,0,0,5,26,15,19,3,4,0,74,0,0,0,3,0,15,9,7,3,43,0,0,0,4,0,0,3,0,3,20,0,10,21,97,93,147,166,108,44,687,0,0,0,9,12,6,6,0,0,43,0,0,0,0,4,3,0,4,0,13,0,0,0,10,15,13,40,19,13,104,0,0,0,4,0,0,9,12,3,29,0,0,0,10,0,8,6,0,0,22,0,19,25,183,38,31,14,10,9,335,0,0,0,15,3,0,0,0,0,30,0,0,0,10,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,6,0,0,0,26,8,16,11,8,7,75,0,0,0,7,6,18,24,11,9,83,0,6,0,8,7,0,0,0,0,23,0,0,0,9,9,0,0,0,0,18,0,0,5,3,5,4,0,0,0,21,0,0,5,13,11,16,11,0,3,60
UCL212007,0,0,0,4,0,0,0,0,0,6,0,0,0,12,0,4,0,0,0,26,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,4,4,35,27,106,67,70,65,45,14,427,0,0,0,4,0,0,0,0,0,8,0,4,4,14,6,0,0,0,0,24,0,0,0,25,10,3,17,5,4,64,0,0,0,0,0,0,7,0,0,11,0,4,0,8,3,0,0,0,0,12,0,0,0,7,3,0,0,4,0,16,0,0,0,5,3,0,0,0,0,13,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,7,4,0,47,0,0,0,6,0,3,15,8,3,36,0,3,0,5,3,4,0,0,0,13,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,5,0,0,19
UCL212008,0,0,0,0,0,0,6,0,0,3,0,0,5,35,8,11,4,0,0,62,0,0,0,0,5,0,0,5,4,14,0,0,0,3,0,0,3,0,0,6,0,15,5,33,25,87,96,74,38,369,0,0,0,8,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,11,0,0,0,3,3,9,32,15,6,77,0,0,0,0,0,0,4,7,0,12,0,3,0,4,0,0,0,0,0,4,3,8,30,99,11,8,3,0,0,164,0,0,0,8,4,0,7,0,0,16,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,4,29,0,0,0,0,4,14,22,20,15,68,3,0,0,9,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,14,7,6,4,0,0,39
UCL212009,0,0,0,0,0,0,0,0,0,0,0,7,12,67,18,9,8,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,15,0,14,7,33,28,67,64,53,22,285,0,0,0,9,0,0,0,0,0,14,0,0,0,4,4,5,0,0,0,12,0,0,0,12,0,7,10,6,4,40,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,10,0,9,7,48,8,0,0,0,0,74,0,0,3,18,5,0,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,3,3,4,0,37,0,0,0,0,0,0,0,0,0,13,0,0,0,9,7,0,0,0,0,17,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,13,6,5,0,0,0,23
UCL213001,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,15,13,43,65,48,11,201,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,10,14,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,27,3,0,5,0,0,39,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,3,7,9,3,29,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,0,0,0,0,23
UCL213002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,6,4,17,28,35,46,35,13,187,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,3,10,11,0,0,35,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,6,0,0,10,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,4,0,0,13
UCL213003,0,0,0,0,0,0,0,0,0,0,0,12,9,39,4,7,0,0,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,19,22,7,83,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,3,0,19,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,4,19,0,3,0,5,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,8
UCL213004,0,0,0,0,0,0,0,0,0,3,0,0,0,14,4,0,3,0,0,20,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,16,20,48,69,71,52,21,297,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,3,12,13,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,24,0,3,4,0,0,36,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,4,3,6,0,9,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
UCL213005,0,0,0,5,0,0,0,0,0,6,0,0,0,14,3,0,3,0,0,23,0,0,0,0,0,5,9,5,0,16,0,0,0,0,0,0,0,3,0,4,0,10,9,57,52,112,128,80,31,486,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,14,17,10,7,51,0,0,0,0,3,0,5,3,0,13,0,0,0,3,0,0,0,0,0,9,4,0,5,17,4,3,3,0,0,31,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,3,0,19,0,0,0,3,0,5,11,0,3,27,0,0,0,5,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,17
UCL213006,0,0,0,0,0,0,0,0,0,5,0,0,0,9,5,5,0,3,0,16,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,10,26,46,50,28,34,7,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,8,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,20,3,3,0,5,0,35,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,4,0,0,3,19,0,0,0,5,0,8,6,0,0,22,0,0,0,5,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL213007,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,21,16,15,10,79,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,7,4,12,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,6,12,0,57,11,3,0,0,0,90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,3,3,8,6,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3
UCL213008,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,4,4,0,0,20,0,0,0,3,3,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,13,16,30,28,62,72,53,24,305,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,16,4,8,36,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,8,7,120,10,4,5,6,0,155,0,0,0,4,0,6,3,0,0,9,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,4,0,3,26,0,0,0,0,0,0,4,4,0,17,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,15
