UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL213001,40,58,30,16,10,4,6,157,30,26,16,3,25,0,0,113,36,28,17,8,6,0,0,93,446,369,224,148,178,33,13,1418,5,0,0,0,0,0,0,6,553,478,286,179,224,47,14,1784,0,4,0,0,4,0,0,12,10,12,7,7,4,0,0,43,0,5,5,9,0,0,0,27,151,194,106,101,108,20,9,682,6,14,3,4,0,0,0,25,169,224,125,119,121,22,4,788,731,707,411,297,339,71,24,2574
UCL213002,17,22,16,6,7,0,0,60,46,31,30,14,28,3,0,161,35,26,10,14,11,0,0,92,258,284,141,108,123,36,12,965,3,0,0,0,0,0,0,4,357,362,195,137,170,45,12,1283,0,3,0,0,7,3,0,18,10,12,9,14,15,3,0,51,3,6,11,3,5,0,0,29,51,81,68,56,64,13,7,333,4,6,0,3,3,0,0,16,64,115,94,70,85,16,6,451,418,477,287,206,257,60,18,1730
UCL213003,35,56,18,16,24,8,0,161,25,28,13,0,6,4,0,83,29,27,10,5,3,0,0,80,426,372,263,160,215,63,22,1517,0,4,3,0,0,0,0,8,522,481,303,191,249,76,27,1843,0,14,12,4,5,5,0,39,11,13,8,3,9,0,0,42,3,8,0,4,4,0,0,23,89,128,76,69,73,10,3,452,0,0,3,0,0,0,0,16,108,165,106,78,94,16,3,571,627,652,415,265,343,91,23,2413
UCL213004,52,59,27,25,31,19,10,227,50,57,34,19,18,8,0,181,41,32,24,17,15,9,0,138,678,606,313,195,209,66,23,2090,0,8,0,0,0,0,0,12,826,759,395,253,272,107,37,2650,0,3,9,0,10,3,0,28,12,13,16,14,17,3,0,75,3,3,3,7,8,4,0,31,122,162,102,88,78,24,8,584,5,13,3,0,0,0,0,24,139,197,128,110,107,37,12,738,968,958,525,365,382,142,48,3386
UCL213005,38,39,28,25,33,17,5,199,63,61,28,16,29,16,0,219,84,66,35,17,17,10,3,229,543,547,352,186,241,91,34,1999,0,6,0,0,3,0,0,9,736,716,445,252,328,133,42,2654,0,8,9,8,3,3,0,28,8,30,17,8,6,7,4,86,8,9,13,4,7,0,0,42,90,156,104,97,111,32,16,603,3,4,0,0,0,0,0,8,110,213,138,114,129,38,18,763,846,932,584,367,460,170,67,3416
UCL213006,38,43,26,16,30,9,0,155,66,74,39,31,32,18,3,266,55,66,29,24,25,13,8,221,514,651,346,222,264,144,42,2187,3,0,0,0,0,0,0,5,681,837,435,292,353,175,55,2831,0,4,8,8,0,5,0,24,3,8,8,10,12,5,3,53,5,6,8,5,13,4,0,42,44,76,58,50,56,17,12,300,0,0,0,0,0,0,0,5,50,95,76,71,81,33,16,428,729,931,507,362,436,216,72,3250
UCL213007,79,67,38,30,25,9,4,247,22,25,10,3,6,0,0,78,31,30,15,12,9,0,0,94,611,604,347,234,287,61,14,2158,4,0,0,0,0,0,0,9,737,729,416,277,332,76,20,2576,5,4,0,0,0,0,0,9,6,4,6,9,3,0,0,33,0,4,0,3,4,0,0,11,182,200,142,101,98,27,3,753,3,3,7,0,0,0,0,11,194,221,153,110,107,30,5,823,937,950,567,384,442,102,22,3400
UCL213008,134,130,52,48,46,28,27,455,58,64,37,26,30,8,6,225,87,64,30,18,19,8,6,230,684,656,337,241,278,103,36,2334,0,5,0,0,0,0,0,6,962,909,453,331,374,148,77,3250,3,7,3,3,8,0,0,33,8,17,16,9,13,0,5,74,8,11,3,4,3,0,0,27,99,147,102,72,103,37,11,564,0,0,4,0,0,0,0,15,123,179,132,88,123,39,14,705,1086,1095,585,419,495,183,90,3955
UCL213009,61,47,13,9,24,10,4,177,42,42,18,15,13,9,5,133,40,40,20,9,14,7,3,132,526,491,258,163,226,105,41,1811,0,0,0,0,0,0,0,10,666,620,314,202,276,123,52,2252,3,8,0,3,4,6,3,20,11,11,11,8,7,4,0,63,0,4,7,0,0,0,0,23,67,124,66,53,86,30,7,433,0,0,4,0,0,0,0,9,86,151,85,68,106,39,15,548,751,772,399,265,379,159,69,2798
UCL213010,17,15,8,5,9,6,0,69,18,24,8,16,18,0,0,89,30,23,14,14,16,8,0,102,413,408,237,161,181,51,19,1468,5,4,0,0,0,0,0,8,487,470,273,199,223,69,19,1735,9,12,13,3,8,6,0,47,14,12,15,8,13,0,0,63,4,9,5,0,5,3,0,27,201,260,147,94,101,30,8,831,12,13,9,3,4,0,0,41,234,305,181,110,128,41,11,1009,725,772,455,311,353,105,23,2738
UCL213011,87,86,34,22,22,6,3,265,9,8,10,0,12,7,0,46,28,15,12,10,7,0,0,74,331,300,189,138,135,42,10,1142,6,12,5,0,0,0,0,21,460,420,247,183,170,57,16,1553,16,10,10,3,18,3,0,59,14,13,6,3,11,0,3,46,3,9,5,5,3,0,0,25,185,226,141,99,92,22,6,775,15,20,6,8,7,0,0,57,236,277,168,117,124,31,9,965,692,695,417,295,295,87,24,2515
UCL213012,14,15,12,8,7,3,0,66,9,7,11,6,10,3,0,44,14,16,17,12,3,6,0,69,301,323,175,149,154,21,6,1125,0,0,0,0,0,0,0,0,342,367,213,171,172,36,4,1306,0,3,5,0,4,0,0,12,4,22,9,6,10,0,0,47,3,5,4,4,0,0,0,17,84,116,70,71,80,11,0,434,5,10,6,0,0,0,0,27,96,154,94,83,91,10,0,531,438,515,308,254,265,48,6,1833
UCL213013,62,60,38,9,22,5,0,203,23,34,12,15,18,0,0,105,38,46,25,17,14,7,0,137,520,430,270,188,205,49,14,1676,0,8,7,0,0,0,0,19,648,578,347,229,262,65,12,2139,3,5,0,0,4,4,0,21,5,9,13,8,16,0,0,56,6,8,7,0,6,0,0,28,122,180,118,88,101,27,8,641,6,3,0,0,0,0,0,19,140,210,134,103,123,29,9,762,788,795,480,335,385,99,23,2904
UCL213014,85,101,40,23,22,9,0,278,9,12,3,0,4,0,0,24,28,30,10,3,8,0,3,80,409,340,201,123,145,41,15,1278,0,0,3,0,0,0,0,0,536,483,254,155,173,42,16,1663,7,5,10,4,4,4,0,43,12,14,0,3,6,0,0,34,3,3,0,3,0,0,0,17,87,142,85,73,67,22,5,493,5,0,6,0,0,0,0,22,118,166,116,83,82,27,5,597,654,651,370,238,254,76,28,2261
UCL213015,266,230,116,52,67,34,9,775,82,62,36,19,20,6,3,238,72,55,28,8,16,9,4,191,697,579,318,178,234,67,38,2112,3,4,0,0,0,0,0,7,1122,931,500,259,342,117,54,3320,14,19,11,8,3,3,0,63,11,18,13,3,8,4,4,55,3,11,3,9,0,4,0,32,150,182,110,66,82,18,18,618,4,6,6,0,0,0,0,22,176,228,142,89,100,25,23,791,1299,1162,639,347,449,146,73,4112
UCL213016,60,53,19,3,14,3,0,157,24,36,28,15,22,0,0,129,36,35,28,15,13,0,0,130,659,635,435,271,374,101,17,2488,7,5,0,0,0,0,0,14,776,768,511,314,423,108,16,2915,0,5,3,10,12,0,3,33,5,6,7,8,14,0,0,42,3,11,3,6,7,0,0,40,168,246,189,120,142,31,14,903,10,8,7,4,0,0,0,28,190,274,212,144,176,39,13,1043,968,1041,725,451,594,145,32,3962
UCL213017,101,129,51,34,36,28,5,384,55,54,27,27,26,4,5,201,74,46,28,21,18,11,0,194,755,624,387,265,333,112,48,2528,0,0,6,0,0,0,0,7,987,859,501,338,413,151,61,3306,4,9,5,3,3,3,0,30,20,19,5,11,15,9,0,78,11,18,9,3,13,0,0,61,122,164,125,112,128,34,17,699,6,7,5,0,4,0,0,20,164,216,150,131,164,51,21,896,1144,1074,657,471,575,200,80,4202
UCL213018,10,14,16,5,7,0,0,50,11,13,5,0,5,0,0,31,7,12,9,7,3,0,0,38,265,290,184,124,142,27,18,1049,4,0,0,0,0,0,0,4,296,326,209,140,155,31,18,1173,0,0,0,0,3,0,0,3,8,10,4,4,5,0,0,28,0,8,4,6,0,0,0,16,66,100,53,37,45,3,3,308,3,4,0,0,0,0,0,4,76,119,66,42,50,8,3,360,372,446,269,182,203,36,19,1528
UCL214001,32,35,21,4,9,0,0,100,8,11,7,0,3,0,0,35,16,5,4,0,4,5,0,30,226,175,104,71,98,13,5,699,0,0,0,0,0,0,0,0,288,226,135,80,120,17,3,872,0,0,0,0,0,4,0,6,6,9,3,4,9,0,0,19,0,0,0,5,0,0,0,12,75,91,59,49,41,11,4,324,3,10,4,4,0,0,0,16,85,108,68,55,49,14,4,380,372,334,202,139,167,26,4,1246
UCL214002,8,14,13,6,7,5,0,53,27,31,13,6,5,0,3,99,19,29,16,12,16,3,0,94,383,423,194,143,165,36,11,1359,0,0,0,0,0,0,0,0,435,495,237,172,199,54,14,1601,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,5,0,4,3,0,0,0,0,13,32,52,40,23,36,16,0,194,0,0,0,0,0,0,0,0,36,59,44,24,42,12,0,222,467,555,284,194,237,70,18,1824
UCL214003,29,23,6,0,14,6,3,75,11,12,7,5,4,3,0,40,15,11,9,7,6,3,0,49,258,212,127,84,132,29,7,865,3,4,0,0,0,0,0,5,315,262,156,96,154,40,12,1037,0,3,0,0,5,0,0,6,4,7,9,12,3,3,0,37,0,0,0,3,6,0,0,8,68,114,75,41,52,10,3,372,5,7,10,0,0,0,0,23,86,127,88,62,66,16,8,448,400,392,245,156,217,55,22,1486
UCL214004,47,36,20,11,13,9,0,130,7,11,8,5,0,3,0,32,17,10,5,0,0,0,0,31,128,141,80,64,78,22,5,511,0,0,0,0,0,0,0,0,195,196,105,81,98,27,8,709,0,3,9,3,4,3,0,24,3,3,0,0,3,3,0,8,0,6,3,0,0,0,0,5,46,77,32,33,26,4,0,222,0,0,0,0,0,0,0,3,51,89,45,32,37,11,0,266,250,286,153,117,130,31,5,975
UCL214005,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,38,41,23,15,17,4,0,143,0,0,0,0,0,0,0,0,45,47,23,15,20,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,5,0,0,26,0,0,0,0,0,0,0,0,3,7,10,7,6,0,0,28,45,51,31,17,28,0,0,182
UCL214006,25,23,9,12,4,0,0,77,23,24,4,5,10,3,0,66,12,15,14,7,10,0,0,67,156,161,95,65,74,18,5,574,3,0,0,0,0,0,0,4,216,225,124,99,93,18,11,790,0,3,0,3,0,0,0,6,3,12,12,6,5,0,0,40,0,3,9,4,4,0,0,25,24,41,36,26,35,10,0,180,0,0,0,0,0,0,0,14,37,69,64,38,48,13,0,269,253,298,186,140,143,33,9,1057
UCL214007,149,108,38,12,19,15,8,342,33,13,12,4,7,3,0,68,35,18,4,0,3,5,3,75,219,151,49,38,27,15,7,508,0,0,0,0,0,0,0,4,435,291,100,58,61,37,13,991,3,7,8,4,0,0,0,21,4,6,0,3,3,0,0,30,0,4,0,0,0,0,0,9,28,39,18,27,25,4,0,142,0,0,5,5,0,0,0,5,37,57,30,33,31,11,5,204,474,352,131,89,91,43,15,1195
UCL214008,38,52,13,12,11,0,0,119,15,8,4,10,5,0,0,42,28,13,7,9,8,3,0,72,356,303,179,107,153,27,3,1136,4,0,0,3,0,0,0,7,439,375,207,135,184,31,6,1375,3,8,3,0,3,0,0,16,4,11,11,5,5,0,0,32,4,3,0,0,3,0,0,10,59,94,70,51,67,16,0,352,8,3,0,6,0,0,0,16,71,111,85,60,77,15,3,433,514,494,292,198,257,49,9,1802
UCL214009,19,13,9,8,21,7,4,72,20,38,26,10,12,0,3,102,31,31,23,14,12,0,3,119,318,311,168,95,119,34,16,1052,0,0,0,0,0,0,0,0,386,395,219,127,155,39,25,1343,0,0,0,7,6,3,0,18,9,6,3,4,8,0,0,35,0,0,7,5,7,0,0,19,43,71,53,38,42,21,3,267,0,4,0,0,0,0,0,11,53,88,63,55,64,30,9,348,436,483,277,178,221,70,31,1690
UCL214010,20,16,3,3,3,4,0,40,19,19,15,6,15,0,0,72,25,24,18,7,14,5,0,91,192,184,112,84,95,24,10,695,0,3,0,0,0,0,0,3,253,240,149,106,124,31,14,909,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,14,14,41,21,23,17,9,0,133,0,5,0,0,0,0,0,8,22,49,28,26,23,8,5,160,272,289,177,134,148,37,16,1069
UCL214011,54,43,26,9,15,9,3,164,25,32,20,10,9,7,0,112,29,32,17,12,14,0,5,107,338,298,178,127,157,60,15,1182,0,0,0,0,0,0,0,0,444,410,243,159,204,83,21,1561,3,3,9,0,7,4,0,23,7,10,9,4,5,3,0,38,0,3,5,6,3,0,3,19,55,87,66,44,75,16,12,351,5,0,0,0,0,0,0,4,70,110,83,53,79,27,13,434,514,517,322,211,286,108,37,1998
UCL214012,10,16,7,9,12,0,0,51,17,3,0,7,4,0,0,27,8,8,0,6,0,0,0,22,200,201,135,74,98,15,7,723,0,3,0,0,0,0,0,4,239,229,145,86,110,18,7,837,0,0,0,0,0,0,0,6,4,0,4,0,3,0,0,18,0,0,0,0,0,0,0,0,49,77,45,47,56,8,0,284,0,0,0,0,0,0,0,3,54,78,52,47,66,9,0,309,296,308,203,133,172,27,7,1152
UCL214013,25,26,14,6,11,4,5,79,23,38,15,9,6,0,0,88,27,25,16,6,0,3,0,70,160,173,74,48,62,23,6,538,0,0,0,0,0,0,0,3,226,259,107,64,92,27,8,785,0,3,0,0,0,0,0,3,0,6,7,0,4,0,0,24,0,4,4,7,7,0,0,28,15,47,31,25,26,12,6,159,0,0,0,0,0,0,0,0,18,55,44,36,39,17,6,211,242,313,151,101,128,45,15,997
UCL214014,15,18,13,3,4,0,0,55,15,13,5,9,8,0,0,46,5,10,8,0,3,3,0,25,149,145,83,64,71,11,4,528,3,4,4,0,0,0,0,15,187,195,108,74,84,13,8,669,0,0,0,3,0,0,0,7,0,8,3,3,3,0,0,11,0,0,5,3,3,0,0,14,59,84,51,25,39,6,0,261,5,0,0,0,0,0,0,12,64,97,63,33,46,9,0,301,247,289,164,109,130,16,8,972
