UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL212005,0,0,0,0,0,38,236,269,46,47,27,41,17,12,16,744,0,0,0,0,0,8,8,7,7,0,0,3,5,0,0,38,0,0,0,3,4,6,6,4,0,5,4,0,0,0,0,32,0,0,0,5,12,10,50,39,20,22,32,26,0,0,8,230,0,5,15,3,0,6,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,15,8,3,0,8,8,0,0,0,47,0,0,0,0,3,8,9,16,0,3,5,16,11,0,0,76,19,25,11,3,3,0,13,4,0,0,0,0,0,0,4,86,14,38,34,3,4,5,4,6,3,0,0,4,0,0,3,118,0,0,0,0,0,7,5,7,0,0,0,0,5,7,5,42,5,0,3,7,9,50,684,383,93,97,138,168,76,15,41,1760,0,0,0,0,0,5,15,23,4,6,0,5,0,0,5,64,0,0,0,0,0,4,29,49
UCL212006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,0,4,0,6,7,0,0,41,0,0,0,5,5,5,14,14,0,4,0,0,0,0,0,57,0,0,6,3,10,12,46,27,3,7,7,0,0,0,0,125,0,5,35,15,14,4,0,0,0,0,0,0,0,0,0,79,0,6,8,0,0,0,3,3,4,0,0,0,0,0,0,34,0,0,3,9,19,13,3,15,4,0,0,4,0,0,0,65,38,56,20,11,15,6,22,8,0,0,0,3,0,0,4,184,0,11,17,13,6,0,0,0,4,0,0,0,0,0,0,51,0,0,0,7,3,5,14,13,3,0,0,0,0,0,0,35,0,0,24,23,32,34,271,145,42,19,17,42,11,0,6,662,0,0,0,0,0,6,13,9,0,6,3,0,0,0,0,50,0,0,0,0,3,0,0,11
UCL212007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,21,18,8,5,0,9,3,0,0,92,0,0,0,0,0,5,6,11,0,0,0,3,5,0,0,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,11,13,25,8,4,0,7,30,11,3,7,0,0,0,0,3,118,0,9,8,4,0,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4,4,3,4,0,0,0,0,0,5,24,0,0,4,12,0,5,3,3,0,0,5,0,0,0,0,39,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,4
UCL212008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,3,0,0,0,18,0,0,4,10,5,9,10,4,3,0,0,0,0,0,0,38,0,4,0,0,5,13,41,18,3,3,11,9,0,0,0,107,0,4,5,3,3,0,0,0,0,0,0,0,0,0,3,18,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,28,50,13,6,4,0,9,6,0,0,0,0,0,0,12,131,0,11,16,6,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,13,0,4,0,0,4,10,99,63,15,21,35,46,13,3,10,328,0,0,0,4,8,4,5,3,0,0,3,11,0,0,0,34,0,0,0,0,0,0,4,0
UCL212009,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,0,11,4,0,5,4,0,0,0,0,35,0,0,0,3,3,4,44,19,21,29,55,49,5,0,8,234,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,3,4,0,10,4,0,0,5,0,0,0,0,24,0,0,0,0,0,3,13,3,0,0,0,0,0,0,0,21,4,15,3,4,0,3,9,4,0,0,0,0,0,0,0,55,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,4,4,52,42,9,10,15,20,7,4,3,183,0,0,0,0,0,0,8,6,3,0,5,0,10,0,0,38,0,0,0,0,0,0,0,9
UCL213001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,22,0,0,0,0,0,0,3,11,4,0,3,5,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,12,8,25,13,6,10,0,5,3,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,9,27,21,7,7,4,6,5,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
UCL213002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,14,3,0,0,0,0,0,0,5,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,20,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,3,10,3,9,6,0,0,0,0,0,0,3,53,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,3,0,0,4,7,9,3,5,0,5,4,0,8,49,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
UCL213003,0,0,0,0,0,0,7,7,0,3,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,7,11,42,48,18,0,0,0,161,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,7,22,4,4,6,5,5,0,0,61,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
UCL213004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,10,5,0,0,0,0,0,0,34,0,0,3,8,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,11,17,21,7,4,5,3,5,0,4,0,0,0,0,0,4,71,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,5,12,16,5,11,9,13,0,0,0,78,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,3
UCL213005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,3,12,3,0,3,0,3,0,0,5,38,0,0,0,0,3,0,18,8,3,0,0,0,7,0,0,37,0,12,12,0,5,4,0,0,0,0,0,0,0,0,0,27,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,13,36,20,7,7,7,4,4,0,0,0,0,0,0,6,93,0,5,15,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,9,4,3,0,14,22,0,4,3,6,0,0,0,74,0,0,3,0,0,0,4,0,6,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0
UCL213006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,10,3,0,0,0,0,3,5,10,3,0,0,0,0,0,0,29,0,3,7,6,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,7,5,0,0,4,4,0,0,0,0,0,0,6,53,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,4,5,4,0,28,7,4,4,3,0,0,0,0,59,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
UCL213007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,56,46,11,10,16,19,12,0,4,176,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0
