UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL212005,327,175,130,71,29,7,1170,17,190,203,195,152,105,27,4,890,242,1252,969,595,460,358,124,32,4034,189,713,742,641,538,408,166,44,3447,729,1524,1244,1216,1105,682,316,77,6887,124,97,77,80,38,38,12,0,473,48,78,79,110,87,67,38,14,528,900,1704,1404,1410,1233,790,360,94,7887,16,44,43,21,24,24,7,9,187,517,676,559,498,495,482,530,380,4144,1916,4976,4254,3534,3030,2230,1243,573,21755
UCL212006,328,186,138,76,21,3,1045,27,189,194,154,136,96,23,6,833,283,1115,1013,713,459,292,92,28,3995,206,662,735,691,577,389,123,21,3411,488,1509,1307,1294,1135,596,236,71,6643,72,70,79,65,51,39,4,0,369,52,67,85,126,108,77,38,12,565,614,1640,1479,1487,1293,704,278,83,7579,8,22,20,33,32,25,7,11,163,195,280,270,255,228,208,211,99,1750,1355,4181,4039,3521,2859,1792,764,250,18763
UCL212007,386,294,180,124,38,9,1253,3,106,215,177,145,137,43,4,831,152,869,1329,859,490,429,149,19,4296,66,230,465,480,366,324,152,35,2123,183,421,651,602,475,310,117,44,2800,22,10,17,17,16,19,4,0,121,11,24,42,55,58,73,20,12,300,218,456,713,673,550,405,139,57,3219,11,6,21,8,17,21,12,3,103,100,122,174,165,146,173,141,127,1138,564,1996,3297,2667,1894,1612,680,253,12955
UCL212008,207,130,76,67,15,0,710,15,84,94,114,80,65,22,0,473,147,793,571,402,311,204,102,21,2551,73,396,424,381,351,248,118,19,1999,450,1154,966,823,833,511,221,56,5024,40,59,68,45,32,26,8,5,271,8,44,47,48,44,67,13,9,281,499,1252,1085,914,914,611,241,67,5580,8,19,14,17,20,16,13,6,101,195,262,233,211,281,292,324,210,2009,950,2993,2621,2163,2039,1507,833,313,13424
UCL212009,219,172,163,98,31,6,946,8,116,175,174,153,122,23,9,779,154,916,813,616,498,407,139,46,3581,92,409,444,467,481,384,174,38,2491,504,1079,1044,979,829,472,222,61,5204,66,71,39,45,49,32,11,4,316,36,38,55,76,84,59,38,5,386,608,1189,1139,1106,967,568,268,72,5910,3,19,15,6,13,14,17,8,103,248,276,316,257,286,319,355,246,2301,1119,3165,3111,2800,2565,1913,1000,425,16105
UCL213001,60,43,31,27,10,0,254,0,34,39,39,43,44,14,0,218,37,233,173,166,140,140,84,20,981,23,149,162,176,165,185,118,39,1017,188,458,365,386,341,292,154,41,2225,26,30,32,20,30,25,3,0,160,8,13,26,20,36,30,24,8,156,221,506,427,425,400,340,182,47,2549,3,10,3,7,10,12,14,3,64,115,125,119,126,164,185,209,159,1204,406,1135,978,975,954,941,635,265,6286
UCL213002,157,155,141,146,67,8,741,0,28,81,99,108,96,38,0,445,16,177,341,343,249,273,144,23,1562,15,83,119,156,180,186,120,16,878,73,187,179,197,229,178,74,25,1150,13,12,8,9,17,16,5,0,86,5,11,11,25,31,23,20,3,117,88,209,197,230,280,216,98,32,1352,4,4,5,4,5,9,8,4,42,68,64,83,119,82,158,181,213,983,190,626,980,1110,1046,1089,657,300,6005
UCL213003,38,36,26,26,11,4,179,3,26,27,28,18,31,9,0,147,24,225,169,122,103,114,58,24,849,21,140,126,141,150,130,56,17,779,210,488,435,337,339,212,90,23,2128,23,30,19,11,13,13,0,0,116,15,27,18,25,29,27,6,0,143,243,546,462,373,378,251,98,29,2386,0,13,10,5,4,5,9,5,42,59,97,98,91,90,141,141,76,806,359,1095,934,796,764,701,378,152,5185
UCL213004,59,44,30,29,15,6,260,9,48,56,40,43,48,21,0,264,55,319,251,166,137,144,59,15,1151,45,232,232,202,161,161,66,12,1116,209,729,509,484,419,308,146,39,2842,37,27,26,21,15,29,0,0,151,21,29,25,38,45,37,24,7,224,266,786,559,544,479,376,169,43,3219,8,4,11,5,9,15,13,4,67,78,124,106,100,106,138,116,35,799,456,1591,1275,1091,969,918,458,115,6876
UCL213005,98,77,64,66,25,5,410,7,63,72,69,85,74,20,5,391,63,336,357,264,237,239,98,13,1611,53,198,247,273,280,299,125,20,1500,188,582,594,505,551,433,196,42,3095,22,22,27,29,31,22,5,3,169,14,23,32,41,44,61,24,9,238,227,625,653,577,628,515,228,50,3500,7,0,6,4,3,22,16,7,63,52,67,72,71,82,149,156,83,729,414,1366,1517,1336,1373,1359,669,179,8210
UCL213006,117,97,61,39,13,0,410,0,28,107,111,72,36,10,3,374,57,265,455,319,196,98,53,11,1448,45,117,248,228,172,113,66,6,1001,96,226,395,361,242,139,75,12,1544,14,8,16,15,14,13,3,0,79,13,12,25,27,37,26,12,4,148,113,243,435,403,297,171,89,16,1772,0,4,3,6,4,9,19,0,44,40,34,58,58,45,43,68,87,436,261,766,1424,1219,843,526,316,128,5489
UCL213007,90,57,42,19,4,3,347,11,56,56,49,52,28,14,3,276,86,376,287,226,159,144,52,18,1342,44,200,225,244,226,168,77,28,1206,270,656,526,429,441,283,106,31,2741,42,46,25,27,24,15,3,0,180,11,18,29,34,41,32,9,3,186,328,725,585,490,502,329,116,35,3108,3,5,5,8,8,17,8,7,59,156,151,109,112,121,164,168,96,1080,639,1632,1364,1178,1101,866,441,187,7407
UCL213008,141,69,38,32,13,3,424,5,87,89,59,32,36,5,0,316,106,526,469,280,148,86,37,8,1657,62,304,310,310,190,154,64,7,1404,228,661,586,527,395,261,101,19,2774,24,25,29,18,12,9,4,0,118,10,26,34,42,32,29,13,0,188,264,711,647,589,437,303,112,20,3080,4,7,10,8,5,9,0,3,49,62,109,87,87,73,103,76,35,636,503,1874,1755,1406,921,726,305,82,7565
UCL213009,70,59,30,33,11,7,261,6,51,55,36,40,37,11,0,238,59,375,299,218,133,94,37,10,1229,56,176,218,249,187,131,75,17,1099,186,478,518,416,401,222,134,22,2377,25,24,31,22,18,14,3,0,135,7,26,21,26,32,29,25,5,163,222,525,567,458,444,265,165,24,2675,0,3,0,10,8,12,9,0,42,38,66,48,70,66,101,127,88,603,392,1244,1264,1100,907,667,426,145,6147
UCL213010,22,30,31,10,9,6,148,8,33,22,28,34,31,7,0,157,55,198,138,115,108,111,44,12,777,34,164,165,174,182,156,74,19,959,250,708,520,503,557,396,178,56,3176,38,38,42,18,22,16,4,0,176,10,21,18,35,24,39,16,6,179,301,768,580,564,602,453,199,66,3530,0,5,3,0,9,15,14,0,53,158,183,179,173,222,253,180,98,1448,556,1392,1107,1083,1177,1024,536,204,7083
UCL213011,25,18,30,14,4,0,133,0,22,20,17,32,18,8,0,114,42,153,130,117,81,76,32,5,629,25,128,103,155,131,89,45,14,694,215,519,365,402,418,296,140,41,2392,30,45,37,31,13,20,9,0,179,3,10,20,27,31,33,14,3,140,245,574,421,458,462,339,158,48,2710,8,3,9,8,11,10,4,0,45,218,250,237,237,225,203,168,172,1717,540,1168,948,1011,979,748,415,240,6047
UCL213012,33,23,15,25,11,0,140,7,14,31,32,35,29,5,5,154,25,164,135,125,107,98,38,4,686,11,88,132,123,136,116,45,11,668,135,299,308,381,374,271,92,18,1877,27,23,20,16,12,8,4,0,112,5,12,21,47,29,20,11,3,147,168,337,348,443,411,302,100,20,2130,4,0,9,8,10,9,11,0,39,79,84,113,97,123,148,110,65,819,295,714,792,845,843,721,319,110,4643
UCL213013,102,60,42,36,5,0,372,4,57,61,59,34,39,8,3,278,65,381,300,230,159,159,56,14,1375,34,189,199,227,210,138,94,25,1123,181,462,430,395,380,286,133,27,2289,28,35,24,26,22,12,3,0,153,8,21,25,26,32,27,13,9,152,218,523,479,446,432,325,147,36,2598,0,6,5,5,11,7,12,4,56,104,134,130,134,112,148,133,133,1029,443,1397,1278,1170,1008,865,462,210,6831
UCL213014,37,24,9,15,3,0,164,0,36,25,35,46,26,9,0,174,50,255,234,113,82,68,31,9,834,39,150,154,121,122,83,49,19,735,162,441,314,240,242,149,62,19,1631,32,18,18,13,11,9,0,0,99,14,25,31,23,21,18,12,0,138,213,483,368,277,272,177,70,17,1873,0,5,6,3,4,7,0,4,35,107,132,101,88,107,102,131,79,851,409,1134,928,659,645,475,293,130,4665
UCL213015,151,50,31,17,5,0,393,7,68,58,34,36,10,3,0,213,73,367,362,164,91,59,20,3,1141,68,325,337,236,157,70,20,4,1216,204,722,567,459,314,145,38,13,2465,37,44,22,19,17,11,0,0,149,14,31,45,31,25,16,4,0,167,258,799,628,513,362,175,45,13,2789,0,16,16,12,8,7,4,0,73,131,145,135,97,82,55,39,4,696,536,1849,1697,1109,770,392,137,23,6513
UCL213016,97,81,65,51,8,4,449,5,59,86,88,96,81,25,4,451,97,451,404,302,230,195,104,30,1819,59,238,261,282,285,228,106,40,1492,277,645,611,597,524,370,173,56,3249,39,27,39,50,25,19,10,4,210,22,21,31,38,36,44,26,10,236,338,695,677,685,583,430,217,66,3700,9,8,6,10,13,15,12,7,76,141,160,132,160,179,237,289,183,1485,659,1760,1671,1598,1456,1232,757,332,9463
UCL213017,146,124,104,64,36,0,610,12,62,98,79,99,96,28,0,467,98,572,450,320,290,232,100,20,2083,66,300,309,293,260,224,118,31,1597,283,751,568,553,488,312,161,55,3168,46,35,26,28,26,29,4,0,196,18,37,32,51,46,48,27,7,270,345,820,626,637,568,391,193,65,3633,0,12,22,17,16,22,16,3,106,110,185,146,138,130,155,168,83,1109,634,2086,1799,1599,1460,1176,654,211,9616
UCL213018,24,22,9,18,7,3,109,3,22,23,19,27,26,7,0,127,18,118,135,98,70,89,39,13,578,17,68,79,114,109,127,67,12,599,103,246,251,257,244,240,122,23,1481,14,3,13,10,25,16,4,0,88,3,13,12,15,26,31,13,4,107,119,262,269,282,295,292,138,28,1678,7,6,4,4,4,12,11,0,39,41,50,56,53,76,157,173,97,702,205,554,585,594,590,712,435,150,3828
UCL214001,18,20,9,10,6,0,126,5,19,16,16,15,22,6,0,99,14,140,87,67,85,57,23,3,469,21,87,75,89,96,80,51,18,508,99,221,164,196,209,151,65,16,1131,14,20,14,17,8,8,3,0,84,4,10,9,11,15,12,7,0,68,113,256,187,222,236,174,73,18,1280,3,0,4,0,4,3,0,0,21,60,77,65,61,84,74,77,45,542,215,642,446,484,523,425,233,84,3049
UCL214002,29,12,15,14,0,0,98,3,33,38,32,15,7,5,0,120,17,156,154,77,38,26,7,0,479,17,113,154,104,61,39,11,0,495,88,274,315,275,150,100,35,9,1248,10,3,15,11,3,6,0,0,54,0,8,19,10,11,8,10,0,57,101,287,351,298,161,107,46,9,1359,0,0,4,6,0,9,3,0,22,32,32,55,39,22,45,45,50,326,169,643,779,562,316,240,131,65,2907
UCL214003,42,18,32,33,9,0,207,3,19,31,38,39,45,14,4,181,28,167,112,98,100,118,57,22,694,27,93,104,121,161,139,79,22,743,130,277,261,268,310,247,117,28,1644,28,24,11,11,29,13,10,3,123,9,5,7,19,26,18,17,3,115,158,311,286,300,365,273,143,44,1883,4,3,0,3,11,12,7,0,43,102,106,96,105,142,154,195,110,1016,324,753,671,692,847,772,505,200,4761
UCL214004,11,4,9,3,0,0,50,0,8,17,4,12,7,3,0,55,12,84,58,49,38,36,18,9,295,17,72,68,54,44,50,15,7,327,60,152,151,145,121,120,60,21,830,7,14,11,8,5,11,4,0,48,0,4,4,12,18,8,3,0,50,67,167,167,163,138,139,64,21,927,0,0,8,0,5,0,4,0,20,49,51,50,45,49,86,77,49,457,143,403,378,330,297,323,184,79,2133
UCL214005,0,0,0,0,0,0,3,0,0,0,9,0,3,0,0,14,3,10,14,10,9,13,0,0,57,0,6,14,11,12,16,6,0,68,12,41,36,42,39,32,8,4,214,4,0,3,3,0,4,0,0,11,0,0,3,0,6,3,0,0,14,16,39,42,54,45,32,7,4,243,0,0,0,0,0,4,0,0,3,9,3,10,14,4,13,14,6,72,21,59,84,95,74,87,30,14,463
UCL214006,41,20,29,35,15,0,159,4,16,20,24,26,39,9,0,137,22,102,128,99,109,120,53,14,640,20,78,96,99,133,158,64,25,667,36,144,139,187,224,226,113,29,1087,5,8,21,15,20,15,8,0,90,4,5,14,24,28,38,13,8,126,48,157,169,224,269,276,132,32,1309,0,3,0,7,4,7,10,5,36,27,39,40,70,102,154,116,80,638,117,410,498,544,677,788,402,164,3586
UCL214007,81,12,5,0,0,0,187,0,51,21,10,16,0,0,0,98,31,311,185,54,30,24,0,0,642,28,184,117,75,49,16,3,0,471,69,288,190,117,87,51,20,0,819,5,14,8,0,3,0,0,0,42,7,16,20,9,7,4,3,0,63,82,319,211,129,97,60,22,0,917,0,11,0,5,5,4,0,0,23,31,62,50,38,39,21,11,4,246,169,1022,676,311,243,123,33,4,2582
UCL214008,41,39,25,34,6,7,206,3,23,44,37,43,27,3,0,181,34,173,162,151,103,128,46,11,808,23,93,110,104,103,118,61,15,632,177,343,243,268,317,191,74,34,1657,32,23,21,10,11,7,6,0,112,4,15,12,16,19,23,6,4,97,219,385,285,293,346,224,88,38,1864,0,0,0,0,4,9,10,6,33,74,66,57,70,94,122,138,112,730,365,791,693,690,716,656,360,182,4460
UCL214009,58,40,42,38,25,3,233,3,22,34,37,40,32,14,3,192,25,162,199,174,125,111,45,14,861,25,108,147,149,159,114,54,11,765,117,315,245,276,287,166,94,30,1527,12,11,17,9,16,5,3,0,77,9,15,12,20,34,28,9,9,132,137,337,277,312,340,198,111,38,1736,0,0,6,6,8,12,3,3,38,61,63,68,65,102,92,108,72,631,252,733,784,779,814,594,354,139,4456
UCL214010,48,37,68,47,26,0,250,6,23,44,33,42,53,18,0,219,16,118,168,136,135,182,73,4,835,9,38,81,84,113,140,76,17,553,44,100,155,133,183,170,88,27,899,3,10,8,5,14,3,0,0,49,5,3,3,15,11,21,18,0,76,51,111,165,154,207,201,103,30,1024,3,0,9,3,8,6,7,0,36,34,14,27,45,36,85,65,48,363,125,340,542,483,603,712,367,105,3280
UCL214011,45,40,24,18,3,5,195,3,30,37,42,21,10,7,0,152,49,156,157,114,81,76,34,4,669,39,141,136,143,100,75,41,6,684,145,354,316,272,222,154,76,23,1554,19,21,10,13,15,3,3,0,89,9,17,20,28,20,24,11,7,141,172,390,347,312,247,180,95,25,1777,0,0,6,8,3,4,7,6,32,61,64,88,72,77,79,77,34,554,337,833,816,733,558,442,254,84,4072
UCL214012,15,13,9,10,0,0,74,0,18,15,18,25,12,0,0,78,11,95,82,69,55,44,16,5,369,18,47,71,68,87,75,22,11,401,93,189,178,188,180,130,57,14,1020,7,16,12,8,11,11,4,0,65,5,6,13,17,11,9,10,3,71,113,213,200,205,202,145,64,20,1160,0,4,5,0,0,4,5,0,18,37,46,46,44,62,83,98,84,502,186,438,430,416,430,370,213,123,2605
UCL214013,60,56,40,30,14,0,231,0,13,57,53,25,32,6,0,192,12,97,181,159,90,97,49,14,692,11,57,66,80,74,74,45,8,413,47,86,90,135,115,67,41,16,603,0,11,11,13,6,3,5,0,49,3,6,6,18,13,16,10,3,74,53,98,108,164,138,87,53,23,723,0,13,4,3,3,3,7,10,35,24,39,37,43,29,41,60,46,317,102,356,505,557,393,362,227,101,2606
UCL214014,17,6,19,19,6,0,94,0,13,15,11,19,32,7,0,98,14,55,56,67,63,93,31,6,393,13,52,50,74,97,104,40,5,437,50,132,174,155,182,254,127,19,1100,15,16,10,12,19,12,4,0,90,0,6,14,14,21,32,6,0,97,64,153,200,181,215,297,143,23,1284,0,3,0,0,5,9,4,5,28,66,72,82,83,126,160,135,50,780,166,375,419,434,551,714,368,96,3121
UCL214015,21,14,16,21,5,0,95,4,18,28,17,11,17,3,3,104,12,93,125,73,72,60,39,8,486,15,50,80,60,67,78,40,12,400,56,186,190,156,146,125,63,12,925,14,9,12,12,11,9,0,0,73,3,9,13,12,10,19,13,5,82,76,205,216,177,166,150,76,20,1082,0,4,4,4,0,9,5,0,25,45,41,37,36,33,67,80,26,367,150,423,505,383,369,403,253,73,2558
UCL214016,17,3,12,10,3,0,70,3,15,15,14,19,19,7,0,86,28,108,64,66,64,73,39,8,446,20,55,52,75,78,79,50,8,413,81,232,180,239,243,221,98,28,1325,9,22,11,17,15,10,5,0,99,4,8,8,15,15,21,7,3,89,102,265,202,267,278,250,111,29,1507,0,0,0,3,0,0,10,3,19,61,50,53,88,79,144,147,59,689,212,512,393,522,530,593,365,109,3241
UCL214017,45,49,79,128,49,6,384,4,6,24,20,64,83,23,4,227,22,113,152,172,204,277,140,42,1119,5,18,41,61,131,175,113,39,585,25,44,66,82,103,116,54,25,521,5,0,0,11,4,8,4,0,30,3,4,9,13,11,27,23,5,90,32,49,72,108,122,152,81,34,648,0,0,4,0,0,3,16,3,34,26,15,28,21,69,108,114,38,426,93,232,366,431,672,924,527,167,3422
UCL214018,58,53,87,81,19,0,329,0,9,25,35,66,81,17,4,230,23,130,135,145,195,228,71,10,933,28,70,97,143,199,259,70,20,882,62,173,186,249,359,329,129,30,1519,4,6,12,15,15,21,5,0,75,3,11,22,20,34,42,24,9,161,74,189,219,279,410,399,151,38,1759,0,0,4,0,4,20,14,4,51,37,33,58,82,134,196,215,97,845,162,466,593,738,1095,1252,555,165,5025
