SA2_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
203021047,334,57,601,2516,3439,1521,1133,3961,785,13351
203021485,250,21,346,1789,2480,894,629,1981,380,8148
203021486,120,36,247,2611,3247,1431,1257,5206,1199,14955
203021487,471,40,756,4223,5744,2620,1751,5078,844,20261
203021488,142,36,235,1235,1508,687,583,2709,890,7622
203031048,167,106,431,2680,4139,2020,1401,3011,622,13873
203031049,99,30,199,969,1805,895,533,837,414,5458
203031051,98,90,314,1392,2357,1337,939,1786,721,8532
203031052,138,18,297,851,1567,886,484,757,326,4876
203031053,177,80,421,4053,6315,2897,1792,3170,1000,19222
203031489,40,18,124,1850,2864,1264,771,1476,465,8689
203031490,286,51,515,3126,5026,2500,1537,2614,775,15572
204011054,103,28,220,956,1721,848,681,1290,451,5939
204011055,166,34,296,987,1584,819,682,1274,633,5982
204011056,190,38,354,2388,3431,1623,1220,3126,857,12650
204011057,130,19,239,1629,2501,1203,881,1700,838,8750
204011058,70,29,140,686,1035,523,401,888,323,3861
204011059,124,28,217,959,1347,660,488,1643,483,5577
204011060,15,8,53,698,1073,499,435,803,322,3821
204011061,0,0,0,26,47,25,18,41,37,190
204011062,58,13,104,641,920,507,400,718,434,3618
204021063,266,81,524,1561,2445,1228,943,2282,856,9306
204021064,17,4,42,547,865,522,404,565,307,3210
204021065,55,13,115,627,992,497,314,735,220,3386
204021066,399,120,795,3036,4484,2055,1463,4374,1039,16453
204021067,53,11,156,1542,2433,1303,1019,1269,576,8146
204031068,70,9,127,708,1301,708,394,715,359,4190
204031069,71,33,207,1314,2367,1156,773,1230,707,7546
204031070,15,7,45,484,792,398,292,488,215,2653
204031071,105,17,190,752,1137,567,419,907,259,4039
204031072,109,49,217,895,1384,779,624,1046,515,5231
204031073,180,24,300,2480,3375,1493,1022,3321,711,12392
204031075,68,8,109,701,1347,678,495,623,309,4155
204031491,108,25,213,2045,2912,1265,887,2242,372,9723
204031492,147,35,335,2372,3338,1573,1054,3294,827,12454
205011076,255,39,432,3030,4323,2061,1638,3692,980,15722
205011077,39,22,116,990,1500,859,737,961,436,5474
205011078,64,53,194,1241,1915,963,805,1426,444,6807
205011079,330,56,605,3747,5298,2536,1913,4168,1127,18783
205021080,0,0,0,0,0,0,0,0,0,0
205021081,209,154,567,2233,3364,1762,1366,3144,1108,12979
205021082,47,21,136,1215,1865,1099,869,1221,646,6903
205021083,0,0,0,0,0,0,0,0,0,0
205021084,173,52,337,1443,2419,1350,1167,2312,906,9593
205021085,94,32,199,841,1438,921,746,1136,705,5784
205021086,145,19,283,990,1771,1029,770,1382,326,6264
205031087,126,41,272,1348,2303,1303,995,1426,710,8083
