SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
204031068,55,48,58,85,73,70,47,34,11,489,798,408,367,596,711,792,806,382,127,4986
204031069,122,116,99,79,129,141,119,80,36,919,1353,837,890,1041,1217,1390,1293,668,207,8903
204031070,55,28,34,27,46,38,26,28,3,286,525,326,295,323,483,556,416,212,45,3184
204031071,33,52,27,28,39,61,48,25,15,329,703,463,417,476,596,792,697,409,190,4745
204031072,88,54,45,66,79,92,109,62,41,642,962,482,482,620,759,1107,1024,533,217,6196
204031073,309,186,147,172,170,115,98,53,18,1259,3003,1923,1874,1845,1974,1965,1702,807,300,15396
204031075,82,44,36,50,68,71,43,25,13,437,1063,486,421,611,736,845,629,311,109,5221
204031491,183,127,109,94,73,76,66,31,21,779,3052,1720,1931,1785,1425,1165,1028,455,213,12778
204031492,274,170,182,155,147,168,120,86,33,1338,2628,1733,2044,1806,1797,1901,1765,1076,335,15082
205011076,411,178,204,207,195,204,166,106,38,1713,4050,2026,2700,2268,2223,2452,2307,1318,432,19773
205011077,129,67,46,77,81,126,84,48,13,666,1108,690,571,688,875,1134,954,453,116,6585
205011078,136,71,72,72,77,68,88,57,49,689,1554,859,906,973,1014,1146,1170,547,194,8368
205011079,368,196,247,212,236,183,170,127,54,1793,4269,2547,2986,2661,2828,2872,2653,1634,605,23051
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,279,149,172,125,167,168,175,144,121,1504,2698,1638,1807,1580,1787,2010,2117,1477,567,15684
205021082,132,81,81,90,119,125,131,51,22,834,1388,731,819,862,1093,1421,1264,574,136,8290
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,215,122,112,133,149,169,190,123,52,1254,1566,843,828,1017,1223,1792,2344,1212,337,11164
205021085,118,67,79,75,119,165,153,85,19,880,938,480,519,599,798,1309,1239,647,199,6727
205021086,55,24,21,42,41,76,90,65,22,449,713,440,420,446,730,1237,1732,966,283,6977
205031087,169,102,81,100,108,147,160,95,45,996,1362,747,662,882,1155,1663,1830,871,272,9446
205031088,0,0,0,6,3,0,3,6,0,13,16,13,5,24,22,21,30,13,4,139
205031089,124,82,72,90,97,140,96,53,21,787,1717,968,1027,1023,1342,1548,1338,634,239,9842
205031090,220,77,80,117,103,120,130,81,41,974,2093,1117,973,1240,1436,1670,1678,949,347,11502
205031091,204,96,106,147,158,233,233,118,54,1351,2099,1028,1157,1450,1644,2385,2477,1174,396,13799
205031092,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,16
205031093,391,198,198,257,272,319,351,237,106,2326,4045,2215,2388,2777,3151,4251,4679,2466,821,26792
205041094,238,182,125,139,119,153,114,54,20,1150,2174,1359,1319,1375,1475,1902,1527,659,126,11912
205041095,372,197,216,192,219,235,195,109,50,1783,2795,1846,2140,1823,2071,2399,2320,1329,563,17291
205041096,427,239,264,252,244,210,162,113,115,2037,2497,1628,1780,1504,1766,1968,1756,1055,475,14432
205041098,92,40,56,43,50,58,66,17,6,430,885,535,568,564,624,740,566,185,40,4707
205041493,268,154,167,127,124,138,102,90,100,1266,2102,1391,1636,1358,1433,1558,1297,832,393,12000
205041494,226,147,156,164,156,178,137,129,78,1370,3199,1860,2348,2221,1936,2055,1855,992,356,16822
205051099,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,9,8,0,0,23
205051100,66,38,22,32,65,87,80,30,3,427,661,503,356,453,694,957,916,324,54,4915
205051101,276,179,156,160,167,181,171,80,20,1395,2727,1561,1643,1640,1661,2145,2090,983,301,14756
205051102,128,98,412,364,151,101,80,27,5,1362,771,474,832,805,610,619,555,220,50,4928
205051103,226,177,170,161,186,132,127,72,67,1322,2805,1687,1869,1785,1900,1899,1800,1098,465,15301
205051104,81,58,57,73,62,85,88,39,19,567,772,472,466,518,692,1022,1025,475,166,5605
206011106,73,72,253,144,105,68,35,24,11,787,1227,1386,4230,2507,1351,908,586,367,168,12738
206011107,96,94,203,166,94,67,50,43,12,824,1829,1706,3608,2425,1691,1295,913,564,283,14318
206011109,88,77,80,74,101,74,39,38,23,587,1886,1254,1339,1567,1562,1251,735,459,326,10390
206011495,76,71,201,109,80,48,40,22,15,664,1407,1575,3566,2283,1470,1088,747,522,222,12890
206011496,55,94,231,125,93,69,46,31,13,761,1218,1522,4052,2372,1417,1053,700,418,228,12983
206011497,111,86,165,116,113,91,36,35,16,779,1642,1427,2665,2175,1610,1257,892,578,284,12535
206011498,119,88,142,87,113,81,60,30,17,748,2408,1543,2383,2226,2056,1414,1012,644,346,14031
206021110,78,59,89,68,70,60,46,9,0,484,1431,1006,1548,1383,1298,1109,702,351,165,8994
206021112,158,123,210,167,161,95,58,51,22,1045,2796,1856,3825,3334,2675,1852,1233,846,497,18919
206021499,155,97,155,159,132,94,75,44,28,939,2312,1532,2883,2339,2256,1655,1062,706,321,15068
206021500,74,62,145,98,107,63,25,23,6,601,1489,988,2308,1719,1585,980,624,407,203,10299
206031113,205,120,239,170,179,142,70,38,10,1178,2685,1603,2651,2506,2147,1704,1117,556,228,15191
206031115,111,99,211,143,98,83,54,24,18,834,1183,1076,2398,1492,1050,819,653,273,123,9065
206031116,118,118,151,115,135,145,76,56,16,921,2250,1830,3138,2423,2130,1936,1361,752,415,16224
206031501,152,165,112,129,157,115,71,41,38,988,2570,2265,1946,2095,2505,2079,1383,733,479,16042
206031502,94,111,149,112,106,95,73,24,8,781,1696,1547,2268,1801,1597,1453,1094,514,220,12191
206041117,91,343,442,173,121,73,49,39,24,1359,886,5112,5593,1813,1042,855,692,449,217,16655
206041118,95,158,621,292,135,132,75,28,6,1550,1207,1813,6036,2890,1397,1204,695,207,42,15493
206041119,19,34,66,72,54,40,62,18,5,369,289,368,1144,786,552,663,651,324,119,4896
206041120,0,0,0,0,0,0,0,0,0,0,3,9,36,21,11,3,0,0,0,77
206041121,88,61,123,119,92,50,47,19,9,618,1559,1116,2550,2138,1334,959,666,296,134,10745
206041124,42,191,121,69,45,40,24,16,10,562,487,2765,1696,760,446,400,342,245,155,7297
206041125,50,50,118,87,62,60,76,72,84,650,555,559,1516,995,666,658,701,521,241,6423
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041503,48,224,446,212,122,84,44,16,9,1195,439,2152,3536,1656,805,635,413,174,41,9848
206041504,35,563,612,175,80,47,25,7,0,1553,462,6427,6733,1797,703,419,239,68,17,16870
206041505,60,315,632,274,94,78,34,16,0,1499,531,3751,7163,2368,869,574,291,85,18,15648
206041506,234,278,422,245,146,132,82,25,8,1573,1772,2891,4602,2450,1529,1136,798,338,126,15637
206041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041508,43,48,165,107,58,68,42,20,0,556,475,709,2370,1219,613,528,336,171,35,6463
206041509,67,154,442,202,77,47,38,13,0,1037,869,2593,7014,2978,1128,783,526,185,27,16101
206041510,24,101,231,131,75,38,37,3,0,644,560,1220,2976,1300,648,416,226,84,15,7446
206051128,120,95,191,183,136,144,103,64,20,1052,2108,1427,2568,2478,2285,1997,1609,1062,281,15825
206051129,156,85,244,252,192,135,71,41,23,1202,1950,1214,3198,2760,2363,1745,1031,417,143,14818
206051130,149,109,172,220,213,183,132,77,18,1280,2295,1194,2150,2849,2732,2149,1650,922,244,16192
206051134,144,143,348,223,163,95,64,41,19,1239,1917,1638,4389,2924,2016,1373,934,449,176,15813
206051511,19,32,115,58,40,24,0,0,0,291,170,222,775,374,218,117,34,15,0,1907
206051512,99,70,151,128,139,109,72,74,53,891,1343,1015,2422,1993,1670,1374,1001,593,287,11693
206051513,58,86,314,239,150,131,75,27,9,1086,826,993,3916,2396,1462,1176,724,289,75,11857
206051514,90,120,420,235,241,198,129,141,157,1726,1024,1133,3710,2505,1936,1676,1073,525,271,13858
206061135,65,75,87,75,93,44,50,57,27,569,1189,989,1916,1377,1176,901,896,667,221,9336
206061136,99,152,377,235,147,135,84,90,89,1406,1524,2020,6152,3347,2057,1611,1170,837,400,19119
206061138,111,128,139,97,133,127,132,105,73,1044,1417,1504,1885,1372,1543,1699,1760,1244,517,12953
206061515,60,148,405,186,105,82,49,21,3,1053,586,1482,4486,2018,947,734,552,289,98,11192
206061516,93,81,239,131,96,84,66,42,23,850,813,1039,3102,1558,1068,943,747,479,197,9939
206071139,51,61,245,147,73,60,45,16,10,709,733,859,3279,1784,888,692,508,249,97,9088
206071140,64,57,121,71,64,46,43,25,15,500,896,1104,2148,1112,858,809,732,391,141,8186
206071141,138,97,233,139,104,59,32,15,0,829,898,847,3348,1752,1030,661,394,189,67,9179
206071142,158,121,271,182,143,121,83,34,12,1119,1067,994,3072,1841,1197,1108,697,324,135,10431
206071143,106,90,213,128,104,81,77,43,33,873,1563,1288,3163,1964,1549,1247,1042,667,294,12781
206071145,72,59,137,83,88,81,48,25,10,601,1503,845,2023,1675,1270,1113,894,386,139,9855
206071517,72,125,398,187,130,155,65,36,13,1177,1754,1831,5735,2891,2030,1610,1056,574,210,17671
206071518,102,113,279,173,124,108,77,34,29,1036,1274,1496,4328,2309,1552,1292,944,460,202,13867
207011146,73,35,49,50,66,45,35,24,10,385,1585,1014,712,1041,1245,1018,694,420,227,7952
207011147,112,114,77,86,112,94,82,56,53,781,2581,2233,1578,1970,2266,2002,1717,1175,640,16163
207011148,154,155,92,73,180,124,83,53,30,941,3761,3334,1813,2264,3364,2893,1889,1189,615,21123
207011149,183,152,110,139,153,129,101,59,58,1094,3390,3007,2233,2405,2966,2696,2200,1428,912,21232
207011150,133,108,78,87,127,105,66,51,22,781,3185,2398,1562,2070,2615,2232,1556,908,312,16829
207011152,109,122,169,122,111,88,71,56,26,854,2292,2063,3156,2255,1977,1582,1246,787,329,15684
207011154,50,40,37,34,45,35,24,21,0,293,1165,890,657,807,951,865,608,369,166,6482
207011155,115,118,87,76,105,105,93,52,45,794,2545,2387,1331,1654,2420,2199,1826,1008,570,15944
207011519,71,101,137,90,77,71,51,32,14,642,1344,1561,1945,1365,1236,977,825,479,151,9890
207011520,65,103,163,94,82,70,54,36,21,693,1361,1874,2886,1729,1315,1100,884,562,251,11957
207011521,81,99,68,51,82,92,51,42,17,577,1735,1837,1375,1211,1610,1488,1195,773,368,11601
207011522,121,103,94,92,120,108,74,54,41,813,1993,1650,1799,1628,1849,1696,1281,728,418,13039
207021156,71,61,68,61,73,85,58,49,30,553,1627,1296,1260,1354,1556,1477,1120,1092,514,11289
207021157,186,134,184,176,193,136,128,105,49,1294,3482,2848,3879,3472,2927,2841,2435,2027,909,24814
207021159,140,99,82,110,106,129,128,96,87,972,2618,1939,1571,2010,2112,2459,2113,1447,696,16966
207021160,110,80,67,83,102,72,62,89,64,726,2361,1503,1346,1789,2030,1620,1403,1451,693,14191
207021424,87,88,61,79,77,64,88,64,28,638,2608,1843,1578,2049,2000,2149,1790,1170,480,15672
207021425,122,82,84,112,101,99,60,75,28,764,3020,1504,1818,2576,1876,1579,1339,1225,518,15454
207031161,151,144,124,113,140,122,87,79,91,1046,3803,2857,2594,3143,3169,2658,1821,1296,761,22106
207031162,109,81,73,71,89,57,52,25,23,579,1903,1314,1142,1446,1576,1244,1043,789,480,10939
207031163,162,314,401,201,176,138,121,87,113,1710,2825,3758,4879,3067,2762,2197,1665,1019,673,22841
207031164,183,131,131,126,121,115,62,39,22,942,3097,2376,2498,2507,2541,2138,1599,930,442,18126
207031165,95,231,231,89,81,71,60,32,26,912,1489,2609,2381,1387,1329,1112,849,718,456,12336
207031166,47,65,70,52,67,44,49,45,12,450,1461,1341,1592,1360,1367,1183,1015,996,372,10675
207031167,83,63,59,58,73,88,55,30,8,521,1596,1350,1193,1303,1425,1300,1135,543,315,10166
208011168,130,92,46,61,141,113,80,68,27,758,2504,1813,752,1329,2400,2078,1698,1026,423,14021
208011169,197,169,91,125,211,210,170,127,62,1357,3540,2659,1795,2383,3440,3248,2829,1920,940,22758
208011170,200,119,63,115,151,97,82,56,54,939,3188,2090,1151,1936,2667,2149,1606,1085,679,16540
208011171,150,84,61,102,136,61,55,32,27,703,2531,1352,1359,1965,2037,1331,998,576,285,12439
208011172,211,139,118,137,176,162,121,76,27,1175,3205,2284,1620,2278,2976,2631,1779,1043,394,18200
208011173,178,97,78,115,177,159,140,64,77,1083,2719,1985,1227,1929,2744,2608,2166,1279,709,17358
208021174,237,176,166,187,200,144,112,82,57,1363,4595,3156,2857,3535,3904,2894,1988,1233,728,24896
208021176,119,109,186,134,108,76,97,103,106,1035,2557,2134,4072,2984,2138,1825,1436,925,457,18534
208021177,234,180,247,200,140,107,161,83,90,1438,3960,2931,3963,2998,2424,2139,2239,1053,667,22362
208021178,142,101,168,127,146,96,106,76,25,1000,3127,1999,2236,2429,2439,2030,2078,1079,649,18075
208021179,119,78,104,106,73,73,52,33,22,662,2026,1289,2003,1717,1615,1327,1085,563,273,11904
208021180,52,65,55,58,57,48,29,20,7,400,1183,959,1261,1091,1098,856,532,371,214,7563
208021181,74,38,90,70,74,55,40,19,10,464,1550,1101,1548,1433,1305,1088,752,403,195,9369
208021182,81,117,164,96,105,82,46,27,10,739,2010,1644,2605,2027,1762,1361,1022,528,171,13128
208021426,173,120,86,135,122,92,68,31,27,850,3544,2048,1615,2603,2678,1791,1209,723,379,16583
208021427,129,80,62,85,114,106,79,37,17,711,2721,1500,1533,2165,2119,1629,1220,718,458,14057
208031183,65,63,28,51,68,45,30,31,14,400,1606,1323,687,1085,1553,1234,758,452,159,8853
208031184,0,0,0,0,0,3,0,0,0,3,0,0,10,3,3,12,0,0,3,31
208031185,126,82,90,92,98,92,71,55,19,730,1993,1193,1299,1558,1846,1736,1430,721,252,12032
208031186,183,111,155,169,146,131,111,64,28,1100,2592,1184,2159,2396,2104,1804,1568,919,478,15204
208031187,53,39,32,41,52,53,40,25,13,341,1053,586,534,830,749,641,543,341,111,5393
208031188,269,163,238,203,189,141,117,109,60,1484,4107,2333,3325,3770,3286,2652,2135,1513,961,24085
208031189,171,73,100,118,117,102,58,46,11,796,2712,1455,1479,2057,2053,1713,1105,722,261,13563
208031190,102,67,99,103,112,83,73,55,49,728,2075,1305,1708,1902,2008,1599,1299,889,403,13197
208031191,94,55,78,78,81,56,73,56,30,603,1744,957,1102,1443,1402,1013,781,478,210,9116
208031192,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,26
208031193,209,140,150,156,203,162,100,61,36,1204,3845,2457,2247,2926,3450,2672,1958,1082,558,21199
208041194,153,128,173,139,156,123,92,83,56,1107,2979,2600,2974,2598,2802,2295,1926,1417,659,20239
208041195,212,163,210,149,137,142,106,74,61,1250,3502,3172,3231,2777,3027,2496,1921,1144,651,21923
209011196,84,90,95,83,93,62,53,29,23,605,1622,1278,1364,1217,1328,1045,956,741,269,9831
209011197,191,114,111,136,133,133,123,89,63,1092,3826,2153,2217,3078,2805,2533,2397,1284,524,20807
209011198,143,72,109,139,98,100,100,53,47,870,2886,1555,2172,2524,2089,1730,1381,1016,674,16039
209011199,237,148,249,173,161,105,71,28,20,1185,2447,1701,3105,2254,1709,1723,1133,514,264,14852
209011200,91,90,104,109,106,80,71,34,24,706,1912,1492,1696,1762,1675,1620,1274,651,363,12458
209011201,75,62,38,51,62,77,39,25,9,426,1210,1060,697,819,1133,1199,935,489,201,7740
209011202,175,95,97,107,130,117,98,68,30,921,3171,1597,1661,2375,2350,2003,1921,1116,349,16539
209011203,140,141,118,127,121,99,93,56,17,914,3645,2093,2030,2735,2621,1981,1799,1268,558,18733
209011204,81,55,66,81,55,57,46,37,9,489,1701,914,1302,1409,1200,1020,891,596,204,9236
209021205,82,194,123,66,101,55,38,26,14,705,1314,2089,1881,1161,1414,1140,653,491,275,10408
209021428,203,142,257,211,187,129,108,54,26,1321,2847,2142,4528,3675,2826,2029,1354,875,432,20711
209021429,125,79,144,130,111,70,53,49,60,814,2163,1263,2071,2187,1873,1346,897,593,301,12696
209021523,170,125,257,167,151,107,74,67,32,1142,2185,1458,3271,2427,1729,1450,1023,805,442,14795
209021524,123,92,86,87,102,71,85,74,60,784,1473,1092,1231,1225,1257,1032,1017,992,475,9801
209021525,156,127,169,142,146,99,104,84,144,1174,1874,1422,2409,1881,1580,1310,1074,725,522,12799
209021526,154,87,184,136,136,117,62,43,41,954,2480,1299,2628,2559,1904,1418,924,569,320,14090
209031209,272,186,94,149,222,191,138,90,40,1374,4436,2947,1896,2908,3710,3388,2686,1161,307,23444
209031210,35,25,17,29,22,27,24,11,0,198,708,439,353,450,534,527,372,155,26,3554
209031211,76,58,41,63,100,79,39,19,6,487,763,479,444,544,722,660,429,139,24,4204
209031212,63,53,26,53,49,69,37,21,9,379,795,667,364,518,794,925,704,271,54,5091
209031213,103,82,34,60,71,97,51,37,12,547,1674,1313,814,1172,1498,1348,935,464,240,9454
209031214,78,57,33,46,85,73,54,30,3,453,1311,970,525,794,1157,1088,710,307,67,6935
209031215,138,103,70,105,133,109,69,29,10,765,2746,2064,1622,1809,2179,2023,1237,551,183,14417
209041216,76,96,71,44,65,51,35,15,20,460,1089,1269,1121,939,1052,873,556,299,157,7350
209041217,74,66,81,65,43,43,43,27,9,453,827,692,1035,824,690,701,743,508,172,6186
209041220,200,178,153,148,185,160,93,44,15,1173,2675,2302,2452,2195,2388,2727,1735,707,288,17470
209041221,112,112,112,100,92,109,54,38,9,739,1769,1343,1709,1472,1360,1736,1212,506,129,11240
209041223,227,172,238,204,171,175,142,76,28,1424,3114,2302,3181,2645,2202,2178,2255,1581,536,19998
209041224,528,235,272,300,215,194,111,54,10,1908,5593,2589,3741,3505,2787,2332,1457,524,106,22627
209041225,208,136,137,122,130,112,104,61,36,1042,2102,1300,1538,1371,1399,1142,1017,527,251,10661
209041431,217,126,180,151,132,128,107,245,266,1548,2454,1609,1972,1824,1649,1638,1064,587,347,13144
209041432,113,100,116,97,93,75,55,27,15,686,1308,1004,1315,1147,982,999,861,411,170,8204
209041433,245,94,128,141,74,60,27,8,14,792,3214,1427,1955,2433,1430,930,533,172,47,12143
209041435,184,114,78,110,124,53,30,10,5,703,2961,1830,1489,2250,1995,1180,629,215,45,12595
209041436,140,112,101,89,105,79,70,48,43,782,2254,1670,1805,1716,1786,1341,903,576,335,12392
209041437,461,158,311,272,143,95,58,17,4,1516,7106,2427,5190,5239,2036,1253,854,253,48,24407
209041527,306,113,98,171,150,95,39,14,0,988,4359,2061,1851,2916,2345,1283,1001,418,63,16299
209041528,181,80,110,95,68,33,22,9,0,594,2889,1051,1878,2104,1127,717,501,178,21,10471
209041529,157,107,143,110,106,76,64,54,18,837,1610,1170,1568,1407,1137,1040,987,739,293,9947
209041530,262,134,162,141,150,91,67,51,18,1085,2688,1618,1965,1981,1637,1312,1146,813,350,13513
209041531,198,84,103,113,80,53,46,21,0,702,2995,1133,1813,2289,1229,816,742,352,51,11427
209041532,213,96,138,141,71,44,22,5,0,741,3301,1339,2039,2469,1395,769,449,154,29,11940
210011226,74,47,66,71,57,51,37,47,21,470,1349,742,1281,1273,1028,892,770,562,265,8173
210011227,0,0,0,0,4,0,0,0,0,5,0,0,3,4,6,0,0,0,0,13
210011228,89,74,65,62,82,62,64,50,16,569,1424,943,847,987,1154,1094,1068,751,285,8548
210011230,65,48,51,59,72,70,46,18,19,448,1331,960,884,1047,1185,898,611,337,216,7460
210011231,98,84,53,70,112,71,49,27,16,577,1893,1403,910,1292,1585,1281,988,462,213,10031
210011533,129,65,108,110,99,87,76,85,24,786,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
210011534,161,108,116,113,122,95,92,83,28,920,2640,1611,1638,1950,2139,1650,1479,1452,514,15073
210021232,191,142,60,147,144,117,88,42,17,948,3173,1640,1127,2061,2130,1763,1326,742,254,14222
210021233,57,28,15,29,42,44,46,15,3,266,727,329,197,450,554,525,500,205,34,3523
