SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
211031266,4320,4644,8963,347,339,686,56,60,118,2475,2631,5108,50,47,96,36,30,67,19,23,44,15,12,25,6,11,15,14,11,28,0,0,0,2670,2830,5495,710,768,1477,77,63,135,3808,3991,7800,386,410,798,8517,9043,17559
211031267,6046,6344,12390,356,404,757,52,63,108,2320,2403,4728,34,38,78,22,25,50,15,17,33,4,9,17,9,10,15,9,8,16,0,0,0,2464,2579,5048,397,473,865,41,33,71,3257,3489,6747,347,349,695,9653,10184,19838
211031268,3201,3281,6478,130,127,259,18,27,50,906,980,1883,16,12,28,3,4,5,4,5,9,4,3,10,0,3,7,0,0,0,0,0,0,957,1037,1993,108,116,228,19,9,34,1215,1290,2512,102,95,202,4517,4671,9191
211031450,3841,4351,8188,271,323,598,40,43,86,2220,2489,4708,27,30,59,9,20,25,10,14,23,8,13,17,14,14,27,7,6,15,0,0,3,2333,2629,4960,249,316,568,41,48,91,2895,3319,6217,271,333,607,7007,8001,15007
211031451,3680,4175,7856,174,185,358,42,34,75,1788,2053,3840,22,29,55,9,13,24,14,12,26,3,0,3,8,0,14,7,7,10,0,0,0,1899,2145,4041,206,236,437,26,19,45,2296,2589,4886,234,293,528,6214,7052,13270
211031452,1482,1526,3006,38,48,80,3,10,16,546,610,1158,17,16,34,0,0,0,0,3,8,4,0,3,6,0,0,0,3,8,0,0,0,574,654,1223,46,61,105,18,16,35,675,771,1445,66,59,123,2222,2358,4572
211041269,3026,3449,6472,126,134,256,32,22,54,1074,1138,2212,17,16,36,11,13,25,13,16,23,6,10,10,0,0,6,7,9,21,0,0,0,1168,1225,2390,331,332,660,26,22,50,1646,1710,3355,189,210,406,4861,5371,10231
211041270,4645,5039,9686,278,280,557,51,51,100,1914,1956,3876,34,33,73,23,35,60,25,18,43,3,7,11,7,10,12,6,6,7,0,0,0,2064,2116,4180,405,506,913,34,24,61,2778,2929,5703,204,205,408,7628,8167,15799
211041271,3244,3574,6821,157,144,304,32,34,64,1384,1361,2749,20,24,48,15,18,35,10,14,26,3,5,9,0,8,7,8,9,18,0,0,0,1481,1476,2957,475,450,927,28,32,57,2141,2101,4246,282,327,606,5670,5997,11672
211041272,3372,3544,6912,171,186,353,12,23,37,1064,1058,2123,15,19,35,12,20,30,17,26,38,5,7,9,3,4,3,9,5,11,0,0,0,1132,1155,2291,276,326,600,19,15,33,1595,1684,3276,108,131,239,5074,5358,10432
