SA2_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201021009,37,17,13,16,18,10,3,8,0,123,40,33,23,56,35,14,4,12,0,217,110,33,325,93,93,39,77,80,19,869,9,0,6,3,12,8,0,5,0,37,5,4,4,11,10,6,6,8,0,60,3,3,0,0,0,0,0,0,0,12,9,6,4,4,10,4,4,16,5,72,365,481,401,276,245,103,107,138,40,2149
201021010,41,36,22,28,19,0,3,10,4,163,45,45,27,60,40,11,4,17,5,243,151,33,321,119,90,55,72,90,3,937,8,0,9,7,0,9,3,11,0,58,8,3,3,10,6,10,4,5,0,46,0,4,5,0,4,0,0,4,0,10,16,12,7,5,6,7,3,9,9,73,408,589,422,289,237,116,102,157,27,2348
201021011,60,45,35,35,33,16,6,21,6,256,72,54,50,78,37,9,0,22,4,324,145,45,292,116,56,34,50,79,9,831,3,4,3,6,8,7,0,11,0,42,22,11,6,16,11,0,6,13,0,74,6,8,6,4,7,0,0,3,0,26,16,8,12,12,8,7,6,7,13,85,702,951,508,407,273,120,67,207,50,3288
201021012,31,32,11,20,32,7,0,10,0,149,30,34,27,47,43,18,5,17,6,224,127,30,304,88,74,36,81,79,23,838,9,0,5,0,5,8,0,0,0,31,11,3,5,4,7,0,6,4,4,51,0,3,0,3,0,0,0,0,0,19,21,4,11,4,9,5,3,18,4,75,385,533,388,234,238,81,114,137,42,2143
201031013,7,10,3,8,3,0,0,4,0,49,19,13,4,21,7,3,3,3,5,75,77,14,97,51,30,13,42,45,7,384,5,0,0,0,3,0,0,5,0,19,0,0,0,6,0,3,5,3,0,24,0,0,0,0,0,0,0,0,0,4,6,0,3,7,4,4,0,7,4,38,177,157,128,114,76,36,56,78,19,847
201031014,20,13,7,11,14,0,9,7,3,77,46,22,11,33,30,7,6,10,3,162,97,23,137,81,36,26,70,68,8,538,8,0,7,5,3,4,0,4,0,35,3,0,0,8,6,0,3,6,0,25,0,0,0,0,0,0,0,0,0,6,5,4,5,4,4,0,7,3,3,39,250,248,171,154,129,47,90,107,19,1215
201031015,20,22,10,16,20,5,7,11,0,102,26,28,12,43,28,6,7,3,0,160,71,10,260,74,66,25,53,81,12,654,5,0,8,10,5,0,0,5,0,35,9,0,11,5,6,4,6,5,0,44,0,0,4,0,0,0,0,0,0,6,12,0,10,9,9,0,5,8,4,54,196,285,320,185,178,57,82,125,22,1445
201031016,12,19,7,15,10,5,0,5,0,78,19,20,15,58,16,15,3,9,3,158,78,23,259,162,63,53,66,110,15,820,6,0,4,13,11,10,6,9,0,56,3,0,0,3,4,0,8,11,0,37,5,0,0,0,0,0,0,0,0,6,7,8,7,11,3,7,9,17,7,74,167,329,301,334,142,99,93,178,23,1670
201031017,17,14,5,21,7,8,0,8,0,80,10,15,14,54,20,6,4,6,0,138,78,13,185,79,51,25,58,66,13,569,9,0,0,3,7,0,3,11,0,31,4,0,0,4,8,6,3,4,0,32,3,0,0,0,0,0,0,0,0,6,13,5,0,6,0,3,0,13,9,46,199,176,209,211,111,55,72,112,27,1175
202011018,24,52,27,39,31,7,7,7,0,195,57,80,41,133,60,28,18,29,5,460,135,71,460,260,128,85,109,166,26,1429,11,3,9,12,9,23,4,21,0,102,10,8,15,30,23,13,6,10,0,111,6,11,0,5,3,0,0,0,0,29,10,12,6,19,8,5,7,12,26,103,499,1611,609,672,412,223,183,301,84,4599
202011019,20,36,3,41,18,4,5,8,0,134,48,66,33,146,60,19,14,26,9,420,114,64,514,331,148,113,133,210,25,1667,7,0,5,17,16,10,12,22,0,107,3,3,7,22,13,3,7,16,0,83,0,5,0,4,0,0,0,0,0,17,6,7,23,24,11,11,14,32,13,129,264,774,630,705,339,198,216,354,58,3535
202011020,40,71,40,42,36,14,4,15,3,259,63,68,44,137,74,32,11,28,3,466,159,70,420,213,129,84,83,113,30,1301,4,0,3,4,14,4,6,19,3,63,11,4,3,11,23,6,6,10,0,85,4,11,0,3,4,0,0,0,3,30,11,21,7,12,7,4,4,9,14,90,570,1634,580,589,460,225,129,252,67,4515
202011021,16,45,18,17,27,7,6,5,0,149,50,68,35,118,58,28,9,17,7,374,93,50,305,161,92,71,57,82,19,923,3,3,10,15,9,18,6,12,0,66,3,6,6,5,13,3,0,10,0,58,5,7,0,4,0,0,0,0,0,23,5,9,5,9,7,9,3,0,4,54,380,1261,425,469,338,191,88,158,44,3354
202011022,44,61,30,62,45,12,9,12,0,277,68,109,63,229,102,43,24,58,6,709,191,108,763,427,256,163,187,285,32,2419,6,6,8,19,40,23,7,30,0,140,11,7,12,25,26,16,10,22,4,128,0,6,6,5,3,4,0,13,0,39,16,17,15,15,17,15,18,22,22,156,567,1506,970,993,669,339,267,516,73,5899
202011023,25,28,8,24,14,8,0,4,0,100,25,36,11,63,49,12,3,3,0,209,110,39,305,104,90,37,62,44,19,819,0,0,3,3,0,5,3,0,0,29,3,4,5,4,13,6,0,3,0,43,0,6,0,0,0,0,0,0,0,10,4,9,3,8,8,5,0,0,0,37,289,561,347,258,249,95,75,74,25,1981
202011024,41,57,20,34,33,13,3,7,3,221,58,84,25,103,66,16,4,11,4,371,164,68,393,167,140,61,77,81,11,1161,11,0,3,7,15,6,4,10,0,54,13,8,3,12,22,3,8,3,3,79,3,10,0,0,4,0,0,4,0,29,4,16,8,12,9,3,0,0,10,65,584,1402,490,464,447,151,111,149,44,3835
202011025,24,41,28,48,40,4,12,7,6,203,81,102,47,160,74,32,16,28,8,546,176,81,680,308,221,115,155,194,20,1959,7,0,13,9,25,17,6,20,0,96,8,7,7,28,17,6,7,15,0,98,3,12,6,3,6,6,0,0,0,27,5,16,11,10,7,14,6,5,7,87,475,1259,846,732,522,216,234,308,55,4651
202021026,37,45,19,40,27,6,4,3,0,183,33,49,22,91,49,18,4,15,8,302,181,39,423,147,111,63,90,102,15,1174,3,0,8,6,16,10,5,6,0,56,16,3,7,10,16,4,0,5,0,69,3,5,0,6,3,0,0,0,0,8,18,6,13,6,6,7,8,5,8,80,478,789,529,385,334,135,128,158,42,2981
202021027,34,60,17,35,24,17,3,13,6,211,54,58,42,81,36,12,7,15,6,319,65,47,287,118,81,38,50,74,11,780,7,0,7,10,9,3,0,11,0,45,8,7,8,14,13,4,0,0,0,57,0,3,3,3,3,0,0,0,0,12,9,16,12,9,9,5,3,8,6,72,453,1334,464,432,300,132,80,177,52,3426
202021028,46,50,23,29,26,12,4,15,4,205,46,60,40,63,47,21,12,15,3,297,121,34,331,105,73,54,79,100,8,915,7,4,9,13,3,6,8,11,0,56,11,7,11,4,9,4,3,5,0,57,3,9,0,4,4,0,0,3,0,24,10,12,4,7,7,8,10,11,7,70,516,904,498,330,280,138,123,191,45,3028
202021029,24,16,12,7,22,0,3,0,0,83,23,28,14,38,19,4,9,8,3,149,67,16,193,72,57,38,59,60,14,565,0,0,0,3,4,0,0,8,0,28,10,3,7,3,3,3,6,9,0,39,4,0,0,0,0,0,0,0,0,12,4,4,5,4,0,4,10,9,7,45,211,280,248,149,133,65,81,91,36,1298
202021030,62,38,24,40,31,21,3,21,6,245,72,40,33,65,51,24,8,22,0,318,132,57,361,133,85,51,63,93,11,978,4,0,3,6,4,8,5,13,4,57,11,10,11,14,6,8,6,5,4,76,3,3,5,4,0,0,0,6,0,23,12,12,8,16,13,6,0,21,6,99,706,1088,496,403,319,148,101,226,49,3546
202021031,52,44,20,28,15,12,0,7,3,189,37,47,18,53,42,15,10,5,0,236,88,28,231,96,48,23,24,47,5,589,5,0,5,0,9,5,0,0,0,26,8,5,4,4,6,6,0,10,0,54,3,7,6,0,0,6,0,0,0,22,7,7,0,9,7,5,0,3,0,50,587,1064,350,300,268,108,46,100,36,2863
202031032,18,17,6,10,13,6,5,4,0,72,23,27,13,25,30,8,0,6,3,135,106,20,233,73,66,29,78,58,9,665,3,0,6,10,6,9,0,5,0,36,10,0,8,4,7,0,0,4,0,36,0,6,0,0,0,0,0,0,0,5,5,3,9,8,8,9,6,11,0,60,237,280,297,170,161,62,95,91,15,1398
202031033,66,15,9,15,10,0,5,0,3,132,50,25,8,40,24,7,5,14,7,178,250,20,148,82,66,41,62,110,11,780,8,0,5,6,9,3,0,12,0,47,15,5,4,6,0,0,4,15,0,41,6,3,0,0,0,0,0,4,0,13,31,7,8,9,7,3,10,15,7,85,568,293,184,199,140,72,90,199,24,1766
203011034,29,38,22,29,29,9,0,6,3,170,54,33,49,87,51,32,10,19,5,333,131,46,446,157,138,45,101,107,21,1197,4,7,3,3,15,8,5,0,0,49,7,5,4,3,19,4,6,0,3,51,0,3,6,0,0,5,0,0,0,22,5,3,10,10,7,4,9,5,8,57,355,603,562,379,337,127,143,160,52,2716
203011035,40,34,21,28,29,5,0,14,3,179,51,43,44,81,49,22,10,18,3,325,148,42,488,143,96,56,109,137,13,1233,8,7,0,11,14,3,8,4,0,58,12,7,6,8,11,6,8,13,0,73,0,4,5,3,0,0,0,0,0,16,10,6,6,10,6,7,10,16,3,79,433,635,604,354,289,120,154,225,32,2850
203011036,54,41,24,25,17,7,6,11,7,186,56,46,26,52,31,11,8,9,4,242,154,36,331,98,57,44,69,82,10,866,10,6,4,3,10,5,4,0,0,36,9,5,6,10,8,0,0,3,0,44,0,0,0,0,5,0,0,0,0,8,16,7,12,6,3,5,4,10,5,70,492,624,437,258,205,87,97,145,23,2386
203021037,40,73,37,48,46,16,4,17,8,299,48,81,64,133,75,42,25,33,3,505,133,82,586,270,169,98,101,144,23,1600,0,0,11,3,11,12,6,7,0,56,6,3,14,19,14,6,10,3,0,79,0,16,4,4,6,0,4,4,0,33,0,10,14,9,10,9,7,8,23,86,601,1954,846,772,605,263,222,339,87,5690
203021039,55,74,41,46,56,16,7,9,3,287,57,61,84,124,80,31,18,36,7,510,137,58,468,214,129,80,53,107,27,1267,12,5,0,17,14,11,0,14,0,73,19,0,6,17,16,3,4,9,0,84,11,15,4,7,3,0,0,0,5,42,11,11,8,16,7,9,3,6,13,82,694,1956,754,675,541,248,128,276,77,5346
203021040,90,150,54,77,86,29,13,26,4,518,131,121,99,187,155,66,28,31,3,833,222,104,864,337,219,115,130,217,42,2247,3,8,19,23,19,12,5,13,0,111,29,24,14,30,17,16,16,17,0,154,8,8,11,7,8,0,3,0,3,53,19,28,17,26,16,8,8,16,26,162,1225,2990,1267,1019,921,406,281,434,129,8662
203021042,97,156,55,93,93,36,15,16,13,574,163,138,110,202,159,46,20,46,7,897,265,110,696,330,199,123,99,133,33,1998,11,9,12,18,15,13,7,14,0,95,30,9,8,26,44,21,4,17,5,164,7,24,0,10,13,3,0,7,0,63,13,25,15,22,18,6,13,15,14,138,1434,3507,1084,1092,980,453,249,362,114,9280
203021043,61,75,53,83,63,18,22,21,3,404,108,129,96,235,143,61,42,33,5,847,227,108,937,394,271,130,247,236,46,2599,8,3,18,22,23,10,11,12,0,104,12,16,15,21,38,11,15,11,0,142,6,4,3,3,4,5,3,5,0,32,14,22,19,19,23,10,16,6,30,161,771,1635,1246,1004,794,318,415,379,113,6677
203021044,50,73,20,54,40,17,11,14,4,273,71,76,57,159,105,27,16,32,5,547,157,67,681,294,190,128,136,168,23,1845,10,5,6,17,22,12,7,14,0,103,8,8,9,20,20,12,9,8,0,96,0,6,4,3,5,0,0,5,0,23,8,14,9,12,18,6,7,8,21,100,501,1102,847,708,517,243,201,283,69,4473
203021045,32,46,30,48,33,14,6,19,6,247,45,54,64,164,65,30,13,23,0,464,124,75,659,390,171,106,143,241,33,1938,6,0,16,25,8,19,20,19,0,118,8,5,13,36,16,7,6,11,0,99,0,5,3,4,4,4,0,8,0,34,5,8,15,18,11,12,17,23,15,114,335,799,865,837,440,275,257,405,71,4273
203021046,45,72,27,28,40,16,0,13,4,242,62,53,29,70,44,25,8,14,0,321,111,29,237,96,75,38,36,55,16,697,10,4,6,0,5,5,0,9,0,38,12,4,3,4,11,14,3,4,0,55,10,3,0,0,0,0,0,5,0,26,7,9,5,8,10,8,4,4,6,60,766,1725,383,361,412,192,82,142,51,4125
203021047,39,68,47,44,45,24,23,12,8,310,81,84,56,146,87,33,34,39,10,573,121,55,600,237,158,90,133,157,30,1575,5,3,7,8,18,10,8,16,0,75,10,8,11,33,25,19,10,14,0,140,7,3,3,4,3,0,3,4,0,37,9,13,13,23,12,14,7,18,22,131,538,1297,837,678,551,269,270,327,93,4866
203021485,28,52,21,46,31,11,9,10,0,204,70,89,73,153,96,42,22,22,8,572,108,52,477,222,141,89,80,108,23,1296,4,7,13,7,10,7,3,13,0,62,7,4,9,23,14,0,11,8,0,75,0,3,0,4,0,0,0,3,0,19,7,8,14,15,3,6,3,12,14,69,430,1223,693,699,452,235,168,254,60,4217
203021486,18,20,28,36,24,11,14,22,3,177,49,50,53,180,74,23,44,45,4,530,104,72,553,376,138,105,220,248,33,1855,8,3,7,17,17,23,13,37,0,121,13,5,14,27,14,8,8,19,3,103,0,4,4,5,0,0,3,0,0,20,7,14,19,29,9,8,17,26,20,147,286,614,749,794,379,245,386,457,86,3990
203021487,67,125,67,109,76,26,13,28,6,505,137,134,131,285,157,73,47,51,12,1025,244,116,1056,475,284,183,161,224,40,2787,11,3,13,19,24,22,10,21,0,132,19,10,14,44,37,24,6,17,5,173,7,20,8,6,7,3,0,8,0,57,12,15,16,28,11,10,3,19,17,124,976,2666,1513,1375,970,505,369,520,128,9019
203021488,4,10,15,18,8,11,15,10,0,82,11,17,25,72,31,10,31,13,7,210,28,18,216,186,70,49,89,100,24,782,0,0,3,6,4,8,10,16,0,52,0,0,0,11,3,0,8,3,0,31,4,0,4,4,0,0,3,0,0,24,9,5,9,22,5,0,7,31,12,88,114,238,311,405,165,123,213,225,51,1851
203031048,56,91,30,56,58,10,11,18,10,342,85,96,71,174,97,22,14,43,9,620,182,87,791,355,194,140,147,232,28,2140,13,6,10,19,21,10,12,20,0,109,10,11,11,32,18,12,10,19,0,118,0,8,0,9,4,0,4,0,0,26,9,9,12,15,9,9,3,15,13,100,612,1320,1002,828,553,263,213,380,87,5252
203031049,30,31,18,15,25,18,0,11,3,145,30,28,30,41,16,13,6,13,5,171,82,18,188,50,28,30,18,44,6,466,0,0,0,3,8,4,0,4,0,17,3,7,0,4,7,10,0,0,0,32,6,3,0,0,3,0,0,0,0,11,4,7,11,4,3,8,7,0,0,50,457,761,302,238,198,123,32,110,34,2260
203031051,41,42,19,32,35,10,7,12,10,201,35,34,32,71,60,20,10,18,4,280,102,41,303,114,88,51,61,88,22,874,6,4,6,6,4,5,3,6,0,33,17,0,4,17,18,6,4,7,0,73,0,3,0,3,3,0,3,0,0,13,6,7,8,14,7,4,5,7,9,65,382,621,410,326,293,124,106,158,53,2471
203031052,30,40,14,14,20,9,0,3,4,140,16,20,16,19,24,12,6,5,0,125,48,23,128,35,24,19,8,24,16,322,0,3,0,3,0,4,0,0,0,11,4,3,8,3,4,3,0,7,0,37,0,0,0,0,5,0,0,0,3,16,12,3,0,6,5,5,0,5,8,39,320,617,210,163,176,78,19,68,43,1688
203031053,137,177,61,113,90,38,14,18,8,652,161,180,108,188,150,63,5,36,7,902,335,111,918,245,228,133,75,150,30,2228,3,12,11,16,21,19,0,8,3,78,24,20,13,27,31,29,11,15,3,176,6,21,4,8,3,6,4,0,0,64,22,29,10,28,17,18,3,14,24,172,1773,3520,1303,1013,932,476,135,324,127,9605
203031489,66,72,33,44,35,13,9,12,3,281,74,88,61,121,60,38,14,21,0,475,139,58,428,191,131,73,56,78,18,1174,9,4,8,6,8,11,0,8,0,56,10,9,7,21,13,5,3,5,0,70,3,12,6,4,3,0,0,0,0,27,6,13,3,23,3,7,3,8,10,81,686,1470,630,616,464,233,105,183,57,4444
203031490,111,116,54,83,77,22,3,18,9,500,115,124,98,186,111,49,12,19,7,724,265,90,795,251,173,98,88,125,29,1908,16,3,11,13,14,14,0,10,0,81,29,11,16,24,25,17,6,14,0,131,0,12,3,9,8,4,0,0,0,37,22,28,15,15,24,12,3,13,12,144,1137,2408,1094,828,713,290,132,252,97,6956
204011054,35,20,13,20,21,11,3,8,3,127,38,31,20,59,35,10,5,13,3,214,126,18,289,102,74,35,63,93,11,824,8,4,3,7,3,9,0,3,0,45,8,3,5,13,3,5,5,7,0,46,0,0,0,0,0,0,0,0,0,4,18,5,9,15,8,6,7,0,0,70,376,387,379,282,200,83,82,152,31,1967
204011055,58,23,14,21,23,5,4,4,0,157,30,33,24,47,29,7,3,17,0,200,132,31,218,94,70,34,53,99,13,742,4,3,9,6,5,0,3,11,0,42,5,4,4,5,10,4,0,7,0,44,3,0,0,5,3,0,4,0,0,21,33,7,7,3,6,4,4,15,13,86,427,413,302,222,181,70,67,189,33,1911
204011056,52,58,24,51,46,14,11,10,5,270,80,86,65,190,95,30,14,31,8,596,170,74,785,226,224,97,240,200,59,2062,11,3,20,13,15,18,5,17,3,105,20,0,12,26,16,13,17,12,4,126,0,9,0,5,0,4,3,4,0,30,13,11,13,20,24,8,11,20,18,133,537,993,975,664,541,213,318,334,99,4682
204011057,64,40,17,38,37,10,3,13,0,229,70,47,43,84,72,19,10,23,9,366,205,35,475,137,86,91,97,118,15,1266,3,0,5,13,14,12,4,7,0,63,14,7,10,13,8,6,4,14,3,76,4,4,3,3,0,0,0,6,0,21,11,7,12,15,9,10,7,10,8,101,632,715,606,430,313,197,139,235,48,3309
204011058,32,10,15,17,8,11,4,3,0,103,31,20,13,41,15,8,0,13,0,139,88,16,170,56,53,16,48,84,11,534,7,0,0,0,6,0,3,12,0,29,6,0,0,5,0,5,0,10,0,36,3,0,0,0,0,0,0,0,0,3,11,4,7,6,4,5,6,3,3,49,282,245,222,170,113,51,57,141,26,1305
204011059,21,16,12,20,10,8,0,9,0,89,45,27,24,63,29,9,3,10,0,209,69,28,237,117,69,48,58,92,11,724,0,0,7,8,9,4,0,3,0,39,3,0,6,10,6,4,5,10,0,42,3,4,0,0,0,0,5,0,0,15,5,0,8,3,0,6,8,14,5,55,214,285,301,268,165,99,82,164,23,1606
204011060,45,16,11,12,9,6,0,9,3,112,36,17,18,47,20,4,6,3,3,170,109,39,179,102,49,22,67,46,17,618,5,5,6,16,12,3,0,3,0,41,11,0,5,3,13,5,10,3,0,45,0,3,0,0,4,0,0,0,0,10,4,4,5,9,6,3,4,8,8,52,322,310,240,240,143,53,92,91,28,1530
204011061,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,5,13,6,4,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,13,7,10,0,0,3,0,49
204011062,31,22,9,12,13,3,5,6,3,103,36,12,9,23,21,10,6,7,0,126,84,25,181,46,19,23,49,66,9,490,3,0,0,5,3,0,0,7,0,24,4,5,10,5,3,4,5,0,0,39,5,3,0,0,4,0,0,0,0,6,9,0,4,9,11,10,4,5,3,53,262,244,219,127,99,54,72,101,20,1197
204021063,47,33,19,33,36,13,4,9,0,190,42,58,29,114,48,15,7,27,7,352,126,38,403,227,120,77,84,128,26,1223,4,5,8,14,8,12,8,21,0,74,7,4,5,12,8,3,8,18,0,64,0,7,9,0,0,0,0,6,0,22,15,8,15,18,10,4,8,22,14,124,362,672,505,488,287,147,128,249,56,2902
