SA2_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
201021009,8,3,30,15,14,8,3,8,4,90,0,0,0,0,0,0,0,0,0,0,9,10,7,4,3,0,8,6,5,46,12,4,10,10,5,0,6,11,6,70,365,481,401,276,245,103,107,138,40,2149
201021010,23,4,51,27,16,9,5,9,0,149,0,0,0,0,0,0,0,0,0,0,9,6,0,3,3,0,6,4,0,44,19,6,17,7,5,3,10,12,5,81,408,589,422,289,237,116,102,157,27,2348
201021011,52,6,82,23,18,16,4,25,0,222,0,0,0,0,0,0,0,0,0,4,16,21,8,7,7,7,0,0,4,70,13,13,11,7,8,5,3,11,13,94,702,951,508,407,273,120,67,207,50,3288
201021012,7,3,20,12,16,7,0,6,0,79,0,0,0,0,0,0,0,0,0,0,5,10,5,0,6,3,0,0,0,29,13,0,14,7,7,0,4,7,8,75,385,533,388,234,238,81,114,137,42,2143
201031013,12,0,11,12,3,3,5,3,0,42,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,10,6,0,6,0,3,4,0,7,6,36,177,157,128,114,76,36,56,78,19,847
201031014,16,5,14,15,8,3,0,3,5,63,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,11,0,5,0,6,3,4,7,7,41,250,248,171,154,129,47,90,107,19,1215
201031015,9,0,18,20,14,7,4,11,0,80,0,0,0,0,0,0,0,0,0,0,0,4,7,5,3,0,0,0,4,22,12,0,18,9,7,0,6,11,6,76,196,285,320,185,178,57,82,125,22,1445
201031016,8,3,56,26,7,15,3,23,3,143,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,6,5,0,28,3,4,11,10,0,3,9,18,9,72,167,329,301,334,142,99,93,178,23,1670
201031017,11,0,21,7,4,13,0,10,0,64,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,16,7,0,6,7,8,6,8,12,6,52,199,176,209,211,111,55,72,112,27,1175
202011018,31,9,99,59,20,30,19,38,0,300,0,0,0,0,0,0,0,5,0,10,6,14,12,10,12,3,3,3,3,67,12,13,11,8,4,9,11,18,29,107,499,1611,609,672,412,223,183,301,84,4599
202011019,15,7,82,47,22,26,17,33,7,248,0,0,0,0,0,0,0,0,0,3,4,9,7,9,10,6,8,10,0,55,7,7,33,19,4,11,14,34,25,148,264,774,630,705,339,198,216,354,58,3535
202011020,21,7,93,29,33,19,13,35,4,247,0,0,0,0,0,0,0,0,0,0,11,12,5,4,3,4,3,10,3,55,9,12,5,8,4,5,4,13,22,73,570,1634,580,589,460,225,129,252,67,4515
202011021,21,8,50,37,24,10,6,18,4,175,0,0,0,0,0,0,0,0,0,4,5,13,7,3,5,10,0,3,0,44,0,9,6,10,3,4,9,0,7,52,380,1261,425,469,338,191,88,158,44,3354
202011022,44,7,122,73,41,36,22,63,0,409,3,0,0,0,0,0,0,6,0,11,9,16,4,14,13,7,8,8,3,90,13,3,22,19,11,12,24,29,33,172,567,1506,970,993,669,339,267,516,73,5899
202011023,13,3,33,22,13,8,0,8,0,105,0,0,0,0,0,0,0,0,0,0,3,10,6,3,0,3,0,0,0,25,3,4,4,3,6,3,4,0,7,44,289,561,347,258,249,95,75,74,25,1981
202011024,30,10,52,26,32,10,4,23,0,187,0,0,0,0,0,0,0,0,0,3,16,15,0,8,10,4,3,3,4,56,5,9,11,6,6,5,4,6,14,64,584,1402,490,464,447,151,111,149,44,3835
202011025,27,6,100,44,31,27,14,35,5,285,0,0,0,0,0,0,0,0,0,0,7,13,9,6,10,0,7,4,0,63,9,7,21,9,7,11,15,12,15,106,475,1259,846,732,522,216,234,308,55,4651
202021026,18,3,41,20,19,17,7,14,3,136,0,0,0,0,0,0,0,0,0,0,10,8,3,5,5,0,5,5,0,47,13,7,17,16,5,10,7,7,10,87,478,789,529,385,334,135,128,158,42,2981
202021027,18,5,59,14,17,10,0,16,0,133,0,0,0,0,0,0,0,0,0,3,26,33,4,7,15,7,4,6,3,103,13,11,11,9,8,5,8,3,7,78,453,1334,464,432,300,132,80,177,52,3426
202021028,19,0,39,27,12,10,5,9,0,128,0,0,0,0,0,0,0,0,0,0,4,22,3,8,18,4,4,4,0,65,9,8,10,13,7,4,14,8,7,89,516,904,498,330,280,138,123,191,45,3028
202021029,10,0,29,4,14,11,3,10,0,84,0,0,0,0,0,0,0,0,0,0,8,3,0,3,6,0,3,3,3,27,4,0,7,9,3,0,9,9,9,47,211,280,248,149,133,65,81,91,36,1298
202021030,21,7,51,31,16,11,5,26,4,173,0,0,0,0,0,0,0,5,0,11,19,27,8,6,10,8,0,8,0,88,21,9,13,13,8,10,6,16,11,107,706,1088,496,403,319,148,101,226,49,3546
202021031,16,3,22,12,8,12,0,8,0,80,0,0,0,0,0,0,0,0,0,0,10,25,5,14,5,8,0,9,0,63,6,5,5,7,6,9,5,3,3,62,587,1064,350,300,268,108,46,100,36,2863
202031032,9,0,19,3,12,8,14,4,0,75,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,4,0,0,15,8,5,16,4,10,4,10,9,7,70,237,280,297,170,161,62,95,91,15,1398
202031033,18,0,21,11,13,11,4,21,0,96,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,6,0,0,23,28,3,5,3,0,4,5,17,8,81,568,293,184,199,140,72,90,199,24,1766
203011034,16,4,42,23,22,12,11,21,0,145,0,0,0,0,0,0,0,0,0,0,10,8,4,6,3,6,5,0,0,40,7,3,14,10,9,5,12,3,16,70,355,603,562,379,337,127,143,160,52,2716
203011035,9,0,33,30,25,16,4,14,0,136,0,0,0,0,0,0,0,0,0,0,9,5,0,5,7,0,8,8,0,40,5,3,23,10,4,11,13,7,8,84,433,635,604,354,289,120,154,225,32,2850
203011036,24,0,25,8,5,4,7,0,0,83,0,0,0,0,0,0,0,0,0,3,10,10,4,7,4,0,5,3,0,43,18,12,16,5,5,5,5,13,5,79,492,624,437,258,205,87,97,145,23,2386
203021037,33,11,91,45,33,29,12,37,0,286,0,0,0,0,0,0,0,0,0,4,8,10,14,20,15,3,8,6,0,92,10,25,21,12,6,6,5,13,24,130,601,1954,846,772,605,263,222,339,87,5690
203021039,26,3,118,49,23,23,19,29,0,288,0,0,0,0,0,3,0,0,0,10,15,24,10,17,13,7,0,10,0,98,12,7,20,9,19,3,9,10,16,97,694,1956,754,675,541,248,128,276,77,5346
203021040,52,9,144,57,47,28,9,33,6,388,0,0,0,0,0,0,0,0,0,4,27,44,13,20,20,6,8,10,4,156,22,24,40,12,16,5,8,19,35,175,1225,2990,1267,1019,921,406,281,434,129,8662
203021042,44,8,102,64,53,48,14,26,3,358,0,0,0,0,0,0,0,0,0,0,20,35,12,36,25,11,3,3,5,146,14,10,10,24,12,11,14,12,22,134,1434,3507,1084,1092,980,453,249,362,114,9280
203021043,32,8,97,67,50,37,38,34,5,369,0,3,0,0,0,0,0,0,0,0,13,25,18,13,11,4,14,10,4,110,15,15,31,12,17,8,22,13,40,176,771,1635,1246,1004,794,318,415,379,113,6677
203021044,17,9,113,56,41,29,15,29,0,316,0,0,0,0,0,0,0,0,0,3,4,16,11,10,7,3,6,5,3,64,14,7,15,7,13,5,6,9,19,109,501,1102,847,708,517,243,201,283,69,4473
203021045,27,10,105,56,17,27,25,59,3,331,0,0,0,0,0,0,0,0,0,3,4,13,10,13,4,0,8,12,0,65,7,6,28,15,6,9,10,29,21,142,335,799,865,837,440,275,257,405,71,4273
203021046,34,6,38,23,18,11,5,10,0,159,0,0,0,0,0,0,0,0,0,0,18,13,0,0,16,11,0,6,3,71,5,8,7,0,6,3,0,6,8,52,766,1725,383,361,412,192,82,142,51,4125
203021047,24,8,94,41,27,34,14,40,6,279,0,0,0,0,0,0,0,0,0,7,13,12,11,13,8,10,5,13,3,85,14,11,28,21,14,15,10,21,28,157,538,1297,837,678,551,269,270,327,93,4866
203021485,29,4,86,43,39,26,15,31,5,275,0,0,0,0,0,0,0,0,0,3,3,3,9,9,3,5,3,10,0,57,10,6,16,15,6,9,7,10,29,98,430,1223,693,699,452,235,168,254,60,4217
203021486,31,12,101,49,26,18,30,49,8,316,0,0,0,0,0,0,0,0,0,11,5,5,7,10,6,0,11,10,0,57,3,3,35,26,17,9,14,37,31,182,286,614,749,794,379,245,386,457,86,3990
203021487,44,7,177,94,55,56,18,52,11,517,0,0,5,0,0,0,0,0,0,8,7,32,11,23,14,6,17,16,5,123,14,18,33,17,17,13,11,14,36,172,976,2666,1513,1375,970,505,369,520,128,9019
203021488,12,0,40,18,10,19,27,24,4,149,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,5,5,4,24,7,3,15,14,0,5,15,29,16,96,114,238,311,405,165,123,213,225,51,1851
203031048,37,4,141,56,26,46,21,40,6,372,0,0,0,0,0,0,0,0,0,7,14,16,7,10,11,7,4,8,4,82,3,5,25,11,13,8,5,15,25,116,612,1320,1002,828,553,263,213,380,87,5252
203031049,17,5,50,25,8,7,0,10,0,122,0,0,0,0,0,0,0,0,0,0,8,15,3,4,4,0,3,3,0,46,4,4,16,6,0,8,0,5,0,49,457,761,302,238,198,123,32,110,34,2260
203031051,15,4,42,22,13,8,7,15,6,135,0,0,0,5,0,0,0,0,0,3,3,8,0,3,7,0,3,0,0,31,10,0,15,18,9,7,5,10,8,84,382,621,410,326,293,124,106,158,53,2471
203031052,5,0,20,0,3,9,0,3,0,44,0,0,0,0,0,0,0,0,0,0,16,11,4,0,7,3,0,0,0,45,10,0,10,4,4,0,0,9,7,44,320,617,210,163,176,78,19,68,43,1688
203031053,47,19,110,45,54,41,5,30,0,356,0,0,0,0,0,0,0,0,0,4,40,46,18,29,23,5,5,9,9,170,33,24,27,14,17,13,11,23,28,185,1773,3520,1303,1013,932,476,135,324,127,9605
203031489,33,14,97,42,28,22,4,18,0,261,0,0,0,0,0,0,0,4,0,4,18,19,9,13,8,8,0,3,7,87,8,16,13,11,13,4,0,3,11,84,686,1470,630,616,464,233,105,183,57,4444
203031490,51,15,113,51,38,28,12,24,0,332,0,0,0,0,0,0,0,0,0,0,25,23,14,21,25,7,7,5,6,122,24,22,27,24,20,16,8,19,10,176,1137,2408,1094,828,713,290,132,252,97,6956
204011054,26,5,54,13,16,11,4,19,4,151,0,0,0,0,0,0,0,0,0,0,10,6,5,0,3,0,3,0,0,19,14,8,12,11,9,6,5,5,5,70,376,387,379,282,200,83,82,152,31,1967
204011055,14,6,33,11,15,8,4,15,0,105,0,0,0,0,0,0,0,0,0,3,8,5,4,6,3,0,0,3,4,36,22,3,7,5,5,4,3,16,6,73,427,413,302,222,181,70,67,189,33,1911
204011056,32,4,82,41,30,20,25,37,9,279,0,0,0,0,0,0,0,0,0,0,6,14,15,26,12,9,14,6,7,105,6,13,29,14,18,5,10,27,26,145,537,993,975,664,541,213,318,334,99,4682
204011057,24,10,70,29,23,26,7,18,0,210,0,0,0,0,0,0,0,0,0,0,6,10,3,6,7,6,0,3,4,46,18,3,16,18,6,5,7,16,11,97,632,715,606,430,313,197,139,235,48,3309
204011058,15,3,26,18,4,4,4,10,0,82,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,26,16,0,11,3,0,0,11,5,4,60,282,245,222,170,113,51,57,141,26,1305
204011059,10,0,32,26,21,12,6,23,0,122,0,0,0,0,0,0,0,3,0,7,3,8,0,0,3,3,4,7,3,30,4,3,12,4,6,0,5,17,10,58,214,285,301,268,165,99,82,164,23,1606
204011060,19,8,15,23,11,5,6,11,4,99,0,0,0,0,0,0,0,0,0,0,23,5,6,16,3,0,0,5,4,62,13,5,13,8,4,0,10,3,9,62,322,310,240,240,143,53,92,91,28,1530
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,7,10,0,0,3,0,49
204011062,11,3,17,5,9,6,0,8,0,56,0,0,0,0,0,0,0,0,0,0,3,11,0,3,7,0,0,3,0,27,9,4,5,4,4,8,5,8,5,53,262,244,219,127,99,54,72,101,20,1197
204021063,21,6,65,33,16,18,9,22,3,199,0,0,0,0,0,0,0,0,0,5,10,14,7,6,8,0,5,5,0,54,10,4,28,9,16,3,8,24,17,128,362,672,505,488,287,147,128,249,56,2902
204021064,13,4,15,13,7,4,0,7,0,56,0,0,0,0,0,0,0,0,0,0,6,0,4,3,5,0,0,0,0,19,14,4,10,5,0,0,4,3,9,49,310,245,208,124,107,50,57,95,20,1222
204021065,15,5,28,24,4,3,7,17,0,100,0,0,0,0,0,0,0,0,0,0,4,6,8,0,3,3,0,0,0,18,8,3,0,3,0,4,7,6,8,44,214,267,207,150,121,46,70,130,24,1235
204021066,49,5,144,64,39,54,27,69,0,451,0,0,0,0,0,0,0,0,0,0,5,10,7,6,9,8,9,10,0,65,23,13,20,13,23,16,17,34,36,183,672,1623,952,1007,575,329,259,427,88,5925
204021067,27,8,56,18,22,18,10,23,3,182,0,0,0,0,0,0,0,0,0,3,17,7,6,9,7,0,6,8,5,57,37,8,15,11,13,17,9,23,15,143,752,845,592,415,330,159,168,255,55,3555
204031068,17,3,44,11,11,6,0,11,0,99,0,0,0,0,0,0,0,0,0,0,6,11,8,0,7,4,0,0,3,37,7,4,8,3,0,5,3,5,13,39,325,599,210,214,140,76,40,117,24,1742
204031069,47,3,90,28,16,22,17,43,0,267,0,0,0,0,0,0,0,0,0,0,13,6,12,10,7,0,0,5,3,49,13,0,16,8,5,10,6,10,6,71,669,762,545,373,253,153,109,259,47,3173
204031070,12,3,17,14,5,6,4,14,0,65,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,14,4,0,9,13,3,6,7,9,12,48,170,218,196,152,104,47,69,84,21,1067
204031071,8,0,33,20,9,9,4,13,0,105,0,0,0,0,0,0,0,6,0,4,0,3,3,3,7,0,6,4,0,27,5,0,11,8,3,9,12,12,4,61,216,313,260,202,141,80,85,135,17,1456
204031072,20,0,24,15,14,4,3,14,0,102,0,0,0,0,0,0,0,0,0,5,4,8,7,0,0,0,0,3,3,33,19,3,5,10,9,5,12,17,6,75,431,383,289,222,183,68,93,156,37,1860
204031073,22,12,105,58,42,34,22,41,0,334,0,0,0,0,0,0,0,4,0,9,12,11,3,13,3,3,3,10,0,66,7,5,15,9,10,7,11,13,25,95,592,1052,756,754,594,247,253,335,73,4649
204031075,14,0,23,9,11,8,7,10,0,81,0,0,0,0,0,0,0,0,0,0,13,8,3,3,0,0,3,0,0,29,7,0,12,4,10,4,4,13,3,61,389,561,303,179,184,72,93,126,23,1927
204031491,23,10,77,62,34,30,15,18,3,281,0,0,0,6,0,0,0,0,0,7,10,12,3,10,15,0,10,4,0,62,15,16,8,12,10,5,16,0,15,102,667,1296,818,748,566,188,222,190,55,4747
204031492,35,8,103,42,33,23,33,40,7,322,0,0,0,0,0,3,0,3,0,14,3,10,9,16,13,9,9,4,0,67,14,8,24,17,6,14,21,31,21,154,455,1010,796,778,483,251,271,357,76,4480
205011076,44,12,116,50,51,39,28,34,6,373,0,0,0,0,4,0,0,0,0,8,17,8,10,15,9,3,0,9,6,80,17,15,22,19,18,12,23,27,28,178,718,1220,1197,865,627,320,333,501,102,5878
205011077,10,0,34,14,12,9,5,9,0,95,0,0,0,0,0,0,0,0,0,4,4,5,11,3,0,8,4,8,0,35,26,0,18,6,8,3,6,14,7,81,424,443,399,251,176,99,98,156,29,2077
205011078,26,5,32,29,12,14,6,18,5,142,0,0,0,0,0,0,0,0,0,4,3,4,3,0,5,3,4,7,0,28,11,4,12,6,8,4,9,13,8,78,417,572,455,359,270,98,138,186,33,2526
205011079,35,9,122,73,46,42,13,59,5,409,0,0,0,3,0,0,0,0,0,3,17,19,10,24,17,6,14,13,0,123,27,16,32,24,20,9,14,31,37,206,1008,2145,1221,1054,796,353,316,586,104,7581
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,25,4,76,58,42,40,14,56,0,316,0,0,0,0,0,0,0,3,0,8,8,3,8,8,7,8,0,7,0,51,9,7,26,12,17,9,10,25,22,138,459,990,687,643,474,250,186,336,75,4090
205021082,19,4,43,22,14,12,8,23,0,146,0,0,0,0,0,0,0,4,0,4,18,8,6,4,6,0,4,0,0,53,20,4,23,17,6,11,6,15,21,121,477,476,437,336,257,101,126,213,64,2490
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,41,7,55,36,21,14,4,32,4,214,0,0,0,0,0,0,0,0,0,0,8,14,0,3,4,0,4,5,0,37,11,4,17,12,7,17,8,19,22,112,387,567,417,435,272,140,102,217,58,2588
205021085,22,6,30,18,12,15,4,16,0,114,0,0,0,0,0,0,0,0,0,0,0,3,5,9,4,0,3,0,3,24,11,6,11,6,3,11,12,30,11,97,321,353,200,245,135,65,81,165,29,1596
205021086,7,5,38,13,17,11,0,21,0,109,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,4,5,0,6,30,4,6,13,6,7,9,4,6,7,64,243,416,254,256,177,107,54,92,27,1625
205031087,34,0,59,16,10,21,0,17,3,165,0,4,0,0,0,0,0,0,0,4,12,14,7,5,5,3,0,4,0,40,23,6,13,7,6,8,14,18,15,108,614,606,389,291,227,124,106,234,52,2640
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,3,37
205031089,23,0,63,23,18,23,12,19,3,183,0,0,0,0,0,0,0,0,0,0,11,7,7,7,0,4,9,0,5,48,17,4,24,13,11,5,10,16,10,104,526,585,574,377,284,140,179,232,53,2944
205031090,22,8,59,18,22,16,9,30,7,189,0,0,0,0,0,0,0,0,0,0,3,15,3,12,3,0,3,9,0,51,15,6,24,7,6,16,11,10,10,104,530,860,608,413,323,160,163,217,43,3317
205031091,45,6,102,33,19,39,9,29,4,291,0,0,0,0,0,0,0,0,0,3,9,16,8,16,4,4,0,4,0,69,20,8,29,12,14,16,0,22,13,128,610,973,696,526,354,269,79,294,62,3867
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
205031093,75,10,158,75,45,54,29,68,6,511,0,0,0,0,0,0,0,0,0,3,15,17,11,19,8,3,6,7,6,96,43,15,53,24,22,38,25,46,34,289,1090,1821,1279,996,729,441,293,505,125,7274
205041094,9,9,49,34,30,18,4,16,3,162,0,0,0,0,0,0,0,0,0,0,7,13,12,11,6,5,9,3,0,66,9,12,18,16,6,8,12,19,16,128,412,761,735,488,380,165,227,221,58,3465
205041095,22,14,80,46,35,27,9,30,7,268,0,0,0,0,0,0,0,0,0,0,9,9,9,8,6,0,0,6,7,58,16,14,30,22,16,17,9,29,26,185,364,726,942,764,498,215,223,342,84,4160
205041096,23,0,72,38,20,18,10,25,6,216,0,0,0,0,0,0,0,0,0,4,3,0,16,3,7,0,3,9,0,48,7,12,18,19,8,10,17,27,23,139,213,497,556,512,333,157,186,249,64,2773
205041098,9,3,21,19,3,9,5,12,0,86,0,0,0,0,0,0,0,0,0,0,3,7,5,0,3,0,5,0,0,25,4,0,17,0,0,3,6,11,7,54,152,277,353,209,176,55,124,112,27,1490
205041493,25,4,62,39,45,28,11,19,3,234,0,0,0,0,0,0,0,0,0,0,7,7,11,9,9,0,4,9,4,55,13,6,27,13,9,5,10,16,11,112,380,891,649,499,408,183,192,211,56,3461
205041494,36,13,105,58,68,25,8,35,0,352,0,0,0,0,0,0,0,0,0,3,3,7,16,10,8,3,11,5,3,60,9,6,15,14,14,0,14,15,20,113,596,1680,1005,686,721,218,231,318,84,5536
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
205051100,10,9,16,15,3,10,8,10,0,70,0,0,0,0,0,0,0,0,0,0,4,5,8,3,0,0,0,0,0,26,15,5,11,3,7,4,5,8,10,63,282,384,256,180,111,46,58,88,26,1424
205051101,33,10,88,32,31,26,11,33,3,262,0,0,0,0,0,0,0,0,0,0,12,3,16,5,5,0,9,7,0,60,26,17,31,15,5,16,18,33,20,174,602,894,891,613,372,149,264,334,66,4181
205051102,9,0,26,3,9,3,6,11,0,72,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,0,0,6,0,20,17,3,12,4,4,7,6,16,6,75,247,210,231,151,96,40,71,129,25,1199
205051103,36,8,97,52,25,27,4,39,3,298,5,0,0,0,0,0,0,0,0,6,16,19,7,4,3,6,3,5,0,63,18,11,15,14,12,9,8,15,10,97,599,1348,737,709,432,209,136,258,68,4493
205051104,11,0,29,6,6,9,0,13,0,77,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,0,18,8,0,11,8,5,4,3,12,6,63,276,263,229,187,108,72,84,149,25,1392
206011106,20,26,77,32,19,10,5,13,0,200,0,0,0,4,0,0,0,0,0,4,42,86,9,13,24,12,0,7,9,199,20,21,11,8,9,6,4,0,24,96,1194,3709,511,516,764,282,81,159,98,7327
206011107,27,15,88,42,20,17,3,25,0,235,0,0,0,0,0,0,0,0,0,5,32,60,10,22,19,5,13,4,9,171,12,20,14,5,16,5,3,9,24,119,1004,3133,615,667,785,291,154,244,98,6987
206011109,18,3,36,26,20,11,12,10,0,137,0,0,0,0,0,0,0,0,0,0,21,23,6,12,12,5,0,3,3,83,4,16,7,10,5,6,3,4,25,83,755,1660,447,328,560,203,82,110,69,4204
206011495,31,14,72,41,25,14,6,15,0,216,5,0,0,0,0,0,0,0,0,7,45,65,15,24,34,11,3,9,4,206,8,20,9,8,12,3,3,0,15,79,999,3298,524,581,706,273,87,193,87,6748
206011496,14,9,82,20,20,14,5,13,0,177,0,0,0,0,5,0,0,0,0,10,34,78,10,20,40,9,4,0,3,199,8,19,6,7,10,5,0,4,20,87,1122,3712,512,579,727,290,78,155,95,7270
206011497,27,7,80,33,16,10,7,21,7,199,0,0,0,0,0,0,0,0,0,4,31,49,4,29,26,11,10,0,0,158,14,14,8,6,14,5,5,10,9,86,804,2487,552,570,583,286,105,185,73,5649
