SA2_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201021009,19,10,27,0,0,0,0,0,0,0,0,0,0,0,0,1067,771,1838,63,55,117,41,0,42,0,0,0,4,4,6,14,6,14,35,36,70,1231,886,2121,0,0,0,0,0,0,0,3,4,0,5,9,0,0,0,7,0,7,11,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20,21,15,35,0,0,3,0,0,0,0,0,0,0,0,3,277,362,645,126,226,351,16,11,32,1680,1501,3182
201021010,5,0,5,0,4,9,0,0,0,0,0,0,4,0,4,1136,933,2074,37,68,107,33,0,33,3,0,3,6,0,6,11,3,13,64,51,117,1301,1067,2368,5,0,5,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,11,8,18,0,0,0,0,0,0,0,0,0,4,0,4,313,310,626,131,259,385,12,14,29,1774,1650,3430
201021011,3,3,8,0,0,0,0,0,0,0,0,0,4,5,6,1126,917,2043,76,72,153,38,0,41,6,0,3,8,5,15,23,13,33,97,89,192,1385,1108,2495,0,0,0,0,0,0,0,0,0,4,3,5,0,0,5,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,9,18,18,6,30,0,5,5,0,0,0,0,0,0,0,5,5,663,664,1326,235,346,580,22,14,33,2325,2148,4470
201021012,8,4,12,6,6,14,0,0,0,0,0,0,0,0,0,1035,815,1843,57,56,112,43,0,45,5,0,5,11,0,11,16,0,13,48,21,73,1225,906,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,8,5,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,19,0,19,27,5,38,5,0,5,0,0,0,0,0,3,4,4,11,279,344,625,136,207,347,14,23,36,1692,1488,3179
201031013,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,419,360,777,26,24,50,19,0,19,0,0,0,3,0,4,3,4,9,33,30,65,513,425,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,132,110,242,69,71,142,15,9,21,736,618,1348
201031014,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,618,516,1140,36,30,67,26,0,26,3,0,3,0,0,0,4,7,8,41,27,63,736,584,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,151,160,306,69,141,213,16,5,17,979,903,1882
201031015,3,0,3,0,5,3,0,0,0,3,0,3,0,0,0,792,577,1375,53,34,92,29,0,29,3,0,3,0,0,0,6,3,8,18,13,38,908,640,1549,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,4,6,8,4,13,9,5,20,4,0,4,0,0,0,0,0,3,0,0,3,151,203,354,91,145,232,15,14,25,1171,1009,2185
201031016,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,974,924,1895,83,85,170,20,0,20,5,3,4,13,4,20,5,4,11,60,94,153,1161,1119,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,56,106,159,114,186,299,16,9,29,1357,1429,2778
201031017,5,0,5,3,0,3,0,0,0,0,0,0,3,0,3,693,607,1303,44,38,83,20,0,19,0,0,0,3,0,3,9,3,9,38,23,60,814,678,1494,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,14,13,5,12,0,0,0,0,0,0,0,0,0,0,0,0,99,105,206,89,149,244,11,14,26,1026,950,1982
202011018,12,7,19,16,42,54,0,0,0,0,0,0,11,7,19,2134,1798,3926,162,183,349,23,0,23,26,4,25,50,22,75,11,10,22,231,264,493,2679,2333,5009,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,8,4,4,3,8,4,10,13,23,18,36,29,31,61,3,0,6,3,0,3,0,0,0,8,0,8,374,484,858,258,485,742,20,18,40,3364,3351,6715
202011019,3,0,3,15,18,31,3,0,3,0,0,0,5,0,3,2055,1819,3872,151,153,310,41,0,38,9,0,12,19,10,30,0,4,8,41,33,72,2335,2039,4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,11,4,12,20,9,36,37,19,51,0,0,0,0,3,3,0,0,0,0,3,7,187,318,506,214,432,645,18,8,33,2801,2819,5616
202011020,3,8,8,23,25,50,0,0,0,3,0,3,0,10,11,2106,1868,3972,119,173,287,30,0,30,24,4,23,35,20,58,15,11,32,82,83,159,2441,2193,4640,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,3,0,9,0,0,0,0,0,0,4,0,4,3,0,3,0,0,5,9,0,9,25,18,40,32,21,55,0,0,0,0,4,4,4,0,4,0,6,3,429,525,956,283,466,750,9,12,24,3197,3217,6416
202011021,4,4,10,23,19,44,0,0,0,0,0,0,0,7,9,1400,1371,2767,95,130,221,13,0,13,14,0,18,39,14,57,13,3,16,64,61,128,1662,1625,3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,11,0,4,4,7,6,14,15,14,30,18,19,40,0,0,0,0,0,0,0,0,0,0,0,3,325,428,756,205,385,595,4,5,14,2224,2465,4688
202011022,11,3,15,26,54,83,0,0,4,0,0,0,6,7,9,3179,2814,6000,234,239,474,43,0,43,22,6,29,42,10,53,21,10,27,77,55,134,3668,3200,6867,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,0,3,5,4,11,0,0,0,0,0,0,3,3,5,4,10,11,0,0,3,11,15,24,26,15,49,47,34,81,0,3,3,0,3,3,0,0,0,0,3,11,430,630,1065,352,696,1048,21,16,36,4522,4583,9108
202011023,0,0,0,3,6,5,0,0,0,0,0,0,0,0,3,1057,869,1927,71,70,140,22,0,22,4,0,4,6,0,15,3,5,9,6,10,19,1179,962,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,7,16,8,10,20,0,0,6,0,0,0,0,0,0,0,0,6,165,238,408,129,219,347,0,4,3,1490,1431,2918
202011024,3,0,3,14,10,19,0,0,0,0,0,0,0,0,3,1789,1551,3340,119,126,242,22,4,28,5,0,8,12,0,11,6,3,7,16,22,38,1994,1713,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,6,20,19,9,25,0,0,0,3,0,3,0,0,0,5,0,5,421,536,956,251,401,648,15,11,23,2693,2673,5368
202011025,3,0,5,21,24,47,0,0,0,3,0,3,0,0,3,2529,2143,4676,133,167,305,50,0,50,19,0,24,16,7,29,6,4,16,38,38,68,2819,2396,5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,9,10,0,0,0,4,9,10,11,12,31,23,18,43,0,0,0,0,0,0,0,0,3,0,4,0,318,468,782,298,541,845,25,16,39,3484,3438,6926
202021026,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1497,1222,2716,81,79,161,54,0,54,7,0,7,7,0,7,11,6,13,37,20,63,1700,1326,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,7,4,9,7,6,15,0,0,0,0,0,0,0,0,0,0,0,3,299,438,734,198,337,531,22,22,36,2223,2122,4350
202021027,22,26,53,3,0,10,5,0,5,0,0,0,0,6,10,1123,1047,2173,72,81,159,30,0,30,9,0,9,52,34,88,11,0,16,107,90,193,1441,1302,2740,5,5,6,0,0,0,3,0,3,0,0,3,0,0,0,8,4,16,19,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,10,31,11,41,0,0,0,0,0,0,0,0,0,0,5,0,513,656,1174,205,371,577,11,11,23,2209,2349,4557
202021028,7,9,17,9,3,11,0,0,0,0,3,3,0,0,3,1207,1021,2227,60,56,110,27,0,29,0,0,0,14,6,15,15,3,15,82,58,144,1422,1152,2574,0,3,3,0,0,0,0,0,0,10,0,10,3,0,4,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,3,20,27,8,38,0,0,0,0,0,0,0,0,0,0,0,0,471,535,1005,204,298,497,29,18,44,2151,2011,4162
202021029,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,711,528,1240,30,21,54,21,0,21,4,0,3,0,0,0,10,0,9,26,16,39,805,573,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,3,11,0,0,0,0,0,0,0,0,0,4,0,4,131,182,311,86,137,225,13,10,20,1039,907,1948
202021030,25,16,43,5,0,4,0,0,0,0,0,0,0,0,0,1328,1139,2465,90,109,198,44,0,42,5,0,5,15,6,21,12,5,13,85,98,186,1605,1371,2975,0,0,0,0,0,0,0,4,3,11,0,14,3,3,7,7,0,7,19,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,28,10,39,3,5,7,0,0,0,0,0,4,0,11,9,641,695,1341,237,353,583,18,22,35,2526,2457,4980
202021031,28,27,56,0,4,4,0,0,0,0,0,0,0,0,0,904,728,1627,61,63,118,23,0,25,3,0,5,10,5,14,8,10,18,34,45,81,1074,881,1953,0,0,0,0,0,0,0,5,4,6,0,6,0,0,0,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,3,20,4,0,4,0,0,0,0,0,0,4,0,4,649,647,1295,157,317,474,5,10,12,1902,1862,3764
202031032,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,765,620,1386,42,43,82,30,0,30,7,0,7,5,0,3,4,7,12,40,24,67,895,699,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,9,4,11,0,0,0,0,0,0,0,0,0,0,0,0,160,186,345,86,165,257,14,11,28,1160,1066,2230
202031033,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,871,704,1576,49,49,96,35,3,33,8,5,12,6,3,9,27,10,33,127,107,233,1117,888,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,9,5,7,0,0,0,0,0,0,0,0,0,4,0,6,311,262,576,83,155,237,23,20,42,1539,1342,2879
203011034,8,0,6,4,0,6,0,0,0,0,0,0,0,0,0,1396,1084,2488,61,62,127,64,0,64,6,0,3,4,0,3,3,3,6,26,23,53,1574,1180,2756,0,0,0,0,0,0,0,0,0,6,5,10,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,11,7,13,18,14,29,5,0,5,0,0,0,0,0,0,5,0,5,232,378,608,187,299,484,9,9,19,2017,1877,3891
203011035,9,0,11,6,0,7,0,0,0,0,0,0,0,0,0,1445,1037,2489,62,64,120,57,4,59,12,0,11,4,3,7,13,4,15,54,34,86,1653,1149,2800,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,7,5,0,7,15,6,21,0,0,0,0,0,0,3,0,3,3,0,9,316,413,728,162,300,459,12,18,26,2155,1879,4043
203011036,0,0,3,7,8,12,0,0,5,0,0,0,0,0,0,1084,843,1923,47,46,97,37,0,38,4,0,6,6,3,7,5,4,10,55,52,106,1247,960,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,16,4,20,18,11,25,0,0,0,0,0,0,4,0,4,0,0,0,337,409,742,148,222,368,16,19,32,1763,1611,3371
203021037,20,8,25,37,57,94,0,0,0,0,0,0,10,9,18,2379,1888,4269,120,161,286,18,0,18,20,4,24,46,8,56,18,11,31,74,82,161,2755,2236,4989,3,0,0,0,0,0,6,0,6,11,5,13,0,4,4,3,3,7,16,15,30,0,0,0,0,0,0,3,0,0,0,5,12,0,0,0,8,7,18,14,9,24,36,37,72,3,4,4,0,6,5,0,0,0,4,10,8,616,829,1449,326,600,932,13,16,32,3756,3726,7480
203021039,45,18,68,28,53,79,5,4,5,0,0,0,10,10,16,1913,1551,3467,93,141,233,23,0,23,23,6,25,61,43,106,17,13,32,252,346,594,2469,2182,4654,0,0,0,0,0,0,7,0,7,3,3,9,0,0,0,4,0,9,12,6,21,0,0,0,0,0,0,0,3,3,6,0,8,8,4,9,11,8,18,30,18,47,53,29,86,0,3,4,0,0,8,0,5,5,5,9,11,651,826,1478,298,567,862,9,11,27,3495,3631,7121
203021040,39,35,74,37,65,105,0,0,0,0,0,0,16,21,40,3470,2864,6331,156,249,403,24,0,24,17,6,19,97,26,120,18,14,29,132,168,304,4013,3436,7451,6,3,12,0,0,0,0,0,0,10,4,19,0,0,3,6,0,6,24,16,40,5,0,5,0,0,0,0,0,0,7,0,5,0,3,7,9,9,16,28,19,50,58,41,107,11,6,13,0,0,3,4,0,7,15,6,19,1116,1426,2551,444,859,1305,17,22,40,5665,5801,11470
203021042,29,19,50,38,48,91,0,0,0,0,0,5,11,8,19,3662,3219,6884,206,277,483,31,0,34,20,0,21,66,19,81,26,11,34,74,75,142,4165,3675,7846,0,0,0,0,0,0,0,3,3,18,9,21,0,5,5,4,0,4,25,11,36,0,0,0,0,0,0,8,0,3,4,5,7,3,3,9,14,3,18,30,15,46,67,31,100,3,7,10,0,0,0,0,3,3,6,10,20,1397,1451,2849,553,966,1520,21,24,45,6222,6156,12375
203021043,85,54,139,6,15,24,0,0,4,0,0,0,3,6,8,3402,2650,6054,223,174,398,77,5,75,16,0,22,13,0,17,24,12,35,40,59,103,3903,2970,6870,0,13,17,0,0,0,5,7,9,26,7,36,0,7,7,10,0,10,37,39,76,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,5,4,37,21,55,78,52,134,9,13,20,0,0,0,0,0,0,9,13,23,778,1057,1833,392,654,1040,16,11,33,5169,4763,9936
203021044,8,0,12,25,22,50,6,0,0,0,0,0,6,0,9,2273,1921,4192,108,120,224,37,0,37,5,3,12,14,4,17,13,8,22,29,42,75,2524,2132,4651,3,0,3,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,5,12,9,25,22,19,49,5,4,5,0,6,6,0,0,0,5,3,7,367,562,927,272,535,799,13,12,30,3205,3260,6464
203021045,14,6,21,38,41,77,0,0,0,0,0,0,12,15,28,2327,1932,4264,184,170,349,40,0,40,20,6,23,45,9,59,15,9,25,44,52,99,2739,2243,4980,0,3,5,0,0,0,0,0,0,9,0,6,0,0,0,0,3,7,8,9,13,0,0,0,0,0,0,0,0,0,0,4,8,0,3,5,4,7,8,25,13,40,41,23,61,5,0,4,0,0,5,3,0,3,6,3,11,293,478,768,281,502,784,25,19,38,3385,3263,6647
203021046,22,9,27,14,25,33,0,0,0,0,0,0,5,9,13,1507,1228,2735,81,102,186,13,0,13,9,4,9,46,22,67,3,8,9,108,132,240,1806,1526,3338,5,0,7,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,4,5,6,13,9,25,24,16,43,0,0,4,3,0,3,0,0,0,8,0,8,632,725,1362,220,401,615,7,6,14,2694,2673,5376
