SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
209011202,329,18,349,3207,1071,80,4361,8602,407,13366
209011203,526,25,558,3710,877,67,4653,9997,436,15083
209011204,190,7,204,1713,414,44,2177,5117,243,7539
209021205,245,30,275,1452,342,20,1811,6759,523,9096
209021428,405,23,432,3054,635,54,3748,13294,825,17870
209021429,243,65,301,2317,457,49,2827,7231,473,10536
209021523,360,80,442,2258,465,31,2753,8977,876,12607
209021524,404,62,475,1323,414,21,1760,6054,516,8328
209021525,401,122,522,1779,389,35,2200,7857,864,10925
209021526,271,35,320,2545,388,41,2974,7985,642,11608
209031209,256,51,307,4593,1571,109,6271,12164,573,19006
209031210,26,4,26,700,224,27,953,1820,82,2850
209031211,22,6,24,680,209,16,911,2177,355,3443
209031212,51,3,54,790,369,30,1182,2874,239,4293
209031213,227,12,240,1701,594,31,2327,5219,229,7783
209031214,62,3,67,1288,482,53,1828,3598,203,5624
209031215,180,9,183,2753,865,93,3703,7679,284,11669
209041216,136,17,157,1099,310,6,1413,4563,297,6270
209041217,157,15,172,819,318,15,1155,3913,300,5364
209041220,277,14,288,2567,907,47,3528,10685,584,14798
209041221,117,5,129,1682,590,38,2307,6745,418,9476
209041223,502,28,536,2623,886,56,3566,12412,907,16884
209041224,105,3,106,4774,1000,147,5920,10112,1003,17036
209041225,216,36,251,1933,528,44,2500,5407,652,8558
209041431,86,264,347,2069,556,54,2674,6842,1172,10688
209041432,158,20,170,1155,320,7,1483,4946,461,6895
209041433,41,9,47,2669,367,47,3089,5435,415,8934
209041435,44,3,45,2687,414,50,3154,6183,303,9639
209041436,288,48,335,2208,486,38,2731,6947,457,10137
209041437,36,6,48,5974,609,72,6650,9753,897,17301
209041527,53,4,63,3935,714,126,4778,6786,379,11940
209041528,21,0,21,2676,418,63,3155,4177,242,7580
209041529,279,13,293,1334,323,16,1675,6104,560,8340
209041530,321,24,350,2115,538,34,2695,7444,684,10821
209041531,51,0,51,2708,476,45,3231,4885,313,8429
209041532,29,0,29,2991,439,59,3488,4748,400,8640
210011226,242,20,265,1395,363,22,1783,4784,251,6821
210011227,0,0,0,0,0,0,0,10,5,13
210011228,258,25,285,1408,489,21,1927,4943,260,7129
210011230,187,21,216,1380,341,29,1751,4119,260,6129
210011231,196,15,213,1934,528,29,2492,5395,252,8144
210011533,568,31,607,1950,588,31,2567,7381,457,10411
210011534,491,18,514,2573,748,35,3351,8578,496,12424
210021232,183,65,254,2887,703,100,3686,6835,525,11047
210021233,24,4,34,665,209,21,896,1737,159,2793
210021234,29,0,33,826,272,17,1110,2323,168,3603
210021235,85,13,99,1950,590,57,2595,5494,563,8656
210031236,263,74,337,1531,220,40,1792,4697,447,6931
210031237,480,42,520,2289,431,45,2761,7467,803,11032
210031439,55,9,71,588,126,18,730,1705,82,2511
210031440,217,18,231,989,191,24,1209,3518,326,5051
210031535,458,45,508,2143,400,45,2587,8587,936,12103
210031536,219,106,319,1434,245,18,1698,5083,622,7409
210031537,193,17,204,1394,253,20,1668,4594,312,6579
210031538,552,52,607,3172,524,44,3738,9781,675,14188
210041240,170,8,183,2494,825,85,3410,7202,444,11052
210041539,15,0,14,1098,200,24,1317,2579,226,4122
210041540,342,36,380,2695,788,72,3549,8015,644,12213
210041541,106,4,110,2072,648,55,2777,5840,387,9007
210051242,202,22,221,1740,334,14,2091,7580,1388,11061
210051243,289,39,327,2112,495,41,2644,8781,1140,12570
210051245,310,33,352,2642,943,59,3643,10585,743,14973
210051246,122,0,132,4007,977,55,5033,11716,708,17455
210051247,109,0,108,1873,455,34,2361,8360,969,11694
210051248,0,0,0,12,7,0,18,46,43,112
210051250,102,9,117,960,266,16,1243,4006,333,5577
210051441,56,3,59,1281,339,32,1658,4319,400,6378
210051442,45,5,50,2533,422,54,3009,5688,467,9158
210051443,79,4,85,4156,648,57,4865,10494,964,16320
210051445,34,7,43,5699,674,99,6475,9017,1088,16581
210051542,14,3,17,2393,210,28,2634,3855,338,6825
210051543,65,55,113,2712,332,44,3086,5825,645,9550
210051544,62,7,64,1275,321,29,1631,5579,425,7628
210051545,92,12,99,2281,382,44,2706,7623,649,10973
211011251,271,60,338,2122,590,50,2756,7264,503,10526
211011254,202,31,230,3135,807,64,4008,9123,476,13601
211011255,37,8,51,1157,350,24,1534,3755,168,5459
211011256,250,24,272,2634,791,51,3473,9088,338,12895
211011257,122,11,134,1488,362,29,1881,4390,172,6444
211011258,144,7,151,1764,492,38,2293,6169,249,8702
211011259,293,111,404,2633,887,55,3570,7598,527,11696
211011260,645,64,708,2740,1129,64,3927,10859,499,15288
211011446,567,58,626,4025,1193,98,5317,13281,976,19578
211011447,325,27,354,2377,707,86,3171,8077,492,11741
211011448,210,19,226,2703,819,77,3598,8584,438,12617
211011449,39,3,43,879,250,19,1152,2207,126,3478
211021261,493,55,550,2754,915,75,3745,9336,437,13521
211021262,190,7,198,1752,723,43,2515,5665,260,8448
211031263,165,116,278,2142,588,65,2801,6445,484,9729
211031265,175,74,249,3370,1103,103,4571,9684,472,14729
211031266,471,108,584,3348,826,89,4262,10480,779,15521
211031267,440,64,505,4115,1056,84,5254,11180,657,17087
211031268,192,14,208,1829,632,53,2512,5191,186,7893
211031450,342,30,372,2790,835,88,3711,8961,543,13218
211031451,512,72,595,2540,769,52,3359,7744,481,11586
211031452,77,5,82,981,308,32,1312,2459,131,3905
211041269,418,32,456,1860,468,34,2359,6277,380,9024
211041270,302,27,326,3286,724,63,4075,9349,393,13818
211041271,363,72,437,2357,451,44,2855,6814,565,10232
211041272,225,24,257,2318,507,44,2867,5606,254,8729
211041273,339,155,495,1867,701,28,2597,7088,513,10192
211051274,70,7,79,2022,601,67,2685,5115,304,8109
211051275,156,8,165,2220,746,65,3033,6099,347,9474
211051276,335,34,374,2278,894,98,3272,7701,701,11666
211051277,272,11,280,1733,527,56,2319,5461,277,8061
211051278,412,41,445,3292,1149,118,4560,10969,653,16176
211051279,90,3,94,985,398,48,1437,3096,197,4732
211051280,199,17,213,1332,432,51,1820,3578,187,5582
211051281,312,31,346,4296,1338,177,5810,12091,654,18556
211051282,108,3,113,1786,589,60,2440,5287,293,8021
211051283,75,5,76,1908,591,64,2563,5096,179,7831
211051284,77,0,81,1980,572,63,2613,5093,230,7941
211051285,80,11,94,1466,486,59,2011,4133,263,6401
211051286,265,31,295,2750,1009,132,3893,8843,1060,13803
212011289,197,24,227,3486,1080,123,4694,9280,935,14914
212011546,105,17,125,5122,1008,123,6253,11140,776,18171
212011547,141,28,174,1645,581,51,2281,5000,645,7928
212011548,151,29,185,1838,538,78,2457,5018,488,7964
212011549,195,44,234,3166,727,117,4009,7059,663,11729
212011550,32,3,28,1684,326,46,2059,3277,212,5551
212011551,133,28,163,964,292,32,1287,3556,447,5282
212011552,297,58,360,5575,1063,190,6834,12137,1039,20013
212021293,754,88,842,3800,1221,90,5107,13159,873,19137
212021295,181,22,200,1669,340,44,2053,6611,902,9564
212021297,280,35,314,1693,413,29,2136,6435,645,9211
212021299,140,55,197,1282,498,45,1825,4568,386,6782
212021453,177,14,198,1894,566,50,2517,6957,552,10023
212021454,156,10,167,2088,703,46,2833,7572,553,10954
212021455,135,9,148,2304,572,53,2928,7394,582,10903
212021456,198,19,217,2400,621,65,3085,8005,786,11882
212021553,80,6,87,3884,704,95,4686,8331,527,13539
212021554,60,0,62,2643,412,67,3119,5012,326,8461
212031300,216,24,245,3370,942,88,4402,11224,1356,16979
212031303,157,16,172,3838,856,129,4819,7708,637,13173
212031304,131,12,151,4896,793,139,5828,9235,754,15816
212031306,157,5,163,3940,616,68,4626,8187,629,13442
212031308,82,8,89,1392,489,62,1940,4156,402,6493
212031457,76,4,82,2422,597,45,3060,7018,338,10422
212031458,101,12,114,3070,650,90,3811,8563,549,12921
212031555,20,0,20,2734,318,37,3086,4070,278,7432
212031556,5,3,5,3989,447,76,4517,5440,466,10423
212031557,196,22,221,5420,804,124,6342,9809,803,16959
212031558,200,23,222,2909,428,78,3419,5040,511,8972
212031559,34,10,45,3081,423,53,3554,5126,349,9026
212031560,54,9,61,2175,571,69,2814,5874,498,9192
212031561,78,6,83,1995,476,56,2525,6667,717,9906
212031562,90,6,107,2134,484,51,2665,7155,759,10583
212041309,366,24,395,1707,601,25,2331,7100,395,9822
212041310,260,14,283,1915,405,38,2357,8474,664,11495
212041312,493,48,543,3402,950,61,4404,12896,1285,18590
212041313,285,29,321,1842,613,35,2494,5860,299,8649
212041316,110,8,115,1129,314,37,1478,4362,351,6197
212041317,533,78,614,2789,655,46,3483,14225,1317,19023
212041318,207,17,229,1712,494,32,2239,7775,530,10544
212041459,293,29,327,1842,335,28,2208,7609,854,10664
212041460,401,27,428,2666,563,42,3271,12114,1008,16387
212041563,488,52,541,2831,517,42,3379,12416,2010,17806
212041564,122,21,141,1270,249,12,1527,5206,580,7308
212041565,311,27,339,2108,686,46,2838,9125,601,12566
212041566,110,3,119,3234,568,46,3855,7554,308,11711
212051319,502,28,531,3421,689,47,4158,11350,779,16276
212051321,593,81,686,3762,1028,33,4820,12478,661,17962
212051322,620,88,712,3628,800,39,4467,12249,882,17597
212051323,483,32,524,2907,664,36,3609,9248,513,13372
212051324,625,41,665,3556,759,42,4351,10982,636,15973
212051325,434,86,519,3515,877,41,4440,11147,782,16370
212051326,631,19,660,3853,787,45,4682,13786,821,19296
212051327,975,191,1178,3217,1246,57,4527,12265,846,17634
212051567,207,30,230,706,192,11,906,7345,903,9153
212051568,188,109,295,1405,245,20,1673,8206,918,10798
213011328,175,10,186,1008,239,22,1263,4446,625,6338
213011329,88,3,92,1681,477,24,2191,5529,394,8106
213011331,93,7,96,1133,336,18,1489,4904,392,6782
213011332,234,4,249,1785,848,37,2668,7755,593,11015
213011333,121,10,136,1875,656,44,2574,7976,827,11374
213011334,354,30,391,2629,627,39,3292,12023,1770,17088
213011335,296,224,529,2076,601,26,2702,10390,1644,14732
213011336,219,12,229,1420,290,29,1733,5578,597,7909
213011337,316,20,338,1557,409,39,2009,7250,782,10039
213011338,364,43,412,2552,689,50,3286,11030,1143,15469
213011339,280,15,296,1847,444,38,2321,6938,503,9760
213011340,227,14,241,2335,1066,48,3450,10608,485,14543
213011569,143,11,157,2778,644,59,3479,9668,1191,14339
213011570,18,0,16,1977,251,38,2267,3616,337,6222
213021341,360,29,398,2417,598,63,3075,7565,534,11172
213021342,381,22,402,2954,849,62,3865,10808,779,15453
213021343,548,48,606,2470,469,47,2990,8256,786,12035
213021344,275,37,320,4204,641,74,4919,9162,633,14718
213021345,38,6,44,990,184,20,1187,2534,191,3907
213021346,274,27,303,2934,718,38,3695,8917,507,13118
213031347,217,80,296,2725,535,57,3317,11535,1226,16085
213031348,256,70,334,1970,439,29,2441,11551,1321,15318
213031349,106,8,114,1907,463,25,2389,7998,457,10841
213031350,136,5,147,1935,256,43,2231,4969,276,7482
213031351,145,25,169,2141,333,50,2521,6522,674,9714
213031352,274,21,293,3088,402,64,3555,8473,482,12506
213041353,398,28,431,4604,1325,133,6065,12583,919,19557
213041358,94,6,104,4090,996,130,5215,9439,1116,15765
213041359,20,4,22,3804,446,61,4307,5928,3000,13237
213041360,107,3,108,4399,621,69,5095,8957,568,14614
213041461,138,65,200,1045,238,13,1295,3028,272,4594
213041462,13,0,11,1551,206,24,1783,2601,152,4541
213041463,87,5,95,4060,723,71,4859,10199,762,15819
213041571,93,16,107,1879,446,48,2374,4476,425,7269
213041572,9,0,9,1918,231,42,2196,2702,372,5273
213041573,3,0,6,767,120,25,910,1155,74,2130
213041574,15,0,15,2418,289,42,2746,4247,324,7309
213041575,70,5,75,2972,673,44,3686,8813,510,13013
213041576,94,9,106,2073,583,66,2724,5824,524,9067
213041577,94,8,109,1085,385,23,1493,4253,656,6405
213041578,154,17,165,2954,589,81,3627,7427,1158,12210
213051361,169,19,185,2888,913,56,3859,10323,854,15032
213051362,158,8,167,2892,870,54,3818,10260,1035,15111
213051363,53,5,55,2101,318,45,2467,5915,776,9147
213051368,385,44,435,2865,698,71,3631,9078,925,13635
213051464,39,0,42,4705,615,76,5400,7783,838,14029
213051466,7,0,7,5728,512,70,6306,6068,585,12963
213051467,282,123,402,2863,787,78,3726,10360,1219,15302
213051468,105,8,111,4567,888,111,5566,10606,998,17168
213051579,47,0,46,2794,262,38,3092,3895,388,7380
213051580,75,0,81,3147,426,68,3643,6821,513,10978
213051581,75,4,73,2393,292,35,2714,4076,316,7111
213051582,4,0,7,2622,205,35,2859,3534,536,6935
213051583,70,3,78,6611,789,103,7505,11262,1460,20225
213051584,0,0,4,1842,160,18,2024,2621,414,5062
213051585,41,4,49,2423,323,25,2774,4711,511,7998
213051586,6,0,3,2064,177,30,2279,3258,1459,6993
213051587,11,0,11,2560,208,32,2799,3590,433,6814
213051588,32,3,39,4541,450,61,5050,6999,1122,13169
213051589,15,4,20,2061,264,39,2368,3717,517,6601
213051590,68,9,76,2730,590,68,3384,6300,519,10210
214011370,349,75,423,3918,969,105,4984,11857,920,17764
214011371,372,116,494,3573,1213,138,4918,13285,1572,19778
214011372,431,78,504,2896,902,125,3921,10665,1479,16066
214011373,593,159,758,3543,1140,106,4781,9677,745,15212
214011374,343,28,373,4675,1520,190,6386,12844,755,19988
214011375,325,61,385,2997,821,120,3939,9312,936,14187
214011376,70,11,83,2709,713,88,3506,6575,371,10450
214021377,376,69,451,1797,900,68,2768,7962,842,11569
214021378,141,26,169,760,474,26,1255,3543,434,5236
214021379,452,48,511,3676,1376,173,5226,13244,1275,19742
214021381,485,47,531,3692,1174,104,4969,9388,527,14888
214021382,545,66,618,3666,1243,112,5026,10359,644,16033
214021383,508,80,592,2546,1366,104,4015,11561,1485,17066
214021384,1132,224,1365,2884,1303,86,4272,13773,1679,19726
214021385,360,72,436,3154,1225,113,4492,10080,714,15286
214021591,615,123,744,2628,726,62,3417,8410,630,12454
214021592,417,178,596,1215,814,41,2068,6677,699,9442
215011386,267,33,303,964,479,46,1488,4633,1156,7276
215011387,56,3,62,481,150,21,655,1750,238,2644
215011388,519,59,589,2615,1001,135,3745,9261,815,13824
215011389,63,5,68,508,210,15,734,1956,189,2882
215011390,267,62,320,874,322,42,1239,4228,422,5883
215011391,107,30,130,400,173,24,590,2079,280,2948
215011392,171,80,251,1075,416,43,1536,4907,762,7203
215011393,84,12,97,363,123,13,504,1549,256,2311
215011394,228,66,297,787,350,36,1173,3833,497,5497
215021395,112,18,133,1257,390,42,1697,3963,489,6140
215021396,110,18,132,729,273,36,1043,2525,422,3987
215021398,93,15,106,499,164,18,681,2081,326,3096
215021399,133,16,153,923,314,36,1272,3257,468,4995
215021469,418,68,492,2369,832,120,3323,10162,1366,14852
215021470,446,63,507,2448,814,70,3330,9021,1000,13349
215031400,227,62,286,751,302,20,1072,3642,539,5247
215031401,169,26,193,809,393,36,1231,3958,508,5692
215031402,193,24,215,486,202,19,713,2320,276,3313
215031403,52,23,74,440,143,8,588,1991,477,3051
