SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
203011035,13,28,19,8,30,31,9,13,4,159,9,12,10,13,27,22,7,12,26,144,256,615,426,303,681,864,222,579,92,4043
203011036,8,17,6,5,14,22,3,20,0,103,5,10,11,9,16,25,7,23,30,126,215,573,375,310,507,650,162,508,75,3371
203021037,19,48,41,14,63,42,9,21,0,243,11,43,24,16,42,33,8,18,46,242,420,1285,894,623,1541,1483,418,702,110,7480
203021039,17,45,28,23,37,42,8,24,0,215,16,37,21,12,45,39,9,23,38,232,410,1198,852,622,1372,1471,376,746,83,7121
203021040,29,61,49,28,67,54,20,26,3,334,12,42,30,25,63,73,12,43,74,374,638,1651,1392,922,2291,2430,722,1278,146,11470
203021042,20,76,59,27,47,61,16,25,0,330,12,54,33,30,67,63,19,52,38,361,670,2449,1514,963,2116,2391,730,1430,116,12375
203021043,28,66,50,18,65,67,11,37,4,355,13,28,30,28,66,95,18,40,59,370,523,1323,1104,734,2123,2203,586,1188,149,9936
203021044,19,52,56,16,58,59,12,35,4,319,5,23,18,22,40,44,10,22,39,219,335,1054,829,601,1287,1327,346,602,81,6464
203021045,22,53,35,18,64,64,21,25,3,300,11,35,16,14,59,57,9,17,54,279,340,1109,912,553,1420,1324,347,525,120,6647
203021046,0,23,20,20,24,24,5,16,0,132,9,26,27,12,32,24,5,22,18,180,261,944,665,467,778,1035,346,838,37,5376
203021047,15,38,36,15,55,59,3,19,0,238,13,36,22,25,62,73,7,23,69,322,396,1060,896,602,1529,1544,349,641,155,7170
203021485,17,37,36,14,43,27,10,14,4,206,0,25,12,8,22,32,4,17,28,145,331,773,688,487,1306,1192,299,501,75,5648
203021486,24,44,44,12,63,44,5,19,0,264,24,49,32,29,85,90,21,33,95,465,363,1190,907,585,1624,1474,336,607,180,7257
203021487,34,75,69,33,80,91,18,32,3,431,16,58,27,16,74,89,17,42,54,393,680,2161,1580,1078,2538,2563,728,1148,149,12627
203021488,4,29,9,3,30,26,7,11,5,126,17,23,27,10,31,48,8,15,42,218,182,494,428,295,681,600,127,213,89,3106
203031048,25,61,34,26,58,61,21,31,6,326,12,35,23,18,32,53,15,25,46,249,451,1268,977,669,1431,1525,430,706,104,7564
203031049,3,14,10,4,12,7,3,3,0,64,6,20,18,9,9,18,4,5,20,110,248,594,386,270,402,472,160,306,43,2879
203031051,11,21,27,12,23,24,9,15,0,137,13,23,13,6,16,22,6,10,27,139,270,598,448,310,604,648,176,356,74,3485
203031052,9,13,10,7,4,13,3,6,0,64,5,10,14,7,9,12,5,11,20,85,160,444,314,186,309,353,98,259,50,2169
203031053,46,80,53,36,67,50,13,33,4,380,27,47,40,36,54,99,22,66,55,436,792,2040,1468,997,2026,2594,773,1556,131,12382
203031489,21,41,38,6,35,28,9,15,0,198,9,31,19,13,26,41,4,22,30,192,367,932,775,484,1053,1179,325,637,77,5828
203031490,22,72,52,23,44,39,9,26,4,303,19,44,33,24,29,56,20,24,55,301,624,1633,1254,847,1418,1848,499,991,168,9277
204011054,19,25,13,7,22,17,4,15,0,120,5,22,11,12,20,17,6,18,19,121,231,489,363,294,523,514,120,359,74,2957
204011055,5,18,15,15,10,12,4,11,4,97,5,7,8,3,7,18,0,10,21,85,189,431,326,281,427,588,116,455,86,2888
204011056,24,40,27,22,62,65,20,28,4,292,12,50,32,24,48,76,17,47,67,361,403,1021,806,538,1360,1570,441,915,154,7214
204011057,9,29,21,19,23,33,11,23,5,178,12,23,21,12,24,32,8,10,47,202,296,813,628,430,687,857,276,667,131,4785
204011058,5,12,3,0,5,13,11,0,0,44,6,7,13,13,8,16,4,10,10,84,103,305,210,154,363,456,108,312,39,2047
204011059,8,15,12,4,25,25,0,10,0,104,7,8,3,0,11,19,4,3,27,84,162,409,313,264,561,511,140,265,68,2687
204011060,7,3,11,3,8,15,0,7,0,56,11,7,3,9,11,19,0,8,29,99,133,277,231,136,364,631,200,434,52,2465
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,6,18,21,4,0,3,83
204011062,5,13,11,0,9,16,5,9,0,68,10,8,6,7,12,18,4,21,11,103,122,277,224,130,245,342,108,274,41,1760
204021063,0,34,12,13,22,35,13,16,4,152,13,19,15,7,30,28,10,30,55,211,258,717,535,364,805,835,219,577,129,4437
204021064,0,19,14,0,8,21,0,11,0,69,4,10,5,0,8,11,4,9,15,74,111,255,231,157,290,348,100,331,40,1858
204021065,0,9,3,5,16,16,6,12,3,72,3,9,8,0,7,11,4,0,12,65,106,255,212,144,317,425,111,271,43,1881
204021066,24,51,33,22,81,85,22,31,0,343,15,37,33,18,76,71,16,33,63,348,479,1362,1076,891,1946,1682,459,900,135,8934
204021067,11,25,15,9,31,45,8,23,0,173,10,23,13,14,32,20,10,34,43,200,299,710,614,450,806,958,316,833,126,5110
204031068,3,6,4,3,4,7,0,11,0,46,5,13,4,5,13,11,0,5,19,79,185,367,304,216,398,389,104,290,45,2309
204031069,7,21,20,8,15,6,4,11,0,103,12,18,18,9,25,11,0,12,20,126,337,762,601,425,666,681,209,561,82,4318
204031070,4,6,0,0,5,16,0,13,3,51,5,15,0,4,16,20,5,6,11,74,92,244,161,146,278,325,93,222,33,1600
204031071,3,11,7,0,11,13,9,10,4,71,7,9,9,4,7,14,3,6,25,91,156,354,321,202,397,387,117,267,66,2275
204031072,7,17,15,4,14,32,8,10,3,105,8,15,6,8,11,16,3,6,22,96,155,426,296,241,433,530,149,531,72,2834
204031073,13,52,32,19,55,45,9,31,0,271,8,34,25,12,49,39,12,21,59,245,346,1010,767,671,1634,1464,436,794,114,7225
204031075,7,7,12,4,15,22,6,10,3,87,6,18,9,7,9,16,3,12,19,101,161,381,313,244,402,495,149,415,52,2625
204031491,17,41,32,14,36,42,15,31,0,222,4,13,10,8,39,41,5,15,47,187,313,795,709,521,1330,1694,464,819,103,6750
204031492,16,33,34,18,61,68,20,22,11,279,11,35,24,19,60,57,18,15,59,295,338,937,770,614,1477,1375,418,637,140,6707
205011076,27,72,49,28,81,96,17,42,9,418,21,47,27,16,65,78,23,43,82,408,491,1354,1046,764,1694,1705,484,1140,197,8864
205011077,10,22,3,12,32,30,4,14,5,125,13,19,13,8,15,15,4,23,22,140,196,487,395,236,497,550,164,504,71,3106
205011078,9,16,23,11,25,35,6,24,4,149,8,22,10,4,25,18,8,12,30,142,218,618,488,287,681,678,217,585,101,3869
205011079,31,74,59,48,99,93,33,72,0,507,21,46,30,13,62,73,26,34,72,370,604,1691,1264,940,2033,2053,608,1485,166,10836
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,10,43,41,33,63,61,13,31,4,289,15,30,37,23,56,34,13,32,49,278,334,1014,879,658,1312,1142,340,648,146,6475
205021082,4,26,25,17,22,29,7,24,9,156,19,17,13,12,42,19,3,21,43,193,240,542,542,357,645,653,212,594,99,3888
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,13,28,23,10,26,25,8,7,0,144,14,28,8,8,23,17,0,18,47,159,290,777,530,363,621,662,157,417,107,3919
205021085,0,18,4,5,4,15,4,4,0,70,7,19,10,5,13,12,0,8,29,104,166,466,341,248,351,389,108,366,75,2515
205021086,5,16,8,17,21,13,3,11,0,92,10,20,9,5,11,4,3,5,18,75,157,451,312,237,432,403,130,263,47,2431
205031087,8,28,14,9,13,27,3,12,5,121,13,24,22,11,8,19,4,15,50,157,277,776,534,361,436,636,178,667,118,3973
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,11,4,3,6,6,7,0,57
205031089,16,37,21,13,31,36,5,39,4,212,17,28,26,17,36,39,7,24,35,226,276,733,579,405,743,828,240,683,113,4596
205031090,4,32,23,22,40,39,12,28,8,217,10,27,12,19,34,29,4,20,46,199,279,876,650,435,804,914,312,773,129,5165
205031091,12,41,33,14,28,26,13,24,3,189,23,35,22,11,18,32,10,16,42,213,512,1056,784,482,895,933,249,510,117,5536
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,8
205031093,45,91,64,36,72,72,15,34,10,444,39,65,33,27,65,70,17,30,99,452,735,1979,1501,1020,1724,2031,483,1116,257,10846
205041094,9,33,18,11,46,47,12,31,5,203,24,30,15,16,28,41,5,23,49,230,308,817,607,455,1029,960,274,588,113,5145
205041095,12,43,31,19,65,68,12,27,6,279,19,29,21,7,45,65,14,36,70,304,355,1029,836,578,1398,1217,329,577,173,6498
205041096,14,25,14,5,44,29,7,13,6,167,12,22,25,17,58,51,12,8,49,259,261,795,667,424,1031,766,240,407,135,4720
205041098,3,16,7,3,19,24,0,9,0,91,3,4,7,8,16,17,3,14,17,91,157,331,252,199,407,452,169,261,60,2279
205041493,19,33,25,15,52,50,10,25,5,220,21,19,14,5,28,23,4,27,42,192,319,754,634,432,1111,955,356,606,101,5271
205041494,30,41,47,25,48,61,13,22,0,284,5,28,14,12,41,37,8,43,42,234,446,1151,936,710,1784,1636,555,842,89,8143
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,13
205051100,3,10,13,5,7,17,4,8,0,60,9,8,9,8,5,17,3,21,25,92,133,295,254,159,267,407,126,399,51,2092
205051101,31,31,26,13,53,62,14,24,0,262,18,33,26,10,35,54,12,43,46,270,440,938,732,558,1063,1253,360,977,129,6450
205051102,0,12,3,0,12,17,3,15,0,75,4,8,5,0,12,14,4,8,22,76,103,245,192,136,293,348,126,403,61,1906
205051103,8,46,46,14,45,50,10,16,7,238,10,21,13,17,34,45,10,16,52,220,336,1029,814,534,1240,1359,391,750,118,6565
205051104,3,12,8,6,7,20,4,9,0,69,8,14,4,3,13,16,3,11,30,98,117,349,269,217,321,391,120,398,58,2238
206011106,22,36,31,18,56,52,13,20,0,252,4,33,23,22,56,80,19,31,40,317,420,1003,806,656,1909,2085,570,990,76,8513
206011107,19,38,36,31,61,55,16,18,0,269,16,36,29,21,62,69,14,30,47,314,460,1203,1001,707,1808,1854,514,922,104,8573
206011109,15,28,30,16,27,32,6,17,3,173,11,18,16,7,37,36,9,23,24,181,308,819,653,451,1084,1213,348,683,61,5621
206011495,20,52,41,26,53,32,9,11,0,247,7,21,26,15,44,68,17,31,45,286,406,1077,919,711,1619,1875,507,856,99,8070
206011496,19,32,33,25,71,44,6,18,0,249,11,29,29,15,55,61,18,34,45,289,402,1091,881,704,1804,1971,551,1038,81,8526
206011497,26,35,26,19,60,33,6,12,5,226,13,39,21,18,58,43,7,14,37,252,411,1064,839,618,1487,1496,369,649,85,7020
206011498,23,29,18,9,60,40,17,14,3,215,16,25,21,18,59,65,13,29,46,296,415,1080,915,672,1439,1620,439,872,86,7530
206021110,6,29,24,17,39,17,5,8,3,154,4,19,12,11,20,35,12,20,26,156,275,743,602,473,934,1088,359,644,45,5160
206021112,35,62,45,33,78,61,8,25,9,352,14,29,35,27,70,73,15,46,59,356,586,1458,1283,981,2202,2386,703,1222,114,10928
206021499,26,39,42,26,47,37,17,20,0,249,11,38,35,22,48,83,16,31,35,323,466,1215,953,760,1561,1944,641,1141,78,8753
206021500,18,35,23,14,37,28,5,15,0,172,9,24,18,18,38,50,6,24,15,201,299,789,687,539,1240,1374,434,846,37,6242
206031113,23,35,30,13,37,45,7,21,0,210,9,31,32,14,74,49,14,38,36,295,451,1022,903,626,1649,1808,574,1108,69,8200
206031115,9,24,17,14,28,16,5,8,0,136,0,28,20,18,50,24,5,16,36,197,230,657,578,371,1060,1072,296,519,80,4867
206031116,24,38,35,23,39,27,19,26,0,241,9,39,38,18,84,62,8,40,47,342,461,1167,1025,688,1885,2225,618,1262,91,9434
206031501,18,34,40,19,46,38,14,29,0,230,8,27,31,20,69,67,18,40,55,342,444,1257,1010,610,1654,1958,522,1153,129,8733
206031502,14,35,27,18,40,44,8,18,4,203,9,33,22,16,46,51,14,26,50,262,345,922,780,523,1437,1620,452,936,92,7121
206041117,17,50,51,15,42,29,10,15,0,233,19,61,61,15,53,60,16,30,77,383,555,1855,1236,539,1561,1717,388,748,145,8749
206041118,14,50,41,19,33,40,11,21,3,226,14,37,34,13,76,95,11,29,63,370,479,940,953,477,2072,2981,462,952,122,9438
206041119,3,13,6,8,26,17,3,17,0,91,4,11,8,5,8,19,3,15,11,85,127,368,261,203,530,777,215,570,29,3078
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,3,13,14,4,3,0,65
206041121,8,31,17,16,30,35,3,14,0,161,4,28,13,7,54,44,10,23,25,218,324,742,623,500,1396,1580,472,880,49,6567
206041124,7,37,12,5,16,5,4,12,0,102,13,19,23,6,15,19,8,12,23,130,358,1082,447,210,604,680,182,372,38,3980
206041125,9,6,19,8,23,7,3,10,0,81,8,18,19,14,27,38,8,24,24,169,155,414,367,251,648,925,252,666,45,3717
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041503,13,33,41,10,29,29,0,9,6,160,13,46,40,15,40,47,10,19,50,281,341,945,926,335,1131,1259,265,539,111,5855
206041504,20,57,81,21,44,30,0,7,0,260,40,82,90,20,46,60,6,10,86,445,596,2031,1830,563,1874,1803,296,427,187,9608
206041505,19,47,88,12,38,32,10,7,5,252,20,55,68,19,74,64,6,23,108,431,525,1626,1680,620,2232,2211,388,623,217,10129
206041506,16,41,23,27,48,40,15,23,0,226,17,23,39,17,66,67,12,36,52,337,436,1339,988,596,1826,1978,529,1018,102,8813
206041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041508,8,21,23,10,11,17,0,10,0,95,9,14,16,7,40,37,10,14,37,180,184,485,481,212,923,1137,247,464,61,4190
206041509,27,42,44,16,62,43,7,8,4,258,12,47,56,21,105,109,17,35,92,491,539,1331,1483,614,2754,2947,523,962,158,11320
206041510,16,23,25,15,17,19,6,10,0,133,6,24,26,8,40,40,9,12,38,196,230,609,649,286,1042,1220,289,438,66,4829
206051128,17,35,34,15,29,38,10,14,5,200,13,36,35,12,51,96,15,78,55,391,374,1102,866,596,1424,2054,575,1705,99,8791
206051129,20,52,49,28,57,55,17,25,0,291,7,28,33,26,61,90,29,63,41,376,444,1076,894,708,1697,2188,698,1424,89,9222
206051130,31,48,35,27,40,43,14,36,0,270,23,30,31,20,60,102,26,46,49,390,455,905,792,529,1491,2283,687,1658,81,8873
206051134,35,61,51,22,67,57,15,30,3,345,14,41,29,17,61,107,25,46,45,382,485,1210,1066,718,2055,2368,749,1257,120,10030
206051511,3,12,6,0,14,6,7,3,0,51,0,5,3,0,13,19,0,6,13,62,55,112,120,64,280,314,86,194,19,1241
206051512,12,37,28,15,30,34,11,19,4,183,13,26,23,24,52,71,10,31,36,288,297,709,603,397,1238,1746,495,1093,73,6645
206051513,34,48,46,30,64,40,12,10,4,289,17,31,32,15,66,80,18,42,37,339,366,788,823,568,1783,1989,529,887,84,7809
206051514,28,35,41,22,48,39,10,26,7,260,10,32,19,20,87,88,23,38,53,370,434,946,869,530,1769,2142,527,1080,117,8415
206061135,10,26,20,3,26,21,4,14,0,126,11,17,28,12,36,36,13,21,29,204,230,665,534,355,952,1243,397,930,66,5367
206061136,48,44,53,25,77,56,23,26,0,353,19,54,31,23,100,128,37,87,63,537,589,1308,1062,782,2623,3364,936,1934,148,12757
206061138,9,23,25,9,31,29,0,20,4,148,17,53,35,12,58,75,11,51,45,353,286,947,742,449,1005,1478,417,1182,102,6603
206061515,16,25,42,15,47,29,7,14,0,200,12,20,32,17,53,88,13,35,39,310,303,789,662,411,1734,2130,545,1102,90,7761
206061516,17,28,37,9,31,31,8,10,0,166,9,21,19,9,47,59,20,43,32,253,263,603,517,343,1215,1610,450,1020,69,6082
206071139,12,23,33,10,36,25,12,17,0,160,15,12,17,12,43,67,7,35,32,243,294,597,564,398,1431,1622,444,805,61,6223
206071140,17,13,32,18,17,27,6,19,0,145,10,15,9,11,19,46,10,16,27,170,281,757,512,433,844,1133,348,756,60,5130
206071141,17,17,25,12,30,28,5,11,0,139,8,28,22,13,45,68,9,30,37,265,276,555,477,396,1225,1585,474,843,64,5889
206071142,9,32,16,12,38,31,7,18,0,174,9,28,19,15,38,61,17,39,45,273,287,682,596,445,1122,1461,479,1029,88,6186
206071143,20,30,21,26,45,49,6,14,0,204,9,40,20,19,34,53,17,35,21,250,373,1021,753,602,1405,1762,546,1140,59,7669
206071145,11,36,27,6,34,14,14,22,0,171,5,21,12,17,40,47,10,24,26,198,260,707,578,472,1036,1391,435,871,48,5796
206071517,28,32,39,27,54,58,24,29,3,290,15,37,16,23,73,103,18,67,48,407,481,1091,890,770,2449,3203,1059,2145,110,12189
206071518,20,51,39,23,55,51,10,24,3,284,9,32,21,19,64,68,17,37,54,322,359,913,737,517,1877,2219,619,1280,86,8602
207011146,6,28,15,3,18,14,3,15,0,105,7,25,16,5,14,40,5,27,14,163,177,682,432,311,579,887,249,618,32,3980
207011147,11,35,33,14,34,33,8,21,0,189,16,51,32,19,50,84,15,32,49,344,310,1308,907,551,1279,1656,390,935,82,7414
207011148,23,59,28,24,47,39,9,18,7,253,23,54,46,26,61,85,25,52,67,444,416,1831,1194,714,1645,2206,567,1323,142,10041
207011149,8,45,42,22,41,53,12,22,5,254,21,50,31,21,64,63,17,42,54,369,477,1799,1254,826,1572,2277,672,1700,115,10685
207011150,17,59,39,17,33,34,13,30,0,242,7,36,27,10,42,62,14,48,39,278,396,1506,1022,625,1270,1921,598,1457,68,8873
207011152,16,47,25,18,39,27,7,13,0,194,8,32,29,15,65,80,8,46,27,312,378,1225,919,614,1618,2164,638,1362,65,8981
207011154,5,26,11,4,16,11,3,8,0,80,4,17,10,13,21,29,8,14,15,128,156,577,396,229,519,719,221,521,24,3368
207011155,12,46,21,17,23,34,15,22,0,189,10,53,20,24,37,65,13,42,32,302,369,1520,913,558,1085,1583,485,1409,70,8002
207011519,13,21,21,9,30,19,4,7,0,125,9,29,18,9,25,52,7,36,31,224,298,881,598,363,914,1304,367,882,65,5677
207011520,18,33,36,16,38,24,12,8,0,187,7,31,22,14,48,67,10,30,44,259,348,1005,735,468,1344,1751,445,1013,81,7199
207011521,16,26,19,25,22,24,4,17,0,146,18,35,24,6,35,49,10,38,35,248,275,1043,684,446,872,1185,378,1024,56,5966
207011522,21,38,21,9,36,26,6,18,0,171,6,39,23,16,43,52,14,44,50,282,315,1094,721,517,1114,1477,423,1052,98,6819
207021156,22,43,34,23,33,32,8,10,0,198,14,21,15,14,44,45,8,19,36,212,264,825,637,397,1025,1228,338,576,78,5371
207021157,28,83,65,28,72,78,9,26,5,395,23,70,56,38,108,105,17,45,107,557,536,1801,1415,894,2531,2506,533,1071,207,11500
207021159,15,41,40,24,53,45,6,24,0,259,12,58,29,13,60,61,11,46,52,348,364,1326,949,601,1377,1720,374,950,107,7764
207021160,17,37,29,23,33,50,8,16,0,214,17,33,16,14,44,61,12,26,50,279,313,1021,770,517,1222,1417,317,745,78,6403
207021424,13,43,41,20,53,50,15,23,4,261,19,36,42,21,71,62,9,28,54,349,288,1226,944,546,1519,1650,337,670,104,7284
207021425,23,62,35,16,37,50,5,21,3,247,17,46,35,19,66,72,10,17,51,338,341,1114,803,508,1477,1680,316,576,92,6905
207031161,21,86,59,32,74,64,9,37,0,385,8,55,42,20,86,86,22,37,74,429,542,1822,1348,857,2203,2545,620,1241,135,11295
207031162,12,31,30,15,29,31,9,5,0,164,9,23,26,16,54,42,10,17,29,214,242,863,618,419,1004,1149,300,550,57,5197
207031163,24,60,80,33,82,63,15,19,0,384,19,80,82,37,86,106,16,28,120,575,524,1850,1737,912,2359,2302,515,892,176,11258
207031164,23,47,52,20,50,45,14,26,0,271,14,55,64,22,66,83,9,25,54,392,441,1473,1173,748,1698,2025,476,890,101,9012
207031165,9,40,39,15,34,34,3,11,0,191,17,39,32,5,68,38,3,19,66,291,292,1173,818,423,1188,1179,245,499,98,5922
207031166,11,38,28,11,29,36,9,19,0,181,7,19,38,14,55,54,5,7,44,249,200,830,657,390,1157,1046,250,396,85,5015
207031167,6,25,22,17,25,29,3,17,0,143,9,14,19,12,31,36,6,19,28,166,232,908,617,364,890,1189,343,739,54,5339
208011168,15,34,23,18,21,30,17,26,5,176,11,42,41,21,43,58,18,52,36,311,347,1260,804,545,867,1428,437,1203,76,6972
208011169,28,66,35,37,29,33,11,28,0,267,15,99,59,24,55,107,21,75,75,520,491,1876,1242,815,1333,2266,663,2145,156,10978
208011170,18,47,21,18,30,38,18,27,0,217,11,48,24,21,41,78,23,54,43,342,399,1386,862,582,1062,1754,540,1361,86,8032
208011171,12,32,34,22,36,46,14,14,0,208,10,20,22,10,40,69,16,32,16,227,342,935,699,519,1138,1534,455,893,49,6569
208011172,21,58,34,28,34,35,19,32,3,269,21,58,31,18,60,82,21,62,54,408,438,1566,978,646,1297,2007,647,1594,104,9273
208011173,26,50,30,23,39,30,7,31,5,236,27,64,41,14,41,89,28,78,47,422,453,1518,990,585,1152,1820,584,1484,91,8679
208021174,27,62,52,36,52,75,17,27,4,357,19,64,36,24,73,116,20,57,61,469,628,1923,1454,1003,2357,3082,796,1593,131,12971
208021176,14,48,48,19,49,33,15,16,6,242,20,55,44,24,91,113,23,47,67,472,450,1393,1196,783,2273,2659,647,1077,127,10602
208021177,31,80,52,19,45,64,19,28,0,331,18,74,53,38,84,114,30,72,102,577,500,1970,1494,886,1941,2465,674,1548,186,11672
