SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20101100828,45,1300,658,280,1545,0.7,1102,2
20101100829,36,1047,637,300,1583,0.7,1108,2.1
20101100830,51,1300,601,273,1350,0.7,1168,2.1
20101100831,48,1135,653,293,1312,0.7,1098,2
20101100832,41,867,454,200,942,0.8,813,2.1
20101100833,39,1278,569,238,1180,0.8,975,2.3
20101100834,47,1209,602,236,1358,0.7,1178,2.2
20101100835,34,1500,816,300,1972,0.8,1875,2.9
20101100836,38,1517,880,340,2029,0.8,1716,2.6
20101100837,36,1517,970,365,2036,0.7,1766,2.7
20101100838,42,2050,980,372,2405,0.9,2356,3.1
20101100839,0,0,0,0,0,0,0,0
20101100840,35,1463,706,310,1781,0.8,1593,2.7
20101100841,33,1600,904,360,2285,0.8,2250,3.3
20101100842,34,2019,982,160,2636,0.8,2654,3.2
20101100843,40,1096,494,255,1350,0.7,924,2.2
20101100844,33,1517,955,368,2085,0.8,2026,2.9
20101100845,28,1600,995,395,2338,0.7,2182,2.8
20101148101,45,1300,627,280,1351,0.7,1111,1.9
20101148102,31,1125,566,283,1321,0.8,1145,2.4
20101148103,42,1215,687,300,1600,0.7,1214,2
20101148104,32,1300,661,310,1531,0.7,1230,2.1
20101148105,50,1218,642,290,1600,0.7,976,1.9
20101148106,39,1387,748,290,1674,0.8,1316,2.3
20101148107,38,1200,634,310,1430,0.7,1129,2.1
20101148108,61,1213,598,300,1652,0.7,1037,1.9
20101148109,38,1300,630,300,1416,0.7,1213,2
20101148110,75,1300,488,295,1047,0.6,784,1.6
20101148111,50,1207,641,265,1319,0.7,1027,2.2
20101148112,38,1508,828,330,1926,0.8,1533,2.6
20101148113,37,1100,689,275,1465,0.8,1018,1.9
20101148114,44,1387,614,283,1825,0.7,1212,2.1
20101148115,36,1300,857,300,2184,0.8,1843,2.6
20101148116,36,1200,714,300,1625,0.7,1171,1.9
20101148117,40,1185,725,278,1612,0.6,1187,1.8
20101148118,40,1733,752,230,2096,0.9,1777,2.8
20101148119,37,1300,625,268,1390,0.7,1108,2.2
20101148120,42,1359,761,300,1940,0.7,1467,2.3
20101148121,42,1083,700,255,1767,0.8,1204,2.2
20101148122,35,1136,638,275,1375,0.8,1135,2.2
20101148201,37,1582,823,310,2115,0.7,1298,2
20101148202,40,1718,884,263,2650,0.7,2260,2.9
20101148203,47,2167,962,400,2833,0.8,2625,3.2
20101148204,35,1907,1150,400,2750,0.8,2638,3
20101148205,39,1387,900,300,2083,0.7,1645,2.5
20101148206,57,1235,512,275,1359,0.7,808,1.8
20101148207,37,1083,777,300,1833,0.7,1393,2.1
20101148208,0,0,0,0,0,0,0,0
20101148209,42,1733,1083,420,3010,0.8,2685,2.8
20101148210,38,1430,865,300,1865,0.8,1519,2.1
20101148211,41,1885,904,308,2353,0.7,1600,2.2
20101148212,51,1582,777,300,2073,0.7,1798,2.5
20101148213,46,1533,803,255,1875,0.7,1190,2.2
20101148214,38,1207,730,278,2068,0.7,1460,2.2
20101148215,41,1272,697,270,1550,0.7,1107,1.8
20101148216,40,1517,805,305,1920,0.7,1283,2
20101148217,43,2159,888,300,2340,0.8,2206,3
20101148218,34,1885,1002,426,2637,0.8,2489,3.2
20101148219,47,1517,764,425,2611,0.8,2396,2.9
20101148220,40,1427,922,250,2343,0.8,1708,2.3
20101148221,44,1460,884,283,1978,0.7,1765,2.3
20101148222,39,1408,778,281,2094,0.8,1358,2.3
20101148223,44,1517,740,350,2067,0.7,1577,2.4
20101148224,41,1517,949,285,2276,0.7,1760,2.2
20101148225,33,1690,1079,360,2463,0.7,2257,2.7
20101148226,42,1386,748,320,2031,0.7,1562,2.3
20101148227,41,1341,685,260,1803,0.8,1081,2.1
20101148228,39,1348,749,295,1771,0.7,1171,1.9
20101148229,46,1582,787,360,2192,0.7,1855,2.7
20101148230,59,1387,666,300,1476,0.6,1258,2
20101148301,52,2800,1125,533,2750,0.8,2849,2.9
20101148302,36,1550,763,335,1863,0.8,1598,2.6
20101148303,34,1517,905,380,2150,0.8,1889,2.9
20101148304,38,1509,884,325,1949,0.7,1792,2.6
20101148305,40,1295,702,295,1666,0.7,1309,2.2
20101148306,35,1148,696,280,1398,0.7,1116,1.9
20101148307,45,1300,576,270,1534,0.7,1119,2.1
20101148308,32,1250,606,250,1440,0.8,1302,2.5
20101148309,31,1559,720,350,1786,0.7,1468,2.6
20101148310,43,1372,796,283,1833,0.7,1383,2
20101148311,40,1560,913,360,2319,0.7,2086,2.7
20101148312,34,1205,708,300,1724,0.7,1352,2.1
20101148313,37,1223,707,300,1773,0.8,1386,2.3
20101148314,37,1317,684,300,1818,0.7,1184,2.2
20101148315,51,1091,610,275,1611,0.7,1095,2.1
20101148316,37,1429,813,285,2048,0.7,1507,2.1
20101148317,37,1300,767,291,1528,0.7,1346,2
20101148318,38,1300,730,275,2021,0.7,1287,2.1
20101148319,57,1908,1062,0,5500,0.7,3199,2.5
20101148320,34,1614,861,380,2250,0.8,2110,3
20101148321,42,1398,753,290,1803,0.7,1341,2.2
20101148322,31,1300,683,330,1797,0.7,1491,2.6
20101148323,40,1300,744,290,1437,0.7,1254,2
20101148324,35,1300,757,290,1550,0.7,1326,2.1
20101148325,33,990,605,285,1312,0.8,1046,2.1
20101148326,36,1535,896,270,2366,0.8,1937,2.7
20101148401,37,1569,722,260,1625,0.7,1325,2
20101148402,36,1083,589,270,1302,0.7,933,1.9
20101148403,51,1181,566,260,1512,0.7,795,1.8
20101148404,41,1014,495,255,1271,0.7,993,2.2
20101148405,45,1300,663,250,1418,0.7,976,1.8
20101148406,42,1300,585,275,1437,0.7,1143,2.3
20101148407,39,1300,665,290,1375,0.7,1153,2.3
20101148408,35,1300,637,270,1321,0.8,1083,2
20101148409,39,1083,614,250,1308,0.8,954,2.1
20101148410,44,1105,623,260,1391,0.7,1030,2
20101148411,43,1083,557,268,1325,0.7,1022,2
20101148412,31,1452,707,350,1792,0.9,1666,3.1
20101148413,38,1241,696,260,1488,0.7,1037,2
20101148414,37,1300,690,300,1426,0.7,1315,2.5
20101148415,58,1138,668,230,1531,0.7,985,1.8
20101148416,36,1213,625,285,1339,0.7,1007,2.1
20101148417,28,1192,783,300,1429,0.8,1234,2.5
20101148418,37,1125,518,224,1337,0.8,943,2.2
20101148419,56,1083,529,250,1168,0.7,764,1.7
20101148420,36,1143,689,270,1442,0.7,1191,2
20101148421,48,1040,566,250,1339,0.7,880,1.9
20101148422,39,997,492,254,1020,0.7,795,2
20101148423,47,1300,528,172,1346,0.8,811,1.8
20101148424,41,1083,656,270,1399,0.7,1065,1.9
20101148425,40,1083,621,260,1238,0.7,966,2
20101148426,36,922,573,260,1350,0.7,1039,2
20101148427,43,1229,602,250,1235,0.7,1089,2.2
20101148428,41,1083,562,257,1258,0.7,954,2.1
20102100901,44,1500,757,350,2034,0.7,1815,2.4
20102100902,46,1619,771,450,2125,0.8,1916,2.7
20102100903,40,1733,917,271,2269,0.8,1966,2.7
20102100904,42,1517,847,355,2285,0.8,2125,2.8
20102100905,47,1300,762,310,1833,0.8,1416,2.1
20102100906,45,2234,1006,400,2250,0.8,2150,2.8
20102100907,49,1733,943,310,2840,0.7,2340,2.6
20102100908,46,2000,654,370,1770,0.9,1625,2.9
20102100909,44,1767,793,290,2133,0.8,1954,2.8
20102100910,42,2380,789,375,1875,0.8,1792,2.8
20102100911,40,2050,767,125,2531,0.8,2232,3
20102100912,41,1859,822,355,1965,0.7,1833,2.6
20102100913,37,1733,773,360,2075,0.7,1794,2.7
20102100914,42,1313,698,320,1812,0.7,1201,2.1
20102100915,39,1517,705,308,1731,0.7,1271,2.3
20102100916,56,1300,630,290,1399,0.7,982,1.9
