SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
20101148112,152,77,90,121,78,94,63,28,3,714
20101148113,79,62,92,72,63,57,40,31,9,509
20101148114,37,42,34,34,39,46,46,9,3,287
20101148115,78,41,60,57,50,53,25,21,3,379
20101148116,49,13,65,52,19,32,35,3,12,281
20101148117,46,40,68,49,23,53,53,24,5,362
20101148118,153,94,71,88,107,101,71,38,3,731
20101148119,100,78,79,64,62,64,57,42,13,568
20101148120,130,66,115,87,97,126,88,31,10,748
20101148121,57,38,42,46,46,40,40,25,3,344
20101148122,51,41,52,41,30,31,24,18,7,290
20101148201,77,64,79,69,61,44,36,31,11,454
20101148202,176,111,66,87,149,110,73,23,5,803
20101148203,79,51,20,29,77,66,53,22,6,399
20101148204,271,76,139,161,120,102,93,18,7,988
20101148205,84,41,59,60,46,55,42,28,6,415
20101148206,82,47,58,52,49,66,60,83,100,595
20101148207,49,33,80,38,54,40,24,16,3,343
20101148208,0,0,0,0,0,0,0,0,0,0
20101148209,156,110,74,99,151,123,69,22,12,793
20101148210,111,55,106,100,88,67,62,23,8,613
20101148211,78,72,74,65,63,78,59,28,3,526
20101148212,65,57,45,43,55,81,74,45,24,484
20101148213,65,39,47,55,47,62,57,22,33,429
20101148214,64,53,64,67,56,45,46,20,13,436
20101148215,61,56,97,64,60,74,51,29,23,519
20101148216,80,49,80,72,44,69,72,20,15,502
20101148217,115,62,29,65,64,59,97,18,0,498
20101148218,202,64,92,126,76,52,64,21,9,708
20101148219,50,60,14,24,62,48,44,12,3,332
20101148220,65,20,32,54,38,44,27,12,0,287
20101148221,31,17,14,20,20,33,20,11,6,176
20101148222,105,62,54,87,63,66,45,43,11,526
20101148223,125,69,65,88,83,89,93,66,15,702
20101148224,83,35,65,69,78,72,43,12,6,454
20101148225,114,44,117,74,61,55,28,14,4,510
20101148226,56,50,36,50,38,53,50,21,4,353
20101148227,89,50,72,85,59,60,43,46,23,531
20101148228,94,29,81,59,48,48,48,49,18,475
20101148229,83,68,40,38,72,97,51,22,3,481
20101148230,40,27,40,26,38,75,80,69,13,401
20101148301,14,3,0,9,9,9,15,3,0,59
20101148302,148,72,102,104,72,58,64,42,10,677
20101148303,150,39,72,96,59,34,42,17,8,516
20101148304,72,50,66,56,60,59,49,16,3,420
20101148305,52,35,62,40,38,51,42,20,0,352
20101148306,25,52,69,26,26,35,35,21,9,308
20101148307,110,59,70,74,62,70,71,67,49,638
20101148308,139,128,108,84,96,62,50,28,7,700
20101148309,59,54,62,38,32,38,16,22,3,323
20101148310,82,57,71,65,68,75,64,37,11,529
20101148311,119,66,50,82,86,58,56,18,5,537
20101148312,112,115,142,83,75,61,70,50,14,736
20101148313,70,39,85,54,40,44,49,18,9,419
20101148314,81,61,74,45,52,55,53,31,11,467
20101148315,87,72,102,61,54,66,89,75,98,709
20101148316,55,59,89,49,73,57,27,17,8,445
20101148317,33,37,71,32,33,45,38,19,0,307
20101148318,55,49,79,54,53,45,51,18,0,404
20101148319,0,0,0,0,0,0,0,0,0,8
20101148320,116,83,83,77,74,50,43,16,10,552
20101148321,74,54,67,52,68,69,38,25,10,455
20101148322,133,142,85,94,66,52,57,27,6,663
20101148323,52,48,71,45,50,46,54,21,6,397
20101148324,52,82,79,42,49,40,47,37,8,434
20101148325,36,63,67,39,42,23,39,12,3,331
20101148326,204,82,106,134,99,82,84,36,10,851
20101148401,59,48,77,47,52,53,39,10,4,386
20101148402,55,58,73,36,38,40,41,18,17,379
20101148403,45,45,44,37,25,65,42,42,30,381
20101148404,38,81,50,35,55,52,46,24,9,378
20101148405,51,39,54,36,52,54,51,25,10,384
20101148406,101,69,78,62,85,75,72,31,8,584
20101148407,104,58,85,74,59,70,61,44,11,569
20101148408,84,67,103,66,46,60,60,30,14,535
20101148409,88,56,76,52,50,65,58,30,12,493
20101148410,59,49,71,33,65,44,53,25,9,408
20101148411,58,35,56,54,49,49,47,31,15,391
20101148412,130,65,68,66,47,31,38,13,0,467
20101148413,83,61,86,65,53,59,48,19,4,489
20101148414,106,77,62,74,57,60,39,29,11,518
20101148415,8,16,32,15,30,29,38,28,34,231
20101148416,61,56,79,53,36,51,40,24,7,422
20101148417,205,113,177,101,60,53,43,14,4,767
20101148418,126,60,107,64,83,81,78,27,5,631
20101148419,73,56,77,59,49,71,96,100,56,644
20101148420,54,43,43,49,25,25,32,20,5,281
20101148421,68,43,54,53,48,55,71,62,25,466
20101148422,56,33,34,45,37,39,34,19,7,304
20101148423,56,33,59,42,39,73,56,28,8,384
20101148424,72,76,86,69,49,69,69,39,23,548
20101148425,117,93,120,92,96,92,89,51,13,743
20101148426,48,47,54,42,31,36,35,21,10,331
20101148427,58,51,55,48,41,52,58,31,4,403
20101148428,99,69,71,57,61,65,86,50,16,563
20102100901,97,65,97,87,79,107,73,48,16,662
20102100902,52,30,19,42,35,55,33,19,5,280
20102100903,85,37,42,67,69,54,35,8,0,403
20102100904,34,33,23,25,39,30,22,11,3,220
20102100905,68,27,32,57,87,64,45,15,0,381
20102100906,71,20,23,31,60,47,36,11,0,305
20102100907,56,33,24,41,70,80,43,19,3,371
20102100908,65,41,25,48,54,46,58,22,12,366
20102100909,64,43,29,53,66,62,31,21,4,375
20102100910,71,25,34,50,39,40,47,25,8,338
20102100911,84,39,26,50,49,42,30,12,8,342
20102100912,83,30,32,58,52,51,35,12,5,349
20102100913,138,41,83,79,45,61,60,36,25,562
20102100914,37,15,29,32,22,27,30,19,4,214
20102100915,97,30,59,79,39,58,49,29,11,454
20102100916,36,36,36,25,43,70,52,52,18,356
20102100917,107,73,41,67,103,87,59,24,7,573
20102101001,83,34,43,40,83,66,65,22,8,430
20102101002,92,45,54,58,55,68,61,31,7,477
20102101003,36,19,26,34,32,35,58,30,9,280
20102101004,66,27,28,49,56,45,27,24,0,333
20102101005,15,10,8,7,14,34,33,47,80,235
20102101006,74,42,50,42,71,92,109,43,12,532
20102101007,85,42,26,52,65,76,50,11,0,410
20102101008,82,39,34,51,67,57,67,27,0,426
20102101009,52,21,15,32,52,37,28,9,5,245
20102101010,42,23,27,28,43,43,39,19,4,272
20102101011,69,26,28,28,41,60,48,34,4,340
20102101012,44,28,44,43,72,88,72,47,25,462
20102101013,69,36,35,45,56,72,71,27,3,424
20102101014,63,45,29,37,58,71,65,25,3,393
20102101015,55,16,25,30,35,70,73,17,4,323
20102101016,48,13,20,41,39,39,63,20,9,293
20102101017,51,31,23,20,58,54,32,18,0,282
20102101018,66,38,21,40,40,66,54,20,3,352
20102101021,32,27,16,27,42,51,42,38,8,281
20102101022,32,17,14,23,22,35,35,28,5,206
20102101023,41,19,11,22,31,41,47,32,13,269
20102101024,56,29,26,55,60,78,70,35,15,415
20102101025,69,31,40,37,49,57,63,31,3,384
20102101101,86,50,27,55,91,79,80,25,4,489
20102101102,32,13,25,27,42,38,52,3,0,233
20102101103,55,25,36,54,34,47,61,15,9,341
20102101104,33,18,20,35,40,32,43,11,3,243
20102101105,41,14,18,33,53,80,62,29,5,321
20102101106,62,19,24,47,61,95,104,43,7,475
20102101107,94,46,41,73,96,99,83,23,7,565
20102101108,15,15,17,30,46,51,54,27,7,258
20102101109,38,24,23,25,39,63,63,52,31,354
20102101110,63,51,29,48,76,91,86,39,8,496
20102101111,33,16,20,26,49,65,51,27,8,294
20102101112,68,45,53,49,81,139,126,52,16,625
20102101113,73,41,40,54,93,87,92,31,13,524
20102101114,46,16,52,31,54,79,55,23,4,354
20102101115,47,22,28,55,54,86,91,59,37,478
20102101116,46,11,33,56,49,64,66,30,15,378
20102101117,47,23,31,37,47,69,57,19,11,345
20102101118,41,34,50,26,69,78,73,56,39,467
20102101119,40,28,29,31,59,87,76,19,10,367
20102101120,62,33,15,49,77,77,60,25,0,399
20102101121,66,30,48,42,69,66,60,12,3,401
20102101122,52,40,29,49,75,90,109,47,8,491
20102101123,34,10,15,37,36,40,76,30,7,281
20102101124,36,3,16,39,43,37,43,24,3,244
20102101125,69,35,34,41,68,121,99,34,12,520
20102101201,55,42,27,61,61,48,48,24,4,366
20102101202,21,21,8,8,27,26,33,0,0,156
20102101203,94,53,19,66,88,58,55,15,3,458
20102101204,40,25,25,20,57,58,38,8,0,273
20102101205,101,50,42,60,77,89,36,20,0,471
20102101206,71,42,22,50,37,38,26,15,4,320
20102101207,52,33,22,31,36,34,47,9,4,276
20102101208,49,39,19,24,45,36,24,18,9,259
20102101209,70,53,47,41,43,72,61,13,10,407
20102101210,76,53,33,50,75,62,53,27,9,444
20102101211,73,47,36,35,56,67,53,36,11,403
20102101212,49,23,30,27,29,38,40,25,4,250
20102101213,68,42,33,51,91,49,34,12,0,389
20102101214,143,65,63,99,76,76,54,23,5,607
20102101215,64,23,26,57,46,51,34,9,0,322
20102101216,88,43,34,61,83,96,51,17,5,477
20102101217,79,43,48,55,71,93,74,28,0,501
20103101301,102,33,49,40,63,75,105,44,13,526
20103101302,47,27,23,33,35,31,47,28,3,270
20103101303,39,25,20,33,38,47,77,21,0,301
20103101304,48,22,17,22,69,75,62,39,17,365
20103101305,45,25,21,25,76,75,91,53,15,430
20103101306,29,27,31,27,38,42,63,43,28,332
20103101307,18,24,10,24,26,44,51,20,4,223
20103101308,90,49,45,40,84,102,89,16,3,528
20103101309,42,28,25,37,44,38,52,12,7,284
20103101310,47,24,19,25,43,48,51,27,5,276
20103101401,52,51,32,42,63,69,66,48,12,433
20103101402,43,27,23,24,33,32,64,51,25,319
20103101403,85,73,39,53,84,73,101,32,15,547
20103101404,70,36,21,53,88,83,88,43,18,504
20103101405,45,32,19,22,31,36,26,9,0,220
20103101406,53,50,76,101,120,99,82,42,4,623
20103101407,55,37,37,35,49,62,38,14,0,333
20103101408,94,38,62,60,55,80,56,19,6,458
20103101409,29,21,14,33,40,48,77,21,0,276
20103101410,26,14,9,21,15,21,17,8,10,147
20103101411,51,34,36,49,53,76,47,25,0,377
20103101412,58,18,34,42,49,65,74,31,13,400
20103101413,4,7,0,0,4,0,3,0,0,20
20103101501,87,76,36,55,87,86,84,30,8,555
20103101502,67,17,26,54,59,44,54,12,0,332
20103101503,78,54,33,46,84,58,49,14,0,414
20103101504,39,22,24,28,47,42,44,14,0,261
20103101505,66,50,37,47,73,78,84,41,8,488
20103101506,78,31,53,31,58,57,72,29,6,423
20103101507,161,99,86,94,90,90,82,30,0,731
20103101508,80,43,40,35,59,44,40,7,0,349
20103101509,118,30,61,68,74,66,34,16,3,483
20103101510,24,16,23,9,28,21,25,12,4,162
20103101511,66,29,35,45,57,58,39,27,0,341
20103101512,76,44,36,56,40,43,39,12,3,351
20103101601,30,20,16,16,27,34,25,23,4,198
20103101602,65,56,45,38,67,92,67,63,28,532
20103101603,49,33,27,36,34,47,62,33,8,336
20103101604,79,46,48,29,42,60,55,41,10,405
20103101605,67,16,38,37,32,27,21,19,3,266
20103101606,72,21,43,26,40,48,65,71,16,404
20103101607,67,66,33,43,53,53,90,77,23,504
20103101608,30,25,20,23,49,53,53,28,5,298
20103101609,47,34,33,35,56,60,45,37,14,363
20103101610,62,49,38,38,68,66,91,60,23,482
20103101612,75,36,63,41,61,72,85,60,6,512
20103101613,80,46,49,38,45,59,79,76,82,557
20103101614,133,73,83,68,78,63,84,60,11,658
20103101615,17,10,27,17,20,30,54,51,35,249
20103101616,57,38,34,34,30,57,87,50,16,413
20103101617,47,38,41,16,54,52,59,27,5,345
20103101618,36,20,24,16,29,34,62,60,74,355
20103101619,64,60,43,41,52,57,77,51,16,451
20103101620,40,25,34,19,26,37,52,36,5,278
20103101621,34,27,11,18,40,46,37,14,4,240
20103101622,18,15,9,16,20,32,30,9,3,157
20103101623,35,6,49,21,20,17,13,9,0,169
20103101701,47,25,14,19,52,59,69,51,4,347
20103101702,54,32,32,30,32,36,53,16,4,286
20103101703,68,29,39,35,39,56,40,21,3,324
20103101704,34,13,19,21,44,59,70,31,7,303
20103101705,39,26,22,22,32,70,62,44,16,331
20103101706,56,25,32,24,39,56,55,25,0,310
20103101707,57,46,29,34,61,119,80,38,15,487
20103101708,19,25,8,18,34,67,66,21,13,271
20103101709,59,47,24,46,64,77,84,43,3,458
20103101710,52,50,26,34,79,102,69,38,11,453
20103101711,75,43,43,43,62,52,67,26,7,414
20103101712,87,48,41,56,68,98,93,46,16,556
20103101713,42,31,21,20,52,72,62,41,4,335
20103101714,57,21,37,48,34,65,71,35,3,374
20103101715,45,17,24,19,52,46,51,15,4,280
20201101801,60,87,81,66,58,82,25,24,9,499
20201101802,30,42,54,14,32,46,43,4,7,263
20201101803,66,82,87,45,75,79,46,30,12,519
20201101804,60,35,71,42,40,25,50,48,80,445
20201101806,54,42,64,46,36,41,60,41,27,410
20201101807,86,62,66,51,63,52,57,39,13,486
20201101808,61,28,42,42,24,23,20,8,0,252
20201101809,60,37,99,58,54,52,47,30,8,430
20201101810,30,28,28,35,36,39,36,14,6,268
20201101811,70,49,36,37,58,40,67,33,7,391
20201101812,77,50,45,30,31,25,16,8,0,285
20201101813,83,52,60,58,64,69,52,23,3,468
20201101814,25,33,26,16,45,34,29,7,0,221
20201101815,84,37,66,63,61,71,57,31,9,488
20201101816,45,84,68,40,62,68,66,25,6,457
20201101817,57,70,77,56,55,73,49,18,9,459
20201101818,87,48,65,52,47,52,51,52,8,460
20201101819,51,21,34,27,26,23,30,26,7,242
20201101820,15,23,20,14,12,21,28,23,39,189
20201101821,35,45,45,31,54,49,50,32,4,335
20201101822,41,37,24,33,50,59,42,14,10,317
20201101823,54,45,56,47,41,62,42,22,8,378
20201101824,61,70,66,62,94,62,58,25,8,499
20201101825,54,44,54,44,26,52,40,29,30,385
20201101826,48,19,55,33,24,37,25,17,10,275
20201101827,66,51,77,49,68,60,71,25,13,475
20201101828,74,46,65,37,45,47,38,23,12,385
20201101829,38,24,47,28,32,24,29,8,9,238
20201101830,154,114,146,102,100,58,66,43,12,794
20201101831,76,81,106,61,62,56,37,24,8,515
20201101832,71,49,73,43,43,42,33,20,11,388
20201101833,71,76,96,52,72,64,40,24,12,503
20201101834,39,56,54,49,58,50,27,16,8,353
20201101835,50,82,87,58,64,64,68,31,13,522
20201101836,58,35,26,28,24,23,12,6,0,216
20201101837,79,57,77,49,44,64,61,24,9,468
20201101838,41,26,45,15,20,34,21,6,6,218
20201101839,53,62,44,31,42,46,55,49,49,428
20201101903,46,41,35,48,40,42,56,24,6,348
20201101904,144,65,80,65,63,47,46,18,5,529
20201101905,78,61,77,45,85,91,75,46,21,572
20201101906,26,16,12,19,20,19,25,4,0,155
20201101908,63,62,56,35,49,82,86,52,20,499
20201101909,114,74,89,61,66,93,102,60,23,675
20201101910,61,46,44,42,51,68,48,43,12,412
20201101911,52,45,50,34,38,36,48,18,3,326
20201101913,75,41,54,47,48,63,66,27,15,440
20201101914,44,37,42,51,64,61,54,34,19,406
20201101915,61,40,53,39,44,59,38,34,4,373
20201101916,30,32,29,23,25,41,32,37,49,300
20201101917,34,25,32,18,26,18,20,13,11,198
20201101918,60,41,33,39,41,48,39,22,7,337
20201101919,69,56,49,43,51,91,81,25,5,477
20201101921,190,97,81,92,54,57,44,13,0,643
20201101922,93,87,79,64,76,75,56,27,23,585
20201101923,42,27,42,27,29,36,34,23,4,276
20201101924,59,48,41,45,41,37,41,30,7,352
20201101925,155,87,164,82,70,55,48,14,8,675
20201101926,114,40,67,60,44,45,29,22,5,414
20201101927,97,81,79,63,65,110,77,30,20,628
20201101928,149,92,192,68,35,31,29,4,0,604
20201101929,70,53,65,41,61,72,80,35,10,481
20201101930,266,121,215,103,52,38,28,12,0,835
20201101931,91,43,56,53,50,49,58,22,10,432
20201101932,114,68,66,55,66,43,36,15,0,458
20201101933,68,67,54,59,69,74,67,50,13,518
20201102001,56,28,34,34,34,29,30,14,7,272
20201102002,23,24,9,17,24,48,26,10,9,196
20201102003,43,32,45,20,40,33,38,45,13,310
20201102004,62,48,62,53,46,44,44,30,16,404
20201102005,59,61,94,49,55,68,62,31,19,492
20201102006,69,50,58,54,50,52,49,41,52,473
20201102007,36,38,47,26,29,42,28,18,5,277
20201102008,40,25,21,25,33,32,24,12,3,224
20201102009,62,36,20,32,45,60,49,22,6,324
20201102010,69,41,26,43,57,54,74,26,15,396
20201102011,97,76,41,68,77,82,91,36,9,580
20201102012,59,30,32,38,36,34,47,30,12,303
20201102013,44,25,25,40,31,34,38,19,14,277
20201102014,40,23,17,21,30,40,67,21,5,266
20201102015,70,51,53,50,39,35,33,27,8,364
20201102016,56,22,48,33,37,28,32,16,8,281
20201102017,34,30,28,21,30,31,55,42,55,331
20201102018,100,59,51,57,69,76,75,66,23,560
20201102019,106,54,88,60,67,64,65,47,21,574
20201102020,42,33,28,21,32,26,39,18,6,251
20201102021,82,61,51,51,73,75,56,46,13,507
20201102022,38,40,20,16,35,37,27,23,9,254
20201102023,26,40,60,27,19,40,35,6,8,246
20201102024,48,35,86,51,39,66,40,31,13,405
20201102025,86,84,40,50,74,73,83,51,13,560
20201102026,88,65,90,66,51,49,35,53,10,498
20201102027,14,17,19,5,12,23,31,36,53,213
20201102028,71,56,45,47,37,52,53,25,10,409
20201102029,85,55,84,66,51,52,40,25,13,478
20201102030,56,40,58,62,76,46,30,16,11,393
20201102031,103,68,86,58,54,59,40,40,24,526
20201102032,55,37,37,35,54,43,65,35,17,374
20201102033,55,55,80,59,42,52,49,28,16,428
20201102034,57,126,21,33,55,63,58,30,8,443
20201102035,44,58,36,29,43,51,46,21,17,346
20201102036,47,49,34,33,52,59,61,22,6,365
20201102037,0,0,0,0,0,0,0,0,0,0
20201102038,28,37,17,22,38,39,60,48,69,370
20201102039,5,0,0,3,4,6,4,0,0,20
20201102101,58,26,32,47,37,46,56,25,4,325
20201102102,73,52,65,61,49,62,41,31,53,476
20201102103,74,70,83,37,49,26,19,12,9,382
20201102104,98,100,103,80,65,61,34,22,11,571
20201102105,71,82,67,55,47,43,35,15,16,434
20201102106,43,43,38,23,25,20,15,10,3,220
20201102107,102,102,105,69,48,43,24,8,3,515
20201102108,40,183,54,31,16,14,20,9,4,377
20201102109,49,58,59,33,45,59,49,27,10,380
20201102110,86,52,32,66,72,75,46,51,9,478
20201102111,76,29,35,38,43,58,75,71,59,478
20201102112,66,47,25,42,54,42,44,24,4,349
20201102113,80,26,33,47,33,46,45,14,4,314
20201102114,80,34,31,49,42,67,41,20,9,374
20201102115,115,79,76,72,88,82,52,24,18,604
20201102116,48,23,47,42,30,29,31,6,4,267
20201102117,69,45,35,46,46,50,29,9,9,342
20201102118,77,65,36,51,64,78,47,12,0,434
20201102119,105,109,107,73,56,42,31,19,7,553
20201102120,34,50,59,34,39,44,41,20,0,322
20201102121,27,51,53,34,31,22,20,13,3,254
20201102122,45,34,6,34,32,31,21,11,0,211
20201102123,0,0,0,0,0,0,0,0,0,0
