CED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED231,0,8,3923,3932,43,309,4216,4566,2359,2892,5669,10924,6045,1638,2608,10294,5944,979,2621,9547,4972,592,2203,7758,4119,261,1547,5926,2685,79,844,3611,789,13,437,1240,26965,6776,24063,57803,5,25,3609,3633,108,453,3821,4387,3237,2991,5086,11311,6434,1492,3022,10942,6017,856,3300,10172,4891,510,3127,8533,4037,198,2796,7022,2017,48,2376,4439,289,0,1414,1705,27033,6570,28546,62146,5,33,7530,7567,153,764,8039,8953,5598,5882,10754,22236,12484,3130,5627,21240,11961,1838,5916,19715,9863,1101,5328,16287,8150,459,4343,12955,4699,126,3220,8048,1081,16,1851,2944,53993,13346,52606,119947
CED232,0,15,5009,5023,50,386,3700,4134,3432,2391,3352,9169,7789,1651,1664,11103,6746,1292,1802,9847,5591,785,1594,7965,4271,336,1135,5746,2093,103,586,2785,284,5,198,492,30254,6969,19053,56274,0,30,4592,4628,126,529,3076,3731,4747,2531,2817,10094,8022,1676,2056,11755,6705,1299,2593,10598,5376,672,2362,8413,3981,246,2143,6368,1407,53,1288,2748,132,4,513,649,30499,7044,21437,58983,0,51,9604,9655,176,915,6773,7869,8178,4922,6170,19267,15814,3327,3717,22853,13453,2597,4392,20442,10971,1452,3958,16379,8254,581,3281,12114,3502,153,1879,5530,413,12,710,1139,60756,14010,40490,115254
CED233,5,83,2432,2516,121,1518,8756,10396,3748,8858,16658,29261,5075,3494,5818,14387,3307,1427,3165,7893,2857,857,2472,6187,2243,419,1469,4137,1173,123,673,1967,306,6,228,543,18837,16790,41667,77287,15,104,2822,2941,202,2077,9992,12269,4710,8672,16686,30069,4861,2588,5776,13226,3293,1060,3681,8036,2625,596,3071,6292,1994,278,2413,4683,814,61,1469,2348,130,4,736,870,18647,15433,46651,80729,23,183,5251,5456,323,3595,18750,22665,8456,17528,33343,59332,9936,6079,11597,27609,6599,2482,6845,15928,5483,1453,5543,12474,4239,699,3880,8814,1990,182,2139,4320,435,11,962,1415,37483,32219,88310,158014
CED234,0,11,5144,5155,54,284,5065,5405,2735,1664,5264,9660,7431,950,2151,10536,7663,738,2303,10707,7224,523,1860,9606,5764,251,1205,7216,4142,101,941,5180,1299,16,573,1890,36307,4537,24507,65356,0,9,4639,4651,92,385,4316,4798,3787,1795,4247,9828,8193,905,2604,11705,7918,725,3105,11747,7129,418,3072,10617,5600,184,2779,8564,3279,64,2898,6237,567,5,1759,2330,36567,4499,29411,70479,0,22,9781,9809,150,673,9386,10206,6522,3458,9513,19488,15620,1857,4755,22233,15577,1459,5408,22452,14350,941,4933,20222,11360,436,3980,15776,7417,163,3836,11420,1864,20,2328,4215,72874,9038,53924,135834
CED235,0,23,3557,3579,52,475,2409,2940,1922,2002,2750,6676,3770,1263,1816,6853,4300,1170,2205,7675,5432,980,2692,9106,6101,620,2456,9172,3419,167,1240,4818,688,24,514,1225,25683,6720,19639,52046,4,55,3436,3488,101,668,1968,2739,2589,2199,2564,7346,4118,1269,2117,7509,4703,1159,2627,8494,5852,943,3298,10092,5752,483,3398,9637,2512,118,2403,5033,317,14,1225,1562,25938,6914,23040,55895,4,75,6993,7067,150,1149,4379,5674,4512,4201,5319,14025,7888,2535,3940,14361,9008,2332,4827,16166,11284,1920,5992,19197,11847,1104,5851,18810,5927,284,3644,9850,1007,38,1739,2786,51620,13639,42679,107935
CED236,3,38,4334,4376,85,545,3049,3677,2228,2101,3572,7905,4206,1203,2157,7566,4978,1141,2719,8834,5817,922,2944,9688,5614,531,2471,8619,3325,184,1385,4897,773,34,560,1363,27029,6700,23198,56923,10,76,3798,3880,184,789,2504,3474,3011,2210,3203,8424,4671,1194,2373,8238,5335,1122,2849,9308,5968,874,3192,10044,5258,440,3063,8760,2527,114,2476,5119,363,17,1366,1747,27316,6845,24829,58998,10,111,8127,8252,271,1335,5551,7151,5237,4313,6771,16326,8877,2394,4529,15802,10314,2262,5566,18144,11786,1802,6141,19728,10872,969,5540,17381,5850,300,3866,10014,1134,51,1927,3115,54347,13548,48025,115923
CED237,0,16,4717,4731,102,283,5171,5560,3997,1756,6728,12477,8519,1064,3057,12643,6511,690,2577,9781,5841,446,2081,8362,4725,168,1221,6113,2398,47,681,3122,595,9,327,927,32689,4469,26554,63707,0,28,4363,4391,311,395,4288,4987,5777,1889,4789,12447,8682,981,2936,12601,6383,647,3158,10191,5603,401,3129,9130,4155,109,2566,6831,1610,36,1902,3543,249,4,899,1152,32769,4489,28016,65275,0,42,9079,9121,412,680,9456,10549,9769,3641,11513,24927,17199,2046,5989,25235,12890,1343,5731,19971,11445,849,5201,17492,8877,274,3788,12944,4010,74,2586,6666,846,15,1225,2080,65459,8961,54574,128988
CED238,0,33,3982,4020,42,532,2710,3289,1861,2153,3386,7406,3815,1349,1986,7155,4858,1161,2502,8521,5984,1019,2954,9950,6120,611,2427,9162,3121,160,1325,4606,737,23,530,1287,26540,7050,21803,55390,0,78,3583,3663,93,751,2144,2990,2485,2306,2756,7552,4399,1308,2094,7801,5210,1253,2761,9223,6249,962,3351,10567,5615,470,3136,9219,2424,109,2637,5160,331,15,1531,1876,26803,7250,23997,58046,3,116,7566,7684,134,1289,4859,6273,4338,4464,6144,14951,8212,2658,4085,14948,10067,2414,5265,17741,12236,1976,6303,20517,11739,1083,5568,18379,5544,263,3960,9768,1070,41,2055,3167,53343,14300,45791,113434
CED239,0,8,3184,3196,96,394,4932,5421,3192,4098,8354,15637,6414,2488,3387,12293,4932,1201,2676,8806,3670,665,2273,6612,2523,244,1404,4169,1830,67,752,2650,832,6,529,1366,23497,9169,27490,60160,4,21,2988,3019,274,583,4576,5431,4388,4425,7346,16166,6404,2244,3736,12386,4791,1105,3228,9120,3528,539,3047,7118,2378,199,2382,4967,1493,36,2180,3711,341,3,1632,1978,23604,9163,31124,63891,4,27,6182,6206,370,978,9506,10851,7582,8521,15697,31808,12823,4734,7125,24686,9719,2304,5901,17922,7203,1205,5318,13726,4905,449,3785,9137,3322,103,2932,6360,1177,4,2162,3347,47099,18331,58616,124043
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
