CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED211,5,84,0,1583,9,0,12,9,10,7,0,6,5,52,372,487,10,0,8,3,3,8,0,3,3,87,84,209,3580,741,80,2109,298,1391,140,1219,195,6218,529,16501
CED212,7,88,0,1240,15,4,0,7,13,14,9,6,10,36,317,431,16,10,7,5,10,7,0,11,3,106,86,265,3446,682,96,2198,339,1384,161,1074,198,5109,478,15165
CED213,17,281,12,1726,5,6,11,18,8,21,5,26,9,70,488,661,7,5,12,17,5,5,0,13,10,175,153,407,2433,1015,156,2193,265,1356,202,1644,312,8734,774,19094
CED214,3,8,5,1748,9,0,5,7,10,12,9,4,6,38,404,500,10,0,3,0,0,4,0,3,9,97,139,272,4156,824,109,2129,342,1472,165,871,204,4445,647,15362
CED215,7,54,5,2174,15,4,8,12,12,18,5,0,6,27,417,520,17,6,13,13,5,0,0,11,0,74,101,229,4410,621,106,2011,369,1609,120,886,178,4267,580,15150
CED216,17,86,5,956,14,6,8,21,6,19,4,18,7,86,659,850,19,12,12,21,0,13,0,9,9,209,161,459,2607,851,198,2470,287,1546,219,1665,323,8315,966,19440
CED217,28,334,5,3427,7,3,0,7,7,12,5,7,9,59,405,518,10,12,0,11,5,8,3,11,3,78,50,187,3437,785,80,1939,223,1397,144,1478,181,5284,493,15447
CED218,3,20,0,757,14,4,7,11,10,14,4,13,12,39,276,400,9,0,8,3,7,5,0,0,3,78,122,234,2755,454,87,1521,233,1341,108,801,171,4715,469,12656
CED219,9,33,0,877,12,5,3,8,5,19,0,7,9,35,345,459,19,3,9,8,3,4,3,4,3,91,106,256,3381,547,112,1905,320,1586,138,899,194,4456,536,14079
CED220,26,391,9,4814,20,0,4,10,14,17,0,15,0,39,476,592,19,4,8,10,5,8,0,9,6,48,60,173,5929,942,91,2599,338,1679,176,1338,168,4022,597,17863
CED221,0,19,0,517,15,3,11,8,15,16,5,6,7,34,311,422,20,0,7,13,5,0,3,3,5,79,101,231,3368,535,112,2048,293,1502,131,739,159,3607,492,12991
CED222,0,29,3,1164,16,5,13,6,10,18,5,20,14,45,416,553,11,0,12,12,0,8,3,7,3,96,135,283,3475,861,118,2123,283,1673,163,1157,214,6066,686,16829
CED223,7,103,4,1061,19,13,4,21,14,13,0,18,4,70,657,836,29,9,10,16,3,10,3,14,10,185,118,407,3385,1176,223,2916,376,1495,314,1547,308,7271,918,19927
CED224,12,48,3,1772,16,4,3,8,8,6,8,12,6,40,314,420,18,8,11,10,3,3,0,0,6,95,90,238,3909,651,85,2056,281,1409,134,1016,176,4988,479,15183
CED225,12,131,6,2113,19,5,0,11,8,17,0,9,8,47,361,476,14,3,0,16,0,13,0,11,5,102,79,245,3523,718,101,2056,318,1364,143,1276,200,5719,522,15940
CED226,28,461,0,3599,14,0,5,8,8,13,0,7,5,39,412,522,8,9,8,7,4,3,3,3,5,59,52,151,3641,905,80,2077,251,1460,130,1401,177,5415,513,16050
CED227,6,54,4,934,23,0,5,15,5,26,4,14,9,34,368,496,14,5,13,14,9,7,0,3,5,99,117,288,3616,606,121,2245,293,1401,153,884,161,4259,554,14295
CED228,6,24,7,947,24,3,4,3,5,17,5,8,7,35,364,475,19,0,7,8,7,8,3,4,3,80,103,250,3632,614,106,2107,302,1798,158,948,201,3879,527,14277
CED229,25,321,10,5670,16,0,11,13,12,21,6,14,4,29,681,804,11,4,11,4,4,5,7,9,0,59,80,202,7742,1506,178,3497,508,2214,249,1414,199,3455,812,21783
CED230,14,95,4,854,16,4,7,16,3,25,5,24,12,69,597,781,32,10,19,30,10,20,4,13,17,222,226,603,3572,1015,208,2907,332,1564,231,1428,320,7507,1007,20091
CED231,6,83,0,2318,12,0,6,4,11,4,10,11,6,46,374,476,6,3,9,9,0,12,0,3,3,101,97,246,4156,690,96,2039,308,1281,144,1014,162,4971,551,15414
CED232,6,71,0,1375,11,4,8,12,8,15,0,11,7,50,382,506,17,11,16,6,0,6,4,3,9,90,69,228,3341,643,117,2090,347,1455,171,1044,202,4580,524,14517
CED233,17,188,4,5981,19,6,9,8,20,9,8,5,9,10,693,798,5,3,7,0,6,3,0,0,3,24,69,121,9307,1852,192,4024,570,2637,337,1610,257,3223,809,24828
CED234,10,181,7,2045,6,3,4,7,3,9,7,18,4,38,442,537,11,5,4,14,9,8,0,0,6,117,89,252,2895,918,97,1948,235,1525,139,1390,219,7545,623,17543
CED235,17,106,0,1016,25,3,3,12,7,18,4,20,7,76,515,689,22,10,18,21,4,11,4,15,6,174,151,440,2573,1063,188,2375,282,1328,229,1508,330,7920,812,18606
CED236,15,83,5,872,22,0,4,19,0,31,5,14,9,84,596,788,18,13,18,11,3,11,8,11,10,202,185,485,3145,859,169,2612,304,1554,209,1300,313,7080,948,18489
CED237,3,24,4,560,6,4,3,8,0,14,8,9,4,44,313,409,8,3,5,11,4,4,0,8,3,96,113,260,2614,538,85,1770,228,1494,142,958,171,5167,524,13697
CED238,8,104,7,1139,15,9,3,19,3,23,3,20,4,70,607,773,25,17,21,21,5,16,0,8,13,158,156,440,3279,1104,228,2886,351,1468,243,1520,325,6912,896,19206
CED239,6,32,4,2335,22,0,3,9,10,9,9,9,3,28,410,516,21,0,8,9,0,3,0,3,3,70,77,191,5191,843,85,2697,399,1415,177,891,146,3580,558,15986
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
