CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED211,2159,1881,4038,5410,5078,10486,980,986,1965,692,683,1380,7087,6745,13832,3493,3167,6660,1100,1150,2245,1257,1197,2449,5852,5519,11368,305,309,613,260,390,654,661,260,922,639,948,1590,9,7,15,1878,1916,3792,1839,2137,3975,562,735,1290,294,308,607,693,1191,1884,12,6,19,3402,4373,7774,5293,6297,11589,256,224,479,426,693,1122,3,9,15,688,927,1617,2638,2998,5632,23710,24370,48080
CED212,1996,1819,3817,5379,5052,10436,856,800,1658,544,567,1110,6791,6431,13221,3672,3370,7049,738,719,1460,924,1027,1950,5345,5126,10471,245,379,622,208,429,641,689,301,993,645,927,1572,6,0,14,1801,2036,3841,1020,1551,2573,278,565,838,147,239,389,486,1038,1523,6,12,19,1937,3409,5338,3740,5449,9195,202,211,412,313,539,853,0,7,10,516,760,1275,3997,3945,7937,22387,23525,45909
CED213,1494,1331,2818,4267,3953,8220,743,701,1445,504,505,1008,5507,5166,10671,2617,2440,5061,1015,1045,2064,909,948,1853,4546,4444,8985,291,260,554,131,301,433,630,223,856,405,737,1150,7,10,19,1473,1535,3004,690,1057,1746,152,398,549,109,190,299,367,809,1173,10,7,14,1324,2459,3786,2803,3996,6797,168,115,283,238,429,668,7,13,16,410,556,967,4334,4701,9035,19096,20180,39278
CED214,1627,1485,3113,4104,3698,7803,1739,1659,3402,278,311,587,6133,5672,11806,3292,2966,6263,990,1171,2165,378,441,815,4668,4583,9252,586,493,1075,820,867,1689,376,206,582,799,934,1730,14,14,29,2597,2515,5112,2338,2730,5070,1410,1409,2817,296,300,593,821,1171,1987,13,19,29,4871,5630,10499,7491,8158,15652,761,636,1391,682,981,1670,22,29,52,1471,1649,3118,6200,5471,11670,27589,27015,54607
CED215,2870,2599,5472,7252,6821,14068,1987,1941,3933,915,927,1846,10166,9696,19870,3458,2926,6388,1664,1928,3596,943,927,1867,6087,5796,11881,471,306,774,493,581,1078,479,186,674,705,1166,1870,5,9,15,2157,2247,4406,1862,2259,4117,799,1040,1841,243,277,519,809,1369,2177,12,12,24,3725,4959,8684,5893,7222,13108,544,477,1023,634,895,1527,18,7,24,1194,1385,2576,5689,4337,10019,31895,31032,62921
CED216,1474,1339,2813,4008,3702,7710,1377,1422,2802,468,392,856,5855,5524,11380,2613,2471,5083,1287,1337,2624,485,517,1000,4379,4326,8710,151,225,379,108,275,392,497,380,875,435,934,1368,12,5,20,1212,1826,3033,337,632,970,196,416,616,68,171,239,328,887,1216,7,7,13,941,2110,3052,2157,3941,6095,176,141,315,232,422,654,16,17,36,431,576,1008,6653,5867,12518,20950,21574,42520
CED217,1698,1638,3337,4029,3840,7863,1133,1174,2309,1396,1282,2680,6566,6299,12867,2384,2038,4431,932,1199,2131,3075,2848,5922,6398,6099,12503,248,173,418,153,276,426,317,112,434,386,628,1020,5,6,11,1110,1209,2317,2800,2920,5718,520,648,1164,339,329,667,662,1131,1785,3,9,14,4324,5023,9348,5441,6233,11678,157,118,277,331,542,867,4,6,14,496,668,1161,2570,2886,5456,23166,23830,46992
CED218,2095,1955,4049,5500,5001,10496,2102,2172,4279,1015,1018,2038,8630,8205,16837,4204,3882,8091,1572,1781,3354,1076,1002,2079,6867,6675,13542,481,369,850,371,464,842,537,191,731,582,857,1435,8,7,18,1981,1889,3866,2142,2847,4989,531,780,1311,259,308,568,441,764,1195,6,13,19,3372,4709,8080,5372,6612,11984,481,484,966,550,761,1311,10,7,16,1043,1250,2295,6050,4309,10357,30050,29010,59063
CED219,2097,2168,4273,5707,5154,10862,1689,1722,3415,907,939,1842,8314,7825,16142,3413,3394,6815,1242,1330,2571,880,1003,1879,5546,5734,11284,308,294,600,246,418,665,653,291,946,614,1031,1646,7,6,19,1833,2042,3874,1047,1570,2620,335,685,1019,168,240,406,401,917,1323,4,4,4,1956,3418,5369,3791,5459,9254,334,361,695,409,691,1103,7,12,20,753,1064,1814,4494,4436,8931,24995,26692,51687
CED220,1486,1277,2763,2746,2522,5271,882,836,1726,1011,1094,2107,4650,4461,9108,940,914,1859,1145,1037,2180,2117,2191,4305,4206,4149,8354,276,230,509,359,389,747,192,138,334,615,790,1404,3,0,6,1451,1538,2988,3137,3731,6871,1151,1445,2596,370,451,822,1156,1650,2803,13,5,17,5828,7295,13119,7288,8841,16128,224,250,472,369,592,958,3,8,11,596,846,1439,3092,3409,6498,21314,22981,44293
CED221,2696,2416,5111,7757,7191,14947,1462,1400,2860,973,944,1916,10208,9552,19761,4782,4609,9392,1268,1291,2553,895,901,1789,6952,6807,13756,508,638,1144,473,716,1188,611,374,983,883,1335,2221,14,6,16,2488,3064,5551,1630,2141,3771,546,878,1426,205,282,491,508,990,1499,15,11,25,2903,4308,7211,5407,7387,12799,519,528,1047,645,965,1610,14,13,30,1177,1512,2680,4666,4463,9131,31110,32133,63240
CED222,1984,1736,3723,4989,4571,9562,1555,1494,3043,576,586,1167,7133,6664,13795,3678,3280,6949,1355,1597,2952,737,668,1407,5784,5549,11337,744,559,1308,721,797,1517,509,227,736,817,995,1811,8,9,17,2798,2588,5385,3724,3971,7693,1651,1520,3176,357,364,720,727,922,1646,22,14,38,6477,6793,13268,9286,9393,18680,805,700,1501,703,971,1676,19,18,40,1527,1690,3218,4665,4235,8903,30393,29266,59656
