CED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED211,2530,304,11,0,2046,147,5045,2105,654,67,20,1916,183,4951,3007,2990,584,217,2896,466,10160,2686,4428,1262,426,2360,421,11585,2836,4224,1077,356,1918,391,10795,2353,3346,924,334,2041,294,9302,1365,2326,999,444,1899,286,7316,734,1220,582,318,1425,292,4570,235,294,145,86,761,261,1785,17852,19784,5655,2209,17255,2744,65500,2405,412,27,13,1570,100,4525,1838,1068,167,53,1218,137,4485,2096,3533,1300,1140,2058,415,10537,1213,3969,2742,2373,1765,428,12488,1266,4253,2768,1619,1454,301,11659,1131,3681,2195,1281,1653,294,10236,703,2226,2052,1455,2061,347,8845,539,1166,1064,869,1812,458,5914,291,398,223,164,1364,622,3066,11490,20710,12527,8963,14958,3102,71749,4937,717,39,14,3616,246,9568,3944,1721,232,80,3135,320,9432,5102,6520,1880,1355,4958,883,20697,3901,8394,4002,2801,4118,852,24068,4101,8477,3843,1972,3369,693,22458,3488,7029,3126,1618,3692,590,19537,2071,4547,3050,1898,3959,632,16157,1275,2389,1647,1187,3240,748,10489,523,694,370,251
CED212,2112,302,28,13,2117,256,4825,1608,591,52,22,1816,227,4323,2900,2820,533,213,2690,616,9771,2780,3770,1003,376,1995,612,10535,2739,3818,989,375,2192,651,10763,2166,3187,831,309,2363,524,9384,1272,2051,920,412,2063,354,7077,582,869,497,268,1428,305,3959,174,184,94,76,599,199,1337,16337,17601,4953,2075,17275,3748,61978,2010,423,48,15,1620,272,4384,1519,1028,180,81,1205,221,4242,1711,3439,1344,1352,1766,601,10217,1116,3614,2392,2378,1229,567,11301,1225,4095,2381,1515,1483,500,11209,1189,3358,1981,1216,1865,416,10020,657,1888,1685,1230,2185,390,8033,385,839,812,658,1618,410,4724,216,258,117,124,1112,385,2215,10037,18948,10943,8570,14084,3771,66354,4126,726,74,26,3739,530,9215,3124,1622,239,110,3023,445,8568,4617,6260,1872,1570,4460,1224,19993,3903,7381,3393,2754,3227,1175,21835,3964,7917,3371,1888,3679,1157,21967,3355,6543,2817,1521,4227,939,19405,1930,3947,2604,1642,4248,741,15113,965,1707,1314,930,3047,719,8681,391,442,215,197
CED213,1892,239,17,16,1882,285,4328,1405,464,57,28,1469,194,3620,2043,1955,415,166,1687,435,6707,2003,2645,783,316,1207,472,7424,2423,3367,885,339,1621,602,9238,2380,3356,1020,418,2022,571,9763,1881,3079,1456,711,2545,648,10310,948,1673,936,505,2086,553,6704,277,363,185,146,1013,347,2332,15244,17151,5759,2637,15528,4105,60419,1855,355,34,14,1343,303,3900,1181,783,116,91,835,207,3213,1149,2297,1051,1057,974,402,6944,804,2628,1811,1862,727,466,8298,1078,3851,2284,1511,1104,566,10404,1212,3916,2379,1357,1572,563,10995,878,2931,2704,1935,2457,730,11638,566,1426,1379,1179,2420,727,7697,298,378,221,179,1503,587,3161,9023,18573,11988,9184,12929,4549,66247,3742,599,51,23,3227,585,8232,2584,1248,175,119,2303,399,6826,3192,4256,1468,1219,2668,839,13646,2800,5277,2591,2177,1933,939,15714,3502,7224,3172,1848,2725,1171,19647,3594,7275,3396,1773,3587,1129,20756,2760,6007,4163,2649,4999,1373,21953,1513,3095,2314,1683,4500,1287,14401,575,740,413,322
CED214,1363,286,36,23,2180,339,4224,1668,875,119,57,3117,575,6407,4229,4136,725,306,7199,1721,18315,2936,4032,1103,456,4336,1125,13996,2204,2933,823,373,3680,780,10792,1795,2161,683,362,3515,621,9141,1030,1394,530,353,2775,464,6545,552,556,226,152,1625,372,3480,164,170,64,47,654,173,1267,15951,16538,4302,2120,29083,6185,74181,1411,510,65,27,1822,300,4128,1660,1235,272,108,2212,445,5938,3080,4973,1511,1246,4904,1348,17067,1538,3733,2166,1994,3207,905,13541,1164,2928,1863,1497,2885,644,10976,856,2269,1437,1279,2678,560,9081,546,1450,1078,1026,2540,444,7083,428,676,506,423,1657,384,4074,212,224,116,78,1133,386,2148,10890,18000,9007,7681,23043,5420,74038,2770,795,93,46,4006,644,8354,3326,2113,388,164,5330,1028,12347,7308,9106,2236,1561,12103,3074,35377,4476,7763,3271,2447,7544,2030,27544,3370,5860,2683,1869,6569,1423,21769,2651,4432,2122,1642,6192,1181,18224,1574,2846,1609,1377,5317,908,13633,977,1232,727,574,3285,758,7554,380,394,174,127
CED215,1980,379,30,18,2243,313,4956,1564,696,92,41,2357,547,5302,3396,3348,718,312,4834,1457,14064,3841,6110,1861,759,4484,1349,18407,2973,4187,1089,405,2741,702,12098,1943,2761,753,320,2167,444,8386,990,1501,607,289,1969,274,5628,459,611,264,143,1080,173,2728,142,118,62,58,508,66,952,17284,19715,5474,2342,22383,5309,72514,1992,526,62,17,1768,250,4611,1410,1019,217,110,1484,270,4509,2125,4157,1853,1929,3591,981,14639,1496,5013,3704,3624,3222,896,17954,1209,4220,2505,1792,1902,514,12142,893,2748,1732,1202,1829,359,8759,516,1416,1174,918,1904,282,6207,302,674,479,427,1265,195,3347,179,210,106,77,852,139,1573,10124,19988,11833,10093,17810,3881,73730,3970,903,93,36,4005,563,9572,2978,1718,311,149,3840,819,9810,5524,7506,2567,2243,8421,2433,28701,5333,11126,5568,4386,7702,2241,36362,4181,8401,3598,2198,4648,1217,24236,2835,5509,2486,1521,3994,795,17137,1503,2914,1781,1203,3871,560,11831,763,1281,748,564,2346,366,6068,323,334,171,133
CED216,1845,332,35,17,1624,416,4263,1266,636,92,54,1373,366,3782,2140,2422,596,288,2034,1035,8511,1779,2701,843,444,1430,985,8185,2007,2844,884,425,1844,812,8818,2298,3300,1155,677,2657,836,10923,1724,2812,1557,1065,3097,877,11138,755,1227,718,544,1928,542,5727,169,226,110,107,721,265,1598,14001,16507,5982,3613,16709,6144,62950,1749,495,59,35,1267,390,3991,946,906,256,222,959,301,3587,1074,2629,1345,1637,1322,700,8700,654,2532,1811,1892,977,704,8565,908,3380,1992,1386,1274,672,9611,1057,3553,2554,1800,2028,738,11735,660,2204,2326,2377,2570,814,10956,417,911,989,1057,1987,612,5982,192,250,197,144,1139,417,2340,7657,16859,11528,10541,13534,5347,65464,3594,827,89,48,2890,799,8251,2202,1545,345,269,2332,671,7366,3217,5048,1944,1920,3355,1735,17215,2439,5235,2656,2332,2406,1689,16748,2917,6222,2874,1814,3119,1487,18427,3354,6853,3710,2476,4686,1577,22658,2389,5016,3884,3443,5666,1694,22098,1177,2135,1708,1606,3918,1158,11705,363,476,309,248
CED217,2737,259,18,16,2108,165,5299,1974,628,54,15,1583,170,4432,2408,2033,341,120,2009,375,7287,2309,3599,983,334,1540,385,9156,3269,4625,1163,355,1526,395,11328,2699,3880,943,298,1597,274,9700,1678,2600,884,345,1586,254,7352,846,1231,452,191,1270,241,4238,237,301,142,93,761,158,1690,18156,19168,4987,1775,13982,2410,60488,2641,412,27,7,1692,152,4928,1818,891,104,25,967,102,3915,1846,2706,761,616,1396,357,7680,1132,3472,2378,1893,1114,386,10378,1324,4899,3236,1835,1084,406,12790,1201,4028,2498,1213,1233,314,10487,803,2545,2072,1150,1581,348,8502,531,1195,989,684,1574,365,5344,342,467,238,154,1553,381,3131,11645,20616,12301,7582,12193,2804,67140,5382,666,47,24,3805,316,10235,3796,1521,163,46,2545,273,8344,4255,4742,1101,735,3401,731,14967,3443,7073,3360,2228,2660,771,19531,4589,9531,4403,2189,2615,795,24118,3898,7918,3440,1514,2832,593,20184,2480,5147,2959,1502,3167,604,15854,1378,2433,1440,875,2841,602,9578,580,761,381,246
CED218,2069,416,35,15,2959,361,5854,1730,661,87,34,3007,633,6151,2925,2616,526,228,5287,1600,13183,2918,3685,1071,485,4558,1352,14070,2528,3182,778,392,3879,810,11571,1876,2285,630,321,3443,493,9051,1127,1396,590,344,2646,312,6413,442,545,230,142,1376,200,2937,75,97,36,27,409,66,717,15682,14895,3993,1975,27569,5835,69945,2067,673,91,29,2541,276,5680,1658,1077,205,102,2015,322,5374,1752,3067,1403,1732,4018,996,12960,1036,3334,2554,2886,3459,853,14122,887,3119,2262,2117,3050,613,12050,758,2240,1694,1653,2792,415,9556,548,1320,1112,1098,2425,331,6828,320,513,364,333,1302,189,3013,103,127,62,47,699,92,1133,9128,15473,9752,9983,22300,4084,70721,4136,1091,125,43,5506,637,11541,3391,1741,291,129,5017,958,11527,4678,5688,1928,1957,9305,2591,26143,3957,7021,3628,3370,8021,2203,28195,3412,6305,3043,2511,6927,1422,23619,2629,4531,2326,1975,6239,913,18609,1670,2712,1701,1437,5069,643,13241,766,1052,600,470,2680,389,5950,179,226,98,73
CED219,1936,395,21,14,2374,345,5089,1643,653,96,57,2287,334,5072,3206,3063,615,296,4001,861,12042,2783,3797,1070,494,3119,788,12052,2552,3096,831,394,2631,587,10093,1813,2482,719,348,2442,440,8247,1076,1607,717,444,2267,352,6456,385,530,298,253,1171,212,2845,70,99,38,28,391,61,701,15464,15733,4407,2327,20687,3982,62598,2001,549,73,34,1901,324,4878,1403,1114,238,180,1568,292,4785,1706,3550,1726,2234,2875,820,12908,953,3376,2470,2733,2104,742,12369,993,3447,2049,1651,1829,563,10535,801,2558,1802,1343,2033,423,8961,527,1436,1356,1271,2135,363,7077,272,506,429,426,1256,249,3130,128,137,86,47,703,109,1205,8775,16665,10216,9925,16399,3874,65850,3940,946,85,50,4276,672,9964,3047,1768,329,239,3853,631,9861,4908,6612,2345,2525,6874,1679,24951,3738,7174,3542,3228,5226,1523,24424,3545,6545,2886,2044,4465,1147,20627,2619,5040,2514,1692,4473,862,17203,1597,3042,2070,1721,4396,711,13532,652,1037,725,676,2427,462,5974,199,236,129,79
CED220,1811,209,8,6,1432,139,3615,2123,1106,128,41,1822,229,5446,4905,4656,650,215,4059,831,15321,3062,4118,1004,338,2034,545,11103,2615,3726,879,266,1468,404,9355,2185,2973,728,237,1457,322,7898,1447,2002,690,228,1365,283,6009,772,1033,381,160,1241,258,3842,225,263,86,52,663,153,1441,19153,20096,4556,1535,15535,3166,64042,1945,323,23,7,1269,124,3700,2418,1732,216,51,1533,298,6252,4413,6089,1255,641,3101,819,16309,1804,3905,2021,1646,1396,488,11258,1348,3721,2201,1444,1058,387,10165,1073,3251,1811,1054,1114,323,8617,779,2209,1554,859,1422,352,7177,474,1052,913,647,1359,317,4763,289,361,200,105,1100,371,2428,14540,22650,10197,6455,13353,3483,70670,3761,541,34,12,2704,270,7314,4538,2833,342,93,3353,533,11701,9320,10750,1903,850,7160,1652,31632,4862,8025,3025,1988,3428,1030,22358,3960,7449,3081,1703,2527,792,19519,3265,6217,2534,1290,2571,644,16521,2231,4214,2243,1083,2785,636,13192,1245,2087,1297,802,2602,568,8606,513,627,287,156
CED221,1970,485,45,29,2988,320,5837,1781,823,124,57,3179,397,6361,3466,3230,703,332,5923,1052,14710,3403,4587,1282,627,5076,912,15878,2501,3176,829,355,3578,579,11009,1823,2136,628,274,2962,448,8268,843,1183,462,254,1984,272,4991,359,412,195,131,1043,164,2302,57,79,32,29,352,66,609,16190,16109,4301,2090,27081,4207,69971,2085,697,103,27,2483,312,5709,1596,1325,319,212,2376,361,6183,1933,3914,2031,2468,4622,992,15965,1170,3700,2837,3227,3727,770,15419,1037,3030,1963,1694,2755,535,11011,780,2208,1401,1118,2380,404,8289,478,1103,875,749,1922,298,5434,260,428,296,279,1130,185,2591,93,97,54,48,647,92,1031,9433,16509,9877,9825,22045,3944,71631,4053,1181,154,60,5475,630,11548,3374,2154,438,268,5547,756,12543,5400,7141,2734,2797,10550,2042,30666,4564,8287,4118,3853,8803,1678,31300,3532,6210,2787,2049,6329,1115,22019,2602,4345,2027,1393,5340,848,16563,1324,2294,1337,1001,3905,571,10430,622,844,484,413,2175,348,4887,151,170,86,72
CED222,1956,375,37,14,2579,246,5202,2293,1089,144,76,4106,582,8288,4223,3683,715,289,8100,1450,18457,2825,3920,1129,472,4881,764,13998,2680,3296,916,392,3862,560,11700,2135,2703,789,395,3553,481,10047,1366,1780,703,375,2978,381,7583,794,937,442,226,2089,322,4806,283,260,117,82,1066,161,1972,18550,18042,4987,2325,33217,4931,82051,2007,519,64,27,2161,248,5019,2045,1357,260,121,2902,431,7114,2724,3834,1515,1369,5517,1017,15973,1366,3532,2410,2277,3637,684,13903,1127,3482,2258,1712,3074,505,12155,1032,2759,1844,1392,2943,451,10420,764,1810,1534,1289,2839,423,8668,576,1059,807,663,2222,384,5704,323,385,176,145,1627,278,2941,11956,18735,10879,8997,26921,4419,81903,3967,894,103,38,4737,490,10219,4333,2445,405,199,7012,1008,15407,6947,7516,2227,1661,13618,2465,34431,4188,7448,3539,2752,8521,1450,27900,3801,6781,3173,2106,6933,1064,23858,3169,5456,2628,1786,6490,929,20465,2130,3595,2241,1671,5816,802,16254,1368,1994,1249,888,4310,701,10506,604,641,297,228
CED223,2021,381,31,24,1788,401,4642,1237,607,84,48,1357,318,3660,2199,2416,587,242,1946,635,8032,1978,3011,927,408,1354,661,8342,2366,3369,983,412,1737,692,9564,2567,3596,1254,556,2360,791,11115,1834,2993,1419,902,2813,803,10761,816,1236,647,498,1907,499,5591,211,239,100,122,798,195,1673,15230,17844,6038,3207,16061,5000,63375,2023,515,65,23,1258,390,4273,955,941,223,144,854,280,3398,1126,2694,1256,1393,1198,583,8246,843,2957,2092,1831,812,591,9130,1025,3853,2243,1424,1093,685,10324,1140,4117,2572,1680,1678,725,11910,733,2429,2326,2146,2315,686,10640,450,1043,955,1020,1887,581,5933,234,308,192,163,1330,347,2575,8525,18844,11928,9823,12427,4871,66422,4047,888,99,46,3045,793,8916,2194,1545,311,193,2214,597,7052,3329,5106,1846,1636,3143,1216,16281,2814,5976,3014,2244,2169,1252,17472,3392,7220,3233,1838,2830,1378,19886,3710,7705,3822,2233,4039,1516,23021,2562,5422,3749,3045,5127,1490,21401,1258,2275,1601,1514,3791,1081,11529,445,546,295,285
CED224,2114,278,13,0,2059,168,4634,1644,542,60,22,1913,177,4365,2841,2686,423,174,3075,514,9724,2910,4152,1105,385,2459,455,11466,2993,4236,995,322,2346,371,11255,2379,3128,793,267,2295,345,9203,1352,1987,732,321,2044,299,6737,681,895,389,195,1507,268,3925,202,245,112,82,733,134,1507,17116,18146,4622,1774,18434,2734,62821,2261,389,21,13,1654,138,4478,1638,897,149,61,1233,141,4115,2013,3394,1103,990,2050,465,10021,1324,3985,2626,2208,1774,464,12380,1301,4511,2645,1545,1787,356,12143,1155,3369,1997,1077,1880,307,9793,704,1987,1578,1075,2136,365,7836,486,939,750,616,1769,348,4912,282,355,183,115,1465,226,2620,11168,19821,11059,7702,15751,2801,68297,4374,667,38,15,3711,299,9111,3286,1442,207,83,3146,321,8485,4854,6085,1535,1165,5129,978,19743,4241,8133,3728,2600,4231,925,23851,4291,8748,3642,1862,4133,728,23399,3531,6494,2791,1344,4178,658,19002,2056,3975,2304,1399,4176,659,14574,1162,1835,1142,802,3277,620,8841,482,598,295,196
CED225,2443,320,14,9,1863,168,4822,1887,639,61,36,1783,196,4603,2940,2907,528,183,2375,395,9331,2631,4248,1320,406,1761,419,10785,2717,4415,1127,384,1668,348,10654,2227,3572,949,349,1867,316,9282,1510,2558,1033,440,1858,282,7668,702,1165,554,298,1321,206,4249,204,233,121,74,706,131,1467,17270,20059,5706,2176,15202,2463,62867,2305,426,48,5,1444,119,4341,1755,1017,136,52,1107,145,4212,2051,3551,1114,921,1611,357,9618,1106,3816,2770,2298,1127,365,11482,1102,4254,2836,1712,1128,299,11333,1067,3727,2356,1452,1416,287,10305,642,2263,2100,1547,1811,344,8707,466,1025,968,776,1535,254,5018,262,357,192,135,1265,192,2403,10760,20441,12511,8890,12454,2363,67424,4748,745,58,11,3308,285,9163,3643,1656,195,85,2889,349,8816,4994,6460,1647,1111,3991,754,18952,3736,8069,4088,2706,2886,781,22268,3820,8667,3968,2089,2792,649,21990,3292,7305,3308,1800,3282,601,19590,2154,4818,3128,1989,3668,623,16381,1179,2188,1519,1065,2858,455,9268,468,591,306,208
CED226,2983,415,25,12,2264,173,5870,2584,1142,113,49,1993,194,6089,3499,3109,448,150,2678,440,10321,2346,3591,978,317,1635,327,9190,2812,4331,1208,386,1442,370,10554,2438,3829,1072,382,1563,304,9586,1642,2796,944,330,1336,242,7299,796,1347,593,210,1109,202,4256,283,358,130,92,817,136,1821,19395,20931,5513,1925,14832,2395,64987,3024,560,31,6,1858,179,5657,2620,1530,192,48,1374,206,5977,2796,3832,931,573,2008,407,10543,1299,3462,2251,1975,1354,336,10684,1088,4299,3200,2185,1227,361,12363,1059,3869,2643,1487,1164,293,10519,719,2562,2240,1343,1319,281,8461,527,1268,1162,748,1364,278,5347,304,524,306,159,1577,305,3168,13440,21910,12956,8531,13246,2638,72722,6009,979,53,17,4125,352,11534,5209,2675,307,99,3372,398,12067,6296,6941,1380,728,4688,844,20867,3648,7049,3227,2297,2988,661,19873,3901,8637,4410,2568,2663,729,22915,3499,7695,3717,1865,2725,597,20099,2361,5360,3185,1674,2653,526,15755,1327,2616,1754,955,2468,485,9605,589,880,433,250
CED227,2455,418,37,13,2295,322,5536,1808,729,91,29,2172,286,5115,3333,3341,705,272,4019,733,12406,3109,4437,1231,570,3183,688,13221,2569,3620,936,366,2269,517,10272,1850,2474,667,273,1950,332,7559,934,1460,647,367,1582,285,5278,478,616,327,235,1108,219,2977,101,122,61,40,387,94,809,16639,17214,4717,2175,18956,3480,63186,2291,571,56,27,1827,290,5061,1605,1143,283,148,1538,251,4964,1777,3897,1913,2274,3064,735,13663,1017,3821,2828,3043,2146,624,13482,999,3673,2239,1623,1590,491,10612,827,2603,1605,1119,1501,393,8044,461,1430,1268,1070,1606,337,6162,306,640,520,475,1155,305,3402,120,137,98,51,669,193,1271,9385,17920,10812,9830,15094,3615,66650,4746,984,96,41,4123,615,10598,3410,1869,375,176,3708,533,10078,5106,7234,2620,2545,7090,1468,26068,4127,8259,4065,3619,5322,1311,26702,3562,7295,3181,1991,3859,1006,20885,2678,5080,2270,1393,3448,724,15597,1392,2888,1913,1439,3186,616,11444,783,1259,850,707,2261,520,6381,222,260,155,95
CED228,2036,573,48,25,2778,412,5868,1863,844,166,69,3538,560,7043,3631,3744,913,388,7016,1509,17204,3604,5534,1683,869,5846,1270,18796,2409,3107,839,414,3277,662,10709,1741,2218,675,304,2703,443,8100,913,1248,607,300,1977,293,5335,315,447,210,149,982,170,2270,76,50,33,17,306,84,566,16592,17754,5173,2544,28426,5404,75889,1866,719,112,33,2318,373,5420,1545,1300,323,211,2249,461,6088,2078,4251,2464,2963,5586,1413,18757,1202,4199,3190,3783,4163,1091,17623,942,2976,1897,1666,2505,595,10575,848,2224,1555,1366,2297,402,8693,439,1114,968,955,1903,343,5721,248,425,318,256,1093,215,2555,93,98,45,33,601,160,1038,9253,17312,10868,11268,22727,5044,76468,3903,1290,162,57,5097,786,11294,3417,2143,486,280,5787,1019,13134,5709,7993,3379,3354,12609,2920,35954,4802,9727,4871,4651,10009,2360,36421,3351,6083,2732,2082,5786,1255,21287,2586,4447,2231,1672,5005,850,16791,1353,2359,1573,1254,3875,635,11050,559,867,527,406,2077,386,4825,170,155,79,55
CED229,1388,209,21,4,1129,154,2896,1701,1139,155,63,1973,344,5371,5820,5637,815,263,5671,1433,19644,3963,4973,1021,410,2900,973,14237,3046,3810,847,271,1834,727,10536,2318,3025,651,217,1745,576,8543,1553,2018,587,213,1693,461,6516,654,854,293,105,1098,305,3311,161,166,55,41,515,174,1101,20605,21833,4439,1585,18549,5137,72154,1467,330,33,8,995,152,2989,1951,1669,263,107,1623,384,5998,5191,7438,1519,854,4615,1350,20964,2716,4930,2134,1601,1997,913,14287,1884,4220,1909,1076,1247,592,10935,1407,3391,1519,706,1297,481,8802,777,2233,1304,702,1459,427,6911,416,843,590,398,1057,350,3650,197,232,125,61,811,322,1757,16012,25292,9395,5507,15101,4972,76283,2855,529,49,9,2127,302,5881,3653,2808,415,166,3588,727,11363,11006,13073,2335,1118,10288,2781,40606,6679,9904,3157,2008,4895,1887,28521,4938,8034,2751,1345,3080,1320,21470,3730,6416,2176,922,3047,1056,17343,2331,4255,1890,918,3144,885,13427,1067,1699,883,500,2151,648,6958,355,405,179,104
CED230,1916,369,28,26,1857,510,4701,1383,743,117,60,1672,363,4333,2437,2564,625,267,2899,904,9688,2087,2630,786,397,1991,823,8713,2398,2962,880,403,2359,904,9910,2791,3463,1079,592,3190,1012,12130,1785,2694,1275,865,3375,978,10974,802,1177,654,526,2247,695,6099,270,287,152,111,991,326,2129,15871,16883,5587,3245,20582,6496,68674,1837,567,67,32,1349,431,4283,983,1026,316,204,1061,312,3902,1188,2698,1393,1729,2088,780,9873,679,2515,1912,1932,1258,789,9092,926,3374,2203,1609,1513,779,10412,1082,3503,2592,1915,2168,842,12097,625,2041,2172,2292,2679,829,10641,457,980,942,1191,2251,772,6596,307,374,243,191,1696,535,3339,8095,17083,11837,11100,16058,6071,70245,3755,938,98,58,3203,937,8984,2367,1768,429,264,2737,673,8235,3621,5263,2018,1997,4986,1682,19562,2771,5148,2696,2325,3246,1612,17807,3324,6337,3086,2015,3871,1683,20319,3872,6973,3667,2507,5362,1852,24230,2411,4735,3451,3159,6053,1810,21612,1261,2154,1599,1719,4501,1461,12696,576,659,388,300
