CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
CED211,76,83,66,68,13,12,9,1145,0,0,0,0,4,17,26,23,0,12,0,0,0,0,0,77,12,11,55,78,78,22,60,53,6,3,4,0,0,0,6,391,29,381,291,53,17,20,27,42,3,7,5,8,0,0,56,936,5,5,3,13,25,46,72,39,9,9,0,9,0,0,3,238,0,0,0,4,29,71,368,145,26,14,17,5,3,0,9,691,0,0,16,25,29,15,22,11,3,3,5,3,5,0,7,146,0,12,72,179,470,277,867,527,126,108,78,75,36,10,46,2884,0,0,0,0,0,3,55,33,15,37,39,39,12,0,3,228,28,348,75,51,35,25,30,12,3,0,0,0,0,0,24,627,18,28,104,249,379,290,388,191,26,12,18,34,23,4,44,1800,3,10,21,5,5,0,4,0,0,0,0,0,0,0,0,48,0,0,7,3,19,17,94,126,17,42,43,37,10,0,12,431
CED212,4,5,8,4,3,0,0,145,0,0,0,6,3,12,16,5,7,0,3,0,0,0,4,51,5,32,78,73,115,44,106,102,15,8,8,0,0,0,20,604,35,196,198,58,28,15,31,34,10,5,6,5,0,0,29,656,0,4,0,0,3,26,47,15,4,0,3,3,3,0,0,111,0,0,0,6,14,15,46,16,15,0,3,0,0,0,0,127,0,3,23,45,33,32,27,7,3,0,0,0,0,3,3,180,0,10,28,50,96,51,111,44,14,16,16,0,3,0,4,435,0,0,0,0,0,0,20,17,3,15,10,5,3,0,3,83,21,349,85,29,45,13,36,16,8,4,0,0,0,0,34,647,7,33,137,360,671,565,790,418,46,43,53,37,12,18,82,3259,0,3,6,18,8,12,8,0,0,4,0,0,0,0,0,64,3,0,12,7,9,13,22,19,3,4,7,0,0,0,0,101
CED213,0,0,0,0,0,0,0,33,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,20,0,36,92,77,106,44,134,86,14,10,0,0,0,0,21,631,46,477,364,72,18,15,22,44,5,7,11,8,0,0,84,1178,0,3,6,4,9,15,24,13,3,0,6,3,8,0,4,89,0,0,0,0,5,12,10,4,0,0,4,0,0,0,0,43,0,0,9,12,5,3,7,6,0,0,0,0,0,0,0,40,3,12,27,37,34,12,26,13,5,9,7,5,0,0,3,195,0,0,0,0,0,0,16,0,3,0,0,3,0,0,0,28,52,416,89,49,58,22,35,9,4,3,0,0,0,5,30,780,15,34,171,439,440,258,366,155,36,16,22,7,3,3,95,2056,0,7,22,17,20,11,0,0,0,0,0,0,0,0,3,76,0,0,7,3,0,0,0,8,0,0,0,0,0,0,0,18
CED214,16,15,16,16,6,7,9,420,0,0,0,3,0,38,47,72,172,140,71,144,40,6,15,747,0,9,34,31,40,25,106,57,12,8,3,8,0,0,4,339,40,608,648,116,43,21,45,72,15,11,12,6,3,0,69,1706,0,0,0,5,15,42,85,39,15,7,14,15,3,3,5,255,0,0,0,4,22,29,111,57,8,15,18,12,4,0,7,287,0,0,39,107,69,51,50,13,6,3,7,7,3,5,13,374,0,6,16,63,225,170,359,254,101,110,123,52,17,5,30,1525,0,0,0,0,4,23,210,199,115,200,310,319,82,4,32,1496,0,69,16,6,11,7,23,18,5,3,7,0,0,0,0,174,0,8,36,129,260,419,816,606,102,77,102,88,27,23,65,2752,0,6,451,567,215,123,88,33,7,5,11,4,0,0,53,1575,0,0,0,5,19,41,209,666,69,95,110,114,60,18,20,1422
CED215,29,25,30,29,4,4,6,606,0,0,0,0,3,42,73,43,6,19,0,4,0,5,10,205,0,31,39,36,62,52,197,193,11,11,19,16,4,3,14,698,42,510,650,109,33,26,83,77,24,15,13,5,3,0,78,1682,0,0,0,0,13,37,101,54,13,14,5,4,0,0,8,245,0,0,0,3,35,52,300,140,16,21,21,14,3,0,7,613,0,10,90,241,174,178,247,144,17,17,17,22,14,12,43,1217,0,0,19,55,196,121,631,422,94,81,71,82,47,15,31,1875,0,0,0,0,0,21,220,134,30,33,62,75,16,0,5,609,6,89,24,15,11,26,45,27,3,4,12,0,4,0,3,271,4,11,45,218,430,600,1489,1332,216,178,250,224,93,84,180,5351,0,10,299,341,165,116,67,26,0,5,9,11,4,0,19,1072,0,0,0,3,15,69,367,552,146,172,183,177,76,39,28,1820
CED216,0,5,0,0,0,0,3,34,0,0,0,0,0,4,4,4,0,0,4,7,0,0,4,23,3,27,46,39,33,13,24,25,0,0,0,0,3,0,6,228,31,295,277,54,9,11,12,8,0,0,0,3,0,0,51,753,4,0,0,8,3,9,5,0,0,0,0,8,7,3,8,52,0,0,0,0,6,5,15,7,0,0,0,0,0,0,0,41,0,0,3,4,5,0,3,0,6,0,0,0,0,0,5,21,0,6,14,36,37,12,46,57,14,23,23,19,4,0,33,323,0,0,0,0,0,0,5,11,15,14,18,3,3,0,0,75,44,634,113,50,55,28,27,5,0,0,4,0,0,0,44,1011,9,29,100,300,301,264,277,165,21,19,31,31,8,8,107,1659,0,0,5,4,0,4,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,4,32,41,3,9,14,10,0,0,0,118
CED217,9,8,9,9,0,6,7,258,0,0,6,10,7,10,16,5,0,0,0,0,0,0,0,43,4,19,52,59,121,64,242,231,25,39,42,36,14,6,10,983,65,358,283,70,27,26,54,89,7,15,13,11,3,0,37,1061,6,5,7,21,35,98,140,88,13,16,31,59,43,19,19,605,0,0,0,7,27,37,115,77,11,18,19,17,9,0,0,335,3,3,23,61,28,16,8,0,0,3,0,3,0,0,3,164,3,10,58,111,193,128,172,95,38,32,28,28,10,0,17,930,0,0,0,0,0,9,21,33,14,23,56,45,12,0,4,223,14,104,25,22,32,35,85,36,11,6,10,11,0,3,7,407,15,35,100,299,448,418,653,329,54,44,52,40,23,19,48,2576,0,5,14,18,24,17,12,5,0,0,3,0,0,0,0,99,0,0,0,13,6,10,13,31,5,0,10,5,5,0,0,105
CED218,16,14,15,7,5,0,16,401,0,0,0,4,16,95,149,149,453,202,111,306,89,0,15,1598,0,7,26,22,18,10,34,42,7,0,6,0,0,0,10,184,38,617,885,202,72,43,52,64,3,3,0,0,0,0,75,2064,0,0,0,0,6,29,43,11,4,0,0,0,3,0,0,101,0,0,0,0,9,28,71,41,0,11,5,4,0,0,0,174,0,0,58,199,143,95,102,67,15,7,12,13,6,0,29,758,0,0,15,57,148,101,271,214,31,32,22,25,4,0,39,947,0,0,0,0,3,8,159,55,8,7,20,19,4,3,3,299,7,64,12,14,11,4,4,3,0,0,0,0,0,0,9,125,0,6,16,107,201,335,822,738,154,101,93,93,38,38,142,2878,3,10,650,1044,380,308,239,120,9,12,25,12,7,4,67,2893,0,0,0,16,62,80,426,517,107,142,97,101,44,36,29,1661
CED219,4,7,0,0,0,0,6,122,0,0,0,12,0,29,41,65,27,8,9,6,0,0,10,195,3,16,58,42,91,30,62,48,0,9,4,0,0,0,5,376,18,261,344,93,22,27,31,29,0,4,3,0,3,0,27,871,0,0,0,0,0,9,37,19,0,5,3,0,0,0,3,87,0,0,0,0,15,13,70,12,4,3,0,0,0,0,0,123,0,0,25,52,39,41,58,15,7,3,3,7,0,0,6,261,0,5,7,39,71,35,101,120,21,23,17,9,0,4,15,462,0,0,0,0,0,3,84,58,10,3,5,10,0,0,0,177,15,211,48,35,34,8,30,9,4,0,3,0,3,0,3,402,0,7,53,207,394,514,866,776,138,117,102,100,36,35,120,3457,0,4,125,141,76,64,41,18,10,4,3,0,3,0,8,486,0,0,0,6,23,51,253,268,57,74,33,37,10,19,10,841
CED220,30,22,22,15,11,6,5,407,0,0,9,4,4,15,17,16,0,3,0,0,0,0,0,67,4,24,42,37,80,46,123,184,40,51,110,142,64,4,7,964,48,270,197,55,26,28,57,115,25,21,25,23,9,0,39,923,3,0,6,33,46,90,134,78,28,31,40,41,15,4,24,571,0,0,0,14,50,79,191,93,31,35,21,21,13,3,9,564,0,0,21,26,16,17,10,14,0,0,3,0,0,0,0,119,3,14,93,222,458,229,442,266,79,69,76,75,41,7,21,2096,0,0,0,0,0,5,43,67,32,82,99,90,19,0,10,452,7,88,16,11,32,21,36,31,5,9,11,17,7,0,4,281,15,42,136,238,334,446,656,490,116,118,118,160,50,67,49,3036,0,0,13,16,19,3,6,7,3,0,0,0,0,0,0,75,0,0,0,7,15,14,33,33,14,8,26,11,10,0,3,178
CED221,64,86,29,54,6,11,6,822,0,0,0,0,3,71,150,86,34,20,3,8,9,0,3,391,0,5,46,57,40,8,35,58,10,9,6,0,0,0,9,286,16,135,224,46,22,16,31,27,0,0,5,7,0,0,32,556,0,0,0,0,5,15,47,19,3,6,3,0,0,0,0,98,0,0,0,0,3,14,125,40,5,7,3,5,3,0,4,208,0,0,10,50,54,55,33,21,13,0,12,0,0,0,5,260,0,0,5,27,113,78,301,145,62,29,35,21,9,0,4,829,0,0,0,0,0,33,207,128,24,24,36,41,12,0,9,520,16,261,59,36,42,15,19,9,0,0,5,0,0,0,14,468,8,0,46,196,552,801,1347,1066,137,155,154,163,51,37,130,4850,0,0,16,31,59,38,48,13,3,0,3,0,4,0,13,237,0,0,0,3,20,89,540,866,139,196,173,184,77,42,33,2364
CED222,18,28,33,30,14,6,12,471,0,0,6,8,3,56,47,38,22,8,0,4,0,0,4,191,3,17,45,42,53,19,59,75,8,7,5,12,0,0,11,372,38,831,986,161,45,28,60,63,12,18,25,11,3,0,88,2358,0,5,4,16,38,70,169,73,16,9,13,33,15,10,9,468,0,0,0,13,45,99,490,317,59,54,64,53,20,11,35,1258,0,15,65,129,83,46,52,10,4,8,4,5,4,7,13,428,0,0,27,140,382,235,658,662,466,595,672,455,116,6,113,4519,0,0,0,0,0,19,99,112,54,126,164,146,32,5,6,765,13,101,30,11,20,17,14,7,0,5,0,0,0,0,10,234,8,13,47,162,296,428,537,334,57,71,42,73,23,21,61,2171,0,10,25,54,24,20,14,8,0,0,0,0,0,0,0,157,0,0,4,13,52,70,185,279,90,108,136,96,46,16,18,1116
CED223,0,0,0,0,0,0,0,40,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,15,6,16,30,33,28,12,36,18,3,5,0,16,9,0,3,199,39,360,193,27,7,9,4,13,0,0,6,4,3,0,63,735,0,3,6,3,8,14,15,13,0,5,4,0,3,0,0,69,0,0,0,0,3,3,15,7,5,0,0,0,0,0,0,38,4,3,0,0,0,4,0,0,0,0,0,0,4,0,0,23,0,10,27,16,25,16,31,25,13,21,14,18,8,0,0,225,0,0,0,0,0,0,50,77,27,38,32,16,7,0,7,251,26,354,59,63,33,24,29,14,0,4,0,6,3,0,15,643,14,23,126,276,297,216,235,119,18,19,15,17,8,8,70,1465,0,0,9,11,4,3,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,12,16,14,9,6,7,8,0,0,69
