CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED221,343,89,1086,585,468,361,509,514,45,3993,6,5,8,0,3,3,13,14,0,51,136,115,147,193,140,65,184,135,39,1149,115,107,287,183,130,90,252,218,398,1785,5843,12286,10211,9029,7370,3367,4987,4730,1208,59038
CED222,291,86,1155,534,315,284,281,452,52,3458,10,4,11,10,3,5,13,31,12,92,137,225,123,132,182,78,109,129,39,1153,138,167,232,167,148,96,170,265,426,1804,7676,20409,8056,7148,7884,3823,3594,4936,1395,64925
CED223,401,78,1021,474,344,299,178,417,20,3245,7,3,3,9,4,8,0,21,0,51,128,141,99,101,90,40,68,65,27,753,233,95,237,158,130,121,157,249,214,1593,8068,11832,8461,7029,4986,2360,2338,3656,774,49494
CED224,327,96,777,361,350,248,104,212,38,2514,8,7,5,4,5,3,5,11,0,47,211,249,92,98,158,53,56,59,39,1019,143,119,210,105,126,93,74,94,253,1216,10267,20028,7881,5786,7605,3302,1648,2213,938,59668
CED225,263,96,605,323,319,199,67,152,22,2043,0,7,3,4,3,4,3,9,0,33,210,340,105,159,170,54,32,39,26,1143,128,159,172,91,124,71,47,80,206,1080,10743,24715,7343,5704,7240,2729,1254,1896,836,62452
CED226,274,84,465,226,201,153,34,88,24,1539,8,10,5,8,8,11,0,10,0,60,288,424,61,96,206,95,21,27,35,1264,140,195,62,51,114,78,7,41,204,896,14260,32289,3787,4098,7502,3593,691,1396,1102,68718
CED227,341,94,996,531,468,334,378,374,54,3571,4,4,3,5,6,8,11,9,0,43,140,142,125,147,122,52,128,85,25,968,177,110,277,127,178,115,167,167,321,1636,7538,14576,10313,7841,7234,3232,3489,3678,1050,58959
CED228,365,95,1084,528,442,345,700,430,46,4029,0,3,14,0,0,6,19,14,4,63,110,173,188,224,169,88,285,146,50,1439,116,134,200,193,192,95,285,188,437,1849,6830,17514,8930,8930,8548,3823,6223,4347,1486,66631
CED229,467,134,1126,468,321,226,63,172,38,3014,8,3,13,13,6,6,3,14,0,62,384,567,90,180,249,120,34,64,55,1736,190,273,117,109,117,82,43,74,318,1326,16435,36620,5917,6247,8676,4323,1175,2505,1490,83383
CED230,366,85,899,425,310,305,136,410,46,2973,16,6,0,5,4,3,5,48,4,81,117,81,63,88,52,24,64,95,16,601,339,105,228,168,113,139,178,389,264,1931,7936,9897,6719,6315,4154,2088,2182,3951,809,44052
CED231,304,85,639,356,323,218,85,187,24,2227,3,8,6,6,3,3,0,13,0,42,229,342,92,119,205,65,39,53,43,1182,144,140,143,125,152,82,89,92,251,1226,10408,23243,6196,5129,7638,2897,1494,2140,994,60134
CED232,340,88,847,495,455,330,229,270,40,3112,3,10,0,9,5,7,0,6,0,47,144,191,109,168,129,55,99,72,33,1007,144,105,273,134,156,95,120,144,237,1413,8049,15142,10276,7440,6726,2774,2556,2853,953,56765
CED233,450,143,1579,657,292,198,92,262,47,3722,3,10,8,15,8,15,0,16,0,85,444,808,125,234,308,166,45,84,60,2269,161,302,156,195,106,99,53,115,368,1559,15597,49109,7267,8476,9908,5019,1526,3737,1638,102279
CED234,331,82,709,337,275,263,84,220,25,2320,8,12,6,10,9,3,4,7,0,47,202,267,96,113,168,87,30,53,32,1048,133,156,158,111,126,89,38,77,291,1186,11107,24348,6425,5389,7898,3904,1257,2199,1162,63693
CED235,330,67,817,378,255,285,118,322,35,2617,0,4,5,3,3,5,0,9,0,34,104,108,66,108,59,36,49,56,25,625,208,88,257,149,121,121,119,219,187,1472,6281,9945,7736,5885,4289,2230,1914,3244,695,42220
CED236,354,61,884,473,330,276,176,424,45,3026,5,5,3,10,7,0,5,22,0,47,117,93,65,89,69,30,81,102,31,676,263,106,245,152,125,140,172,345,228,1767,6941,10003,7436,6191,4133,2102,2146,4061,742,43766
CED237,316,75,964,532,414,309,277,357,42,3288,4,4,12,4,4,6,11,6,0,55,112,127,121,140,150,62,147,124,36,1008,108,109,249,178,160,130,172,194,323,1621,5528,13505,8044,7269,6942,3246,3344,3561,1057,52504
CED238,425,77,1034,477,265,293,120,452,47,3178,4,0,0,3,3,0,0,15,0,29,160,124,85,83,69,31,65,72,19,710,313,109,213,157,108,124,152,298,219,1688,8498,10933,7160,6356,4126,2120,2072,4134,755,46151
CED239,257,128,895,390,275,205,131,244,31,2552,0,3,8,13,8,5,8,6,0,52,282,479,105,195,236,75,51,63,40,1532,114,162,157,116,145,71,93,100,278,1240,9642,27870,7037,6517,7554,3033,1828,2760,1076,67315
CED294,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
