CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED211,65500,71749,137248,31288,18500,49791,9397,19567,28966,2029,3002,5026,1976,1771,3743,44695,42838,87531,18416,26120,44535,4.4,4.1,4.3,68.2,59.7,63.8,65.2,57.2,61,5593,5831,11418,1724,3204,4923,12904,16176,29083,6559,8395,14954,12394,6096,18500,420,680,1103,948,1406,2353,13766,8185,21950,68576,73240,141818,8786,9202,17987,47252,50806,98057,26056,27859,53925
CED212,61978,66354,128332,29376,16405,45784,8092,18186,26280,2130,3290,5419,1965,1663,3620,41560,39549,81109,17007,23341,40344,4.7,4.2,4.5,67.1,59.6,63.2,63.9,57.1,60.4,2122,2766,4886,991,2340,3334,7272,10813,18091,5838,8689,14529,16525,8583,25106,504,933,1439,883,1412,2294,17909,10926,28837,63510,66514,130020,8774,9557,18328,42428,44169,86600,25880,28007,53882
CED213,60419,66247,126669,23341,12225,35565,8402,17152,25552,2425,3343,5769,1241,1063,2312,35409,33786,69196,21295,28265,49564,3.5,3.2,3.3,58.6,51,54.6,56.5,49.4,52.8,2010,2438,4454,1055,2276,3334,7107,10379,17486,5674,8418,14090,16464,7740,24200,460,884,1349,885,1464,2354,17812,10090,27902,58877,63179,122060,8655,9129,17778,38709,41666,80373,25624,27594,53217
CED214,74181,74038,148218,29640,19452,49097,11891,16037,27930,2796,3155,5954,3565,3046,6610,47901,41688,89587,20784,27520,48309,7.4,7.3,7.4,64.6,56.3,60.4,59.8,52.2,56,5721,5629,11353,1235,2376,3609,13482,14813,28292,5815,6377,12192,9243,5333,14574,585,682,1267,911,1077,1985,10741,7095,17833,68995,69001,137992,12946,12554,25500,44524,46247,90771,33142,31279,64422
CED215,72514,73730,146246,36344,22472,58817,10026,17544,27570,2654,3431,6093,2727,2781,5507,51759,46227,97985,16973,23968,40948,5.3,6,5.6,71.4,62.7,67,67.6,58.9,63.2,7868,7790,15661,1525,2944,4468,14870,17872,32741,6927,7838,14764,11218,5576,16794,418,583,1003,874,1137,2009,12507,7297,19802,73964,75364,149328,14391,14132,28517,43550,45039,88591,38415,38599,77009
CED216,62950,65464,128407,22950,12364,35307,7164,16452,23618,2344,2864,5208,2064,1442,3504,34522,33118,67638,23586,27402,50984,6,4.4,5.2,54.8,50.6,52.7,51.6,48.4,49.9,1213,1727,2945,757,1850,2606,4440,7614,12051,4220,6867,11091,18629,9364,27987,601,1090,1692,808,1077,1884,20032,11528,31561,59589,61574,121163,9064,9588,18655,40532,41293,81819,24653,26478,51131
CED217,60488,67140,127627,28441,18379,46827,9569,17810,27386,1882,2791,4673,1825,1495,3316,41722,40476,82199,16641,24166,40805,4.4,3.7,4,69,60.3,64.4,66,58.1,61.8,7310,7262,14573,1964,3463,5430,17483,19636,37119,5659,7532,13188,6442,3269,9711,243,465,710,803,1394,2197,7478,5137,12613,60551,65825,126380,10564,11086,21653,40287,44370,84658,27815,29476,57288
CED218,69945,70721,140670,31534,18267,49799,9635,16955,26588,2626,3269,5896,2921,2752,5672,46714,41247,87961,19840,26219,46059,6.3,6.7,6.5,66.8,58.3,62.5,62.6,54.4,58.5,3289,3484,6777,788,1777,2564,10081,12969,23049,6041,7186,13230,12314,6529,18837,523,804,1329,1006,1420,2426,13838,8752,22588,72824,74170,146992,9614,9639,19258,50001,51381,101379,27369,27795,55161
CED219,62598,65850,128449,30226,16639,46869,7933,16166,24103,2455,3176,5630,2346,2313,4661,42964,38291,81253,16108,24015,40120,5.5,6,5.7,68.6,58.1,63.3,64.9,54.6,59.6,2084,2542,4619,708,1958,2664,6000,9161,15163,5509,7540,13050,16673,9089,25764,605,1008,1611,880,1320,2198,18152,11413,29574,65679,67620,133293,10125,10835,20960,40343,41130,81469,30352,32294,62647
CED220,64042,70670,134712,32486,24586,57071,10044,16922,26970,2053,2906,4958,2041,1832,3873,46627,46240,92870,14575,21270,35842,4.4,4,4.2,72.8,65.4,68.9,69.6,62.8,66.1,9667,9938,19610,2076,3719,5790,21340,23844,45179,5316,6839,12153,5154,2888,8039,266,402,675,676,1080,1758,6099,4372,10469,55922,60371,116294,14784,16111,30891,34195,37672,71869,33770,36226,69998
CED221,69971,71631,141598,35359,18983,54342,9953,18148,28096,2572,3187,5759,2709,2673,5378,50588,42997,93581,15778,25129,40910,5.3,6.2,5.8,72.3,60,66.1,68.4,56.3,62.3,3365,3655,7023,675,1624,2296,8200,11069,19270,7085,8705,15788,15264,9044,24304,678,975,1648,898,1360,2255,16835,11381,28216,75330,75581,150911,12305,12482,24786,43036,43187,86224,37992,38620,76608
CED222,82051,81903,163955,33651,20799,54449,13473,19072,32541,2780,3157,5934,3401,2731,6128,53311,45749,99062,24476,32268,56740,6.4,6,6.2,65,55.9,60.4,60.8,52.5,56.7,7576,6964,14544,1243,2119,3361,15125,16498,31623,6979,7595,14578,10546,5499,16049,486,662,1149,987,1316,2304,12026,7483,19507,78041,78630,156675,15056,13649,28712,50278,52715,102996,38039,35108,73148
CED223,63375,66422,129805,26189,14863,41055,8350,17633,25987,2566,3271,5833,1373,1065,2441,38479,36829,75316,20489,25148,45640,3.6,2.9,3.2,60.7,55.5,58,58.5,53.8,56.1,1545,2214,3758,1096,2529,3621,5497,9318,14808,5037,7907,12946,18261,9473,27735,568,1097,1669,894,1214,2112,19729,11787,31519,61022,63287,124314,9589,10131,19724,40885,42062,82952,26396,28020,54414
CED224,62821,68297,131118,31191,19326,50521,8622,18172,26790,2066,2846,4915,2020,1636,3661,43899,41986,85883,16581,23854,40433,4.6,3.9,4.3,69.9,61.5,65.5,66.7,59.1,62.7,4066,4878,8945,1331,2701,4037,11838,14998,26844,6320,8043,14365,12024,5682,17705,413,735,1144,893,1408,2296,13327,7822,21142,65422,69666,135086,8882,9480,18368,44135,47317,91455,26281,28070,54347
CED225,62867,67424,130296,29936,17952,47888,9143,18901,28047,2103,3055,5160,1914,1605,3524,43095,41519,84613,17633,23792,41425,4.4,3.9,4.2,68.5,61.6,64.9,65.5,59.2,62.2,6150,6574,12721,1895,3742,5636,13624,16813,30444,6051,7145,13197,11436,4989,16429,378,590,968,856,1344,2204,12669,6926,19595,65899,69425,135323,8251,8797,17048,46658,49518,96176,23744,25132,48875
CED226,64987,72722,137707,29526,20651,50185,10892,18758,29658,2031,2702,4732,2059,1819,3874,44516,43930,88445,18366,26423,44788,4.6,4.1,4.4,68.5,60.4,64.2,65.3,57.9,61.4,10643,10222,20862,2345,4098,6438,20836,23459,44294,5151,7147,12298,4681,2647,7332,281,391,672,652,1103,1758,5615,4141,9757,63262,69614,132872,11811,12554,24371,41888,46514,88408,30488,32924,63406
CED227,63186,66650,129832,33670,17956,51629,8488,18695,27182,2299,3322,5622,1854,2016,3865,46314,41992,88304,13804,21442,35250,4,4.8,4.4,73.3,63,68,70.4,60,65,3324,3684,7010,842,2042,2887,7883,11350,19229,6494,8610,15103,15855,8725,24576,502,922,1420,804,1289,2097,17162,10936,28097,66523,68766,135285,11769,12206,23974,34966,35976,70942,37763,39726,77489
CED228,75889,76468,152359,36431,20462,56884,11548,18008,29560,3056,3297,6352,3477,3567,7046,54510,45335,99843,16725,26660,43383,6.4,7.9,7.1,71.8,59.3,65.5,67.2,54.6,60.9,7492,6876,14368,1092,2085,3171,12073,14405,26472,7349,8244,15592,13225,7912,21142,631,832,1462,920,1291,2212,14778,10040,24814,77296,77293,154596,16508,16290,32806,42083,42542,84624,44318,44037,88354
CED229,72154,76283,148433,36072,28510,64579,11732,17857,29586,2557,3345,5898,2518,2275,4799,52875,51986,104865,14533,19614,34148,4.8,4.4,4.6,73.3,68.1,70.6,69.8,65.2,67.4,10685,11651,22328,2150,3911,6061,22235,24951,47188,6469,7812,14281,6697,3788,10486,351,462,806,798,1144,1940,7848,5383,13234,56376,59040,115413,20011,21254,41269,30628,32796,63422,42791,44607,87399
CED230,68674,70245,138916,27699,14698,42400,7805,17058,24871,2465,2970,5429,1869,1355,3223,39840,36087,75928,22948,28529,51472,4.7,3.8,4.2,58,51.4,54.7,55.3,49.4,52.3,981,1346,2324,632,1733,2364,3957,7843,11797,3953,6788,10747,17210,9493,26701,668,1174,1840,810,1087,1898,18687,11756,30439,66340,67308,133645,8896,9316,18209,46531,46353,92883,24927,26383,51313
CED231,62097,66690,128786,29436,20146,49581,8921,16326,25248,2211,3026,5231,2240,1733,3973,42803,41239,84043,16663,22735,39393,5.2,4.2,4.7,68.9,61.8,65.3,65.3,59.2,62.2,5331,6025,11350,1594,3063,4662,13553,16096,29643,5461,6500,11961,10100,4554,14657,378,595,973,772,1246,2014,11248,6400,17644,60517,64050,124565,10439,10850,21287,40825,43768,84596,26767,27947,54712
CED232,60522,63308,123834,31292,16566,47862,7951,18588,26537,2353,3307,5660,1673,1683,3348,43267,40149,83411,14488,20372,34866,3.9,4.2,4,71.5,63.4,67.4,68.7,60.8,64.7,3044,3531,6577,1090,2641,3731,7609,11552,19159,5900,8106,14007,16631,7673,24303,470,823,1295,836,1289,2130,17939,9791,27728,64430,65794,130227,10115,10493,20612,40038,40678,80720,29527,30944,60470
CED233,90270,93572,183844,41585,33705,75291,16410,22654,39062,3483,4336,7823,4237,4127,8366,65716,64822,130537,18109,22658,40767,6.5,6.4,6.4,72.8,69.3,71,68.1,64.9,66.5,15139,16991,32132,2674,4057,6730,29859,31580,61442,6971,7508,14475,6114,3877,9992,468,506,972,691,927,1620,7271,5310,12584,57031,58912,115939,33649,35285,68935,26932,28625,55555,60991,63021,124012
CED234,69291,75208,144504,29537,18154,47688,10976,19334,30314,2208,2808,5016,2440,2111,4551,45163,42411,87568,21743,30155,51897,5.4,5,5.2,65.2,56.4,60.6,61.7,53.6,57.5,7788,7485,15272,1759,2988,4743,17018,19230,36254,6577,8106,14688,8856,4271,13131,364,552,913,818,1475,2291,10042,6302,16339,70282,74702,144978,10316,10805,21118,47930,51468,99401,29163,30554,59722
CED235,58569,62717,121284,22136,11566,33705,7722,16443,24168,2387,2977,5366,1561,1187,2747,33810,32173,65981,20827,26444,47272,4.6,3.7,4.2,57.7,51.3,54.4,55.1,49.4,52.1,1416,1949,3370,904,2053,2962,4907,8239,13141,4329,7075,11400,17530,8723,26253,501,1062,1567,834,1186,2011,18857,10974,29833,56657,58977,115634,9060,9968,19036,36098,37145,73242,26365,28667,55028
CED236,64777,66241,131014,26794,14281,41080,7283,16672,23951,2474,2934,5401,1705,1283,2984,38253,35162,73415,21444,26221,47664,4.5,3.6,4.1,59.1,53.1,56,56.4,51.2,53.8,1127,1556,2682,671,1761,2435,4141,7650,11794,4014,6897,10911,16941,8821,25762,592,1024,1623,745,1091,1835,18282,10938,29218,62981,63541,126516,9245,9641,18888,42592,42542,85127,25877,27260,53133
CED237,67589,69353,136944,29575,16632,46208,9894,16699,26594,2380,2823,5207,2928,2379,5310,44786,38535,83315,19417,27494,46911,6.5,6.2,6.4,66.3,55.6,60.8,61.9,52.1,57,4273,4198,8467,831,1706,2540,8975,11402,20380,6106,7400,13505,12105,6596,18699,513,721,1230,860,1346,2203,13477,8659,22136,70796,71820,142616,9431,9103,18540,47490,48874,96364,27847,27532,55381
CED238,63535,65309,128845,26338,13733,40066,8268,17952,26218,2654,3174,5826,1253,1021,2274,38513,35874,74389,20745,25214,45963,3.3,2.8,3.1,60.6,54.9,57.7,58.6,53.4,56,1500,2114,3606,860,2086,2948,5317,9199,14511,4316,7116,11429,16507,8907,25417,575,1020,1598,744,1069,1815,17824,10996,28823,61261,62708,123971,8366,8962,17330,42398,42801,85201,23901,25747,49648
CED239,64803,69028,133834,29652,21470,51126,11278,17356,28637,2432,3247,5683,2590,2006,4597,45961,44081,90043,15663,21828,37493,5.6,4.5,5.1,70.9,63.9,67.3,66.9,61,63.8,7293,8645,15932,1793,3531,5318,15230,17886,33111,5526,6237,11762,8766,4210,12975,317,523,846,732,962,1692,9813,5694,15510,59472,62486,121956,13372,14245,27612,36818,39828,76651,32263,33339,65606
CED294,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
CED297,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
